	BritoIL_2016__W2.61.ST__bin.63	LiJ_2017__H2M615912__bin.50	BritoIL_2016__W2.17.ST__bin.59	BritoIL_2016__W2.35.ST__bin.94	BritoIL_2016__W3.22.ST__bin.82	BritoIL_2016__WL.14.ST__bin.58	BritoIL_2016__M1.59.ST__bin.30	BritoIL_2016__W1.41.ST__bin.35	FengQ_2015__SID31160__bin.57	BritoIL_2016__M1.22.ST__bin.76	BritoIL_2016__W1.33.ST__bin.49	BritoIL_2016__W1.1.ST__bin.115	BritoIL_2016__WL.37.ST__bin.63	Obregon-TitoAJ_2015__SM43__bin.3	BritoIL_2016__W2.7.ST__bin.18	BritoIL_2016__WL.43.ST__bin.39	LiJ_2014__MH0329__bin.15	CM_madagascar__A53_01_1FE__bin.4	BritoIL_2016__M1.52.ST__bin.16	Obregon-TitoAJ_2015__SM31__bin.33	ZellerG_2014__CCIS74726977ST-3-0__bin.68	Obregon-TitoAJ_2015__SM37__bin.42	HMP_2012__SRS024009__bin.28	BritoIL_2016__W1.53.ST__bin.71	CM_madagascar__A81_01_1FE__bin.50	BritoIL_2016__M1.15.ST__bin.23	BritoIL_2016__M1.48.ST__bin.38	CM_madagascar__A75_02_1FE__bin.34	BritoIL_2016__M2.46.ST__bin.81	CM_madagascar__A46_02_1FE__bin.8	BritoIL_2016__M1.3.ST__bin.76	BritoIL_2016__W2.39.ST__bin.22	LiJ_2017__H1F613739__bin.39	BritoIL_2016__W2.6.ST__bin.50	Obregon-TitoAJ_2015__SM03__bin.1	BritoIL_2016__WL.12.ST__bin.24	XieH_2016__YSZC12003_37204__bin.77	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.48	VogtmannE_2016__MMRS21365932ST-27-0-0__bin.31
BritoIL_2016__W1.33.ST__bin.49	44407.0	51787.0	40248.0	49169.0	45395.0	20237.0	34181.0	46909.0	53075.0	45752.0	0.0	15150.0	48820.0	47262.0	38678.0	48043.0	54695.0	29403.0	22692.0	48998.0	31649.0	51541.0	51871.0	44893.0	48931.0	33742.0	47032.0	43280.0	50544.0	47860.0	27505.0	48941.0	44140.0	42792.0	56555.0	29755.0	51628.0	55833.0	54884.0
BritoIL_2016__W1.1.ST__bin.115	41048.0	48368.0	37351.0	45632.0	43501.0	17605.0	33202.0	44902.0	49455.0	43989.0	15150.0	0.0	45786.0	44692.0	35882.0	44250.0	51258.0	28642.0	21895.0	46059.0	29012.0	47842.0	48784.0	41930.0	46835.0	34699.0	44076.0	40794.0	47234.0	45892.0	25883.0	44692.0	42403.0	48748.0	51985.0	27068.0	47594.0	51607.0	51278.0
BritoIL_2016__WL.37.ST__bin.63	45056.0	51979.0	40411.0	46579.0	46266.0	29031.0	35589.0	50885.0	53436.0	47794.0	48820.0	45786.0	0.0	48958.0	40467.0	49146.0	55662.0	30027.0	25127.0	49849.0	32074.0	51966.0	52752.0	46313.0	50826.0	35952.0	48533.0	44695.0	50199.0	48480.0	29868.0	51177.0	45153.0	50419.0	56918.0	30384.0	51952.0	56469.0	56997.0
Obregon-TitoAJ_2015__SM43__bin.3	44213.0	49889.0	39609.0	49164.0	47253.0	28031.0	35019.0	48412.0	50827.0	47156.0	47262.0	44692.0	48958.0	0.0	39589.0	48825.0	52162.0	29100.0	25819.0	44662.0	30381.0	43970.0	48594.0	45457.0	49875.0	36370.0	47147.0	42879.0	50287.0	47347.0	29651.0	49855.0	43295.0	51060.0	43271.0	30023.0	49356.0	51360.0	50608.0
BritoIL_2016__W2.7.ST__bin.18	38170.0	43564.0	33864.0	40941.0	35864.0	23957.0	28734.0	41096.0	43821.0	40459.0	38678.0	35882.0	40467.0	39589.0	0.0	41750.0	46357.0	25545.0	22231.0	40657.0	26659.0	43623.0	42835.0	37803.0	41508.0	29542.0	40234.0	36518.0	41631.0	40763.0	25246.0	41144.0	37315.0	39898.0	46819.0	26161.0	43640.0	46424.0	46095.0
BritoIL_2016__WL.43.ST__bin.39	46764.0	51771.0	39224.0	49665.0	49112.0	28192.0	34147.0	50567.0	54008.0	48086.0	48043.0	44250.0	49146.0	48825.0	41750.0	0.0	57898.0	29880.0	23995.0	50566.0	32636.0	53132.0	52961.0	44817.0	52197.0	34145.0	48665.0	44300.0	50085.0	49559.0	30164.0	50106.0	46329.0	49623.0	58749.0	29920.0	51592.0	56416.0	56825.0
LiJ_2014__MH0329__bin.15	54066.0	53305.0	45020.0	58772.0	54774.0	31409.0	38036.0	59781.0	55593.0	55088.0	54695.0	51258.0	55662.0	52162.0	46357.0	57898.0	0.0	33149.0	29420.0	51401.0	32491.0	56198.0	54035.0	52720.0	58761.0	41600.0	55264.0	50509.0	58581.0	52998.0	33275.0	56227.0	49117.0	60975.0	62123.0	34265.0	52323.0	58871.0	58553.0
CM_madagascar__A53_01_1FE__bin.4	29297.0	31548.0	26925.0	30019.0	29477.0	18983.0	24355.0	30408.0	32600.0	29736.0	29403.0	28642.0	30027.0	29100.0	25545.0	29880.0	33149.0	0.0	17094.0	31969.0	20743.0	30579.0	32976.0	29332.0	29328.0	23733.0	30456.0	25771.0	31184.0	27579.0	19386.0	30993.0	28835.0	31709.0	33866.0	19499.0	30840.0	33465.0	34397.0
BritoIL_2016__M1.52.ST__bin.16	23988.0	28365.0	22795.0	25194.0	24829.0	14769.0	19580.0	25604.0	28797.0	24321.0	22692.0	21895.0	25127.0	25819.0	22231.0	23995.0	29420.0	17094.0	0.0	27458.0	18404.0	27240.0	28689.0	24268.0	26842.0	20411.0	25787.0	23407.0	19600.0	26319.0	15229.0	26491.0	24736.0	26903.0	30570.0	16363.0	28069.0	29996.0	30381.0
Obregon-TitoAJ_2015__SM31__bin.33	46744.0	49950.0	42311.0	52077.0	48577.0	29437.0	36995.0	51853.0	52391.0	50562.0	48998.0	46059.0	49849.0	44662.0	40657.0	50566.0	51401.0	31969.0	27458.0	0.0	31600.0	48678.0	50105.0	47676.0	51300.0	37704.0	51141.0	45209.0	51887.0	49062.0	30916.0	50690.0	44588.0	52041.0	51744.0	30694.0	48671.0	53745.0	53259.0
ZellerG_2014__CCIS74726977ST-3-0__bin.68	30077.0	30947.0	27776.0	33150.0	31074.0	19840.0	23281.0	33115.0	32265.0	31875.0	31649.0	29012.0	32074.0	30381.0	26659.0	32636.0	32491.0	20743.0	18404.0	31600.0	0.0	32470.0	33203.0	31117.0	33461.0	25483.0	32212.0	29178.0	34250.0	31824.0	20304.0	33213.0	27739.0	33723.0	35837.0	20161.0	31321.0	34198.0	35038.0
Obregon-TitoAJ_2015__SM37__bin.42	49763.0	52940.0	43107.0	51508.0	51672.0	29939.0	37976.0	52689.0	55007.0	51686.0	51541.0	47842.0	51966.0	43970.0	43623.0	53132.0	56198.0	30579.0	27240.0	48678.0	32470.0	0.0	52113.0	48063.0	53214.0	38073.0	52641.0	45744.0	54036.0	48668.0	32086.0	52861.0	46265.0	52509.0	50506.0	31646.0	51127.0	55899.0	56452.0
HMP_2012__SRS024009__bin.28	48634.0	51888.0	44810.0	55019.0	50234.0	31541.0	38197.0	53497.0	53882.0	52656.0	51871.0	48784.0	52752.0	48594.0	42835.0	52961.0	54035.0	32976.0	28689.0	50105.0	33203.0	52113.0	0.0	50290.0	54625.0	41215.0	52627.0	47269.0	55367.0	52662.0	31373.0	54447.0	46160.0	56285.0	58454.0	32715.0	51753.0	57396.0	57694.0
BritoIL_2016__W1.53.ST__bin.71	42091.0	49749.0	38363.0	48808.0	43374.0	28304.0	32665.0	43534.0	50351.0	42250.0	44893.0	41930.0	46313.0	45457.0	37803.0	44817.0	52720.0	29332.0	24268.0	47676.0	31117.0	48063.0	50290.0	0.0	48258.0	35030.0	46414.0	42610.0	46101.0	44848.0	28244.0	47966.0	44089.0	48518.0	54125.0	29158.0	49708.0	53264.0	52880.0
CM_madagascar__A81_01_1FE__bin.50	49358.0	53627.0	42979.0	51681.0	50025.0	30547.0	37288.0	52072.0	55689.0	50469.0	48931.0	46835.0	50826.0	49875.0	41508.0	52197.0	58761.0	29328.0	26842.0	51300.0	33461.0	53214.0	54625.0	48258.0	0.0	37953.0	51169.0	44995.0	52891.0	50475.0	31256.0	53972.0	47327.0	53340.0	58368.0	29971.0	53489.0	58806.0	59212.0
BritoIL_2016__M1.15.ST__bin.23	32557.0	39304.0	31432.0	36429.0	33780.0	21477.0	26422.0	35990.0	39934.0	36143.0	33742.0	34699.0	35952.0	36370.0	29542.0	34145.0	41600.0	23733.0	20411.0	37704.0	25483.0	38073.0	41215.0	35030.0	37953.0	0.0	35594.0	33769.0	37079.0	36487.0	17622.0	37582.0	35360.0	24315.0	43530.0	22034.0	38802.0	41894.0	42964.0
BritoIL_2016__M1.48.ST__bin.38	45740.0	52354.0	39609.0	51628.0	48519.0	28611.0	34826.0	49611.0	53630.0	48352.0	47032.0	44076.0	48533.0	47147.0	40234.0	48665.0	55264.0	30456.0	25787.0	51141.0	32212.0	52641.0	52627.0	46414.0	51169.0	35594.0	0.0	44691.0	50908.0	48908.0	27634.0	49788.0	46024.0	49261.0	56244.0	30361.0	51604.0	56080.0	56541.0
CM_madagascar__A75_02_1FE__bin.34	40932.0	46071.0	36684.0	47266.0	43017.0	25325.0	32634.0	46291.0	48118.0	43918.0	43280.0	40794.0	44695.0	42879.0	36518.0	44300.0	50509.0	25771.0	23407.0	45209.0	29178.0	45744.0	47269.0	42610.0	44995.0	33769.0	44691.0	0.0	46911.0	40459.0	27086.0	46378.0	40544.0	48241.0	49628.0	27307.0	46767.0	51777.0	51088.0
BritoIL_2016__M2.46.ST__bin.81	47970.0	54230.0	43096.0	51948.0	49165.0	30340.0	35782.0	49932.0	57540.0	49250.0	50544.0	47234.0	50199.0	50287.0	41631.0	50085.0	58581.0	31184.0	19600.0	51887.0	34250.0	54036.0	55367.0	46101.0	52891.0	37079.0	50908.0	46911.0	0.0	51553.0	28968.0	53954.0	47973.0	51873.0	61180.0	29537.0	54683.0	61230.0	60657.0
CM_madagascar__A46_02_1FE__bin.8	46421.0	49909.0	39620.0	50369.0	47711.0	28504.0	34767.0	51386.0	51829.0	48933.0	47860.0	45892.0	48480.0	47347.0	40763.0	49559.0	52998.0	27579.0	26319.0	49062.0	31824.0	48668.0	52662.0	44848.0	50475.0	36487.0	48908.0	40459.0	51553.0	0.0	30238.0	50216.0	45334.0	52574.0	54624.0	30416.0	49184.0	57623.0	55294.0
BritoIL_2016__M1.3.ST__bin.76	27361.0	32511.0	24953.0	29770.0	27695.0	18683.0	22321.0	29364.0	32956.0	28474.0	27505.0	25883.0	29868.0	29651.0	25246.0	30164.0	33275.0	19386.0	15229.0	30916.0	20304.0	32086.0	31373.0	28244.0	31256.0	17622.0	27634.0	27086.0	28968.0	30238.0	0.0	29638.0	28158.0	30873.0	33956.0	19450.0	31291.0	34189.0	33264.0
BritoIL_2016__W2.39.ST__bin.22	20168.0	54468.0	42465.0	53327.0	48557.0	29216.0	35332.0	52990.0	54937.0	50221.0	48941.0	44692.0	51177.0	49855.0	41144.0	50106.0	56227.0	30993.0	26491.0	50690.0	33213.0	52861.0	54447.0	47966.0	53972.0	37582.0	49788.0	46378.0	53954.0	50216.0	29638.0	0.0	47892.0	54687.0	60195.0	31266.0	53929.0	59549.0	59289.0
LiJ_2017__H1F613739__bin.39	43373.0	42814.0	38430.0	48309.0	44976.0	27338.0	33385.0	46923.0	47142.0	45262.0	44140.0	42403.0	45153.0	43295.0	37315.0	46329.0	49117.0	28835.0	24736.0	44588.0	27739.0	46265.0	46160.0	44089.0	47327.0	35360.0	46024.0	40544.0	47973.0	45334.0	28158.0	47892.0	0.0	48500.0	51604.0	29033.0	46445.0	50953.0	50151.0
BritoIL_2016__W2.6.ST__bin.50	48603.0	53162.0	42755.0	52287.0	49350.0	29739.0	37468.0	54082.0	56348.0	50080.0	42792.0	48748.0	50419.0	51060.0	39898.0	49623.0	60975.0	31709.0	26903.0	52041.0	33723.0	52509.0	56285.0	48518.0	53340.0	24315.0	49261.0	48241.0	51873.0	52574.0	30873.0	54687.0	48500.0	0.0	61701.0	28954.0	54810.0	60698.0	59641.0
Obregon-TitoAJ_2015__SM03__bin.1	54906.0	58757.0	47396.0	60212.0	54634.0	33076.0	42029.0	60518.0	59981.0	56649.0	56555.0	51985.0	56918.0	43271.0	46819.0	58749.0	62123.0	33866.0	30570.0	51744.0	35837.0	50506.0	58454.0	54125.0	58368.0	43530.0	56244.0	49628.0	61180.0	54624.0	33956.0	60195.0	51604.0	61701.0	0.0	34911.0	56720.0	63510.0	60870.0
BritoIL_2016__WL.12.ST__bin.24	29014.0	32437.0	25694.0	30103.0	28956.0	19054.0	22512.0	29700.0	33523.0	28854.0	29755.0	27068.0	30384.0	30023.0	26161.0	29920.0	34265.0	19499.0	16363.0	30694.0	20161.0	31646.0	32715.0	29158.0	29971.0	22034.0	30361.0	27307.0	29537.0	30416.0	19450.0	31266.0	29033.0	28954.0	34911.0	0.0	32910.0	35021.0	35174.0
XieH_2016__YSZC12003_37204__bin.77	48011.0	52347.0	43681.0	53225.0	49886.0	31179.0	37108.0	52523.0	52790.0	51237.0	51628.0	47594.0	51952.0	49356.0	43640.0	51592.0	52323.0	30840.0	28069.0	48671.0	31321.0	51127.0	51753.0	49708.0	53489.0	38802.0	51604.0	46767.0	54683.0	49184.0	31291.0	53929.0	46445.0	54810.0	56720.0	32910.0	0.0	54897.0	55390.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.48	54252.0	56679.0	47837.0	58594.0	54734.0	33274.0	41318.0	58584.0	59682.0	55471.0	55833.0	51607.0	56469.0	51360.0	46424.0	56416.0	58871.0	33465.0	29996.0	53745.0	34198.0	55899.0	57396.0	53264.0	58806.0	41894.0	56080.0	51777.0	61230.0	57623.0	34189.0	59549.0	50953.0	60698.0	63510.0	35021.0	54897.0	0.0	60102.0
VogtmannE_2016__MMRS21365932ST-27-0-0__bin.31	53992.0	56717.0	47501.0	59730.0	54595.0	32864.0	41426.0	58971.0	58399.0	57462.0	54884.0	51278.0	56997.0	50608.0	46095.0	56825.0	58553.0	34397.0	30381.0	53259.0	35038.0	56452.0	57694.0	52880.0	59212.0	42964.0	56541.0	51088.0	60657.0	55294.0	33264.0	59289.0	50151.0	59641.0	60870.0	35174.0	55390.0	60102.0	0.0
