	LiJ_2014__MH0357__bin.61	BritoIL_2016__W2.47.ST__bin.34	QinJ_2012__T2D-073__bin.53	CosteaPI_2017__SID713A014-11-0-0__bin.28	BritoIL_2016__WL.5.ST__bin.6	CM_madagascar__A94_01_1FE__bin.15	BritoIL_2016__WL.44.ST__bin.12	LiJ_2014__MH0400__bin.25	CosteaPI_2017__SID713A058-11-0-0__bin.50	CosteaPI_2017__SID713B005-11-90-0__bin.30	LiuW_2016__SRR3993014__bin.77	LiJ_2014__V1.CD6-0-PT__bin.78	LiuW_2016__SRR3993042__bin.16	LiuW_2016__SRR3993060__bin.20	CosteaPI_2017__SID713A057-11-90-0__bin.8	LiJ_2014__V1.CD44-4__bin.14	CosteaPI_2017__SID713B003-11-0-0__bin.34	CosteaPI_2017__SID713B003-11-90-0__bin.67	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.49	CosteaPI_2017__SID713A049-11-0-0__bin.2	LiJ_2014__V1.CD44-0__bin.7	CosteaPI_2017__SID713A058-11-90-0__bin.42	CosteaPI_2017__SID713A038-11-90-0__bin.55	CM_madagascar__A72_01_1FE__bin.16	LiJ_2014__O2.UC16-1__bin.29	CosteaPI_2017__SID713B040-11-90-0__bin.114	KarlssonFH_2013__S468__bin.13	LiJ_2014__MH0222__bin.7	LiuW_2016__SRR3993051__bin.10	CosteaPI_2017__SID713B042-11-0-0__bin.61	LiuW_2016__SRR3993050__bin.66
CosteaPI_2017__SID713B003-11-90-0__bin.67	45950.0	52550.0	62818.0	52146.0	58926.0	51271.0	61083.0	60066.0	38934.0	48341.0	44239.0	76075.0	43574.0	56673.0	51876.0	60031.0	817.0	0.0	61841.0	40189.0	54679.0	46540.0	43632.0	62130.0	54615.0	45750.0	45751.0	50346.0	47435.0	34302.0	61762.0
VogtmannE_2016__MMRS57276462ST-27-0-0__bin.49	45899.0	53906.0	65895.0	58343.0	61049.0	50390.0	61501.0	58052.0	44059.0	59146.0	46600.0	76149.0	43613.0	62053.0	59162.0	60893.0	67519.0	61841.0	0.0	48894.0	54708.0	53418.0	45519.0	63226.0	56726.0	51205.0	46601.0	47904.0	49943.0	39814.0	62660.0
CosteaPI_2017__SID713A049-11-0-0__bin.2	37637.0	45502.0	51180.0	42957.0	49254.0	42588.0	47279.0	47207.0	25463.0	44144.0	39058.0	64099.0	38012.0	45085.0	31268.0	48782.0	41032.0	40189.0	48894.0	0.0	46074.0	29750.0	38985.0	50390.0	44427.0	39761.0	37815.0	42591.0	40182.0	32675.0	50577.0
LiJ_2014__V1.CD44-0__bin.7	43510.0	47564.0	55198.0	54263.0	52582.0	46478.0	54530.0	54413.0	43071.0	54345.0	45131.0	71772.0	43101.0	53006.0	53391.0	696.0	55399.0	54679.0	54708.0	46074.0	0.0	50422.0	43379.0	55466.0	50361.0	49590.0	44918.0	49290.0	43554.0	39878.0	54465.0
CosteaPI_2017__SID713A058-11-90-0__bin.42	39492.0	49645.0	57222.0	47238.0	53280.0	48670.0	52411.0	50862.0	734.0	49096.0	42187.0	69715.0	40890.0	50558.0	603.0	53165.0	47035.0	46540.0	53418.0	29750.0	50422.0	0.0	39562.0	55332.0	49877.0	43777.0	43754.0	45855.0	43515.0	34232.0	55710.0
CosteaPI_2017__SID713A038-11-90-0__bin.55	36395.0	41560.0	48028.0	23931.0	46692.0	40688.0	44415.0	45135.0	36659.0	40251.0	38707.0	59984.0	37186.0	44888.0	42057.0	44842.0	44714.0	43632.0	45519.0	38985.0	43379.0	39562.0	0.0	48038.0	42820.0	38770.0	35538.0	38659.0	40133.0	31301.0	44916.0
CM_madagascar__A72_01_1FE__bin.16	51348.0	45925.0	55354.0	60372.0	56472.0	44944.0	54280.0	62891.0	46896.0	61384.0	47724.0	71264.0	45750.0	59778.0	61482.0	58965.0	66070.0	62130.0	63226.0	50390.0	55466.0	55332.0	48038.0	0.0	56794.0	52296.0	49376.0	52010.0	50622.0	43202.0	57997.0
LiJ_2014__O2.UC16-1__bin.29	40818.0	51166.0	60599.0	52495.0	56249.0	49207.0	57569.0	51614.0	41231.0	52771.0	42380.0	71486.0	42358.0	53284.0	54084.0	56083.0	55645.0	54615.0	56726.0	44427.0	50361.0	49877.0	42820.0	56794.0	0.0	46875.0	42813.0	47244.0	43924.0	37472.0	59144.0
CosteaPI_2017__SID713B040-11-90-0__bin.114	39102.0	46949.0	53646.0	43723.0	52443.0	45340.0	50824.0	48069.0	36361.0	45640.0	40893.0	66656.0	40889.0	48159.0	45394.0	52511.0	46105.0	45750.0	51205.0	39761.0	49590.0	43777.0	38770.0	52296.0	46875.0	0.0	42027.0	44862.0	41732.0	33527.0	52083.0
KarlssonFH_2013__S468__bin.13	33292.0	46256.0	51204.0	43322.0	47169.0	44627.0	49230.0	42126.0	36409.0	41855.0	39783.0	60266.0	35895.0	47334.0	45127.0	48376.0	46721.0	45751.0	46601.0	37815.0	44918.0	43754.0	35538.0	49376.0	42813.0	42027.0	0.0	39206.0	38234.0	29277.0	50836.0
LiJ_2014__MH0222__bin.7	15457.0	47953.0	57046.0	47000.0	51883.0	45464.0	52048.0	40651.0	37033.0	48501.0	40563.0	67254.0	37580.0	49099.0	48966.0	53011.0	50477.0	50346.0	47904.0	42591.0	49290.0	45855.0	38659.0	52010.0	47244.0	44862.0	39206.0	0.0	41960.0	34434.0	54531.0
LiuW_2016__SRR3993051__bin.10	40863.0	41423.0	48908.0	47029.0	48490.0	41209.0	44881.0	50058.0	40102.0	46867.0	41636.0	60077.0	40816.0	46448.0	46164.0	46199.0	49660.0	47435.0	49943.0	40182.0	43554.0	43515.0	40133.0	50622.0	43924.0	41732.0	38234.0	41960.0	0.0	34630.0	46648.0
CosteaPI_2017__SID713B042-11-0-0__bin.61	32667.0	38975.0	43653.0	35870.0	41891.0	36095.0	41699.0	38293.0	29715.0	15193.0	33877.0	54140.0	32359.0	40319.0	36638.0	41368.0	34976.0	34302.0	39814.0	32675.0	39878.0	34232.0	31301.0	43202.0	37472.0	33527.0	29277.0	34434.0	34630.0	0.0	42470.0
LiuW_2016__SRR3993050__bin.66	47602.0	48164.0	56681.0	56273.0	55525.0	46705.0	55408.0	60550.0	46363.0	61204.0	44456.0	75872.0	40648.0	55940.0	61293.0	61002.0	63567.0	61762.0	62660.0	50577.0	54465.0	55710.0	44916.0	57997.0	59144.0	52083.0	50836.0	54531.0	46648.0	42470.0	0.0
