	LiJ_2014__MH0357__bin.61	BritoIL_2016__W2.47.ST__bin.34	QinJ_2012__T2D-073__bin.53	CosteaPI_2017__SID713A014-11-0-0__bin.28	BritoIL_2016__WL.5.ST__bin.6	CM_madagascar__A94_01_1FE__bin.15	BritoIL_2016__WL.44.ST__bin.12	LiJ_2014__MH0400__bin.25	CosteaPI_2017__SID713A058-11-0-0__bin.50	CosteaPI_2017__SID713B005-11-90-0__bin.30	LiuW_2016__SRR3993014__bin.77	LiJ_2014__V1.CD6-0-PT__bin.78	LiuW_2016__SRR3993042__bin.16	LiuW_2016__SRR3993060__bin.20	CosteaPI_2017__SID713A057-11-90-0__bin.8	LiJ_2014__V1.CD44-4__bin.14	CosteaPI_2017__SID713B003-11-0-0__bin.34	CosteaPI_2017__SID713B003-11-90-0__bin.67	VogtmannE_2016__MMRS57276462ST-27-0-0__bin.49	CosteaPI_2017__SID713A049-11-0-0__bin.2	LiJ_2014__V1.CD44-0__bin.7	CosteaPI_2017__SID713A058-11-90-0__bin.42	CosteaPI_2017__SID713A038-11-90-0__bin.55	CM_madagascar__A72_01_1FE__bin.16	LiJ_2014__O2.UC16-1__bin.29	CosteaPI_2017__SID713B040-11-90-0__bin.114	KarlssonFH_2013__S468__bin.13	LiJ_2014__MH0222__bin.7	LiuW_2016__SRR3993051__bin.10	CosteaPI_2017__SID713B042-11-0-0__bin.61	LiuW_2016__SRR3993050__bin.66
LiuW_2016__SRR3993014__bin.77	1268846.0	1384299.0	1662787.0	1729229.0	1593859.0	1500215.0	1606821.0	1663009.0	1522872.0	1627177.0	1890370.0	1505758.0	1457410.0	1762402.0	1686255.0	1665868.0	1773953.0	1732492.0	1680816.0	1435567.0	1620482.0	1591339.0	1496859.0	1650268.0	1584380.0	1558928.0	1333229.0	1466519.0	1584051.0	1212241.0	1713093.0
LiJ_2014__V1.CD6-0-PT__bin.78	1349831.0	1453526.0	1782140.0	1766034.0	1626835.0	1547038.0	1720951.0	1798782.0	1463537.0	1772136.0	1505758.0	2150171.0	1381169.0	1758716.0	1770163.0	1787829.0	1866973.0	1853177.0	1818889.0	1498763.0	1722717.0	1649291.0	1462973.0	1653113.0	1667893.0	1621820.0	1402710.0	1634348.0	1503342.0	1281126.0	1807243.0
LiuW_2016__SRR3993042__bin.16	1148438.0	1281790.0	1525841.0	1571192.0	1440209.0	1363662.0	1477938.0	1488417.0	1415710.0	1484631.0	1457410.0	1381169.0	1698536.0	1552378.0	1538512.0	1521554.0	1588845.0	1564361.0	1539022.0	1320214.0	1472081.0	1454050.0	1369149.0	1514912.0	1445561.0	1448258.0	1240913.0	1332061.0	1422594.0	1137233.0	1566522.0
LiuW_2016__SRR3993060__bin.20	1765707.0	1538650.0	2040178.0	2234675.0	2106723.0	1688245.0	2009452.0	2316377.0	1669189.0	1957659.0	1762402.0	1758716.0	1552378.0	2794148.0	2047234.0	2058157.0	2466817.0	2211237.0	2309851.0	1634319.0	1912711.0	1855931.0	1731122.0	2172972.0	1938225.0	1779719.0	1534852.0	1720938.0	1871634.0	1438424.0	2070706.0
CosteaPI_2017__SID713A057-11-90-0__bin.8	1517399.0	1606440.0	2036125.0	2044958.0	1879685.0	1683622.0	1936943.0	1982657.0	1713005.0	2017874.0	1686255.0	1770163.0	1538512.0	2047234.0	2506478.0	2049587.0	2263934.0	2196241.0	2135511.0	1722320.0	1866392.0	2055948.0	1643470.0	1950611.0	1981097.0	1858184.0	1584526.0	1838820.0	1726203.0	1437847.0	2142865.0
LiJ_2014__V1.CD44-4__bin.14	1490404.0	1548698.0	2030599.0	2049399.0	1880654.0	1706342.0	1970629.0	1972371.0	1610804.0	1945489.0	1665868.0	1787829.0	1521554.0	2058157.0	2049587.0	2448986.0	2174641.0	2142802.0	2072522.0	1640261.0	2152930.0	1839401.0	1624675.0	1913687.0	1910561.0	1800612.0	1557260.0	1780373.0	1710378.0	1405881.0	2092729.0
CosteaPI_2017__SID713B003-11-0-0__bin.34	1852095.0	1633324.0	2210737.0	2370906.0	2219541.0	1771118.0	2154282.0	2465006.0	1710668.0	2164941.0	1773953.0	1866973.0	1588845.0	2466817.0	2263934.0	2174641.0	3061545.0	2649979.0	2541971.0	1764636.0	1981646.0	1989129.0	1821659.0	2311546.0	2053860.0	1913631.0	1615264.0	1871784.0	1981365.0	1526860.0	2245155.0
CosteaPI_2017__SID713B003-11-90-0__bin.67	1622902.0	1623257.0	2128565.0	2184494.0	2019728.0	1775437.0	2105930.0	2197553.0	1697752.0	2115663.0	1732492.0	1853177.0	1564361.0	2211237.0	2196241.0	2142802.0	2649979.0	2672791.0	2257014.0	1743418.0	1960950.0	1991341.0	1760594.0	2072063.0	2015657.0	1904229.0	1591569.0	1871048.0	1835856.0	1491712.0	2215121.0
VogtmannE_2016__MMRS57276462ST-27-0-0__bin.49	1783291.0	1603363.0	2125195.0	2240977.0	2134683.0	1690732.0	2036060.0	2352283.0	1641274.0	2072606.0	1680816.0	1818889.0	1539022.0	2309851.0	2135511.0	2072522.0	2541971.0	2257014.0	3012911.0	1702171.0	1878540.0	1894549.0	1710770.0	2218714.0	1963387.0	1812664.0	1563369.0	1842923.0	1856319.0	1483045.0	2146329.0
CosteaPI_2017__SID713A049-11-0-0__bin.2	1321711.0	1395005.0	1629515.0	1672603.0	1563744.0	1419983.0	1575136.0	1667693.0	1423453.0	1660948.0	1435567.0	1498763.0	1320214.0	1634319.0	1722320.0	1640261.0	1764636.0	1743418.0	1702171.0	1852550.0	1560382.0	1609923.0	1496316.0	1600301.0	1590528.0	1584858.0	1309944.0	1520520.0	1451633.0	1313608.0	1707638.0
LiJ_2014__V1.CD44-0__bin.7	1431983.0	1477044.0	1889849.0	1912003.0	1759897.0	1638273.0	1823491.0	1864882.0	1548298.0	1781642.0	1620482.0	1722717.0	1472081.0	1912711.0	1866392.0	2152930.0	1981646.0	1960950.0	1878540.0	1560382.0	2170775.0	1738213.0	1563705.0	1788386.0	1735780.0	1681024.0	1457126.0	1662323.0	1608807.0	1330378.0	1895791.0
CosteaPI_2017__SID713A058-11-90-0__bin.42	1381948.0	1534218.0	1827959.0	1854938.0	1707210.0	1614600.0	1722673.0	1796930.0	1649163.0	1842029.0	1591339.0	1649291.0	1454050.0	1855931.0	2055948.0	1839401.0	1989129.0	1991341.0	1894549.0	1609923.0	1738213.0	2138581.0	1534237.0	1750036.0	1827346.0	1777352.0	1540402.0	1690920.0	1606354.0	1338179.0	1937941.0
CosteaPI_2017__SID713A038-11-90-0__bin.55	1352292.0	1356235.0	1661068.0	1805220.0	1630382.0	1442809.0	1595614.0	1711656.0	1459404.0	1613064.0	1496859.0	1462973.0	1369149.0	1731122.0	1643470.0	1624675.0	1821659.0	1760594.0	1710770.0	1496316.0	1563705.0	1534237.0	1934283.0	1662203.0	1553525.0	1517428.0	1290292.0	1469006.0	1546789.0	1300609.0	1676354.0
CM_madagascar__A72_01_1FE__bin.16	1677739.0	1472042.0	1933922.0	2125204.0	2040495.0	1619669.0	1897499.0	2115113.0	1562485.0	1881393.0	1650268.0	1653113.0	1514912.0	2172972.0	1950611.0	1913687.0	2311546.0	2072063.0	2218714.0	1600301.0	1788386.0	1750036.0	1662203.0	2548624.0	1790056.0	1711540.0	1429952.0	1663377.0	1804149.0	1380062.0	1983596.0
LiJ_2014__O2.UC16-1__bin.29	1427432.0	1501694.0	1879722.0	1914998.0	1758650.0	1580011.0	1804351.0	1902189.0	1571532.0	1868408.0	1584380.0	1667893.0	1445561.0	1938225.0	1981097.0	1910561.0	2053860.0	2015657.0	1963387.0	1590528.0	1735780.0	1827346.0	1553525.0	1790056.0	2254312.0	1736735.0	1495942.0	1719603.0	1624536.0	1365816.0	1964578.0
CosteaPI_2017__SID713B040-11-90-0__bin.114	1351135.0	1469915.0	1752671.0	1821078.0	1677016.0	1579689.0	1708365.0	1760681.0	1518653.0	1772704.0	1558928.0	1621820.0	1448258.0	1779719.0	1858184.0	1800612.0	1913631.0	1904229.0	1812664.0	1584858.0	1681024.0	1777352.0	1517428.0	1711540.0	1736735.0	2105180.0	1458259.0	1654620.0	1567362.0	1320191.0	1849339.0
KarlssonFH_2013__S468__bin.13	1134193.0	1316348.0	1527233.0	1519697.0	1387040.0	1388452.0	1476945.0	1506260.0	1328950.0	1543343.0	1333229.0	1402710.0	1240913.0	1534852.0	1584526.0	1557260.0	1615264.0	1591569.0	1563369.0	1309944.0	1457126.0	1540402.0	1290292.0	1429952.0	1495942.0	1458259.0	1741208.0	1418991.0	1328415.0	1103795.0	1587858.0
LiJ_2014__MH0222__bin.7	1416881.0	1427589.0	1773009.0	1755493.0	1657615.0	1482301.0	1691081.0	1790037.0	1438485.0	1792998.0	1466519.0	1634348.0	1332061.0	1720938.0	1838820.0	1780373.0	1871784.0	1871048.0	1842923.0	1520520.0	1662323.0	1690920.0	1469006.0	1663377.0	1719603.0	1654620.0	1418991.0	2073298.0	1501446.0	1322727.0	1810866.0
LiuW_2016__SRR3993051__bin.10	1442597.0	1371662.0	1737599.0	1873461.0	1739145.0	1488032.0	1661984.0	1846394.0	1523533.0	1686813.0	1584051.0	1503342.0	1422594.0	1871634.0	1726203.0	1710378.0	1981365.0	1835856.0	1856319.0	1451633.0	1608807.0	1606354.0	1546789.0	1804149.0	1624536.0	1567362.0	1328415.0	1501446.0	2069215.0	1254686.0	1754442.0
CosteaPI_2017__SID713B042-11-0-0__bin.61	1218289.0	1158690.0	1368903.0	1473898.0	1353642.0	1177056.0	1337417.0	1491658.0	1187830.0	1476664.0	1212241.0	1281126.0	1137233.0	1438424.0	1437847.0	1405881.0	1526860.0	1491712.0	1483045.0	1313608.0	1330378.0	1338179.0	1300609.0	1380062.0	1365816.0	1320191.0	1103795.0	1322727.0	1254686.0	1610903.0	1456767.0
LiuW_2016__SRR3993050__bin.66	1519150.0	1623651.0	2060807.0	2102339.0	1925163.0	1741774.0	2045101.0	2011813.0	1668442.0	2038669.0	1713093.0	1807243.0	1566522.0	2070706.0	2142865.0	2092729.0	2245155.0	2215121.0	2146329.0	1707638.0	1895791.0	1937941.0	1676354.0	1983596.0	1964578.0	1849339.0	1587858.0	1810866.0	1754442.0	1456767.0	2473738.0
