	QinN_2014__LD-24__bin.3	HMP_2012__SRS017511__bin.37	BritoIL_2016__W1.9.SA__bin.3	CM_periimplantitis__SP_184SPT_T016__bin.15	HMP_2012__SRS014477__bin.4	CM_periimplantitis__SP_385SPI_T016__bin.1	ZellerG_2014__CCIS35100175ST-4-0__bin.56	CM_periimplantitis__SP_384SPI_T016__bin.6	HMP_2012__SRS048411__bin.62	CM_cf__CF_TNFC041IS_t3M15__bin.7	HMP_2012__SRS055401__bin.1	FengQ_2015__SID31874__bin.79	YuJ_2015__SZAXPI017464-37__bin.5	CM_periimplantitis__SP_305SPI_T016__bin.4	BritoIL_2016__W2.8.SA__bin.15	FengQ_2015__SID530373__bin.76	YuJ_2015__SZAXPI003409-8__bin.1	HMP_2012__SRS015062__bin.1	HMP_2012__SRS015061__bin.7	HMP_2012__SRS023595__bin.55	ZellerG_2014__CCMD18872694ST-21-0__bin.29	HMP_2012__SRS049318__bin.42	ZellerG_2014__CCIS33816588ST-4-0__bin.62	HMP_2012__SRS063603__bin.8	LiJ_2014__V1.FI17__bin.37	HMP_2012__SRS022149__bin.24	YuJ_2015__SZAXPI015217-140__bin.30	HMP_2012__SRS016746__bin.33	HMP_2012__SRS020226__bin.31	YuJ_2015__SZAXPI003412-1__bin.20	CM_periimplantitis__SP_186SPI_T016_R__bin.1
HMP_2012__SRS055401__bin.1	58931.0	61247.0	44906.0	30311.0	67868.0	47248.0	67622.0	37047.0	54409.0	32479.0	0.0	64118.0	66060.0	40033.0	61987.0	40279.0	58611.0	66100.0	58775.0	60597.0	67550.0	57257.0	67548.0	65340.0	51004.0	66726.0	38085.0	56202.0	53900.0	62247.0	30624.0
FengQ_2015__SID31874__bin.79	59786.0	62341.0	44426.0	52574.0	67180.0	45653.0	67412.0	67610.0	54406.0	62894.0	64118.0	0.0	67222.0	39969.0	40883.0	39784.0	57774.0	65737.0	56638.0	37204.0	67652.0	57188.0	66276.0	64349.0	51399.0	17056.0	38331.0	56053.0	33630.0	61994.0	30706.0
YuJ_2015__SZAXPI017464-37__bin.5	60414.0	62528.0	43240.0	53854.0	59929.0	44146.0	66748.0	70055.0	55185.0	64428.0	66060.0	67222.0	0.0	41067.0	64041.0	40158.0	56372.0	57854.0	49511.0	61516.0	66219.0	57590.0	67489.0	65185.0	51510.0	68315.0	37354.0	57826.0	52276.0	61361.0	27974.0
CM_periimplantitis__SP_305SPI_T016__bin.4	36855.0	38965.0	27990.0	32825.0	40764.0	28537.0	39919.0	41417.0	34222.0	39081.0	40033.0	39969.0	41067.0	0.0	38475.0	24538.0	36149.0	39405.0	36060.0	37201.0	39379.0	35926.0	39367.0	39525.0	32940.0	40560.0	23143.0	35259.0	33848.0	38758.0	20437.0
BritoIL_2016__W2.8.SA__bin.15	57592.0	59399.0	41171.0	51043.0	64922.0	43349.0	63027.0	64614.0	52556.0	59691.0	61987.0	40883.0	64041.0	38475.0	0.0	37032.0	53507.0	62574.0	54965.0	1242.0	64257.0	56139.0	63076.0	61012.0	49695.0	39738.0	38816.0	53146.0	1661.0	59082.0	29842.0
FengQ_2015__SID530373__bin.76	13789.0	37136.0	26885.0	30392.0	40028.0	29180.0	43300.0	41452.0	33999.0	37921.0	40279.0	39784.0	40158.0	24538.0	37032.0	0.0	36987.0	38394.0	40809.0	39106.0	41581.0	38363.0	41301.0	42376.0	31734.0	41101.0	25057.0	34860.0	35172.0	37986.0	18005.0
YuJ_2015__SZAXPI003409-8__bin.1	53264.0	55438.0	39747.0	46594.0	57792.0	38898.0	36591.0	59074.0	47468.0	55616.0	58611.0	57774.0	56372.0	36149.0	53507.0	36987.0	0.0	56652.0	49731.0	52504.0	56172.0	48634.0	60296.0	58507.0	44909.0	57637.0	31686.0	51374.0	45620.0	55128.0	26679.0
HMP_2012__SRS015062__bin.1	58629.0	60660.0	42459.0	51830.0	373.0	45241.0	67058.0	66623.0	53482.0	62862.0	66100.0	65737.0	57854.0	39405.0	62574.0	38394.0	56652.0	0.0	215.0	61595.0	67511.0	57219.0	67776.0	63493.0	50534.0	66182.0	37451.0	54638.0	52567.0	60019.0	6745.0
HMP_2012__SRS015061__bin.7	52044.0	53199.0	38062.0	43870.0	429.0	42973.0	60881.0	58282.0	47769.0	54781.0	58775.0	56638.0	49511.0	36060.0	54965.0	40809.0	49731.0	215.0	0.0	58668.0	59423.0	54899.0	63712.0	57663.0	43806.0	58947.0	39914.0	48532.0	53537.0	53358.0	5619.0
HMP_2012__SRS023595__bin.55	57076.0	56999.0	41519.0	45972.0	62907.0	42508.0	60842.0	62024.0	51034.0	57864.0	60597.0	37204.0	61516.0	37201.0	1242.0	39106.0	52504.0	61595.0	58668.0	0.0	62139.0	57773.0	60918.0	59644.0	47086.0	36989.0	39021.0	51266.0	1392.0	56953.0	28031.0
ZellerG_2014__CCMD18872694ST-21-0__bin.29	61069.0	63591.0	43098.0	54160.0	69930.0	39995.0	67312.0	70068.0	54898.0	64461.0	67550.0	67652.0	66219.0	39379.0	64257.0	41581.0	56172.0	67511.0	59423.0	62139.0	0.0	57920.0	68058.0	67683.0	49773.0	70135.0	35632.0	57703.0	52660.0	63132.0	30933.0
HMP_2012__SRS049318__bin.42	53441.0	54947.0	37640.0	43216.0	59067.0	39847.0	55797.0	59121.0	47117.0	54513.0	57257.0	57188.0	57590.0	35926.0	56139.0	38363.0	48634.0	57219.0	54899.0	57773.0	57920.0	0.0	54835.0	57405.0	43796.0	57779.0	36509.0	50395.0	51023.0	53700.0	25939.0
ZellerG_2014__CCIS33816588ST-4-0__bin.62	59876.0	61839.0	44112.0	54335.0	68748.0	47119.0	69227.0	69590.0	53413.0	64567.0	67548.0	66276.0	67489.0	39367.0	63076.0	41301.0	60296.0	67776.0	63712.0	60918.0	68058.0	54835.0	0.0	67785.0	50730.0	70207.0	36059.0	56617.0	54601.0	63422.0	30018.0
HMP_2012__SRS063603__bin.8	58503.0	61281.0	42821.0	52243.0	65855.0	44690.0	68832.0	67059.0	53338.0	62124.0	65340.0	64349.0	65185.0	39525.0	61012.0	42376.0	58507.0	63493.0	57663.0	59644.0	67683.0	57405.0	67785.0	0.0	50260.0	66752.0	37544.0	55833.0	53016.0	63627.0	29653.0
LiJ_2014__V1.FI17__bin.37	47985.0	49701.0	35289.0	42413.0	52049.0	36453.0	50703.0	52969.0	42886.0	50208.0	51004.0	51399.0	51510.0	32940.0	49695.0	31734.0	44909.0	50534.0	43806.0	47086.0	49773.0	43796.0	50730.0	50260.0	0.0	51264.0	28119.0	46279.0	41950.0	48024.0	25668.0
HMP_2012__SRS022149__bin.24	60489.0	63070.0	44842.0	54010.0	68695.0	46836.0	68840.0	69902.0	54828.0	63399.0	66726.0	17056.0	68315.0	40560.0	39738.0	41101.0	57637.0	66182.0	58947.0	36989.0	70135.0	57779.0	70207.0	66752.0	51264.0	0.0	38925.0	55694.0	33193.0	62877.0	30663.0
YuJ_2015__SZAXPI015217-140__bin.30	34810.0	36523.0	23926.0	30178.0	38861.0	25061.0	38263.0	38848.0	32261.0	35593.0	38085.0	38331.0	37354.0	23143.0	38816.0	25057.0	31686.0	37451.0	39914.0	39021.0	35632.0	36509.0	36059.0	37544.0	28119.0	38925.0	0.0	33427.0	34920.0	34283.0	18992.0
HMP_2012__SRS016746__bin.33	52244.0	54817.0	40177.0	45695.0	55943.0	41046.0	59612.0	58151.0	47603.0	53885.0	56202.0	56053.0	57826.0	35259.0	53146.0	34860.0	51374.0	54638.0	48532.0	51266.0	57703.0	50395.0	56617.0	55833.0	46279.0	55694.0	33427.0	0.0	45693.0	54367.0	28210.0
HMP_2012__SRS020226__bin.31	50182.0	49133.0	36647.0	44380.0	53423.0	41168.0	53723.0	53211.0	44641.0	50673.0	53900.0	33630.0	52276.0	33848.0	1661.0	35172.0	45620.0	52567.0	53537.0	1392.0	52660.0	51023.0	54601.0	53016.0	41950.0	33193.0	34920.0	45693.0	0.0	49717.0	26175.0
YuJ_2015__SZAXPI003412-1__bin.20	56671.0	59834.0	41907.0	51515.0	62899.0	42243.0	64000.0	64553.0	51938.0	60116.0	62247.0	61994.0	61361.0	38758.0	59082.0	37986.0	55128.0	60019.0	53358.0	56953.0	63132.0	53700.0	63422.0	63627.0	48024.0	62877.0	34283.0	54367.0	49717.0	0.0	29217.0
CM_periimplantitis__SP_186SPI_T016_R__bin.1	28138.0	28733.0	20852.0	26830.0	6825.0	22625.0	31160.0	31630.0	25204.0	29548.0	30624.0	30706.0	27974.0	20437.0	29842.0	18005.0	26679.0	6745.0	5619.0	28031.0	30933.0	25939.0	30018.0	29653.0	25668.0	30663.0	18992.0	28210.0	26175.0	29217.0	0.0
