	HMP_2012__SRS015215__bin.8	HMP_2012__SRS023964__bin.18	HMP_2012__SRS017139__bin.20	HMP_2012__SRS019128__bin.7	HMP_2012__SRS011126__bin.20	HMP_2012__SRS019906__bin.20	HMP_2012__SRS017227__bin.42	HMP_2012__SRS016575__bin.67	HMP_2012__SRS047634__bin.63	HMP_2012__SRS011152__bin.27	HMP_2012__SRS022602__bin.23	HMP_2012__SRS042984__bin.3	HMP_2012__SRS063932__bin.25	HMP_2012__SRS063603__bin.72	HMP_2012__SRS024561__bin.57	HMP_2012__SRS024355__bin.22	HMP_2012__SRS022149__bin.12	HMP_2012__SRS023938__bin.6	HMP_2012__SRS055401__bin.41	HMP_2012__SRS047113__bin.59	HMP_2012__SRS051378__bin.2	HMP_2012__SRS024649__bin.43	HMP_2012__SRS018443__bin.45	HMP_2012__SRS018157__bin.75	HMP_2012__SRS051930__bin.20	HMP_2012__SRS024087__bin.44	HMP_2012__SRS015044__bin.29	HMP_2012__SRS014578__bin.12	HMP_2012__SRS013170__bin.25	HMP_2012__SRS018665__bin.14	HMP_2012__SRS013533__bin.40	HMP_2012__SRS013723__bin.10	HMP_2012__SRS011343__bin.50	HMP_2012__SRS018394__bin.56	HMP_2012__SRS053917__bin.70
HMP_2012__SRS055401__bin.41	41962.0	61236.0	60209.0	45447.0	43165.0	53819.0	50511.0	11067.0	51450.0	60535.0	59501.0	60973.0	34666.0	56453.0	51413.0	58046.0	60505.0	41606.0	0.0	42217.0	53586.0	67410.0	60006.0	39028.0	58090.0	58658.0	41576.0	58403.0	57959.0	42514.0	61337.0	59764.0	58059.0	59969.0	52417.0
HMP_2012__SRS047113__bin.59	39656.0	53850.0	51618.0	42029.0	12087.0	38881.0	2727.0	46963.0	41061.0	52539.0	53423.0	53487.0	28872.0	55543.0	13512.0	49818.0	52840.0	35838.0	42217.0	0.0	22207.0	63934.0	54988.0	32541.0	57396.0	51656.0	42473.0	50884.0	51274.0	46582.0	59841.0	57466.0	56580.0	56012.0	47217.0
HMP_2012__SRS051378__bin.2	48717.0	68599.0	66884.0	50325.0	20697.0	51863.0	29398.0	61311.0	51612.0	67063.0	67256.0	68363.0	36313.0	66193.0	25476.0	63152.0	67919.0	46245.0	53586.0	22207.0	0.0	79242.0	68880.0	39570.0	71465.0	67236.0	46749.0	65624.0	65234.0	51369.0	77885.0	73702.0	72635.0	71858.0	59501.0
HMP_2012__SRS024649__bin.43	49627.0	81350.0	77706.0	66454.0	65391.0	79791.0	74906.0	76890.0	73582.0	79541.0	79747.0	81555.0	47727.0	70781.0	76649.0	74185.0	80641.0	52792.0	67410.0	63934.0	79242.0	0.0	1358.0	56748.0	72876.0	79132.0	54011.0	75371.0	78870.0	55546.0	77455.0	77165.0	76672.0	76874.0	76504.0
HMP_2012__SRS018443__bin.45	44673.0	69260.0	66913.0	57887.0	57583.0	69379.0	65307.0	67189.0	63635.0	69148.0	68124.0	69280.0	43137.0	62401.0	66495.0	64639.0	69064.0	46257.0	60006.0	54988.0	68880.0	1358.0	0.0	49323.0	63360.0	67961.0	47518.0	66463.0	65892.0	46674.0	67983.0	67237.0	65130.0	67810.0	64906.0
HMP_2012__SRS018157__bin.75	33003.0	49313.0	48081.0	39655.0	33437.0	39314.0	39729.0	44641.0	2307.0	47343.0	48113.0	47868.0	27985.0	46098.0	37141.0	47628.0	47611.0	32434.0	39028.0	32541.0	39570.0	56748.0	49323.0	0.0	49396.0	46820.0	36233.0	46513.0	47692.0	38637.0	51661.0	48486.0	49789.0	48566.0	44368.0
HMP_2012__SRS051930__bin.20	1653.0	70709.0	69131.0	59135.0	59722.0	72249.0	69282.0	64797.0	66311.0	70535.0	70016.0	70590.0	42086.0	36336.0	69085.0	67682.0	69869.0	39657.0	58090.0	57396.0	71465.0	72876.0	63360.0	49396.0	0.0	68152.0	34307.0	71713.0	67245.0	29320.0	42042.0	48193.0	46336.0	60867.0	69282.0
HMP_2012__SRS024087__bin.44	44842.0	57495.0	56554.0	54435.0	53104.0	66414.0	61900.0	68189.0	63608.0	55058.0	55264.0	56330.0	32251.0	64263.0	63703.0	53027.0	56075.0	44579.0	58658.0	51656.0	67236.0	79132.0	67961.0	46820.0	68152.0	0.0	47702.0	68371.0	54830.0	47293.0	74173.0	67687.0	67677.0	71155.0	64502.0
HMP_2012__SRS015044__bin.29	23837.0	48688.0	47272.0	41312.0	43478.0	47109.0	46616.0	44928.0	43912.0	48103.0	48529.0	48391.0	29736.0	14306.0	46825.0	45787.0	47545.0	30395.0	41576.0	42473.0	46749.0	54011.0	47518.0	36233.0	34307.0	47702.0	0.0	50372.0	47455.0	29283.0	38071.0	38751.0	37835.0	42948.0	46727.0
HMP_2012__SRS014578__bin.12	50425.0	71640.0	70640.0	54890.0	51856.0	65359.0	61372.0	64341.0	61182.0	71167.0	71546.0	72296.0	38218.0	67869.0	62880.0	67896.0	72364.0	48524.0	58403.0	50884.0	65624.0	75371.0	66463.0	46513.0	71713.0	68371.0	50372.0	0.0	68417.0	53935.0	74953.0	72688.0	72329.0	72626.0	61936.0
HMP_2012__SRS013170__bin.25	44718.0	1806.0	20466.0	54702.0	53912.0	64713.0	62426.0	66462.0	62766.0	18031.0	18746.0	20071.0	36576.0	64156.0	63744.0	19721.0	20555.0	44658.0	57959.0	51274.0	65234.0	78870.0	65892.0	47692.0	67245.0	54830.0	47455.0	68417.0	0.0	48574.0	74029.0	69285.0	69496.0	70569.0	65337.0
HMP_2012__SRS018665__bin.14	20317.0	50244.0	48464.0	44818.0	47364.0	51512.0	49957.0	47038.0	49494.0	49510.0	49931.0	48953.0	30714.0	29595.0	51089.0	47740.0	48399.0	29571.0	42514.0	46582.0	51369.0	55546.0	46674.0	38637.0	29320.0	47293.0	29283.0	53935.0	48574.0	0.0	32301.0	34459.0	32929.0	42227.0	51051.0
HMP_2012__SRS013533__bin.40	28511.0	77244.0	76309.0	63270.0	62707.0	79171.0	73688.0	70787.0	72551.0	76936.0	76140.0	77698.0	45417.0	44487.0	73835.0	72104.0	76629.0	43420.0	61337.0	59841.0	77885.0	77455.0	67983.0	51661.0	42042.0	74173.0	38071.0	74953.0	74029.0	32301.0	0.0	55885.0	54990.0	66475.0	74678.0
HMP_2012__SRS013723__bin.10	33359.0	72855.0	71796.0	59276.0	57735.0	74148.0	67679.0	67879.0	67915.0	72051.0	71994.0	72087.0	42672.0	46818.0	69225.0	67906.0	71683.0	17130.0	59764.0	57466.0	73702.0	77165.0	67237.0	48486.0	48193.0	67687.0	38751.0	72688.0	69285.0	34459.0	55885.0	0.0	42173.0	65736.0	70167.0
HMP_2012__SRS011343__bin.50	31556.0	71884.0	71831.0	60553.0	59099.0	73414.0	68906.0	67441.0	69910.0	71579.0	72098.0	71818.0	41811.0	45453.0	69643.0	67512.0	71599.0	35839.0	58059.0	56580.0	72635.0	76672.0	65130.0	49789.0	46336.0	67677.0	37835.0	72329.0	69496.0	32929.0	54990.0	42173.0	0.0	64564.0	72647.0
HMP_2012__SRS018394__bin.56	42322.0	74410.0	73325.0	60379.0	57662.0	70858.0	67409.0	67192.0	65602.0	72930.0	71985.0	73501.0	43276.0	57897.0	67749.0	68955.0	73065.0	46222.0	59969.0	56012.0	71858.0	76874.0	67810.0	48566.0	60867.0	71155.0	42948.0	72626.0	70569.0	42227.0	66475.0	65736.0	64564.0	0.0	68697.0
HMP_2012__SRS053917__bin.70	47783.0	68540.0	65675.0	46237.0	48061.0	60434.0	56046.0	60220.0	56022.0	67147.0	67265.0	67079.0	35768.0	64874.0	56527.0	63243.0	66806.0	44035.0	52417.0	47217.0	59501.0	76504.0	64906.0	44368.0	69282.0	64502.0	46727.0	61936.0	65337.0	51051.0	74678.0	70167.0	72647.0	68697.0	0.0
