	WenC_2017__N018__bin.59	CosteaPI_2017__SID713B072-11-90-0__bin.28	QinJ_2012__CON-099__bin.46	CosteaPI_2017__SID713B072-11-0-0__bin.57	BackhedF_2015__SID201_M__bin.16	RampelliS_2015__H10__bin.65	LeChatelierE_2013__MH0169__bin.13	CosteaPI_2017__SID713A058-11-0-0__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.37	BritoIL_2016__M1.59.ST__bin.102	CosteaPI_2017__SID713B005-11-90-0__bin.25	NielsenHB_2014__V1_CD38_0__bin.40	ChengpingW_2017__AS78raw__bin.62	LiJ_2017__H3M415131__bin.36	CosteaPI_2017__alien-11-600-0__bin.4	QinJ_2012__T2D-012__bin.11	LiuW_2016__SRR3992984__bin.8	LiJ_2014__V1.CD8-0-PN__bin.57	NielsenHB_2014__V1_UC28_0__bin.36	WenC_2017__N308__bin.46	CosteaPI_2017__SID713B014-11-90-0__bin.33	YuJ_2015__SZAXPI015270-90__bin.14	LiJ_2017__H1M413815__bin.24	FengQ_2015__SID530600__bin.2	WenC_2017__RA035__bin.14	QinN_2014__HD-53__bin.28	QinN_2014__HD-60__bin.57	CosteaPI_2017__SID713A057-11-0-0__bin.30	LiJ_2014__V1.UC63-0__bin.82	CosteaPI_2017__SID713B063-11-0-0__bin.75	LiJ_2017__H2M513938__bin.20	XieH_2016__YSZC12003_35989__bin.7	ZeeviD_2015__PNP_Main_429__bin.44	LiJ_2014__V1.CD55-0__bin.62	VogtmannE_2016__MMRS33294861ST-27-0-0__bin.63	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.73	NielsenHB_2014__MH0169__bin.18	RaymondF_2016__P38C0__bin.23	BritoIL_2016__W1.11.ST__bin.3
CosteaPI_2017__SID713B005-11-90-0__bin.25	1542990.0	2406366.0	1907405.0	2405996.0	2262932.0	1420346.0	2394535.0	2010574.0	2189559.0	2583695.0	2804054.0	1876806.0	2362993.0	2020331.0	2295996.0	1792697.0	2136047.0	2184776.0	2024827.0	2117961.0	2335425.0	2371861.0	2232841.0	2081525.0	2159818.0	2118795.0	2065414.0	2315182.0	2339971.0	1718766.0	2220362.0	1134762.0	1461127.0	2294067.0	1722488.0	2304029.0	2409321.0	2028417.0	2396949.0
NielsenHB_2014__V1_CD38_0__bin.40	1287828.0	1858454.0	1519378.0	1847935.0	1788505.0	1198480.0	1847376.0	1671924.0	1753411.0	1886102.0	1876806.0	2026046.0	1911343.0	1679799.0	1740256.0	1496536.0	1755316.0	1790559.0	1678167.0	1750365.0	1921473.0	1891702.0	1817477.0	1733849.0	1787979.0	1763201.0	1705700.0	1869259.0	1810319.0	1424658.0	1799474.0	945113.0	1137778.0	1903246.0	1361285.0	1895716.0	1838593.0	1663782.0	1823840.0
ChengpingW_2017__AS78raw__bin.62	1628828.0	2319206.0	1860253.0	2310771.0	2201104.0	1418284.0	2315038.0	2070855.0	2253210.0	2385849.0	2362993.0	1911343.0	2687682.0	2056386.0	2157271.0	1820594.0	2161065.0	2228784.0	2046986.0	2152950.0	2472728.0	2417400.0	2323922.0	2150539.0	2222739.0	2194627.0	2137400.0	2477250.0	2277161.0	1742856.0	2320038.0	1148568.0	1394859.0	2387870.0	1675871.0	2449206.0	2317392.0	2055269.0	2272440.0
LiJ_2017__H3M415131__bin.36	1368480.0	2001011.0	1708459.0	1990806.0	1933106.0	1276536.0	1961333.0	1923850.0	1939322.0	2028538.0	2020331.0	1679799.0	2056386.0	2118017.0	1911040.0	1667078.0	2009421.0	1953794.0	1827550.0	1946577.0	2053851.0	2052043.0	2018290.0	1917708.0	1957843.0	1906187.0	1814301.0	2029216.0	1998228.0	1682915.0	1952909.0	1056750.0	1270144.0	2019193.0	1501444.0	2032907.0	1937870.0	1884180.0	1952532.0
CosteaPI_2017__alien-11-600-0__bin.4	1448367.0	2237606.0	1792540.0	2227207.0	2121886.0	1327248.0	2167401.0	1891197.0	2064854.0	2263138.0	2295996.0	1740256.0	2157271.0	1911040.0	2311407.0	1699302.0	2016004.0	2053495.0	1900970.0	1988492.0	2159476.0	2152037.0	2095604.0	1966008.0	2045771.0	1972723.0	1896573.0	2150438.0	2125873.0	1622471.0	2071768.0	1069634.0	1381033.0	2128478.0	1607573.0	2147585.0	2143782.0	1921208.0	2181770.0
QinJ_2012__T2D-012__bin.11	1207927.0	1781178.0	1505304.0	1767556.0	1706637.0	1149586.0	1765330.0	1661945.0	1700552.0	1799739.0	1792697.0	1496536.0	1820594.0	1667078.0	1699302.0	1862559.0	1747961.0	1720702.0	1630897.0	1691853.0	1825669.0	1800430.0	1771833.0	1720647.0	1748259.0	1701988.0	1640527.0	1797648.0	1763712.0	1451558.0	1714843.0	956120.0	1133706.0	1806135.0	1348366.0	1813229.0	1756025.0	1642115.0	1739977.0
LiuW_2016__SRR3992984__bin.8	1421711.0	2121945.0	1789289.0	2108825.0	2035127.0	1345452.0	2078478.0	1997140.0	2062611.0	2140991.0	2136047.0	1755316.0	2161065.0	2009421.0	2016004.0	1747961.0	2255437.0	2055295.0	1933757.0	2029223.0	2169670.0	2202514.0	2145938.0	2015817.0	2062575.0	2012609.0	1928558.0	2159084.0	2103630.0	1726068.0	2066144.0	1096467.0	1335579.0	2130404.0	1591060.0	2144055.0	2060027.0	1974939.0	2075365.0
LiJ_2014__V1.CD8-0-PN__bin.57	1439399.0	2190374.0	1775561.0	2173732.0	2077290.0	1347752.0	2122910.0	1946736.0	2104735.0	2200656.0	2184776.0	1790559.0	2228784.0	1953794.0	2053495.0	1720702.0	2055295.0	2333800.0	1949894.0	2028420.0	2216164.0	2214764.0	2133847.0	1986940.0	2071922.0	2019792.0	1932367.0	2212988.0	2158364.0	1674890.0	2120323.0	1095903.0	1330457.0	2175973.0	1561918.0	2203750.0	2115784.0	1957506.0	2141220.0
NielsenHB_2014__V1_UC28_0__bin.36	1366698.0	2011326.0	1684884.0	1995267.0	1927476.0	1270237.0	1994626.0	1830527.0	1925563.0	2024728.0	2024827.0	1678167.0	2046986.0	1827550.0	1900970.0	1630897.0	1933757.0	1949894.0	2115277.0	1894323.0	2039264.0	2040550.0	1976429.0	1851239.0	1929588.0	1890118.0	1803233.0	2022312.0	1988528.0	1557386.0	1951480.0	1050453.0	1253886.0	2015939.0	1496173.0	2025902.0	1977384.0	1831171.0	1975202.0
WenC_2017__N308__bin.46	1432537.0	2086426.0	1744315.0	2072558.0	2005651.0	1313211.0	2051881.0	1921560.0	2011179.0	2121186.0	2117961.0	1750365.0	2152950.0	1946577.0	1988492.0	1691853.0	2029223.0	2028420.0	1894323.0	2227654.0	2129350.0	2136780.0	2080288.0	1949317.0	2032850.0	1972221.0	1882929.0	2106613.0	2071837.0	1666468.0	2048599.0	1076979.0	1303211.0	2096981.0	1532369.0	2113823.0	2025629.0	1929337.0	2042135.0
CosteaPI_2017__SID713B014-11-90-0__bin.33	1608370.0	2303106.0	1855407.0	2290292.0	2201556.0	1419413.0	2313771.0	2069339.0	2239368.0	2368425.0	2335425.0	1921473.0	2472728.0	2053851.0	2159476.0	1825669.0	2169670.0	2216164.0	2039264.0	2129350.0	2581432.0	2392917.0	2306960.0	2149724.0	2214564.0	2198630.0	2150244.0	2411839.0	2265184.0	1735242.0	2261310.0	1143023.0	1402627.0	2387804.0	1665320.0	2438574.0	2295437.0	2052230.0	2261232.0
YuJ_2015__SZAXPI015270-90__bin.14	1597974.0	2301319.0	1849760.0	2286300.0	2181148.0	1428067.0	2288496.0	2083907.0	2259565.0	2335551.0	2371861.0	1891702.0	2417400.0	2052043.0	2152037.0	1800430.0	2202514.0	2214764.0	2040550.0	2136780.0	2392917.0	2710770.0	2302837.0	2103348.0	2185175.0	2158680.0	2110404.0	2469732.0	2307458.0	1737753.0	2297891.0	1124704.0	1388362.0	2391796.0	1670718.0	2376587.0	2292183.0	2061947.0	2306904.0
LiJ_2017__H1M413815__bin.24	1531413.0	2215264.0	1809028.0	2207760.0	2107413.0	1350791.0	2174237.0	2035115.0	2186211.0	2241344.0	2232841.0	1817477.0	2323922.0	2018290.0	2095604.0	1771833.0	2145938.0	2133847.0	1976429.0	2080288.0	2306960.0	2302837.0	2407107.0	2077462.0	2155244.0	2112592.0	2029040.0	2328844.0	2190930.0	1727752.0	2199381.0	1123657.0	1362798.0	2260785.0	1597309.0	2283003.0	2149812.0	2028799.0	2168278.0
FengQ_2015__SID530600__bin.2	1427561.0	2069082.0	1742133.0	2058844.0	1976332.0	1303920.0	2023126.0	1914429.0	1965538.0	2094329.0	2081525.0	1733849.0	2150539.0	1917708.0	1966008.0	1720647.0	2015817.0	1986940.0	1851239.0	1949317.0	2149724.0	2103348.0	2077462.0	2195028.0	2024157.0	1991684.0	1912386.0	2121577.0	2040843.0	1649447.0	2024290.0	1066283.0	1299530.0	2098881.0	1536643.0	2124695.0	2019476.0	1888425.0	2025061.0
WenC_2017__RA035__bin.14	1506147.0	2150500.0	1771142.0	2146847.0	2071013.0	1334441.0	2105213.0	1971301.0	2074319.0	2174072.0	2159818.0	1787979.0	2222739.0	1957843.0	2045771.0	1748259.0	2062575.0	2071922.0	1929588.0	2032850.0	2214564.0	2185175.0	2155244.0	2024157.0	2278918.0	2036854.0	1937878.0	2209997.0	2123442.0	1689277.0	2106989.0	1108316.0	1337437.0	2181369.0	1565502.0	2214804.0	2082684.0	1973146.0	2098624.0
QinN_2014__HD-53__bin.28	1489648.0	2106920.0	1746853.0	2092063.0	2002981.0	1305988.0	2068380.0	1938220.0	2015705.0	2143915.0	2118795.0	1763201.0	2194627.0	1906187.0	1972723.0	1701988.0	2012609.0	2019792.0	1890118.0	1972221.0	2198630.0	2158680.0	2112592.0	1991684.0	2036854.0	2278684.0	1941876.0	2164599.0	2061293.0	1622917.0	2039211.0	1079994.0	1302738.0	2150852.0	1555637.0	2173073.0	2050985.0	1894996.0	2066836.0
QinN_2014__HD-60__bin.57	1426327.0	2030153.0	1642271.0	2010628.0	1915190.0	1256139.0	2020928.0	1842791.0	1945368.0	2064338.0	2065414.0	1705700.0	2137400.0	1814301.0	1896573.0	1640527.0	1928558.0	1932367.0	1803233.0	1882929.0	2150244.0	2110404.0	2029040.0	1912386.0	1937878.0	1941876.0	2256459.0	2130486.0	1982950.0	1542671.0	1980628.0	1032957.0	1245858.0	2085751.0	1469831.0	2106774.0	2014595.0	1814094.0	1988413.0
CosteaPI_2017__SID713A057-11-0-0__bin.30	1584443.0	2311040.0	1826361.0	2303674.0	2163073.0	1391498.0	2273199.0	2083903.0	2298732.0	2347982.0	2315182.0	1869259.0	2477250.0	2029216.0	2150438.0	1797648.0	2159084.0	2212988.0	2022312.0	2106613.0	2411839.0	2469732.0	2328844.0	2121577.0	2209997.0	2164599.0	2130486.0	2704750.0	2253263.0	1727051.0	2354955.0	1124949.0	1394278.0	2379390.0	1631157.0	2427646.0	2311943.0	2049785.0	2270129.0
LiJ_2014__V1.UC63-0__bin.82	1499336.0	2255008.0	1849938.0	2230163.0	2159129.0	1388150.0	2215893.0	1983694.0	2123965.0	2288281.0	2339971.0	1810319.0	2277161.0	1998228.0	2125873.0	1763712.0	2103630.0	2158364.0	1988528.0	2071837.0	2265184.0	2307458.0	2190930.0	2040843.0	2123442.0	2061293.0	1982950.0	2253263.0	2515566.0	1711795.0	2176863.0	1112073.0	1388180.0	2222021.0	1648714.0	2249570.0	2203278.0	2002446.0	2255341.0
CosteaPI_2017__SID713B063-11-0-0__bin.75	1184126.0	1719385.0	1473972.0	1707043.0	1640405.0	1077962.0	1651760.0	1685116.0	1652014.0	1718142.0	1718766.0	1424658.0	1742856.0	1682915.0	1622471.0	1451558.0	1726068.0	1674890.0	1557386.0	1666468.0	1735242.0	1737753.0	1727752.0	1649447.0	1689277.0	1622917.0	1542671.0	1727051.0	1711795.0	1805635.0	1651642.0	910391.0	1102317.0	1709802.0	1314438.0	1724498.0	1638085.0	1613575.0	1677111.0
LiJ_2017__H2M513938__bin.20	1554511.0	2185828.0	1772159.0	2202122.0	2074954.0	1342334.0	2176988.0	1935648.0	2174220.0	2234728.0	2220362.0	1799474.0	2320038.0	1952909.0	2071768.0	1714843.0	2066144.0	2120323.0	1951480.0	2048599.0	2261310.0	2297891.0	2199381.0	2024290.0	2106989.0	2039211.0	1980628.0	2354955.0	2176863.0	1651642.0	2474260.0	1074856.0	1346406.0	2251393.0	1563398.0	2278408.0	2187222.0	1976880.0	2163211.0
XieH_2016__YSZC12003_35989__bin.7	839189.0	1128650.0	961039.0	1115775.0	1094753.0	696968.0	1084659.0	1062560.0	1073263.0	1135800.0	1134762.0	945113.0	1148568.0	1056750.0	1069634.0	956120.0	1096467.0	1095903.0	1050453.0	1076979.0	1143023.0	1124704.0	1123657.0	1066283.0	1108316.0	1079994.0	1032957.0	1124949.0	1112073.0	910391.0	1074856.0	1180034.0	767045.0	1126925.0	862758.0	1134706.0	1076439.0	1065680.0	1105850.0
ZeeviD_2015__PNP_Main_429__bin.44	1047021.0	1426458.0	1221307.0	1416715.0	1369984.0	890363.0	1384500.0	1281742.0	1324929.0	1455612.0	1461127.0	1137778.0	1394859.0	1270144.0	1381033.0	1133706.0	1335579.0	1330457.0	1253886.0	1303211.0	1402627.0	1388362.0	1362798.0	1299530.0	1337437.0	1302738.0	1245858.0	1394278.0	1388180.0	1102317.0	1346406.0	767045.0	1479532.0	1372853.0	1088756.0	1389899.0	1372314.0	1262045.0	1397717.0
LiJ_2014__V1.CD55-0__bin.62	1578363.0	2266336.0	1826916.0	2255847.0	2156180.0	1400625.0	2270795.0	2037989.0	2182360.0	2300104.0	2294067.0	1903246.0	2387870.0	2019193.0	2128478.0	1806135.0	2130404.0	2175973.0	2015939.0	2096981.0	2387804.0	2391796.0	2260785.0	2098881.0	2181369.0	2150852.0	2085751.0	2379390.0	2222021.0	1709802.0	2251393.0	1126925.0	1372853.0	2544069.0	1640824.0	2383257.0	2256598.0	2016871.0	2222565.0
VogtmannE_2016__MMRS33294861ST-27-0-0__bin.63	1142881.0	1710287.0	1435000.0	1696749.0	1640726.0	1057186.0	1682794.0	1513171.0	1548328.0	1736875.0	1722488.0	1361285.0	1675871.0	1501444.0	1607573.0	1348366.0	1591060.0	1561918.0	1496173.0	1532369.0	1665320.0	1670718.0	1597309.0	1536643.0	1565502.0	1555637.0	1469831.0	1631157.0	1648714.0	1314438.0	1563398.0	862758.0	1088756.0	1640824.0	1831476.0	1654595.0	1681819.0	1465574.0	1678025.0
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.73	1606464.0	2288783.0	1840332.0	2273434.0	2171273.0	1407531.0	2289776.0	2042315.0	2245306.0	2335834.0	2304029.0	1895716.0	2449206.0	2032907.0	2147585.0	1813229.0	2144055.0	2203750.0	2025902.0	2113823.0	2438574.0	2376587.0	2283003.0	2124695.0	2214804.0	2173073.0	2106774.0	2427646.0	2249570.0	1724498.0	2278408.0	1134706.0	1389899.0	2383257.0	1654595.0	2537997.0	2276167.0	2036640.0	2228951.0
NielsenHB_2014__MH0169__bin.18	1484599.0	2336197.0	1836682.0	2326783.0	2197569.0	1402179.0	2548187.0	1931421.0	2120645.0	2430257.0	2409321.0	1838593.0	2317392.0	1937870.0	2143782.0	1756025.0	2060027.0	2115784.0	1977384.0	2025629.0	2295437.0	2292183.0	2149812.0	2019476.0	2082684.0	2050985.0	2014595.0	2311943.0	2203278.0	1638085.0	2187222.0	1076439.0	1372314.0	2256598.0	1681819.0	2276167.0	2745987.0	1934621.0	2278562.0
RaymondF_2016__P38C0__bin.23	1399263.0	2020719.0	1676339.0	2010959.0	1934116.0	1255011.0	1961803.0	1869151.0	1959049.0	2032167.0	2028417.0	1663782.0	2055269.0	1884180.0	1921208.0	1642115.0	1974939.0	1957506.0	1831171.0	1929337.0	2052230.0	2061947.0	2028799.0	1888425.0	1973146.0	1894996.0	1814094.0	2049785.0	2002446.0	1613575.0	1976880.0	1065680.0	1262045.0	2016871.0	1465574.0	2036640.0	1934621.0	2122167.0	1972990.0
BritoIL_2016__W1.11.ST__bin.3	1486195.0	2407474.0	1860941.0	2387518.0	2191541.0	1355447.0	2264803.0	1953604.0	2124673.0	2382647.0	2396949.0	1823840.0	2272440.0	1952532.0	2181770.0	1739977.0	2075365.0	2141220.0	1975202.0	2042135.0	2261232.0	2306904.0	2168278.0	2025061.0	2098624.0	2066836.0	1988413.0	2270129.0	2255341.0	1677111.0	2163211.0	1105850.0	1397717.0	2222565.0	1678025.0	2228951.0	2278562.0	1972990.0	2610400.0
