	NielsenHB_2014__O2_UC16_2__bin.27	QinN_2014__LV-11__bin.12	ZeeviD_2015__PNP_Main_232__bin.44	Obregon-TitoAJ_2015__SM25__bin.23	CosteaPI_2017__SID713B003-11-90-0__bin.22	SchirmerM_2016__G88842__bin.7	ZellerG_2014__CCIS87116798ST-4-0__bin.37	ZellerG_2014__CCIS74726977ST-3-0__bin.91	ZeeviD_2015__PNP_Main_151__bin.1	CM_madagascar__A81_03_1FE__bin.28	LeChatelierE_2013__MH0152__bin.35	BackhedF_2015__SID39_M__bin.33	CosteaPI_2017__SID713A066-11-90-0__bin.18	NielsenHB_2014__O2_UC16_0__bin.5	LiJ_2014__MH0394__bin.43	CM_madagascar__V53_02_1FE__bin.39	LeChatelierE_2013__MH0046__bin.14	KarlssonFH_2013__S587__bin.28	ZeeviD_2015__PNP_Main_342__bin.22	ZeeviD_2015__PNP_Main_311__bin.11	ZeeviD_2015__PNP_Main_500__bin.44	Obregon-TitoAJ_2015__SM41__bin.13	LiuW_2016__SRR3993044__bin.61	CosteaPI_2017__SID713A089-11-0-0__bin.31	ZeeviD_2015__PNP_Main_126__bin.9	LiJ_2014__MH0400__bin.70	ZellerG_2014__CCIS77252613ST-4-0__bin.9	ZeeviD_2015__PNP_Main_744__bin.10	LiJ_2014__O2.UC16-1__bin.11	Obregon-TitoAJ_2015__SM24__bin.26	Obregon-TitoAJ_2015__SM40__bin.38	ZellerG_2014__CCIS19142497ST-3-0__bin.15	BritoIL_2016__W2.15.ST__bin.7	CM_madagascar__V36_02_2FE__bin.25	QinN_2014__HV-21__bin.18	ZellerG_2014__CCMD34381688ST-21-0__bin.4	CosteaPI_2017__SID713A066-11-0-0__bin.30	LiJ_2014__MH0389__bin.49	ChengpingW_2017__AS38raw__bin.17	LiJ_2017__H2M513938__bin.67	XieH_2016__YSZC12003_37315__bin.53	LeChatelierE_2013__MH0288__bin.38	ZellerG_2014__CCIS48174381ST-4-0__bin.65	Obregon-TitoAJ_2015__SM23__bin.16
LeChatelierE_2013__MH0152__bin.35	1904849.0	1814078.0	1205310.0	1762341.0	1288077.0	1822698.0	1685377.0	1756006.0	1370895.0	1875757.0	2542054.0	1433005.0	1988039.0	1807606.0	2182498.0	2035868.0	1652567.0	2145515.0	2114342.0	1588300.0	1435355.0	1273985.0	1770027.0	1421095.0	1262390.0	1842935.0	1692096.0	1341562.0	1946509.0	1189555.0	1398619.0	2035559.0	1808508.0	1420172.0	1996111.0	1425087.0	1770744.0	1948772.0	1641266.0	1965513.0	1981325.0	1343326.0	2127130.0	1926702.0
BackhedF_2015__SID39_M__bin.33	1473451.0	1512082.0	787015.0	1490569.0	1189980.0	1470686.0	1377898.0	1471900.0	1117054.0	1528867.0	1433005.0	1999807.0	1589946.0	1455561.0	1719083.0	1600981.0	1492117.0	1737110.0	1677182.0	1385385.0	1259397.0	1166635.0	1466544.0	1289037.0	1120497.0	1526542.0	1425188.0	1278916.0	1544877.0	971970.0	1153620.0	1602603.0	1514779.0	1076681.0	1555923.0	1266151.0	1312985.0	1552648.0	1408888.0	1546225.0	1567309.0	1152752.0	1613605.0	1569361.0
CosteaPI_2017__SID713A066-11-90-0__bin.18	2387457.0	2256797.0	1469772.0	2184903.0	1750607.0	1976872.0	2149566.0	2251408.0	1588712.0	2352172.0	1988039.0	1589946.0	3203183.0	2308509.0	2450271.0	2536979.0	1824955.0	2385553.0	2349616.0	1950418.0	1883361.0	1601798.0	2247678.0	1893112.0	1544248.0	2412767.0	2140379.0	1607313.0	2515638.0	1442117.0	1742238.0	2618719.0	2285407.0	1752912.0	2493067.0	1563325.0	2697793.0	2509167.0	1988441.0	2519198.0	2489082.0	1456561.0	2319457.0	2449844.0
NielsenHB_2014__O2_UC16_0__bin.5	2736456.0	2036375.0	1271411.0	2036890.0	1450837.0	1872099.0	1959460.0	2092835.0	1500551.0	2124248.0	1807606.0	1455561.0	2308509.0	3158797.0	2237516.0	2336212.0	1661159.0	2116113.0	2141236.0	1839819.0	1662181.0	1455954.0	2038209.0	1594781.0	1432798.0	2180587.0	1945387.0	1506522.0	2857127.0	1323945.0	1586212.0	2431681.0	2113528.0	1623187.0	2272434.0	1463918.0	2065345.0	2242656.0	1880125.0	2305761.0	2259168.0	1304307.0	2172076.0	2284461.0
LiJ_2014__MH0394__bin.43	2328564.0	2181568.0	1460242.0	2120777.0	1517185.0	2191189.0	2048639.0	2164088.0	1556671.0	2289861.0	2182498.0	1719083.0	2450271.0	2237516.0	3386215.0	2518109.0	2017620.0	2697584.0	2676036.0	1921237.0	1816278.0	1510992.0	2166375.0	1685227.0	1530392.0	2327013.0	2018421.0	1565116.0	2453883.0	1426934.0	1660758.0	2516142.0	2225742.0	1702145.0	2466566.0	1750064.0	2132229.0	2419416.0	1972781.0	2465802.0	2404904.0	1584326.0	2634596.0	2357098.0
CM_madagascar__V53_02_1FE__bin.39	2427902.0	2512272.0	1577735.0	2264849.0	1591869.0	1994283.0	2113096.0	2268538.0	1662882.0	2685437.0	2035868.0	1600981.0	2536979.0	2336212.0	2518109.0	3556677.0	1875588.0	2412750.0	2416748.0	2015511.0	1958390.0	1689880.0	2299108.0	1713058.0	1556852.0	2490970.0	2173954.0	1632358.0	2553671.0	1530837.0	1766298.0	2649302.0	2483877.0	1937399.0	2822848.0	1567547.0	2256323.0	2553303.0	2139458.0	2683845.0	2647285.0	1476006.0	2397490.0	2516092.0
LeChatelierE_2013__MH0046__bin.14	1691670.0	1726947.0	1028209.0	1711395.0	1245256.0	1699986.0	1572934.0	1689064.0	1285520.0	1771194.0	1652567.0	1492117.0	1824955.0	1661159.0	2017620.0	1875588.0	2440409.0	2030582.0	1953629.0	1555469.0	1411018.0	1202213.0	1626925.0	1383217.0	1260627.0	1743715.0	1611579.0	1353839.0	1783093.0	1104586.0	1292669.0	1858073.0	1704252.0	1272979.0	1824270.0	1413205.0	1539413.0	1801169.0	1576338.0	1802884.0	1793710.0	1298691.0	1898239.0	1810383.0
KarlssonFH_2013__S587__bin.28	2214142.0	2091336.0	1403945.0	2087934.0	1530639.0	2095705.0	2006165.0	2094022.0	1575832.0	2249637.0	2145515.0	1737110.0	2385553.0	2116113.0	2697584.0	2412750.0	2030582.0	3327479.0	2608085.0	1854246.0	1745546.0	1505276.0	2085770.0	1645245.0	1485508.0	2188164.0	1994083.0	1515060.0	2319211.0	1396058.0	1647110.0	2389657.0	2130546.0	1665014.0	2356607.0	1713855.0	2087882.0	2314888.0	1910099.0	2345135.0	2323213.0	1532575.0	2528193.0	2322229.0
ZeeviD_2015__PNP_Main_342__bin.22	2223843.0	2104239.0	1432585.0	2063547.0	1496650.0	2099854.0	1995313.0	2113752.0	1554546.0	2198701.0	2114342.0	1677182.0	2349616.0	2141236.0	2676036.0	2416748.0	1953629.0	2608085.0	3198836.0	1858588.0	1760075.0	1432670.0	2122836.0	1641107.0	1461512.0	2244377.0	1962605.0	1523611.0	2346212.0	1387276.0	1588827.0	2421994.0	2151481.0	1650404.0	2345394.0	1693125.0	2035056.0	2324057.0	1922056.0	2377807.0	2322716.0	1512097.0	2552850.0	2270882.0
ZeeviD_2015__PNP_Main_311__bin.11	1885295.0	1854403.0	1102975.0	1884107.0	1412634.0	1672283.0	1688045.0	1811062.0	1384453.0	1887172.0	1588300.0	1385385.0	1950418.0	1839819.0	1921237.0	2015511.0	1555469.0	1854246.0	1858588.0	2600997.0	1545537.0	1411808.0	1805446.0	1524523.0	1382683.0	1884803.0	1812213.0	1462586.0	1975848.0	1266696.0	1392075.0	2022651.0	1878810.0	1371516.0	1932074.0	1339290.0	1697670.0	1925539.0	1733246.0	1989248.0	1969389.0	1279724.0	1812271.0	1913179.0
ZeeviD_2015__PNP_Main_500__bin.44	1744087.0	1699843.0	959867.0	1601881.0	1255783.0	1489563.0	1784772.0	1630258.0	1352504.0	1749857.0	1435355.0	1259397.0	1883361.0	1662181.0	1816278.0	1958390.0	1411018.0	1745546.0	1760075.0	1545537.0	2412116.0	1162957.0	1590759.0	1377531.0	1246651.0	1777629.0	1616692.0	1282698.0	1845790.0	989236.0	1175332.0	1866567.0	1728363.0	1214821.0	1818781.0	1529719.0	1566321.0	1860509.0	1620024.0	1932813.0	1946901.0	1076952.0	1666032.0	1701747.0
Obregon-TitoAJ_2015__SM41__bin.13	1506953.0	1562606.0	919241.0	1595278.0	1208818.0	1282489.0	1310109.0	1494842.0	1165368.0	1628794.0	1273985.0	1166635.0	1601798.0	1455954.0	1510992.0	1689880.0	1202213.0	1505276.0	1432670.0	1411808.0	1162957.0	2123376.0	1465386.0	1293965.0	1133816.0	1548179.0	1490401.0	1167043.0	1554864.0	1070078.0	1309237.0	1601673.0	1562293.0	1137571.0	1658998.0	1013083.0	1343146.0	1544200.0	1473451.0	1632403.0	1621947.0	1171404.0	1447473.0	1647312.0
LiuW_2016__SRR3993044__bin.61	2109100.0	2091393.0	1229952.0	1958540.0	1474529.0	1772593.0	1865884.0	2002914.0	1449288.0	2124198.0	1770027.0	1466544.0	2247678.0	2038209.0	2166375.0	2299108.0	1626925.0	2085770.0	2122836.0	1805446.0	1590759.0	1465386.0	3103401.0	1576613.0	1458924.0	2121583.0	1879936.0	1521016.0	2197917.0	1312514.0	1540393.0	2294846.0	2104766.0	1544368.0	2179646.0	1417671.0	1990932.0	2186145.0	1830980.0	2251373.0	2197598.0	1358985.0	2057350.0	2147139.0
CosteaPI_2017__SID713A089-11-0-0__bin.31	1613634.0	1624253.0	899059.0	1654059.0	1461383.0	1485125.0	1586858.0	1678806.0	1242018.0	1624189.0	1421095.0	1289037.0	1893112.0	1594781.0	1685227.0	1713058.0	1383217.0	1645245.0	1641107.0	1524523.0	1377531.0	1293965.0	1576613.0	2152902.0	1269525.0	1659660.0	1615035.0	1386847.0	1720477.0	1095997.0	1216983.0	1758613.0	1632293.0	1174977.0	1707290.0	1220866.0	1667848.0	1687662.0	1538365.0	1682892.0	1699103.0	1188471.0	1595476.0	1679758.0
ZeeviD_2015__PNP_Main_126__bin.9	1475341.0	1436573.0	715130.0	1459721.0	1131753.0	1328729.0	1437466.0	1392814.0	1108745.0	1451188.0	1262390.0	1120497.0	1544248.0	1432798.0	1530392.0	1556852.0	1260627.0	1485508.0	1461512.0	1382683.0	1246651.0	1133816.0	1458924.0	1269525.0	1859373.0	1445592.0	1405806.0	1206748.0	1541103.0	846512.0	1093228.0	1573707.0	1431485.0	1005800.0	1498954.0	1143634.0	1263188.0	1493321.0	1344106.0	1506619.0	1529151.0	1130165.0	1425510.0	1465259.0
LiJ_2014__MH0400__bin.70	2268571.0	2228304.0	1343330.0	2102839.0	1505842.0	1877758.0	1959499.0	2147383.0	1572359.0	2286536.0	1842935.0	1526542.0	2412767.0	2180587.0	2327013.0	2490970.0	1743715.0	2188164.0	2244377.0	1884803.0	1777629.0	1548179.0	2121583.0	1659660.0	1445592.0	3098834.0	2103055.0	1517978.0	2373889.0	1407669.0	1691105.0	2464281.0	2224207.0	1695076.0	2421203.0	1466922.0	2068096.0	2507250.0	1949854.0	2478318.0	2362453.0	1429930.0	2197420.0	2320539.0
ZellerG_2014__CCIS77252613ST-4-0__bin.9	2031725.0	2003422.0	1183854.0	2003492.0	1521131.0	1744833.0	1812208.0	1928331.0	1514734.0	2048042.0	1692096.0	1425188.0	2140379.0	1945387.0	2018421.0	2173954.0	1611579.0	1994083.0	1962605.0	1812213.0	1616692.0	1490401.0	1879936.0	1615035.0	1405806.0	2103055.0	2784225.0	1484449.0	2146038.0	1262991.0	1496377.0	2194408.0	1993826.0	1484348.0	2107485.0	1423344.0	1842382.0	2151143.0	1781353.0	2147808.0	2090384.0	1295190.0	1937587.0	2069541.0
ZeeviD_2015__PNP_Main_744__bin.10	1529257.0	1551964.0	836512.0	1539381.0	1248280.0	1372530.0	1454905.0	1566947.0	1113991.0	1546915.0	1341562.0	1278916.0	1607313.0	1506522.0	1565116.0	1632358.0	1353839.0	1515060.0	1523611.0	1462586.0	1282698.0	1167043.0	1521016.0	1386847.0	1206748.0	1517978.0	1484449.0	2156397.0	1609090.0	1008819.0	1129230.0	1650276.0	1540221.0	1064819.0	1571089.0	1148639.0	1368792.0	1572421.0	1441286.0	1564014.0	1589295.0	1104967.0	1487200.0	1581917.0
LiJ_2014__O2.UC16-1__bin.11	3037552.0	2212071.0	1412053.0	2189655.0	1559655.0	2023354.0	2115363.0	2259276.0	1611037.0	2299998.0	1946509.0	1544877.0	2515638.0	2857127.0	2453883.0	2553671.0	1783093.0	2319211.0	2346212.0	1975848.0	1845790.0	1554864.0	2197917.0	1720477.0	1541103.0	2373889.0	2146038.0	1609090.0	3437390.0	1445156.0	1681152.0	2612536.0	2274654.0	1704509.0	2464981.0	1599976.0	2219426.0	2437226.0	2000873.0	2532913.0	2504756.0	1398319.0	2335090.0	2446914.0
Obregon-TitoAJ_2015__SM24__bin.26	1391857.0	1336017.0	1030037.0	1649600.0	1002577.0	1179650.0	1149323.0	1341879.0	1005414.0	1407171.0	1189555.0	971970.0	1442117.0	1323945.0	1426934.0	1530837.0	1104586.0	1396058.0	1387276.0	1266696.0	989236.0	1070078.0	1312514.0	1095997.0	846512.0	1407669.0	1262991.0	1008819.0	1445156.0	1879899.0	1215898.0	1457660.0	1384842.0	1073018.0	1463646.0	834223.0	1348596.0	1423682.0	1226458.0	1465620.0	1474430.0	891786.0	1392428.0	1702376.0
Obregon-TitoAJ_2015__SM40__bin.38	1622456.0	1640037.0	987205.0	1803807.0	1171536.0	1374711.0	1349236.0	1514801.0	1099776.0	1702998.0	1398619.0	1153620.0	1742238.0	1586212.0	1660758.0	1766298.0	1292669.0	1647110.0	1588827.0	1392075.0	1175332.0	1309237.0	1540393.0	1216983.0	1093228.0	1691105.0	1496377.0	1129230.0	1681152.0	1215898.0	2604057.0	1732755.0	1662572.0	1232404.0	1779270.0	1058151.0	1504550.0	1742651.0	1435586.0	1783287.0	1679772.0	1130277.0	1604456.0	1998655.0
ZellerG_2014__CCIS19142497ST-3-0__bin.15	2482587.0	2329359.0	1466191.0	2188697.0	1598579.0	2030607.0	2157913.0	2302946.0	1620344.0	2418022.0	2035559.0	1602603.0	2618719.0	2431681.0	2516142.0	2649302.0	1858073.0	2389657.0	2421994.0	2022651.0	1866567.0	1601673.0	2294846.0	1758613.0	1573707.0	2464281.0	2194408.0	1650276.0	2612536.0	1457660.0	1732755.0	3327770.0	2340489.0	1766266.0	2505811.0	1613398.0	2306737.0	2558151.0	2013046.0	2554721.0	2545919.0	1455504.0	2381874.0	2462128.0
BritoIL_2016__W2.15.ST__bin.7	2167746.0	2207807.0	1285396.0	2079486.0	1516221.0	1827939.0	1865579.0	2070963.0	1524875.0	2279007.0	1808508.0	1514779.0	2285407.0	2113528.0	2225742.0	2483877.0	1704252.0	2130546.0	2151481.0	1878810.0	1728363.0	1562293.0	2104766.0	1632293.0	1431485.0	2224207.0	1993826.0	1540221.0	2274654.0	1384842.0	1662572.0	2340489.0	3053230.0	1665325.0	2368197.0	1407960.0	2011535.0	2323431.0	2009753.0	2382303.0	2374975.0	1407374.0	2091927.0	2276549.0
CM_madagascar__V36_02_2FE__bin.25	1656082.0	1644988.0	1104842.0	1574312.0	1074094.0	1380211.0	1383215.0	1555840.0	1159974.0	1815492.0	1420172.0	1076681.0	1752912.0	1623187.0	1702145.0	1937399.0	1272979.0	1665014.0	1650404.0	1371516.0	1214821.0	1137571.0	1544368.0	1174977.0	1005800.0	1695076.0	1484348.0	1064819.0	1704509.0	1073018.0	1232404.0	1766266.0	1665325.0	2450974.0	1849000.0	1020572.0	1567201.0	1766750.0	1393027.0	1773619.0	1782395.0	1012665.0	1686085.0	1756955.0
QinN_2014__HV-21__bin.18	2353740.0	2532729.0	1527928.0	2234471.0	1547393.0	1946532.0	2034492.0	2180957.0	1598871.0	2562305.0	1996111.0	1555923.0	2493067.0	2272434.0	2466566.0	2822848.0	1824270.0	2356607.0	2345394.0	1932074.0	1818781.0	1658998.0	2179646.0	1707290.0	1498954.0	2421203.0	2107485.0	1571089.0	2464981.0	1463646.0	1779270.0	2505811.0	2368197.0	1849000.0	3447219.0	1509466.0	2184513.0	2497612.0	2122875.0	2610885.0	2545833.0	1458752.0	2368642.0	2506754.0
ZellerG_2014__CCMD34381688ST-21-0__bin.4	1490310.0	1458858.0	697170.0	1374501.0	1138886.0	1519110.0	1569925.0	1361480.0	1195546.0	1463365.0	1425087.0	1266151.0	1563325.0	1463918.0	1750064.0	1567547.0	1413205.0	1713855.0	1693125.0	1339290.0	1529719.0	1013083.0	1417671.0	1220866.0	1143634.0	1466922.0	1423344.0	1148639.0	1599976.0	834223.0	1058151.0	1613398.0	1407960.0	1020572.0	1509466.0	2167587.0	1267624.0	1561794.0	1375926.0	1573676.0	1524212.0	1084703.0	1688293.0	1517011.0
CosteaPI_2017__SID713A066-11-0-0__bin.30	2132250.0	1961266.0	1444053.0	1938116.0	1501231.0	1742734.0	1822746.0	2000887.0	1463914.0	2124120.0	1770744.0	1312985.0	2697793.0	2065345.0	2132229.0	2256323.0	1539413.0	2087882.0	2035056.0	1697670.0	1566321.0	1343146.0	1990932.0	1667848.0	1263188.0	2068096.0	1842382.0	1368792.0	2219426.0	1348596.0	1504550.0	2306737.0	2011535.0	1567201.0	2184513.0	1267624.0	2985230.0	2205291.0	1683421.0	2220726.0	2236043.0	1223284.0	2047648.0	2170926.0
LiJ_2014__MH0389__bin.49	2307686.0	2294360.0	1418297.0	2156068.0	1539103.0	1922226.0	2045904.0	2160902.0	1588849.0	2397183.0	1948772.0	1552648.0	2509167.0	2242656.0	2419416.0	2553303.0	1801169.0	2314888.0	2324057.0	1925539.0	1860509.0	1544200.0	2186145.0	1687662.0	1493321.0	2507250.0	2151143.0	1572421.0	2437226.0	1423682.0	1742651.0	2558151.0	2323431.0	1766750.0	2497612.0	1561794.0	2205291.0	3274026.0	1985484.0	2619277.0	2517105.0	1451113.0	2285142.0	2413358.0
ChengpingW_2017__AS38raw__bin.17	1883860.0	2004913.0	1127116.0	1887420.0	1366911.0	1707526.0	1721070.0	1822175.0	1407015.0	2018806.0	1641266.0	1408888.0	1988441.0	1880125.0	1972781.0	2139458.0	1576338.0	1910099.0	1922056.0	1733246.0	1620024.0	1473451.0	1830980.0	1538365.0	1344106.0	1949854.0	1781353.0	1441286.0	2000873.0	1226458.0	1435586.0	2013046.0	2009753.0	1393027.0	2122875.0	1375926.0	1683421.0	1985484.0	2678915.0	2101431.0	2100790.0	1314361.0	1859331.0	1969721.0
LiJ_2017__H2M513938__bin.67	2413685.0	2349851.0	1569804.0	2205201.0	1534583.0	1983013.0	2029990.0	2217692.0	1621058.0	2442562.0	1965513.0	1546225.0	2519198.0	2305761.0	2465802.0	2683845.0	1802884.0	2345135.0	2377807.0	1989248.0	1932813.0	1632403.0	2251373.0	1682892.0	1506619.0	2478318.0	2147808.0	1564014.0	2532913.0	1465620.0	1783287.0	2554721.0	2382303.0	1773619.0	2610885.0	1573676.0	2220726.0	2619277.0	2101431.0	3547613.0	2642606.0	1501847.0	2321957.0	2446925.0
XieH_2016__YSZC12003_37315__bin.53	2377639.0	2277908.0	1550954.0	2190732.0	1542313.0	1972191.0	2012786.0	2211819.0	1643475.0	2388250.0	1981325.0	1567309.0	2489082.0	2259168.0	2404904.0	2647285.0	1793710.0	2323213.0	2322716.0	1969389.0	1946901.0	1621947.0	2197598.0	1699103.0	1529151.0	2362453.0	2090384.0	1589295.0	2504756.0	1474430.0	1679772.0	2545919.0	2374975.0	1782395.0	2545833.0	1524212.0	2236043.0	2517105.0	2100790.0	2642606.0	3350904.0	1428216.0	2288236.0	2411271.0
