	HeQ_2017__RSZAXPI003069-101__bin.8	HeQ_2017__RSZAXPI003094-125__bin.41	QinJ_2012__NOM014__bin.26	QinJ_2012__T2D-045__bin.2	QinJ_2012__T2D-014__bin.31	QinJ_2012__CON-007__bin.24	HeQ_2017__SZAXPI029485-81__bin.16	QinJ_2012__NOF002__bin.17	QinJ_2012__T2D-054__bin.13	HeQ_2017__SZAXPI029550-158__bin.15	QinN_2014__LD-61__bin.17	HeQ_2017__SZAXPI029497-98__bin.16	HeQ_2017__SZAXPI029474-42__bin.18	HeQ_2017__RSZAXPI003106-145__bin.34	QinJ_2012__T2D-003__bin.1	YuJ_2015__SZAXPI015214-19__bin.13	YuJ_2015__SZAXPI017582-94__bin.24	WenC_2017__N216__bin.12	QinJ_2012__T2D-032__bin.42	QinJ_2012__NOF009__bin.1	QinJ_2012__T2D-022__bin.21	QinN_2014__LD-88__bin.28	YuJ_2015__SZAXPI015237-23__bin.9	QinJ_2012__T2D-083__bin.23	QinJ_2012__DLM015__bin.10	QinJ_2012__T2D-016__bin.2	HeQ_2017__SZAXPI029463-136__bin.16	QinJ_2012__T2D-074__bin.35
QinN_2014__LD-61__bin.17	18326.0	12348.0	15978.0	13167.0	9548.0	3472.0	13307.0	10271.0	19154.0	17112.0	0.0	14518.0	19511.0	15762.0	15638.0	6561.0	13615.0	6622.0	10481.0	15878.0	15111.0	1453.0	16455.0	14308.0	17637.0	10117.0	16696.0	15763.0
HeQ_2017__SZAXPI029497-98__bin.16	26029.0	17262.0	17682.0	17415.0	10912.0	21979.0	15366.0	11873.0	22344.0	22182.0	14518.0	0.0	22543.0	22780.0	5962.0	6385.0	17136.0	7882.0	13135.0	23080.0	21279.0	22120.0	23033.0	19829.0	8215.0	10303.0	22214.0	21669.0
HeQ_2017__SZAXPI029474-42__bin.18	28819.0	20930.0	21712.0	21025.0	12644.0	26276.0	17790.0	12893.0	27002.0	26830.0	19511.0	22543.0	0.0	25746.0	21540.0	8115.0	20871.0	8781.0	13727.0	23283.0	22120.0	26244.0	27174.0	20733.0	21786.0	10890.0	24276.0	23906.0
HeQ_2017__RSZAXPI003106-145__bin.34	23908.0	2530.0	4638.0	18021.0	11823.0	22352.0	3302.0	12403.0	23056.0	23066.0	15762.0	22780.0	25746.0	0.0	21727.0	938.0	18144.0	9453.0	13675.0	21122.0	19439.0	24385.0	22369.0	20467.0	22124.0	11285.0	22458.0	1527.0
QinJ_2012__T2D-003__bin.1	24124.0	16965.0	17880.0	17151.0	11079.0	22400.0	15638.0	11570.0	22729.0	21693.0	15638.0	5962.0	21540.0	21727.0	0.0	7044.0	18269.0	8798.0	13085.0	21614.0	20821.0	22152.0	23196.0	19752.0	12040.0	10450.0	22104.0	20773.0
YuJ_2015__SZAXPI015214-19__bin.13	7842.0	1289.0	1377.0	7226.0	6268.0	6438.0	1012.0	5899.0	6341.0	8047.0	6561.0	6385.0	8115.0	938.0	7044.0	0.0	6383.0	3799.0	5522.0	6749.0	6213.0	8525.0	7959.0	6234.0	7923.0	5993.0	8011.0	534.0
YuJ_2015__SZAXPI017582-94__bin.24	20522.0	14760.0	17139.0	16128.0	9889.0	17750.0	14681.0	11107.0	17497.0	18651.0	13615.0	17136.0	20871.0	18144.0	18269.0	6383.0	0.0	7506.0	12531.0	16606.0	17604.0	18389.0	1754.0	16271.0	19177.0	9679.0	18798.0	17737.0
WenC_2017__N216__bin.12	10556.0	6935.0	8091.0	8422.0	6326.0	8069.0	6492.0	6083.0	8841.0	9292.0	6622.0	7882.0	8781.0	9453.0	8798.0	3799.0	7506.0	0.0	6882.0	9549.0	8156.0	8649.0	8068.0	8525.0	8556.0	6086.0	9297.0	8759.0
QinJ_2012__T2D-032__bin.42	15092.0	9920.0	12274.0	13582.0	8637.0	13320.0	10872.0	5721.0	12451.0	6228.0	10481.0	13135.0	13727.0	13675.0	13085.0	5522.0	12531.0	6882.0	0.0	12739.0	10314.0	13983.0	13322.0	12276.0	14905.0	8193.0	6155.0	13354.0
QinJ_2012__NOF009__bin.1	24977.0	18627.0	15900.0	17757.0	11811.0	22279.0	14505.0	12052.0	22924.0	21432.0	15878.0	23080.0	23283.0	21122.0	21614.0	6749.0	16606.0	9549.0	12739.0	0.0	21368.0	22704.0	21938.0	18991.0	22510.0	11285.0	22428.0	19581.0
QinJ_2012__T2D-022__bin.21	22317.0	14226.0	15811.0	17764.0	10901.0	21069.0	14033.0	11830.0	21280.0	20979.0	15111.0	21279.0	22120.0	19439.0	20821.0	6213.0	17604.0	8156.0	10314.0	21368.0	0.0	22488.0	21775.0	18650.0	21130.0	9420.0	20928.0	17894.0
QinN_2014__LD-88__bin.28	25999.0	19799.0	19710.0	17908.0	11106.0	4014.0	17689.0	12872.0	25687.0	24162.0	1453.0	22120.0	26244.0	24385.0	22152.0	8525.0	18389.0	8649.0	13983.0	22704.0	22488.0	0.0	24760.0	20238.0	23328.0	11367.0	24121.0	22926.0
YuJ_2015__SZAXPI015237-23__bin.9	27531.0	18248.0	18439.0	17647.0	10477.0	23983.0	16797.0	12759.0	22938.0	25189.0	16455.0	23033.0	27174.0	22369.0	23196.0	7959.0	1754.0	8068.0	13322.0	21938.0	21775.0	24760.0	0.0	19465.0	22726.0	10991.0	24403.0	21630.0
QinJ_2012__T2D-083__bin.23	20619.0	15731.0	16755.0	17141.0	11101.0	20133.0	15031.0	11424.0	19448.0	18773.0	14308.0	19829.0	20733.0	20467.0	19752.0	6234.0	16271.0	8525.0	12276.0	18991.0	18650.0	20238.0	19465.0	0.0	20021.0	8151.0	19362.0	19579.0
QinJ_2012__DLM015__bin.10	22984.0	17302.0	18580.0	19307.0	12814.0	23209.0	15799.0	13331.0	22630.0	21471.0	17637.0	8215.0	21786.0	22124.0	12040.0	7923.0	19177.0	8556.0	14905.0	22510.0	21130.0	23328.0	22726.0	20021.0	0.0	12026.0	23469.0	21553.0
QinJ_2012__T2D-016__bin.2	11213.0	7417.0	10367.0	9513.0	7117.0	11330.0	8853.0	8270.0	11697.0	12259.0	10117.0	10303.0	10890.0	11285.0	10450.0	5993.0	9679.0	6086.0	8193.0	11285.0	9420.0	11367.0	10991.0	8151.0	12026.0	0.0	11918.0	10796.0
HeQ_2017__SZAXPI029463-136__bin.16	26575.0	17792.0	17691.0	18581.0	11183.0	24138.0	15193.0	3247.0	24470.0	1146.0	16696.0	22214.0	24276.0	22458.0	22104.0	8011.0	18798.0	9297.0	6155.0	22428.0	20928.0	24121.0	24403.0	19362.0	23469.0	11918.0	0.0	21059.0
QinJ_2012__T2D-074__bin.35	23033.0	2229.0	4103.0	17617.0	11342.0	21453.0	2798.0	11644.0	21905.0	21710.0	15763.0	21669.0	23906.0	1527.0	20773.0	534.0	17737.0	8759.0	13354.0	19581.0	17894.0	22926.0	21630.0	19579.0	21553.0	10796.0	21059.0	0.0
