	HeQ_2017__RSZAXPI003069-101__bin.8	HeQ_2017__RSZAXPI003094-125__bin.41	QinJ_2012__NOM014__bin.26	QinJ_2012__T2D-045__bin.2	QinJ_2012__T2D-014__bin.31	QinJ_2012__CON-007__bin.24	HeQ_2017__SZAXPI029485-81__bin.16	QinJ_2012__NOF002__bin.17	QinJ_2012__T2D-054__bin.13	HeQ_2017__SZAXPI029550-158__bin.15	QinN_2014__LD-61__bin.17	HeQ_2017__SZAXPI029497-98__bin.16	HeQ_2017__SZAXPI029474-42__bin.18	HeQ_2017__RSZAXPI003106-145__bin.34	QinJ_2012__T2D-003__bin.1	YuJ_2015__SZAXPI015214-19__bin.13	YuJ_2015__SZAXPI017582-94__bin.24	WenC_2017__N216__bin.12	QinJ_2012__T2D-032__bin.42	QinJ_2012__NOF009__bin.1	QinJ_2012__T2D-022__bin.21	QinN_2014__LD-88__bin.28	YuJ_2015__SZAXPI015237-23__bin.9	QinJ_2012__T2D-083__bin.23	QinJ_2012__DLM015__bin.10	QinJ_2012__T2D-016__bin.2	HeQ_2017__SZAXPI029463-136__bin.16	QinJ_2012__T2D-074__bin.35
QinN_2014__LD-61__bin.17	2068164.0	1275606.0	1630233.0	1738564.0	1120658.0	2169118.0	1448534.0	1207207.0	2151034.0	2062609.0	2272200.0	2032073.0	2087198.0	2003197.0	2034435.0	987344.0	1711968.0	868007.0	1475562.0	2049180.0	1948871.0	2224554.0	2085230.0	1784065.0	1690479.0	1138623.0	2080274.0	2011286.0
HeQ_2017__SZAXPI029497-98__bin.16	2797249.0	1905195.0	1995660.0	2195701.0	1216919.0	2739750.0	1743838.0	1427872.0	2803047.0	2784913.0	2032073.0	3195905.0	2877057.0	2712062.0	2890587.0	967092.0	2163976.0	1008976.0	1795735.0	2793764.0	2625922.0	2783215.0	2812516.0	2382857.0	2208941.0	1293331.0	2768240.0	2686158.0
HeQ_2017__SZAXPI029474-42__bin.18	2883404.0	1993552.0	2071866.0	2279620.0	1253937.0	2803926.0	1813160.0	1473682.0	2896720.0	2901017.0	2087198.0	2877057.0	3237688.0	2799276.0	2814068.0	1004664.0	2233349.0	1050536.0	1837510.0	2823259.0	2725057.0	2861691.0	2887590.0	2426522.0	2176730.0	1331769.0	2859331.0	2757943.0
HeQ_2017__RSZAXPI003106-145__bin.34	2701441.0	2109545.0	2130264.0	2210031.0	1231744.0	2728427.0	1901407.0	1438404.0	2738647.0	2784880.0	2003197.0	2712062.0	2799276.0	3024784.0	2671545.0	1015528.0	2189670.0	1009151.0	1784806.0	2711507.0	2616410.0	2763818.0	2794600.0	2375955.0	2070955.0	1246600.0	2772509.0	2867253.0
QinJ_2012__T2D-003__bin.1	2748376.0	1899477.0	2001354.0	2224381.0	1221925.0	2728291.0	1743091.0	1441105.0	2781381.0	2741619.0	2034435.0	2890587.0	2814068.0	2671545.0	3195073.0	954474.0	2190050.0	1019594.0	1802096.0	2759326.0	2586935.0	2757843.0	2770006.0	2390852.0	2230771.0	1323379.0	2749746.0	2668161.0
YuJ_2015__SZAXPI015214-19__bin.13	957601.0	306631.0	895207.0	851915.0	693017.0	967994.0	786600.0	658167.0	971201.0	1006949.0	987344.0	967092.0	1004664.0	1015528.0	954474.0	1074673.0	830991.0	504141.0	791969.0	973504.0	971715.0	1001609.0	1015697.0	850349.0	833877.0	662964.0	1003488.0	1031098.0
YuJ_2015__SZAXPI017582-94__bin.24	2171150.0	1539257.0	1788369.0	1959894.0	1114314.0	2188848.0	1525039.0	1259457.0	2210148.0	2207278.0	1711968.0	2163976.0	2233349.0	2189670.0	2190050.0	830991.0	2571488.0	888262.0	1598819.0	2202125.0	2093711.0	2196986.0	2458180.0	2008461.0	1791439.0	1134164.0	2210368.0	2184802.0
WenC_2017__N216__bin.12	1012582.0	620883.0	877558.0	921866.0	597392.0	1006258.0	701861.0	645779.0	1043867.0	1011847.0	868007.0	1008976.0	1050536.0	1009151.0	1019594.0	504141.0	888262.0	1196735.0	826682.0	1036042.0	994067.0	1022477.0	1009760.0	941254.0	864146.0	650911.0	1019320.0	1013946.0
QinJ_2012__T2D-032__bin.42	1798328.0	1175189.0	1491875.0	1656469.0	969480.0	1788581.0	1273317.0	1143359.0	1814453.0	1890521.0	1475562.0	1795735.0	1837510.0	1784806.0	1802096.0	791969.0	1598819.0	826682.0	3835136.0	1802727.0	1785224.0	1800528.0	1814443.0	1665191.0	1522389.0	1019679.0	1899357.0	1802558.0
QinJ_2012__NOF009__bin.1	2786633.0	1938039.0	2001962.0	2223555.0	1236730.0	2778347.0	1746247.0	1447681.0	2844584.0	2773498.0	2049180.0	2793764.0	2823259.0	2711507.0	2759326.0	973504.0	2202125.0	1036042.0	1802727.0	3186809.0	2629008.0	2811098.0	2840240.0	2394551.0	2144219.0	1305879.0	2776636.0	2688435.0
QinJ_2012__T2D-022__bin.21	2624159.0	1818280.0	1934822.0	2150140.0	1198413.0	2603004.0	1727234.0	1400011.0	2655152.0	2645825.0	1948871.0	2625922.0	2725057.0	2616410.0	2586935.0	971715.0	2093711.0	994067.0	1785224.0	2629008.0	2841361.0	2634367.0	2649071.0	2312769.0	2030355.0	1249295.0	2636487.0	2585983.0
QinN_2014__LD-88__bin.28	2818070.0	1971777.0	2027851.0	2225497.0	1225243.0	3011900.0	1789914.0	1448914.0	2910890.0	2847779.0	2224554.0	2783215.0	2861691.0	2763818.0	2757843.0	1001609.0	2196986.0	1022477.0	1800528.0	2811098.0	2634367.0	3170901.0	2853193.0	2370883.0	2142111.0	1298656.0	2848042.0	2739453.0
YuJ_2015__SZAXPI015237-23__bin.9	2837776.0	2005080.0	2072490.0	2254145.0	1238280.0	2813486.0	1799812.0	1461086.0	2861856.0	2870489.0	2085230.0	2812516.0	2887590.0	2794600.0	2770006.0	1015697.0	2458180.0	1009760.0	1814443.0	2840240.0	2649071.0	2853193.0	3292494.0	2400032.0	2137463.0	1300149.0	2847250.0	2784863.0
QinJ_2012__T2D-083__bin.23	2403249.0	1694675.0	1838419.0	2086904.0	1155391.0	2372624.0	1615392.0	1291072.0	2403684.0	2367727.0	1784065.0	2382857.0	2426522.0	2375955.0	2390852.0	850349.0	2008461.0	941254.0	1665191.0	2394551.0	2312769.0	2370883.0	2400032.0	2654864.0	1911999.0	1193848.0	2374035.0	2367757.0
QinJ_2012__DLM015__bin.10	2119711.0	1413204.0	1638612.0	1800602.0	1074461.0	2121871.0	1423498.0	1206854.0	2157142.0	2117679.0	1690479.0	2208941.0	2176730.0	2070955.0	2230771.0	833877.0	1791439.0	864146.0	1522389.0	2144219.0	2030355.0	2142111.0	2137463.0	1911999.0	2725123.0	1122935.0	2153069.0	2070308.0
QinJ_2012__T2D-016__bin.2	1296172.0	739041.0	1087661.0	1169677.0	748856.0	1277124.0	894234.0	842775.0	1321059.0	1304401.0	1138623.0	1293331.0	1331769.0	1246600.0	1323379.0	662964.0	1134164.0	650911.0	1019679.0	1305879.0	1249295.0	1298656.0	1300149.0	1193848.0	1122935.0	1575643.0	1308479.0	1253627.0
HeQ_2017__SZAXPI029463-136__bin.16	2803492.0	1978755.0	2046086.0	2259151.0	1236523.0	2804837.0	1796560.0	1563454.0	2855639.0	3114981.0	2080274.0	2768240.0	2859331.0	2772509.0	2749746.0	1003488.0	2210368.0	1019320.0	1899357.0	2776636.0	2636487.0	2848042.0	2847250.0	2374035.0	2153069.0	1308479.0	3168424.0	2768880.0
QinJ_2012__T2D-074__bin.35	2687872.0	2113285.0	2122195.0	2215006.0	1221700.0	2708403.0	1862698.0	1433953.0	2716869.0	2764269.0	2011286.0	2686158.0	2757943.0	2867253.0	2668161.0	1031098.0	2184802.0	1013946.0	1802558.0	2688435.0	2585983.0	2739453.0	2784863.0	2367757.0	2070308.0	1253627.0	2768880.0	2967474.0
