	QinJ_2012__NOM015__bin.11	FengQ_2015__SID31236__bin.32	YuJ_2015__SZAXPI015264-87__bin.43	YuJ_2015__SZAXPI015227-13__bin.33	XieH_2016__YSZC12003_37305R1__bin.76	QinJ_2012__NOF013__bin.19	QinJ_2012__CON-036__bin.19	CM_madagascar__A15_02_1FE__bin.12	VogtmannE_2016__MMRS87723283ST-27-0-0__bin.6	QinJ_2012__DLM019__bin.1	QinJ_2012__NOF005__bin.20	YuJ_2015__SZAXPI017586-111__bin.6	FengQ_2015__SID530185__bin.31	HeQ_2017__SZAXPI029577-94__bin.48	NielsenHB_2014__V1_UC35_4__bin.80	HeQ_2017__SZAXPI029579-97__bin.21	LiJ_2014__O2.UC8-2__bin.15	YuJ_2015__SZAXPI015225-18__bin.78	XieH_2016__YSZC12003_37877__bin.35	NielsenHB_2014__O2_UC9_2__bin.44	NielsenHB_2014__O2_UC35_0__bin.28	ZellerG_2014__CCIS77252613ST-4-0__bin.79	XieH_2016__YSZC12003_37323__bin.20	XieH_2016__YSZC12003_37406__bin.47	LiJ_2014__V1.FI25__bin.37	HeQ_2017__SZAXPI029601-32__bin.11	QinJ_2012__T2D-084__bin.27	HeQ_2017__SZAXPI029570-85__bin.18
QinJ_2012__NOF005__bin.20	2729473.0	2108670.0	2153326.0	2087714.0	2106464.0	2361901.0	2278236.0	1241256.0	1431106.0	2052091.0	2816703.0	2231367.0	2052606.0	2258550.0	2144846.0	981990.0	2233303.0	2236700.0	2173852.0	2220004.0	2193572.0	2219114.0	2180403.0	2177812.0	1921394.0	2292108.0	1244156.0	2307697.0
YuJ_2015__SZAXPI017586-111__bin.6	2248522.0	2038280.0	2066896.0	2013920.0	2059722.0	2228350.0	2181766.0	1230163.0	1398578.0	2059085.0	2231367.0	2685813.0	2021995.0	2165472.0	2063094.0	941556.0	2177118.0	2117099.0	2042565.0	2185866.0	2182152.0	2137691.0	2123391.0	2128342.0	1911922.0	2234551.0	1207816.0	2206958.0
FengQ_2015__SID530185__bin.31	2058335.0	1899838.0	1916801.0	1829613.0	2091171.0	2084458.0	2043215.0	1180063.0	1303651.0	1877413.0	2052606.0	2021995.0	3159431.0	1995471.0	1990487.0	919261.0	2020997.0	1959868.0	1973146.0	2015412.0	2052907.0	2049279.0	1956289.0	1972494.0	1741068.0	2045133.0	1086929.0	2030134.0
HeQ_2017__SZAXPI029577-94__bin.48	2284187.0	1980438.0	2042061.0	1954864.0	2030935.0	2250668.0	2180870.0	1239013.0	1375090.0	1969727.0	2258550.0	2165472.0	1995471.0	2500700.0	2042947.0	1007302.0	2139891.0	2115616.0	2022346.0	2125520.0	2116662.0	2139660.0	2086902.0	2077887.0	1861338.0	2235326.0	1189468.0	2183625.0
NielsenHB_2014__V1_UC35_4__bin.80	2156118.0	2003686.0	2000864.0	1935601.0	2101228.0	2196902.0	2152124.0	1188295.0	1411604.0	1951532.0	2144846.0	2063094.0	1990487.0	2042947.0	2898467.0	921382.0	2106147.0	2067454.0	2214581.0	2093392.0	2105714.0	2297004.0	2025322.0	2063702.0	1846956.0	2131950.0	1152943.0	2094411.0
HeQ_2017__SZAXPI029579-97__bin.21	991978.0	910479.0	980889.0	758575.0	904890.0	984805.0	967165.0	462640.0	515616.0	870443.0	981990.0	941556.0	919261.0	1007302.0	921382.0	1010571.0	954599.0	918948.0	965599.0	930892.0	950905.0	953446.0	873237.0	875915.0	730238.0	985279.0	466620.0	961180.0
LiJ_2014__O2.UC8-2__bin.15	2241338.0	2085627.0	2055006.0	1996806.0	2119500.0	2233519.0	2212726.0	1239582.0	1419120.0	2019104.0	2233303.0	2177118.0	2020997.0	2139891.0	2106147.0	954599.0	2757410.0	2128154.0	2077702.0	2534113.0	2201061.0	2178405.0	2086733.0	2186915.0	1983433.0	2243508.0	1222412.0	2219238.0
YuJ_2015__SZAXPI015225-18__bin.78	2254057.0	1995713.0	2036643.0	1978246.0	2055781.0	2369564.0	2165876.0	1210000.0	1369210.0	1981161.0	2236700.0	2117099.0	1959868.0	2115616.0	2067454.0	918948.0	2128154.0	3375104.0	2042293.0	2123146.0	2089015.0	2169453.0	2088047.0	2068910.0	1860551.0	2207018.0	1219593.0	2184279.0
XieH_2016__YSZC12003_37877__bin.35	2187457.0	1945081.0	1986084.0	1895963.0	2039299.0	2156225.0	2105752.0	1173358.0	1370837.0	1920599.0	2173852.0	2042565.0	1973146.0	2022346.0	2214581.0	965599.0	2077702.0	2042293.0	2887038.0	2065062.0	2084874.0	2308934.0	1988789.0	2020448.0	1802005.0	2115405.0	1107707.0	2059153.0
NielsenHB_2014__O2_UC9_2__bin.44	2233091.0	2072349.0	2045878.0	1962121.0	2108151.0	2243121.0	2188206.0	1248105.0	1391949.0	2008557.0	2220004.0	2185866.0	2015412.0	2125520.0	2093392.0	930892.0	2534113.0	2123146.0	2065062.0	3296299.0	2186717.0	2166929.0	2098969.0	2201574.0	1956589.0	2219179.0	1221474.0	2232548.0
NielsenHB_2014__O2_UC35_0__bin.28	2207049.0	2127546.0	2008212.0	1971063.0	2075387.0	2207711.0	2159408.0	1206406.0	1373552.0	2000491.0	2193572.0	2182152.0	2052907.0	2116662.0	2105714.0	950905.0	2201061.0	2089015.0	2084874.0	2186717.0	2747567.0	2204894.0	2080489.0	2112289.0	1865969.0	2187025.0	1177058.0	2138397.0
ZellerG_2014__CCIS77252613ST-4-0__bin.79	2235067.0	2066189.0	2086092.0	1989054.0	2127825.0	2259177.0	2218717.0	1223453.0	1447558.0	2014128.0	2219114.0	2137691.0	2049279.0	2139660.0	2297004.0	953446.0	2178405.0	2169453.0	2308934.0	2166929.0	2204894.0	2820526.0	2115428.0	2105791.0	1915067.0	2204111.0	1191391.0	2168644.0
XieH_2016__YSZC12003_37323__bin.20	2190046.0	1983051.0	1996581.0	1982381.0	2004217.0	2184918.0	2139081.0	1196759.0	1379859.0	1981215.0	2180403.0	2123391.0	1956289.0	2086902.0	2025322.0	873237.0	2086733.0	2088047.0	1988789.0	2098969.0	2080489.0	2115428.0	2632743.0	2048685.0	1856519.0	2189736.0	1169226.0	2138575.0
XieH_2016__YSZC12003_37406__bin.47	2189386.0	2002635.0	2000550.0	1957179.0	2045598.0	2168973.0	2136956.0	1223868.0	1357222.0	1944900.0	2177812.0	2128342.0	1972494.0	2077887.0	2063702.0	875915.0	2186915.0	2068910.0	2020448.0	2201574.0	2112289.0	2105791.0	2048685.0	2882229.0	1851843.0	2136546.0	1165032.0	2115969.0
LiJ_2014__V1.FI25__bin.37	1934192.0	1809486.0	1760245.0	1811112.0	1829541.0	1931487.0	1936797.0	1115677.0	1311901.0	1769696.0	1921394.0	1911922.0	1741068.0	1861338.0	1846956.0	730238.0	1983433.0	1860551.0	1802005.0	1956589.0	1865969.0	1915067.0	1856519.0	1851843.0	2168626.0	1955068.0	1093139.0	1901202.0
HeQ_2017__SZAXPI029601-32__bin.11	2311278.0	2079369.0	2106388.0	2089909.0	2103260.0	2317971.0	2289102.0	1266915.0	1466331.0	2068325.0	2292108.0	2234551.0	2045133.0	2235326.0	2131950.0	985279.0	2243508.0	2207018.0	2115405.0	2219179.0	2187025.0	2204111.0	2189736.0	2136546.0	1955068.0	2626512.0	1227789.0	2247190.0
QinJ_2012__T2D-084__bin.27	1246073.0	1134211.0	1124616.0	1165859.0	1124149.0	1258294.0	1210768.0	729194.0	833943.0	1124180.0	1244156.0	1207816.0	1086929.0	1189468.0	1152943.0	466620.0	1222412.0	1219593.0	1107707.0	1221474.0	1177058.0	1191391.0	1169226.0	1165032.0	1093139.0	1227789.0	1732411.0	1235822.0
HeQ_2017__SZAXPI029570-85__bin.18	2306630.0	2058320.0	2064338.0	2032218.0	2079000.0	2296587.0	2255284.0	1223970.0	1430622.0	2040531.0	2307697.0	2206958.0	2030134.0	2183625.0	2094411.0	961180.0	2219238.0	2184279.0	2059153.0	2232548.0	2138397.0	2168644.0	2138575.0	2115969.0	1901202.0	2247190.0	1235822.0	3585151.0
