	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.22	NielsenHB_2014__V1_UC11_5__bin.65	FengQ_2015__SID31501__bin.38	VogtmannE_2016__MMRS92546335ST-27-0-0__bin.17	VincentC_2016__MM050.4__bin.76	VincentC_2016__MM040.2__bin.6	VogtmannE_2016__MMRS92544445ST-27-0-0__bin.52	NielsenHB_2014__V1_UC11_0__bin.34	VogtmannE_2016__MMRS86178473ST-27-0-0__bin.5	VincentC_2016__MM048.2__bin.19	LiJ_2014__V1.CD2-0-PN__bin.29	GeversD_2014__SKBSTL008__bin.31	FengQ_2015__SID31137__bin.50	LeChatelierE_2013__MH0333__bin.15	LeChatelierE_2013__MH0239__bin.19	VogtmannE_2016__MMRS71238091ST-27-0-0__bin.5	VatanenT_2016__G80352__bin.1	GeversD_2014__SKBSTL027__bin.15	LeChatelierE_2013__MH0233__bin.36	XieH_2016__YSZC12003_37191R1__bin.28	VincentC_2016__MM090.2__bin.4	BackhedF_2015__SID590_12M__bin.22	RaymondF_2016__P12E90__bin.6	FengQ_2015__SID31337__bin.11	BackhedF_2015__SID503_12M__bin.13	BackhedF_2015__SID345_4M__bin.10	GeversD_2014__SKBSTL006__bin.15	BackhedF_2015__SID103_12M__bin.6	VogtmannE_2016__MMRS65945127ST-27-0-0__bin.24	BackhedF_2015__SID9_12M__bin.24	BackhedF_2015__SID172_12M__bin.33	HeQ_2017__SZAXPI029495-96__bin.34	ZellerG_2014__CCIS24254057ST-4-0__bin.27
LiJ_2014__V1.CD2-0-PN__bin.29	5017221.0	5037632.0	3706661.0	3585660.0	4964547.0	4913614.0	5006465.0	4834265.0	4360986.0	3067171.0	6000588.0	4998794.0	4017144.0	2848947.0	5342681.0	4036082.0	4802401.0	5036737.0	4981975.0	5132003.0	4813077.0	5424236.0	3402735.0	5033265.0	3060288.0	4946196.0	3784434.0	5972334.0	2709592.0	5839688.0	5374265.0	5371142.0	4971396.0
GeversD_2014__SKBSTL008__bin.31	5068095.0	4989771.0	3766016.0	3879310.0	4856694.0	4976706.0	4936344.0	4883018.0	4247147.0	3066594.0	4998794.0	6043393.0	4091117.0	2827455.0	4902233.0	4120613.0	5301310.0	5156560.0	5037675.0	5216328.0	4798539.0	4957421.0	3671243.0	5128378.0	3055598.0	4887311.0	3832501.0	5285821.0	2842801.0	5305001.0	4842139.0	5207691.0	5057407.0
FengQ_2015__SID31137__bin.50	4148715.0	4055329.0	3030395.0	2881703.0	3923560.0	4049672.0	4009177.0	3919825.0	3430049.0	2455773.0	4017144.0	4091117.0	5273195.0	2210911.0	3896573.0	3311758.0	3963493.0	4196873.0	4054046.0	4218479.0	3937286.0	3900798.0	2761273.0	4177410.0	2467316.0	3989347.0	3114275.0	4290689.0	2276571.0	4248802.0	3900117.0	4226517.0	4110107.0
LeChatelierE_2013__MH0333__bin.15	3193477.0	2897648.0	2544646.0	2223283.0	2850438.0	3164373.0	2929106.0	3125848.0	2645156.0	2127685.0	2848947.0	2827455.0	2210911.0	4093663.0	2774855.0	2451796.0	2796550.0	2946599.0	2866127.0	3214774.0	2813441.0	2838417.0	2057161.0	2897671.0	2253182.0	2908628.0	2494213.0	2962491.0	1653325.0	2969861.0	2821664.0	2864513.0	3180728.0
LeChatelierE_2013__MH0239__bin.19	4899456.0	4879851.0	3659072.0	3512263.0	4775801.0	4799857.0	4835908.0	4750301.0	4225263.0	3018659.0	5342681.0	4902233.0	3896573.0	2774855.0	5708083.0	3941073.0	4712298.0	4917803.0	4896329.0	5027940.0	4700921.0	5078931.0	3336787.0	4970273.0	3018158.0	4798911.0	3730354.0	5565594.0	2656097.0	5483126.0	5110634.0	5207889.0	4859180.0
VogtmannE_2016__MMRS71238091ST-27-0-0__bin.5	4166762.0	4124357.0	3167198.0	3056800.0	4073820.0	4074797.0	4118076.0	4018205.0	3648044.0	2630593.0	4036082.0	4120613.0	3311758.0	2451796.0	3941073.0	5084718.0	3999521.0	4141242.0	4218986.0	4258895.0	3964395.0	3948807.0	2871667.0	4221934.0	2609165.0	4092081.0	3151530.0	4229806.0	2239256.0	4216588.0	3929385.0	4234458.0	4101035.0
VatanenT_2016__G80352__bin.1	4917164.0	4814974.0	3652087.0	3823695.0	4725245.0	4801238.0	4770798.0	4685911.0	4137172.0	2981486.0	4802401.0	5301310.0	3963493.0	2796550.0	4712298.0	3999521.0	5697223.0	4993161.0	4860591.0	5072040.0	4694553.0	4786708.0	3526630.0	4981622.0	3001607.0	4738280.0	3745553.0	5084820.0	2838024.0	5080560.0	4698966.0	5015739.0	4900091.0
GeversD_2014__SKBSTL027__bin.15	5275500.0	5096371.0	3854911.0	3620198.0	4984969.0	5181181.0	5029303.0	5000291.0	4369550.0	3161017.0	5036737.0	5156560.0	4196873.0	2946599.0	4917803.0	4141242.0	4993161.0	6948251.0	5214649.0	5442430.0	4924420.0	5032468.0	3421553.0	5289388.0	3170223.0	5038870.0	3913852.0	5406888.0	2749259.0	5395156.0	4900363.0	5263340.0	5272302.0
LeChatelierE_2013__MH0233__bin.36	5127935.0	5013362.0	3795974.0	3578893.0	4882347.0	4986408.0	4937485.0	4883119.0	4275215.0	3055544.0	4981975.0	5037675.0	4054046.0	2866127.0	4896329.0	4218986.0	4860591.0	5214649.0	6152108.0	5279090.0	4784963.0	4896410.0	3350044.0	5768748.0	3072174.0	4881649.0	3787480.0	5259384.0	2694281.0	5264677.0	4839693.0	5121249.0	5056500.0
XieH_2016__YSZC12003_37191R1__bin.28	5763407.0	5366431.0	4212119.0	3705321.0	5313257.0	5703755.0	5396136.0	5464540.0	4620164.0	3501026.0	5132003.0	5216328.0	4218479.0	3214774.0	5027940.0	4258895.0	5072040.0	5442430.0	5279090.0	6692880.0	5125989.0	5068806.0	3453496.0	5405183.0	3437326.0	5297454.0	4268648.0	5492021.0	2767917.0	5589806.0	5010181.0	5409172.0	5689418.0
VincentC_2016__MM090.2__bin.4	4923068.0	5285718.0	3657900.0	3438782.0	5227223.0	4799305.0	5282577.0	4712422.0	4616565.0	3011234.0	4813077.0	4798539.0	3937286.0	2813441.0	4700921.0	3964395.0	4694553.0	4924420.0	4784963.0	5125989.0	5680956.0	4679134.0	3307662.0	4867465.0	3032140.0	5257924.0	3767035.0	5077453.0	2696542.0	5086466.0	4701891.0	4919362.0	4891770.0
BackhedF_2015__SID590_12M__bin.22	4927520.0	4888232.0	3644763.0	3549756.0	4828111.0	4837134.0	4896247.0	4769947.0	4283544.0	2986019.0	5424236.0	4957421.0	3900798.0	2838417.0	5078931.0	3948807.0	4786708.0	5032468.0	4896410.0	5068806.0	4679134.0	6475871.0	3373010.0	4981031.0	3050680.0	4847759.0	3715097.0	5954715.0	2631368.0	5817512.0	5162406.0	5304984.0	4861483.0
RaymondF_2016__P12E90__bin.6	3387185.0	3369637.0	2713549.0	2713053.0	3317780.0	3358424.0	3347636.0	3303725.0	2981132.0	2232185.0	3402735.0	3671243.0	2761273.0	2057161.0	3336787.0	2871667.0	3526630.0	3421553.0	3350044.0	3453496.0	3307662.0	3373010.0	4111918.0	3417704.0	2219215.0	3355152.0	2698132.0	3529660.0	2108374.0	3528441.0	3319257.0	3456842.0	3405102.0
FengQ_2015__SID31337__bin.11	5278960.0	5080937.0	3837246.0	3663470.0	4952859.0	5109952.0	5038707.0	4990137.0	4355818.0	3110924.0	5033265.0	5128378.0	4177410.0	2897671.0	4970273.0	4221934.0	4981622.0	5289388.0	5768748.0	5405183.0	4867465.0	4981031.0	3417704.0	6515965.0	3143184.0	4979357.0	3863183.0	5374549.0	2743901.0	5374164.0	4892271.0	5285174.0	5154428.0
BackhedF_2015__SID503_12M__bin.13	3434817.0	3126921.0	2766973.0	2411438.0	3073735.0	3420335.0	3128535.0	3346565.0	2796089.0	2251504.0	3060288.0	3055598.0	2467316.0	2253182.0	3018158.0	2609165.0	3001607.0	3170223.0	3072174.0	3437326.0	3032140.0	3050680.0	2219215.0	3143184.0	3906980.0	3111755.0	2660690.0	3191880.0	1805546.0	3197188.0	3039322.0	3128573.0	3392840.0
BackhedF_2015__SID345_4M__bin.10	5042833.0	5476877.0	3770107.0	3521523.0	5513804.0	4911009.0	5590953.0	4885938.0	4938331.0	3086384.0	4946196.0	4887311.0	3989347.0	2908628.0	4798911.0	4092081.0	4738280.0	5038870.0	4881649.0	5297454.0	5257924.0	4847759.0	3355152.0	4979357.0	3111755.0	6253989.0	3810657.0	5255322.0	2694355.0	5271834.0	4842725.0	5105238.0	5018089.0
GeversD_2014__SKBSTL006__bin.15	4330760.0	3892434.0	3334821.0	2803599.0	3794998.0	4277772.0	3826858.0	4183599.0	3335172.0	2745834.0	3784434.0	3832501.0	3114275.0	2494213.0	3730354.0	3151530.0	3745553.0	3913852.0	3787480.0	4268648.0	3767035.0	3715097.0	2698132.0	3863183.0	2660690.0	3810657.0	4699967.0	3994066.0	2154791.0	3996858.0	3699492.0	3850601.0	4306065.0
BackhedF_2015__SID103_12M__bin.6	5408668.0	5338027.0	3899637.0	3718230.0	5253864.0	5248130.0	5312836.0	5152204.0	4590688.0	3182103.0	5972334.0	5285821.0	4290689.0	2962491.0	5565594.0	4229806.0	5084820.0	5406888.0	5259384.0	5492021.0	5077453.0	5954715.0	3529660.0	5374549.0	3191880.0	5255322.0	3994066.0	6778261.0	2812405.0	6506443.0	5652649.0	5850651.0	5286301.0
VogtmannE_2016__MMRS65945127ST-27-0-0__bin.24	2680830.0	2741138.0	2168195.0	2141927.0	2659036.0	2649584.0	2667308.0	2572124.0	2335195.0	1808964.0	2709592.0	2842801.0	2276571.0	1653325.0	2656097.0	2239256.0	2838024.0	2749259.0	2694281.0	2767917.0	2696542.0	2631368.0	2108374.0	2743901.0	1805546.0	2694355.0	2154791.0	2812405.0	2931662.0	2809866.0	2678722.0	2744834.0	2699800.0
BackhedF_2015__SID9_12M__bin.24	5419451.0	5351899.0	3906292.0	3718085.0	5292602.0	5335467.0	5365918.0	5159528.0	4610923.0	3226765.0	5839688.0	5305001.0	4248802.0	2969861.0	5483126.0	4216588.0	5080560.0	5395156.0	5264677.0	5589806.0	5086466.0	5817512.0	3528441.0	5374164.0	3197188.0	5271834.0	3996858.0	6506443.0	2809866.0	6627788.0	5618992.0	5779782.0	5370323.0
BackhedF_2015__SID172_12M__bin.33	4863616.0	4886728.0	3626183.0	3479278.0	4838497.0	4820335.0	4909588.0	4701367.0	4261089.0	3008105.0	5374265.0	4842139.0	3900117.0	2821664.0	5110634.0	3929385.0	4698966.0	4900363.0	4839693.0	5010181.0	4701891.0	5162406.0	3319257.0	4892271.0	3039322.0	4842725.0	3699492.0	5652649.0	2678722.0	5618992.0	5804654.0	5152380.0	4889115.0
HeQ_2017__SZAXPI029495-96__bin.34	5224707.0	5185621.0	3785312.0	3659777.0	5111303.0	5078883.0	5180406.0	4966138.0	4445248.0	3115126.0	5371142.0	5207691.0	4226517.0	2864513.0	5207889.0	4234458.0	5015739.0	5263340.0	5121249.0	5409172.0	4919362.0	5304984.0	3456842.0	5285174.0	3128573.0	5105238.0	3850601.0	5850651.0	2744834.0	5779782.0	5152380.0	6313869.0	5129802.0
ZellerG_2014__CCIS24254057ST-4-0__bin.27	5802093.0	5134353.0	4347750.0	3616555.0	5012164.0	5835501.0	5077689.0	5617756.0	4367265.0	3537971.0	4971396.0	5057407.0	4110107.0	3180728.0	4859180.0	4101035.0	4900091.0	5272302.0	5056500.0	5689418.0	4891770.0	4861483.0	3405102.0	5154428.0	3392840.0	5018089.0	4306065.0	5286301.0	2699800.0	5370323.0	4889115.0	5129802.0	7552015.0
