	XieH_2016__YSZC12003_37584__bin.36	RaymondF_2016__P1E0__bin.6	FengQ_2015__SID530623__bin.65	LiJ_2014__MH0339__bin.38	HMP_2012__SRS042628__bin.32	XieH_2016__YSZC12003_36453__bin.3	LiJ_2017__H3M517925__bin.17	ZeeviD_2015__PNP_Main_750__bin.36	XieH_2016__YSZC12003_37265R1__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.81	XieH_2016__YSZC12003_35733__bin.124	LiJ_2017__H1M513729__bin.13	QinJ_2012__NOF008__bin.29	YuJ_2015__SZAXPI015264-87__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.52	ZeeviD_2015__PNP_Main_527__bin.29	ZeeviD_2015__PNP_Main_632__bin.39	LeChatelierE_2013__MH0197__bin.43	HMP_2012__SRS011134__bin.14	LiuW_2016__SRR3993016__bin.24	ZeeviD_2015__PNP_Main_701__bin.12	CosteaPI_2017__SID713B061-11-0-0__bin.34	VincentC_2016__MM037.1__bin.8	XieH_2016__YSZC12003_37314__bin.79	ZellerG_2014__CCIS20795251ST-4-0__bin.46	KarlssonFH_2013__S195__bin.33	XieH_2016__YSZC12003_36011__bin.52	RaymondF_2016__P13E90__bin.36	ZellerG_2014__CCMD72895164ST-21-0__bin.36	LiJ_2014__V1.FI28__bin.87	XieH_2016__YSZC12003_35999__bin.12	ZeeviD_2015__PNP_Validation_13__bin.40	XieH_2016__YSZC12003_35549__bin.24	KarlssonFH_2013__S488__bin.33	ZellerG_2014__CCMD87156761ST-21-0__bin.36	XieH_2016__YSZC12003_37330__bin.31	BackhedF_2015__SID105_M__bin.46	VincentC_2016__MM050.3__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.107	LiJ_2014__MH0399__bin.56	KarlssonFH_2013__S424__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.2	LouisS_2016__AS50_6__bin.20	ZeeviD_2015__PNP_Main_58__bin.47	BritoIL_2016__WL.11.ST__bin.9	NielsenHB_2014__O2_UC44_2__bin.7	VincentC_2016__MM050.4__bin.29	RaymondF_2016__P13E0__bin.35	XieH_2016__YSZC12003_35837__bin.36
XieH_2016__YSZC12003_35733__bin.124	1616799.0	1587417.0	1415198.0	1088358.0	1633308.0	1541726.0	1522632.0	1641708.0	1658838.0	1620002.0	1939747.0	1661382.0	1471907.0	1546146.0	1662030.0	1693338.0	1696207.0	1597368.0	1391537.0	1532592.0	1534313.0	1175977.0	1502573.0	1650812.0	1559100.0	1642698.0	1659123.0	1678349.0	1441476.0	1526570.0	1627418.0	1678198.0	1461426.0	1529973.0	1129541.0	1606364.0	780752.0	1123882.0	1446913.0	1549196.0	1694438.0	1404782.0	1525436.0	1092002.0	1362091.0	1421207.0	1591102.0	1703232.0	1680033.0
LiJ_2017__H1M513729__bin.13	1752538.0	1693761.0	1491851.0	1098123.0	1797622.0	1634798.0	1709818.0	1723025.0	1781144.0	1773673.0	1661382.0	2068498.0	1603083.0	1662924.0	1755668.0	1824909.0	1791615.0	1704314.0	1486306.0	1634661.0	1648450.0	1237322.0	1584370.0	1752901.0	1634235.0	1756006.0	1775408.0	1791228.0	1513480.0	1666972.0	1711629.0	1780062.0	1534160.0	1612945.0	1188544.0	1683907.0	814504.0	1181986.0	1538864.0	1629888.0	1828944.0	1486596.0	1626290.0	1189967.0	1460462.0	1440042.0	1685968.0	1820105.0	1805802.0
QinJ_2012__NOF008__bin.29	1543713.0	1492044.0	1341764.0	1022895.0	1569379.0	1453650.0	1508857.0	1542209.0	1563711.0	1564131.0	1471907.0	1603083.0	2161216.0	1474534.0	1537780.0	1591228.0	1566012.0	1540515.0	1359401.0	1450307.0	1446210.0	1107425.0	1398842.0	1543762.0	1503691.0	1530073.0	1539508.0	1553995.0	1303827.0	1447218.0	1517248.0	1570039.0	1370824.0	1438992.0	1093108.0	1497242.0	769294.0	1060121.0	1386628.0	1433329.0	1574616.0	1329818.0	1446326.0	1053739.0	1306303.0	1366550.0	1481479.0	1576186.0	1577625.0
YuJ_2015__SZAXPI015264-87__bin.26	1591651.0	1568433.0	1384142.0	1065059.0	1615573.0	1544464.0	1548209.0	1616247.0	1629734.0	1611065.0	1546146.0	1662924.0	1474534.0	1770807.0	1616701.0	1662866.0	1653124.0	1586554.0	1423221.0	1531725.0	1531567.0	1151915.0	1502514.0	1610550.0	1544660.0	1612005.0	1624139.0	1641516.0	1397645.0	1513934.0	1587668.0	1652603.0	1460344.0	1531610.0	1134693.0	1566916.0	780077.0	1115927.0	1435923.0	1513654.0	1651353.0	1407589.0	1528184.0	1084511.0	1372153.0	1379649.0	1568530.0	1663354.0	1649611.0
Bengtsson-PalmeJ_2015__TRAVELRES6__bin.52	1758931.0	1679726.0	1569531.0	1102446.0	1771292.0	1651737.0	1649887.0	1783263.0	1887991.0	1750096.0	1662030.0	1755668.0	1537780.0	1616701.0	2130067.0	1790547.0	1874383.0	1692428.0	1520975.0	1642033.0	1678362.0	1226885.0	1620889.0	1917089.0	1674205.0	1855195.0	1800031.0	1828045.0	1542248.0	1645709.0	1818428.0	1766567.0	1561264.0	1619267.0	1158163.0	1782525.0	846355.0	1192041.0	1496623.0	1695508.0	1926012.0	1454165.0	1699533.0	1160671.0	1427253.0	1429114.0	1721855.0	1844934.0	1924889.0
ZeeviD_2015__PNP_Main_527__bin.29	1786793.0	1723072.0	1533461.0	1117195.0	1805551.0	1647636.0	1767757.0	1788050.0	1814233.0	1797991.0	1693338.0	1824909.0	1591228.0	1662866.0	1790547.0	2292562.0	1850957.0	1742264.0	1522692.0	1675246.0	1711089.0	1276302.0	1620424.0	1811383.0	1689926.0	1831633.0	1842732.0	1866850.0	1560516.0	1686570.0	1780929.0	1831945.0	1556471.0	1640607.0	1185772.0	1756560.0	844692.0	1206267.0	1586132.0	1671951.0	1876202.0	1511098.0	1647520.0	1210244.0	1505691.0	1466904.0	1717215.0	1886801.0	1870278.0
ZeeviD_2015__PNP_Main_632__bin.39	1760257.0	1708789.0	1586800.0	1119162.0	1842176.0	1675375.0	1670209.0	1923918.0	1915237.0	1771650.0	1696207.0	1791615.0	1566012.0	1653124.0	1874383.0	1850957.0	2112387.0	1740689.0	1545445.0	1651567.0	1816810.0	1263292.0	1646946.0	1927834.0	1763355.0	1957355.0	1821113.0	1854424.0	1544778.0	1678162.0	1844068.0	1825150.0	1588957.0	1654410.0	1164462.0	1846535.0	856354.0	1222892.0	1520934.0	1745095.0	2033599.0	1486424.0	1690250.0	1182468.0	1455929.0	1455187.0	1786388.0	1864342.0	1977928.0
LeChatelierE_2013__MH0197__bin.43	1674020.0	1626197.0	1446825.0	1057835.0	1721001.0	1595338.0	1591756.0	1694396.0	1713971.0	1669798.0	1597368.0	1704314.0	1540515.0	1586554.0	1692428.0	1742264.0	1740689.0	2032901.0	1439878.0	1598494.0	1611137.0	1179300.0	1542053.0	1694190.0	1614667.0	1699352.0	1715605.0	1713987.0	1438703.0	1607922.0	1659697.0	1728067.0	1475025.0	1556037.0	1128391.0	1616089.0	803007.0	1129434.0	1460747.0	1565232.0	1755458.0	1445915.0	1570827.0	1114702.0	1383134.0	1402987.0	1616040.0	1744956.0	1723553.0
HMP_2012__SRS011134__bin.14	1474996.0	1443038.0	1323556.0	1002260.0	1499394.0	1417599.0	1375514.0	1504676.0	1527777.0	1472378.0	1391537.0	1486306.0	1359401.0	1423221.0	1520975.0	1522692.0	1545445.0	1439878.0	1595204.0	1410496.0	1447708.0	1080297.0	1396594.0	1509291.0	1445144.0	1509655.0	1494254.0	1504156.0	1271242.0	1420962.0	1492606.0	1494009.0	1314084.0	1403583.0	1019072.0	1480568.0	759089.0	1062059.0	1296708.0	1427852.0	1548406.0	1290241.0	1435231.0	1023818.0	1259204.0	1319679.0	1455709.0	1526145.0	1546293.0
LiuW_2016__SRR3993016__bin.24	1605857.0	1588169.0	1389452.0	1015259.0	1639634.0	1559442.0	1546303.0	1632023.0	1653272.0	1613760.0	1532592.0	1634661.0	1450307.0	1531725.0	1642033.0	1675246.0	1651567.0	1598494.0	1410496.0	1815988.0	1547406.0	1142534.0	1507972.0	1610424.0	1574694.0	1621090.0	1639186.0	1665519.0	1416489.0	1543090.0	1581867.0	1653670.0	1437555.0	1538373.0	1107322.0	1559789.0	751270.0	1114349.0	1417994.0	1535860.0	1666820.0	1399104.0	1518817.0	1091496.0	1368935.0	1341438.0	1571145.0	1675795.0	1654103.0
ZeeviD_2015__PNP_Main_701__bin.12	1623209.0	1574032.0	1478749.0	1040771.0	1652705.0	1552594.0	1520290.0	1739806.0	1765814.0	1630560.0	1534313.0	1648450.0	1446210.0	1531567.0	1678362.0	1711089.0	1816810.0	1611137.0	1447708.0	1547406.0	1935385.0	1186501.0	1531925.0	1734895.0	1610482.0	1798634.0	1655536.0	1690503.0	1391740.0	1554330.0	1649256.0	1689216.0	1467872.0	1543918.0	1087987.0	1675083.0	800746.0	1120644.0	1425384.0	1572378.0	1830491.0	1371058.0	1556459.0	1094946.0	1354880.0	1345593.0	1613125.0	1681514.0	1803225.0
CosteaPI_2017__SID713B061-11-0-0__bin.34	1202126.0	1171613.0	1089047.0	822096.0	1214369.0	1132883.0	1162116.0	1223764.0	1247752.0	1257254.0	1175977.0	1237322.0	1107425.0	1151915.0	1226885.0	1276302.0	1263292.0	1179300.0	1080297.0	1142534.0	1186501.0	1454016.0	1132783.0	1232137.0	1155103.0	1234802.0	1235779.0	1255810.0	1067158.0	1149362.0	1229022.0	1228208.0	1071279.0	1123204.0	840724.0	1208477.0	625538.0	848116.0	1084972.0	1149732.0	1268868.0	1042942.0	1158523.0	879763.0	1044425.0	1046655.0	1188445.0	1270225.0	1264323.0
VincentC_2016__MM037.1__bin.8	1552183.0	1532897.0	1371338.0	1005906.0	1580041.0	1518302.0	1494456.0	1610689.0	1617068.0	1579912.0	1502573.0	1584370.0	1398842.0	1502514.0	1620889.0	1620424.0	1646946.0	1542053.0	1396594.0	1507972.0	1531925.0	1132783.0	1731760.0	1594791.0	1506165.0	1604048.0	1595074.0	1610351.0	1369702.0	1480315.0	1581957.0	1607799.0	1420198.0	1494226.0	1087344.0	1548825.0	770952.0	1120371.0	1384192.0	1519553.0	1644741.0	1338905.0	1511778.0	1056935.0	1328797.0	1317285.0	1551092.0	1616442.0	1645024.0
XieH_2016__YSZC12003_37314__bin.79	1717040.0	1665082.0	1556104.0	1096234.0	1775839.0	1622988.0	1650327.0	1814873.0	1855409.0	1734529.0	1650812.0	1752901.0	1543762.0	1610550.0	1917089.0	1811383.0	1927834.0	1694190.0	1509291.0	1610424.0	1734895.0	1232137.0	1594791.0	2203273.0	1691652.0	1895499.0	1795368.0	1802786.0	1518695.0	1639657.0	1801950.0	1766579.0	1538507.0	1599891.0	1137323.0	1783514.0	835029.0	1188313.0	1495691.0	1687389.0	1965357.0	1456078.0	1653911.0	1153371.0	1425285.0	1426458.0	1717627.0	1818694.0	1945152.0
ZellerG_2014__CCIS20795251ST-4-0__bin.46	1599915.0	1581132.0	1455836.0	1052207.0	1645930.0	1566872.0	1515883.0	1736178.0	1717765.0	1637589.0	1559100.0	1634235.0	1503691.0	1544660.0	1674205.0	1689926.0	1763355.0	1614667.0	1445144.0	1574694.0	1610482.0	1155103.0	1506165.0	1691652.0	2054165.0	1734500.0	1628438.0	1644485.0	1381336.0	1525290.0	1700638.0	1663335.0	1472084.0	1573021.0	1133730.0	1656994.0	801431.0	1133182.0	1419158.0	1575987.0	1790320.0	1408805.0	1582777.0	1098064.0	1359791.0	1412720.0	1629409.0	1674574.0	1726385.0
KarlssonFH_2013__S195__bin.33	1753579.0	1678891.0	1553501.0	1097749.0	1774387.0	1634751.0	1642299.0	1842598.0	1883059.0	1717095.0	1642698.0	1756006.0	1530073.0	1612005.0	1855195.0	1831633.0	1957355.0	1699352.0	1509655.0	1621090.0	1798634.0	1234802.0	1604048.0	1895499.0	1734500.0	2154593.0	1754364.0	1788760.0	1486242.0	1646332.0	1837483.0	1789802.0	1597842.0	1613389.0	1147445.0	1852207.0	854153.0	1201713.0	1489718.0	1727170.0	2050540.0	1452938.0	1668140.0	1150386.0	1425676.0	1418506.0	1721091.0	1798006.0	1927588.0
XieH_2016__YSZC12003_36011__bin.52	1724488.0	1661245.0	1520799.0	1094393.0	1755308.0	1622412.0	1648893.0	1745147.0	1837542.0	1753311.0	1659123.0	1775408.0	1539508.0	1624139.0	1800031.0	1842732.0	1821113.0	1715605.0	1494254.0	1639186.0	1655536.0	1235779.0	1595074.0	1795368.0	1628438.0	1754364.0	2067296.0	1905650.0	1531188.0	1639969.0	1773552.0	1790204.0	1513998.0	1597954.0	1158949.0	1705976.0	832471.0	1171253.0	1532167.0	1623843.0	1829514.0	1473948.0	1651570.0	1158951.0	1466521.0	1442258.0	1673462.0	1932065.0	1834825.0
RaymondF_2016__P13E90__bin.36	1763440.0	1708593.0	1520100.0	1108230.0	1795808.0	1638770.0	1669787.0	1761480.0	1864881.0	1791150.0	1678349.0	1791228.0	1553995.0	1641516.0	1828045.0	1866850.0	1854424.0	1713987.0	1504156.0	1665519.0	1690503.0	1255810.0	1610351.0	1802786.0	1644485.0	1788760.0	1905650.0	2177029.0	1561862.0	1681722.0	1772753.0	1800336.0	1532658.0	1616736.0	1167029.0	1709633.0	834902.0	1191784.0	1531446.0	1663850.0	1846965.0	1476409.0	1666609.0	1177631.0	1476431.0	1443133.0	1700863.0	2053923.0	1853701.0
ZellerG_2014__CCMD72895164ST-21-0__bin.36	1491485.0	1428926.0	1268556.0	925501.0	1520692.0	1397720.0	1443678.0	1473082.0	1527425.0	1519577.0	1441476.0	1513480.0	1303827.0	1397645.0	1542248.0	1560516.0	1544778.0	1438703.0	1271242.0	1416489.0	1391740.0	1067158.0	1369702.0	1518695.0	1381336.0	1486242.0	1531188.0	1561862.0	1741509.0	1389731.0	1482474.0	1517161.0	1299284.0	1353551.0	1014404.0	1450191.0	693594.0	1014617.0	1281178.0	1414392.0	1540153.0	1243056.0	1397784.0	992218.0	1254742.0	1203485.0	1449294.0	1560858.0	1544706.0
LiJ_2014__V1.FI28__bin.87	1638026.0	1608890.0	1392221.0	1027910.0	1660419.0	1500091.0	1536184.0	1628401.0	1660989.0	1628871.0	1526570.0	1666972.0	1447218.0	1513934.0	1645709.0	1686570.0	1678162.0	1607922.0	1420962.0	1543090.0	1554330.0	1149362.0	1480315.0	1639657.0	1525290.0	1646332.0	1639969.0	1681722.0	1389731.0	1948283.0	1590215.0	1649885.0	1396813.0	1501231.0	1071884.0	1578690.0	783339.0	1087783.0	1425882.0	1546946.0	1711619.0	1376569.0	1547216.0	1094715.0	1324424.0	1335688.0	1542406.0	1682744.0	1696971.0
XieH_2016__YSZC12003_35999__bin.12	1693032.0	1641820.0	1526588.0	1088054.0	1712079.0	1607388.0	1589933.0	1759752.0	1827982.0	1711475.0	1627418.0	1711629.0	1517248.0	1587668.0	1818428.0	1780929.0	1844068.0	1659697.0	1492606.0	1581867.0	1649256.0	1229022.0	1581957.0	1801950.0	1700638.0	1837483.0	1773552.0	1772753.0	1482474.0	1590215.0	1976956.0	1744453.0	1536098.0	1578248.0	1130991.0	1745290.0	843108.0	1180849.0	1472917.0	1660276.0	1883678.0	1447011.0	1688445.0	1142656.0	1398891.0	1409172.0	1691847.0	1794746.0	1872412.0
ZeeviD_2015__PNP_Validation_13__bin.40	1736104.0	1713670.0	1518507.0	1114365.0	1751916.0	1654355.0	1645498.0	1762476.0	1794157.0	1741603.0	1678198.0	1780062.0	1570039.0	1652603.0	1766567.0	1831945.0	1825150.0	1728067.0	1494009.0	1653670.0	1689216.0	1228208.0	1607799.0	1766579.0	1663335.0	1789802.0	1790204.0	1800336.0	1517161.0	1649885.0	1744453.0	1957909.0	1549193.0	1635198.0	1173482.0	1723140.0	829688.0	1185777.0	1523925.0	1657433.0	1835898.0	1522226.0	1640268.0	1162122.0	1461968.0	1465095.0	1687796.0	1818829.0	1819768.0
XieH_2016__YSZC12003_35549__bin.24	1495807.0	1435717.0	1322423.0	978331.0	1495156.0	1490240.0	1425978.0	1544217.0	1566047.0	1498397.0	1461426.0	1534160.0	1370824.0	1460344.0	1561264.0	1556471.0	1588957.0	1475025.0	1314084.0	1437555.0	1467872.0	1071279.0	1420198.0	1538507.0	1472084.0	1597842.0	1513998.0	1532658.0	1299284.0	1396813.0	1536098.0	1549193.0	1720834.0	1429194.0	1087015.0	1525252.0	723916.0	1073351.0	1374571.0	1474011.0	1605818.0	1302281.0	1476162.0	1001276.0	1268140.0	1252123.0	1518954.0	1549970.0	1572904.0
KarlssonFH_2013__S488__bin.33	1570662.0	1559976.0	1390269.0	1039783.0	1625363.0	1529102.0	1488980.0	1634498.0	1633891.0	1607918.0	1529973.0	1612945.0	1438992.0	1531610.0	1619267.0	1640607.0	1654410.0	1556037.0	1403583.0	1538373.0	1543918.0	1123204.0	1494226.0	1599891.0	1573021.0	1613389.0	1597954.0	1616736.0	1353551.0	1501231.0	1578248.0	1635198.0	1429194.0	1750637.0	1115644.0	1577136.0	760662.0	1098045.0	1399229.0	1523091.0	1658286.0	1378739.0	1529714.0	1067720.0	1352063.0	1338953.0	1556923.0	1640009.0	1650576.0
ZellerG_2014__CCMD87156761ST-21-0__bin.36	1141345.0	1101911.0	991757.0	768542.0	1150808.0	1125085.0	1106142.0	1149790.0	1160756.0	1150185.0	1129541.0	1188544.0	1093108.0	1134693.0	1158163.0	1185772.0	1164462.0	1128391.0	1019072.0	1107322.0	1087987.0	840724.0	1087344.0	1137323.0	1133730.0	1147445.0	1158949.0	1167029.0	1014404.0	1071884.0	1130991.0	1173482.0	1087015.0	1115644.0	1409066.0	1131227.0	537149.0	835648.0	1085389.0	1085503.0	1178009.0	1028672.0	1113696.0	772784.0	1022042.0	1028611.0	1122084.0	1173111.0	1169367.0
XieH_2016__YSZC12003_37330__bin.31	1668967.0	1599111.0	1533621.0	1093527.0	1707973.0	1578773.0	1568996.0	1742208.0	1785656.0	1660225.0	1606364.0	1683907.0	1497242.0	1566916.0	1782525.0	1756560.0	1846535.0	1616089.0	1480568.0	1559789.0	1675083.0	1208477.0	1548825.0	1783514.0	1656994.0	1852207.0	1705976.0	1709633.0	1450191.0	1578690.0	1745290.0	1723140.0	1525252.0	1577136.0	1131227.0	2133326.0	821772.0	1151186.0	1468043.0	1655585.0	1923387.0	1439478.0	1636544.0	1118489.0	1392832.0	1403736.0	1662689.0	1732950.0	1857122.0
BackhedF_2015__SID105_M__bin.46	807710.0	804766.0	766044.0	638030.0	819940.0	777994.0	769577.0	827801.0	842404.0	819963.0	780752.0	814504.0	769294.0	780077.0	846355.0	844692.0	856354.0	803007.0	759089.0	751270.0	800746.0	625538.0	770952.0	835029.0	801431.0	854153.0	832471.0	834902.0	693594.0	783339.0	843108.0	829688.0	723916.0	760662.0	537149.0	821772.0	920259.0	577556.0	713554.0	777042.0	861979.0	740089.0	803875.0	604982.0	688204.0	736604.0	793844.0	843887.0	852406.0
