	ZeeviD_2015__PNP_Main_74__bin.26	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.2	CosteaPI_2017__SID713A028-11-0-0__bin.27	LeChatelierE_2013__MH0012__bin.43	Obregon-TitoAJ_2015__SM33__bin.2	CM_madagascar__A32_01_1FE__bin.33	LeChatelierE_2013__MH0126__bin.25	CM_madagascar__A81_01_1FE__bin.49	CosteaPI_2017__SID713B046-11-0-0__bin.58	SmitsSA_2017__TZ_12739__bin.4	XieH_2016__YSZC12003_37331__bin.27	Obregon-TitoAJ_2015__SM44__bin.22	Obregon-TitoAJ_2015__SM43__bin.46	Obregon-TitoAJ_2015__SM32__bin.23	VatanenT_2016__G78741__bin.11	CM_madagascar__A94_02_1FE__bin.50	BritoIL_2016__W1.51.ST__bin.59	Obregon-TitoAJ_2015__SM31__bin.9	Obregon-TitoAJ_2015__SM39__bin.44	RampelliS_2015__H16__bin.32	Obregon-TitoAJ_2015__SM25__bin.5	CM_madagascar__A89_02_1FE__bin.31	ZeeviD_2015__PNP_Main_301__bin.19	RampelliS_2015__H8__bin.8	NielsenHB_2014__MH0126__bin.53	CM_madagascar__A53_01_1FE__bin.21	ZellerG_2014__CCIS31434951ST-20-0__bin.24	Obregon-TitoAJ_2015__SM02__bin.18	CM_madagascar__V07_01_2FE__bin.26	RampelliS_2015__H2__bin.18	BritoIL_2016__W3.18.ST__bin.41	Obregon-TitoAJ_2015__SM01__bin.23	ZellerG_2014__CCIS59132091ST-4-0__bin.40	LiuW_2016__SRR3992967__bin.11	BritoIL_2016__W2.61.ST__bin.113	Obregon-TitoAJ_2015__SM40__bin.28	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.7	RampelliS_2015__H17__bin.74	CM_madagascar__A72_01_1FE__bin.2	Obregon-TitoAJ_2015__SM18__bin.25	Obregon-TitoAJ_2015__SM34__bin.32	NielsenHB_2014__MH0012__bin.23	BritoIL_2016__W2.6.ST__bin.33	SmitsSA_2017__TZ_65642__bin.12	BritoIL_2016__WL.43.ST__bin.16
XieH_2016__YSZC12003_37331__bin.27	57181.0	43571.0	27526.0	56042.0	45585.0	57602.0	27847.0	38723.0	27763.0	32434.0	0.0	38601.0	51376.0	45495.0	66640.0	57361.0	58230.0	45381.0	14117.0	47748.0	53007.0	53554.0	26865.0	59131.0	26152.0	33994.0	25877.0	46527.0	57459.0	58000.0	35211.0	27519.0	30485.0	42912.0	57000.0	41733.0	27710.0	33594.0	46031.0	33693.0	39166.0	42336.0	48388.0	64965.0	57840.0
Obregon-TitoAJ_2015__SM44__bin.22	44672.0	36465.0	40076.0	42936.0	183.0	45062.0	40358.0	38164.0	39597.0	37987.0	38601.0	0.0	48295.0	25567.0	49889.0	45048.0	45129.0	252.0	15237.0	42815.0	49846.0	42669.0	38832.0	47359.0	39339.0	39633.0	38488.0	43644.0	45009.0	51233.0	31814.0	17589.0	40516.0	33772.0	43250.0	23855.0	39519.0	39066.0	37194.0	18043.0	35361.0	38408.0	42096.0	50375.0	44174.0
Obregon-TitoAJ_2015__SM43__bin.46	66157.0	49979.0	52737.0	66719.0	57522.0	67390.0	52540.0	25549.0	53058.0	47823.0	51376.0	48295.0	0.0	57283.0	73455.0	65955.0	67802.0	57660.0	25122.0	56272.0	204.0	63254.0	51533.0	64895.0	49600.0	52213.0	50393.0	21058.0	67857.0	64060.0	40250.0	32548.0	53024.0	50811.0	66677.0	52386.0	51788.0	48334.0	53544.0	42760.0	6333.0	49822.0	56941.0	71411.0	67326.0
Obregon-TitoAJ_2015__SM32__bin.23	52753.0	40244.0	46713.0	51657.0	30521.0	53803.0	47021.0	42944.0	46809.0	44045.0	45495.0	25567.0	57283.0	0.0	60904.0	53485.0	53847.0	30605.0	21936.0	44708.0	59643.0	50115.0	45564.0	54646.0	44640.0	47964.0	44970.0	53047.0	53597.0	54457.0	31994.0	25813.0	47408.0	39519.0	52606.0	1566.0	46116.0	44865.0	42612.0	835.0	38216.0	39163.0	44989.0	59997.0	52534.0
VatanenT_2016__G78741__bin.11	62061.0	44976.0	68227.0	60276.0	60880.0	60809.0	67863.0	53178.0	67331.0	60922.0	66640.0	49889.0	73455.0	60904.0	0.0	59936.0	61686.0	60740.0	33591.0	49708.0	76040.0	56595.0	65078.0	47493.0	63912.0	66398.0	64907.0	67402.0	60508.0	44957.0	35342.0	33486.0	67470.0	47383.0	60878.0	56679.0	66010.0	60991.0	48572.0	46227.0	57930.0	44368.0	51177.0	53510.0	61917.0
CM_madagascar__A94_02_1FE__bin.50	43835.0	29562.0	58692.0	43809.0	52961.0	43048.0	58697.0	49556.0	59047.0	52103.0	57361.0	45048.0	65955.0	53485.0	59936.0	0.0	39015.0	53167.0	26522.0	38973.0	69601.0	40790.0	56633.0	55270.0	55145.0	59270.0	55890.0	60605.0	43135.0	54858.0	24554.0	21653.0	58601.0	33618.0	39847.0	49666.0	57831.0	54608.0	34296.0	40777.0	51296.0	33225.0	34873.0	60256.0	39852.0
BritoIL_2016__W1.51.ST__bin.59	44816.0	27893.0	59695.0	42815.0	53690.0	43715.0	59774.0	50750.0	59783.0	54275.0	58230.0	45129.0	67802.0	53847.0	61686.0	39015.0	0.0	53731.0	28569.0	37572.0	70458.0	41129.0	57644.0	56535.0	56182.0	59946.0	57427.0	62785.0	44116.0	55989.0	18542.0	22286.0	60303.0	31575.0	32203.0	49271.0	58347.0	55167.0	34789.0	40347.0	51520.0	31188.0	27208.0	63528.0	30672.0
Obregon-TitoAJ_2015__SM31__bin.9	53379.0	40087.0	47439.0	51386.0	359.0	53576.0	47350.0	43366.0	46585.0	43658.0	45381.0	252.0	57660.0	30605.0	60740.0	53167.0	53731.0	0.0	22029.0	44843.0	59607.0	49874.0	45474.0	55481.0	44698.0	46919.0	44913.0	53572.0	53093.0	54651.0	31697.0	25934.0	47633.0	39592.0	52029.0	28354.0	45836.0	44490.0	42408.0	23121.0	42034.0	38950.0	44401.0	60831.0	52788.0
Obregon-TitoAJ_2015__SM39__bin.44	28059.0	17416.0	13932.0	27727.0	22392.0	28431.0	14467.0	16212.0	15162.0	15949.0	14117.0	15237.0	25122.0	21936.0	33591.0	26522.0	28569.0	22029.0	0.0	18053.0	27900.0	25167.0	13945.0	27292.0	12798.0	17230.0	13175.0	26619.0	28065.0	22989.0	6345.0	28005.0	15897.0	19715.0	28399.0	19801.0	13403.0	14363.0	20732.0	23721.0	18160.0	14845.0	19540.0	32134.0	27742.0
RampelliS_2015__H16__bin.32	37412.0	29960.0	49461.0	31139.0	44236.0	38247.0	50366.0	43577.0	49358.0	45264.0	47748.0	42815.0	56272.0	44708.0	49708.0	38973.0	37572.0	44843.0	18053.0	0.0	58311.0	35963.0	47317.0	46201.0	49114.0	49039.0	47302.0	51434.0	38801.0	51175.0	25804.0	13532.0	49444.0	22506.0	35270.0	41051.0	48487.0	47275.0	30897.0	30624.0	42929.0	26249.0	34611.0	49673.0	35473.0
Obregon-TitoAJ_2015__SM25__bin.5	68716.0	51840.0	54711.0	69663.0	59579.0	70501.0	54469.0	26720.0	57198.0	49318.0	53007.0	49846.0	204.0	59643.0	76040.0	69601.0	70458.0	59607.0	27900.0	58311.0	0.0	65476.0	53005.0	67139.0	51457.0	56495.0	52295.0	22623.0	70197.0	67298.0	41819.0	35907.0	54717.0	52344.0	69325.0	54393.0	54164.0	50696.0	55128.0	45487.0	6628.0	51886.0	59282.0	73871.0	69300.0
CM_madagascar__A89_02_1FE__bin.31	35582.0	32340.0	54551.0	39806.0	49872.0	3177.0	54406.0	49046.0	54748.0	50343.0	53554.0	42669.0	63254.0	50115.0	56595.0	40790.0	41129.0	49874.0	25167.0	35963.0	65476.0	0.0	52764.0	53142.0	51975.0	55315.0	52695.0	57877.0	3178.0	52004.0	25930.0	18897.0	55104.0	31052.0	39893.0	46944.0	54061.0	51939.0	1915.0	37619.0	49035.0	31033.0	34272.0	58124.0	40373.0
ZeeviD_2015__PNP_Main_301__bin.19	56337.0	43549.0	27708.0	55778.0	45510.0	56893.0	28238.0	38457.0	28188.0	31864.0	26865.0	38832.0	51533.0	45564.0	65078.0	56633.0	57644.0	45474.0	13945.0	47317.0	53005.0	52764.0	0.0	58993.0	26404.0	33560.0	25618.0	46233.0	56473.0	58232.0	35233.0	26804.0	30345.0	42662.0	56526.0	41744.0	26426.0	33100.0	45339.0	33256.0	38727.0	41840.0	48114.0	64590.0	56939.0
RampelliS_2015__H8__bin.8	56283.0	43973.0	60825.0	54397.0	55668.0	56195.0	62288.0	50034.0	60798.0	54382.0	59131.0	47359.0	64895.0	54646.0	47493.0	55270.0	56535.0	55481.0	27292.0	46201.0	67139.0	53142.0	58993.0	0.0	59449.0	61483.0	58333.0	60151.0	56208.0	31029.0	34671.0	27483.0	60957.0	43714.0	55381.0	51927.0	59264.0	56061.0	45355.0	40089.0	51881.0	41539.0	48021.0	35091.0	55555.0
NielsenHB_2014__MH0126__bin.53	55345.0	42992.0	27311.0	54512.0	44558.0	55806.0	70.0	37472.0	26802.0	31409.0	26152.0	39339.0	49600.0	44640.0	63912.0	55145.0	56182.0	44698.0	12798.0	49114.0	51457.0	51975.0	26404.0	59449.0	0.0	33000.0	25128.0	45683.0	56029.0	59136.0	35914.0	25493.0	29645.0	42437.0	54681.0	40901.0	25971.0	32670.0	44607.0	31699.0	37679.0	42756.0	49274.0	64761.0	55771.0
CM_madagascar__A53_01_1FE__bin.21	58477.0	45004.0	35097.0	58257.0	46871.0	59715.0	35671.0	39764.0	35210.0	29361.0	33994.0	39633.0	52213.0	47964.0	66398.0	59270.0	59946.0	46919.0	17230.0	49039.0	56495.0	55315.0	33560.0	61483.0	33000.0	0.0	33150.0	47904.0	59278.0	59010.0	35439.0	29626.0	34535.0	44227.0	57600.0	44398.0	34965.0	29904.0	47201.0	36763.0	39753.0	43443.0	49001.0	66893.0	58264.0
ZellerG_2014__CCIS31434951ST-20-0__bin.24	56151.0	43227.0	26851.0	54899.0	44906.0	56756.0	26714.0	38157.0	26206.0	31910.0	25877.0	38488.0	50393.0	44970.0	64907.0	55890.0	57427.0	44913.0	13175.0	47302.0	52295.0	52695.0	25618.0	58333.0	25128.0	33150.0	0.0	45813.0	56539.0	56843.0	35593.0	26709.0	29105.0	42028.0	55710.0	41424.0	27612.0	32557.0	45682.0	32615.0	38700.0	41896.0	48087.0	63559.0	56552.0
Obregon-TitoAJ_2015__SM02__bin.18	62794.0	45724.0	47887.0	61625.0	53106.0	61869.0	48515.0	24000.0	47146.0	44515.0	46527.0	43644.0	21058.0	53047.0	67402.0	60605.0	62785.0	53572.0	26619.0	51434.0	22623.0	57877.0	46233.0	60151.0	45683.0	47904.0	45813.0	0.0	61380.0	57600.0	34504.0	34718.0	47923.0	46555.0	62699.0	47862.0	46017.0	44532.0	48565.0	43730.0	20041.0	44325.0	51586.0	66817.0	62845.0
CM_madagascar__V07_01_2FE__bin.26	38389.0	33184.0	58524.0	43190.0	53095.0	143.0	59288.0	50436.0	59336.0	53158.0	57459.0	45009.0	67857.0	53597.0	60508.0	43135.0	44116.0	53093.0	28065.0	38801.0	70197.0	3178.0	56473.0	56208.0	56029.0	59278.0	56539.0	61380.0	0.0	55225.0	27018.0	21348.0	59202.0	32989.0	42798.0	49299.0	57351.0	54497.0	2988.0	40731.0	51258.0	32599.0	36549.0	62499.0	42886.0
RampelliS_2015__H2__bin.18	54270.0	44329.0	59386.0	53279.0	54031.0	54793.0	59809.0	49039.0	59417.0	53330.0	58000.0	51233.0	64060.0	54457.0	44957.0	54858.0	55989.0	54651.0	22989.0	51175.0	67298.0	52004.0	58232.0	31029.0	59136.0	59010.0	56843.0	57600.0	55225.0	0.0	39098.0	22560.0	58457.0	42724.0	54083.0	50725.0	61709.0	57181.0	44546.0	37262.0	49956.0	46951.0	51611.0	31814.0	54725.0
BritoIL_2016__W3.18.ST__bin.41	27005.0	20316.0	35950.0	25518.0	31718.0	26755.0	36412.0	33111.0	35870.0	33187.0	35211.0	31814.0	40250.0	31994.0	35342.0	24554.0	18542.0	31697.0	6345.0	25804.0	41819.0	25930.0	35233.0	34671.0	35914.0	35439.0	35593.0	34504.0	27018.0	39098.0	0.0	4830.0	36080.0	19550.0	1241.0	29522.0	35533.0	36366.0	22654.0	17974.0	32246.0	24686.0	13348.0	36253.0	10084.0
Obregon-TitoAJ_2015__SM01__bin.23	22925.0	13277.0	27935.0	18956.0	26073.0	21491.0	28885.0	22511.0	28468.0	25081.0	27519.0	17589.0	32548.0	25813.0	33486.0	21653.0	22286.0	25934.0	28005.0	13532.0	35907.0	18897.0	26804.0	27483.0	25493.0	29626.0	26709.0	34718.0	21348.0	22560.0	4830.0	0.0	27936.0	11877.0	20800.0	23631.0	27462.0	23544.0	15101.0	26865.0	24193.0	8757.0	14068.0	32557.0	20601.0
ZellerG_2014__CCIS59132091ST-4-0__bin.40	59456.0	45264.0	30689.0	58100.0	47801.0	59174.0	31498.0	39804.0	31020.0	32952.0	30485.0	40516.0	53024.0	47408.0	67470.0	58601.0	60303.0	47633.0	15897.0	49444.0	54717.0	55104.0	30345.0	60957.0	29645.0	34535.0	29105.0	47923.0	59202.0	58457.0	36080.0	27936.0	0.0	44043.0	58505.0	42965.0	30157.0	34109.0	47457.0	35675.0	40107.0	43964.0	50061.0	66941.0	58760.0
LiuW_2016__SRR3992967__bin.11	32649.0	26456.0	43661.0	25334.0	39509.0	33103.0	44548.0	39656.0	44233.0	40961.0	42912.0	33772.0	50811.0	39519.0	47383.0	33618.0	31575.0	39592.0	19715.0	22506.0	52344.0	31052.0	42662.0	43714.0	42437.0	44227.0	42028.0	46555.0	32989.0	42724.0	19550.0	11877.0	44043.0	0.0	29988.0	37517.0	43116.0	42453.0	27205.0	29231.0	39778.0	19429.0	26239.0	47893.0	30925.0
BritoIL_2016__W2.61.ST__bin.113	44356.0	28780.0	58310.0	40787.0	52107.0	43009.0	58374.0	49522.0	58635.0	51946.0	57000.0	43250.0	66677.0	52606.0	60878.0	39847.0	32203.0	52029.0	28399.0	35270.0	69325.0	39893.0	56526.0	55381.0	54681.0	57600.0	55710.0	62699.0	42798.0	54083.0	1241.0	20800.0	58505.0	29988.0	0.0	48458.0	56446.0	53871.0	33682.0	39505.0	50784.0	29775.0	18105.0	61509.0	16581.0
Obregon-TitoAJ_2015__SM40__bin.28	48657.0	37360.0	42751.0	47371.0	28348.0	49543.0	43005.0	39780.0	42690.0	41474.0	41733.0	23855.0	52386.0	1566.0	56679.0	49666.0	49271.0	28354.0	19801.0	41051.0	54393.0	46944.0	41744.0	51927.0	40901.0	44398.0	41424.0	47862.0	49299.0	50725.0	29522.0	23631.0	42965.0	37517.0	48458.0	0.0	42567.0	41572.0	39875.0	915.0	36290.0	36162.0	41574.0	55936.0	48792.0
VogtmannE_2016__MMRS65742083ST-27-0-0__bin.7	57451.0	44126.0	27073.0	56142.0	45440.0	57566.0	27703.0	38620.0	26712.0	32252.0	27710.0	39519.0	51788.0	46116.0	66010.0	57831.0	58347.0	45836.0	13403.0	48487.0	54164.0	54061.0	26426.0	59264.0	25971.0	34965.0	27612.0	46017.0	57351.0	61709.0	35533.0	27462.0	30157.0	43116.0	56446.0	42567.0	0.0	33570.0	46337.0	34192.0	39032.0	43573.0	48569.0	65588.0	57386.0
RampelliS_2015__H17__bin.74	53689.0	43810.0	33862.0	53384.0	44236.0	54779.0	34227.0	37923.0	34162.0	24573.0	33594.0	39066.0	48334.0	44865.0	60991.0	54608.0	55167.0	44490.0	14363.0	47275.0	50696.0	51939.0	33100.0	56061.0	32670.0	29904.0	32557.0	44532.0	54497.0	57181.0	36366.0	23544.0	34109.0	42453.0	53871.0	41572.0	33570.0	0.0	45176.0	31426.0	38729.0	42654.0	47567.0	60474.0	54530.0
CM_madagascar__A72_01_1FE__bin.2	30738.0	28314.0	46754.0	33884.0	42307.0	3062.0	46653.0	41857.0	47036.0	44188.0	46031.0	37194.0	53544.0	42612.0	48572.0	34296.0	34789.0	42408.0	20732.0	30897.0	55128.0	1915.0	45339.0	45355.0	44607.0	47201.0	45682.0	48565.0	2988.0	44546.0	22654.0	15101.0	47457.0	27205.0	33682.0	39875.0	46337.0	45176.0	0.0	30777.0	42281.0	26977.0	29567.0	49490.0	34124.0
Obregon-TitoAJ_2015__SM18__bin.25	40243.0	28636.0	34079.0	38570.0	23182.0	40965.0	34786.0	29759.0	35786.0	31973.0	33693.0	18043.0	42760.0	835.0	46227.0	40777.0	40347.0	23121.0	23721.0	30624.0	45487.0	37619.0	33256.0	40089.0	31699.0	36763.0	32615.0	43730.0	40731.0	37262.0	17974.0	26865.0	35675.0	29231.0	39505.0	915.0	34192.0	31426.0	30777.0	0.0	27415.0	25840.0	31967.0	44798.0	39550.0
Obregon-TitoAJ_2015__SM34__bin.32	50267.0	39876.0	39668.0	50645.0	42027.0	51317.0	39819.0	22484.0	39591.0	37756.0	39166.0	35361.0	6333.0	38216.0	57930.0	51296.0	51520.0	42034.0	18160.0	42929.0	6628.0	49035.0	38727.0	51881.0	37679.0	39753.0	38700.0	20041.0	51258.0	49956.0	32246.0	24193.0	40107.0	39778.0	50784.0	36290.0	39032.0	38729.0	42281.0	27415.0	0.0	39072.0	43347.0	56944.0	51350.0
NielsenHB_2014__MH0012__bin.23	32116.0	27241.0	43659.0	174.0	38457.0	32459.0	43205.0	39889.0	43620.0	40334.0	42336.0	38408.0	49822.0	39163.0	44368.0	33225.0	31188.0	38950.0	14845.0	26249.0	51886.0	31033.0	41840.0	41539.0	42756.0	43443.0	41896.0	44325.0	32599.0	46951.0	24686.0	8757.0	43964.0	19429.0	29775.0	36162.0	43573.0	42654.0	26977.0	25840.0	39072.0	0.0	28939.0	44095.0	30357.0
BritoIL_2016__W2.6.ST__bin.33	36817.0	26064.0	49698.0	33951.0	44026.0	36128.0	50002.0	43748.0	49340.0	45200.0	48388.0	42096.0	56941.0	44989.0	51177.0	34873.0	27208.0	44401.0	19540.0	34611.0	59282.0	34272.0	48114.0	48021.0	49274.0	49001.0	48087.0	51586.0	36549.0	51611.0	13348.0	14068.0	50061.0	26239.0	18105.0	41574.0	48569.0	47567.0	29567.0	31967.0	43347.0	28939.0	0.0	51930.0	21091.0
SmitsSA_2017__TZ_65642__bin.12	62667.0	47090.0	66346.0	60644.0	60979.0	62799.0	68104.0	53513.0	66380.0	60077.0	64965.0	50375.0	71411.0	59997.0	53510.0	60256.0	63528.0	60831.0	32134.0	49673.0	73871.0	58124.0	64590.0	35091.0	64761.0	66893.0	63559.0	66817.0	62499.0	31814.0	36253.0	32557.0	66941.0	47893.0	61509.0	55936.0	65588.0	60474.0	49490.0	44798.0	56944.0	44095.0	51930.0	0.0	62434.0
BritoIL_2016__WL.43.ST__bin.16	43641.0	28343.0	59355.0	41118.0	52828.0	43068.0	59406.0	49423.0	58902.0	53462.0	57840.0	44174.0	67326.0	52534.0	61917.0	39852.0	30672.0	52788.0	27742.0	35473.0	69300.0	40373.0	56939.0	55555.0	55771.0	58264.0	56552.0	62845.0	42886.0	54725.0	10084.0	20601.0	58760.0	30925.0	16581.0	48792.0	57386.0	54530.0	34124.0	39550.0	51350.0	30357.0	21091.0	62434.0	0.0
