	KosticAD_2015__PRJNA231909.3101439__bin.12	LeChatelierE_2013__MH0444__bin.43	LiJ_2014__MH0351__bin.3	LiJ_2014__V1.FI22__bin.44	FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	LouisS_2016__AS51_12__bin.16	CosteaPI_2017__alien-11-637-0__bin.39	VatanenT_2016__G78586__bin.10	LiJ_2014__V1.FI26__bin.33	BackhedF_2015__SID42_12M__bin.25	VatanenT_2016__G80580__bin.6	HMP_2012__SRS023604__bin.26	LouisS_2016__AS51_0__bin.3	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.13	LeChatelierE_2013__MH0068__bin.19	LouisS_2016__AS53_18__bin.34	VatanenT_2016__G80450__bin.9	WenC_2017__RA087__bin.28	BackhedF_2015__SID526_12M__bin.34	LiJ_2014__V1.UC59-0__bin.21	WenC_2017__RA001__bin.1	CosteaPI_2017__alien-11-632-0__bin.37	VatanenT_2016__G78682__bin.17	WenC_2017__RA134__bin.8	KosticAD_2015__PRJNA231909.3107649__bin.17	CosteaPI_2017__alien-11-600-0__bin.37	GeversD_2014__SKBSTL065__bin.15	CosteaPI_2017__alien-11-895-0__bin.1	GeversD_2014__SKBSTL021__bin.3	HMP_2012__SRS054590__bin.17	BackhedF_2015__SID10_M__bin.51	QinN_2014__LD-71__bin.14	LiJ_2014__MH0270__bin.37	LiJ_2017__H3M615846__bin.20	LouisS_2016__AS51_6__bin.7	GeversD_2014__SKBSTL038__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.58
HMP_2012__SRS023604__bin.26	938.0	1397.0	1494.0	1698.0	271.0	926.0	632.0	1764.0	1207.0	1698.0	1345.0	0.0	784.0	901.0	1843.0	500.0	1551.0	1063.0	479.0	946.0	1197.0	569.0	1148.0	2337.0	956.0	893.0	751.0	690.0	1064.0	987.0	1090.0	6633.0	946.0	985.0	682.0	911.0	1003.0
LouisS_2016__AS51_0__bin.3	440.0	1287.0	1608.0	2776.0	1364.0	308.0	1198.0	3003.0	1084.0	2557.0	1035.0	784.0	0.0	1196.0	1922.0	1080.0	2109.0	598.0	782.0	2064.0	680.0	1004.0	829.0	2250.0	557.0	1175.0	531.0	1115.0	360.0	544.0	961.0	8378.0	615.0	639.0	226.0	445.0	524.0
VogtmannE_2016__MMRS62192467ST-27-0-0__bin.13	1473.0	2138.0	2605.0	3397.0	1637.0	1660.0	1808.0	4067.0	1991.0	3229.0	2220.0	901.0	1196.0	0.0	2474.0	1380.0	2573.0	2198.0	1669.0	2071.0	2170.0	1803.0	2075.0	2828.0	1911.0	1717.0	1665.0	1483.0	2062.0	2012.0	2441.0	9872.0	1394.0	1477.0	1748.0	1466.0	1996.0
LeChatelierE_2013__MH0068__bin.19	2181.0	2752.0	2553.0	5321.0	2954.0	2376.0	2543.0	5097.0	2426.0	5189.0	2760.0	1843.0	1922.0	2474.0	0.0	2959.0	3512.0	2720.0	2600.0	2883.0	2915.0	2480.0	2789.0	3285.0	2526.0	2678.0	2167.0	2099.0	2806.0	2734.0	2780.0	10543.0	1773.0	2135.0	2381.0	2163.0	2675.0
LouisS_2016__AS53_18__bin.34	2078.0	1904.0	2675.0	2401.0	534.0	1508.0	1752.0	3223.0	1797.0	2442.0	3165.0	500.0	1080.0	1380.0	2959.0	0.0	2256.0	2188.0	970.0	1413.0	2345.0	1753.0	2345.0	2666.0	1923.0	1541.0	1434.0	1149.0	2030.0	2162.0	1885.0	8985.0	1793.0	1493.0	1313.0	2250.0	2153.0
VatanenT_2016__G80450__bin.9	2404.0	2700.0	3029.0	305.0	2683.0	2231.0	2529.0	227.0	2697.0	660.0	2871.0	1551.0	2109.0	2573.0	3512.0	2256.0	0.0	2851.0	1860.0	2933.0	3010.0	2435.0	3136.0	3189.0	2763.0	2295.0	2352.0	2176.0	3008.0	2816.0	3156.0	7769.0	2159.0	2348.0	1717.0	2533.0	2795.0
WenC_2017__RA087__bin.28	546.0	1460.0	2488.0	4899.0	2367.0	731.0	1573.0	4944.0	1087.0	4665.0	1421.0	1063.0	598.0	2198.0	2720.0	2188.0	2851.0	0.0	1429.0	2657.0	991.0	2051.0	1114.0	2323.0	657.0	1497.0	1004.0	1269.0	1154.0	678.0	1266.0	10823.0	772.0	1232.0	896.0	690.0	618.0
BackhedF_2015__SID526_12M__bin.34	1275.0	1789.0	2075.0	2579.0	970.0	1243.0	948.0	2730.0	1522.0	2279.0	1696.0	479.0	782.0	1669.0	2600.0	970.0	1860.0	1429.0	0.0	1643.0	1410.0	984.0	1311.0	2666.0	1117.0	979.0	1657.0	818.0	1146.0	1480.0	1933.0	7045.0	1189.0	1231.0	754.0	1175.0	1476.0
LiJ_2014__V1.UC59-0__bin.21	2078.0	2738.0	2816.0	3182.0	1444.0	2301.0	2105.0	3889.0	2264.0	3376.0	2981.0	946.0	2064.0	2071.0	2883.0	1413.0	2933.0	2657.0	1643.0	0.0	2778.0	2151.0	2773.0	3058.0	2413.0	2012.0	2259.0	1929.0	2423.0	2575.0	3048.0	9009.0	1762.0	1928.0	1930.0	2541.0	2585.0
WenC_2017__RA001__bin.1	648.0	1479.0	2284.0	4916.0	2430.0	865.0	1649.0	4896.0	1148.0	4608.0	1377.0	1197.0	680.0	2170.0	2915.0	2345.0	3010.0	991.0	1410.0	2778.0	0.0	1535.0	1181.0	2445.0	735.0	1543.0	1067.0	1304.0	1378.0	769.0	1494.0	10361.0	894.0	1134.0	1123.0	721.0	737.0
CosteaPI_2017__alien-11-632-0__bin.37	1414.0	1977.0	2926.0	3410.0	1435.0	1945.0	346.0	3622.0	1766.0	2740.0	2777.0	569.0	1004.0	1803.0	2480.0	1753.0	2435.0	2051.0	984.0	2151.0	1535.0	0.0	1602.0	2641.0	1440.0	438.0	1899.0	264.0	1242.0	1716.0	2109.0	9673.0	1856.0	1622.0	1063.0	1340.0	1723.0
VatanenT_2016__G78682__bin.17	726.0	1465.0	2414.0	4525.0	2399.0	866.0	1703.0	4794.0	1336.0	4417.0	1495.0	1148.0	829.0	2075.0	2789.0	2345.0	3136.0	1114.0	1311.0	2773.0	1181.0	1602.0	0.0	2381.0	819.0	1640.0	1197.0	1342.0	1307.0	747.0	1595.0	10018.0	973.0	1127.0	1098.0	779.0	761.0
WenC_2017__RA134__bin.8	2069.0	2452.0	2692.0	3666.0	2639.0	2272.0	2753.0	3686.0	2250.0	3598.0	2173.0	2337.0	2250.0	2828.0	3285.0	2666.0	3189.0	2323.0	2666.0	3058.0	2445.0	2641.0	2381.0	0.0	2172.0	2568.0	2237.0	2514.0	2185.0	2217.0	2566.0	6714.0	2317.0	2325.0	1663.0	2072.0	2224.0
KosticAD_2015__PRJNA231909.3107649__bin.17	144.0	1318.0	2081.0	4296.0	2158.0	564.0	1438.0	4485.0	1016.0	4143.0	1217.0	956.0	557.0	1911.0	2526.0	1923.0	2763.0	657.0	1117.0	2413.0	735.0	1440.0	819.0	2172.0	0.0	1316.0	1015.0	1173.0	943.0	433.0	1050.0	10647.0	684.0	863.0	872.0	570.0	274.0
CosteaPI_2017__alien-11-600-0__bin.37	1331.0	2112.0	2042.0	2688.0	1238.0	1474.0	619.0	3000.0	1684.0	2475.0	2138.0	893.0	1175.0	1717.0	2678.0	1541.0	2295.0	1497.0	979.0	2012.0	1543.0	438.0	1640.0	2568.0	1316.0	0.0	1615.0	502.0	1456.0	1403.0	2021.0	7867.0	1981.0	1625.0	1075.0	1379.0	1396.0
GeversD_2014__SKBSTL065__bin.15	676.0	1617.0	2087.0	3170.0	1857.0	841.0	1905.0	3940.0	1155.0	2848.0	1324.0	751.0	531.0	1665.0	2167.0	1434.0	2352.0	1004.0	1657.0	2259.0	1067.0	1899.0	1197.0	2237.0	1015.0	1615.0	0.0	1429.0	1083.0	944.0	1518.0	9536.0	753.0	764.0	1123.0	719.0	896.0
CosteaPI_2017__alien-11-895-0__bin.1	1160.0	1916.0	1772.0	2427.0	1010.0	1453.0	448.0	2691.0	1743.0	2080.0	1509.0	690.0	1115.0	1483.0	2099.0	1149.0	2176.0	1269.0	818.0	1929.0	1304.0	264.0	1342.0	2514.0	1173.0	502.0	1429.0	0.0	1186.0	1120.0	1667.0	6834.0	1336.0	1188.0	1024.0	933.0	1128.0
GeversD_2014__SKBSTL021__bin.3	836.0	1589.0	2432.0	4662.0	1988.0	459.0	1408.0	5181.0	1132.0	4890.0	1391.0	1064.0	360.0	2062.0	2806.0	2030.0	3008.0	1154.0	1146.0	2423.0	1378.0	1242.0	1307.0	2185.0	943.0	1456.0	1083.0	1186.0	0.0	1010.0	1803.0	10955.0	713.0	822.0	460.0	641.0	953.0
HMP_2012__SRS054590__bin.17	270.0	1332.0	2173.0	4781.0	2329.0	598.0	1678.0	4820.0	1024.0	4640.0	1236.0	987.0	544.0	2012.0	2734.0	2162.0	2816.0	678.0	1480.0	2575.0	769.0	1716.0	747.0	2217.0	433.0	1403.0	944.0	1120.0	1010.0	0.0	1157.0	11208.0	727.0	899.0	879.0	632.0	330.0
BackhedF_2015__SID10_M__bin.51	1090.0	1835.0	2577.0	4311.0	2827.0	1214.0	2090.0	4892.0	1547.0	3972.0	1731.0	1090.0	961.0	2441.0	2780.0	1885.0	3156.0	1266.0	1933.0	3048.0	1494.0	2109.0	1595.0	2566.0	1050.0	2021.0	1518.0	1667.0	1803.0	1157.0	0.0	10745.0	1106.0	1411.0	1473.0	932.0	1102.0
QinN_2014__LD-71__bin.14	9842.0	7321.0	11215.0	10400.0	10873.0	8609.0	9525.0	10711.0	7317.0	11144.0	10114.0	6633.0	8378.0	9872.0	10543.0	8985.0	7769.0	10823.0	7045.0	9009.0	10361.0	9673.0	10018.0	6714.0	10647.0	7867.0	9536.0	6834.0	10955.0	11208.0	10745.0	0.0	6894.0	8946.0	7685.0	9175.0	11224.0
LiJ_2014__MH0270__bin.37	691.0	1482.0	1147.0	2384.0	1252.0	748.0	1920.0	2502.0	1089.0	2198.0	1350.0	946.0	615.0	1394.0	1773.0	1793.0	2159.0	772.0	1189.0	1762.0	894.0	1856.0	973.0	2317.0	684.0	1981.0	753.0	1336.0	713.0	727.0	1106.0	6894.0	0.0	896.0	553.0	530.0	724.0
LiJ_2017__H3M615846__bin.20	782.0	1608.0	1648.0	3113.0	1258.0	1040.0	1416.0	3062.0	1325.0	2791.0	1226.0	985.0	639.0	1477.0	2135.0	1493.0	2348.0	1232.0	1231.0	1928.0	1134.0	1622.0	1127.0	2325.0	863.0	1625.0	764.0	1188.0	822.0	899.0	1411.0	8946.0	896.0	0.0	851.0	773.0	870.0
LouisS_2016__AS51_6__bin.7	787.0	1373.0	2046.0	2602.0	1480.0	223.0	1034.0	3162.0	881.0	3110.0	1207.0	682.0	226.0	1748.0	2381.0	1313.0	1717.0	896.0	754.0	1930.0	1123.0	1063.0	1098.0	1663.0	872.0	1075.0	1123.0	1024.0	460.0	879.0	1473.0	7685.0	553.0	851.0	0.0	900.0	846.0
GeversD_2014__SKBSTL038__bin.7	398.0	1472.0	1890.0	3990.0	1627.0	939.0	1254.0	3775.0	1138.0	3874.0	934.0	911.0	445.0	1466.0	2163.0	2250.0	2533.0	690.0	1175.0	2541.0	721.0	1340.0	779.0	2072.0	570.0	1379.0	719.0	933.0	641.0	632.0	932.0	9175.0	530.0	773.0	900.0	0.0	507.0
Bengtsson-PalmeJ_2015__TRAVELRES37__bin.58	233.0	1326.0	2089.0	4711.0	2292.0	618.0	1592.0	4696.0	1005.0	4588.0	1186.0	1003.0	524.0	1996.0	2675.0	2153.0	2795.0	618.0	1476.0	2585.0	737.0	1723.0	761.0	2224.0	274.0	1396.0	896.0	1128.0	953.0	330.0	1102.0	11224.0	724.0	870.0	846.0	507.0	0.0
