	KosticAD_2015__PRJNA231909.3101439__bin.12	LeChatelierE_2013__MH0444__bin.43	LiJ_2014__MH0351__bin.3	LiJ_2014__V1.FI22__bin.44	FerrettiP_2018__CA_C10007MS2098FE_t0M15__bin.1	LouisS_2016__AS51_12__bin.16	CosteaPI_2017__alien-11-637-0__bin.39	VatanenT_2016__G78586__bin.10	LiJ_2014__V1.FI26__bin.33	BackhedF_2015__SID42_12M__bin.25	VatanenT_2016__G80580__bin.6	HMP_2012__SRS023604__bin.26	LouisS_2016__AS51_0__bin.3	VogtmannE_2016__MMRS62192467ST-27-0-0__bin.13	LeChatelierE_2013__MH0068__bin.19	LouisS_2016__AS53_18__bin.34	VatanenT_2016__G80450__bin.9	WenC_2017__RA087__bin.28	BackhedF_2015__SID526_12M__bin.34	LiJ_2014__V1.UC59-0__bin.21	WenC_2017__RA001__bin.1	CosteaPI_2017__alien-11-632-0__bin.37	VatanenT_2016__G78682__bin.17	WenC_2017__RA134__bin.8	KosticAD_2015__PRJNA231909.3107649__bin.17	CosteaPI_2017__alien-11-600-0__bin.37	GeversD_2014__SKBSTL065__bin.15	CosteaPI_2017__alien-11-895-0__bin.1	GeversD_2014__SKBSTL021__bin.3	HMP_2012__SRS054590__bin.17	BackhedF_2015__SID10_M__bin.51	QinN_2014__LD-71__bin.14	LiJ_2014__MH0270__bin.37	LiJ_2017__H3M615846__bin.20	LouisS_2016__AS51_6__bin.7	GeversD_2014__SKBSTL038__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES37__bin.58
VatanenT_2016__G80580__bin.6	1459396.0	806717.0	1456075.0	1240979.0	1533694.0	1156739.0	1212240.0	1524937.0	971273.0	1186196.0	1639396.0	843919.0	998078.0	1464789.0	1232941.0	999550.0	1003690.0	1556631.0	1111771.0	963052.0	1491275.0	1198584.0	1441166.0	645065.0	1498566.0	1062870.0	1514637.0	966259.0	1523034.0	1582250.0	1525238.0	830201.0	952622.0	1213731.0	1153278.0	1154207.0	1584804.0
HMP_2012__SRS023604__bin.26	937982.0	766579.0	937188.0	1014153.0	1007249.0	980146.0	956635.0	1014743.0	870973.0	1011719.0	843919.0	1021345.0	872542.0	1002841.0	963597.0	858578.0	939543.0	1014694.0	966910.0	851545.0	980283.0	980436.0	935701.0	640726.0	995531.0	926986.0	1003794.0	923303.0	999773.0	1017840.0	986980.0	635714.0	883911.0	970737.0	770743.0	886840.0	1017917.0
LouisS_2016__AS51_0__bin.3	1121620.0	832645.0	1121805.0	1172424.0	1197526.0	1101391.0	1120002.0	1206865.0	977086.0	1146059.0	998078.0	872542.0	1231487.0	1178450.0	1124618.0	955662.0	1049957.0	1199283.0	1065525.0	972020.0	1159424.0	1123259.0	1112133.0	684663.0	1183708.0	1048711.0	1173842.0	1023797.0	1189199.0	1214990.0	1175276.0	759678.0	946582.0	1134137.0	912269.0	1022867.0	1216712.0
VogtmannE_2016__MMRS62192467ST-27-0-0__bin.13	1728938.0	967103.0	1771273.0	1459501.0	1900097.0	1366141.0	1428880.0	1883601.0	1161790.0	1385736.0	1464789.0	1002841.0	1178450.0	1962706.0	1414620.0	1158166.0	1217717.0	1880619.0	1324954.0	1136261.0	1776737.0	1398706.0	1718524.0	787114.0	1802426.0	1258019.0	1872325.0	1167856.0	1837528.0	1902246.0	1847316.0	903710.0	1160303.0	1427917.0	1335057.0	1343408.0	1903610.0
LeChatelierE_2013__MH0068__bin.19	1369722.0	940131.0	1370597.0	1423989.0	1490643.0	1307138.0	1341604.0	1481008.0	1124904.0	1379361.0	1232941.0	963597.0	1124618.0	1414620.0	1547591.0	1115368.0	1175281.0	1488361.0	1294647.0	1107489.0	1423174.0	1346859.0	1374150.0	746463.0	1443108.0	1228674.0	1466320.0	1117103.0	1461195.0	1525893.0	1463156.0	889172.0	1102241.0	1320177.0	1076028.0	1235720.0	1522645.0
LouisS_2016__AS53_18__bin.34	1126748.0	820389.0	1098584.0	1167635.0	1204260.0	1092356.0	1114555.0	1195821.0	972190.0	1116598.0	999550.0	858578.0	955662.0	1158166.0	1115368.0	1261832.0	1012606.0	1195626.0	1067910.0	926368.0	1168624.0	1128161.0	1117803.0	665260.0	1160238.0	1034185.0	1175741.0	978062.0	1182626.0	1215332.0	1172683.0	729353.0	958672.0	1132156.0	916091.0	1024071.0	1216670.0
VatanenT_2016__G80450__bin.9	1160841.0	907765.0	1143319.0	1257620.0	1244304.0	1158483.0	1163795.0	1255960.0	1036444.0	1234071.0	1003690.0	939543.0	1049957.0	1217717.0	1175281.0	1012606.0	1268757.0	1240606.0	1182354.0	1026766.0	1185064.0	1197118.0	1153567.0	729674.0	1216573.0	1126467.0	1217619.0	1107059.0	1229036.0	1253278.0	1222447.0	724619.0	1065601.0	1178334.0	920691.0	1070422.0	1254219.0
WenC_2017__RA087__bin.28	1835625.0	986947.0	1841295.0	1528034.0	1960778.0	1394894.0	1474547.0	1943300.0	1196010.0	1471852.0	1556631.0	1014694.0	1199283.0	1880619.0	1488361.0	1195626.0	1240606.0	2057514.0	1363305.0	1156891.0	1880888.0	1455437.0	1833860.0	789420.0	1912050.0	1271027.0	1934992.0	1188892.0	1936616.0	2038846.0	1957444.0	936399.0	1160326.0	1474328.0	1366675.0	1409757.0	2055904.0
BackhedF_2015__SID526_12M__bin.34	1264152.0	903155.0	1232090.0	1389859.0	1387802.0	1287003.0	1318405.0	1357514.0	1098176.0	1307732.0	1111771.0	966910.0	1065525.0	1324954.0	1294647.0	1067910.0	1182354.0	1363305.0	1427919.0	1054840.0	1293341.0	1399273.0	1242463.0	726256.0	1306687.0	1251461.0	1402758.0	1172224.0	1330453.0	1397399.0	1354177.0	713043.0	1148220.0	1264563.0	1006016.0	1134967.0	1400107.0
LiJ_2014__V1.UC59-0__bin.21	1083105.0	845995.0	1087679.0	1160163.0	1178354.0	1073267.0	1092277.0	1165852.0	965838.0	1143122.0	963052.0	851545.0	972020.0	1136261.0	1107489.0	926368.0	1026766.0	1156891.0	1054840.0	1194303.0	1100584.0	1107648.0	1070914.0	661483.0	1143047.0	1036546.0	1143105.0	1011935.0	1148613.0	1167798.0	1139341.0	746397.0	938057.0	1079316.0	864334.0	1003745.0	1167840.0
WenC_2017__RA001__bin.1	1751935.0	930880.0	1724141.0	1448556.0	1853917.0	1340412.0	1401585.0	1845780.0	1148009.0	1377220.0	1491275.0	980283.0	1159424.0	1776737.0	1423174.0	1168624.0	1185064.0	1880888.0	1293341.0	1100584.0	1941017.0	1354941.0	1744177.0	775312.0	1806792.0	1220100.0	1840186.0	1136985.0	1839331.0	1941517.0	1856313.0	896494.0	1107459.0	1445381.0	1317269.0	1355378.0	1935692.0
CosteaPI_2017__alien-11-632-0__bin.37	1318627.0	924980.0	1334910.0	1444555.0	1478026.0	1325807.0	1510074.0	1439002.0	1135138.0	1346726.0	1198584.0	980436.0	1123259.0	1398706.0	1346859.0	1128161.0	1197118.0	1455437.0	1399273.0	1107648.0	1354941.0	1566442.0	1308920.0	740193.0	1384693.0	1305486.0	1468850.0	1197105.0	1408753.0	1462225.0	1425811.0	860308.0	1131254.0	1305059.0	1014883.0	1193980.0	1462214.0
VatanenT_2016__G78682__bin.17	1698297.0	912473.0	1668957.0	1399986.0	1797254.0	1277892.0	1336570.0	1790028.0	1108665.0	1352768.0	1441166.0	935701.0	1112133.0	1718524.0	1374150.0	1117803.0	1153567.0	1833860.0	1242463.0	1070914.0	1744177.0	1308920.0	1887371.0	736569.0	1757027.0	1186410.0	1777753.0	1099039.0	1783412.0	1858673.0	1805115.0	856036.0	1065724.0	1356512.0	1268629.0	1300794.0	1860289.0
WenC_2017__RA134__bin.8	734379.0	606590.0	734514.0	782185.0	791334.0	757188.0	732030.0	790892.0	681572.0	768167.0	645065.0	640726.0	684663.0	787114.0	746463.0	665260.0	729674.0	789420.0	726256.0	661483.0	775312.0	740193.0	736569.0	802798.0	781028.0	709098.0	773678.0	702317.0	781114.0	798791.0	768485.0	506177.0	677985.0	777074.0	637728.0	706529.0	798292.0
KosticAD_2015__PRJNA231909.3107649__bin.17	1782765.0	975466.0	1766097.0	1458755.0	1881563.0	1338291.0	1418668.0	1878071.0	1159004.0	1437956.0	1498566.0	995531.0	1183708.0	1802426.0	1443108.0	1160238.0	1216573.0	1912050.0	1306687.0	1143047.0	1806792.0	1384693.0	1757027.0	781028.0	1954158.0	1229523.0	1854219.0	1167172.0	1885972.0	1965406.0	1861823.0	926496.0	1123972.0	1411474.0	1326394.0	1381948.0	1940566.0
CosteaPI_2017__alien-11-600-0__bin.37	1181856.0	890440.0	1164153.0	1298930.0	1318484.0	1180668.0	1274865.0	1275803.0	1055112.0	1219761.0	1062870.0	926986.0	1048711.0	1258019.0	1228674.0	1034185.0	1126467.0	1271027.0	1251461.0	1036546.0	1220100.0	1305486.0	1186410.0	709098.0	1229523.0	1328084.0	1305172.0	1130409.0	1251240.0	1321135.0	1280340.0	760167.0	1064833.0	1205230.0	947371.0	1090680.0	1320788.0
GeversD_2014__SKBSTL065__bin.15	1793574.0	962246.0	1828525.0	1523218.0	1961883.0	1380907.0	1493859.0	1930665.0	1167515.0	1427615.0	1514637.0	1003794.0	1173842.0	1872325.0	1466320.0	1175741.0	1217619.0	1934992.0	1402758.0	1143105.0	1840186.0	1468850.0	1777753.0	773678.0	1854219.0	1305172.0	2002066.0	1198806.0	1895505.0	2009112.0	1960913.0	900278.0	1192856.0	1447849.0	1346743.0	1382088.0	1989129.0
CosteaPI_2017__alien-11-895-0__bin.1	1100563.0	873764.0	1092508.0	1194710.0	1214463.0	1120223.0	1174748.0	1192410.0	1020826.0	1170131.0	966259.0	923303.0	1023797.0	1167856.0	1117103.0	978062.0	1107059.0	1188892.0	1172224.0	1011935.0	1136985.0	1197105.0	1099039.0	702317.0	1167172.0	1130409.0	1198806.0	1206314.0	1172948.0	1214428.0	1182051.0	696907.0	1019903.0	1139538.0	884735.0	1030184.0	1216133.0
GeversD_2014__SKBSTL021__bin.3	1805977.0	961293.0	1793623.0	1503167.0	1913780.0	1358395.0	1445149.0	1918678.0	1175664.0	1452168.0	1523034.0	999773.0	1189199.0	1837528.0	1461195.0	1182626.0	1229036.0	1936616.0	1330453.0	1148613.0	1839331.0	1408753.0	1783412.0	781114.0	1885972.0	1251240.0	1895505.0	1172948.0	1988695.0	1978753.0	1908769.0	927569.0	1157361.0	1426274.0	1340153.0	1383874.0	1980243.0
HMP_2012__SRS054590__bin.17	1870400.0	993347.0	1865103.0	1581640.0	2002546.0	1417029.0	1488183.0	1970534.0	1204092.0	1499634.0	1582250.0	1017840.0	1214990.0	1902246.0	1525893.0	1215332.0	1253278.0	2038846.0	1397399.0	1167798.0	1941517.0	1462225.0	1858673.0	798791.0	1965406.0	1321135.0	2009112.0	1214428.0	1978753.0	2122835.0	2023879.0	955976.0	1189667.0	1504951.0	1392152.0	1432935.0	2113881.0
BackhedF_2015__SID10_M__bin.51	1810858.0	958386.0	1789914.0	1511460.0	1943831.0	1361924.0	1450530.0	1914064.0	1162653.0	1433396.0	1525238.0	986980.0	1175276.0	1847316.0	1463156.0	1172683.0	1222447.0	1957444.0	1354177.0	1139341.0	1856313.0	1425811.0	1805115.0	768485.0	1861823.0	1280340.0	1960913.0	1182051.0	1908769.0	2023879.0	2045996.0	913761.0	1125205.0	1431440.0	1350998.0	1369792.0	2061484.0
QinN_2014__LD-71__bin.14	868155.0	608348.0	911715.0	860262.0	942734.0	811456.0	862296.0	922830.0	691337.0	854827.0	830201.0	635714.0	759678.0	903710.0	889172.0	729353.0	724619.0	936399.0	713043.0	746397.0	896494.0	860308.0	856036.0	506177.0	926496.0	760167.0	900278.0	696907.0	927569.0	955976.0	913761.0	1072802.0	657262.0	812041.0	696867.0	771382.0	953441.0
LiJ_2014__MH0270__bin.37	1075006.0	822930.0	1079507.0	1162182.0	1160719.0	1140083.0	1112273.0	1165743.0	981928.0	1107861.0	952622.0	883911.0	946582.0	1160303.0	1102241.0	958672.0	1065601.0	1160326.0	1148220.0	938057.0	1107459.0	1131254.0	1065724.0	677985.0	1123972.0	1064833.0	1192856.0	1019903.0	1157361.0	1189667.0	1125205.0	657262.0	1187161.0	1130926.0	884400.0	1002812.0	1190251.0
LiJ_2017__H3M615846__bin.20	1367044.0	932091.0	1338549.0	1384066.0	1480569.0	1314172.0	1295610.0	1456645.0	1135004.0	1292689.0	1213731.0	970737.0	1134137.0	1427917.0	1320177.0	1132156.0	1178334.0	1474328.0	1264563.0	1079316.0	1445381.0	1305059.0	1356512.0	777074.0	1411474.0	1205230.0	1447849.0	1139538.0	1426274.0	1504951.0	1431440.0	812041.0	1130926.0	1511894.0	1113032.0	1214169.0	1507394.0
LouisS_2016__AS51_6__bin.7	1293168.0	741462.0	1291919.0	1087127.0	1372667.0	1075331.0	1039258.0	1351865.0	903881.0	1040416.0	1153278.0	770743.0	912269.0	1335057.0	1076028.0	916091.0	920691.0	1366675.0	1006016.0	864334.0	1317269.0	1014883.0	1268629.0	637728.0	1326394.0	947371.0	1346743.0	884735.0	1340153.0	1392152.0	1350998.0	696867.0	884400.0	1113032.0	1426453.0	1050182.0	1392397.0
GeversD_2014__SKBSTL038__bin.7	1312279.0	874345.0	1282791.0	1265410.0	1390411.0	1188743.0	1195114.0	1387872.0	1019467.0	1237999.0	1154207.0	886840.0	1022867.0	1343408.0	1235720.0	1024071.0	1070422.0	1409757.0	1134967.0	1003745.0	1355378.0	1193980.0	1300794.0	706529.0	1381948.0	1090680.0	1382088.0	1030184.0	1383874.0	1432935.0	1369792.0	771382.0	1002812.0	1214169.0	1050182.0	1450145.0	1433936.0
Bengtsson-PalmeJ_2015__TRAVELRES37__bin.58	1868340.0	993367.0	1864977.0	1582824.0	2003966.0	1418300.0	1488334.0	1971997.0	1204055.0	1501029.0	1584804.0	1017917.0	1216712.0	1903610.0	1522645.0	1216670.0	1254219.0	2055904.0	1400107.0	1167840.0	1935692.0	1462214.0	1860289.0	798292.0	1940566.0	1320788.0	1989129.0	1216133.0	1980243.0	2113881.0	2061484.0	953441.0	1190251.0	1507394.0	1392397.0	1433936.0	2118371.0
