	LeChatelierE_2013__MH0430__bin.81	NielsenHB_2014__MH0181__bin.46	LeChatelierE_2013__MH0224__bin.21	ZellerG_2014__CCIS21278152ST-4-0__bin.12	XieH_2016__YSZC12003_37270__bin.104	CosteaPI_2017__SID713B044-11-90-0__bin.13	LeChatelierE_2013__MH0415__bin.106	SchirmerM_2016__G88820__bin.19	LeChatelierE_2013__MH0443__bin.25	KarlssonFH_2013__S384__bin.11	ZellerG_2014__CCIS96387239ST-4-0__bin.9	NielsenHB_2014__MH0117__bin.40	LeChatelierE_2013__MH0152__bin.1	LiJ_2014__MH0328__bin.60	ZellerG_2014__CCIS51595129ST-4-0__bin.55	CosteaPI_2017__SID713B044-11-0-0__bin.60	ZeeviD_2015__PNP_Main_85__bin.45	LeChatelierE_2013__MH0096__bin.63	ZellerG_2014__CCIS62605362ST-3-0__bin.54	YuJ_2015__SZAXPI015263-84__bin.29	LiJ_2014__MH0264__bin.15	LiJ_2014__O2.UC13-1__bin.12	NielsenHB_2014__MH0152__bin.14	LiJ_2014__MH0265__bin.20	ZeeviD_2015__PNP_Main_215__bin.1	LeChatelierE_2013__MH0181__bin.38	SchirmerM_2016__G88826__bin.7	NielsenHB_2014__O2_UC13_2__bin.58	NielsenHB_2014__MH0096__bin.49	ZeeviD_2015__PNP_Main_568__bin.27	ZellerG_2014__CCIS83445808ST-4-0__bin.18	LeChatelierE_2013__MH0117__bin.15	KarlssonFH_2013__S187__bin.8	XieH_2016__YSZC12003_36008__bin.37	LiJ_2014__MH0192__bin.71	ZellerG_2014__CCIS09568613ST-4-0__bin.97	XieH_2016__YSZC12003_35989__bin.62
ZellerG_2014__CCIS96387239ST-4-0__bin.9	38471.0	42415.0	43494.0	38684.0	42164.0	41539.0	41817.0	42292.0	38610.0	36238.0	0.0	41053.0	34515.0	42021.0	43446.0	41105.0	34553.0	36985.0	40410.0	41195.0	52095.0	43058.0	34142.0	42692.0	41722.0	44568.0	39581.0	40861.0	31551.0	41895.0	38524.0	42112.0	40707.0	37953.0	42392.0	44342.0	62297.0
NielsenHB_2014__MH0117__bin.40	40003.0	45112.0	44344.0	40133.0	44916.0	43296.0	44046.0	42690.0	38818.0	36878.0	41053.0	0.0	45363.0	42577.0	45162.0	42676.0	33933.0	39748.0	40496.0	42767.0	53077.0	46300.0	44846.0	44956.0	44236.0	46348.0	38692.0	45963.0	35049.0	42652.0	39997.0	639.0	43329.0	41977.0	42508.0	46276.0	66452.0
LeChatelierE_2013__MH0152__bin.1	41176.0	44814.0	49880.0	42294.0	45102.0	42964.0	46293.0	44711.0	42078.0	39229.0	34515.0	45363.0	0.0	46207.0	48129.0	43067.0	35106.0	40042.0	42113.0	43874.0	55283.0	45608.0	427.0	48182.0	45075.0	46782.0	41542.0	44036.0	35053.0	44560.0	40705.0	45382.0	44278.0	44146.0	46423.0	48663.0	66837.0
LiJ_2014__MH0328__bin.60	40593.0	46927.0	46433.0	41092.0	46618.0	45164.0	44696.0	47189.0	41347.0	37634.0	42021.0	42577.0	46207.0	0.0	48723.0	44677.0	35770.0	41183.0	42412.0	44845.0	56817.0	47849.0	47038.0	47084.0	45401.0	48340.0	41691.0	46503.0	35556.0	45757.0	39955.0	44181.0	44462.0	44410.0	45641.0	48766.0	69438.0
ZellerG_2014__CCIS51595129ST-4-0__bin.55	42581.0	46491.0	41985.0	43754.0	48762.0	45869.0	47272.0	46065.0	42879.0	39386.0	43446.0	45162.0	48129.0	48723.0	0.0	45445.0	36957.0	41514.0	43608.0	46363.0	58711.0	52002.0	47913.0	51493.0	49441.0	48603.0	40037.0	49548.0	36052.0	46622.0	42968.0	47020.0	45821.0	45966.0	47899.0	259.0	72480.0
CosteaPI_2017__SID713B044-11-0-0__bin.60	39373.0	43800.0	45348.0	41004.0	44166.0	967.0	44599.0	43658.0	39837.0	37674.0	41105.0	42676.0	43067.0	44677.0	45445.0	0.0	33756.0	40626.0	40905.0	41862.0	51363.0	43357.0	42684.0	44711.0	43673.0	45193.0	40781.0	42124.0	35021.0	42406.0	41685.0	43479.0	40072.0	41150.0	43325.0	46491.0	66101.0
ZeeviD_2015__PNP_Main_85__bin.45	31980.0	35357.0	36295.0	32719.0	35466.0	33980.0	35532.0	35411.0	33364.0	31192.0	34553.0	33933.0	35106.0	35770.0	36957.0	33756.0	0.0	32541.0	33696.0	35834.0	39490.0	35173.0	34937.0	36174.0	35272.0	36702.0	32395.0	34319.0	28305.0	33851.0	33696.0	34919.0	32615.0	32853.0	35159.0	37338.0	49927.0
LeChatelierE_2013__MH0096__bin.63	36150.0	40952.0	42432.0	39256.0	42297.0	40925.0	41609.0	40069.0	37707.0	35341.0	36985.0	39748.0	40042.0	41183.0	41514.0	40626.0	32541.0	0.0	39875.0	40077.0	49894.0	41724.0	39841.0	42507.0	41759.0	43168.0	36676.0	40381.0	1130.0	39951.0	38263.0	40728.0	39483.0	40320.0	42356.0	42298.0	61088.0
ZellerG_2014__CCIS62605362ST-3-0__bin.54	38443.0	42715.0	44034.0	38769.0	44095.0	42136.0	42485.0	42888.0	38292.0	36168.0	40410.0	40496.0	42113.0	42412.0	43608.0	40905.0	33696.0	39875.0	0.0	42616.0	51732.0	45284.0	43605.0	44686.0	43131.0	44732.0	37566.0	43759.0	34614.0	41620.0	37564.0	41526.0	42384.0	41499.0	41990.0	43767.0	66955.0
YuJ_2015__SZAXPI015263-84__bin.29	39147.0	45688.0	46923.0	41262.0	45976.0	42325.0	43851.0	41201.0	39875.0	30288.0	41195.0	42767.0	43874.0	44845.0	46363.0	41862.0	35834.0	40077.0	42616.0	0.0	53904.0	43923.0	44717.0	45501.0	41132.0	47341.0	38261.0	43101.0	34896.0	44089.0	40207.0	43708.0	42446.0	41655.0	44051.0	47357.0	66685.0
LiJ_2014__MH0264__bin.15	49265.0	56790.0	57949.0	51108.0	57265.0	50994.0	56052.0	52115.0	50442.0	45754.0	52095.0	53077.0	55283.0	56817.0	58711.0	51363.0	39490.0	49894.0	51732.0	53904.0	0.0	53224.0	55884.0	57583.0	55094.0	58691.0	46833.0	51331.0	43432.0	51080.0	51919.0	55533.0	51818.0	51482.0	54319.0	59721.0	70251.0
LiJ_2014__O2.UC13-1__bin.12	42636.0	46099.0	49550.0	42723.0	48347.0	43195.0	46917.0	44885.0	45690.0	39189.0	43058.0	46300.0	45608.0	47849.0	52002.0	43357.0	35173.0	41724.0	45284.0	43923.0	53224.0	0.0	45265.0	47324.0	46453.0	48156.0	40704.0	273.0	36135.0	46653.0	43492.0	48540.0	44032.0	45243.0	47586.0	51776.0	70363.0
NielsenHB_2014__MH0152__bin.14	40215.0	46462.0	47950.0	43172.0	45899.0	42512.0	46937.0	45430.0	41963.0	39270.0	34142.0	44846.0	427.0	47038.0	47913.0	42684.0	34937.0	39841.0	43605.0	44717.0	55884.0	45265.0	0.0	48055.0	45788.0	48591.0	40844.0	44635.0	35163.0	44302.0	41146.0	45523.0	44962.0	42695.0	45837.0	48631.0	67984.0
LiJ_2014__MH0265__bin.20	41395.0	48657.0	50388.0	43505.0	48039.0	45221.0	46213.0	47024.0	44589.0	37737.0	42692.0	44956.0	48182.0	47084.0	51493.0	44711.0	36174.0	42507.0	44686.0	45501.0	57583.0	47324.0	48055.0	0.0	46292.0	50436.0	41070.0	45978.0	36058.0	47076.0	42111.0	46518.0	45280.0	45758.0	49182.0	52421.0	71416.0
ZeeviD_2015__PNP_Main_215__bin.1	40654.0	47367.0	46573.0	42238.0	48473.0	44087.0	45514.0	43717.0	41748.0	36580.0	41722.0	44236.0	45075.0	45401.0	49441.0	43673.0	35272.0	41759.0	43131.0	41132.0	55094.0	46453.0	45788.0	46292.0	0.0	48607.0	38724.0	44927.0	36298.0	44876.0	41245.0	45619.0	44852.0	43860.0	46351.0	50036.0	69497.0
LeChatelierE_2013__MH0181__bin.38	43888.0	377.0	49795.0	43402.0	49863.0	46071.0	47922.0	47860.0	42316.0	39579.0	44568.0	46348.0	46782.0	48340.0	48603.0	45193.0	36702.0	43168.0	44732.0	47341.0	58691.0	48156.0	48591.0	50436.0	48607.0	0.0	43008.0	47414.0	36553.0	47428.0	41852.0	48152.0	48773.0	44876.0	48895.0	49481.0	70648.0
SchirmerM_2016__G88826__bin.7	35631.0	41918.0	41199.0	36523.0	40299.0	41044.0	39748.0	796.0	36880.0	34403.0	39581.0	38692.0	41542.0	41691.0	40037.0	40781.0	32395.0	36676.0	37566.0	38261.0	46833.0	40704.0	40844.0	41070.0	38724.0	43008.0	0.0	39821.0	32082.0	38521.0	40072.0	39348.0	39087.0	39002.0	40072.0	40991.0	61487.0
NielsenHB_2014__O2_UC13_2__bin.58	39770.0	46034.0	48505.0	42590.0	46934.0	41855.0	46266.0	42945.0	42726.0	38249.0	40861.0	45963.0	44036.0	46503.0	49548.0	42124.0	34319.0	40381.0	43759.0	43101.0	51331.0	273.0	44635.0	45978.0	44927.0	47414.0	39821.0	0.0	36122.0	43662.0	42316.0	47451.0	43407.0	42445.0	46538.0	49618.0	66925.0
NielsenHB_2014__MH0096__bin.49	30567.0	35566.0	36361.0	34573.0	35892.0	35419.0	35452.0	34221.0	31876.0	30954.0	31551.0	35049.0	35053.0	35556.0	36052.0	35021.0	28305.0	1130.0	34614.0	34896.0	43432.0	36135.0	35163.0	36058.0	36298.0	36553.0	32082.0	36122.0	0.0	33503.0	32967.0	35473.0	34520.0	34498.0	36011.0	36756.0	52969.0
ZeeviD_2015__PNP_Main_568__bin.27	41658.0	45756.0	46923.0	41224.0	46116.0	43349.0	44514.0	43950.0	42848.0	37577.0	41895.0	42652.0	44560.0	45757.0	46622.0	42406.0	33851.0	39951.0	41620.0	44089.0	51080.0	46653.0	44302.0	47076.0	44876.0	47428.0	38521.0	43662.0	33503.0	0.0	41287.0	43932.0	42447.0	43994.0	42624.0	46536.0	68548.0
ZellerG_2014__CCIS83445808ST-4-0__bin.18	37525.0	40647.0	42651.0	39001.0	42040.0	42545.0	41260.0	42374.0	38226.0	35610.0	38524.0	39997.0	40705.0	39955.0	42968.0	41685.0	33696.0	38263.0	37564.0	40207.0	51919.0	43492.0	41146.0	42111.0	41245.0	41852.0	40072.0	42316.0	32967.0	41287.0	0.0	41001.0	41662.0	42228.0	43239.0	44046.0	62361.0
LeChatelierE_2013__MH0117__bin.15	41691.0	46003.0	46081.0	40962.0	46253.0	44216.0	45215.0	45043.0	39955.0	37754.0	42112.0	639.0	45382.0	44181.0	47020.0	43479.0	34919.0	40728.0	41526.0	43708.0	55533.0	48540.0	45523.0	46518.0	45619.0	48152.0	39348.0	47451.0	35473.0	43932.0	41001.0	0.0	44890.0	43658.0	43787.0	47640.0	69263.0
KarlssonFH_2013__S187__bin.8	39495.0	47528.0	46997.0	40438.0	44735.0	40437.0	46481.0	43484.0	39956.0	36554.0	40707.0	43329.0	44278.0	44462.0	45821.0	40072.0	32615.0	39483.0	42384.0	42446.0	51818.0	44032.0	44962.0	45280.0	44852.0	48773.0	39087.0	43407.0	34520.0	42447.0	41662.0	44890.0	0.0	39748.0	42398.0	45739.0	68785.0
XieH_2016__YSZC12003_36008__bin.37	41600.0	42977.0	46156.0	40607.0	44862.0	40693.0	43748.0	43079.0	42866.0	36988.0	37953.0	41977.0	44146.0	44410.0	45966.0	41150.0	32853.0	40320.0	41499.0	41655.0	51482.0	45243.0	42695.0	45758.0	43860.0	44876.0	39002.0	42445.0	34498.0	43994.0	42228.0	43658.0	39748.0	0.0	44274.0	45917.0	64733.0
LiJ_2014__MH0192__bin.71	41378.0	46722.0	47578.0	43149.0	47978.0	44036.0	46082.0	46160.0	41808.0	38551.0	42392.0	42508.0	46423.0	45641.0	47899.0	43325.0	35159.0	42356.0	41990.0	44051.0	54319.0	47586.0	45837.0	49182.0	46351.0	48895.0	40072.0	46538.0	36011.0	42624.0	43239.0	43787.0	42398.0	44274.0	0.0	48890.0	70584.0
ZellerG_2014__CCIS09568613ST-4-0__bin.97	42897.0	47528.0	42530.0	45045.0	50200.0	46841.0	48505.0	46949.0	43702.0	40211.0	44342.0	46276.0	48663.0	48766.0	259.0	46491.0	37338.0	42298.0	43767.0	47357.0	59721.0	51776.0	48631.0	52421.0	50036.0	49481.0	40991.0	49618.0	36756.0	46536.0	44046.0	47640.0	45739.0	45917.0	48890.0	0.0	73368.0
XieH_2016__YSZC12003_35989__bin.62	63025.0	67588.0	71780.0	64555.0	69129.0	65855.0	68895.0	68295.0	60718.0	58521.0	62297.0	66452.0	66837.0	69438.0	72480.0	66101.0	49927.0	61088.0	66955.0	66685.0	70251.0	70363.0	67984.0	71416.0	69497.0	70648.0	61487.0	66925.0	52969.0	68548.0	62361.0	69263.0	68785.0	64733.0	70584.0	73368.0	0.0
