	LeChatelierE_2013__MH0430__bin.81	NielsenHB_2014__MH0181__bin.46	LeChatelierE_2013__MH0224__bin.21	ZellerG_2014__CCIS21278152ST-4-0__bin.12	XieH_2016__YSZC12003_37270__bin.104	CosteaPI_2017__SID713B044-11-90-0__bin.13	LeChatelierE_2013__MH0415__bin.106	SchirmerM_2016__G88820__bin.19	LeChatelierE_2013__MH0443__bin.25	KarlssonFH_2013__S384__bin.11	ZellerG_2014__CCIS96387239ST-4-0__bin.9	NielsenHB_2014__MH0117__bin.40	LeChatelierE_2013__MH0152__bin.1	LiJ_2014__MH0328__bin.60	ZellerG_2014__CCIS51595129ST-4-0__bin.55	CosteaPI_2017__SID713B044-11-0-0__bin.60	ZeeviD_2015__PNP_Main_85__bin.45	LeChatelierE_2013__MH0096__bin.63	ZellerG_2014__CCIS62605362ST-3-0__bin.54	YuJ_2015__SZAXPI015263-84__bin.29	LiJ_2014__MH0264__bin.15	LiJ_2014__O2.UC13-1__bin.12	NielsenHB_2014__MH0152__bin.14	LiJ_2014__MH0265__bin.20	ZeeviD_2015__PNP_Main_215__bin.1	LeChatelierE_2013__MH0181__bin.38	SchirmerM_2016__G88826__bin.7	NielsenHB_2014__O2_UC13_2__bin.58	NielsenHB_2014__MH0096__bin.49	ZeeviD_2015__PNP_Main_568__bin.27	ZellerG_2014__CCIS83445808ST-4-0__bin.18	LeChatelierE_2013__MH0117__bin.15	KarlssonFH_2013__S187__bin.8	XieH_2016__YSZC12003_36008__bin.37	LiJ_2014__MH0192__bin.71	ZellerG_2014__CCIS09568613ST-4-0__bin.97	XieH_2016__YSZC12003_35989__bin.62
ZellerG_2014__CCIS96387239ST-4-0__bin.9	1779285.0	1963876.0	2073398.0	1870648.0	2018565.0	1992901.0	2016502.0	1936915.0	1800970.0	1764726.0	2196937.0	1911473.0	1945294.0	2000657.0	2031749.0	1996814.0	1577965.0	1714730.0	1901276.0	1954233.0	2044424.0	1940284.0	1941952.0	2062787.0	1952363.0	2022144.0	1831155.0	1918637.0	1502750.0	1876349.0	1918896.0	1943124.0	1888756.0	1807429.0	2033524.0	2075878.0	1785819.0
NielsenHB_2014__MH0117__bin.40	1798428.0	2043236.0	2187583.0	1938407.0	2131806.0	1947020.0	2103875.0	1968684.0	1839198.0	1776770.0	1911473.0	2428707.0	2016320.0	2049881.0	2141599.0	1971854.0	1560261.0	1790729.0	1967359.0	2028788.0	2096731.0	2001356.0	2029978.0	2166652.0	2032866.0	2086986.0	1809449.0	1994211.0	1591312.0	1915027.0	1908529.0	2256522.0	1931442.0	1839096.0	2117303.0	2190553.0	1850111.0
LeChatelierE_2013__MH0152__bin.1	1860539.0	2031604.0	2225473.0	1962710.0	2119559.0	1991130.0	2112454.0	1967105.0	1859036.0	1806576.0	1945294.0	2016320.0	2540956.0	2106497.0	2160836.0	2000369.0	1589289.0	1766377.0	1958673.0	2046084.0	2144025.0	2085658.0	2224288.0	2177030.0	2029494.0	2090920.0	1812968.0	2018180.0	1542876.0	2006505.0	1936732.0	2028382.0	1948803.0	1915730.0	2148708.0	2197521.0	1839555.0
LiJ_2014__MH0328__bin.60	1903127.0	2135048.0	2277972.0	1996031.0	2193373.0	2062779.0	2190363.0	2096188.0	1919225.0	1853688.0	2000657.0	2049881.0	2106497.0	2538104.0	2268543.0	2066085.0	1642401.0	1825741.0	2074642.0	2129078.0	2217175.0	2141187.0	2109441.0	2259788.0	2150328.0	2188900.0	1891232.0	2081107.0	1583348.0	2085083.0	1999461.0	2115049.0	2050843.0	1970543.0	2201283.0	2267255.0	1993256.0
ZellerG_2014__CCIS51595129ST-4-0__bin.55	1940607.0	2200933.0	2455597.0	2071609.0	2292832.0	2090993.0	2251729.0	2108088.0	1980540.0	1900441.0	2031749.0	2141599.0	2160836.0	2268543.0	2686942.0	2105800.0	1674851.0	1878072.0	2095403.0	2168042.0	2256159.0	2220960.0	2170215.0	2336645.0	2218791.0	2272581.0	1913066.0	2157600.0	1635740.0	2112669.0	2066158.0	2192905.0	2049788.0	2018931.0	2297649.0	2579314.0	2004385.0
CosteaPI_2017__SID713B044-11-0-0__bin.60	1781426.0	2024235.0	2144954.0	1945001.0	2086817.0	2168832.0	2077442.0	1980135.0	1829008.0	1816704.0	1996814.0	1971854.0	2000369.0	2066085.0	2105800.0	2347394.0	1587956.0	1765641.0	1939302.0	2008620.0	2067133.0	2004645.0	2011404.0	2144153.0	2035513.0	2075886.0	1857388.0	1998444.0	1546237.0	1919148.0	1980571.0	2000608.0	1934601.0	1853728.0	2084016.0	2150631.0	1858554.0
ZeeviD_2015__PNP_Main_85__bin.45	1454125.0	1593858.0	1685787.0	1547288.0	1648220.0	1585365.0	1663866.0	1587364.0	1496827.0	1467732.0	1577965.0	1560261.0	1589289.0	1642401.0	1674851.0	1587956.0	1797560.0	1424789.0	1573527.0	1599176.0	1667303.0	1605960.0	1596877.0	1679705.0	1605447.0	1640601.0	1470072.0	1578224.0	1235125.0	1565842.0	1545070.0	1602164.0	1558055.0	1504313.0	1655626.0	1688978.0	1466571.0
LeChatelierE_2013__MH0096__bin.63	1611428.0	1807138.0	1896036.0	1741506.0	1876334.0	1758870.0	1852230.0	1784856.0	1599099.0	1610289.0	1714730.0	1790729.0	1766377.0	1825741.0	1878072.0	1765641.0	1424789.0	2061343.0	1802925.0	1827385.0	1887641.0	1763504.0	1790034.0	1903309.0	1832918.0	1855756.0	1644245.0	1771284.0	1729999.0	1749375.0	1693373.0	1818516.0	1737072.0	1612300.0	1890529.0	1909833.0	1663436.0
ZellerG_2014__CCIS62605362ST-3-0__bin.54	1819733.0	2017715.0	2104624.0	1927264.0	2104489.0	1937109.0	2056684.0	1981813.0	1814513.0	1802827.0	1901276.0	1967359.0	1958673.0	2074642.0	2095403.0	1939302.0	1573527.0	1802925.0	2303848.0	2016797.0	2065300.0	2014343.0	2000069.0	2099617.0	2034332.0	2078084.0	1791670.0	1984213.0	1586391.0	2000340.0	1888382.0	2018885.0	1988247.0	1837284.0	2082297.0	2111619.0	1901641.0
YuJ_2015__SZAXPI015263-84__bin.29	1795992.0	2098553.0	2202574.0	1946810.0	2146089.0	1993443.0	2122009.0	2003596.0	1842682.0	1838385.0	1954233.0	2028788.0	2046084.0	2129078.0	2168042.0	2008620.0	1599176.0	1827385.0	2016797.0	2402788.0	2131757.0	2081739.0	2069557.0	2183381.0	2087019.0	2161654.0	1842963.0	2064002.0	1604185.0	1999110.0	1942305.0	2048508.0	1986436.0	1874687.0	2162554.0	2216845.0	1887503.0
LiJ_2014__MH0264__bin.15	1909067.0	2163414.0	2309863.0	2039544.0	2239399.0	2058078.0	2236791.0	2098430.0	1911781.0	1850637.0	2044424.0	2096731.0	2144025.0	2217175.0	2256159.0	2067133.0	1667303.0	1887641.0	2065300.0	2131757.0	2526055.0	2120872.0	2146677.0	2250311.0	2136611.0	2222160.0	1908568.0	2105595.0	1645596.0	2051273.0	2010453.0	2148755.0	2043438.0	1935898.0	2250648.0	2305998.0	1955758.0
LiJ_2014__O2.UC13-1__bin.12	1880877.0	2064975.0	2197093.0	1951807.0	2148042.0	1995001.0	2094479.0	2006691.0	1941162.0	1827372.0	1940284.0	2001356.0	2085658.0	2141187.0	2220960.0	2004645.0	1605960.0	1763504.0	2014343.0	2081739.0	2120872.0	2455211.0	2077768.0	2185356.0	2080796.0	2138604.0	1831772.0	2283714.0	1539469.0	2104205.0	1953094.0	2065421.0	2000312.0	1972221.0	2149896.0	2197640.0	1905487.0
NielsenHB_2014__MH0152__bin.14	1774255.0	2074278.0	2190112.0	1991235.0	2137020.0	2005633.0	2121881.0	1981431.0	1829159.0	1828261.0	1941952.0	2029978.0	2224288.0	2109441.0	2170215.0	2011404.0	1596877.0	1790034.0	2000069.0	2069557.0	2146677.0	2077768.0	2399653.0	2173105.0	2068949.0	2139475.0	1810786.0	2053481.0	1572476.0	1987410.0	1920637.0	2049116.0	1967253.0	1885401.0	2157457.0	2204615.0	1885627.0
LiJ_2014__MH0265__bin.20	1939357.0	2217529.0	2378553.0	2082053.0	2298402.0	2121788.0	2280772.0	2141596.0	1998476.0	1913338.0	2062787.0	2166652.0	2177030.0	2259788.0	2336645.0	2144153.0	1679705.0	1903309.0	2099617.0	2183381.0	2250311.0	2185356.0	2173105.0	2605443.0	2208576.0	2281221.0	1943690.0	2162639.0	1657867.0	2097001.0	2040386.0	2188139.0	2070400.0	2004071.0	2286937.0	2377202.0	1997623.0
ZeeviD_2015__PNP_Main_215__bin.1	1842561.0	2109257.0	2220673.0	1974869.0	2205400.0	2034288.0	2149904.0	2024848.0	1889401.0	1819189.0	1952363.0	2032866.0	2029494.0	2150328.0	2218791.0	2035513.0	1605447.0	1832918.0	2034332.0	2087019.0	2136611.0	2080796.0	2068949.0	2208576.0	2428123.0	2162981.0	1847675.0	2061065.0	1601120.0	2068027.0	1968242.0	2052098.0	2005196.0	1929844.0	2146093.0	2246990.0	1924189.0
LeChatelierE_2013__MH0181__bin.38	1877752.0	2501249.0	2302800.0	2060948.0	2243439.0	2051303.0	2238044.0	2086219.0	1929636.0	1862341.0	2022144.0	2086986.0	2090920.0	2188900.0	2272581.0	2075886.0	1640601.0	1855756.0	2078084.0	2161654.0	2222160.0	2138604.0	2139475.0	2281221.0	2162981.0	2565732.0	1881946.0	2121010.0	1619064.0	2061678.0	1998828.0	2123694.0	2051209.0	1917369.0	2257073.0	2321769.0	1976422.0
SchirmerM_2016__G88826__bin.7	1680311.0	1832669.0	1943092.0	1771274.0	1893287.0	1841553.0	1888040.0	1915636.0	1709757.0	1651193.0	1831155.0	1809449.0	1812968.0	1891232.0	1913066.0	1857388.0	1470072.0	1644245.0	1791670.0	1842963.0	1908568.0	1831772.0	1810786.0	1943690.0	1847675.0	1881946.0	2086489.0	1817204.0	1432452.0	1771003.0	1855347.0	1829242.0	1775637.0	1742599.0	1908867.0	1949235.0	1694280.0
NielsenHB_2014__O2_UC13_2__bin.58	1766156.0	2068661.0	2184111.0	1954441.0	2129931.0	1987072.0	2084224.0	1945519.0	1838720.0	1786292.0	1918637.0	1994211.0	2018180.0	2081107.0	2157600.0	1998444.0	1578224.0	1771284.0	1984213.0	2064002.0	2105595.0	2283714.0	2053481.0	2162639.0	2061065.0	2121010.0	1817204.0	2441514.0	1584213.0	1984004.0	1901705.0	2031649.0	1979584.0	1864607.0	2101447.0	2170147.0	1836548.0
NielsenHB_2014__MH0096__bin.49	1381786.0	1578613.0	1666731.0	1521348.0	1627282.0	1548980.0	1610549.0	1540035.0	1378210.0	1413543.0	1502750.0	1591312.0	1542876.0	1583348.0	1635740.0	1546237.0	1235125.0	1729999.0	1586391.0	1604185.0	1645596.0	1539469.0	1572476.0	1657867.0	1601120.0	1619064.0	1432452.0	1584213.0	1805028.0	1514513.0	1472115.0	1594622.0	1515945.0	1394086.0	1641367.0	1680407.0	1442696.0
ZeeviD_2015__PNP_Main_568__bin.27	1837344.0	1996993.0	2092630.0	1876370.0	2072312.0	1924118.0	2020310.0	1976787.0	1871017.0	1790849.0	1876349.0	1915027.0	2006505.0	2085083.0	2112669.0	1919148.0	1565842.0	1749375.0	2000340.0	1999110.0	2051273.0	2104205.0	1987410.0	2097001.0	2068027.0	2061678.0	1771003.0	1984004.0	1514513.0	2358991.0	1888401.0	1974154.0	1955039.0	1898393.0	2055837.0	2094100.0	1879012.0
ZellerG_2014__CCIS83445808ST-4-0__bin.18	1813028.0	1945315.0	2090038.0	1873514.0	2035957.0	1983528.0	2014684.0	1946603.0	1834720.0	1782878.0	1918896.0	1908529.0	1936732.0	1999461.0	2066158.0	1980571.0	1545070.0	1693373.0	1888382.0	1942305.0	2010453.0	1953094.0	1920637.0	2040386.0	1968242.0	1998828.0	1855347.0	1901705.0	1472115.0	1888401.0	2198421.0	1944902.0	1885085.0	1861304.0	2044158.0	2103822.0	1797100.0
LeChatelierE_2013__MH0117__bin.15	1842795.0	2061416.0	2212766.0	1966849.0	2152649.0	1985422.0	2139050.0	2027739.0	1867086.0	1796568.0	1943124.0	2256522.0	2028382.0	2115049.0	2192905.0	2000608.0	1602164.0	1818516.0	2018885.0	2048508.0	2148755.0	2065421.0	2049116.0	2188139.0	2052098.0	2123694.0	1829242.0	2031649.0	1594622.0	1974154.0	1944902.0	2434877.0	1996527.0	1886628.0	2160967.0	2203426.0	1901075.0
KarlssonFH_2013__S187__bin.8	1763431.0	2011553.0	2065303.0	1896137.0	2034746.0	1935814.0	2033633.0	1971586.0	1787463.0	1764610.0	1888756.0	1931442.0	1948803.0	2050843.0	2049788.0	1934601.0	1558055.0	1737072.0	1988247.0	1986436.0	2043438.0	2000312.0	1967253.0	2070400.0	2005196.0	2051209.0	1775637.0	1979584.0	1515945.0	1955039.0	1885085.0	1996527.0	2323149.0	1828482.0	2039965.0	2052410.0	1848877.0
XieH_2016__YSZC12003_36008__bin.37	1824879.0	1853384.0	2001625.0	1778924.0	1951738.0	1856269.0	1922998.0	1842142.0	1889568.0	1672576.0	1807429.0	1839096.0	1915730.0	1970543.0	2018931.0	1853728.0	1504313.0	1612300.0	1837284.0	1874687.0	1935898.0	1972221.0	1885401.0	2004071.0	1929844.0	1917369.0	1742599.0	1864607.0	1394086.0	1898393.0	1861304.0	1886628.0	1828482.0	2176584.0	1972650.0	2011766.0	1734813.0
LiJ_2014__MH0192__bin.71	1942168.0	2194449.0	2339893.0	2062480.0	2258065.0	2086886.0	2240086.0	2118155.0	1967598.0	1886280.0	2033524.0	2117303.0	2148708.0	2201283.0	2297649.0	2084016.0	1655626.0	1890529.0	2082297.0	2162554.0	2250648.0	2149896.0	2157457.0	2286937.0	2146093.0	2257073.0	1908867.0	2101447.0	1641367.0	2055837.0	2044158.0	2160967.0	2039965.0	1972650.0	2510385.0	2341307.0	1984825.0
ZellerG_2014__CCIS09568613ST-4-0__bin.97	1948474.0	2256871.0	2508701.0	2122755.0	2370895.0	2132546.0	2303322.0	2133029.0	2005483.0	1921710.0	2075878.0	2190553.0	2197521.0	2267255.0	2579314.0	2150631.0	1688978.0	1909833.0	2111619.0	2216845.0	2305998.0	2197640.0	2204615.0	2377202.0	2246990.0	2321769.0	1949235.0	2170147.0	1680407.0	2094100.0	2103822.0	2203426.0	2052410.0	2011766.0	2341307.0	2665637.0	2020284.0
XieH_2016__YSZC12003_35989__bin.62	1721429.0	1906582.0	2014426.0	1807860.0	1966426.0	1843119.0	1959378.0	1882531.0	1734800.0	1681231.0	1785819.0	1850111.0	1839555.0	1993256.0	2004385.0	1858554.0	1466571.0	1663436.0	1901641.0	1887503.0	1955758.0	1905487.0	1885627.0	1997623.0	1924189.0	1976422.0	1694280.0	1836548.0	1442696.0	1879012.0	1797100.0	1901075.0	1848877.0	1734813.0	1984825.0	2020284.0	2182765.0
