	WenC_2017__RA123__bin.6	Bengtsson-PalmeJ_2015__TRAVELRES26__bin.89	NielsenHB_2014__V1_UC54_0__bin.97	LeChatelierE_2013__MH0151__bin.16	XieH_2016__YSZC12003_37264__bin.82	LeChatelierE_2013__MH0436__bin.17	HMP_2012__SRS015663__bin.27	LeChatelierE_2013__MH0157__bin.32	Bengtsson-PalmeJ_2015__TRAVELRES17__bin.14	LeChatelierE_2013__MH0454__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.37	LeChatelierE_2013__MH0438__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES18__bin.150	LeChatelierE_2013__MH0250__bin.4	XieH_2016__YSZC12003_36051__bin.26	LiJ_2014__V1.CD43-0__bin.36	CosteaPI_2017__SID713A051-11-0-0__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES66__bin.11	NielsenHB_2014__MH0157__bin.26	LiJ_2017__nHM410727__bin.64	Bengtsson-PalmeJ_2015__TRAVELRES56__bin.61	HMP_2012__SRS051031__bin.1	WenC_2017__N244__bin.55	LeChatelierE_2013__MH0447__bin.102	VogtmannE_2016__MMRS18295921ST-27-0-0__bin.76	LeChatelierE_2013__MH0006__bin.78	CosteaPI_2017__SID713B014-11-0-0__bin.68	LeChatelierE_2013__MH0417__bin.59	LeChatelierE_2013__MH0288__bin.27	ZeeviD_2015__PNP_Main_548__bin.50	LiJ_2014__MH0361__bin.10	Bengtsson-PalmeJ_2015__TRAVELRES63__bin.21	Bengtsson-PalmeJ_2015__TRAVELRES25__bin.119
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.37	2062685.0	3437263.0	2263607.0	1582164.0	2780044.0	1927056.0	2993190.0	1982951.0	2884196.0	2272920.0	3725754.0	2059378.0	2906436.0	2508675.0	1899198.0	2491375.0	1736808.0	3268947.0	1501731.0	3090535.0	3362388.0	2907779.0	3314620.0	2748587.0	2534133.0	1860461.0	1623701.0	2517647.0	1722509.0	1501879.0	2511698.0	3428174.0	3129029.0
LeChatelierE_2013__MH0438__bin.16	1531290.0	2300036.0	2072563.0	1556309.0	2442392.0	1854811.0	2568192.0	1865630.0	2418799.0	2061932.0	2059378.0	2780758.0	2483451.0	2323398.0	1758440.0	2317046.0	1260175.0	2233425.0	1439977.0	2215077.0	2242558.0	2517972.0	2237627.0	2492443.0	2269761.0	1764927.0	1317098.0	2310222.0	1669866.0	1459686.0	2322609.0	2293394.0	2175413.0
Bengtsson-PalmeJ_2015__TRAVELRES18__bin.150	2011617.0	3243214.0	2834244.0	1965217.0	3461230.0	2346092.0	3719860.0	2445819.0	3620965.0	2780567.0	2906436.0	2483451.0	4245630.0	3042875.0	2379644.0	3067175.0	1646230.0	3074719.0	1807844.0	2983982.0	3102519.0	3589924.0	3104630.0	3438966.0	3148852.0	2326576.0	1585613.0	3044152.0	2121951.0	1768525.0	3058752.0	3216537.0	2953649.0
LeChatelierE_2013__MH0250__bin.4	1834840.0	2784332.0	2423272.0	1837991.0	2987662.0	2162188.0	3130198.0	2182189.0	3006124.0	2508006.0	2508675.0	2323398.0	3042875.0	3277366.0	2065589.0	2855323.0	1507391.0	2663743.0	1711735.0	2679387.0	2694214.0	3044122.0	2685067.0	3015953.0	2758678.0	2078345.0	1531231.0	2793060.0	1948782.0	1711286.0	2740813.0	2796985.0	2632027.0
XieH_2016__YSZC12003_36051__bin.26	1404595.0	2132979.0	1987881.0	1399816.0	2300670.0	1643710.0	2426673.0	1759917.0	2300055.0	1897747.0	1899198.0	1758440.0	2379644.0	2065589.0	2733373.0	2098814.0	1183047.0	2071326.0	1325237.0	2008674.0	2093301.0	2408377.0	2066247.0	2338150.0	2168282.0	1652381.0	1110212.0	2079260.0	1537100.0	1227957.0	2099382.0	2130095.0	1996310.0
LiJ_2014__V1.CD43-0__bin.36	1845883.0	2810326.0	2478604.0	1846119.0	3001601.0	2169887.0	3137250.0	2168042.0	3010392.0	2493663.0	2491375.0	2317046.0	3067175.0	2855323.0	2098814.0	3334233.0	1530923.0	2718909.0	1679520.0	2689276.0	2732450.0	3083152.0	2689962.0	3036013.0	2777171.0	2104910.0	1517140.0	2786835.0	1971641.0	1704209.0	2758805.0	2811194.0	2639154.0
CosteaPI_2017__SID713A051-11-0-0__bin.14	1276632.0	1913312.0	1396840.0	1029940.0	1619568.0	1185840.0	1717239.0	1320861.0	1641987.0	1339879.0	1736808.0	1260175.0	1646230.0	1507391.0	1183047.0	1530923.0	1982014.0	1839142.0	1028869.0	1826677.0	1881217.0	1693952.0	1869974.0	1627545.0	1519905.0	1151973.0	1007192.0	1491709.0	1085524.0	853235.0	1500441.0	1906690.0	1821807.0
Bengtsson-PalmeJ_2015__TRAVELRES66__bin.11	2251065.0	3709058.0	2453660.0	1735834.0	3022221.0	2070536.0	3222599.0	2141487.0	3058309.0	2417003.0	3268947.0	2233425.0	3074719.0	2663743.0	2071326.0	2718909.0	1839142.0	3891723.0	1617423.0	3369138.0	3680137.0	3143610.0	3605327.0	3006596.0	2728066.0	2021002.0	1764791.0	2708485.0	1862577.0	1628309.0	2704157.0	3673919.0	3329499.0
NielsenHB_2014__MH0157__bin.26	1135981.0	1692741.0	1570001.0	1262706.0	1752392.0	1338586.0	1860384.0	1819343.0	1781541.0	1553100.0	1501731.0	1439977.0	1807844.0	1711735.0	1325237.0	1679520.0	1028869.0	1617423.0	1986898.0	1634540.0	1635960.0	1838251.0	1622487.0	1807586.0	1686812.0	1304133.0	937829.0	1676822.0	1242414.0	967227.0	1684617.0	1679458.0	1630173.0
LiJ_2017__nHM410727__bin.64	2222839.0	3509940.0	2378770.0	1727685.0	2914203.0	2049508.0	3117029.0	2111201.0	2979598.0	2419762.0	3090535.0	2215077.0	2983982.0	2679387.0	2008674.0	2689276.0	1826677.0	3369138.0	1634540.0	3684283.0	3367378.0	3032245.0	3378143.0	2913538.0	2693151.0	2005743.0	1767809.0	2668989.0	1841588.0	1651687.0	2642616.0	3489644.0	3243751.0
Bengtsson-PalmeJ_2015__TRAVELRES56__bin.61	2247426.0	3755210.0	2478037.0	1737792.0	2997903.0	2091654.0	3252048.0	2176530.0	3060495.0	2444518.0	3362388.0	2242558.0	3102519.0	2694214.0	2093301.0	2732450.0	1881217.0	3680137.0	1635960.0	3367378.0	3942030.0	3182540.0	3595244.0	2992868.0	2739946.0	2041732.0	1756595.0	2708262.0	1867440.0	1623203.0	2717400.0	3750856.0	3386669.0
HMP_2012__SRS051031__bin.1	2070874.0	3279160.0	2883589.0	1948623.0	3441882.0	2342596.0	3786745.0	2507443.0	3565360.0	2787166.0	2907779.0	2517972.0	3589924.0	3044122.0	2408377.0	3083152.0	1693952.0	3143610.0	1838251.0	3032245.0	3182540.0	3891183.0	3143550.0	3470599.0	3161242.0	2368946.0	1631981.0	3027891.0	2144144.0	1788855.0	3074224.0	3255171.0	3015175.0
WenC_2017__N244__bin.55	2281765.0	3720797.0	2434204.0	1734467.0	3007401.0	2084056.0	3226442.0	2158198.0	3054089.0	2425635.0	3314620.0	2237627.0	3104630.0	2685067.0	2066247.0	2689962.0	1869974.0	3605327.0	1622487.0	3378143.0	3595244.0	3143550.0	3876481.0	3000203.0	2708282.0	2001954.0	1776866.0	2717720.0	1854261.0	1638528.0	2697855.0	3698117.0	3344279.0
LeChatelierE_2013__MH0447__bin.102	1992729.0	3093818.0	2732620.0	1958477.0	3363896.0	2334982.0	3524822.0	2419028.0	3396767.0	2708713.0	2748587.0	2492443.0	3438966.0	3015953.0	2338150.0	3036013.0	1627545.0	3006596.0	1807586.0	2913538.0	2992868.0	3470599.0	3000203.0	3806135.0	3030808.0	2276644.0	1594600.0	2978446.0	2126428.0	1783971.0	3014354.0	3115517.0	2891627.0
VogtmannE_2016__MMRS18295921ST-27-0-0__bin.76	1837618.0	2832617.0	2588182.0	1766636.0	3022795.0	2164742.0	3209852.0	2249184.0	3100504.0	2525514.0	2534133.0	2269761.0	3148852.0	2758678.0	2168282.0	2777171.0	1519905.0	2728066.0	1686812.0	2693151.0	2739946.0	3161242.0	2708282.0	3030808.0	3539517.0	2118876.0	1450674.0	2692937.0	1969207.0	1550341.0	2769211.0	2830977.0	2680306.0
LeChatelierE_2013__MH0006__bin.78	1362178.0	2090220.0	1953726.0	1371333.0	2259535.0	1669725.0	2385972.0	1721447.0	2271387.0	1904727.0	1860461.0	1764927.0	2326576.0	2078345.0	1652381.0	2104910.0	1151973.0	2021002.0	1304133.0	2005743.0	2041732.0	2368946.0	2001954.0	2276644.0	2118876.0	2802160.0	1181757.0	2068622.0	1521023.0	1256805.0	2107970.0	2088467.0	1958712.0
CosteaPI_2017__SID713B014-11-0-0__bin.68	1231900.0	1801944.0	1281250.0	1011910.0	1586108.0	1196063.0	1669869.0	1163224.0	1572540.0	1363768.0	1623701.0	1317098.0	1585613.0	1531231.0	1110212.0	1517140.0	1007192.0	1764791.0	937829.0	1767809.0	1756595.0	1631981.0	1776866.0	1594600.0	1450674.0	1181757.0	1954494.0	1502158.0	1087700.0	1008158.0	1491625.0	1801142.0	1711392.0
LeChatelierE_2013__MH0417__bin.59	1806961.0	2776349.0	2438426.0	1839124.0	3000745.0	2153440.0	3099130.0	2170904.0	2988948.0	2455776.0	2517647.0	2310222.0	3044152.0	2793060.0	2079260.0	2786835.0	1491709.0	2708485.0	1676822.0	2668989.0	2708262.0	3027891.0	2717720.0	2978446.0	2692937.0	2068622.0	1502158.0	3310248.0	1908526.0	1689396.0	2754857.0	2800609.0	2620050.0
LeChatelierE_2013__MH0288__bin.27	1252707.0	1921758.0	1786856.0	1294201.0	2081583.0	1548195.0	2178535.0	1599711.0	2065169.0	1790655.0	1722509.0	1669866.0	2121951.0	1948782.0	1537100.0	1971641.0	1085524.0	1862577.0	1242414.0	1841588.0	1867440.0	2144144.0	1854261.0	2126428.0	1969207.0	1521023.0	1087700.0	1908526.0	2476749.0	1126045.0	1960572.0	1914494.0	1824291.0
ZeeviD_2015__PNP_Main_548__bin.50	1152812.0	1679562.0	1379264.0	1164849.0	1759813.0	1278218.0	1831042.0	1207734.0	1765571.0	1403618.0	1501879.0	1459686.0	1768525.0	1711286.0	1227957.0	1704209.0	853235.0	1628309.0	967227.0	1651687.0	1623203.0	1788855.0	1638528.0	1783971.0	1550341.0	1256805.0	1008158.0	1689396.0	1126045.0	1945087.0	1631395.0	1700088.0	1591589.0
LiJ_2014__MH0361__bin.10	1829636.0	2788046.0	2555720.0	1817054.0	3039906.0	2165749.0	3123630.0	2224297.0	2975897.0	2470046.0	2511698.0	2322609.0	3058752.0	2740813.0	2099382.0	2758805.0	1500441.0	2704157.0	1684617.0	2642616.0	2717400.0	3074224.0	2697855.0	3014354.0	2769211.0	2107970.0	1491625.0	2754857.0	1960572.0	1631395.0	4008756.0	2809756.0	2708626.0
Bengtsson-PalmeJ_2015__TRAVELRES63__bin.21	2311616.0	3902350.0	2530615.0	1774510.0	3154294.0	2147188.0	3369231.0	2223714.0	3235532.0	2525219.0	3428174.0	2293394.0	3216537.0	2796985.0	2130095.0	2811194.0	1906690.0	3673919.0	1679458.0	3489644.0	3750856.0	3255171.0	3698117.0	3115517.0	2830977.0	2088467.0	1801142.0	2800609.0	1914494.0	1700088.0	2809756.0	4017955.0	3505711.0
Bengtsson-PalmeJ_2015__TRAVELRES25__bin.119	2197015.0	3522735.0	2386133.0	1709813.0	2890791.0	2025204.0	3076245.0	2103221.0	2963645.0	2381121.0	3129029.0	2175413.0	2953649.0	2632027.0	1996310.0	2639154.0	1821807.0	3329499.0	1630173.0	3243751.0	3386669.0	3015175.0	3344279.0	2891627.0	2680306.0	1958712.0	1711392.0	2620050.0	1824291.0	1591589.0	2708626.0	3505711.0	4171455.0
