	SchirmerM_2016__G89134__bin.13	NielsenHB_2014__V1_CD15_3__bin.32	CM_madagascar__V30_01_1FE__bin.35	ZeeviD_2015__PNP_DietIntervention_37__bin.2	FengQ_2015__SID31871__bin.44	SchirmerM_2016__G89263__bin.22	FengQ_2015__SID530119__bin.73	SchirmerM_2016__G89024__bin.26	WenC_2017__RA042__bin.75	VogtmannE_2016__MMRS42780924ST-27-0-0__bin.56	HeQ_2017__SZAXPI029555-35__bin.82	SchirmerM_2016__G88746__bin.15	BackhedF_2015__SID565_M__bin.29	LiJ_2014__V1.UC47-4__bin.64	SchirmerM_2016__G88880__bin.14	ZeeviD_2015__PNP_Main_23__bin.48	FengQ_2015__SID31233__bin.63	ZellerG_2014__CCIS02856720ST-4-0__bin.42	ZeeviD_2015__PNP_Main_325__bin.11	ZeeviD_2015__PNP_Main_45__bin.58	ZeeviD_2015__PNP_DietIntervention_36__bin.11	SmitsSA_2017__TZ_21460__bin.6	FengQ_2015__SID31137__bin.19	BackhedF_2015__SID345_M__bin.45	LiuW_2016__SRR3992967__bin.42	NielsenHB_2014__V1_UC47_0__bin.5	FengQ_2015__SID31009__bin.90	ZeeviD_2015__PNP_Main_162__bin.27	VogtmannE_2016__MMRS65742083ST-27-0-0__bin.59	ZeeviD_2015__PNP_Main_404__bin.3
BackhedF_2015__SID565_M__bin.29	13251.0	22841.0	40227.0	18650.0	24184.0	21573.0	22048.0	23964.0	36168.0	22793.0	32700.0	22013.0	0.0	25470.0	17321.0	8525.0	17570.0	23224.0	25434.0	12392.0	20621.0	25621.0	46003.0	20816.0	20002.0	24637.0	18483.0	14744.0	17293.0	31001.0
LiJ_2014__V1.UC47-4__bin.64	14673.0	26598.0	41932.0	27929.0	28447.0	25766.0	23605.0	23982.0	42556.0	28228.0	39996.0	23356.0	25470.0	0.0	21161.0	11326.0	20300.0	28023.0	27730.0	16088.0	30684.0	28248.0	50581.0	25318.0	24800.0	2077.0	29693.0	18144.0	19861.0	31976.0
SchirmerM_2016__G88880__bin.14	12056.0	20627.0	30771.0	18837.0	21688.0	7763.0	17489.0	20235.0	29978.0	19629.0	28209.0	18523.0	17321.0	21161.0	0.0	9619.0	14667.0	19236.0	22647.0	14228.0	20404.0	18296.0	36714.0	8930.0	17656.0	19671.0	18613.0	14024.0	14223.0	22591.0
ZeeviD_2015__PNP_Main_23__bin.48	12285.0	11669.0	18597.0	5300.0	13706.0	10904.0	7801.0	12288.0	17860.0	12275.0	15842.0	11462.0	8525.0	11326.0	9619.0	0.0	6876.0	10929.0	12882.0	11206.0	5741.0	11545.0	22780.0	11915.0	10020.0	10638.0	1704.0	5800.0	8424.0	13147.0
FengQ_2015__SID31233__bin.63	8264.0	18076.0	33495.0	17394.0	20987.0	17017.0	21184.0	20163.0	32396.0	19563.0	28559.0	18477.0	17570.0	20300.0	14667.0	6876.0	0.0	17176.0	20958.0	9067.0	18107.0	22621.0	39330.0	18143.0	17005.0	19995.0	19410.0	12557.0	14454.0	30361.0
ZellerG_2014__CCIS02856720ST-4-0__bin.42	13441.0	25041.0	42233.0	24830.0	27163.0	23148.0	24225.0	23668.0	41458.0	25087.0	35519.0	22202.0	23224.0	28023.0	19236.0	10929.0	17176.0	0.0	26873.0	13534.0	27302.0	27436.0	50234.0	22647.0	21542.0	26454.0	24269.0	15229.0	18021.0	33833.0
ZeeviD_2015__PNP_Main_325__bin.11	14677.0	27318.0	39975.0	25796.0	14839.0	28366.0	9408.0	22393.0	37687.0	26512.0	25333.0	11983.0	25434.0	27730.0	22647.0	12882.0	20958.0	26873.0	0.0	13667.0	28820.0	27214.0	46559.0	26361.0	24120.0	28229.0	27703.0	17759.0	19393.0	30607.0
ZeeviD_2015__PNP_Main_45__bin.58	14200.0	15829.0	24703.0	13186.0	14200.0	16254.0	8052.0	14470.0	24886.0	15450.0	19506.0	12032.0	12392.0	16088.0	14228.0	11206.0	9067.0	13534.0	13667.0	0.0	14257.0	14340.0	30788.0	15187.0	14380.0	15232.0	14675.0	8403.0	9408.0	17446.0
ZeeviD_2015__PNP_DietIntervention_36__bin.11	15571.0	26518.0	46345.0	1482.0	29336.0	24846.0	25136.0	26268.0	43936.0	26429.0	39380.0	23710.0	20621.0	30684.0	20404.0	5741.0	18107.0	27302.0	28820.0	14257.0	0.0	29534.0	53578.0	24317.0	22219.0	28077.0	15322.0	15353.0	19286.0	34577.0
SmitsSA_2017__TZ_21460__bin.6	14396.0	27295.0	19484.0	26426.0	26928.0	26685.0	21510.0	11378.0	21725.0	28167.0	27951.0	21087.0	25621.0	28248.0	18296.0	11545.0	22621.0	27436.0	27214.0	14340.0	29534.0	0.0	23651.0	27068.0	22091.0	27350.0	27980.0	18909.0	20878.0	17910.0
FengQ_2015__SID31137__bin.19	30678.0	51614.0	30355.0	49308.0	49861.0	50987.0	36361.0	19489.0	34414.0	52171.0	48953.0	37720.0	46003.0	50581.0	36714.0	22780.0	39330.0	50234.0	46559.0	30788.0	53578.0	23651.0	0.0	49765.0	42402.0	47534.0	49460.0	32940.0	36023.0	26187.0
BackhedF_2015__SID345_M__bin.45	12544.0	24965.0	42826.0	22671.0	26387.0	4606.0	23278.0	24544.0	42157.0	23280.0	36262.0	22503.0	20816.0	25318.0	8930.0	11915.0	18143.0	22647.0	26361.0	15187.0	24317.0	27068.0	49765.0	0.0	20887.0	24245.0	24012.0	14906.0	17098.0	34104.0
LiuW_2016__SRR3992967__bin.42	15327.0	23842.0	35473.0	20359.0	23904.0	22031.0	21197.0	22525.0	37028.0	24496.0	33235.0	22784.0	20002.0	24800.0	17656.0	10020.0	17005.0	21542.0	24120.0	14380.0	22219.0	22091.0	42402.0	20887.0	0.0	24242.0	22204.0	15091.0	17681.0	29159.0
NielsenHB_2014__V1_UC47_0__bin.5	13706.0	26981.0	40551.0	25394.0	25497.0	24255.0	22841.0	23410.0	41205.0	26380.0	37577.0	22471.0	24637.0	2077.0	19671.0	10638.0	19995.0	26454.0	28229.0	15232.0	28077.0	27350.0	47534.0	24245.0	24242.0	0.0	27332.0	17984.0	19379.0	30463.0
FengQ_2015__SID31009__bin.90	15486.0	25566.0	43098.0	14587.0	27538.0	23576.0	23557.0	24596.0	41297.0	25919.0	36804.0	23133.0	18483.0	29693.0	18613.0	1704.0	19410.0	24269.0	27703.0	14675.0	15322.0	27980.0	49460.0	24012.0	22204.0	27332.0	0.0	15432.0	19037.0	33167.0
ZeeviD_2015__PNP_Main_162__bin.27	7091.0	16565.0	30019.0	14678.0	17646.0	15347.0	17460.0	18427.0	28496.0	16351.0	25442.0	16008.0	14744.0	18144.0	14024.0	5800.0	12557.0	15229.0	17759.0	8403.0	15353.0	18909.0	32940.0	14906.0	15091.0	17984.0	15432.0	0.0	12440.0	24621.0
VogtmannE_2016__MMRS65742083ST-27-0-0__bin.59	10213.0	18947.0	31756.0	18029.0	19298.0	18453.0	17157.0	19815.0	30724.0	18934.0	26519.0	17201.0	17293.0	19861.0	14223.0	8424.0	14454.0	18021.0	19393.0	9408.0	19286.0	20878.0	36023.0	17098.0	17681.0	19379.0	19037.0	12440.0	0.0	24742.0
ZeeviD_2015__PNP_Main_404__bin.3	17796.0	32661.0	22869.0	32190.0	30861.0	32500.0	25544.0	16321.0	28366.0	33490.0	30800.0	26399.0	31001.0	31976.0	22591.0	13147.0	30361.0	33833.0	30607.0	17446.0	34577.0	17910.0	26187.0	34104.0	29159.0	30463.0	33167.0	24621.0	24742.0	0.0
