	FengQ_2015__SID31749__bin.26	CM_cf__CF_FIFC001SS_t6M17__bin.13	ZellerG_2014__CCIS76845094ST-20-0__bin.95	HeQ_2017__SZAXPI029570-85__bin.62	LiSS_2016__FAT_023-22-42-0__bin.80	XieH_2016__YSZC12003_35999__bin.80	YuJ_2015__SZAXPI015221-142__bin.17	XieH_2016__YSZC12003_37223__bin.31	FengQ_2015__SID31871__bin.16	LiSS_2016__FAT_023-22-14-0__bin.38	FengQ_2015__SID530163__bin.12	FengQ_2015__SID530705__bin.35	XieH_2016__YSZC12003_37284__bin.33	FengQ_2015__SID31766__bin.42	XieH_2016__YSZC12003_36588__bin.61	LoombaR_2017__SID5639_uuc__bin.12	KarlssonFH_2013__S536__bin.20	ZellerG_2014__CCIS78100604ST-4-0__bin.36	ZeeviD_2015__PNP_Main_461__bin.10	FengQ_2015__SID530295__bin.20	FengQ_2015__SID530373__bin.21	FengQ_2015__SID530215__bin.26	FengQ_2015__SID31549__bin.37	FengQ_2015__SID530398__bin.32	FengQ_2015__SID31884__bin.20	XieH_2016__YSZC12003_36116__bin.66	XieH_2016__YSZC12003_36695__bin.14	XieH_2016__YSZC12003_37269__bin.15	NielsenHB_2014__V1_UC5_3__bin.38	QinN_2014__LD-35__bin.71	YuJ_2015__SZAXPI003415-12__bin.22	YuJ_2015__SZAXPI015223-158__bin.39	LiSS_2016__FAT_015-22-42-0__bin.16	FengQ_2015__SID31723__bin.18	YuJ_2015__SZAXPI017592-142__bin.63	XieH_2016__YSZC12003_37393__bin.23
XieH_2016__YSZC12003_36116__bin.66	1970091.0	1484247.0	1715852.0	1487649.0	1687299.0	1888256.0	1805548.0	2044858.0	1024080.0	1100256.0	1791613.0	1488347.0	1795309.0	1560549.0	1320641.0	1718487.0	1298646.0	1605777.0	2000461.0	1653668.0	1640088.0	1844653.0	1753817.0	1401087.0	1686850.0	2237883.0	1646169.0	1171790.0	1614055.0	1710361.0	1673864.0	1602574.0	1658632.0	1810540.0	1702692.0	1933017.0
XieH_2016__YSZC12003_36695__bin.14	1582135.0	1236811.0	1435893.0	1275827.0	1426782.0	1619541.0	1495588.0	1673194.0	874112.0	929937.0	1505105.0	1242021.0	1492479.0	1314320.0	1122361.0	1438242.0	1107252.0	1358503.0	1662128.0	1424128.0	1393782.0	1547347.0	1477849.0	1186621.0	1413445.0	1646169.0	1847471.0	1008773.0	1358229.0	1441288.0	1416119.0	1325867.0	1381196.0	1518536.0	1433169.0	1609707.0
XieH_2016__YSZC12003_37269__bin.15	1176649.0	889227.0	1041392.0	966398.0	1103592.0	1170352.0	1081115.0	1206236.0	768944.0	788214.0	1149531.0	940647.0	1142427.0	1006079.0	886084.0	1060814.0	915935.0	1022142.0	1193269.0	1030680.0	1050786.0	1131380.0	1144579.0	878242.0	1036959.0	1171790.0	1008773.0	1298606.0	962271.0	1176457.0	1150053.0	1093584.0	1026371.0	1141585.0	1151903.0	1166227.0
NielsenHB_2014__V1_UC5_3__bin.38	1560773.0	1291238.0	1485019.0	1281165.0	1383184.0	1558537.0	1553443.0	1640975.0	838561.0	862134.0	1477950.0	1327147.0	1408584.0	1359633.0	1101667.0	1458298.0	1075849.0	1349290.0	1647001.0	1421814.0	1404747.0	1529976.0	1429587.0	1253018.0	1427540.0	1614055.0	1358229.0	962271.0	1773806.0	1368702.0	1363563.0	1309421.0	1368682.0	1506623.0	1377810.0	1593305.0
QinN_2014__LD-35__bin.71	1682098.0	1273205.0	1476436.0	1356109.0	1565896.0	1694610.0	1540848.0	1784334.0	1020705.0	1063355.0	1619310.0	1322388.0	1731787.0	1440422.0	1224974.0	1529560.0	1229648.0	1460157.0	1755460.0	1474960.0	1491142.0	1638243.0	1666418.0	1233634.0	1473266.0	1710361.0	1441288.0	1176457.0	1368702.0	1997783.0	1691866.0	1548444.0	1487623.0	1635438.0	1746530.0	1660459.0
YuJ_2015__SZAXPI003415-12__bin.22	1676478.0	1234700.0	1476031.0	1347104.0	1552770.0	1662348.0	1539744.0	1764883.0	1009855.0	1063387.0	1616400.0	1287373.0	1667055.0	1422193.0	1184182.0	1479256.0	1194186.0	1459429.0	1730501.0	1444925.0	1486479.0	1611358.0	1625561.0	1223404.0	1468964.0	1673864.0	1416119.0	1150053.0	1363563.0	1691866.0	1889162.0	1556827.0	1445713.0	1637194.0	1672096.0	1634848.0
YuJ_2015__SZAXPI015223-158__bin.39	1572931.0	1223514.0	1391008.0	1271894.0	1483626.0	1578774.0	1511075.0	1694943.0	973934.0	1003087.0	1528018.0	1259250.0	1567808.0	1369437.0	1136389.0	1397085.0	1153442.0	1440367.0	1627837.0	1366128.0	1387532.0	1528731.0	1531798.0	1204857.0	1413585.0	1602574.0	1325867.0	1093584.0	1309421.0	1548444.0	1556827.0	1772755.0	1382527.0	1590725.0	1571866.0	1548320.0
LiSS_2016__FAT_015-22-42-0__bin.16	1619049.0	1280912.0	1473368.0	1269365.0	1488277.0	1605993.0	1532385.0	1682303.0	905731.0	938560.0	1542026.0	1307277.0	1572248.0	1392864.0	1146372.0	1451345.0	1166936.0	1395991.0	1663835.0	1457085.0	1445265.0	1598211.0	1558572.0	1228791.0	1413860.0	1658632.0	1381196.0	1026371.0	1368682.0	1487623.0	1445713.0	1382527.0	1931538.0	1576170.0	1507484.0	1603536.0
FengQ_2015__SID31723__bin.18	1781399.0	1384452.0	1583872.0	1439933.0	1656745.0	1787730.0	1677756.0	1935942.0	1010839.0	1076636.0	1752628.0	1414634.0	1703839.0	1516469.0	1257323.0	1597828.0	1262437.0	1606431.0	1872826.0	1566298.0	1574587.0	1747139.0	1699263.0	1356236.0	1633439.0	1810540.0	1518536.0	1141585.0	1506623.0	1635438.0	1637194.0	1590725.0	1576170.0	2041177.0	1639521.0	1741387.0
YuJ_2015__SZAXPI017592-142__bin.63	1678763.0	1302018.0	1490187.0	1339614.0	1551073.0	1702239.0	1560463.0	1780089.0	1022720.0	1035670.0	1626399.0	1323256.0	1721082.0	1473740.0	1203758.0	1507113.0	1233276.0	1469176.0	1764629.0	1468001.0	1490150.0	1644798.0	1674362.0	1249590.0	1463465.0	1702692.0	1433169.0	1151903.0	1377810.0	1746530.0	1672096.0	1571866.0	1507484.0	1639521.0	1917152.0	1674967.0
XieH_2016__YSZC12003_37393__bin.23	1859231.0	1442692.0	1679697.0	1449368.0	1643393.0	1840740.0	1764790.0	1996403.0	990182.0	1056947.0	1747139.0	1489509.0	1720909.0	1542154.0	1310779.0	1666062.0	1275052.0	1562161.0	1925508.0	1619066.0	1621890.0	1776674.0	1695319.0	1390404.0	1622198.0	1933017.0	1609707.0	1166227.0	1593305.0	1660459.0	1634848.0	1548320.0	1603536.0	1741387.0	1674967.0	2186821.0
