	CM_periimplantitis__SP_287SPI_T016__bin.4	HMP_2012__SRS013252__bin.46	HMP_2012__SRS022536__bin.17	HMP_2012__SRS051930__bin.9	CM_periimplantitis__SP_105SPI_T016__bin.1	HMP_2012__SRS049318__bin.30	HMP_2012__SRS016043__bin.21	CM_periimplantitis__SP_163SPI_T016__bin.9	CM_periimplantitis__SP_304SPI_T016__bin.11	HMP_2012__SRS047634__bin.61	CM_periimplantitis__SP_189SPI_T016__bin.33	CM_periimplantitis__SP_344SPT_T016__bin.52	HMP_2012__SRS021960__bin.22	HMP_2012__SRS063603__bin.34	HMP_2012__SRS022149__bin.6	HMP_2012__SRS017691__bin.9	HMP_2012__SRS014476__bin.22	CM_periimplantitis__SP_143SPI_T016__bin.12	HMP_2012__SRS055378__bin.11	HMP_2012__SRS051941__bin.4	HMP_2012__SRS012285__bin.4	HMP_2012__SRS011126__bin.25	HMP_2012__SRS021477__bin.23	CM_periimplantitis__SP_305SPI_T016__bin.12	HMP_2012__SRS020226__bin.63	HMP_2012__SRS024561__bin.27	HMP_2012__SRS024355__bin.23	HMP_2012__SRS017139__bin.25	HMP_2012__SRS019128__bin.27	HMP_2012__SRS058053__bin.33	HMP_2012__SRS065099__bin.13	HMP_2012__SRS019029__bin.3	HMP_2012__SRS019980__bin.47	HMP_2012__SRS011343__bin.38	HMP_2012__SRS023595__bin.38
CM_periimplantitis__SP_189SPI_T016__bin.33	749299.0	587033.0	546686.0	690021.0	671311.0	700501.0	672704.0	556762.0	684553.0	707327.0	911957.0	637152.0	692410.0	729705.0	562562.0	658906.0	688830.0	725945.0	648550.0	704497.0	725283.0	598588.0	652382.0	710488.0	660346.0	714213.0	709370.0	736479.0	602366.0	714895.0	595721.0	636729.0	772289.0	667004.0	730581.0
CM_periimplantitis__SP_344SPT_T016__bin.52	613667.0	528198.0	477995.0	616155.0	571944.0	580470.0	607866.0	468083.0	581835.0	564875.0	637152.0	713652.0	599968.0	593810.0	519596.0	540707.0	586125.0	574097.0	581272.0	582959.0	621967.0	501022.0	535473.0	613913.0	528902.0	642570.0	547996.0	570520.0	545542.0	631582.0	519187.0	588283.0	621504.0	564524.0	604683.0
HMP_2012__SRS021960__bin.22	669298.0	546284.0	521607.0	639997.0	601787.0	636653.0	628960.0	506816.0	632523.0	633019.0	692410.0	599968.0	769916.0	677569.0	544393.0	602624.0	632196.0	632634.0	604885.0	624896.0	656738.0	570604.0	611162.0	643767.0	590621.0	652546.0	623781.0	633340.0	565181.0	657758.0	555821.0	608605.0	672995.0	605385.0	658328.0
HMP_2012__SRS063603__bin.34	701326.0	573085.0	531472.0	667009.0	586192.0	674667.0	649870.0	543380.0	632448.0	660284.0	729705.0	593810.0	677569.0	820049.0	524448.0	656559.0	634880.0	682815.0	628427.0	672630.0	670218.0	602221.0	663018.0	654953.0	601980.0	678138.0	632688.0	638427.0	586239.0	673926.0	577115.0	588259.0	677771.0	622517.0	689845.0
HMP_2012__SRS022149__bin.6	553150.0	463429.0	443251.0	557450.0	516747.0	536438.0	532701.0	434432.0	543064.0	515278.0	562562.0	519596.0	544393.0	524448.0	621630.0	494925.0	542019.0	521330.0	524548.0	514801.0	556054.0	464928.0	485097.0	564957.0	490062.0	556288.0	513625.0	529752.0	508989.0	548921.0	473816.0	526342.0	563963.0	535083.0	545050.0
HMP_2012__SRS017691__bin.9	647910.0	537183.0	483104.0	622886.0	548167.0	595673.0	604946.0	539819.0	593868.0	592011.0	658906.0	540707.0	602624.0	656559.0	494925.0	767903.0	594988.0	638374.0	596565.0	615686.0	625181.0	542877.0	589465.0	613399.0	574769.0	629060.0	590236.0	606466.0	558621.0	611019.0	516395.0	562496.0	635535.0	585872.0	638751.0
HMP_2012__SRS014476__bin.22	664696.0	552654.0	508945.0	656680.0	583466.0	627410.0	628268.0	540634.0	709349.0	620624.0	688830.0	586125.0	632196.0	634880.0	542019.0	594988.0	790439.0	620589.0	611619.0	610344.0	689207.0	549508.0	594529.0	701801.0	615171.0	674924.0	629366.0	651833.0	579983.0	652301.0	568735.0	621977.0	691865.0	630509.0	655847.0
CM_periimplantitis__SP_143SPI_T016__bin.12	675546.0	553298.0	511282.0	646900.0	569655.0	642521.0	638307.0	551760.0	618924.0	643049.0	725945.0	574097.0	632634.0	682815.0	521330.0	638374.0	620589.0	851309.0	621994.0	639608.0	660820.0	579970.0	640162.0	648556.0	627717.0	656169.0	662701.0	665076.0	580030.0	648820.0	544879.0	593116.0	688812.0	604392.0	672880.0
HMP_2012__SRS055378__bin.11	646215.0	534258.0	508518.0	715702.0	558435.0	598372.0	610735.0	540027.0	599120.0	593062.0	648550.0	581272.0	604885.0	628427.0	524548.0	596565.0	611619.0	621994.0	743331.0	611326.0	642755.0	574763.0	605708.0	631798.0	574896.0	641156.0	609307.0	604165.0	624760.0	635028.0	542247.0	592100.0	655100.0	595690.0	628825.0
HMP_2012__SRS051941__bin.4	661863.0	537903.0	507584.0	646510.0	593301.0	624334.0	614925.0	539888.0	607295.0	617462.0	704497.0	582959.0	624896.0	672630.0	514801.0	615686.0	610344.0	639608.0	611326.0	751220.0	652339.0	565761.0	616733.0	634943.0	580760.0	642801.0	606422.0	602580.0	578063.0	642430.0	538408.0	579030.0	654406.0	594190.0	631226.0
HMP_2012__SRS012285__bin.4	723226.0	572362.0	526450.0	686619.0	613629.0	660760.0	657903.0	569463.0	685113.0	655716.0	725283.0	621967.0	656738.0	670218.0	556054.0	625181.0	689207.0	660820.0	642755.0	652339.0	821681.0	568228.0	620928.0	720694.0	618498.0	703801.0	648451.0	674884.0	601089.0	679052.0	578634.0	636621.0	726258.0	639817.0	692963.0
HMP_2012__SRS011126__bin.25	595561.0	498973.0	495161.0	588009.0	493875.0	557266.0	550643.0	508935.0	542961.0	561107.0	598588.0	501022.0	570604.0	602221.0	464928.0	542877.0	549508.0	579970.0	574763.0	565761.0	568228.0	758773.0	694138.0	566129.0	536055.0	567790.0	571283.0	563570.0	518754.0	575437.0	579407.0	515039.0	586848.0	545834.0	584946.0
HMP_2012__SRS021477__bin.23	638223.0	523549.0	524483.0	625502.0	526931.0	590073.0	584245.0	546856.0	583556.0	628334.0	652382.0	535473.0	611162.0	663018.0	485097.0	589465.0	594529.0	640162.0	605708.0	616733.0	620928.0	694138.0	772650.0	604152.0	569364.0	610487.0	617554.0	602839.0	548576.0	611684.0	600550.0	541020.0	633177.0	585336.0	624476.0
CM_periimplantitis__SP_305SPI_T016__bin.12	692131.0	564943.0	523871.0	675279.0	604214.0	650099.0	648029.0	560585.0	697615.0	636842.0	710488.0	613913.0	643767.0	654953.0	564957.0	613399.0	701801.0	648556.0	631798.0	634943.0	720694.0	566129.0	604152.0	838127.0	628759.0	691363.0	634831.0	661019.0	591701.0	676350.0	582734.0	645298.0	711765.0	628221.0	681767.0
HMP_2012__SRS020226__bin.63	611522.0	512424.0	466195.0	603391.0	529384.0	578635.0	577748.0	532308.0	600194.0	560184.0	660346.0	528902.0	590621.0	601980.0	490062.0	574769.0	615171.0	627717.0	574896.0	580760.0	618498.0	536055.0	569364.0	628759.0	737693.0	605897.0	632953.0	647548.0	534473.0	588422.0	503797.0	561777.0	656965.0	580765.0	598742.0
HMP_2012__SRS024561__bin.27	702303.0	648845.0	529874.0	688395.0	608273.0	663319.0	668790.0	548492.0	661289.0	643623.0	714213.0	642570.0	652546.0	678138.0	556288.0	629060.0	674924.0	656169.0	641156.0	642801.0	703801.0	567790.0	610487.0	691363.0	605897.0	849471.0	634751.0	662586.0	601384.0	695392.0	584852.0	624488.0	710659.0	636493.0	722776.0
HMP_2012__SRS024355__bin.23	650168.0	543392.0	506322.0	650877.0	554032.0	609005.0	596861.0	534061.0	608529.0	611745.0	709370.0	547996.0	623781.0	632688.0	513625.0	590236.0	629366.0	662701.0	609307.0	606422.0	648451.0	571283.0	617554.0	634831.0	632953.0	634751.0	798404.0	779586.0	567622.0	623604.0	545268.0	562825.0	701518.0	652976.0	638100.0
HMP_2012__SRS017139__bin.25	682323.0	549452.0	505606.0	647022.0	573381.0	629679.0	624203.0	521398.0	641813.0	642092.0	736479.0	570520.0	633340.0	638427.0	529752.0	606466.0	651833.0	665076.0	604165.0	602580.0	674884.0	563570.0	602839.0	661019.0	647548.0	662586.0	779586.0	826431.0	561184.0	647841.0	566031.0	583482.0	728296.0	672816.0	667237.0
HMP_2012__SRS019128__bin.27	601555.0	510649.0	474535.0	653009.0	529679.0	558439.0	574755.0	504139.0	562182.0	552836.0	602366.0	545542.0	565181.0	586239.0	508989.0	558621.0	579983.0	580030.0	624760.0	578063.0	601089.0	518754.0	548576.0	591701.0	534473.0	601384.0	567622.0	561184.0	664372.0	588361.0	504917.0	549756.0	600084.0	564501.0	580297.0
HMP_2012__SRS058053__bin.33	696808.0	574282.0	526870.0	668210.0	602891.0	662982.0	669038.0	524546.0	648732.0	658854.0	714895.0	631582.0	657758.0	673926.0	548921.0	611019.0	652301.0	648820.0	635028.0	642430.0	679052.0	575437.0	611684.0	676350.0	588422.0	695392.0	623604.0	647841.0	588361.0	794333.0	587906.0	629625.0	702022.0	628001.0	678643.0
HMP_2012__SRS065099__bin.13	598481.0	496197.0	500408.0	568756.0	508423.0	565774.0	568466.0	451097.0	551110.0	572218.0	595721.0	519187.0	555821.0	577115.0	473816.0	516395.0	568735.0	544879.0	542247.0	538408.0	578634.0	579407.0	600550.0	582734.0	503797.0	584852.0	545268.0	566031.0	504917.0	587906.0	681404.0	532094.0	587834.0	549063.0	579687.0
HMP_2012__SRS019029__bin.3	622659.0	505960.0	485028.0	616051.0	578314.0	608476.0	601340.0	499190.0	622307.0	573634.0	636729.0	588283.0	608605.0	588259.0	526342.0	562496.0	621977.0	593116.0	592100.0	579030.0	636621.0	515039.0	541020.0	645298.0	561777.0	624488.0	562825.0	583482.0	549756.0	629625.0	532094.0	719280.0	641893.0	577678.0	610887.0
HMP_2012__SRS019980__bin.47	719535.0	579011.0	530001.0	698020.0	615678.0	654696.0	668335.0	554504.0	687778.0	674976.0	772289.0	621504.0	672995.0	677771.0	563963.0	635535.0	691865.0	688812.0	655100.0	654406.0	726258.0	586848.0	633177.0	711765.0	656965.0	710659.0	701518.0	728296.0	600084.0	702022.0	587834.0	641893.0	887666.0	663424.0	694965.0
HMP_2012__SRS011343__bin.38	641174.0	538902.0	505651.0	620614.0	577868.0	613921.0	609415.0	508697.0	614856.0	604393.0	667004.0	564524.0	605385.0	622517.0	535083.0	585872.0	630509.0	604392.0	595690.0	594190.0	639817.0	545834.0	585336.0	628221.0	580765.0	636493.0	652976.0	672816.0	564501.0	628001.0	549063.0	577678.0	663424.0	752235.0	632130.0
HMP_2012__SRS023595__bin.38	703313.0	582305.0	532120.0	660815.0	604647.0	672281.0	657943.0	544312.0	650887.0	672715.0	730581.0	604683.0	658328.0	689845.0	545050.0	638751.0	655847.0	672880.0	628825.0	631226.0	692963.0	584946.0	624476.0	681767.0	598742.0	722776.0	638100.0	667237.0	580297.0	678643.0	579687.0	610887.0	694965.0	632130.0	862894.0
