	CM_periimplantitis__SP_287SPI_T016__bin.4	HMP_2012__SRS013252__bin.46	HMP_2012__SRS022536__bin.17	HMP_2012__SRS051930__bin.9	CM_periimplantitis__SP_105SPI_T016__bin.1	HMP_2012__SRS049318__bin.30	HMP_2012__SRS016043__bin.21	CM_periimplantitis__SP_163SPI_T016__bin.9	CM_periimplantitis__SP_304SPI_T016__bin.11	HMP_2012__SRS047634__bin.61	CM_periimplantitis__SP_189SPI_T016__bin.33	CM_periimplantitis__SP_344SPT_T016__bin.52	HMP_2012__SRS021960__bin.22	HMP_2012__SRS063603__bin.34	HMP_2012__SRS022149__bin.6	HMP_2012__SRS017691__bin.9	HMP_2012__SRS014476__bin.22	CM_periimplantitis__SP_143SPI_T016__bin.12	HMP_2012__SRS055378__bin.11	HMP_2012__SRS051941__bin.4	HMP_2012__SRS012285__bin.4	HMP_2012__SRS011126__bin.25	HMP_2012__SRS021477__bin.23	CM_periimplantitis__SP_305SPI_T016__bin.12	HMP_2012__SRS020226__bin.63	HMP_2012__SRS024561__bin.27	HMP_2012__SRS024355__bin.23	HMP_2012__SRS017139__bin.25	HMP_2012__SRS019128__bin.27	HMP_2012__SRS058053__bin.33	HMP_2012__SRS065099__bin.13	HMP_2012__SRS019029__bin.3	HMP_2012__SRS019980__bin.47	HMP_2012__SRS011343__bin.38	HMP_2012__SRS023595__bin.38
CM_periimplantitis__SP_189SPI_T016__bin.33	40468.0	29801.0	27285.0	36574.0	27093.0	37065.0	37165.0	30447.0	37698.0	37731.0	0.0	35264.0	38287.0	38921.0	30326.0	34476.0	37100.0	38484.0	34149.0	33366.0	40900.0	32228.0	36650.0	39161.0	36039.0	37742.0	38679.0	40391.0	29718.0	36280.0	30149.0	34627.0	41743.0	33960.0	38092.0
CM_periimplantitis__SP_344SPT_T016__bin.52	34173.0	25528.0	22561.0	33289.0	30517.0	29857.0	25469.0	26126.0	31413.0	28924.0	35264.0	0.0	31414.0	31000.0	26489.0	26142.0	31576.0	29869.0	31106.0	32000.0	34640.0	25521.0	27998.0	33439.0	27953.0	32244.0	29417.0	30793.0	27996.0	28980.0	25312.0	31280.0	32550.0	29946.0	31579.0
HMP_2012__SRS021960__bin.22	37443.0	27993.0	24965.0	34042.0	31611.0	33165.0	34667.0	28796.0	34507.0	32696.0	38287.0	31414.0	0.0	34994.0	28296.0	31751.0	33977.0	33464.0	32108.0	35956.0	36843.0	28664.0	31245.0	35000.0	32253.0	34534.0	32837.0	33437.0	28978.0	34281.0	26731.0	31962.0	34194.0	31648.0	33969.0
HMP_2012__SRS063603__bin.34	37276.0	28451.0	24849.0	35715.0	30706.0	20658.0	34050.0	30008.0	34344.0	32551.0	38921.0	31000.0	34994.0	0.0	27247.0	33022.0	34109.0	32293.0	33484.0	35297.0	36535.0	29985.0	34484.0	35009.0	32816.0	34178.0	32999.0	33377.0	29915.0	33018.0	27585.0	30459.0	36082.0	31367.0	35077.0
HMP_2012__SRS022149__bin.6	29076.0	22839.0	20481.0	28497.0	27106.0	26673.0	26137.0	23699.0	27992.0	24845.0	30326.0	26489.0	28296.0	27247.0	0.0	25085.0	28292.0	27005.0	25698.0	26477.0	29733.0	22456.0	23921.0	30401.0	26473.0	28332.0	26211.0	27131.0	24820.0	26009.0	22341.0	26508.0	29067.0	27783.0	27570.0
HMP_2012__SRS017691__bin.9	34973.0	24860.0	22173.0	33168.0	29060.0	28843.0	29859.0	29826.0	32100.0	28706.0	34476.0	26142.0	31751.0	33022.0	25085.0	0.0	32192.0	32430.0	30945.0	33290.0	33401.0	26908.0	30195.0	33319.0	31444.0	30314.0	31371.0	32154.0	27677.0	30194.0	24808.0	29730.0	32951.0	29592.0	32323.0
HMP_2012__SRS014476__bin.22	36407.0	28145.0	25568.0	34811.0	31533.0	33320.0	33571.0	27074.0	18199.0	32868.0	37100.0	31576.0	33977.0	34109.0	28292.0	32192.0	0.0	33301.0	32015.0	33852.0	36062.0	29288.0	33040.0	34720.0	31345.0	35265.0	33559.0	35240.0	29509.0	34969.0	28474.0	31486.0	36948.0	33372.0	34710.0
CM_periimplantitis__SP_143SPI_T016__bin.12	36836.0	26440.0	24224.0	33710.0	29858.0	31091.0	31696.0	30483.0	33270.0	31041.0	38484.0	29869.0	33464.0	32293.0	27005.0	32430.0	33301.0	0.0	32549.0	35783.0	37761.0	28976.0	33080.0	34130.0	34362.0	32328.0	33913.0	34287.0	29088.0	31948.0	26118.0	31649.0	37185.0	30281.0	34481.0
HMP_2012__SRS055378__bin.11	33879.0	25965.0	23308.0	10530.0	29210.0	30568.0	31140.0	28965.0	31495.0	29478.0	34149.0	31106.0	32108.0	33484.0	25698.0	30945.0	32015.0	32549.0	0.0	33099.0	34781.0	28836.0	30676.0	33631.0	30852.0	32457.0	31475.0	31301.0	5283.0	30872.0	25283.0	30788.0	34231.0	30039.0	32624.0
HMP_2012__SRS051941__bin.4	34405.0	27240.0	25694.0	34659.0	29845.0	33378.0	33442.0	30158.0	33923.0	32428.0	33366.0	32000.0	35956.0	35297.0	26477.0	33290.0	33852.0	35783.0	33099.0	0.0	35587.0	30396.0	34828.0	35707.0	32505.0	34034.0	33273.0	33286.0	29913.0	34035.0	27773.0	32122.0	36445.0	31532.0	33378.0
HMP_2012__SRS012285__bin.4	40867.0	29948.0	25922.0	37083.0	34308.0	35898.0	36501.0	29904.0	36513.0	35530.0	40900.0	34640.0	36843.0	36535.0	29733.0	33401.0	36062.0	37761.0	34781.0	35587.0	0.0	30873.0	34469.0	38256.0	31887.0	38710.0	36768.0	38208.0	31147.0	36805.0	28685.0	34088.0	40881.0	35087.0	37995.0
HMP_2012__SRS011126__bin.25	31789.0	23313.0	1661.0	29051.0	26436.0	27661.0	27373.0	26990.0	29087.0	22718.0	32228.0	25521.0	28664.0	29985.0	22456.0	26908.0	29288.0	28976.0	28836.0	30396.0	30873.0	0.0	252.0	29973.0	28344.0	28190.0	29261.0	29077.0	24860.0	28016.0	2505.0	27278.0	29924.0	27883.0	27530.0
HMP_2012__SRS021477__bin.23	35034.0	25126.0	1898.0	31563.0	28624.0	30100.0	29899.0	30013.0	32315.0	26013.0	36650.0	27998.0	31245.0	34484.0	23921.0	30195.0	33040.0	33080.0	30676.0	34828.0	34469.0	252.0	0.0	33057.0	31258.0	31295.0	32449.0	32000.0	26585.0	30496.0	2553.0	28691.0	33429.0	30164.0	30245.0
CM_periimplantitis__SP_305SPI_T016__bin.12	38329.0	29296.0	26104.0	36520.0	33425.0	34241.0	35499.0	28276.0	35329.0	33522.0	39161.0	33439.0	35000.0	35009.0	30401.0	33319.0	34720.0	34130.0	33631.0	35707.0	38256.0	29973.0	33057.0	0.0	31064.0	37263.0	35254.0	36639.0	30709.0	35901.0	29244.0	32919.0	40164.0	33436.0	36187.0
HMP_2012__SRS020226__bin.63	33490.0	25915.0	22708.0	32733.0	29066.0	31139.0	30932.0	28519.0	30713.0	29198.0	36039.0	27953.0	32253.0	32816.0	26473.0	31444.0	31345.0	34362.0	30852.0	32505.0	31887.0	28344.0	31258.0	31064.0	0.0	32267.0	34655.0	35527.0	27900.0	31987.0	24868.0	29129.0	36012.0	31182.0	31140.0
HMP_2012__SRS024561__bin.27	37602.0	840.0	24944.0	35274.0	32303.0	33391.0	30932.0	29730.0	34614.0	32433.0	37742.0	32244.0	34534.0	34178.0	28332.0	30314.0	35265.0	32328.0	32457.0	34034.0	38710.0	28190.0	31295.0	37263.0	32267.0	0.0	32054.0	33555.0	29905.0	34743.0	27910.0	32687.0	37352.0	31165.0	37227.0
HMP_2012__SRS024355__bin.23	35533.0	26730.0	24455.0	34147.0	30062.0	32730.0	32303.0	28700.0	32583.0	32032.0	38679.0	29417.0	32837.0	32999.0	26211.0	31371.0	33559.0	33913.0	31475.0	33273.0	36768.0	29261.0	32449.0	35254.0	34655.0	32054.0	0.0	604.0	28752.0	33296.0	25913.0	29863.0	37537.0	21781.0	33898.0
HMP_2012__SRS017139__bin.25	37438.0	27107.0	24722.0	34085.0	31204.0	33663.0	33618.0	28202.0	34622.0	33686.0	40391.0	30793.0	33437.0	33377.0	27131.0	32154.0	35240.0	34287.0	31301.0	33286.0	38208.0	29077.0	32000.0	36639.0	35527.0	33555.0	604.0	0.0	28499.0	34687.0	26958.0	31123.0	39166.0	22872.0	36003.0
HMP_2012__SRS019128__bin.27	30331.0	24332.0	21325.0	6416.0	26559.0	27481.0	28134.0	26287.0	28684.0	25813.0	29718.0	27996.0	28978.0	29915.0	24820.0	27677.0	29509.0	29088.0	5283.0	29913.0	31147.0	24860.0	26585.0	30709.0	27900.0	29905.0	28752.0	28499.0	0.0	27098.0	23252.0	28142.0	29933.0	28200.0	28613.0
HMP_2012__SRS058053__bin.33	37256.0	27506.0	24181.0	32601.0	31023.0	33502.0	29791.0	28484.0	34641.0	31518.0	36280.0	28980.0	34281.0	33018.0	26009.0	30194.0	34969.0	31948.0	30872.0	34035.0	36805.0	28016.0	30496.0	35901.0	31987.0	34743.0	33296.0	34687.0	27098.0	0.0	27886.0	33334.0	35823.0	32772.0	34303.0
HMP_2012__SRS065099__bin.13	30655.0	22509.0	3265.0	26526.0	25493.0	26376.0	27569.0	22586.0	27538.0	23252.0	30149.0	25312.0	26731.0	27585.0	22341.0	24808.0	28474.0	26118.0	25283.0	27773.0	28685.0	2505.0	2553.0	29244.0	24868.0	27910.0	25913.0	26958.0	23252.0	27886.0	0.0	26348.0	28556.0	24902.0	25798.0
HMP_2012__SRS019029__bin.3	34163.0	25951.0	23699.0	32552.0	31231.0	31708.0	32250.0	26857.0	31902.0	29844.0	34627.0	31280.0	31962.0	30459.0	26508.0	29730.0	31486.0	31649.0	30788.0	32122.0	34088.0	27278.0	28691.0	32919.0	29129.0	32687.0	29863.0	31123.0	28142.0	33334.0	26348.0	0.0	34453.0	29967.0	31586.0
HMP_2012__SRS019980__bin.47	40747.0	29458.0	25868.0	37087.0	32483.0	34387.0	35870.0	30319.0	37322.0	34468.0	41743.0	32550.0	34194.0	36082.0	29067.0	32951.0	36948.0	37185.0	34231.0	36445.0	40881.0	29924.0	33429.0	40164.0	36012.0	37352.0	37537.0	39166.0	29933.0	35823.0	28556.0	34453.0	0.0	36019.0	37089.0
HMP_2012__SRS011343__bin.38	33616.0	25486.0	23585.0	32031.0	29440.0	31114.0	32178.0	26078.0	32422.0	31036.0	33960.0	29946.0	31648.0	31367.0	27783.0	29592.0	33372.0	30281.0	30039.0	31532.0	35087.0	27883.0	30164.0	33436.0	31182.0	31165.0	21781.0	22872.0	28200.0	32772.0	24902.0	29967.0	36019.0	0.0	31608.0
HMP_2012__SRS023595__bin.38	37001.0	28879.0	23653.0	34417.0	32217.0	34600.0	34597.0	29933.0	34522.0	33406.0	38092.0	31579.0	33969.0	35077.0	27570.0	32323.0	34710.0	34481.0	32624.0	33378.0	37995.0	27530.0	30245.0	36187.0	31140.0	37227.0	33898.0	36003.0	28613.0	34303.0	25798.0	31586.0	37089.0	31608.0	0.0
