	HMP_2012__SRS022143__bin.6	HMP_2012__SRS015057__bin.68	HMP_2012__SRS051791__bin.48	HMP_2012__SRS015893__bin.63	HMP_2012__SRS016342__bin.32	HMP_2012__SRS018591__bin.18	Castro-NallarE_2015__ES_116__bin.6	HMP_2012__SRS064423__bin.23	HMP_2012__SRS047824__bin.33	HMP_2012__SRS023352__bin.16	HMP_2012__SRS019027__bin.31	Castro-NallarE_2015__ES_114__bin.10	HMP_2012__SRS020334__bin.42	HMP_2012__SRS015209__bin.39	HMP_2012__SRS048411__bin.61	HMP_2012__SRS053854__bin.49	HMP_2012__SRS014470__bin.76	HMP_2012__SRS019219__bin.12	HMP_2012__SRS045715__bin.22	HMP_2012__SRS018791__bin.9	HMP_2012__SRS053603__bin.33	HMP_2012__SRS013234__bin.31	HMP_2012__SRS024580__bin.33	HMP_2012__SRS065278__bin.62	HMP_2012__SRS015038__bin.5	HMP_2012__SRS019122__bin.29	HMP_2012__SRS064774__bin.72	HMP_2012__SRS017120__bin.38	CM_cf__CF_TNFC017SA_t1M16__bin.13	HMP_2012__SRS015941__bin.23	HMP_2012__SRS044373__bin.19	HMP_2012__SRS057791__bin.78	HMP_2012__SRS024637__bin.6	HMP_2012__SRS017076__bin.33	Castro-NallarE_2015__ES_080__bin.8	HMP_2012__SRS024318__bin.42	HMP_2012__SRS056323__bin.31	HMP_2012__SRS015272__bin.10	HMP_2012__SRS047210__bin.52	HMP_2012__SRS016319__bin.59	HMP_2012__SRS047219__bin.38	HMP_2012__SRS019026__bin.7	HMP_2012__SRS020220__bin.48	QinN_2014__LD-57__bin.28	HMP_2012__SRS048791__bin.19	HMP_2012__SRS019894__bin.4	HMP_2012__SRS018739__bin.9	HMP_2012__SRS014684__bin.47	HMP_2012__SRS042643__bin.19
HMP_2012__SRS019027__bin.31	1057070.0	1280811.0	1836732.0	1765011.0	1347569.0	1791202.0	1654725.0	1380531.0	1382683.0	1353790.0	2293359.0	885757.0	1468187.0	1832914.0	1668080.0	1674086.0	1334930.0	1767882.0	1459508.0	1873558.0	1802023.0	1549784.0	1485728.0	1378467.0	1414369.0	1323058.0	1459314.0	1719592.0	1555929.0	1492359.0	1388447.0	1438061.0	1549865.0	1659209.0	1806274.0	1758214.0	1809040.0	1825111.0	1570161.0	1820406.0	1843207.0	1809894.0	1138585.0	1793173.0	1650163.0	1749538.0	1733132.0	1861924.0	1377168.0
Castro-NallarE_2015__ES_114__bin.10	675634.0	788076.0	1034881.0	995745.0	829216.0	1008260.0	955326.0	796157.0	855289.0	850446.0	885757.0	1164544.0	869696.0	1023262.0	955390.0	959508.0	808830.0	996675.0	897214.0	1045945.0	1032657.0	895112.0	868951.0	823974.0	859923.0	778449.0	842246.0	986432.0	904564.0	870195.0	828833.0	868017.0	893003.0	961852.0	1004064.0	1017825.0	1011696.0	1024764.0	903618.0	1018527.0	1005892.0	940596.0	684237.0	1019385.0	955848.0	994777.0	972627.0	937537.0	816430.0
HMP_2012__SRS020334__bin.42	1025647.0	1212498.0	1719786.0	1644101.0	1284038.0	1685844.0	1532460.0	1266148.0	1324780.0	1282853.0	1468187.0	869696.0	1922689.0	1690961.0	1552669.0	1585992.0	1260978.0	1614223.0	1406354.0	1742388.0	1698541.0	1429352.0	1402726.0	1282691.0	1314224.0	1249864.0	1355373.0	1623799.0	1447278.0	1387058.0	1313529.0	1346571.0	1471881.0	1582267.0	1683031.0	1664773.0	1710652.0	1643967.0	1457621.0	1700795.0	1669814.0	1550401.0	1050124.0	1703911.0	1569461.0	1609211.0	1613395.0	1570090.0	1295745.0
HMP_2012__SRS015209__bin.39	1272126.0	1483574.0	2265104.0	2156747.0	1597152.0	2219814.0	2001443.0	1610691.0	1638619.0	1573186.0	1832914.0	1023262.0	1690961.0	2836400.0	1896496.0	2055875.0	1598520.0	2139123.0	1701926.0	2204479.0	2171597.0	1814438.0	1780038.0	1607009.0	1634408.0	1520382.0	1800635.0	2002351.0	1912187.0	1764162.0	1602949.0	1674890.0	1821432.0	1975371.0	2097630.0	2137778.0	2181234.0	2131691.0	1860084.0	2232216.0	2136703.0	1915539.0	1284813.0	2180350.0	1980655.0	2059132.0	2098937.0	1984983.0	1617852.0
HMP_2012__SRS048411__bin.61	1128847.0	1377409.0	1881737.0	1802121.0	1417512.0	1872646.0	1737483.0	1405102.0	1573217.0	1472077.0	1668080.0	955390.0	1552669.0	1896496.0	2244418.0	1760463.0	1466437.0	1877310.0	1526437.0	1940086.0	1879746.0	1596744.0	1551769.0	1437158.0	1486229.0	1440320.0	1532376.0	1822282.0	1618529.0	1561342.0	1461690.0	1511050.0	1608714.0	1764543.0	1816482.0	1813023.0	1900934.0	1874517.0	1639906.0	1947291.0	1906601.0	1759595.0	1207834.0	1897461.0	1761477.0	1796599.0	1813981.0	1757859.0	1457194.0
HMP_2012__SRS053854__bin.49	1150531.0	1378445.0	1959188.0	1959976.0	1479230.0	1917118.0	1812418.0	1464381.0	1522306.0	1450529.0	1674086.0	959508.0	1585992.0	2055875.0	1760463.0	2460474.0	1439644.0	1910397.0	1566118.0	2031235.0	2014053.0	1663066.0	1637349.0	1469171.0	1565808.0	1400411.0	1624072.0	1831041.0	1704558.0	1638617.0	1504507.0	1575965.0	1674168.0	1792730.0	1876836.0	2062624.0	2028157.0	1927222.0	1662033.0	1994137.0	1953959.0	1738796.0	1215870.0	1947938.0	1801488.0	1938839.0	1965376.0	1798026.0	1510261.0
HMP_2012__SRS014470__bin.76	963990.0	1238391.0	1572464.0	1535543.0	1219609.0	1549689.0	1424605.0	1198040.0	1253648.0	1252323.0	1334930.0	808830.0	1260978.0	1598520.0	1466437.0	1439644.0	1827514.0	1488901.0	1308952.0	1587716.0	1525602.0	1312248.0	1296703.0	1244042.0	1265710.0	1199728.0	1295614.0	1504233.0	1346675.0	1301749.0	1228560.0	1240999.0	1289249.0	1394877.0	1524085.0	1555733.0	1557475.0	1497818.0	1359334.0	1581599.0	1514720.0	1423309.0	1025938.0	1625813.0	1430385.0	1478872.0	1466341.0	1420029.0	1204261.0
HMP_2012__SRS019219__bin.12	1205541.0	1407647.0	2090542.0	1969521.0	1508231.0	2078414.0	1930903.0	1549576.0	1601657.0	1503413.0	1767882.0	996675.0	1614223.0	2139123.0	1877310.0	1910397.0	1488901.0	2561126.0	1619732.0	2108130.0	2015969.0	1766001.0	1691831.0	1534204.0	1578790.0	1438608.0	1761118.0	1913773.0	1771700.0	1678294.0	1521694.0	1595569.0	1698413.0	1891805.0	1948488.0	1985408.0	2068650.0	2058770.0	1799530.0	2060225.0	2053214.0	1824117.0	1249119.0	2005267.0	1880538.0	1942952.0	2004776.0	1867529.0	1546871.0
HMP_2012__SRS045715__bin.22	1075048.0	1223891.0	1721583.0	1679830.0	1309422.0	1680055.0	1563196.0	1286303.0	1357276.0	1342480.0	1459508.0	897214.0	1406354.0	1701926.0	1526437.0	1566118.0	1308952.0	1619732.0	1906120.0	1726543.0	1657918.0	1432141.0	1445004.0	1313002.0	1367620.0	1256001.0	1396709.0	1637616.0	1492233.0	1441098.0	1345592.0	1399631.0	1481560.0	1603412.0	1665041.0	1670564.0	1689341.0	1667956.0	1473467.0	1702632.0	1674900.0	1553672.0	1086945.0	1703531.0	1550814.0	1606538.0	1630008.0	1561414.0	1325942.0
HMP_2012__SRS018791__bin.9	1278490.0	1491746.0	2176490.0	2116577.0	1608233.0	2145612.0	2048422.0	1576832.0	1648993.0	1573157.0	1873558.0	1045945.0	1742388.0	2204479.0	1940086.0	2031235.0	1587716.0	2108130.0	1726543.0	2766446.0	2277959.0	1878397.0	1797900.0	1617880.0	1660107.0	1526825.0	1721118.0	2003495.0	1837653.0	1739368.0	1616122.0	1703397.0	1825875.0	1966275.0	2125473.0	2136165.0	2208597.0	2239534.0	1853027.0	2223964.0	2159062.0	1945663.0	1305209.0	2141863.0	1994223.0	2084417.0	2081744.0	1996579.0	1858848.0
HMP_2012__SRS053603__bin.33	1275870.0	1457155.0	2106043.0	2053516.0	1584454.0	2067637.0	1979326.0	1582943.0	1641441.0	1567661.0	1802023.0	1032657.0	1698541.0	2171597.0	1879746.0	2014053.0	1525602.0	2015969.0	1657918.0	2277959.0	2610380.0	1817436.0	1769711.0	1590659.0	1659441.0	1528279.0	1681665.0	1956620.0	1782596.0	1717218.0	1608726.0	1696739.0	1764641.0	1906149.0	2029050.0	2033403.0	2109725.0	2107901.0	1788371.0	2147387.0	2078400.0	1877337.0	1298714.0	2061458.0	1991750.0	2012223.0	2060518.0	1937894.0	1673339.0
HMP_2012__SRS013234__bin.31	1074661.0	1260859.0	1846779.0	1741857.0	1317505.0	1802329.0	1767783.0	1403903.0	1372676.0	1322084.0	1549784.0	895112.0	1429352.0	1814438.0	1596744.0	1663066.0	1312248.0	1766001.0	1432141.0	1878397.0	1817436.0	2669894.0	1682153.0	1369521.0	1431815.0	1261265.0	1439832.0	1688516.0	1572952.0	1494480.0	1340748.0	1412506.0	1544261.0	1686708.0	1709765.0	1738666.0	1873644.0	1763698.0	1601195.0	1840141.0	1787225.0	1603156.0	1086528.0	1766895.0	1620199.0	1690499.0	1778732.0	1662100.0	1387228.0
HMP_2012__SRS024580__bin.33	1043016.0	1204076.0	1765622.0	1694355.0	1308970.0	1736075.0	1664083.0	1371858.0	1353040.0	1328279.0	1485728.0	868951.0	1402726.0	1780038.0	1551769.0	1637349.0	1296703.0	1691831.0	1445004.0	1797900.0	1769711.0	1682153.0	2159733.0	1354461.0	1399591.0	1241690.0	1421496.0	1653894.0	1514260.0	1452392.0	1349724.0	1412240.0	1511541.0	1633591.0	1683593.0	1706059.0	1777009.0	1696535.0	1543399.0	1795997.0	1723239.0	1562599.0	1072251.0	1699032.0	1580111.0	1677546.0	1703013.0	1599051.0	1335709.0
HMP_2012__SRS065278__bin.62	1003058.0	1193773.0	1603953.0	1567209.0	1231845.0	1594765.0	1480226.0	1398996.0	1292538.0	1244643.0	1378467.0	823974.0	1282691.0	1607009.0	1437158.0	1469171.0	1244042.0	1534204.0	1313002.0	1617880.0	1590659.0	1369521.0	1354461.0	1810319.0	1415891.0	1227033.0	1300756.0	1515684.0	1369328.0	1302174.0	1263498.0	1313165.0	1311849.0	1469189.0	1577731.0	1567076.0	1601368.0	1585012.0	1377587.0	1598986.0	1592500.0	1457557.0	1065640.0	1567070.0	1491361.0	1514714.0	1519285.0	1446414.0	1236814.0
HMP_2012__SRS015038__bin.5	1046706.0	1216643.0	1647455.0	1578215.0	1293008.0	1608895.0	1510666.0	1417677.0	1311937.0	1294374.0	1414369.0	859923.0	1314224.0	1634408.0	1486229.0	1565808.0	1265710.0	1578790.0	1367620.0	1660107.0	1659441.0	1431815.0	1399591.0	1415891.0	1935332.0	1254340.0	1324065.0	1554397.0	1422732.0	1392335.0	1286272.0	1336378.0	1357860.0	1495912.0	1577298.0	1594013.0	1653680.0	1599698.0	1444718.0	1634133.0	1624555.0	1490436.0	1092064.0	1577642.0	1534599.0	1588772.0	1615457.0	1498325.0	1276788.0
HMP_2012__SRS019122__bin.29	958220.0	1163567.0	1516634.0	1477852.0	1173432.0	1523394.0	1371304.0	1185888.0	1363272.0	1247207.0	1323058.0	778449.0	1249864.0	1520382.0	1440320.0	1400411.0	1199728.0	1438608.0	1256001.0	1526825.0	1528279.0	1261265.0	1241690.0	1227033.0	1254340.0	1697562.0	1209161.0	1452517.0	1312560.0	1262849.0	1222702.0	1254526.0	1275307.0	1389937.0	1513376.0	1477798.0	1521032.0	1499880.0	1308014.0	1514505.0	1483751.0	1409604.0	1029385.0	1514793.0	1477758.0	1448495.0	1456762.0	1407089.0	1208665.0
HMP_2012__SRS064774__bin.72	1087662.0	1200778.0	1763523.0	1691797.0	1307719.0	1745622.0	1565792.0	1344951.0	1319153.0	1268066.0	1459314.0	842246.0	1355373.0	1800635.0	1532376.0	1624072.0	1295614.0	1761118.0	1396709.0	1721118.0	1681665.0	1439832.0	1421496.0	1300756.0	1324065.0	1209161.0	2190614.0	1618772.0	1526373.0	1428619.0	1348902.0	1321122.0	1467862.0	1591646.0	1651777.0	1678366.0	1728355.0	1701347.0	1494461.0	1758183.0	1691440.0	1521260.0	1034943.0	1733402.0	1612373.0	1635753.0	1644396.0	1560466.0	1314506.0
HMP_2012__SRS017120__bin.38	1226291.0	1417544.0	2053978.0	1926945.0	1495085.0	2051637.0	1826118.0	1498361.0	1567086.0	1489890.0	1719592.0	986432.0	1623799.0	2002351.0	1822282.0	1831041.0	1504233.0	1913773.0	1637616.0	2003495.0	1956620.0	1688516.0	1653894.0	1515684.0	1554397.0	1452517.0	1618772.0	2356124.0	1701636.0	1662621.0	1550167.0	1569081.0	1717343.0	1881258.0	1977622.0	1946451.0	1984992.0	1980707.0	1727202.0	2062469.0	2004210.0	1816034.0	1253803.0	1988599.0	1879411.0	1902819.0	1972400.0	1820174.0	1519982.0
CM_cf__CF_TNFC017SA_t1M16__bin.13	1101682.0	1281041.0	1879157.0	1797731.0	1364692.0	1850151.0	1699460.0	1398243.0	1404378.0	1387002.0	1555929.0	904564.0	1447278.0	1912187.0	1618529.0	1704558.0	1346675.0	1771700.0	1492233.0	1837653.0	1782596.0	1572952.0	1514260.0	1369328.0	1422732.0	1312560.0	1526373.0	1701636.0	2180394.0	1544478.0	1388157.0	1442816.0	1537524.0	1690453.0	1741383.0	1769343.0	1829689.0	1758247.0	1587911.0	1839180.0	1811216.0	1630540.0	1122733.0	1836571.0	1645322.0	1695452.0	1786282.0	1671455.0	1389299.0
HMP_2012__SRS015941__bin.23	1078916.0	1246320.0	1735417.0	1700461.0	1333651.0	1709893.0	1608809.0	1346709.0	1366828.0	1314931.0	1492359.0	870195.0	1387058.0	1764162.0	1561342.0	1638617.0	1301749.0	1678294.0	1441098.0	1739368.0	1717218.0	1494480.0	1452392.0	1302174.0	1392335.0	1262849.0	1428619.0	1662621.0	1544478.0	2093970.0	1357962.0	1387182.0	1496376.0	1650297.0	1698146.0	1682880.0	1723467.0	1697209.0	1566530.0	1713281.0	1730702.0	1571104.0	1094191.0	1690969.0	1604726.0	1647481.0	1652701.0	1568282.0	1328277.0
HMP_2012__SRS044373__bin.19	1003866.0	1191029.0	1616923.0	1570833.0	1252802.0	1601469.0	1452526.0	1277650.0	1308387.0	1264432.0	1388447.0	828833.0	1313529.0	1602949.0	1461690.0	1504507.0	1228560.0	1521694.0	1345592.0	1616122.0	1608726.0	1340748.0	1349724.0	1263498.0	1286272.0	1222702.0	1348902.0	1550167.0	1388157.0	1357962.0	1780163.0	1317760.0	1365022.0	1509026.0	1580541.0	1576245.0	1593277.0	1580935.0	1372480.0	1614153.0	1601426.0	1466067.0	1041278.0	1598980.0	1532308.0	1491169.0	1529329.0	1454866.0	1226108.0
HMP_2012__SRS057791__bin.78	1032824.0	1204335.0	1653575.0	1640309.0	1277036.0	1609229.0	1569107.0	1269341.0	1364222.0	1306784.0	1438061.0	868017.0	1346571.0	1674890.0	1511050.0	1575965.0	1240999.0	1595569.0	1399631.0	1703397.0	1696739.0	1412506.0	1412240.0	1313165.0	1336378.0	1254526.0	1321122.0	1569081.0	1442816.0	1387182.0	1317760.0	1955524.0	1406357.0	1534126.0	1599253.0	1629392.0	1702973.0	1639238.0	1440580.0	1663854.0	1728338.0	1501916.0	1086197.0	1617118.0	1552580.0	1588160.0	1660349.0	1528621.0	1317754.0
HMP_2012__SRS024637__bin.6	1056578.0	1217033.0	1825795.0	1753077.0	1317417.0	1796507.0	1625900.0	1296323.0	1356010.0	1305043.0	1549865.0	893003.0	1471881.0	1821432.0	1608714.0	1674168.0	1289249.0	1698413.0	1481560.0	1825875.0	1764641.0	1544261.0	1511541.0	1311849.0	1357860.0	1275307.0	1467862.0	1717343.0	1537524.0	1496376.0	1365022.0	1406357.0	2383379.0	1958268.0	1735960.0	1722738.0	1814585.0	1719108.0	1539187.0	1784606.0	1793282.0	1580177.0	1096846.0	1794511.0	1627651.0	1709298.0	1740247.0	1670605.0	1374423.0
HMP_2012__SRS017076__bin.33	1187168.0	1338510.0	2010788.0	1891444.0	1420947.0	1985655.0	1790017.0	1444591.0	1490923.0	1430967.0	1659209.0	961852.0	1582267.0	1975371.0	1764543.0	1792730.0	1394877.0	1891805.0	1603412.0	1966275.0	1906149.0	1686708.0	1633591.0	1469189.0	1495912.0	1389937.0	1591646.0	1881258.0	1690453.0	1650297.0	1509026.0	1534126.0	1958268.0	2398019.0	1905791.0	1856725.0	1979965.0	1902382.0	1677650.0	1956470.0	1973924.0	1733850.0	1201968.0	1929133.0	1789736.0	1863388.0	1912818.0	1821787.0	1490582.0
Castro-NallarE_2015__ES_080__bin.8	1208522.0	1463186.0	2136289.0	2022907.0	1512191.0	2110688.0	1841664.0	1545381.0	1595394.0	1517065.0	1806274.0	1004064.0	1683031.0	2097630.0	1816482.0	1876836.0	1524085.0	1948488.0	1665041.0	2125473.0	2029050.0	1709765.0	1683593.0	1577731.0	1577298.0	1513376.0	1651777.0	1977622.0	1741383.0	1698146.0	1580541.0	1599253.0	1735960.0	1905791.0	2420453.0	2010137.0	2063970.0	2048540.0	1750187.0	2100334.0	2056742.0	1896699.0	1275562.0	2100541.0	1894532.0	1988069.0	1959800.0	1957410.0	1555514.0
HMP_2012__SRS024318__bin.42	1199566.0	1453786.0	2050230.0	2041807.0	1536215.0	2019751.0	1878960.0	1536376.0	1604853.0	1535267.0	1758214.0	1017825.0	1664773.0	2137778.0	1813023.0	2062624.0	1555733.0	1985408.0	1670564.0	2136165.0	2033403.0	1738666.0	1706059.0	1567076.0	1594013.0	1477798.0	1678366.0	1946451.0	1769343.0	1682880.0	1576245.0	1629392.0	1722738.0	1856725.0	2010137.0	2458593.0	2081747.0	2038442.0	1754521.0	2112703.0	2056864.0	1837465.0	1272894.0	2059752.0	1872386.0	1990118.0	2018819.0	1884803.0	1597505.0
HMP_2012__SRS056323__bin.31	1235254.0	1478383.0	2180940.0	2126012.0	1538345.0	2142291.0	1988799.0	1590475.0	1646830.0	1555238.0	1809040.0	1011696.0	1710652.0	2181234.0	1900934.0	2028157.0	1557475.0	2068650.0	1689341.0	2208597.0	2109725.0	1873644.0	1777009.0	1601368.0	1653680.0	1521032.0	1728355.0	1984992.0	1829689.0	1723467.0	1593277.0	1702973.0	1814585.0	1979965.0	2063970.0	2081747.0	2650413.0	2120716.0	1849362.0	2151907.0	2146675.0	1888361.0	1288148.0	2129433.0	1915992.0	2025606.0	2126766.0	1961058.0	1597917.0
HMP_2012__SRS015272__bin.10	1258277.0	1431486.0	2146603.0	2019606.0	1515830.0	2113000.0	1962976.0	1563385.0	1623723.0	1544380.0	1825111.0	1024764.0	1643967.0	2131691.0	1874517.0	1927222.0	1497818.0	2058770.0	1667956.0	2239534.0	2107901.0	1763698.0	1696535.0	1585012.0	1599698.0	1499880.0	1701347.0	1980707.0	1758247.0	1697209.0	1580935.0	1639238.0	1719108.0	1902382.0	2048540.0	2038442.0	2120716.0	2530503.0	1788739.0	2135840.0	2134689.0	1908161.0	1264505.0	2055121.0	1898987.0	2016963.0	2017644.0	1955583.0	1643005.0
HMP_2012__SRS047210__bin.52	1099783.0	1301407.0	1889637.0	1754141.0	1354173.0	1847421.0	1725018.0	1392281.0	1432306.0	1346399.0	1570161.0	903618.0	1457621.0	1860084.0	1639906.0	1662033.0	1359334.0	1799530.0	1473467.0	1853027.0	1788371.0	1601195.0	1543399.0	1377587.0	1444718.0	1308014.0	1494461.0	1727202.0	1587911.0	1566530.0	1372480.0	1440580.0	1539187.0	1677650.0	1750187.0	1754521.0	1849362.0	1788739.0	2216206.0	1808887.0	1838998.0	1634637.0	1126067.0	1791138.0	1643628.0	1720980.0	1769904.0	1667624.0	1387360.0
