	XieH_2016__YSZC12003_37583__bin.55	XieH_2016__YSZC12003_37331__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.81	XieH_2016__YSZC12003_37296R1__bin.77	XieH_2016__YSZC12003_37232__bin.78	RaymondF_2016__P13E7__bin.10	XieH_2016__YSZC12003_37100__bin.102	XieH_2016__YSZC12003_37830__bin.16	ChengpingW_2017__AS98raw__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.71	ZeeviD_2015__PNP_Main_589__bin.11	ZellerG_2014__CCIS41548810ST-4-0__bin.30	ZeeviD_2015__PNP_Main_610__bin.28	XieH_2016__YSZC12003_35739__bin.18	ZeeviD_2015__PNP_Main_474__bin.36	ZeeviD_2015__PNP_Main_553__bin.11	ZellerG_2014__CCIS53043478ST-4-0__bin.27	HeQ_2017__RSZAXPI003103-141__bin.15	ZeeviD_2015__PNP_Main_414__bin.81	XieH_2016__YSZC12003_37197R1__bin.105	LiJ_2014__O2.UC13-1__bin.18	QinN_2014__HD-33__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.7	XieH_2016__YSZC12003_37101__bin.43	AsnicarF_2017__MV_FEM3_t1Q14__bin.16	ZeeviD_2015__PNP_Main_74__bin.20	XieH_2016__YSZC12003_35740__bin.98	LiJ_2014__MH0329__bin.16	ChengpingW_2017__AS9raw__bin.56	RaymondF_2016__P13E90__bin.1	XieH_2016__YSZC12003_35733__bin.9	RaymondF_2016__P13E0__bin.60	LiJ_2017__H3M514143__bin.39	LeChatelierE_2013__MH0257__bin.1	BritoIL_2016__W2.6.ST__bin.27	LiJ_2014__V1.CD40-0__bin.15	ChengpingW_2017__AS128raw__bin.44	LeChatelierE_2013__MH0422__bin.22	XieH_2016__YSZC12003_35563__bin.34	XieH_2016__YSZC12003_37314__bin.63	CosteaPI_2017__SID713A063-11-90-0__bin.50	ZeeviD_2015__PNP_Main_475__bin.20
ZeeviD_2015__PNP_Main_589__bin.11	2075620.0	2159470.0	2210451.0	2054890.0	1756446.0	2014288.0	2197819.0	2178589.0	2066812.0	2214980.0	2284955.0	2106550.0	1684628.0	1264964.0	1991027.0	2014433.0	2107750.0	1983697.0	1670996.0	2017416.0	1968147.0	2166298.0	2131220.0	1882797.0	2030863.0	2045514.0	1818481.0	1416584.0	2095561.0	1948507.0	2142573.0	2190787.0	2117303.0	1941352.0	1123487.0	2102142.0	2090441.0	2098642.0	2156131.0	2129169.0	2193695.0	2135648.0
ZellerG_2014__CCIS41548810ST-4-0__bin.30	2103475.0	2218888.0	2258782.0	2099486.0	1788838.0	2071882.0	2225091.0	2226975.0	2115606.0	2261347.0	2106550.0	2363280.0	1708749.0	1300263.0	2022256.0	2021567.0	2123210.0	2056902.0	1718766.0	2082774.0	2002236.0	2217708.0	2183478.0	1936678.0	2081781.0	2072242.0	1871890.0	1484479.0	2165186.0	1979283.0	2192247.0	2233822.0	2208986.0	1986252.0	1169140.0	2153081.0	2141952.0	2128625.0	2213109.0	2198039.0	2242969.0	2169946.0
ZeeviD_2015__PNP_Main_610__bin.28	1691751.0	1756776.0	1784252.0	1666035.0	1441209.0	1642869.0	1770049.0	1762750.0	1691638.0	1785478.0	1684628.0	1708749.0	1826526.0	1064944.0	1623160.0	1626998.0	1707401.0	1622282.0	1377079.0	1648173.0	1584414.0	1775966.0	1734781.0	1538375.0	1640721.0	1667308.0	1482969.0	1164944.0	1714567.0	1587545.0	1744337.0	1766348.0	1723010.0	1589358.0	929106.0	1706079.0	1724391.0	1702681.0	1748183.0	1734587.0	1767768.0	1732487.0
XieH_2016__YSZC12003_35739__bin.18	1280284.0	1335452.0	1355217.0	1235212.0	1092090.0	1258200.0	1347824.0	1335273.0	1269990.0	1354974.0	1264964.0	1300263.0	1064944.0	1376085.0	1226955.0	1218182.0	1273830.0	1250756.0	1034586.0	1280946.0	1170918.0	1327667.0	1309886.0	1126364.0	1254747.0	1233723.0	1156050.0	865371.0	1296363.0	1160339.0	1325912.0	1334780.0	1319652.0	1199728.0	725632.0	1278220.0	1272404.0	1267058.0	1336304.0	1305722.0	1339887.0	1301373.0
ZeeviD_2015__PNP_Main_474__bin.36	1998198.0	2103205.0	2124301.0	1964944.0	1676928.0	1949722.0	2107491.0	2100960.0	1989107.0	2128585.0	1991027.0	2022256.0	1623160.0	1226955.0	2177555.0	1931689.0	2018071.0	1938821.0	1634092.0	1938631.0	1900105.0	2084401.0	2066862.0	1850064.0	1934293.0	1968507.0	1762531.0	1383591.0	2026435.0	1856686.0	2086776.0	2098970.0	2071385.0	1870209.0	1082822.0	2026516.0	2016955.0	2033553.0	2085159.0	2072383.0	2113841.0	2054146.0
ZeeviD_2015__PNP_Main_553__bin.11	2019458.0	2103505.0	2155800.0	2020465.0	1697971.0	1988169.0	2133657.0	2119235.0	1995843.0	2156797.0	2014433.0	2021567.0	1626998.0	1218182.0	1931689.0	2298108.0	2067664.0	1939606.0	1614225.0	1975243.0	1916941.0	2089805.0	2063053.0	1864183.0	1960613.0	1993721.0	1757732.0	1358657.0	2016827.0	1917824.0	2074853.0	2177508.0	2076836.0	1868555.0	1088039.0	2059578.0	2030881.0	2035936.0	2109610.0	2059648.0	2132453.0	2083153.0
ZellerG_2014__CCIS53043478ST-4-0__bin.27	2149172.0	2240473.0	2246397.0	2173705.0	1779232.0	2083923.0	2261777.0	2236315.0	2123520.0	2252029.0	2107750.0	2123210.0	1707401.0	1273830.0	2018071.0	2067664.0	2388851.0	2034969.0	1700809.0	2088344.0	2015369.0	2213986.0	2184135.0	1969976.0	2057604.0	2103273.0	1842311.0	1447869.0	2130174.0	2016244.0	2203298.0	2278762.0	2185713.0	1998238.0	1139260.0	2180369.0	2150140.0	2165332.0	2236813.0	2186900.0	2230226.0	2239875.0
HeQ_2017__RSZAXPI003103-141__bin.15	2024480.0	2113737.0	2149759.0	2017341.0	1710218.0	1986046.0	2131241.0	2111040.0	1997793.0	2151901.0	1983697.0	2056902.0	1622282.0	1250756.0	1938821.0	1939606.0	2034969.0	2214264.0	1635745.0	1986793.0	1909564.0	2105293.0	2075796.0	1861109.0	1973065.0	1975682.0	1787231.0	1391029.0	2035727.0	1894014.0	2087462.0	2141725.0	2102229.0	1872733.0	1093121.0	2049111.0	2036570.0	2033166.0	2129478.0	2097824.0	2136814.0	2073955.0
ZeeviD_2015__PNP_Main_414__bin.81	1678587.0	1768861.0	1782171.0	1649964.0	1432363.0	1661013.0	1767533.0	1770329.0	1691384.0	1784610.0	1670996.0	1718766.0	1377079.0	1034586.0	1634092.0	1614225.0	1700809.0	1635745.0	1824876.0	1663805.0	1607923.0	1758319.0	1733086.0	1534801.0	1654342.0	1664722.0	1503772.0	1158154.0	1717261.0	1587779.0	1742555.0	1774218.0	1750427.0	1576425.0	938957.0	1716019.0	1705677.0	1690893.0	1762783.0	1742028.0	1762495.0	1719831.0
XieH_2016__YSZC12003_37197R1__bin.105	2052743.0	2147352.0	2174814.0	2038198.0	1743334.0	2026336.0	2158556.0	2138013.0	2025580.0	2174962.0	2017416.0	2082774.0	1648173.0	1280946.0	1938631.0	1975243.0	2088344.0	1986793.0	1663805.0	2287905.0	1931621.0	2115736.0	2089838.0	1861829.0	2004088.0	2003753.0	1840326.0	1408557.0	2057894.0	1927194.0	2108828.0	2174552.0	2117040.0	1901555.0	1136998.0	2083726.0	2041452.0	2061538.0	2217212.0	2109129.0	2156681.0	2097097.0
LiJ_2014__O2.UC13-1__bin.18	1990461.0	2082832.0	2133683.0	1978595.0	1672027.0	1914986.0	2100958.0	2104023.0	1963486.0	2135700.0	1968147.0	2002236.0	1584414.0	1170918.0	1900105.0	1916941.0	2015369.0	1909564.0	1607923.0	1931621.0	2196477.0	2085152.0	2026785.0	1929862.0	1953162.0	1985659.0	1718035.0	1404595.0	2008475.0	1894345.0	2048275.0	2109057.0	2034251.0	1860171.0	1057731.0	2059072.0	2022671.0	2084092.0	2077936.0	2076707.0	2108856.0	2048158.0
QinN_2014__HD-33__bin.61	2190465.0	2282877.0	2336209.0	2181285.0	1839118.0	2110173.0	2303580.0	2298578.0	2213683.0	2340526.0	2166298.0	2217708.0	1775966.0	1327667.0	2084401.0	2089805.0	2213986.0	2105293.0	1758319.0	2115736.0	2085152.0	2418852.0	2236579.0	2017401.0	2124227.0	2146977.0	1906431.0	1492403.0	2252451.0	2057255.0	2266968.0	2309883.0	2241809.0	2063333.0	1170166.0	2215854.0	2265552.0	2219923.0	2271865.0	2254544.0	2309230.0	2242863.0
ZellerG_2014__CCIS36797902ST-4-0__bin.7	2165458.0	2284940.0	2305942.0	2151673.0	1829169.0	2112724.0	2290893.0	2268019.0	2134257.0	2311863.0	2131220.0	2183478.0	1734781.0	1309886.0	2066862.0	2063053.0	2184135.0	2075796.0	1733086.0	2089838.0	2026785.0	2236579.0	2394576.0	1972526.0	2101522.0	2126983.0	1896329.0	1460982.0	2177142.0	2003650.0	2252158.0	2279289.0	2226929.0	1999980.0	1166099.0	2206415.0	2171435.0	2177790.0	2246389.0	2256120.0	2292373.0	2235738.0
XieH_2016__YSZC12003_37101__bin.43	1946837.0	2028670.0	2067641.0	1915415.0	1624091.0	1866020.0	2069411.0	2058386.0	1883268.0	2072663.0	1882797.0	1936678.0	1538375.0	1126364.0	1850064.0	1864183.0	1969976.0	1861109.0	1534801.0	1861829.0	1929862.0	2017401.0	1972526.0	2254488.0	1891983.0	1943216.0	1660165.0	1343040.0	1921621.0	1791161.0	2022060.0	2064495.0	1969469.0	1806089.0	1005321.0	1970336.0	1975347.0	2015821.0	2011728.0	2023120.0	2059130.0	2009714.0
AsnicarF_2017__MV_FEM3_t1Q14__bin.16	2033060.0	2145807.0	2184345.0	2020646.0	1737187.0	1998479.0	2172777.0	2147408.0	2009466.0	2187310.0	2030863.0	2081781.0	1640721.0	1254747.0	1934293.0	1960613.0	2057604.0	1973065.0	1654342.0	2004088.0	1953162.0	2124227.0	2101522.0	1891983.0	2248114.0	2008783.0	1800437.0	1406373.0	2050762.0	1895664.0	2113954.0	2162307.0	2090011.0	1907267.0	1115781.0	2082304.0	2047710.0	2075096.0	2131729.0	2114474.0	2162138.0	2093725.0
ZeeviD_2015__PNP_Main_74__bin.20	2058670.0	2161671.0	2195665.0	2044354.0	1745910.0	2014539.0	2189030.0	2163068.0	2053860.0	2199592.0	2045514.0	2072242.0	1667308.0	1233723.0	1968507.0	1993721.0	2103273.0	1975682.0	1664722.0	2003753.0	1985659.0	2146977.0	2126983.0	1943216.0	2008783.0	2321347.0	1793562.0	1414568.0	2083525.0	1959547.0	2137585.0	2189336.0	2120164.0	1924920.0	1110979.0	2100856.0	2097933.0	2090326.0	2150610.0	2148049.0	2171770.0	2126525.0
XieH_2016__YSZC12003_35740__bin.98	1835742.0	1927803.0	1954515.0	1833711.0	1609621.0	1826871.0	1938172.0	1917347.0	1807209.0	1955686.0	1818481.0	1871890.0	1482969.0	1156050.0	1762531.0	1757732.0	1842311.0	1787231.0	1503772.0	1840326.0	1718035.0	1906431.0	1896329.0	1660165.0	1800437.0	1793562.0	2042266.0	1252332.0	1852145.0	1708280.0	1899065.0	1947348.0	1913312.0	1697137.0	1035812.0	1863517.0	1822661.0	1835359.0	1934344.0	1911180.0	1935531.0	1881225.0
LiJ_2014__MH0329__bin.16	1383631.0	1502372.0	1503560.0	1405635.0	1225444.0	1392681.0	1510359.0	1482118.0	1441560.0	1503645.0	1416584.0	1484479.0	1164944.0	865371.0	1383591.0	1358657.0	1447869.0	1391029.0	1158154.0	1408557.0	1404595.0	1492403.0	1460982.0	1343040.0	1406373.0	1414568.0	1252332.0	1596878.0	1449076.0	1332851.0	1464365.0	1490905.0	1476078.0	1317695.0	801527.0	1449772.0	1429393.0	1478112.0	1489182.0	1485073.0	1490637.0	1444150.0
ChengpingW_2017__AS9raw__bin.56	2090557.0	2209193.0	2250533.0	2092310.0	1795665.0	2064052.0	2222415.0	2214270.0	2139676.0	2254881.0	2095561.0	2165186.0	1714567.0	1296363.0	2026435.0	2016827.0	2130174.0	2035727.0	1717261.0	2057894.0	2008475.0	2252451.0	2177142.0	1921621.0	2050762.0	2083525.0	1852145.0	1449076.0	2346382.0	1984353.0	2186860.0	2214962.0	2183796.0	1995370.0	1147144.0	2157865.0	2179054.0	2126093.0	2196653.0	2188839.0	2218193.0	2156817.0
RaymondF_2016__P13E90__bin.1	1965105.0	2044105.0	2073149.0	2034835.0	1656413.0	1982706.0	2080892.0	2050506.0	1982942.0	2075062.0	1948507.0	1979283.0	1587545.0	1160339.0	1856686.0	1917824.0	2016244.0	1894014.0	1587779.0	1927194.0	1894345.0	2057255.0	2003650.0	1791161.0	1895664.0	1959547.0	1708280.0	1332851.0	1984353.0	2200071.0	2019068.0	2172334.0	2023915.0	1837138.0	1056199.0	2023311.0	2048058.0	1978784.0	2068241.0	2013164.0	2043655.0	2019224.0
XieH_2016__YSZC12003_35733__bin.9	2196035.0	2301420.0	2321188.0	2163306.0	1830859.0	2113714.0	2329960.0	2308405.0	2147770.0	2324970.0	2142573.0	2192247.0	1744337.0	1325912.0	2086776.0	2074853.0	2203298.0	2087462.0	1742555.0	2108828.0	2048275.0	2266968.0	2252158.0	2022060.0	2113954.0	2137585.0	1899065.0	1464365.0	2186860.0	2019068.0	2417584.0	2298854.0	2245503.0	2038473.0	1179535.0	2217195.0	2187577.0	2197793.0	2266355.0	2265926.0	2301805.0	2257885.0
RaymondF_2016__P13E0__bin.60	2245710.0	2330745.0	2371054.0	2268815.0	1863081.0	2248762.0	2372188.0	2347268.0	2191626.0	2375884.0	2190787.0	2233822.0	1766348.0	1334780.0	2098970.0	2177508.0	2278762.0	2141725.0	1774218.0	2174552.0	2109057.0	2309883.0	2279289.0	2064495.0	2162307.0	2189336.0	1947348.0	1490905.0	2214962.0	2172334.0	2298854.0	2489770.0	2293427.0	2059447.0	1198700.0	2285858.0	2246784.0	2250695.0	2347266.0	2289405.0	2343104.0	2309757.0
LiJ_2017__H3M514143__bin.39	2175403.0	2270630.0	2289178.0	2146959.0	1825379.0	2121456.0	2274100.0	2254660.0	2137589.0	2290032.0	2117303.0	2208986.0	1723010.0	1319652.0	2071385.0	2076836.0	2185713.0	2102229.0	1750427.0	2117040.0	2034251.0	2241809.0	2226929.0	1969469.0	2090011.0	2120164.0	1913312.0	1476078.0	2183796.0	2023915.0	2245503.0	2293427.0	2384563.0	1999081.0	1179359.0	2194362.0	2171970.0	2159090.0	2262912.0	2253263.0	2265490.0	2225935.0
LeChatelierE_2013__MH0257__bin.1	1991369.0	2061572.0	2074291.0	1912145.0	1634285.0	1893211.0	2071369.0	2068328.0	1967754.0	2078662.0	1941352.0	1986252.0	1589358.0	1199728.0	1870209.0	1868555.0	1998238.0	1872733.0	1576425.0	1901555.0	1860171.0	2063333.0	1999980.0	1806089.0	1907267.0	1924920.0	1697137.0	1317695.0	1995370.0	1837138.0	2038473.0	2059447.0	1999081.0	2235799.0	1069696.0	1967429.0	2042243.0	1996621.0	2047592.0	2037703.0	2064650.0	1999456.0
BritoIL_2016__W2.6.ST__bin.27	1145171.0	1188515.0	1202485.0	1134281.0	987503.0	1129120.0	1191232.0	1191143.0	1134637.0	1203268.0	1123487.0	1169140.0	929106.0	725632.0	1082822.0	1088039.0	1139260.0	1093121.0	938957.0	1136998.0	1057731.0	1170166.0	1166099.0	1005321.0	1115781.0	1110979.0	1035812.0	801527.0	1147144.0	1056199.0	1179535.0	1198700.0	1179359.0	1069696.0	1258660.0	1183126.0	1124098.0	1140768.0	1186389.0	1185477.0	1192499.0	1172483.0
LiJ_2014__V1.CD40-0__bin.15	2152323.0	2233749.0	2268932.0	2157036.0	1803799.0	2109123.0	2249845.0	2240324.0	2110978.0	2271492.0	2102142.0	2153081.0	1706079.0	1278220.0	2026516.0	2059578.0	2180369.0	2049111.0	1716019.0	2083726.0	2059072.0	2215854.0	2206415.0	1970336.0	2082304.0	2100856.0	1863517.0	1449772.0	2157865.0	2023311.0	2217195.0	2285858.0	2194362.0	1967429.0	1183126.0	2374063.0	2146858.0	2163132.0	2240739.0	2228306.0	2238805.0	2225534.0
ChengpingW_2017__AS128raw__bin.44	2120169.0	2223800.0	2261473.0	2102523.0	1761334.0	2041227.0	2255847.0	2230853.0	2149905.0	2265559.0	2090441.0	2141952.0	1724391.0	1272404.0	2016955.0	2030881.0	2150140.0	2036570.0	1705677.0	2041452.0	2022671.0	2265552.0	2171435.0	1975347.0	2047710.0	2097933.0	1822661.0	1429393.0	2179054.0	2048058.0	2187577.0	2246784.0	2171970.0	2042243.0	1124098.0	2146858.0	2371353.0	2143246.0	2197325.0	2204232.0	2227712.0	2181346.0
LeChatelierE_2013__MH0422__bin.22	2152034.0	2231535.0	2273434.0	2106656.0	1781688.0	2045404.0	2266709.0	2241045.0	2085612.0	2276078.0	2098642.0	2128625.0	1702681.0	1267058.0	2033553.0	2035936.0	2165332.0	2033166.0	1690893.0	2061538.0	2084092.0	2219923.0	2177790.0	2015821.0	2075096.0	2090326.0	1835359.0	1478112.0	2126093.0	1978784.0	2197793.0	2250695.0	2159090.0	1996621.0	1140768.0	2163132.0	2143246.0	2369686.0	2214252.0	2212679.0	2250266.0	2192899.0
XieH_2016__YSZC12003_35563__bin.34	2207984.0	2303127.0	2337750.0	2195898.0	1852524.0	2166559.0	2313471.0	2298528.0	2169832.0	2345392.0	2156131.0	2213109.0	1748183.0	1336304.0	2085159.0	2109610.0	2236813.0	2129478.0	1762783.0	2217212.0	2077936.0	2271865.0	2246389.0	2011728.0	2131729.0	2150610.0	1934344.0	1489182.0	2196653.0	2068241.0	2266355.0	2347266.0	2262912.0	2047592.0	1186389.0	2240739.0	2197325.0	2214252.0	2486474.0	2274206.0	2318877.0	2257857.0
XieH_2016__YSZC12003_37314__bin.63	2185522.0	2316237.0	2325058.0	2156800.0	1834815.0	2103029.0	2308413.0	2282126.0	2151334.0	2330034.0	2129169.0	2198039.0	1734587.0	1305722.0	2072383.0	2059648.0	2186900.0	2097824.0	1742028.0	2109129.0	2076707.0	2254544.0	2256120.0	2023120.0	2114474.0	2148049.0	1911180.0	1485073.0	2188839.0	2013164.0	2265926.0	2289405.0	2253263.0	2037703.0	1185477.0	2228306.0	2204232.0	2212679.0	2274206.0	2493587.0	2311280.0	2227821.0
CosteaPI_2017__SID713A063-11-90-0__bin.50	2217988.0	2340134.0	2412473.0	2206340.0	1863724.0	2138648.0	2359898.0	2348525.0	2173617.0	2426424.0	2193695.0	2242969.0	1767768.0	1339887.0	2113841.0	2132453.0	2230226.0	2136814.0	1762495.0	2156681.0	2108856.0	2309230.0	2292373.0	2059130.0	2162138.0	2171770.0	1935531.0	1490637.0	2218193.0	2043655.0	2301805.0	2343104.0	2265490.0	2064650.0	1192499.0	2238805.0	2227712.0	2250266.0	2318877.0	2311280.0	2567646.0	2276166.0
ZeeviD_2015__PNP_Main_475__bin.20	2209313.0	2246448.0	2312323.0	2206157.0	1796561.0	2107813.0	2304693.0	2280322.0	2139537.0	2320247.0	2135648.0	2169946.0	1732487.0	1301373.0	2054146.0	2083153.0	2239875.0	2073955.0	1719831.0	2097097.0	2048158.0	2242863.0	2235738.0	2009714.0	2093725.0	2126525.0	1881225.0	1444150.0	2156817.0	2019224.0	2257885.0	2309757.0	2225935.0	1999456.0	1172483.0	2225534.0	2181346.0	2192899.0	2257857.0	2227821.0	2276166.0	2404819.0
