	XieH_2016__YSZC12003_37583__bin.55	XieH_2016__YSZC12003_37331__bin.46	Bengtsson-PalmeJ_2015__TRAVELRES46__bin.81	XieH_2016__YSZC12003_37296R1__bin.77	XieH_2016__YSZC12003_37232__bin.78	RaymondF_2016__P13E7__bin.10	XieH_2016__YSZC12003_37100__bin.102	XieH_2016__YSZC12003_37830__bin.16	ChengpingW_2017__AS98raw__bin.2	Bengtsson-PalmeJ_2015__TRAVELRES45__bin.71	ZeeviD_2015__PNP_Main_589__bin.11	ZellerG_2014__CCIS41548810ST-4-0__bin.30	ZeeviD_2015__PNP_Main_610__bin.28	XieH_2016__YSZC12003_35739__bin.18	ZeeviD_2015__PNP_Main_474__bin.36	ZeeviD_2015__PNP_Main_553__bin.11	ZellerG_2014__CCIS53043478ST-4-0__bin.27	HeQ_2017__RSZAXPI003103-141__bin.15	ZeeviD_2015__PNP_Main_414__bin.81	XieH_2016__YSZC12003_37197R1__bin.105	LiJ_2014__O2.UC13-1__bin.18	QinN_2014__HD-33__bin.61	ZellerG_2014__CCIS36797902ST-4-0__bin.7	XieH_2016__YSZC12003_37101__bin.43	AsnicarF_2017__MV_FEM3_t1Q14__bin.16	ZeeviD_2015__PNP_Main_74__bin.20	XieH_2016__YSZC12003_35740__bin.98	LiJ_2014__MH0329__bin.16	ChengpingW_2017__AS9raw__bin.56	RaymondF_2016__P13E90__bin.1	XieH_2016__YSZC12003_35733__bin.9	RaymondF_2016__P13E0__bin.60	LiJ_2017__H3M514143__bin.39	LeChatelierE_2013__MH0257__bin.1	BritoIL_2016__W2.6.ST__bin.27	LiJ_2014__V1.CD40-0__bin.15	ChengpingW_2017__AS128raw__bin.44	LeChatelierE_2013__MH0422__bin.22	XieH_2016__YSZC12003_35563__bin.34	XieH_2016__YSZC12003_37314__bin.63	CosteaPI_2017__SID713A063-11-90-0__bin.50	ZeeviD_2015__PNP_Main_475__bin.20
QinN_2014__HD-33__bin.61	55313.0	60116.0	58676.0	57795.0	49627.0	54087.0	61166.0	59268.0	33033.0	58977.0	53535.0	44683.0	38596.0	36759.0	49965.0	52431.0	50703.0	37968.0	44839.0	58996.0	49358.0	0.0	58264.0	54064.0	55219.0	51971.0	51056.0	42340.0	33929.0	53759.0	62795.0	60371.0	42853.0	61928.0	27761.0	54770.0	31003.0	58141.0	62298.0	63243.0	59145.0	52608.0
ZellerG_2014__CCIS36797902ST-4-0__bin.7	48839.0	51873.0	52560.0	49983.0	41607.0	47266.0	54556.0	51762.0	54204.0	52538.0	51459.0	52189.0	43208.0	30467.0	48221.0	47694.0	50846.0	50845.0	39839.0	48429.0	47224.0	58264.0	0.0	43548.0	48919.0	50145.0	43207.0	38024.0	55062.0	45558.0	53431.0	50607.0	52109.0	59355.0	25067.0	52132.0	55253.0	48930.0	51143.0	51578.0	53193.0	51442.0
XieH_2016__YSZC12003_37101__bin.43	44651.0	47124.0	48457.0	43005.0	37585.0	42768.0	49955.0	47492.0	49426.0	48153.0	45229.0	47817.0	37620.0	27526.0	43787.0	43764.0	45418.0	46505.0	35556.0	43117.0	45765.0	54064.0	43548.0	0.0	44781.0	45863.0	37270.0	36214.0	50352.0	41266.0	48734.0	47102.0	47806.0	55759.0	21253.0	46864.0	52305.0	45681.0	46562.0	45579.0	46850.0	46785.0
AsnicarF_2017__MV_FEM3_t1Q14__bin.16	46943.0	50435.0	50188.0	46674.0	42836.0	46817.0	53660.0	51770.0	51618.0	50158.0	48476.0	50864.0	40295.0	31850.0	45705.0	47660.0	49420.0	48813.0	38976.0	47497.0	45867.0	55219.0	48919.0	44781.0	0.0	48867.0	43100.0	37216.0	52333.0	44933.0	52172.0	50716.0	50406.0	56815.0	24668.0	49108.0	52704.0	49324.0	50033.0	50456.0	51674.0	49531.0
ZeeviD_2015__PNP_Main_74__bin.20	48949.0	51704.0	52093.0	48561.0	42944.0	47261.0	52665.0	50045.0	49531.0	51190.0	45842.0	47466.0	39195.0	31336.0	44383.0	45866.0	47866.0	46536.0	38815.0	49486.0	44955.0	51971.0	50145.0	45863.0	48867.0	0.0	42932.0	37104.0	50301.0	46438.0	52674.0	51420.0	48841.0	56957.0	24331.0	48740.0	49371.0	48137.0	52206.0	51951.0	51021.0	44658.0
XieH_2016__YSZC12003_35740__bin.98	43215.0	44283.0	45903.0	42267.0	39110.0	42701.0	47914.0	44573.0	47140.0	45986.0	45171.0	46495.0	37392.0	28531.0	43304.0	42041.0	43188.0	45259.0	35675.0	43196.0	41444.0	51056.0	43207.0	37270.0	43100.0	42932.0	0.0	33957.0	47815.0	40209.0	46349.0	45390.0	47132.0	51680.0	23294.0	44755.0	48076.0	42432.0	45130.0	45135.0	46557.0	44441.0
LiJ_2014__MH0329__bin.16	36046.0	39624.0	38712.0	36871.0	33207.0	35960.0	40792.0	39427.0	40227.0	38706.0	37554.0	39188.0	31182.0	23603.0	37600.0	35086.0	38129.0	38600.0	30046.0	38353.0	37635.0	42340.0	38024.0	36214.0	37216.0	37104.0	33957.0	0.0	39638.0	35346.0	40057.0	38834.0	39693.0	42584.0	19979.0	38134.0	39769.0	38132.0	40317.0	39762.0	39311.0	37501.0
ChengpingW_2017__AS9raw__bin.56	51993.0	57123.0	55734.0	54567.0	46781.0	51326.0	56701.0	55160.0	32554.0	56159.0	50351.0	42074.0	36692.0	34369.0	46584.0	48781.0	48654.0	37130.0	42102.0	54597.0	46801.0	33929.0	55062.0	50352.0	52333.0	50301.0	47815.0	39638.0	0.0	51073.0	58183.0	56104.0	41809.0	57228.0	26800.0	52855.0	30940.0	54593.0	57540.0	59673.0	55086.0	50722.0
RaymondF_2016__P13E90__bin.1	44756.0	47626.0	48376.0	45842.0	39019.0	532.0	51124.0	46432.0	50290.0	48136.0	46404.0	47592.0	39428.0	28152.0	42813.0	43765.0	46334.0	46337.0	36434.0	44387.0	44783.0	53759.0	45558.0	41266.0	44933.0	46438.0	40209.0	35346.0	51073.0	0.0	49041.0	202.0	47824.0	55182.0	23569.0	48213.0	52361.0	45459.0	47437.0	46033.0	47754.0	47248.0
XieH_2016__YSZC12003_35733__bin.9	53122.0	55873.0	57831.0	52159.0	45568.0	50213.0	59579.0	56778.0	57572.0	57946.0	53977.0	55862.0	45670.0	33173.0	52363.0	51410.0	56043.0	53496.0	42410.0	51083.0	51131.0	62795.0	53431.0	48734.0	52172.0	52674.0	46349.0	40057.0	58183.0	49041.0	0.0	54842.0	56151.0	57100.0	27082.0	55983.0	58454.0	53025.0	54434.0	53885.0	56955.0	55959.0
RaymondF_2016__P13E0__bin.60	50391.0	53587.0	54292.0	50756.0	43719.0	569.0	57099.0	52812.0	55765.0	54264.0	52053.0	53277.0	43929.0	31839.0	48099.0	49530.0	51882.0	51598.0	40762.0	49401.0	49493.0	60371.0	50607.0	47102.0	50716.0	51420.0	45390.0	38834.0	56104.0	202.0	54842.0	0.0	53273.0	62475.0	26370.0	53647.0	57279.0	50551.0	53211.0	51606.0	54081.0	53370.0
LiJ_2017__H3M514143__bin.39	50325.0	53980.0	53390.0	50607.0	46248.0	49105.0	54940.0	52246.0	40685.0	53155.0	49460.0	46732.0	37919.0	33062.0	43949.0	47877.0	47669.0	35575.0	41289.0	53111.0	46449.0	42853.0	52109.0	47806.0	50406.0	48841.0	47132.0	39693.0	41809.0	47824.0	56151.0	53273.0	0.0	58836.0	26821.0	50977.0	39915.0	50984.0	56169.0	55302.0	53388.0	49970.0
LeChatelierE_2013__MH0257__bin.1	60027.0	62634.0	63496.0	58224.0	50666.0	56097.0	64524.0	62265.0	56951.0	63310.0	58988.0	57197.0	46376.0	38156.0	55166.0	55619.0	58906.0	54958.0	47388.0	59144.0	55436.0	61928.0	59355.0	55759.0	56815.0	56957.0	51680.0	42584.0	57228.0	55182.0	57100.0	62475.0	58836.0	0.0	29987.0	59078.0	58849.0	60502.0	62960.0	61786.0	62204.0	58908.0
BritoIL_2016__W2.6.ST__bin.27	24721.0	25576.0	26243.0	25414.0	22577.0	25056.0	26896.0	26272.0	26236.0	26195.0	25140.0	27077.0	21161.0	16736.0	24588.0	24007.0	24956.0	24720.0	20858.0	25607.0	23154.0	27761.0	25067.0	21253.0	24668.0	24331.0	23294.0	19979.0	26800.0	23569.0	27082.0	26370.0	26821.0	29987.0	0.0	27514.0	26149.0	24398.0	26436.0	26391.0	26231.0	25867.0
LiJ_2014__V1.CD40-0__bin.15	49708.0	52951.0	51823.0	52302.0	44691.0	49522.0	53704.0	52989.0	50477.0	52106.0	48761.0	49514.0	40210.0	31598.0	47945.0	45216.0	51565.0	49575.0	39637.0	51114.0	39378.0	54770.0	52132.0	46864.0	49108.0	48740.0	44755.0	38134.0	52855.0	48213.0	55983.0	53647.0	50977.0	59078.0	27514.0	0.0	52076.0	50821.0	54299.0	55281.0	52522.0	51055.0
ChengpingW_2017__AS128raw__bin.44	51150.0	57032.0	55225.0	54690.0	46022.0	51366.0	57996.0	54935.0	30735.0	55376.0	50407.0	40597.0	36700.0	34856.0	46757.0	48984.0	48576.0	35352.0	42508.0	55453.0	46667.0	31003.0	55253.0	52305.0	52704.0	49371.0	48076.0	39769.0	30940.0	52361.0	58454.0	57279.0	39915.0	58849.0	26149.0	52076.0	0.0	53564.0	60050.0	59422.0	55166.0	49682.0
LeChatelierE_2013__MH0422__bin.22	49498.0	50796.0	52025.0	48017.0	40939.0	46513.0	53483.0	51308.0	52937.0	51608.0	48922.0	50368.0	42499.0	30746.0	47441.0	46257.0	50065.0	50302.0	37890.0	48806.0	49601.0	58141.0	48930.0	45681.0	49324.0	48137.0	42432.0	38132.0	54593.0	45459.0	53025.0	50551.0	50984.0	60502.0	24398.0	50821.0	53564.0	0.0	51409.0	50898.0	50369.0	50188.0
XieH_2016__YSZC12003_35563__bin.34	52263.0	53470.0	56848.0	51443.0	43684.0	48773.0	56847.0	54134.0	57249.0	56569.0	53457.0	55306.0	45158.0	32301.0	51893.0	50427.0	54528.0	54655.0	42061.0	12570.0	50816.0	62298.0	51143.0	46562.0	50033.0	52206.0	45130.0	40317.0	57540.0	47437.0	54434.0	53211.0	56169.0	62960.0	26436.0	54299.0	60050.0	51409.0	0.0	51309.0	56739.0	55147.0
XieH_2016__YSZC12003_37314__bin.63	52812.0	53621.0	56011.0	49891.0	43860.0	46725.0	57780.0	52741.0	58186.0	56261.0	53576.0	57183.0	46275.0	31273.0	50971.0	49864.0	53852.0	53704.0	41400.0	48329.0	51376.0	63243.0	51578.0	45579.0	50456.0	51951.0	45135.0	39762.0	59673.0	46033.0	53885.0	51606.0	55302.0	61786.0	26391.0	55281.0	59422.0	50898.0	51309.0	0.0	57456.0	54803.0
CosteaPI_2017__SID713A063-11-90-0__bin.50	51036.0	55168.0	56019.0	51583.0	44866.0	48875.0	56852.0	53476.0	53622.0	55790.0	51527.0	52446.0	42822.0	32651.0	48472.0	49883.0	50276.0	52477.0	39828.0	53324.0	50340.0	59145.0	53193.0	46850.0	51674.0	51021.0	46557.0	39311.0	55086.0	47754.0	56955.0	54081.0	53388.0	62204.0	26231.0	52522.0	55166.0	50369.0	56739.0	57456.0	0.0	52325.0
ZeeviD_2015__PNP_Main_475__bin.20	49970.0	52881.0	53350.0	52460.0	43612.0	48850.0	55047.0	52572.0	49905.0	53398.0	47602.0	48361.0	39488.0	32209.0	45708.0	47310.0	51456.0	48160.0	38769.0	51488.0	45155.0	52608.0	51442.0	46785.0	49531.0	44658.0	44441.0	37501.0	50722.0	47248.0	55959.0	53370.0	49970.0	58908.0	25867.0	51055.0	49682.0	50188.0	55147.0	54803.0	52325.0	0.0
