	YuJ_2015__SZAXPI003420-4__bin.42	LeChatelierE_2013__MH0445__bin.27	NielsenHB_2014__O2_UC51_2__bin.22	FengQ_2015__SID530167__bin.19	CosteaPI_2017__mickey3-11-7-0__bin.1	LiJ_2014__MH0238__bin.36	LiJ_2014__MH0328__bin.2	LiJ_2014__MH0395__bin.62	XieH_2016__YSZC12003_37651__bin.23	HMP_2012__SRS022524__bin.26	KarlssonFH_2013__S463__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.51	BackhedF_2015__SID582_M__bin.20	KarlssonFH_2013__S131__bin.32	ZeeviD_2015__PNP_Main_712__bin.62	FengQ_2015__SID530295__bin.40	CosteaPI_2017__SID713B016-11-90-0__bin.47	ZeeviD_2015__PNP_Validation_72__bin.26	LeChatelierE_2013__MH0196__bin.15	LeChatelierE_2013__MH0302__bin.32	LiJ_2014__MH0402__bin.5	HMP_2012__SRS019685__bin.21	NielsenHB_2014__MH0102__bin.6	HMP_2012__SRS014235__bin.79	KarlssonFH_2013__S60__bin.40	KarlssonFH_2013__S88__bin.42	KarlssonFH_2013__S487__bin.25	KarlssonFH_2013__S424__bin.23	XieH_2016__YSZC12003_37583__bin.2	BackhedF_2015__SID599_M__bin.5	XieH_2016__YSZC12003_37314__bin.5	XieH_2016__YSZC12003_37097__bin.7	XieH_2016__YSZC12003_36695__bin.83	LiJ_2014__MH0309__bin.19	LeChatelierE_2013__MH0102__bin.23	ZeeviD_2015__PNP_Main_564__bin.29	XieH_2016__YSZC12003_35698__bin.36
KarlssonFH_2013__S463__bin.27	8431.0	8251.0	7647.0	6666.0	9374.0	7534.0	7852.0	7165.0	5579.0	8883.0	0.0	6222.0	7581.0	7729.0	6669.0	3167.0	6903.0	6946.0	6324.0	8766.0	7034.0	8199.0	7574.0	7612.0	7180.0	7897.0	6556.0	6916.0	7294.0	7410.0	7160.0	6520.0	7318.0	7161.0	7698.0	6369.0	7025.0
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.51	7805.0	8875.0	7622.0	7724.0	8940.0	7965.0	6248.0	9026.0	5545.0	8941.0	6222.0	0.0	8726.0	7357.0	7494.0	3530.0	6871.0	8358.0	6271.0	9070.0	6914.0	8158.0	8659.0	7473.0	8116.0	8315.0	7223.0	7615.0	8615.0	7584.0	7364.0	6408.0	7803.0	7524.0	8769.0	7883.0	7680.0
BackhedF_2015__SID582_M__bin.20	7995.0	7617.0	6676.0	7482.0	8535.0	7715.0	7356.0	6595.0	5915.0	9570.0	7581.0	8726.0	0.0	7434.0	7682.0	3488.0	6713.0	7749.0	7219.0	9021.0	7206.0	9713.0	2797.0	9152.0	5524.0	7604.0	6592.0	6751.0	7887.0	6909.0	7668.0	7847.0	4024.0	6725.0	2803.0	8244.0	5507.0
KarlssonFH_2013__S131__bin.32	7999.0	6722.0	6653.0	7556.0	7673.0	7581.0	6723.0	5992.0	4762.0	8395.0	7729.0	7357.0	7434.0	0.0	7289.0	3367.0	6098.0	6997.0	6220.0	8252.0	6788.0	7579.0	7386.0	7120.0	7564.0	6768.0	5682.0	6946.0	8480.0	7068.0	6222.0	6775.0	7230.0	7386.0	7500.0	6887.0	6825.0
ZeeviD_2015__PNP_Main_712__bin.62	7964.0	7599.0	7263.0	6660.0	9148.0	6914.0	6941.0	9438.0	5738.0	9255.0	6669.0	7494.0	7682.0	7289.0	0.0	3243.0	8028.0	7684.0	7311.0	8971.0	6459.0	8574.0	7032.0	7931.0	8289.0	9108.0	7369.0	6660.0	7959.0	6781.0	6533.0	6127.0	6369.0	7081.0	7171.0	7157.0	7053.0
FengQ_2015__SID530295__bin.40	3858.0	3407.0	3323.0	2633.0	4435.0	3710.0	4514.0	3363.0	3017.0	5373.0	3167.0	3530.0	3488.0	3367.0	3243.0	0.0	3501.0	3058.0	3151.0	4653.0	2650.0	4520.0	3128.0	4377.0	3521.0	3418.0	2982.0	3633.0	4076.0	3367.0	3572.0	3421.0	3186.0	3932.0	3149.0	3627.0	3272.0
CosteaPI_2017__SID713B016-11-90-0__bin.47	7865.0	5930.0	7167.0	6802.0	8330.0	6741.0	6878.0	6278.0	4265.0	8688.0	6903.0	6871.0	6713.0	6098.0	8028.0	3501.0	0.0	6081.0	6973.0	8704.0	6833.0	8061.0	6476.0	7504.0	7233.0	8314.0	4839.0	5096.0	9110.0	6419.0	6493.0	5733.0	7343.0	6866.0	7007.0	9100.0	6096.0
ZeeviD_2015__PNP_Validation_72__bin.26	8007.0	7180.0	7282.0	6074.0	8449.0	6914.0	7041.0	10303.0	4726.0	9472.0	6946.0	8358.0	7749.0	6997.0	7684.0	3058.0	6081.0	0.0	5215.0	8450.0	5154.0	9007.0	7920.0	8550.0	7076.0	9484.0	6625.0	6570.0	7932.0	6631.0	6875.0	7014.0	7775.0	6162.0	8093.0	7163.0	6425.0
LeChatelierE_2013__MH0196__bin.15	7980.0	8208.0	7144.0	5620.0	8848.0	6776.0	7679.0	7780.0	5357.0	8864.0	6324.0	6271.0	7219.0	6220.0	7311.0	3151.0	6973.0	5215.0	0.0	8588.0	4962.0	8082.0	6382.0	7678.0	7492.0	8471.0	5900.0	5855.0	7219.0	6886.0	7161.0	6680.0	6940.0	6609.0	6629.0	7114.0	6240.0
LeChatelierE_2013__MH0302__bin.32	8686.0	9697.0	7769.0	9896.0	7329.0	9235.0	7639.0	9442.0	5942.0	8663.0	8766.0	9070.0	9021.0	8252.0	8971.0	4653.0	8704.0	8450.0	8588.0	0.0	9170.0	7599.0	8947.0	7369.0	8847.0	9142.0	8544.0	8645.0	8998.0	8761.0	8258.0	8123.0	8444.0	9850.0	9043.0	8707.0	8531.0
LiJ_2014__MH0402__bin.5	8344.0	9543.0	6506.0	3403.0	9027.0	7165.0	7621.0	7948.0	5515.0	8964.0	7034.0	6914.0	7206.0	6788.0	6459.0	2650.0	6833.0	5154.0	4962.0	9170.0	0.0	8225.0	6512.0	7765.0	5950.0	8083.0	6681.0	6931.0	7512.0	7220.0	7590.0	10826.0	7235.0	6607.0	6644.0	6041.0	5602.0
HMP_2012__SRS019685__bin.21	8590.0	9404.0	7404.0	9329.0	6870.0	8748.0	7144.0	8734.0	5647.0	5257.0	8199.0	8158.0	9713.0	7579.0	8574.0	4520.0	8061.0	9007.0	8082.0	7599.0	8225.0	0.0	9459.0	184.0	8751.0	7210.0	7869.0	8491.0	8834.0	7977.0	8241.0	8311.0	8143.0	8291.0	9588.0	7927.0	8226.0
NielsenHB_2014__MH0102__bin.6	8121.0	7616.0	6579.0	7600.0	8274.0	6857.0	6981.0	6725.0	5246.0	9335.0	7574.0	8659.0	2797.0	7386.0	7032.0	3128.0	6476.0	7920.0	6382.0	8947.0	6512.0	9459.0	0.0	9055.0	4556.0	7875.0	6830.0	7416.0	7673.0	7155.0	7130.0	7227.0	1955.0	6669.0	50.0	7394.0	3715.0
HMP_2012__SRS014235__bin.79	7761.0	8618.0	7052.0	8832.0	6369.0	7810.0	6662.0	8301.0	5213.0	4807.0	7612.0	7473.0	9152.0	7120.0	7931.0	4377.0	7504.0	8550.0	7678.0	7369.0	7765.0	184.0	9055.0	0.0	8250.0	6831.0	7605.0	7932.0	8372.0	7445.0	7648.0	7767.0	7388.0	7767.0	9043.0	7439.0	7855.0
KarlssonFH_2013__S60__bin.40	7418.0	7336.0	5746.0	6132.0	8363.0	6643.0	7089.0	7592.0	5984.0	8424.0	7180.0	8116.0	5524.0	7564.0	8289.0	3521.0	7233.0	7076.0	7492.0	8847.0	5950.0	8751.0	4556.0	8250.0	0.0	8735.0	6516.0	6755.0	7251.0	6967.0	7500.0	7188.0	5385.0	6917.0	4684.0	7060.0	1935.0
KarlssonFH_2013__S88__bin.42	9032.0	8751.0	7657.0	7575.0	7586.0	8461.0	6628.0	10892.0	4559.0	9459.0	7897.0	8315.0	7604.0	6768.0	9108.0	3418.0	8314.0	9484.0	8471.0	9142.0	8083.0	7210.0	7875.0	6831.0	8735.0	0.0	6864.0	7371.0	9065.0	7013.0	6052.0	7800.0	7692.0	8037.0	7913.0	7773.0	7405.0
KarlssonFH_2013__S487__bin.25	7064.0	5641.0	5779.0	6421.0	8393.0	6520.0	6074.0	3350.0	5440.0	8043.0	6556.0	7223.0	6592.0	5682.0	7369.0	2982.0	4839.0	6625.0	5900.0	8544.0	6681.0	7869.0	6830.0	7605.0	6516.0	6864.0	0.0	5355.0	7834.0	5622.0	6657.0	6327.0	7307.0	6570.0	6830.0	6863.0	6217.0
KarlssonFH_2013__S424__bin.23	8223.0	6903.0	6812.0	7324.0	8944.0	6971.0	6568.0	5584.0	5679.0	8097.0	6916.0	7615.0	6751.0	6946.0	6660.0	3633.0	5096.0	6570.0	5855.0	8645.0	6931.0	8491.0	7416.0	7932.0	6755.0	7371.0	5355.0	0.0	8518.0	6176.0	6782.0	5859.0	7466.0	6724.0	7541.0	6990.0	6582.0
XieH_2016__YSZC12003_37583__bin.2	7790.0	8663.0	8783.0	7740.0	8120.0	7676.0	7460.0	8730.0	5707.0	9451.0	7294.0	8615.0	7887.0	8480.0	7959.0	4076.0	9110.0	7932.0	7219.0	8998.0	7512.0	8834.0	7673.0	8372.0	7251.0	9065.0	7834.0	8518.0	0.0	8481.0	7884.0	6996.0	7590.0	8612.0	7880.0	8660.0	7490.0
BackhedF_2015__SID599_M__bin.5	8733.0	7111.0	7562.0	7227.0	8604.0	7428.0	6652.0	5919.0	5966.0	8194.0	7410.0	7584.0	6909.0	7068.0	6781.0	3367.0	6419.0	6631.0	6886.0	8761.0	7220.0	7977.0	7155.0	7445.0	6967.0	7013.0	5622.0	6176.0	8481.0	0.0	7126.0	6321.0	7813.0	7384.0	7182.0	6982.0	6959.0
XieH_2016__YSZC12003_37314__bin.5	7564.0	7471.0	6888.0	7296.0	8012.0	7576.0	6741.0	6795.0	3941.0	8911.0	7160.0	7364.0	7668.0	6222.0	6533.0	3572.0	6493.0	6875.0	7161.0	8258.0	7590.0	8241.0	7130.0	7648.0	7500.0	6052.0	6657.0	6782.0	7884.0	7126.0	0.0	6889.0	7379.0	7097.0	7182.0	7516.0	7191.0
XieH_2016__YSZC12003_37097__bin.7	7649.0	7493.0	5332.0	6306.0	9662.0	6350.0	6935.0	7196.0	5516.0	8196.0	6520.0	6408.0	7847.0	6775.0	6127.0	3421.0	5733.0	7014.0	6680.0	8123.0	10826.0	8311.0	7227.0	7767.0	7188.0	7800.0	6327.0	5859.0	6996.0	6321.0	6889.0	0.0	7450.0	6595.0	7230.0	6510.0	6974.0
XieH_2016__YSZC12003_36695__bin.83	7782.0	7879.0	8010.0	7474.0	8123.0	7649.0	7219.0	7532.0	5133.0	8355.0	7318.0	7803.0	4024.0	7230.0	6369.0	3186.0	7343.0	7775.0	6940.0	8444.0	7235.0	8143.0	1955.0	7388.0	5385.0	7692.0	7307.0	7466.0	7590.0	7813.0	7379.0	7450.0	0.0	7178.0	2055.0	7383.0	4986.0
LiJ_2014__MH0309__bin.19	7788.0	7963.0	8581.0	7034.0	9051.0	7229.0	7451.0	6863.0	5449.0	9382.0	7161.0	7524.0	6725.0	7386.0	7081.0	3932.0	6866.0	6162.0	6609.0	9850.0	6607.0	8291.0	6669.0	7767.0	6917.0	8037.0	6570.0	6724.0	8612.0	7384.0	7097.0	6595.0	7178.0	0.0	6925.0	9579.0	6645.0
LeChatelierE_2013__MH0102__bin.23	8299.0	7742.0	7139.0	7777.0	8303.0	6939.0	7083.0	6793.0	5264.0	9503.0	7698.0	8769.0	2803.0	7500.0	7171.0	3149.0	7007.0	8093.0	6629.0	9043.0	6644.0	9588.0	50.0	9043.0	4684.0	7913.0	6830.0	7541.0	7880.0	7182.0	7182.0	7230.0	2055.0	6925.0	0.0	7452.0	3800.0
ZeeviD_2015__PNP_Main_564__bin.29	8796.0	7850.0	8986.0	6110.0	8382.0	6032.0	6705.0	6624.0	6186.0	9559.0	6369.0	7883.0	8244.0	6887.0	7157.0	3627.0	9100.0	7163.0	7114.0	8707.0	6041.0	7927.0	7394.0	7439.0	7060.0	7773.0	6863.0	6990.0	8660.0	6982.0	7516.0	6510.0	7383.0	9579.0	7452.0	0.0	7039.0
XieH_2016__YSZC12003_35698__bin.36	7830.0	6972.0	6235.0	6049.0	8184.0	6653.0	6755.0	6353.0	5921.0	8588.0	7025.0	7680.0	5507.0	6825.0	7053.0	3272.0	6096.0	6425.0	6240.0	8531.0	5602.0	8226.0	3715.0	7855.0	1935.0	7405.0	6217.0	6582.0	7490.0	6959.0	7191.0	6974.0	4986.0	6645.0	3800.0	7039.0	0.0
