	YuJ_2015__SZAXPI003420-4__bin.42	LeChatelierE_2013__MH0445__bin.27	NielsenHB_2014__O2_UC51_2__bin.22	FengQ_2015__SID530167__bin.19	CosteaPI_2017__mickey3-11-7-0__bin.1	LiJ_2014__MH0238__bin.36	LiJ_2014__MH0328__bin.2	LiJ_2014__MH0395__bin.62	XieH_2016__YSZC12003_37651__bin.23	HMP_2012__SRS022524__bin.26	KarlssonFH_2013__S463__bin.27	Bengtsson-PalmeJ_2015__TRAVELRES1__bin.51	BackhedF_2015__SID582_M__bin.20	KarlssonFH_2013__S131__bin.32	ZeeviD_2015__PNP_Main_712__bin.62	FengQ_2015__SID530295__bin.40	CosteaPI_2017__SID713B016-11-90-0__bin.47	ZeeviD_2015__PNP_Validation_72__bin.26	LeChatelierE_2013__MH0196__bin.15	LeChatelierE_2013__MH0302__bin.32	LiJ_2014__MH0402__bin.5	HMP_2012__SRS019685__bin.21	NielsenHB_2014__MH0102__bin.6	HMP_2012__SRS014235__bin.79	KarlssonFH_2013__S60__bin.40	KarlssonFH_2013__S88__bin.42	KarlssonFH_2013__S487__bin.25	KarlssonFH_2013__S424__bin.23	XieH_2016__YSZC12003_37583__bin.2	BackhedF_2015__SID599_M__bin.5	XieH_2016__YSZC12003_37314__bin.5	XieH_2016__YSZC12003_37097__bin.7	XieH_2016__YSZC12003_36695__bin.83	LiJ_2014__MH0309__bin.19	LeChatelierE_2013__MH0102__bin.23	ZeeviD_2015__PNP_Main_564__bin.29	XieH_2016__YSZC12003_35698__bin.36
KarlssonFH_2013__S463__bin.27	1130543.0	1161394.0	1125013.0	1140674.0	904273.0	1146876.0	970645.0	1151154.0	778376.0	1034520.0	1332715.0	1171949.0	1120304.0	1133114.0	1131747.0	806155.0	1141253.0	1089575.0	1167354.0	927642.0	1134502.0	1126529.0	1109981.0	1025209.0	1119890.0	1161532.0	1138012.0	1161491.0	1161470.0	1147673.0	1153960.0	1140251.0	1137510.0	1169769.0	1122600.0	1135089.0	1077537.0
Bengtsson-PalmeJ_2015__TRAVELRES1__bin.51	1119841.0	1152661.0	1099051.0	1132259.0	910280.0	1155697.0	957264.0	1146124.0	780266.0	1026783.0	1171949.0	1318863.0	1133931.0	1103635.0	1118391.0	794819.0	1134317.0	1095019.0	1129256.0	933176.0	1126029.0	1124347.0	1111541.0	1021643.0	1117704.0	1151939.0	1122277.0	1154475.0	1146154.0	1143844.0	1134300.0	1133457.0	1122847.0	1171406.0	1120804.0	1128877.0	1080299.0
BackhedF_2015__SID582_M__bin.20	1140312.0	1135084.0	1107297.0	1112322.0	909009.0	1129128.0	927321.0	1112287.0	759094.0	1002003.0	1120304.0	1133931.0	1299285.0	1084901.0	1131926.0	802625.0	1121463.0	1085648.0	1113187.0	894639.0	1100767.0	1077965.0	1231151.0	972027.0	1192790.0	1157427.0	1093379.0	1127909.0	1151924.0	1122043.0	1123109.0	1144944.0	1245740.0	1134691.0	1239582.0	1143881.0	1154115.0
KarlssonFH_2013__S131__bin.32	1113144.0	1161663.0	1096554.0	1125665.0	884981.0	1136550.0	932772.0	1126127.0	762458.0	997627.0	1133114.0	1103635.0	1084901.0	1230446.0	1106722.0	784327.0	1122325.0	1061702.0	1130224.0	895155.0	1103498.0	1086293.0	1073624.0	978555.0	1105765.0	1125461.0	1089450.0	1140125.0	1117060.0	1133144.0	1169803.0	1105296.0	1088443.0	1145539.0	1085125.0	1120666.0	1061354.0
ZeeviD_2015__PNP_Main_712__bin.62	1153641.0	1137881.0	1132045.0	1125753.0	893004.0	1139512.0	937747.0	1111587.0	764521.0	994075.0	1131747.0	1118391.0	1131926.0	1106722.0	1364678.0	807416.0	1140852.0	1097168.0	1150427.0	897498.0	1119953.0	1077236.0	1123497.0	978239.0	1151572.0	1136130.0	1084349.0	1153735.0	1152690.0	1128755.0	1131134.0	1172715.0	1136931.0	1147341.0	1132036.0	1161553.0	1113591.0
FengQ_2015__SID530295__bin.40	800963.0	803166.0	785793.0	812544.0	673200.0	806177.0	705505.0	797595.0	569545.0	726555.0	806155.0	794819.0	802625.0	784327.0	807416.0	826894.0	806718.0	770482.0	807201.0	686563.0	802446.0	800904.0	795662.0	744092.0	809285.0	803033.0	788877.0	808966.0	803270.0	804690.0	813511.0	808278.0	802853.0	809922.0	801154.0	804291.0	792399.0
CosteaPI_2017__SID713B016-11-90-0__bin.47	1140102.0	1155038.0	1140653.0	1146533.0	908622.0	1143507.0	949393.0	1154312.0	786132.0	1051657.0	1141253.0	1134317.0	1121463.0	1122325.0	1140852.0	806718.0	1350694.0	1078292.0	1203588.0	918483.0	1139953.0	1103261.0	1126357.0	996589.0	1147835.0	1154007.0	1131665.0	1165149.0	1198408.0	1159370.0	1162920.0	1141055.0	1153736.0	1194207.0	1141125.0	1141104.0	1112936.0
ZeeviD_2015__PNP_Validation_72__bin.26	1095746.0	1114264.0	1078142.0	1106052.0	861618.0	1096001.0	901772.0	1085489.0	721374.0	968248.0	1089575.0	1095019.0	1085648.0	1061702.0	1097168.0	770482.0	1078292.0	1242149.0	1117232.0	854676.0	1090677.0	1049076.0	1075041.0	944916.0	1093810.0	1100300.0	1051857.0	1118175.0	1094357.0	1087635.0	1090399.0	1107503.0	1079132.0	1111529.0	1087836.0	1104711.0	1052017.0
LeChatelierE_2013__MH0196__bin.15	1150790.0	1190933.0	1141443.0	1164329.0	910132.0	1152775.0	962652.0	1134636.0	781831.0	1040501.0	1167354.0	1129256.0	1113187.0	1130224.0	1150427.0	807201.0	1203588.0	1117232.0	1317088.0	917435.0	1193039.0	1112189.0	1100046.0	1008307.0	1130495.0	1163968.0	1110333.0	1160155.0	1148092.0	1153894.0	1168030.0	1143015.0	1111231.0	1182419.0	1115184.0	1146932.0	1083074.0
LeChatelierE_2013__MH0302__bin.32	892231.0	935204.0	883865.0	912788.0	839392.0	925020.0	817523.0	895077.0	643061.0	877915.0	927642.0	933176.0	894639.0	895155.0	897498.0	686563.0	918483.0	854676.0	917435.0	1173108.0	901097.0	950491.0	879197.0	882513.0	878835.0	939481.0	897090.0	919358.0	913644.0	907619.0	924223.0	897485.0	900415.0	930463.0	889852.0	893418.0	862447.0
LiJ_2014__MH0402__bin.5	1125981.0	1162640.0	1095352.0	1179701.0	891434.0	1140551.0	939763.0	1111495.0	760470.0	997165.0	1134502.0	1126029.0	1100767.0	1103498.0	1119953.0	802446.0	1139953.0	1090677.0	1193039.0	901097.0	1400735.0	1083769.0	1086961.0	991061.0	1112823.0	1134393.0	1092122.0	1147920.0	1111518.0	1156598.0	1141159.0	1185253.0	1100057.0	1163720.0	1100759.0	1124518.0	1092247.0
HMP_2012__SRS019685__bin.21	1099750.0	1130736.0	1066761.0	1113883.0	937965.0	1109610.0	960434.0	1095186.0	780644.0	1080228.0	1126529.0	1124347.0	1077965.0	1086293.0	1077236.0	800904.0	1103261.0	1049076.0	1112189.0	950491.0	1083769.0	1266017.0	1075462.0	1113910.0	1082827.0	1124048.0	1082572.0	1109817.0	1112445.0	1102011.0	1127896.0	1084253.0	1073294.0	1118839.0	1082143.0	1091019.0	1033412.0
NielsenHB_2014__MH0102__bin.6	1137123.0	1123833.0	1100867.0	1101429.0	905372.0	1117712.0	922740.0	1099507.0	750855.0	992864.0	1109981.0	1111541.0	1231151.0	1073624.0	1123497.0	795662.0	1126357.0	1075041.0	1100046.0	879197.0	1086961.0	1075462.0	1360729.0	973859.0	1161179.0	1139093.0	1084632.0	1118310.0	1147411.0	1113387.0	1119530.0	1132667.0	1219036.0	1125611.0	1358411.0	1157381.0	1120616.0
HMP_2012__SRS014235__bin.79	989194.0	1022817.0	967012.0	1010697.0	865208.0	1004824.0	889736.0	990986.0	708924.0	982229.0	1025209.0	1021643.0	972027.0	978555.0	978239.0	744092.0	996589.0	944916.0	1008307.0	882513.0	991061.0	1113910.0	973859.0	1153203.0	974742.0	1015238.0	985785.0	1004680.0	1010814.0	1000413.0	1020969.0	979474.0	966730.0	1014959.0	979320.0	984733.0	945016.0
KarlssonFH_2013__S60__bin.40	1147281.0	1147604.0	1130195.0	1138662.0	882545.0	1137823.0	935301.0	1143066.0	759922.0	1000468.0	1119890.0	1117704.0	1192790.0	1105765.0	1151572.0	809285.0	1147835.0	1093810.0	1130495.0	878835.0	1112823.0	1082827.0	1161179.0	974742.0	1275854.0	1139601.0	1098421.0	1143470.0	1147975.0	1138752.0	1147046.0	1170698.0	1167100.0	1148199.0	1169678.0	1182259.0	1175653.0
KarlssonFH_2013__S88__bin.42	1127533.0	1176600.0	1109746.0	1134878.0	946992.0	1146269.0	955647.0	1203642.0	779943.0	1037712.0	1161532.0	1151939.0	1157427.0	1125461.0	1136130.0	803033.0	1154007.0	1100300.0	1163968.0	939481.0	1134393.0	1124048.0	1139093.0	1015238.0	1139601.0	1432061.0	1123678.0	1162033.0	1145780.0	1155552.0	1164760.0	1134890.0	1158540.0	1162060.0	1147386.0	1140839.0	1082826.0
KarlssonFH_2013__S487__bin.25	1087886.0	1129343.0	1082052.0	1104401.0	883391.0	1116932.0	922487.0	1147567.0	745561.0	991023.0	1138012.0	1122277.0	1093379.0	1089450.0	1084349.0	788877.0	1131665.0	1051857.0	1110333.0	897090.0	1092122.0	1082572.0	1084632.0	985785.0	1098421.0	1123678.0	1201272.0	1124164.0	1105059.0	1124492.0	1122778.0	1095145.0	1088710.0	1131446.0	1092408.0	1100083.0	1082903.0
KarlssonFH_2013__S424__bin.23	1143597.0	1189867.0	1131573.0	1157922.0	909829.0	1173652.0	952999.0	1148159.0	786196.0	1032211.0	1161491.0	1154475.0	1127909.0	1140125.0	1153735.0	808966.0	1165149.0	1118175.0	1160155.0	919358.0	1147920.0	1109817.0	1118310.0	1004680.0	1143470.0	1162033.0	1124164.0	1255218.0	1161507.0	1189207.0	1167622.0	1164591.0	1130121.0	1173751.0	1126718.0	1149738.0	1114679.0
XieH_2016__YSZC12003_37583__bin.2	1183517.0	1142540.0	1168965.0	1126237.0	897060.0	1154714.0	947886.0	1123264.0	776683.0	1060295.0	1161470.0	1146154.0	1151924.0	1117060.0	1152690.0	803270.0	1198408.0	1094357.0	1148092.0	913644.0	1111518.0	1112445.0	1147411.0	1010814.0	1147975.0	1145780.0	1105059.0	1161507.0	1504362.0	1151495.0	1141206.0	1159852.0	1169005.0	1169993.0	1160608.0	1171418.0	1117864.0
BackhedF_2015__SID599_M__bin.5	1161451.0	1170442.0	1131101.0	1144595.0	896438.0	1168136.0	946696.0	1142008.0	778529.0	1027788.0	1147673.0	1143844.0	1122043.0	1133144.0	1128755.0	804690.0	1159370.0	1087635.0	1153894.0	907619.0	1156598.0	1102011.0	1113387.0	1000413.0	1138752.0	1155552.0	1124492.0	1189207.0	1151495.0	1459840.0	1161940.0	1152429.0	1125518.0	1171582.0	1121703.0	1141963.0	1105548.0
XieH_2016__YSZC12003_37314__bin.5	1142428.0	1187613.0	1116051.0	1157575.0	922182.0	1158729.0	965826.0	1139924.0	792455.0	1039155.0	1153960.0	1134300.0	1123109.0	1169803.0	1131134.0	813511.0	1162920.0	1090399.0	1168030.0	924223.0	1141159.0	1127896.0	1119530.0	1020969.0	1147046.0	1164760.0	1122778.0	1167622.0	1141206.0	1161940.0	1333049.0	1141727.0	1123238.0	1183286.0	1128030.0	1160512.0	1100978.0
XieH_2016__YSZC12003_37097__bin.7	1163016.0	1165226.0	1149642.0	1133070.0	888166.0	1150849.0	942930.0	1115889.0	770077.0	1008825.0	1140251.0	1133457.0	1144944.0	1105296.0	1172715.0	808278.0	1141055.0	1107503.0	1143015.0	897485.0	1185253.0	1084253.0	1132667.0	979474.0	1170698.0	1134890.0	1095145.0	1164591.0	1159852.0	1152429.0	1141727.0	1314055.0	1152067.0	1153683.0	1142055.0	1167917.0	1138928.0
XieH_2016__YSZC12003_36695__bin.83	1143408.0	1129989.0	1115479.0	1108165.0	911967.0	1136406.0	936938.0	1104407.0	761910.0	1000453.0	1137510.0	1122847.0	1245740.0	1088443.0	1136931.0	802853.0	1153736.0	1079132.0	1111231.0	900415.0	1100057.0	1073294.0	1219036.0	966730.0	1167100.0	1158540.0	1088710.0	1130121.0	1169005.0	1125518.0	1123238.0	1152067.0	1315434.0	1141643.0	1247467.0	1142092.0	1130932.0
LiJ_2014__MH0309__bin.19	1169210.0	1192576.0	1157478.0	1168839.0	926042.0	1196600.0	973190.0	1146863.0	797195.0	1050845.0	1169769.0	1171406.0	1134691.0	1145539.0	1147341.0	809922.0	1194207.0	1111529.0	1182419.0	930463.0	1163720.0	1118839.0	1125611.0	1014959.0	1148199.0	1162060.0	1131446.0	1173751.0	1169993.0	1171582.0	1183286.0	1153683.0	1141643.0	1323465.0	1135938.0	1165979.0	1112811.0
LeChatelierE_2013__MH0102__bin.23	1148403.0	1132355.0	1115954.0	1112943.0	909755.0	1126055.0	927366.0	1107682.0	751121.0	1004591.0	1122600.0	1120804.0	1239582.0	1085125.0	1132036.0	801154.0	1141125.0	1087836.0	1115184.0	889852.0	1100759.0	1082143.0	1358411.0	979320.0	1169678.0	1147386.0	1092408.0	1126718.0	1160608.0	1121703.0	1128030.0	1142055.0	1247467.0	1135938.0	1393004.0	1168561.0	1129827.0
ZeeviD_2015__PNP_Main_564__bin.29	1164574.0	1146084.0	1156608.0	1152771.0	888426.0	1154520.0	945369.0	1125436.0	771626.0	1017032.0	1135089.0	1128877.0	1143881.0	1120666.0	1161553.0	804291.0	1141104.0	1104711.0	1146932.0	893418.0	1124518.0	1091019.0	1157381.0	984733.0	1182259.0	1140839.0	1100083.0	1149738.0	1171418.0	1141963.0	1160512.0	1167917.0	1142092.0	1165979.0	1168561.0	1340413.0	1122636.0
XieH_2016__YSZC12003_35698__bin.36	1111791.0	1103781.0	1091271.0	1082127.0	859026.0	1103512.0	903018.0	1072007.0	738564.0	965755.0	1077537.0	1080299.0	1154115.0	1061354.0	1113591.0	792399.0	1112936.0	1052017.0	1083074.0	862447.0	1092247.0	1033412.0	1120616.0	945016.0	1175653.0	1082826.0	1082903.0	1114679.0	1117864.0	1105548.0	1100978.0	1138928.0	1130932.0	1112811.0	1129827.0	1122636.0	1198096.0
