	BritoIL_2016__W3.20.ST__bin.21	BritoIL_2016__W2.61.ST__bin.18	Obregon-TitoAJ_2015__HCO74__bin.29	BritoIL_2016__W2.23.ST__bin.47	Obregon-TitoAJ_2015__SM31__bin.16	CM_madagascar__A47_01_1FE__bin.7	BritoIL_2016__W1.5.ST__bin.49	CM_madagascar__A46_02_1FE__bin.13	CM_madagascar__A04_04_1FE__bin.47	BritoIL_2016__WL.43.ST__bin.74	Obregon-TitoAJ_2015__SM43__bin.39	BritoIL_2016__W1.42.ST__bin.78	BritoIL_2016__WL.26.ST__bin.47	BritoIL_2016__W1.40.ST__bin.10	SmitsSA_2017__TZ_29321__bin.1	DavidLA_2015__LD-Run2-11__bin.7	BritoIL_2016__WL.28.ST__bin.21	CM_madagascar__A62_01_1FE__bin.65	BritoIL_2016__W1.22.ST__bin.59	BritoIL_2016__W1.9.ST__bin.49	BritoIL_2016__M1.48.ST__bin.96	CM_madagascar__V32_02_2FE__bin.3	RampelliS_2015__H24__bin.33	BritoIL_2016__W2.5.ST__bin.71	BritoIL_2016__WL.2.ST__bin.57	RampelliS_2015__H20__bin.18	BritoIL_2016__W1.21.ST__bin.42	RampelliS_2015__H10__bin.78	CM_madagascar__A40_02_1FE__bin.22	Obregon-TitoAJ_2015__HCO11__bin.31	CM_madagascar__A72_02_1FE__bin.10	BritoIL_2016__M1.24.ST__bin.70	CM_madagascar__A13_03_1FE__bin.44	BritoIL_2016__M2.37.ST__bin.7	BritoIL_2016__W2.39.ST__bin.74	RampelliS_2015__H8__bin.12	BritoIL_2016__W2.63.ST__bin.39	RampelliS_2015__H1__bin.43	CM_madagascar__A48_01_1FE__bin.10
DavidLA_2015__LD-Run2-11__bin.7	4119.0	4784.0	12914.0	11966.0	10737.0	12204.0	6040.0	12413.0	5955.0	6332.0	13023.0	6453.0	10902.0	8000.0	7471.0	0.0	11800.0	11006.0	6660.0	5675.0	4072.0	12889.0	15228.0	7176.0	10582.0	4425.0	13798.0	11029.0	11560.0	7666.0	13265.0	11189.0	9050.0	4972.0	10895.0	14876.0	11226.0	5643.0	7123.0
BritoIL_2016__WL.28.ST__bin.21	1365.0	1176.0	13784.0	5788.0	11400.0	14539.0	5782.0	14352.0	7192.0	2417.0	16643.0	3061.0	6368.0	7182.0	7720.0	11800.0	0.0	13575.0	725.0	5589.0	2305.0	15525.0	16866.0	3387.0	5844.0	4793.0	14076.0	12786.0	13794.0	7711.0	14064.0	7225.0	10840.0	2568.0	6644.0	18189.0	6634.0	5897.0	7915.0
CM_madagascar__A62_01_1FE__bin.65	4079.0	4800.0	13381.0	13277.0	10777.0	11801.0	5331.0	13005.0	6751.0	7278.0	16062.0	7218.0	13123.0	8712.0	7574.0	11006.0	13575.0	0.0	7347.0	5553.0	3613.0	12761.0	16217.0	7482.0	12822.0	4418.0	14845.0	12061.0	5952.0	7985.0	14225.0	13104.0	7094.0	5169.0	13844.0	17252.0	12522.0	5076.0	6375.0
BritoIL_2016__W1.22.ST__bin.59	1480.0	1086.0	7651.0	2345.0	6165.0	8060.0	5086.0	7461.0	6285.0	1540.0	8124.0	2349.0	3348.0	5140.0	5182.0	6660.0	725.0	7347.0	0.0	5226.0	1884.0	8241.0	8922.0	2348.0	3676.0	4774.0	6975.0	7672.0	7007.0	6146.0	7415.0	3417.0	5920.0	2198.0	4239.0	10192.0	3336.0	5219.0	5007.0
BritoIL_2016__W1.9.ST__bin.49	4170.0	4673.0	6157.0	5582.0	5452.0	6307.0	3991.0	5573.0	6193.0	3444.0	7666.0	4012.0	5421.0	5581.0	3810.0	5675.0	5589.0	5553.0	5226.0	0.0	3875.0	6608.0	5977.0	4353.0	5413.0	3711.0	4841.0	5253.0	6287.0	4073.0	5276.0	5707.0	4831.0	3757.0	5160.0	7422.0	5093.0	4434.0	3816.0
BritoIL_2016__M1.48.ST__bin.96	2276.0	2416.0	4437.0	2912.0	3834.0	4937.0	4347.0	4347.0	4659.0	1136.0	4705.0	1924.0	2162.0	3121.0	3046.0	4072.0	2305.0	3613.0	1884.0	3875.0	0.0	4747.0	5034.0	1954.0	2675.0	3706.0	4149.0	4010.0	4515.0	3859.0	4380.0	2789.0	3508.0	1437.0	2564.0	5879.0	1936.0	4220.0	3372.0
CM_madagascar__V32_02_2FE__bin.3	4549.0	5526.0	15193.0	14837.0	12152.0	1055.0	6032.0	12517.0	7176.0	8612.0	16400.0	8526.0	15194.0	10435.0	8154.0	12889.0	15525.0	12761.0	8241.0	6608.0	4747.0	0.0	17627.0	8741.0	14573.0	4631.0	15464.0	13421.0	12549.0	8188.0	13980.0	15330.0	10792.0	5883.0	15463.0	18635.0	14795.0	6137.0	6808.0
RampelliS_2015__H24__bin.33	4988.0	6113.0	17262.0	16450.0	13779.0	16540.0	5392.0	15709.0	8558.0	8885.0	19252.0	9172.0	17056.0	11130.0	7642.0	15228.0	16866.0	16217.0	8922.0	5977.0	5034.0	17627.0	0.0	9643.0	16307.0	4796.0	16175.0	12264.0	16158.0	8800.0	16407.0	17260.0	12941.0	6378.0	17214.0	16633.0	16677.0	6666.0	8479.0
BritoIL_2016__W2.5.ST__bin.71	1263.0	1676.0	7751.0	4155.0	7283.0	8129.0	4165.0	8501.0	4853.0	2683.0	9190.0	2465.0	3998.0	4267.0	4975.0	7176.0	3387.0	7482.0	2348.0	4353.0	1954.0	8741.0	9643.0	0.0	2779.0	3190.0	7908.0	7620.0	8118.0	4601.0	8192.0	4034.0	6552.0	2191.0	2020.0	10159.0	3909.0	3919.0	5135.0
BritoIL_2016__WL.2.ST__bin.57	1851.0	2865.0	13053.0	6895.0	11437.0	13270.0	4673.0	13610.0	6505.0	2664.0	15343.0	3569.0	6324.0	7381.0	7245.0	10582.0	5844.0	12822.0	3676.0	5413.0	2675.0	14573.0	16307.0	2779.0	0.0	3968.0	13031.0	12325.0	13161.0	6689.0	13094.0	5456.0	10360.0	2615.0	1819.0	17362.0	6652.0	4757.0	7088.0
RampelliS_2015__H20__bin.18	3425.0	3925.0	4660.0	4730.0	4035.0	4316.0	3011.0	4498.0	4516.0	2816.0	5614.0	3600.0	4623.0	4813.0	2569.0	4425.0	4793.0	4418.0	4774.0	3711.0	3706.0	4631.0	4796.0	3190.0	3968.0	0.0	3609.0	3647.0	4979.0	3091.0	3605.0	4166.0	3896.0	2947.0	3831.0	5497.0	3965.0	183.0	2700.0
BritoIL_2016__W1.21.ST__bin.42	3513.0	4704.0	13419.0	12975.0	11497.0	14300.0	400.0	13638.0	7908.0	6867.0	16591.0	7511.0	12956.0	9243.0	7278.0	13798.0	14076.0	14845.0	6975.0	4841.0	4149.0	15464.0	16175.0	7908.0	13031.0	3609.0	0.0	12643.0	14744.0	6099.0	13557.0	13268.0	11464.0	5137.0	13141.0	17133.0	13989.0	5363.0	7817.0
RampelliS_2015__H10__bin.78	4284.0	5341.0	11396.0	12889.0	10550.0	12957.0	5119.0	12499.0	6736.0	6962.0	14104.0	7075.0	12208.0	8758.0	6394.0	11029.0	12786.0	12061.0	7672.0	5253.0	4010.0	13421.0	12264.0	7620.0	12325.0	3647.0	12643.0	0.0	12110.0	6556.0	11943.0	12347.0	9940.0	5293.0	12083.0	13064.0	12131.0	4845.0	7220.0
CM_madagascar__A40_02_1FE__bin.22	3988.0	4994.0	13096.0	13160.0	10347.0	11593.0	5748.0	13350.0	6789.0	7417.0	16061.0	7655.0	13654.0	8992.0	7567.0	11560.0	13794.0	5952.0	7007.0	6287.0	4515.0	12549.0	16158.0	8118.0	13161.0	4979.0	14744.0	12110.0	0.0	7830.0	14100.0	13231.0	7363.0	5417.0	13870.0	16601.0	13120.0	5919.0	7257.0
Obregon-TitoAJ_2015__HCO11__bin.31	3809.0	4612.0	6261.0	7273.0	5675.0	7521.0	3810.0	7230.0	6995.0	4681.0	9016.0	5027.0	7619.0	7081.0	4249.0	7666.0	7711.0	7985.0	6146.0	4073.0	3859.0	8188.0	8800.0	4601.0	6689.0	3091.0	6099.0	6556.0	7830.0	0.0	6358.0	7443.0	6301.0	4763.0	7092.0	8952.0	7530.0	4049.0	4823.0
CM_madagascar__A72_02_1FE__bin.10	4597.0	5262.0	13725.0	13767.0	11771.0	12917.0	5474.0	12894.0	7495.0	6691.0	17665.0	7691.0	14212.0	9737.0	6369.0	13265.0	14064.0	14225.0	7415.0	5276.0	4380.0	13980.0	16407.0	8192.0	13094.0	3605.0	13557.0	11943.0	14100.0	6358.0	0.0	13706.0	10907.0	5173.0	13537.0	17177.0	13919.0	4292.0	7195.0
BritoIL_2016__M1.24.ST__bin.70	1781.0	2776.0	13816.0	7143.0	11383.0	14158.0	4863.0	14524.0	7068.0	2859.0	15939.0	3977.0	7024.0	7810.0	7921.0	11189.0	7225.0	13104.0	3417.0	5707.0	2789.0	15330.0	17260.0	4034.0	5456.0	4166.0	13268.0	12347.0	13231.0	7443.0	13706.0	0.0	10386.0	3226.0	6277.0	17827.0	7645.0	5269.0	7361.0
CM_madagascar__A13_03_1FE__bin.44	4008.0	4488.0	10822.0	11041.0	9540.0	9943.0	4981.0	10380.0	5630.0	5845.0	13176.0	6414.0	10149.0	7194.0	6736.0	9050.0	10840.0	7094.0	5920.0	4831.0	3508.0	10792.0	12941.0	6552.0	10360.0	3896.0	11464.0	9940.0	7363.0	6301.0	10907.0	10386.0	0.0	4501.0	11123.0	13694.0	9691.0	4860.0	6230.0
BritoIL_2016__M2.37.ST__bin.7	1509.0	1689.0	6024.0	2114.0	4553.0	5698.0	3719.0	5102.0	4561.0	1782.0	6037.0	2178.0	2930.0	4588.0	3612.0	4972.0	2568.0	5169.0	2198.0	3757.0	1437.0	5883.0	6378.0	2191.0	2615.0	2947.0	5137.0	5293.0	5417.0	4763.0	5173.0	3226.0	4501.0	0.0	2848.0	7748.0	1747.0	3667.0	3566.0
BritoIL_2016__W2.39.ST__bin.74	2141.0	3148.0	13652.0	7872.0	11469.0	14302.0	4712.0	13660.0	6189.0	3236.0	15776.0	3709.0	7140.0	7606.0	7197.0	10895.0	6644.0	13844.0	4239.0	5160.0	2564.0	15463.0	17214.0	2020.0	1819.0	3831.0	13141.0	12083.0	13870.0	7092.0	13537.0	6277.0	11123.0	2848.0	0.0	17973.0	7350.0	4526.0	7311.0
RampelliS_2015__H8__bin.12	5950.0	6744.0	17245.0	17473.0	13803.0	17788.0	6897.0	16966.0	9382.0	9907.0	19224.0	10230.0	18356.0	12215.0	8610.0	14876.0	18189.0	17252.0	10192.0	7422.0	5879.0	18635.0	16633.0	10159.0	17362.0	5497.0	17133.0	13064.0	16601.0	8952.0	17177.0	17827.0	13694.0	7748.0	17973.0	0.0	17606.0	7011.0	9287.0
BritoIL_2016__W2.63.ST__bin.39	1511.0	2042.0	13090.0	6124.0	10998.0	13931.0	4902.0	13169.0	6881.0	3252.0	15694.0	4031.0	7340.0	7389.0	7179.0	11226.0	6634.0	12522.0	3336.0	5093.0	1936.0	14795.0	16677.0	3909.0	6652.0	3965.0	13989.0	12131.0	13120.0	7530.0	13919.0	7645.0	9691.0	1747.0	7350.0	17606.0	0.0	5093.0	6898.0
RampelliS_2015__H1__bin.43	4255.0	5005.0	6073.0	5506.0	4887.0	5858.0	4309.0	5554.0	6279.0	3524.0	6722.0	4215.0	5526.0	5443.0	3277.0	5643.0	5897.0	5076.0	5219.0	4434.0	4220.0	6137.0	6666.0	3919.0	4757.0	183.0	5363.0	4845.0	5919.0	4049.0	4292.0	5269.0	4860.0	3667.0	4526.0	7011.0	5093.0	0.0	3525.0
CM_madagascar__A48_01_1FE__bin.10	3073.0	3672.0	7635.0	7387.0	6650.0	6147.0	3706.0	6719.0	4620.0	4518.0	8324.0	4546.0	7078.0	5805.0	4921.0	7123.0	7915.0	6375.0	5007.0	3816.0	3372.0	6808.0	8479.0	5135.0	7088.0	2700.0	7817.0	7220.0	7257.0	4823.0	7195.0	7361.0	6230.0	3566.0	7311.0	9287.0	6898.0	3525.0	0.0
