	XieH_2016__YSZC12003_37194__bin.73	XieH_2016__YSZC12003_35636__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES10__bin.35	LeChatelierE_2013__MH0434__bin.13	ChengpingW_2017__AS67raw__bin.63	LiJ_2017__nHM410714__bin.28	RaymondF_2016__P1E7__bin.61	BackhedF_2015__SID566_M__bin.46	LeChatelierE_2013__MH0205__bin.54	VogtmannE_2016__MMRS81671217ST-27-0-0__bin.47	RaymondF_2016__P1E90__bin.38	LiJ_2014__O2.UC29-1__bin.47	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.67	BritoIL_2016__W2.9.ST__bin.37	BritoIL_2016__W2.46.ST__bin.36	LiSS_2016__FAT_010-22-84-0__bin.59	QinN_2014__HD-9__bin.8	LeChatelierE_2013__MH0307__bin.65	SchirmerM_2016__G89151__bin.1	ZeeviD_2015__PNP_Main_467__bin.37	LeChatelierE_2013__MH0247__bin.68	CM_madagascar__A90_04_1FE__bin.34	QinN_2014__HD-35__bin.59	YuJ_2015__SZAXPI015269-94__bin.5	CosteaPI_2017__SID713A078-11-0-0__bin.39	NielsenHB_2014__O2_UC22_2__bin.37	CosteaPI_2017__SID713B057-11-0-0__bin.50	XieH_2016__YSZC12003_35666__bin.46	XieH_2016__YSZC12003_37203__bin.59	XieH_2016__YSZC12003_37100__bin.119	XieH_2016__YSZC12003_37102__bin.45	Bengtsson-PalmeJ_2015__TRAVELRES9__bin.63	Obregon-TitoAJ_2015__SM11__bin.19	LiJ_2014__O2.UC22-1__bin.34	LeChatelierE_2013__MH0229__bin.81	XieH_2016__YSZC12003_37138__bin.47	XieH_2016__YSZC12003_35388__bin.8	FengQ_2015__SID31881__bin.26	HeQ_2017__SZAXPI029560-51__bin.24	LiJ_2017__nHMX11726__bin.55
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.67	15265.0	21158.0	16797.0	14727.0	35820.0	19027.0	21166.0	18359.0	21459.0	29740.0	26619.0	21744.0	0.0	34090.0	22482.0	19584.0	34108.0	19090.0	12840.0	26434.0	19443.0	33172.0	35233.0	33323.0	16869.0	26124.0	25141.0	15393.0	19341.0	29456.0	32294.0	16894.0	37936.0	30181.0	30606.0	15138.0	11011.0	29945.0	30770.0	18986.0
BritoIL_2016__W2.9.ST__bin.37	31475.0	33210.0	29637.0	21556.0	31998.0	26084.0	23256.0	27119.0	29082.0	33935.0	28725.0	33033.0	34090.0	0.0	7239.0	19817.0	31206.0	32543.0	26430.0	28192.0	24852.0	32744.0	30988.0	30192.0	18262.0	29836.0	23390.0	21235.0	33335.0	32176.0	29307.0	30015.0	39198.0	32208.0	25999.0	31286.0	16890.0	28416.0	25991.0	28838.0
BritoIL_2016__W2.46.ST__bin.36	22535.0	23283.0	20491.0	16560.0	22289.0	19218.0	17088.0	18380.0	20163.0	22736.0	20060.0	23496.0	22482.0	7239.0	0.0	15430.0	21682.0	22337.0	18062.0	21019.0	18360.0	21966.0	21730.0	20559.0	14139.0	20930.0	17201.0	14424.0	23107.0	23881.0	20537.0	20958.0	27032.0	22600.0	18724.0	21132.0	13113.0	20904.0	19320.0	20281.0
LiSS_2016__FAT_010-22-84-0__bin.59	18710.0	19852.0	18906.0	13433.0	22346.0	19703.0	14656.0	16050.0	16796.0	19750.0	15090.0	18400.0	19584.0	19817.0	15430.0	0.0	22710.0	18071.0	15010.0	17515.0	15599.0	22238.0	23469.0	21813.0	13217.0	19406.0	18735.0	13412.0	19094.0	20181.0	20283.0	18271.0	22245.0	21715.0	20097.0	17591.0	11583.0	20182.0	20717.0	18767.0
QinN_2014__HD-9__bin.8	33046.0	35014.0	29189.0	22467.0	32445.0	27966.0	24191.0	27513.0	32039.0	37077.0	29695.0	34395.0	34108.0	31206.0	21682.0	22710.0	0.0	33159.0	27532.0	30518.0	27788.0	34465.0	31826.0	29188.0	19318.0	30526.0	25966.0	20848.0	33958.0	34938.0	28831.0	30003.0	41705.0	32777.0	19357.0	31560.0	17459.0	27681.0	24984.0	30724.0
LeChatelierE_2013__MH0307__bin.65	11773.0	16447.0	13041.0	12771.0	33107.0	17278.0	19975.0	17168.0	17927.0	28902.0	24451.0	18414.0	19090.0	32543.0	22337.0	18071.0	33159.0	0.0	11698.0	25363.0	19875.0	32525.0	31521.0	30886.0	16809.0	25805.0	24370.0	13889.0	15291.0	29292.0	30626.0	13187.0	35755.0	27555.0	28687.0	12754.0	9937.0	28563.0	29241.0	16347.0
SchirmerM_2016__G89151__bin.1	8805.0	13196.0	8069.0	9353.0	28149.0	14527.0	17038.0	12766.0	15496.0	21899.0	20062.0	14310.0	12840.0	26430.0	18062.0	15010.0	27532.0	11698.0	0.0	20752.0	15712.0	26085.0	26664.0	26894.0	13982.0	20644.0	20490.0	11395.0	13032.0	23348.0	25274.0	7896.0	28779.0	22181.0	24321.0	10014.0	7994.0	24353.0	23887.0	13441.0
ZeeviD_2015__PNP_Main_467__bin.37	25633.0	26417.0	23305.0	18571.0	31789.0	22815.0	18641.0	21751.0	25244.0	27252.0	22365.0	27165.0	26434.0	28192.0	21019.0	17515.0	30518.0	25363.0	20752.0	0.0	21141.0	31119.0	30974.0	29370.0	15031.0	26487.0	21297.0	17218.0	27068.0	28527.0	27762.0	24623.0	30314.0	29414.0	27240.0	24901.0	14556.0	28677.0	28109.0	25409.0
LeChatelierE_2013__MH0247__bin.68	19673.0	20583.0	18182.0	14567.0	28218.0	18925.0	17169.0	16589.0	20895.0	23755.0	20158.0	20254.0	19443.0	24852.0	18360.0	15599.0	27788.0	19875.0	15712.0	21141.0	0.0	26423.0	27900.0	26036.0	14476.0	21569.0	20267.0	14374.0	21689.0	23398.0	24548.0	18636.0	28753.0	23519.0	23763.0	18222.0	11540.0	25723.0	23681.0	19747.0
CM_madagascar__A90_04_1FE__bin.34	31740.0	33329.0	29666.0	23361.0	33877.0	27389.0	23236.0	27745.0	30749.0	36123.0	28523.0	33124.0	33172.0	32744.0	21966.0	22238.0	34465.0	32525.0	26085.0	31119.0	26423.0	0.0	33154.0	31182.0	18986.0	31489.0	25491.0	21105.0	33051.0	34864.0	30554.0	30353.0	37499.0	34849.0	28881.0	31268.0	17258.0	31122.0	29913.0	30849.0
QinN_2014__HD-35__bin.59	33344.0	33886.0	30562.0	21976.0	33291.0	28389.0	24126.0	28371.0	30862.0	36596.0	29806.0	34733.0	35233.0	30988.0	21730.0	23469.0	31826.0	31521.0	26664.0	30974.0	27900.0	33154.0	0.0	20863.0	19457.0	29734.0	24833.0	19149.0	34202.0	35816.0	29170.0	31025.0	41505.0	33606.0	25952.0	31586.0	17620.0	17019.0	27066.0	29763.0
YuJ_2015__SZAXPI015269-94__bin.5	32451.0	33341.0	30381.0	22671.0	30528.0	26538.0	24255.0	27704.0	29342.0	35628.0	28672.0	33070.0	33323.0	30192.0	20559.0	21813.0	29188.0	30886.0	26894.0	29370.0	26036.0	31182.0	20863.0	0.0	19790.0	30506.0	25010.0	19894.0	33797.0	34331.0	27716.0	31423.0	40542.0	32841.0	25690.0	31713.0	17796.0	18378.0	25147.0	30277.0
CosteaPI_2017__SID713A078-11-0-0__bin.39	16272.0	18314.0	15452.0	12516.0	20382.0	17343.0	13645.0	13924.0	14718.0	17294.0	14616.0	16963.0	16869.0	18262.0	14139.0	13217.0	19318.0	16809.0	13982.0	15031.0	14476.0	18986.0	19457.0	19790.0	0.0	17336.0	17494.0	11837.0	16444.0	16508.0	19154.0	15865.0	18439.0	18428.0	18352.0	15274.0	10040.0	18248.0	17834.0	17250.0
NielsenHB_2014__O2_UC22_2__bin.37	25770.0	26706.0	23075.0	19170.0	30015.0	23644.0	22028.0	23122.0	25074.0	29604.0	26102.0	27008.0	26124.0	29836.0	20930.0	19406.0	30526.0	25805.0	20644.0	26487.0	21569.0	31489.0	29734.0	30506.0	17336.0	0.0	23639.0	17534.0	25875.0	30016.0	28349.0	24125.0	36556.0	2488.0	26320.0	25489.0	15097.0	27173.0	26700.0	25520.0
CosteaPI_2017__SID713B057-11-0-0__bin.50	24122.0	26059.0	23704.0	16840.0	25703.0	23778.0	18221.0	19402.0	22720.0	23683.0	20641.0	24914.0	25141.0	23390.0	17201.0	18735.0	25966.0	24370.0	20490.0	21297.0	20267.0	25491.0	24833.0	25010.0	17494.0	23639.0	0.0	15629.0	24531.0	24003.0	23600.0	24328.0	25965.0	26025.0	24466.0	23391.0	14396.0	21942.0	23393.0	24245.0
XieH_2016__YSZC12003_35666__bin.46	12794.0	15455.0	12273.0	11024.0	20908.0	13943.0	13821.0	12197.0	14833.0	19715.0	16865.0	14690.0	15393.0	21235.0	14424.0	13412.0	20848.0	13889.0	11395.0	17218.0	14374.0	21105.0	19149.0	19894.0	11837.0	17534.0	15629.0	0.0	14314.0	19558.0	19169.0	12425.0	22859.0	18761.0	18424.0	11773.0	9548.0	18036.0	19535.0	14546.0
XieH_2016__YSZC12003_37203__bin.59	14169.0	18923.0	16223.0	13493.0	35940.0	20082.0	20945.0	18171.0	18137.0	29993.0	24845.0	20828.0	19341.0	33335.0	23107.0	19094.0	33958.0	15291.0	13032.0	27068.0	21689.0	33051.0	34202.0	33797.0	16444.0	25875.0	24531.0	14314.0	0.0	31520.0	31571.0	16756.0	35487.0	29347.0	31263.0	16082.0	11045.0	30557.0	30763.0	18601.0
XieH_2016__YSZC12003_37100__bin.119	29612.0	31014.0	27246.0	20401.0	37728.0	26161.0	21315.0	24292.0	27431.0	32648.0	24135.0	29243.0	29456.0	32176.0	23881.0	20181.0	34938.0	29292.0	23348.0	28527.0	23398.0	34864.0	35816.0	34331.0	16508.0	30016.0	24003.0	19558.0	31520.0	0.0	31024.0	28949.0	33746.0	33011.0	32800.0	28462.0	17094.0	32048.0	32411.0	29870.0
XieH_2016__YSZC12003_37102__bin.45	30402.0	31270.0	29105.0	21329.0	28068.0	26338.0	22934.0	25125.0	28541.0	32787.0	27877.0	31904.0	32294.0	29307.0	20537.0	20283.0	28831.0	30626.0	25274.0	27762.0	24548.0	30554.0	29170.0	27716.0	19154.0	28349.0	23600.0	19169.0	31571.0	31024.0	0.0	29428.0	36449.0	29714.0	26180.0	30377.0	16426.0	26334.0	24393.0	29196.0
Bengtsson-PalmeJ_2015__TRAVELRES9__bin.63	9793.0	14138.0	1347.0	9577.0	32018.0	15411.0	18973.0	16290.0	16039.0	25456.0	21935.0	15714.0	16894.0	30015.0	20958.0	18271.0	30003.0	13187.0	7896.0	24623.0	18636.0	30353.0	31025.0	31423.0	15865.0	24125.0	24328.0	12425.0	16756.0	28949.0	29428.0	0.0	33321.0	26182.0	30831.0	12088.0	9348.0	27152.0	29243.0	14904.0
Obregon-TitoAJ_2015__SM11__bin.19	34540.0	36371.0	32171.0	23373.0	41821.0	29986.0	24858.0	29998.0	34774.0	37688.0	31117.0	38667.0	37936.0	39198.0	27032.0	22245.0	41705.0	35755.0	28779.0	30314.0	28753.0	37499.0	41505.0	40542.0	18439.0	36556.0	25965.0	22859.0	35487.0	33746.0	36449.0	33321.0	0.0	39674.0	36925.0	34048.0	18332.0	36320.0	36528.0	32221.0
LiJ_2014__O2.UC22-1__bin.34	27646.0	29198.0	24826.0	20975.0	33848.0	24972.0	23083.0	24515.0	27665.0	33968.0	27814.0	29926.0	30181.0	32208.0	22600.0	21715.0	32777.0	27555.0	22181.0	29414.0	23519.0	34849.0	33606.0	32841.0	18428.0	2488.0	26025.0	18761.0	29347.0	33011.0	29714.0	26182.0	39674.0	0.0	30500.0	28312.0	16069.0	29813.0	30104.0	27066.0
LeChatelierE_2013__MH0229__bin.81	30421.0	29759.0	29305.0	20789.0	25939.0	24716.0	22629.0	25084.0	26892.0	30722.0	26333.0	29562.0	30606.0	25999.0	18724.0	20097.0	19357.0	28687.0	24321.0	27240.0	23763.0	28881.0	25952.0	25690.0	18352.0	26320.0	24466.0	18424.0	31263.0	32800.0	26180.0	30831.0	36925.0	30500.0	0.0	29865.0	16709.0	23302.0	23412.0	28567.0
XieH_2016__YSZC12003_37138__bin.47	9626.0	15116.0	12870.0	11133.0	32762.0	12784.0	18586.0	15135.0	17944.0	26732.0	22908.0	16015.0	15138.0	31286.0	21132.0	17591.0	31560.0	12754.0	10014.0	24901.0	18222.0	31268.0	31586.0	31713.0	15274.0	25489.0	23391.0	11773.0	16082.0	28462.0	30377.0	12088.0	34048.0	28312.0	29865.0	0.0	9308.0	28681.0	29170.0	13670.0
XieH_2016__YSZC12003_35388__bin.8	9415.0	11063.0	9350.0	8761.0	17568.0	11297.0	12531.0	10731.0	12305.0	14472.0	13346.0	10956.0	11011.0	16890.0	13113.0	11583.0	17459.0	9937.0	7994.0	14556.0	11540.0	17258.0	17620.0	17796.0	10040.0	15097.0	14396.0	9548.0	11045.0	17094.0	16426.0	9348.0	18332.0	16069.0	16709.0	9308.0	0.0	16526.0	16460.0	10520.0
FengQ_2015__SID31881__bin.26	29646.0	31038.0	26919.0	20979.0	28255.0	24355.0	21876.0	24651.0	26306.0	31229.0	26815.0	30756.0	29945.0	28416.0	20904.0	20182.0	27681.0	28563.0	24353.0	28677.0	25723.0	31122.0	17019.0	18378.0	18248.0	27173.0	21942.0	18036.0	30557.0	32048.0	26334.0	27152.0	36320.0	29813.0	23302.0	28681.0	16526.0	0.0	24885.0	26672.0
HeQ_2017__SZAXPI029560-51__bin.24	30284.0	30809.0	28245.0	21825.0	27951.0	25003.0	21842.0	24761.0	26810.0	31979.0	25298.0	30469.0	30770.0	25991.0	19320.0	20717.0	24984.0	29241.0	23887.0	28109.0	23681.0	29913.0	27066.0	25147.0	17834.0	26700.0	23393.0	19535.0	30763.0	32411.0	24393.0	29243.0	36528.0	30104.0	23412.0	29170.0	16460.0	24885.0	0.0	28084.0
LiJ_2017__nHMX11726__bin.55	13376.0	19463.0	14515.0	13603.0	32309.0	17307.0	19749.0	17738.0	18338.0	27667.0	22778.0	18936.0	18986.0	28838.0	20281.0	18767.0	30724.0	16347.0	13441.0	25409.0	19747.0	30849.0	29763.0	30277.0	17250.0	25520.0	24245.0	14546.0	18601.0	29870.0	29196.0	14904.0	32221.0	27066.0	28567.0	13670.0	10520.0	26672.0	28084.0	0.0
