	CosteaPI_2017__SID713A009-11-0-0__bin.16	SchirmerM_2016__G89044__bin.4	SchirmerM_2016__G89143__bin.4	CosteaPI_2017__SID713B057-11-0-0__bin.39	SchirmerM_2016__G88897__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.38	SchirmerM_2016__G88764__bin.6	SchirmerM_2016__G89117__bin.3	CosteaPI_2017__SID713B057-11-90-0__bin.8	VatanenT_2016__G80359__bin.8	BackhedF_2015__SID585_M__bin.18	SchirmerM_2016__G89030__bin.18	VatanenT_2016__G80275__bin.17	SchirmerM_2016__G88846__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.73	SchirmerM_2016__G88773__bin.12	SchirmerM_2016__G88815__bin.6	SchirmerM_2016__G89101__bin.11	FengQ_2015__SID530450__bin.38	VatanenT_2016__G78575__bin.8	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.56	SchirmerM_2016__G89185__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.46	SchirmerM_2016__G88953__bin.3	SchirmerM_2016__G88944__bin.14	VatanenT_2016__G80343__bin.18	VatanenT_2016__G78719__bin.3	SchirmerM_2016__G88814__bin.17	LiJ_2014__MH0355__bin.77	SchirmerM_2016__G89274__bin.5	LiSS_2016__FAT_017-22-42-0__bin.2	LiJ_2014__MH0381__bin.39	CosteaPI_2017__SID713A009-11-90-0__bin.46	VatanenT_2016__G80381__bin.16	ZeeviD_2015__PNP_Main_449__bin.35	ZeeviD_2015__PNP_Main_503__bin.3	CosteaPI_2017__SID713B020-11-0-0__bin.53	SchirmerM_2016__G88738__bin.15	VatanenT_2016__G80350__bin.11	KosticAD_2015__PRJNA231909.3113044__bin.7	KarlssonFH_2013__S193__bin.44	VatanenT_2016__G78624__bin.5	VatanenT_2016__G78880__bin.3	KosticAD_2015__PRJNA231909.3110086__bin.29	SchirmerM_2016__G89113__bin.14	SchirmerM_2016__G88829__bin.2	XieH_2016__YSZC12003_37583__bin.43
BackhedF_2015__SID585_M__bin.18	1967717.0	1786901.0	1780344.0	1376700.0	1232111.0	1693239.0	1810516.0	1568737.0	1406152.0	1013971.0	2036513.0	1694811.0	1727037.0	1724172.0	1773057.0	1601291.0	1838813.0	1682837.0	1959625.0	1494259.0	1922874.0	1845469.0	1905340.0	1912230.0	1961721.0	1723053.0	1941243.0	1795402.0	1881310.0	1842972.0	1968535.0	1100896.0	1841237.0	2010414.0	1883408.0	1494136.0	1945014.0	1935209.0	1733875.0	1929651.0	1801593.0	1735141.0	1882011.0	1987779.0	1901728.0	1742636.0	1963311.0	1522087.0
SchirmerM_2016__G89030__bin.18	1780070.0	1653775.0	1628450.0	1302225.0	1160468.0	1638542.0	1705012.0	1409424.0	1301883.0	951597.0	1694811.0	1803099.0	1664900.0	1632936.0	1575957.0	1559971.0	1712544.0	1524213.0	1750981.0	1434114.0	1719700.0	1748823.0	1736147.0	1750847.0	1740366.0	1601976.0	1765586.0	1661670.0	1724360.0	1690958.0	1767570.0	1038867.0	1679324.0	1794396.0	1706652.0	1429663.0	1709620.0	1731965.0	1623157.0	1732860.0	1684072.0	1665117.0	1712979.0	1726447.0	1681184.0	1587303.0	1746143.0	1465862.0
VatanenT_2016__G80275__bin.17	1899267.0	1673263.0	1659562.0	1315466.0	1166359.0	1729206.0	1733746.0	1466144.0	1325107.0	941865.0	1727037.0	1664900.0	1939073.0	1638053.0	1579703.0	1540553.0	1713299.0	1569099.0	1836805.0	1426730.0	1761596.0	1788068.0	1812606.0	1823077.0	1826761.0	1679908.0	1879192.0	1655290.0	1776347.0	1794605.0	1879932.0	1044328.0	1674370.0	1919176.0	1729184.0	1441210.0	1772481.0	1818290.0	1626725.0	1804299.0	1698850.0	1757818.0	1733833.0	1781336.0	1733055.0	1671016.0	1836752.0	1533789.0
SchirmerM_2016__G88846__bin.7	1797423.0	1676543.0	1632974.0	1326235.0	1173305.0	1637783.0	1692022.0	1415528.0	1332192.0	972465.0	1724172.0	1632936.0	1638053.0	1887444.0	1593649.0	1548834.0	1704853.0	1535377.0	1754093.0	1424618.0	1744665.0	1745485.0	1739469.0	1730278.0	1762819.0	1638452.0	1782295.0	1689614.0	1736259.0	1715744.0	1783682.0	1031507.0	1717936.0	1817689.0	1730704.0	1431212.0	1725790.0	1769814.0	1616975.0	1767453.0	1673868.0	1660585.0	1710106.0	1779324.0	1716730.0	1597610.0	1760751.0	1487504.0
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.70	1833543.0	1647078.0	1624578.0	1288915.0	1158079.0	1620085.0	1787828.0	1450688.0	1295558.0	963002.0	1773057.0	1575957.0	1579703.0	1593649.0	1882514.0	1511963.0	1682546.0	1558279.0	1828982.0	1403142.0	1803640.0	1699707.0	1767659.0	1775052.0	1814454.0	1609766.0	1797621.0	1630026.0	1819487.0	1721600.0	1804022.0	1005124.0	1744542.0	1869979.0	1728955.0	1403329.0	1833037.0	1777185.0	1637681.0	1793478.0	1653787.0	1638737.0	1777861.0	1869909.0	1729971.0	1611770.0	1830294.0	1466584.0
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.73	1650457.0	1590391.0	1516057.0	1263290.0	1115228.0	1536307.0	1583510.0	1330780.0	1273937.0	920309.0	1601291.0	1559971.0	1540553.0	1548834.0	1511963.0	1665651.0	1564343.0	1435432.0	1624111.0	1387183.0	1626051.0	1641348.0	1599278.0	1619768.0	1621577.0	1559398.0	1627293.0	1573458.0	1608245.0	1606414.0	1632085.0	991272.0	1582032.0	1660493.0	1624741.0	1389412.0	1613039.0	1614317.0	1541904.0	1631444.0	1604708.0	1573902.0	1611606.0	1644456.0	1599202.0	1479116.0	1606256.0	1385590.0
SchirmerM_2016__G88773__bin.12	1984045.0	1789239.0	1777561.0	1361018.0	1231940.0	1703596.0	1798229.0	1566491.0	1380338.0	1002858.0	1838813.0	1712544.0	1713299.0	1704853.0	1682546.0	1564343.0	2036439.0	1701164.0	1965136.0	1484647.0	1866114.0	1869680.0	1902192.0	1888874.0	1949930.0	1695548.0	1968247.0	1793973.0	1874656.0	1812720.0	1998650.0	1080278.0	1814629.0	2010274.0	1853823.0	1472854.0	1880978.0	1913832.0	1738455.0	1903385.0	1810836.0	1741571.0	1831047.0	1939974.0	1877148.0	1778969.0	1954854.0	1506730.0
SchirmerM_2016__G88815__bin.6	1888905.0	1635261.0	1726288.0	1263619.0	1158816.0	1528435.0	1623727.0	1534201.0	1265981.0	943344.0	1682837.0	1524213.0	1569099.0	1535377.0	1558279.0	1435432.0	1701164.0	1965117.0	1877841.0	1371605.0	1716895.0	1703254.0	1769878.0	1790721.0	1891787.0	1547729.0	1873196.0	1600775.0	1689150.0	1643583.0	1908222.0	1002000.0	1623863.0	1902374.0	1703069.0	1362096.0	1726524.0	1828339.0	1583448.0	1738766.0	1644355.0	1561006.0	1651544.0	1764985.0	1791383.0	1749140.0	1874571.0	1347210.0
SchirmerM_2016__G89101__bin.11	2241714.0	1849121.0	1969628.0	1415944.0	1289987.0	1778630.0	1926267.0	1751547.0	1434403.0	1041096.0	1959625.0	1750981.0	1836805.0	1754093.0	1828982.0	1624111.0	1965136.0	1877841.0	2368774.0	1537638.0	1992529.0	1961915.0	2088092.0	2111230.0	2238558.0	1771764.0	2185622.0	1846344.0	2013886.0	1901250.0	2269837.0	1126497.0	1866454.0	2294537.0	1939369.0	1524619.0	2044191.0	2154404.0	1817936.0	2027932.0	1865964.0	1821952.0	1939488.0	2153727.0	2077749.0	2017079.0	2247134.0	1570276.0
FengQ_2015__SID530450__bin.38	1539499.0	1502032.0	1445510.0	1192909.0	1081343.0	1412730.0	1498611.0	1278270.0	1194250.0	870819.0	1494259.0	1434114.0	1426730.0	1424618.0	1403142.0	1387183.0	1484647.0	1371605.0	1537638.0	1571064.0	1508382.0	1535564.0	1508993.0	1496903.0	1541018.0	1471742.0	1533661.0	1477291.0	1520786.0	1491676.0	1549121.0	952773.0	1477934.0	1548406.0	1519513.0	1291176.0	1506206.0	1512573.0	1466498.0	1526350.0	1488415.0	1450422.0	1504067.0	1545379.0	1497497.0	1427196.0	1525815.0	1278334.0
VatanenT_2016__G78575__bin.8	2009109.0	1817489.0	1795523.0	1392498.0	1246807.0	1719132.0	1852321.0	1607439.0	1413573.0	1023544.0	1922874.0	1719700.0	1761596.0	1744665.0	1803640.0	1626051.0	1866114.0	1716895.0	1992529.0	1508382.0	2081279.0	1887148.0	1951787.0	1946063.0	2003377.0	1761870.0	1978112.0	1824865.0	1928199.0	1851799.0	2000093.0	1098293.0	1852574.0	2048455.0	1936841.0	1522814.0	1993974.0	1959599.0	1788184.0	1967547.0	1866475.0	1759908.0	1917919.0	2006318.0	1912403.0	1796156.0	1978250.0	1570785.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.56	2003519.0	1811492.0	1780479.0	1419032.0	1275314.0	1769791.0	1820408.0	1580634.0	1430599.0	1024690.0	1845469.0	1748823.0	1788068.0	1745485.0	1699707.0	1641348.0	1869680.0	1703254.0	1961915.0	1535564.0	1887148.0	2049721.0	1910496.0	1904239.0	1947910.0	1743620.0	1953551.0	1800676.0	1860476.0	1849017.0	1993675.0	1125026.0	1803969.0	2014156.0	1862132.0	1542047.0	1884757.0	1934820.0	1759225.0	1898885.0	1851102.0	1794710.0	1813543.0	1928281.0	1898810.0	1789082.0	1942773.0	1567177.0
SchirmerM_2016__G89185__bin.12	2089548.0	1805403.0	1850767.0	1387829.0	1265752.0	1746362.0	1859541.0	1651541.0	1399554.0	1021035.0	1905340.0	1736147.0	1812606.0	1739469.0	1767659.0	1599278.0	1902192.0	1769878.0	2088092.0	1508993.0	1951787.0	1910496.0	2130234.0	1986699.0	2055418.0	1740057.0	2058440.0	1803304.0	1954978.0	1853742.0	2095288.0	1116218.0	1829314.0	2120692.0	1890383.0	1500411.0	1961461.0	2041010.0	1784269.0	1979019.0	1823401.0	1793100.0	1892780.0	2012271.0	1920964.0	1880962.0	2072979.0	1525029.0
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.46	2124211.0	1793039.0	1885477.0	1369280.0	1253580.0	1804398.0	1854341.0	1670859.0	1397139.0	1015860.0	1912230.0	1750847.0	1823077.0	1730278.0	1775052.0	1619768.0	1888874.0	1790721.0	2111230.0	1496903.0	1946063.0	1904239.0	1986699.0	2168753.0	2090030.0	1714607.0	2085412.0	1783671.0	1937132.0	1914823.0	2131945.0	1105289.0	1837033.0	2163515.0	1903051.0	1492653.0	1976990.0	2050355.0	1760384.0	1960364.0	1834747.0	1820163.0	1888122.0	1971600.0	1983740.0	1898300.0	2114499.0	1571914.0
SchirmerM_2016__G88953__bin.3	2228221.0	1859625.0	1973526.0	1424515.0	1277829.0	1777296.0	1907165.0	1762491.0	1442224.0	1042223.0	1961721.0	1740366.0	1826761.0	1762819.0	1814454.0	1621577.0	1949930.0	1891787.0	2238558.0	1541018.0	2003377.0	1947910.0	2055418.0	2090030.0	2378579.0	1782079.0	2181578.0	1855885.0	1979046.0	1906176.0	2264673.0	1124870.0	1873710.0	2272605.0	1956706.0	1529041.0	2033139.0	2148900.0	1806731.0	2043692.0	1876534.0	1809402.0	1930641.0	2120325.0	2075903.0	2007952.0	2241976.0	1574194.0
SchirmerM_2016__G88944__bin.14	1775699.0	1709656.0	1622236.0	1331485.0	1165734.0	1680193.0	1715592.0	1438362.0	1329043.0	953459.0	1723053.0	1601976.0	1679908.0	1638452.0	1609766.0	1559398.0	1695548.0	1547729.0	1771764.0	1471742.0	1761870.0	1743620.0	1740057.0	1714607.0	1782079.0	1828197.0	1774241.0	1694391.0	1774123.0	1745595.0	1811183.0	1036726.0	1720404.0	1812106.0	1756300.0	1450956.0	1768047.0	1737165.0	1671305.0	1785081.0	1720766.0	1741984.0	1749455.0	1819237.0	1721655.0	1617288.0	1759288.0	1560410.0
VatanenT_2016__G80343__bin.18	2243794.0	1842640.0	1958154.0	1432538.0	1285333.0	1776631.0	1894225.0	1737646.0	1446954.0	1053404.0	1941243.0	1765586.0	1879192.0	1782295.0	1797621.0	1627293.0	1968247.0	1873196.0	2185622.0	1533661.0	1978112.0	1953551.0	2058440.0	2085412.0	2181578.0	1774241.0	2303353.0	1851835.0	1951997.0	1902134.0	2230791.0	1127155.0	1872052.0	2271429.0	1930062.0	1532435.0	1995669.0	2127910.0	1786202.0	2037547.0	1859756.0	1837182.0	1907512.0	2057054.0	2048510.0	1988160.0	2188444.0	1552984.0
VatanenT_2016__G78719__bin.3	1867592.0	1763873.0	1696223.0	1368727.0	1205980.0	1635807.0	1734337.0	1505234.0	1377345.0	994826.0	1795402.0	1661670.0	1655290.0	1689614.0	1630026.0	1573458.0	1793973.0	1600775.0	1846344.0	1477291.0	1824865.0	1800676.0	1803304.0	1783671.0	1855885.0	1694391.0	1851835.0	1918633.0	1788967.0	1768492.0	1863140.0	1061453.0	1772544.0	1896438.0	1815945.0	1468364.0	1814081.0	1828310.0	1707233.0	1847981.0	1771957.0	1683543.0	1784800.0	1868429.0	1818449.0	1679587.0	1832143.0	1495554.0
SchirmerM_2016__G88814__bin.17	1992493.0	1812580.0	1775075.0	1371507.0	1240944.0	1780637.0	1947299.0	1563987.0	1387077.0	1002882.0	1881310.0	1724360.0	1776347.0	1736259.0	1819487.0	1608245.0	1874656.0	1689150.0	2013886.0	1520786.0	1928199.0	1860476.0	1954978.0	1937132.0	1979046.0	1774123.0	1951997.0	1788967.0	2060729.0	1891163.0	2008780.0	1099051.0	1856566.0	2040358.0	1881379.0	1501101.0	1946738.0	1917683.0	1770017.0	1925965.0	1815997.0	1808281.0	1931113.0	1989267.0	1852688.0	1781324.0	2008294.0	1584271.0
LiJ_2014__MH0355__bin.77	1925591.0	1780088.0	1722300.0	1353017.0	1225368.0	1806331.0	1844487.0	1497272.0	1369878.0	989197.0	1842972.0	1690958.0	1794605.0	1715744.0	1721600.0	1606414.0	1812720.0	1643583.0	1901250.0	1491676.0	1851799.0	1849017.0	1853742.0	1914823.0	1906176.0	1745595.0	1902134.0	1768492.0	1891163.0	2001707.0	1936749.0	1076353.0	1823587.0	1963772.0	1833338.0	1470632.0	1865036.0	1871880.0	1729412.0	1867682.0	1792384.0	1820659.0	1863608.0	1913728.0	1813617.0	1721987.0	1893237.0	1586174.0
SchirmerM_2016__G89274__bin.5	2250323.0	1872075.0	2003505.0	1430336.0	1297572.0	1816560.0	1923451.0	1772982.0	1450743.0	1050615.0	1968535.0	1767570.0	1879932.0	1783682.0	1804022.0	1632085.0	1998650.0	1908222.0	2269837.0	1549121.0	2000093.0	1993675.0	2095288.0	2131945.0	2264673.0	1811183.0	2230791.0	1863140.0	2008780.0	1936749.0	2353101.0	1142992.0	1887018.0	2304130.0	1962210.0	1538911.0	2029182.0	2172611.0	1837922.0	2057764.0	1892366.0	1864905.0	1939637.0	2118232.0	2087111.0	2043010.0	2260618.0	1590104.0
LiSS_2016__FAT_017-22-42-0__bin.2	1133270.0	1084833.0	1042698.0	875929.0	815322.0	1016841.0	1061818.0	919540.0	887840.0	632450.0	1100896.0	1038867.0	1044328.0	1031507.0	1005124.0	991272.0	1080278.0	1002000.0	1126497.0	952773.0	1098293.0	1125026.0	1116218.0	1105289.0	1124870.0	1036726.0	1127155.0	1061453.0	1099051.0	1076353.0	1142992.0	1163895.0	1067201.0	1138408.0	1098324.0	945273.0	1086261.0	1096269.0	1050804.0	1109913.0	1069874.0	1033576.0	1081191.0	1113632.0	1085025.0	1042888.0	1123655.0	904922.0
LiJ_2014__MH0381__bin.39	1896242.0	1763707.0	1729297.0	1368203.0	1208587.0	1719177.0	1806113.0	1500415.0	1382896.0	1005503.0	1841237.0	1679324.0	1674370.0	1717936.0	1744542.0	1582032.0	1814629.0	1623863.0	1866454.0	1477934.0	1852574.0	1803969.0	1829314.0	1837033.0	1873710.0	1720404.0	1872052.0	1772544.0	1856566.0	1823587.0	1887018.0	1067201.0	1973508.0	1929023.0	1848630.0	1483905.0	1881789.0	1853399.0	1739988.0	1883513.0	1789219.0	1725531.0	1880543.0	1927898.0	1852881.0	1685955.0	1859791.0	1584565.0
CosteaPI_2017__SID713A009-11-90-0__bin.46	2348433.0	1876704.0	1995949.0	1448781.0	1302726.0	1852060.0	1954312.0	1775643.0	1470174.0	1061681.0	2010414.0	1794396.0	1919176.0	1817689.0	1869979.0	1660493.0	2010274.0	1902374.0	2294537.0	1548406.0	2048455.0	2014156.0	2120692.0	2163515.0	2272605.0	1812106.0	2271429.0	1896438.0	2040358.0	1963772.0	2304130.0	1138408.0	1929023.0	2502097.0	1987345.0	1556331.0	2081187.0	2199389.0	1831532.0	2078832.0	1911567.0	1890431.0	1974692.0	2176166.0	2117005.0	2039094.0	2302984.0	1631875.0
VatanenT_2016__G80381__bin.16	1951723.0	1820057.0	1791287.0	1394557.0	1237793.0	1695659.0	1804113.0	1569864.0	1415215.0	1025096.0	1883408.0	1706652.0	1729184.0	1730704.0	1728955.0	1624741.0	1853823.0	1703069.0	1939369.0	1519513.0	1936841.0	1862132.0	1890383.0	1903051.0	1956706.0	1756300.0	1930062.0	1815945.0	1881379.0	1833338.0	1962210.0	1098324.0	1848630.0	1987345.0	2041744.0	1511680.0	1922593.0	1923847.0	1788867.0	1924545.0	1847959.0	1729296.0	1896261.0	1944195.0	1900624.0	1764970.0	1926050.0	1562078.0
ZeeviD_2015__PNP_Main_449__bin.35	1552381.0	1488519.0	1422779.0	1192850.0	1050595.0	1412217.0	1480645.0	1258440.0	1184115.0	843845.0	1494136.0	1429663.0	1441210.0	1431212.0	1403329.0	1389412.0	1472854.0	1362096.0	1524619.0	1291176.0	1522814.0	1542047.0	1500411.0	1492653.0	1529041.0	1450956.0	1532435.0	1468364.0	1501101.0	1470632.0	1538911.0	945273.0	1483905.0	1556331.0	1511680.0	1563009.0	1518795.0	1517133.0	1434593.0	1533912.0	1489239.0	1435884.0	1505669.0	1541123.0	1506216.0	1402506.0	1515939.0	1283637.0
ZeeviD_2015__PNP_Main_503__bin.3	2040492.0	1818498.0	1801490.0	1385929.0	1239880.0	1760218.0	1864742.0	1604032.0	1417055.0	1015056.0	1945014.0	1709620.0	1772481.0	1725790.0	1833037.0	1613039.0	1880978.0	1726524.0	2044191.0	1506206.0	1993974.0	1884757.0	1961461.0	1976990.0	2033139.0	1768047.0	1995669.0	1814081.0	1946738.0	1865036.0	2029182.0	1086261.0	1881789.0	2081187.0	1922593.0	1518795.0	2140778.0	2016711.0	1792783.0	2008864.0	1857201.0	1795887.0	1962024.0	2089162.0	1960376.0	1799020.0	2018915.0	1594961.0
CosteaPI_2017__SID713B020-11-0-0__bin.53	2175388.0	1811939.0	1921662.0	1422708.0	1259746.0	1746197.0	1843376.0	1725562.0	1434169.0	1042382.0	1935209.0	1731965.0	1818290.0	1769814.0	1777185.0	1614317.0	1913832.0	1828339.0	2154404.0	1512573.0	1959599.0	1934820.0	2041010.0	2050355.0	2148900.0	1737165.0	2127910.0	1828310.0	1917683.0	1871880.0	2172611.0	1096269.0	1853399.0	2199389.0	1923847.0	1517133.0	2016711.0	2291895.0	1776054.0	2009113.0	1865717.0	1780353.0	1911375.0	2061994.0	2051914.0	1959898.0	2134200.0	1542270.0
