	CosteaPI_2017__SID713A009-11-0-0__bin.16	SchirmerM_2016__G89044__bin.4	SchirmerM_2016__G89143__bin.4	CosteaPI_2017__SID713B057-11-0-0__bin.39	SchirmerM_2016__G88897__bin.16	Bengtsson-PalmeJ_2015__TRAVELRES69__bin.38	SchirmerM_2016__G88764__bin.6	SchirmerM_2016__G89117__bin.3	CosteaPI_2017__SID713B057-11-90-0__bin.8	VatanenT_2016__G80359__bin.8	BackhedF_2015__SID585_M__bin.18	SchirmerM_2016__G89030__bin.18	VatanenT_2016__G80275__bin.17	SchirmerM_2016__G88846__bin.7	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.70	Bengtsson-PalmeJ_2015__TRAVELRES55__bin.73	SchirmerM_2016__G88773__bin.12	SchirmerM_2016__G88815__bin.6	SchirmerM_2016__G89101__bin.11	FengQ_2015__SID530450__bin.38	VatanenT_2016__G78575__bin.8	VogtmannE_2016__MMRS51307502ST-27-0-0__bin.56	SchirmerM_2016__G89185__bin.12	Bengtsson-PalmeJ_2015__TRAVELRES70__bin.46	SchirmerM_2016__G88953__bin.3	SchirmerM_2016__G88944__bin.14	VatanenT_2016__G80343__bin.18	VatanenT_2016__G78719__bin.3	SchirmerM_2016__G88814__bin.17	LiJ_2014__MH0355__bin.77	SchirmerM_2016__G89274__bin.5	LiSS_2016__FAT_017-22-42-0__bin.2	LiJ_2014__MH0381__bin.39	CosteaPI_2017__SID713A009-11-90-0__bin.46	VatanenT_2016__G80381__bin.16	ZeeviD_2015__PNP_Main_449__bin.35	ZeeviD_2015__PNP_Main_503__bin.3	CosteaPI_2017__SID713B020-11-0-0__bin.53	SchirmerM_2016__G88738__bin.15	VatanenT_2016__G80350__bin.11	KosticAD_2015__PRJNA231909.3113044__bin.7	KarlssonFH_2013__S193__bin.44	VatanenT_2016__G78624__bin.5	VatanenT_2016__G78880__bin.3	KosticAD_2015__PRJNA231909.3110086__bin.29	SchirmerM_2016__G89113__bin.14	SchirmerM_2016__G88829__bin.2	XieH_2016__YSZC12003_37583__bin.43
BackhedF_2015__SID585_M__bin.18	5249.0	11037.0	11023.0	2418.0	7939.0	5090.0	10522.0	9761.0	3344.0	2009.0	0.0	4397.0	6568.0	5948.0	4155.0	4607.0	4947.0	10570.0	12596.0	13108.0	2757.0	4711.0	11754.0	5742.0	14430.0	9784.0	7415.0	2128.0	11212.0	5064.0	11772.0	9100.0	6745.0	5264.0	1970.0	5321.0	2597.0	2544.0	10759.0	3406.0	2135.0	4609.0	2000.0	4250.0	2296.0	11751.0	11682.0	6203.0
SchirmerM_2016__G89030__bin.18	1618.0	8271.0	7547.0	3185.0	5691.0	1110.0	7894.0	6819.0	4307.0	2627.0	4397.0	0.0	5234.0	5545.0	3374.0	1257.0	1217.0	7874.0	8784.0	11148.0	4552.0	606.0	8705.0	1150.0	11260.0	7642.0	5407.0	3761.0	8582.0	1678.0	8632.0	7048.0	4539.0	1628.0	3985.0	1633.0	4363.0	5688.0	8371.0	5157.0	4348.0	616.0	3991.0	5191.0	3808.0	9155.0	8518.0	2456.0
VatanenT_2016__G80275__bin.17	5337.0	9679.0	9219.0	5234.0	7131.0	6389.0	9390.0	8310.0	6478.0	4365.0	6568.0	5234.0	0.0	9272.0	7187.0	5930.0	4830.0	9452.0	10593.0	11946.0	6571.0	5835.0	10334.0	6398.0	13073.0	9641.0	66.0	6496.0	9996.0	6961.0	10196.0	8034.0	7370.0	5538.0	6259.0	5597.0	7054.0	8777.0	9548.0	7701.0	6576.0	5604.0	6250.0	7737.0	6905.0	10735.0	10351.0	7337.0
SchirmerM_2016__G88846__bin.7	6342.0	11730.0	11755.0	4488.0	8939.0	6610.0	13176.0	9742.0	5382.0	3472.0	5948.0	5545.0	9272.0	0.0	5373.0	4927.0	6951.0	11955.0	13911.0	13785.0	6457.0	6158.0	13782.0	6555.0	15287.0	11019.0	9814.0	5349.0	13656.0	5386.0	13696.0	9713.0	3613.0	6327.0	6008.0	4889.0	6075.0	6421.0	11524.0	7059.0	5799.0	6268.0	5937.0	7240.0	5379.0	13642.0	13533.0	5668.0
Bengtsson-PalmeJ_2015__TRAVELRES50__bin.70	3983.0	10335.0	9570.0	3027.0	7298.0	3881.0	10978.0	8531.0	4484.0	2455.0	4155.0	3374.0	7187.0	5373.0	0.0	3691.0	4550.0	9668.0	10943.0	12313.0	4518.0	3508.0	10941.0	4278.0	12708.0	9538.0	7591.0	3402.0	10800.0	4386.0	10801.0	8082.0	6265.0	4035.0	3699.0	3953.0	4085.0	3935.0	10359.0	5069.0	4075.0	3437.0	4092.0	5101.0	3215.0	11052.0	10728.0	5133.0
Bengtsson-PalmeJ_2015__TRAVELRES55__bin.73	2092.0	7446.0	6445.0	3481.0	5211.0	230.0	7492.0	6013.0	4559.0	2898.0	4607.0	1257.0	5930.0	4927.0	3691.0	0.0	2082.0	6827.0	7575.0	10198.0	5021.0	1437.0	7222.0	218.0	9765.0	6935.0	6014.0	4010.0	7451.0	2435.0	7490.0	6674.0	4891.0	2163.0	4508.0	2399.0	4769.0	4501.0	7387.0	5392.0	4716.0	1329.0	4366.0	5552.0	4095.0	7987.0	7332.0	3243.0
SchirmerM_2016__G88773__bin.12	2651.0	7553.0	7362.0	3324.0	5618.0	1985.0	7137.0	6228.0	4597.0	2751.0	4947.0	1217.0	4830.0	6951.0	4550.0	2082.0	0.0	7295.0	8312.0	10533.0	4759.0	1452.0	7963.0	2037.0	10657.0	6810.0	5242.0	4145.0	7837.0	2554.0	8047.0	7136.0	5397.0	2758.0	3724.0	1813.0	4336.0	5833.0	7636.0	5035.0	4020.0	1634.0	4079.0	5296.0	4276.0	8456.0	7726.0	3232.0
SchirmerM_2016__G88815__bin.6	9365.0	379.0	327.0	7156.0	328.0	7898.0	617.0	403.0	8638.0	6339.0	10570.0	7874.0	9452.0	11955.0	9668.0	6827.0	7295.0	0.0	554.0	3765.0	10111.0	8329.0	513.0	8834.0	3925.0	506.0	10649.0	9427.0	529.0	8730.0	622.0	2883.0	11125.0	9674.0	9453.0	7120.0	9986.0	11407.0	401.0	10436.0	9513.0	7457.0	9144.0	10831.0	10251.0	1336.0	499.0	9028.0
SchirmerM_2016__G89101__bin.11	10704.0	564.0	587.0	8066.0	423.0	8765.0	689.0	431.0	9703.0	6884.0	12596.0	8784.0	10593.0	13911.0	10943.0	7575.0	8312.0	554.0	0.0	4409.0	11606.0	9506.0	809.0	9873.0	4278.0	381.0	11945.0	10835.0	474.0	9792.0	677.0	3056.0	12620.0	11061.0	11102.0	8074.0	12758.0	13437.0	736.0	12085.0	10939.0	8313.0	10540.0	14894.0	11834.0	1581.0	563.0	9871.0
FengQ_2015__SID530450__bin.38	11951.0	4090.0	3973.0	9815.0	2705.0	11236.0	4505.0	3165.0	10807.0	7891.0	13108.0	11148.0	11946.0	13785.0	12313.0	10198.0	10533.0	3765.0	4409.0	0.0	13066.0	11577.0	4395.0	11968.0	6986.0	4330.0	12664.0	12458.0	4414.0	12314.0	4365.0	5226.0	13988.0	12110.0	12523.0	10047.0	13000.0	13217.0	4371.0	13599.0	12903.0	10902.0	12555.0	13799.0	12434.0	5147.0	4269.0	11515.0
VatanenT_2016__G78575__bin.8	5811.0	10438.0	10901.0	2426.0	7404.0	5298.0	10017.0	9522.0	3569.0	1922.0	2757.0	4552.0	6571.0	6457.0	4518.0	5021.0	4759.0	10111.0	11606.0	13066.0	0.0	4910.0	11462.0	6298.0	14535.0	9537.0	7678.0	2092.0	10228.0	5297.0	11881.0	8605.0	7005.0	6143.0	1117.0	4849.0	2838.0	2902.0	10338.0	3321.0	2060.0	4688.0	1032.0	3935.0	2708.0	11731.0	11418.0	6441.0
VogtmannE_2016__MMRS51307502ST-27-0-0__bin.56	1970.0	8784.0	8104.0	3339.0	6103.0	1591.0	8359.0	7406.0	4667.0	2518.0	4711.0	606.0	5835.0	6158.0	3508.0	1437.0	1452.0	8329.0	9506.0	11577.0	4910.0	0.0	9549.0	1315.0	11640.0	7970.0	5970.0	3932.0	8884.0	2147.0	9560.0	7432.0	4865.0	1963.0	4249.0	1967.0	4555.0	6383.0	8879.0	5279.0	4528.0	873.0	4261.0	5582.0	3965.0	9754.0	9049.0	2351.0
SchirmerM_2016__G89185__bin.12	10400.0	396.0	371.0	7971.0	412.0	8419.0	642.0	396.0	9455.0	6913.0	11754.0	8705.0	10334.0	13782.0	10941.0	7222.0	7963.0	513.0	809.0	4395.0	11462.0	9549.0	0.0	9592.0	3688.0	372.0	11756.0	10696.0	472.0	9644.0	777.0	3029.0	12307.0	10760.0	10459.0	7968.0	11319.0	13273.0	237.0	11956.0	10866.0	8293.0	10325.0	12644.0	11404.0	1412.0	487.0	9830.0
Bengtsson-PalmeJ_2015__TRAVELRES70__bin.46	2405.0	9307.0	8621.0	3838.0	6355.0	134.0	8919.0	7739.0	5232.0	3132.0	5742.0	1150.0	6398.0	6555.0	4278.0	218.0	2037.0	8834.0	9873.0	11968.0	6298.0	1315.0	9592.0	0.0	13000.0	8546.0	6612.0	4634.0	9522.0	2520.0	9785.0	7797.0	5560.0	2374.0	4983.0	2266.0	5530.0	7236.0	9287.0	6323.0	5279.0	1234.0	5337.0	6416.0	5033.0	10325.0	9671.0	3256.0
SchirmerM_2016__G88953__bin.3	13540.0	3505.0	3870.0	9779.0	2523.0	11214.0	3498.0	3620.0	11822.0	7990.0	14430.0	11260.0	13073.0	15287.0	12708.0	9765.0	10657.0	3925.0	4278.0	6986.0	14535.0	11640.0	3688.0	13000.0	0.0	3359.0	15041.0	13200.0	3543.0	12448.0	4429.0	4764.0	15167.0	13830.0	13414.0	9900.0	13717.0	15119.0	3371.0	14679.0	13230.0	10583.0	13127.0	15060.0	14712.0	5084.0	4358.0	12002.0
SchirmerM_2016__G88944__bin.14	8617.0	463.0	373.0	7228.0	410.0	8495.0	591.0	325.0	8661.0	6035.0	9784.0	7642.0	9641.0	11019.0	9538.0	6935.0	6810.0	506.0	381.0	4330.0	9537.0	7970.0	372.0	8546.0	3359.0	0.0	9653.0	9390.0	389.0	8921.0	419.0	2825.0	11133.0	8888.0	8985.0	7262.0	9768.0	9697.0	456.0	10391.0	9543.0	8084.0	8997.0	10630.0	9643.0	1504.0	447.0	9681.0
VatanenT_2016__G80343__bin.18	5505.0	10266.0	10455.0	5470.0	7496.0	6206.0	10118.0	9286.0	7059.0	4561.0	7415.0	5407.0	66.0	9814.0	7591.0	6014.0	5242.0	10649.0	11945.0	12664.0	7678.0	5970.0	11756.0	6612.0	15041.0	9653.0	0.0	6912.0	10757.0	6938.0	11645.0	8904.0	8241.0	5673.0	6524.0	5816.0	7528.0	9366.0	10279.0	8204.0	6902.0	5669.0	6959.0	8242.0	7474.0	11981.0	11428.0	7304.0
VatanenT_2016__G78719__bin.3	4403.0	10341.0	10009.0	958.0	7477.0	4449.0	9920.0	8589.0	1897.0	1765.0	2128.0	3761.0	6496.0	5349.0	3402.0	4010.0	4145.0	9427.0	10835.0	12458.0	2092.0	3932.0	10696.0	4634.0	13200.0	9390.0	6912.0	0.0	10620.0	4453.0	10605.0	8841.0	6248.0	4544.0	1769.0	4733.0	1422.0	691.0	10269.0	2910.0	612.0	3978.0	1476.0	2938.0	542.0	11101.0	10351.0	5448.0
SchirmerM_2016__G88814__bin.17	9779.0	416.0	375.0	7799.0	333.0	8754.0	691.0	402.0	9609.0	6669.0	11212.0	8582.0	9996.0	13656.0	10800.0	7451.0	7837.0	529.0	474.0	4414.0	10228.0	8884.0	472.0	9522.0	3543.0	389.0	10757.0	10620.0	0.0	9776.0	514.0	3010.0	12391.0	10025.0	10205.0	7748.0	11041.0	12913.0	414.0	11707.0	10625.0	8338.0	10148.0	11854.0	10938.0	1485.0	533.0	9837.0
LiJ_2014__MH0355__bin.77	2723.0	9522.0	8689.0	3640.0	6374.0	2802.0	9298.0	7766.0	4826.0	2696.0	5064.0	1678.0	6961.0	5386.0	4386.0	2435.0	2554.0	8730.0	9792.0	12314.0	5297.0	2147.0	9644.0	2520.0	12448.0	8921.0	6938.0	4453.0	9776.0	0.0	9804.0	7813.0	5125.0	2836.0	4640.0	2728.0	5046.0	5853.0	9269.0	5136.0	4947.0	2038.0	4698.0	5192.0	4349.0	10259.0	9597.0	3884.0
SchirmerM_2016__G89274__bin.5	10241.0	553.0	488.0	7893.0	275.0	8937.0	729.0	462.0	9546.0	6930.0	11772.0	8632.0	10196.0	13696.0	10801.0	7490.0	8047.0	622.0	677.0	4365.0	11881.0	9560.0	777.0	9785.0	4429.0	419.0	11645.0	10605.0	514.0	9804.0	0.0	3072.0	12425.0	10626.0	10366.0	7768.0	11343.0	13271.0	662.0	11960.0	10796.0	8179.0	10237.0	12412.0	11624.0	1518.0	470.0	9764.0
LiSS_2016__FAT_017-22-42-0__bin.2	7925.0	3004.0	2871.0	7148.0	2126.0	6838.0	3000.0	2669.0	7865.0	5549.0	9100.0	7048.0	8034.0	9713.0	8082.0	6674.0	7136.0	2883.0	3056.0	5226.0	8605.0	7432.0	3029.0	7797.0	4764.0	2825.0	8904.0	8841.0	3010.0	7813.0	3072.0	0.0	9234.0	7976.0	8372.0	6883.0	9043.0	9525.0	2956.0	9248.0	8948.0	6643.0	8318.0	9197.0	8955.0	3522.0	3012.0	7258.0
LiJ_2014__MH0381__bin.39	5098.0	11734.0	11663.0	4942.0	8121.0	5087.0	11792.0	9837.0	6082.0	3957.0	6745.0	4539.0	7370.0	3613.0	6265.0	4891.0	5397.0	11125.0	12620.0	13988.0	7005.0	4865.0	12307.0	5560.0	15167.0	11133.0	8241.0	6248.0	12391.0	5125.0	12425.0	9234.0	0.0	5190.0	5915.0	5218.0	6439.0	6520.0	11467.0	7268.0	6043.0	4857.0	6329.0	7450.0	6239.0	12366.0	12294.0	6010.0
CosteaPI_2017__SID713A009-11-90-0__bin.46	113.0	9491.0	9010.0	3765.0	6393.0	2422.0	9340.0	8364.0	5303.0	2881.0	5264.0	1628.0	5538.0	6327.0	4035.0	2163.0	2758.0	9674.0	11061.0	12110.0	6143.0	1963.0	10760.0	2374.0	13830.0	8888.0	5673.0	4544.0	10025.0	2836.0	10626.0	7976.0	5190.0	0.0	4824.0	2786.0	5413.0	7208.0	9750.0	6105.0	4867.0	1718.0	5150.0	6463.0	4848.0	11041.0	12553.0	3899.0
VatanenT_2016__G80381__bin.16	4695.0	9970.0	9679.0	1832.0	7098.0	4691.0	9502.0	8401.0	2818.0	1459.0	1970.0	3985.0	6259.0	6008.0	3699.0	4508.0	3724.0	9453.0	11102.0	12523.0	1117.0	4249.0	10459.0	4983.0	13414.0	8985.0	6524.0	1769.0	10205.0	4640.0	10366.0	8372.0	5915.0	4824.0	0.0	4512.0	1742.0	1596.0	9998.0	2435.0	1424.0	4266.0	491.0	2672.0	1584.0	10783.0	10168.0	5803.0
ZeeviD_2015__PNP_Main_449__bin.35	2752.0	7624.0	7376.0	4197.0	5382.0	2359.0	7266.0	6244.0	4865.0	3116.0	5321.0	1633.0	5597.0	4889.0	3953.0	2399.0	1813.0	7120.0	8074.0	10047.0	4849.0	1967.0	7968.0	2266.0	9900.0	7262.0	5816.0	4733.0	7748.0	2728.0	7768.0	6883.0	5218.0	2786.0	4512.0	0.0	4698.0	4703.0	7676.0	5431.0	4625.0	1858.0	4548.0	5447.0	4750.0	8051.0	7647.0	3174.0
ZeeviD_2015__PNP_Main_503__bin.3	5396.0	10694.0	10538.0	1043.0	7706.0	5184.0	10312.0	8987.0	2115.0	1693.0	2597.0	4363.0	7054.0	6075.0	4085.0	4769.0	4336.0	9986.0	12758.0	13000.0	2838.0	4555.0	11319.0	5530.0	13717.0	9768.0	7528.0	1422.0	11041.0	5046.0	11343.0	9043.0	6439.0	5413.0	1742.0	4698.0	0.0	654.0	10643.0	3075.0	566.0	5359.0	1956.0	4370.0	570.0	11491.0	11005.0	6151.0
CosteaPI_2017__SID713B020-11-0-0__bin.53	7164.0	10920.0	11662.0	910.0	8976.0	6752.0	12159.0	9598.0	2152.0	1774.0	2544.0	5688.0	8777.0	6421.0	3935.0	4501.0	5833.0	11407.0	13437.0	13217.0	2902.0	6383.0	13273.0	7236.0	15119.0	9697.0	9366.0	691.0	12913.0	5853.0	13271.0	9525.0	6520.0	7208.0	1596.0	4703.0	654.0	0.0	10719.0	3070.0	615.0	6321.0	1983.0	3065.0	591.0	13377.0	12950.0	6211.0
SchirmerM_2016__G88738__bin.15	9343.0	558.0	390.0	7638.0	324.0	8536.0	657.0	418.0	9115.0	6595.0	10759.0	8371.0	9548.0	11524.0	10359.0	7387.0	7636.0	401.0	736.0	4371.0	10338.0	8879.0	237.0	9287.0	3371.0	456.0	10279.0	10269.0	414.0	9269.0	662.0	2956.0	11467.0	9750.0	9998.0	7676.0	10643.0	10719.0	0.0	11338.0	10579.0	8053.0	9780.0	11317.0	10584.0	1420.0	461.0	9595.0
VatanenT_2016__G80350__bin.11	6062.0	11449.0	11225.0	3118.0	8028.0	6050.0	10934.0	9406.0	3974.0	72.0	3406.0	5157.0	7701.0	7059.0	5069.0	5392.0	5035.0	10436.0	12085.0	13599.0	3321.0	5279.0	11956.0	6323.0	14679.0	10391.0	8204.0	2910.0	11707.0	5136.0	11960.0	9248.0	7268.0	6105.0	2435.0	5431.0	3075.0	3070.0	11338.0	0.0	2934.0	5491.0	2783.0	139.0	2856.0	12154.0	11852.0	7087.0
KosticAD_2015__PRJNA231909.3113044__bin.7	4837.0	10544.0	10155.0	859.0	7443.0	5147.0	9942.0	8666.0	2012.0	1677.0	2135.0	4348.0	6576.0	5799.0	4075.0	4716.0	4020.0	9513.0	10939.0	12903.0	2060.0	4528.0	10866.0	5279.0	13230.0	9543.0	6902.0	612.0	10625.0	4947.0	10796.0	8948.0	6043.0	4867.0	1424.0	4625.0	566.0	615.0	10579.0	2934.0	0.0	4554.0	1506.0	2911.0	93.0	11171.0	10567.0	6215.0
KarlssonFH_2013__S193__bin.44	1673.0	8032.0	7229.0	3387.0	5679.0	1515.0	7736.0	6523.0	4498.0	2669.0	4609.0	616.0	5604.0	6268.0	3437.0	1329.0	1634.0	7457.0	8313.0	10902.0	4688.0	873.0	8293.0	1234.0	10583.0	8084.0	5669.0	3978.0	8338.0	2038.0	8179.0	6643.0	4857.0	1718.0	4266.0	1858.0	5359.0	6321.0	8053.0	5491.0	4554.0	0.0	4163.0	5609.0	4062.0	8806.0	8063.0	2771.0
VatanenT_2016__G78624__bin.5	5058.0	9740.0	9700.0	1776.0	6710.0	4724.0	9526.0	8197.0	2825.0	1451.0	2000.0	3991.0	6250.0	5937.0	4092.0	4366.0	4079.0	9144.0	10540.0	12555.0	1032.0	4261.0	10325.0	5337.0	13127.0	8997.0	6959.0	1476.0	10148.0	4698.0	10237.0	8318.0	6329.0	5150.0	491.0	4548.0	1956.0	1983.0	9780.0	2783.0	1506.0	4163.0	0.0	2812.0	1775.0	10661.0	10003.0	5952.0
VatanenT_2016__G78880__bin.3	6438.0	11329.0	11562.0	3171.0	8229.0	6178.0	11182.0	9624.0	4097.0	78.0	4250.0	5191.0	7737.0	7240.0	5101.0	5552.0	5296.0	10831.0	14894.0	13799.0	3935.0	5582.0	12644.0	6416.0	15060.0	10630.0	8242.0	2938.0	11854.0	5192.0	12412.0	9197.0	7450.0	6463.0	2672.0	5447.0	4370.0	3065.0	11317.0	139.0	2911.0	5609.0	2812.0	0.0	2975.0	12541.0	12187.0	7116.0
KosticAD_2015__PRJNA231909.3110086__bin.29	4750.0	10598.0	10947.0	854.0	7821.0	4545.0	10198.0	9275.0	1990.0	1702.0	2296.0	3808.0	6905.0	5379.0	3215.0	4095.0	4276.0	10251.0	11834.0	12434.0	2708.0	3965.0	11404.0	5033.0	14712.0	9643.0	7474.0	542.0	10938.0	4349.0	11624.0	8955.0	6239.0	4848.0	1584.0	4750.0	570.0	591.0	10584.0	2856.0	93.0	4062.0	1775.0	2975.0	0.0	11879.0	11339.0	5634.0
SchirmerM_2016__G89113__bin.14	10791.0	1408.0	1438.0	8302.0	799.0	9225.0	1661.0	1296.0	9993.0	7299.0	11751.0	9155.0	10735.0	13642.0	11052.0	7987.0	8456.0	1336.0	1581.0	5147.0	11731.0	9754.0	1412.0	10325.0	5084.0	1504.0	11981.0	11101.0	1485.0	10259.0	1518.0	3522.0	12366.0	11041.0	10783.0	8051.0	11491.0	13377.0	1420.0	12154.0	11171.0	8806.0	10661.0	12541.0	11879.0	0.0	1500.0	10126.0
