	SchirmerM_2016__G88728__bin.16	ZeeviD_2015__PNP_Main_316__bin.11	QinJ_2012__DOM022__bin.11	QinJ_2012__CON-101__bin.59	ZeeviD_2015__PNP_Main_170__bin.44	HeQ_2017__SZAXPI029492-90__bin.5	WenC_2017__N310__bin.37	WenC_2017__N017__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	ZeeviD_2015__PNP_Main_76__bin.23	ZellerG_2014__CCIS41692898ST-4-0__bin.27	BritoIL_2016__M1.62.ST__bin.60	QinJ_2012__CON-075__bin.51	BritoIL_2016__W2.68.ST__bin.11	ZeeviD_2015__PNP_DietIntervention_2__bin.17	QinN_2014__LD-45__bin.33	ZeeviD_2015__PNP_Main_303__bin.16	LiJ_2017__H3M615132__bin.31	QinJ_2012__CON-057__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.35	QinN_2014__HD-40__bin.11	BritoIL_2016__M1.26.ST__bin.14	QinN_2014__LD-98__bin.15	QinN_2014__HD-39__bin.8	BritoIL_2016__W2.52.ST__bin.10	ZeeviD_2015__PNP_Main_335__bin.20	LeChatelierE_2013__MH0313__bin.50	ZeeviD_2015__PNP_Main_176__bin.29	LiuW_2016__SRR3993044__bin.101	QinN_2014__HD-20__bin.7
ZellerG_2014__CCIS41692898ST-4-0__bin.27	1441329.0	2125619.0	1997186.0	1718490.0	1757243.0	2343022.0	2098090.0	1987349.0	1998931.0	2273161.0	2536886.0	2279795.0	2092238.0	1877019.0	2331489.0	1797719.0	2013335.0	2119205.0	1947301.0	2305398.0	1436726.0	2266980.0	2298917.0	1795504.0	2258419.0	2260620.0	2239165.0	1962515.0	1382070.0	2320054.0
BritoIL_2016__M1.62.ST__bin.60	1467257.0	2155050.0	2162690.0	1766219.0	1793175.0	2436379.0	2181902.0	2083199.0	2175138.0	2384310.0	2279795.0	2739128.0	2154981.0	2084933.0	2466762.0	1894599.0	2081221.0	2203427.0	2041266.0	2445168.0	1466563.0	2370132.0	2407289.0	1996400.0	2367613.0	2380483.0	2345451.0	2126533.0	1429144.0	2443924.0
QinJ_2012__CON-075__bin.51	1391586.0	1994516.0	1943656.0	1723184.0	1673495.0	2196214.0	2064270.0	1964750.0	1904477.0	2147990.0	2092238.0	2154981.0	2338513.0	1787230.0	2208829.0	1743687.0	1970275.0	2063330.0	1965193.0	2196913.0	1417436.0	2142201.0	2205159.0	1744542.0	2133829.0	2186872.0	2135754.0	1842193.0	1355382.0	2283201.0
BritoIL_2016__W2.68.ST__bin.11	1148863.0	1772220.0	1724328.0	1411150.0	1411004.0	2053077.0	1808348.0	1760946.0	2050577.0	2005380.0	1877019.0	2084933.0	1787230.0	2249507.0	2092860.0	1885093.0	1706416.0	1842156.0	1680278.0	2069016.0	1135271.0	1981398.0	2030044.0	1974159.0	1955793.0	2024558.0	1987242.0	2019719.0	1159131.0	2061988.0
ZeeviD_2015__PNP_DietIntervention_2__bin.17	1535172.0	2276426.0	2133067.0	1821341.0	1883509.0	2551748.0	2224405.0	2157422.0	2227379.0	2527155.0	2331489.0	2466762.0	2208829.0	2092860.0	2786805.0	1984285.0	2191325.0	2289329.0	2081273.0	2530069.0	1513247.0	2485100.0	2485056.0	1988638.0	2448131.0	2461944.0	2427631.0	2220921.0	1483702.0	2533297.0
QinN_2014__LD-45__bin.33	1144828.0	1701933.0	1700873.0	1391232.0	1421776.0	1935216.0	1740508.0	1665765.0	1872646.0	1895571.0	1797719.0	1894599.0	1743687.0	1885093.0	1984285.0	2379043.0	1660350.0	1774579.0	1634525.0	1943540.0	1150411.0	1908173.0	1990201.0	1842471.0	1869829.0	1974366.0	1852018.0	1880617.0	1137843.0	1998772.0
ZeeviD_2015__PNP_Main_303__bin.16	1313070.0	1959474.0	1861398.0	1670975.0	1660457.0	2159718.0	2003558.0	1825436.0	1845905.0	2113883.0	2013335.0	2081221.0	1970275.0	1706416.0	2191325.0	1660350.0	2407184.0	1930706.0	1903171.0	2126405.0	1371336.0	2077291.0	2166660.0	1655926.0	2083507.0	2214218.0	2046574.0	1794846.0	1242295.0	2294159.0
LiJ_2017__H3M615132__bin.31	1456995.0	2039311.0	1945080.0	1709029.0	1717041.0	2286303.0	2054251.0	2073162.0	1977555.0	2219560.0	2119205.0	2203427.0	2063330.0	1842156.0	2289329.0	1774579.0	1930706.0	2440424.0	1956436.0	2242561.0	1437099.0	2194630.0	2209024.0	1757927.0	2194046.0	2195484.0	2259532.0	1924044.0	1437043.0	2260398.0
QinJ_2012__CON-057__bin.26	1319912.0	1877496.0	1835558.0	1727777.0	1590175.0	2094789.0	2003079.0	1857730.0	1823208.0	2026478.0	1947301.0	2041266.0	1965193.0	1680278.0	2081273.0	1634525.0	1903171.0	1956436.0	2275902.0	2045897.0	1416190.0	2000046.0	2083684.0	1608296.0	1991838.0	2093877.0	1994919.0	1721393.0	1299794.0	2219060.0
Bengtsson-PalmeJ_2015__TRAVELRES8__bin.35	1507247.0	2220607.0	2112472.0	1794542.0	1823096.0	2487349.0	2211211.0	2122545.0	2206314.0	2412752.0	2305398.0	2445168.0	2196913.0	2069016.0	2530069.0	1943540.0	2126405.0	2242561.0	2045897.0	2883809.0	1485951.0	2394593.0	2426206.0	1975459.0	2414935.0	2406816.0	2361785.0	2164717.0	1452538.0	2482395.0
QinN_2014__HD-40__bin.11	1078218.0	1384439.0	1370716.0	1294441.0	1194898.0	1506376.0	1463150.0	1404889.0	1259747.0	1487766.0	1436726.0	1466563.0	1417436.0	1135271.0	1513247.0	1150411.0	1371336.0	1437099.0	1416190.0	1485951.0	1640333.0	1479086.0	1494572.0	1073944.0	1482724.0	1508835.0	1466319.0	1199522.0	1057777.0	1579897.0
BritoIL_2016__M1.26.ST__bin.14	1478374.0	2179597.0	2068800.0	1752578.0	1807580.0	2425423.0	2157541.0	2069850.0	2108451.0	2392188.0	2266980.0	2370132.0	2142201.0	1981398.0	2485100.0	1908173.0	2077291.0	2194630.0	2000046.0	2394593.0	1479086.0	2685592.0	2380883.0	1886876.0	2358274.0	2363892.0	2324249.0	2082211.0	1445382.0	2418661.0
QinN_2014__LD-98__bin.15	1484404.0	2179569.0	2146215.0	1806815.0	1802026.0	2474752.0	2220747.0	2086878.0	2169835.0	2396853.0	2298917.0	2407289.0	2205159.0	2030044.0	2485056.0	1990201.0	2166660.0	2209024.0	2083684.0	2426206.0	1494572.0	2380883.0	2739910.0	1978662.0	2349701.0	2464894.0	2343143.0	2103914.0	1435030.0	2523192.0
QinN_2014__HD-39__bin.8	1081923.0	1693887.0	1710339.0	1328320.0	1325320.0	1975666.0	1732912.0	1675073.0	1990591.0	1898909.0	1795504.0	1996400.0	1744542.0	1974159.0	1988638.0	1842471.0	1655926.0	1757927.0	1608296.0	1975459.0	1073944.0	1886876.0	1978662.0	2179898.0	1857136.0	2004325.0	1878917.0	1998463.0	1095430.0	2024435.0
BritoIL_2016__W2.52.ST__bin.10	1489558.0	2179009.0	2057821.0	1762716.0	1793012.0	2413353.0	2143254.0	2066604.0	2103338.0	2371043.0	2258419.0	2367613.0	2133829.0	1955793.0	2448131.0	1869829.0	2083507.0	2194046.0	1991838.0	2414935.0	1482724.0	2358274.0	2349701.0	1857136.0	2562137.0	2334173.0	2306213.0	2061499.0	1434739.0	2388352.0
ZeeviD_2015__PNP_Main_335__bin.20	1465677.0	2144031.0	2116463.0	1809196.0	1795605.0	2453309.0	2233716.0	2088402.0	2177650.0	2370342.0	2260620.0	2380483.0	2186872.0	2024558.0	2461944.0	1974366.0	2214218.0	2195484.0	2093877.0	2406816.0	1508835.0	2363892.0	2464894.0	2004325.0	2334173.0	2735315.0	2325804.0	2136399.0	1443506.0	2595297.0
LeChatelierE_2013__MH0313__bin.50	1465249.0	2130945.0	2030849.0	1754883.0	1794778.0	2409517.0	2133905.0	2112617.0	2073200.0	2359580.0	2239165.0	2345451.0	2135754.0	1987242.0	2427631.0	1852018.0	2046574.0	2259532.0	1994919.0	2361785.0	1466319.0	2324249.0	2343143.0	1878917.0	2306213.0	2325804.0	2548240.0	2064666.0	1436786.0	2380531.0
ZeeviD_2015__PNP_Main_176__bin.29	1238094.0	1878051.0	1782111.0	1449374.0	1495989.0	2158771.0	1865095.0	1823169.0	2098999.0	2093614.0	1962515.0	2126533.0	1842193.0	2019719.0	2220921.0	1880617.0	1794846.0	1924044.0	1721393.0	2164717.0	1199522.0	2082211.0	2103914.0	1998463.0	2061499.0	2136399.0	2064666.0	2431805.0	1234394.0	2146505.0
LiuW_2016__SRR3993044__bin.101	1093696.0	1327448.0	1302665.0	1163245.0	1136899.0	1459762.0	1352670.0	1412437.0	1214044.0	1448180.0	1382070.0	1429144.0	1355382.0	1159131.0	1483702.0	1137843.0	1242295.0	1437043.0	1299794.0	1452538.0	1057777.0	1445382.0	1435030.0	1095430.0	1434739.0	1443506.0	1436786.0	1234394.0	1615117.0	1463512.0
QinN_2014__HD-20__bin.7	1499691.0	2221428.0	2153501.0	1924260.0	1853327.0	2549159.0	2335082.0	2153552.0	2250649.0	2442362.0	2320054.0	2443924.0	2283201.0	2061988.0	2533297.0	1998772.0	2294159.0	2260398.0	2219060.0	2482395.0	1579897.0	2418661.0	2523192.0	2024435.0	2388352.0	2595297.0	2380531.0	2146505.0	1463512.0	2794150.0
