	SchirmerM_2016__G88728__bin.16	ZeeviD_2015__PNP_Main_316__bin.11	QinJ_2012__DOM022__bin.11	QinJ_2012__CON-101__bin.59	ZeeviD_2015__PNP_Main_170__bin.44	HeQ_2017__SZAXPI029492-90__bin.5	WenC_2017__N310__bin.37	WenC_2017__N017__bin.35	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.47	ZeeviD_2015__PNP_Main_76__bin.23	ZellerG_2014__CCIS41692898ST-4-0__bin.27	BritoIL_2016__M1.62.ST__bin.60	QinJ_2012__CON-075__bin.51	BritoIL_2016__W2.68.ST__bin.11	ZeeviD_2015__PNP_DietIntervention_2__bin.17	QinN_2014__LD-45__bin.33	ZeeviD_2015__PNP_Main_303__bin.16	LiJ_2017__H3M615132__bin.31	QinJ_2012__CON-057__bin.26	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.35	QinN_2014__HD-40__bin.11	BritoIL_2016__M1.26.ST__bin.14	QinN_2014__LD-98__bin.15	QinN_2014__HD-39__bin.8	BritoIL_2016__W2.52.ST__bin.10	ZeeviD_2015__PNP_Main_335__bin.20	LeChatelierE_2013__MH0313__bin.50	ZeeviD_2015__PNP_Main_176__bin.29	LiuW_2016__SRR3993044__bin.101	QinN_2014__HD-20__bin.7
ZellerG_2014__CCIS41692898ST-4-0__bin.27	13275.0	21831.0	27844.0	24730.0	18897.0	26421.0	28718.0	21047.0	23316.0	24608.0	0.0	25407.0	29274.0	20604.0	24812.0	24525.0	27276.0	22571.0	26034.0	24351.0	18673.0	24990.0	33117.0	24601.0	24480.0	30693.0	23195.0	20023.0	13813.0	31098.0
BritoIL_2016__M1.62.ST__bin.60	11141.0	19343.0	30157.0	27558.0	16228.0	23713.0	31910.0	18570.0	23342.0	20724.0	25407.0	0.0	31162.0	18045.0	22364.0	27264.0	30110.0	19423.0	29080.0	23873.0	20406.0	21195.0	36522.0	28006.0	20080.0	33162.0	20025.0	19405.0	11345.0	34491.0
QinJ_2012__CON-075__bin.51	18310.0	29010.0	19560.0	18223.0	23866.0	30784.0	19943.0	25484.0	27736.0	30601.0	29274.0	31162.0	0.0	25698.0	32589.0	17071.0	19635.0	27889.0	19076.0	32324.0	13915.0	30412.0	21967.0	17028.0	30487.0	22143.0	30164.0	26384.0	17714.0	23900.0
BritoIL_2016__W2.68.ST__bin.11	8701.0	16231.0	24545.0	21684.0	12496.0	19986.0	26440.0	15986.0	21903.0	18214.0	20604.0	18045.0	25698.0	0.0	18751.0	26986.0	25031.0	15849.0	24184.0	20123.0	15633.0	18240.0	29584.0	29474.0	17246.0	28381.0	17119.0	18608.0	9377.0	29387.0
ZeeviD_2015__PNP_DietIntervention_2__bin.17	11196.0	19759.0	29524.0	27211.0	16087.0	23959.0	32369.0	19162.0	23363.0	20409.0	24812.0	22364.0	32589.0	18751.0	0.0	29299.0	31236.0	18740.0	29028.0	21380.0	20785.0	21124.0	36608.0	29726.0	21990.0	34288.0	19134.0	18960.0	11155.0	35713.0
QinN_2014__LD-45__bin.33	14471.0	24277.0	16798.0	14830.0	21265.0	27570.0	16381.0	21821.0	27101.0	27640.0	24525.0	27264.0	17071.0	26986.0	29299.0	0.0	15953.0	23873.0	14855.0	28829.0	10609.0	27921.0	18257.0	19371.0	27266.0	19911.0	26598.0	27106.0	14715.0	20562.0
ZeeviD_2015__PNP_Main_303__bin.16	16682.0	27995.0	18665.0	6656.0	23122.0	30310.0	4972.0	23269.0	27609.0	30202.0	27276.0	30110.0	19635.0	25031.0	31236.0	15953.0	0.0	25274.0	2399.0	31579.0	2178.0	29661.0	21956.0	17575.0	29863.0	12792.0	28903.0	25262.0	15671.0	8530.0
LiJ_2017__H3M615132__bin.31	11773.0	17757.0	25586.0	23580.0	14534.0	20261.0	26944.0	17307.0	19907.0	18964.0	22571.0	19423.0	27889.0	15849.0	18740.0	23873.0	25274.0	0.0	25712.0	18654.0	18094.0	19206.0	29856.0	23477.0	19738.0	28051.0	11003.0	16164.0	11356.0	28808.0
QinJ_2012__CON-057__bin.26	17040.0	26448.0	18653.0	8077.0	21629.0	28790.0	6387.0	23851.0	27308.0	28544.0	26034.0	29080.0	19076.0	24184.0	29028.0	14855.0	2399.0	25712.0	0.0	29449.0	3383.0	27724.0	20841.0	15570.0	27809.0	13386.0	28000.0	23648.0	16098.0	9390.0
Bengtsson-PalmeJ_2015__TRAVELRES8__bin.35	11367.0	19359.0	30858.0	27200.0	16067.0	23919.0	32013.0	19306.0	23971.0	20394.0	24351.0	23873.0	32324.0	20123.0	21380.0	28829.0	31579.0	18654.0	29449.0	0.0	20373.0	22471.0	36248.0	30568.0	22378.0	34780.0	18449.0	19401.0	11114.0	35616.0
QinN_2014__HD-40__bin.11	13581.0	18619.0	13968.0	6291.0	16141.0	20427.0	4980.0	17661.0	18118.0	20396.0	18673.0	20406.0	13915.0	15633.0	20785.0	10609.0	2178.0	18094.0	3383.0	20373.0	0.0	20379.0	15005.0	10847.0	20278.0	10135.0	19685.0	16062.0	12887.0	7346.0
BritoIL_2016__M1.26.ST__bin.14	11440.0	19696.0	29562.0	27015.0	15978.0	23020.0	31037.0	19131.0	22735.0	20598.0	24990.0	21195.0	30412.0	18240.0	21124.0	27921.0	29661.0	19206.0	27724.0	22471.0	20379.0	0.0	34323.0	28142.0	19628.0	32834.0	19324.0	17840.0	10641.0	33774.0
QinN_2014__LD-98__bin.15	19564.0	31875.0	21404.0	19542.0	26902.0	34763.0	21670.0	27498.0	33289.0	35132.0	33117.0	36522.0	21967.0	29584.0	36608.0	18257.0	21956.0	29856.0	20841.0	36248.0	15005.0	34323.0	0.0	19056.0	35182.0	25206.0	33714.0	30290.0	18711.0	26539.0
QinN_2014__HD-39__bin.8	14417.0	25094.0	15130.0	14850.0	19426.0	27066.0	17404.0	22103.0	28664.0	27482.0	24601.0	28006.0	17028.0	29474.0	29726.0	19371.0	17575.0	23477.0	15570.0	30568.0	10847.0	28142.0	19056.0	0.0	27117.0	22295.0	26903.0	29949.0	14780.0	21637.0
BritoIL_2016__W2.52.ST__bin.10	11694.0	19362.0	29585.0	26085.0	16617.0	23380.0	30574.0	18445.0	21362.0	19969.0	24480.0	20080.0	30487.0	17246.0	21990.0	27266.0	29863.0	19738.0	27809.0	22378.0	20278.0	19628.0	35182.0	27117.0	0.0	31650.0	19317.0	18541.0	11049.0	33426.0
ZeeviD_2015__PNP_Main_335__bin.20	17938.0	29648.0	21453.0	14294.0	24654.0	32687.0	13723.0	25954.0	32061.0	32811.0	30693.0	33162.0	22143.0	28381.0	34288.0	19911.0	12792.0	28051.0	13386.0	34780.0	10135.0	32834.0	25206.0	22295.0	31650.0	0.0	30999.0	29350.0	17368.0	17257.0
LeChatelierE_2013__MH0313__bin.50	10503.0	17636.0	27967.0	25925.0	14236.0	20898.0	29874.0	17603.0	20313.0	18927.0	23195.0	20025.0	30164.0	17119.0	19134.0	26598.0	28903.0	11003.0	28000.0	18449.0	19685.0	19324.0	33714.0	26903.0	19317.0	30999.0	0.0	16719.0	10369.0	32421.0
ZeeviD_2015__PNP_Main_176__bin.29	8754.0	16027.0	24406.0	22270.0	12312.0	20062.0	26730.0	16337.0	21543.0	16633.0	20023.0	19405.0	26384.0	18608.0	18960.0	27106.0	25262.0	16164.0	23648.0	19401.0	16062.0	17840.0	30290.0	29949.0	18541.0	29350.0	16719.0	0.0	9256.0	29692.0
LiuW_2016__SRR3993044__bin.101	7757.0	10503.0	16448.0	15153.0	8411.0	11931.0	16995.0	10839.0	10963.0	10651.0	13813.0	11345.0	17714.0	9377.0	11155.0	14715.0	15671.0	11356.0	16098.0	11114.0	12887.0	10641.0	18711.0	14780.0	11049.0	17368.0	10369.0	9256.0	0.0	18025.0
QinN_2014__HD-20__bin.7	18568.0	30952.0	22421.0	10042.0	25722.0	34914.0	9385.0	26801.0	33991.0	33776.0	31098.0	34491.0	23900.0	29387.0	35713.0	20562.0	8530.0	28808.0	9390.0	35616.0	7346.0	33774.0	26539.0	21637.0	33426.0	17257.0	32421.0	29692.0	18025.0	0.0
