	KarlssonFH_2013__S517__bin.51	BritoIL_2016__WL.11.ST__bin.23	LeChatelierE_2013__MH0247__bin.73	ZellerG_2014__CCIS90903952ST-3-0__bin.20	ZeeviD_2015__PNP_Main_65__bin.27	ZeeviD_2015__PNP_Main_216__bin.37	SchirmerM_2016__G88853__bin.18	ZellerG_2014__CCIS74239020ST-4-0__bin.25	LiJ_2014__MH0374__bin.3	BritoIL_2016__M1.24.ST__bin.68	BritoIL_2016__M1.37.ST__bin.55	CosteaPI_2017__tigress-11-60-0__bin.19	ZeeviD_2015__PNP_Main_391__bin.18	BritoIL_2016__M2.40.ST__bin.42	LeChatelierE_2013__MH0422__bin.89	CosteaPI_2017__tigress-11-2-0__bin.2	BritoIL_2016__M2.11.ST__bin.69	ZeeviD_2015__PNP_Main_357__bin.9	ZeeviD_2015__PNP_Validation_63__bin.18	ZeeviD_2015__PNP_Main_311__bin.24	YuJ_2015__SZAXPI017591-140__bin.72	WenC_2017__RA030__bin.18	LeChatelierE_2013__MH0428__bin.46	ZeeviD_2015__PNP_Main_310__bin.38	FengQ_2015__SID31549__bin.26	CosteaPI_2017__tigress-11-0-0__bin.31	ZeeviD_2015__PNP_Main_589__bin.70	SchirmerM_2016__G89030__bin.39	CosteaPI_2017__SID713B007-11-0-0__bin.12	LiJ_2014__MH0345__bin.67	CM_madagascar__V48_03_2FE__bin.12	ZeeviD_2015__PNP_Main_287__bin.67	SchirmerM_2016__G89199__bin.19	LeChatelierE_2013__MH0447__bin.112	BritoIL_2016__M2.36.ST__bin.81	ZeeviD_2015__PNP_Main_34__bin.13	BritoIL_2016__W1.44.ST__bin.5	SchirmerM_2016__G89113__bin.12	CosteaPI_2017__tigress-11-7-0__bin.36
BritoIL_2016__M1.37.ST__bin.55	2660397.0	2014451.0	1517569.0	2484052.0	2213071.0	2647160.0	2102666.0	2399701.0	1612679.0	2751162.0	2796587.0	2605633.0	2631699.0	2518295.0	2621611.0	2370932.0	2200709.0	2619023.0	2282446.0	2656885.0	2582404.0	2198403.0	2635155.0	2665076.0	1854564.0	2587999.0	1793054.0	2359528.0	2622574.0	2646727.0	2135535.0	2353755.0	2142392.0	2505088.0	1664234.0	2632044.0	2452486.0	2544257.0	2656821.0
CosteaPI_2017__tigress-11-60-0__bin.19	2640062.0	2011263.0	1537266.0	2501285.0	2205799.0	2663439.0	2094904.0	2429723.0	1610264.0	2639340.0	2605633.0	2873839.0	2618523.0	2403081.0	2647042.0	2461773.0	2181673.0	2601324.0	2279112.0	2645989.0	2594085.0	2179434.0	2633015.0	2661007.0	1858911.0	2786836.0	1780494.0	2337706.0	2642906.0	2642981.0	2120266.0	2318251.0	2105863.0	2512284.0	1673833.0	2635341.0	2462955.0	2525014.0	2855553.0
ZeeviD_2015__PNP_Main_391__bin.18	2629631.0	2039913.0	1515003.0	2492786.0	2257890.0	2669096.0	2121634.0	2402918.0	1586713.0	2651587.0	2631699.0	2618523.0	2903879.0	2450900.0	2622431.0	2382996.0	2230273.0	2610675.0	2275397.0	2660838.0	2583674.0	2219622.0	2607650.0	2662988.0	1851993.0	2613380.0	1791105.0	2338624.0	2648257.0	2638720.0	2161568.0	2326353.0	2126275.0	2502998.0	1675155.0	2664291.0	2474738.0	2509241.0	2681123.0
BritoIL_2016__M2.40.ST__bin.42	2452898.0	1893852.0	1376185.0	2320174.0	2079218.0	2461915.0	1987282.0	2249525.0	1450603.0	2548973.0	2518295.0	2403081.0	2450900.0	2620128.0	2431730.0	2222219.0	2089729.0	2415925.0	2139257.0	2462460.0	2378190.0	2061772.0	2456513.0	2481453.0	1763764.0	2387269.0	1701993.0	2198515.0	2411689.0	2452586.0	1989274.0	2197642.0	2017846.0	2320495.0	1572049.0	2452701.0	2285491.0	2351281.0	2454733.0
LeChatelierE_2013__MH0422__bin.89	2700779.0	2020362.0	1515842.0	2521691.0	2253015.0	2724726.0	2132815.0	2421590.0	1602937.0	2668449.0	2621611.0	2647042.0	2622431.0	2431730.0	2971867.0	2382045.0	2215188.0	2623740.0	2293311.0	2714545.0	2611450.0	2193812.0	2656662.0	2713894.0	1876375.0	2624712.0	1802576.0	2378748.0	2671167.0	2720227.0	2161219.0	2366254.0	2126543.0	2538341.0	1668398.0	2661980.0	2480565.0	2545958.0	2689724.0
CosteaPI_2017__tigress-11-2-0__bin.2	2379413.0	1868088.0	1335774.0	2319206.0	2047864.0	2383049.0	2011031.0	2251678.0	1409065.0	2378705.0	2370932.0	2461773.0	2382996.0	2222219.0	2382045.0	2561155.0	2053423.0	2356934.0	2137846.0	2393581.0	2323586.0	2035075.0	2370380.0	2405380.0	1756091.0	2460484.0	1685632.0	2199803.0	2381631.0	2369819.0	1993962.0	2151811.0	1969758.0	2272732.0	1503332.0	2371902.0	2231693.0	2322898.0	2523222.0
BritoIL_2016__M2.11.ST__bin.69	2196768.0	1921931.0	1218401.0	2120911.0	2125265.0	2228024.0	1850630.0	2071886.0	1270635.0	2204888.0	2200709.0	2181673.0	2230273.0	2089729.0	2215188.0	2053423.0	2526926.0	2169988.0	1962511.0	2209539.0	2245573.0	1957877.0	2183849.0	2222376.0	1637732.0	2167832.0	1560697.0	2020818.0	2183556.0	2193580.0	2006989.0	2001253.0	1827249.0	2097929.0	1618461.0	2176268.0	2273939.0	2132436.0	2226856.0
ZeeviD_2015__PNP_Main_357__bin.9	2634453.0	1979512.0	1516419.0	2490189.0	2185765.0	2641213.0	2086738.0	2374613.0	1579156.0	2642350.0	2619023.0	2601324.0	2610675.0	2415925.0	2623740.0	2356934.0	2169988.0	2815174.0	2261849.0	2653328.0	2551063.0	2164925.0	2601809.0	2683832.0	1840584.0	2575387.0	1790051.0	2376263.0	2591422.0	2626543.0	2090489.0	2346225.0	2096636.0	2483277.0	1642575.0	2624310.0	2431548.0	2521730.0	2642524.0
ZeeviD_2015__PNP_Validation_63__bin.18	2291410.0	1794246.0	1307818.0	2255608.0	1980181.0	2293046.0	1899652.0	2159711.0	1361393.0	2292694.0	2282446.0	2279112.0	2275397.0	2139257.0	2293311.0	2137846.0	1962511.0	2261849.0	2411835.0	2301516.0	2252623.0	1963457.0	2301990.0	2316705.0	1695529.0	2267864.0	1659744.0	2095809.0	2307967.0	2292552.0	1877439.0	2081660.0	1897121.0	2215393.0	1465817.0	2266181.0	2144121.0	2242039.0	2326926.0
ZeeviD_2015__PNP_Main_311__bin.24	2889073.0	2035070.0	1546790.0	2521132.0	2243421.0	2704748.0	2136535.0	2414660.0	1626333.0	2699207.0	2656885.0	2645989.0	2660838.0	2462460.0	2714545.0	2393581.0	2209539.0	2653328.0	2301516.0	2919748.0	2645415.0	2224180.0	2679514.0	2747353.0	1868248.0	2629415.0	1820790.0	2398695.0	2670748.0	2798492.0	2157324.0	2375689.0	2160207.0	2540667.0	1672079.0	2672901.0	2479548.0	2576587.0	2705349.0
YuJ_2015__SZAXPI017591-140__bin.72	2624337.0	2104027.0	1490671.0	2462740.0	2321329.0	2631667.0	2107370.0	2345002.0	1569552.0	2599458.0	2582404.0	2594085.0	2583674.0	2378190.0	2611450.0	2323586.0	2245573.0	2551063.0	2252623.0	2645415.0	2964699.0	2292434.0	2574618.0	2641667.0	1831870.0	2573153.0	1767562.0	2315977.0	2598683.0	2628713.0	2213985.0	2298203.0	2111001.0	2469368.0	1744007.0	2567186.0	2538286.0	2519228.0	2639329.0
WenC_2017__RA030__bin.18	2213415.0	1823125.0	1156605.0	2121235.0	2028117.0	2215465.0	1871768.0	2049154.0	1254967.0	2209538.0	2198403.0	2179434.0	2219622.0	2061772.0	2193812.0	2035075.0	1957877.0	2164925.0	1963457.0	2224180.0	2292434.0	2411882.0	2201603.0	2213363.0	1613934.0	2154912.0	1561377.0	1995865.0	2205466.0	2200457.0	1934013.0	1993247.0	1859773.0	2093458.0	1476390.0	2188147.0	2180910.0	2158964.0	2219506.0
LeChatelierE_2013__MH0428__bin.46	2663884.0	2019082.0	1526497.0	2511650.0	2223580.0	2664206.0	2105622.0	2405090.0	1620030.0	2643579.0	2635155.0	2633015.0	2607650.0	2456513.0	2656662.0	2370380.0	2183849.0	2601809.0	2301990.0	2679514.0	2574618.0	2201603.0	2892878.0	2691668.0	1875961.0	2616345.0	1812686.0	2355960.0	2670453.0	2662646.0	2135904.0	2335936.0	2125148.0	2533759.0	1671843.0	2622934.0	2453920.0	2544204.0	2685188.0
ZeeviD_2015__PNP_Main_310__bin.38	2728042.0	2050458.0	1555805.0	2544825.0	2241955.0	2695587.0	2122187.0	2430899.0	1618740.0	2696272.0	2665076.0	2661007.0	2662988.0	2481453.0	2713894.0	2405380.0	2222376.0	2683832.0	2316705.0	2747353.0	2641667.0	2213363.0	2691668.0	2964348.0	1870756.0	2654683.0	1850233.0	2401727.0	2678170.0	2704982.0	2152966.0	2442439.0	2172242.0	2579346.0	1701959.0	2680007.0	2494523.0	2564176.0	2720160.0
FengQ_2015__SID31549__bin.26	1857360.0	1507584.0	916980.0	1818084.0	1628427.0	1857947.0	1601454.0	1772573.0	954256.0	1876850.0	1854564.0	1858911.0	1851993.0	1763764.0	1876375.0	1756091.0	1637732.0	1840584.0	1695529.0	1868248.0	1831870.0	1613934.0	1875961.0	1870756.0	1957484.0	1847523.0	1374735.0	1737350.0	1874676.0	1871835.0	1536324.0	1719292.0	1566661.0	1830205.0	1178286.0	1841264.0	1723919.0	1816607.0	1893882.0
CosteaPI_2017__tigress-11-0-0__bin.31	2617571.0	2006131.0	1471885.0	2475201.0	2177667.0	2637427.0	2077631.0	2403503.0	1540883.0	2619096.0	2587999.0	2786836.0	2613380.0	2387269.0	2624712.0	2460484.0	2167832.0	2575387.0	2267864.0	2629415.0	2573153.0	2154912.0	2616345.0	2654683.0	1847523.0	2890944.0	1771019.0	2317108.0	2636912.0	2632837.0	2104806.0	2296396.0	2087742.0	2498315.0	1632991.0	2635219.0	2434484.0	2499261.0	2884054.0
ZeeviD_2015__PNP_Main_589__bin.70	1817008.0	1441243.0	901392.0	1757294.0	1575799.0	1797729.0	1496916.0	1701439.0	951626.0	1806590.0	1793054.0	1780494.0	1791105.0	1701993.0	1802576.0	1685632.0	1560697.0	1790051.0	1659744.0	1820790.0	1767562.0	1561377.0	1812686.0	1850233.0	1374735.0	1771019.0	1959394.0	1673452.0	1804892.0	1819968.0	1487353.0	1675726.0	1536077.0	1807405.0	1151429.0	1790356.0	1684732.0	1763773.0	1820415.0
SchirmerM_2016__G89030__bin.39	2376584.0	1847302.0	1315469.0	2294203.0	2022630.0	2354621.0	1976935.0	2204203.0	1379949.0	2376991.0	2359528.0	2337706.0	2338624.0	2198515.0	2378748.0	2199803.0	2020818.0	2376263.0	2095809.0	2398695.0	2315977.0	1995865.0	2355960.0	2401727.0	1737350.0	2317108.0	1673452.0	2512326.0	2361729.0	2374220.0	1970156.0	2126780.0	1964531.0	2259920.0	1508485.0	2358771.0	2211752.0	2317096.0	2385169.0
CosteaPI_2017__SID713B007-11-0-0__bin.12	2656298.0	2028409.0	1538439.0	2547130.0	2231085.0	2654739.0	2126496.0	2442160.0	1607817.0	2636587.0	2622574.0	2642906.0	2648257.0	2411689.0	2671167.0	2381631.0	2183556.0	2591422.0	2307967.0	2670748.0	2598683.0	2205466.0	2670453.0	2678170.0	1874676.0	2636912.0	1804892.0	2361729.0	2880333.0	2667621.0	2157733.0	2342825.0	2136238.0	2561200.0	1663007.0	2653730.0	2467077.0	2550511.0	2702592.0
LiJ_2014__MH0345__bin.67	2805571.0	2031862.0	1526119.0	2508034.0	2229693.0	2692430.0	2122135.0	2402624.0	1597474.0	2683486.0	2646727.0	2642981.0	2638720.0	2452586.0	2720227.0	2369819.0	2193580.0	2626543.0	2292552.0	2798492.0	2628713.0	2200457.0	2662646.0	2704982.0	1871835.0	2632837.0	1819968.0	2374220.0	2667621.0	2856953.0	2144069.0	2368186.0	2146249.0	2531722.0	1675296.0	2654505.0	2475064.0	2568922.0	2699658.0
CM_madagascar__V48_03_2FE__bin.12	2131126.0	1825770.0	1229928.0	2059361.0	2035180.0	2184036.0	1828178.0	2002872.0	1297805.0	2139859.0	2135535.0	2120266.0	2161568.0	1989274.0	2161219.0	1993962.0	2006989.0	2090489.0	1877439.0	2157324.0	2213985.0	1934013.0	2135904.0	2152966.0	1536324.0	2104806.0	1487353.0	1970156.0	2157733.0	2144069.0	2534078.0	1910424.0	1816173.0	2037818.0	1534444.0	2117550.0	2192152.0	2087859.0	2157630.0
ZeeviD_2015__PNP_Main_287__bin.67	2352088.0	1832447.0	1295528.0	2247263.0	1985091.0	2341856.0	1926017.0	2171121.0	1358416.0	2358249.0	2353755.0	2318251.0	2326353.0	2197642.0	2366254.0	2151811.0	2001253.0	2346225.0	2081660.0	2375689.0	2298203.0	1993247.0	2335936.0	2442439.0	1719292.0	2296396.0	1675726.0	2126780.0	2342825.0	2368186.0	1910424.0	2494656.0	1943015.0	2259170.0	1501317.0	2329526.0	2183930.0	2282828.0	2356742.0
SchirmerM_2016__G89199__bin.19	2146034.0	1682362.0	1174301.0	2060321.0	1840865.0	2134935.0	1801377.0	1978545.0	1233648.0	2153082.0	2142392.0	2105863.0	2126275.0	2017846.0	2126543.0	1969758.0	1827249.0	2096636.0	1897121.0	2160207.0	2111001.0	1859773.0	2125148.0	2172242.0	1566661.0	2087742.0	1536077.0	1964531.0	2136238.0	2146249.0	1816173.0	1943015.0	2291529.0	2067181.0	1347741.0	2131692.0	1998023.0	2070381.0	2143769.0
LeChatelierE_2013__MH0447__bin.112	2527760.0	1951740.0	1426615.0	2431918.0	2135173.0	2524852.0	2033257.0	2314693.0	1496192.0	2519916.0	2505088.0	2512284.0	2502998.0	2320495.0	2538341.0	2272732.0	2097929.0	2483277.0	2215393.0	2540667.0	2469368.0	2093458.0	2533759.0	2579346.0	1830205.0	2498315.0	1807405.0	2259920.0	2561200.0	2531722.0	2037818.0	2259170.0	2067181.0	2785267.0	1589578.0	2517097.0	2327740.0	2429865.0	2559338.0
BritoIL_2016__M2.36.ST__bin.81	1677128.0	1477833.0	992652.0	1598447.0	1531936.0	1671203.0	1384991.0	1534239.0	1033609.0	1670753.0	1664234.0	1673833.0	1675155.0	1572049.0	1668398.0	1503332.0	1618461.0	1642575.0	1465817.0	1672079.0	1744007.0	1476390.0	1671843.0	1701959.0	1178286.0	1632991.0	1151429.0	1508485.0	1663007.0	1675296.0	1534444.0	1501317.0	1347741.0	1589578.0	1914121.0	1642371.0	1759434.0	1630325.0	1691283.0
ZeeviD_2015__PNP_Main_34__bin.13	2646964.0	1999418.0	1538664.0	2504794.0	2211835.0	2661379.0	2097990.0	2394386.0	1610031.0	2664858.0	2632044.0	2635341.0	2664291.0	2452701.0	2661980.0	2371902.0	2176268.0	2624310.0	2266181.0	2672901.0	2567186.0	2188147.0	2622934.0	2680007.0	1841264.0	2635219.0	1790356.0	2358771.0	2653730.0	2654505.0	2117550.0	2329526.0	2131692.0	2517097.0	1642371.0	2835495.0	2458314.0	2512372.0	2698491.0
BritoIL_2016__W1.44.ST__bin.5	2473356.0	2093064.0	1387681.0	2343732.0	2315840.0	2484340.0	2027984.0	2261934.0	1471558.0	2492917.0	2452486.0	2462955.0	2474738.0	2285491.0	2480565.0	2231693.0	2273939.0	2431548.0	2144121.0	2479548.0	2538286.0	2180910.0	2453920.0	2494523.0	1723919.0	2434484.0	1684732.0	2211752.0	2467077.0	2475064.0	2192152.0	2183930.0	1998023.0	2327740.0	1759434.0	2458314.0	2929243.0	2391345.0	2502073.0
SchirmerM_2016__G89113__bin.12	2566995.0	1968960.0	1463504.0	2447785.0	2182150.0	2563592.0	2089461.0	2358542.0	1546782.0	2552255.0	2544257.0	2525014.0	2509241.0	2351281.0	2545958.0	2322898.0	2132436.0	2521730.0	2242039.0	2576587.0	2519228.0	2158964.0	2544204.0	2564176.0	1816607.0	2499261.0	1763773.0	2317096.0	2550511.0	2568922.0	2087859.0	2282828.0	2070381.0	2429865.0	1630325.0	2512372.0	2391345.0	2789161.0	2566315.0
CosteaPI_2017__tigress-11-7-0__bin.36	2686265.0	2051068.0	1540280.0	2546213.0	2242556.0	2700406.0	2131055.0	2467252.0	1609188.0	2686074.0	2656821.0	2855553.0	2681123.0	2454733.0	2689724.0	2523222.0	2226856.0	2642524.0	2326926.0	2705349.0	2639329.0	2219506.0	2685188.0	2720160.0	1893882.0	2884054.0	1820415.0	2385169.0	2702592.0	2699658.0	2157630.0	2356742.0	2143769.0	2559338.0	1691283.0	2698491.0	2502073.0	2566315.0	2965097.0
