	NielsenHB_2014__V1_CD25_0__bin.12	KarlssonFH_2013__S205__bin.25	VogtmannE_2016__MMRS81130264ST-27-0-0__bin.26	XieH_2016__YSZC12003_35704__bin.10	YuJ_2015__SZAXPI015246-34__bin.44	NielsenHB_2014__MH0127__bin.2	QinJ_2012__CON-049__bin.3	LoombaR_2017__SID0006_evh__bin.65	HeQ_2017__SZAXPI029585-104__bin.20	HeQ_2017__SZAXPI029555-35__bin.91	QinJ_2012__CON-023__bin.42	BackhedF_2015__SID130_12M__bin.8	QinN_2014__LD-76__bin.25	LiuW_2016__SRR3992999__bin.11	HeQ_2017__SZAXPI029480-66__bin.2	FengQ_2015__SID31428__bin.43	NielsenHB_2014__V1_CD20_4__bin.10	GeversD_2014__SKBSTL059__bin.3	BackhedF_2015__SID130_4M__bin.2	HeQ_2017__SZAXPI029598-166__bin.49	BackhedF_2015__SID591_12M__bin.5	QinJ_2012__CON-035__bin.6	CosteaPI_2017__SID713A037-11-0-0__bin.30	QinJ_2012__T2D-038__bin.20	QinJ_2012__CON-065__bin.22	QinJ_2012__CON-029__bin.9	NielsenHB_2014__V1_UC7_0__bin.5	FengQ_2015__SID532826__bin.1	CosteaPI_2017__SID713A037-11-90-0__bin.13	KosticAD_2015__PRJNA231909.3112359__bin.15	LeChatelierE_2013__MH0236__bin.16	BackhedF_2015__SID624_12M__bin.9	YuJ_2015__SZAXPI017587-113__bin.24	ZellerG_2014__CCIS16383318ST-4-0__bin.38	LiuW_2016__SRR3992985__bin.77	YuJ_2015__SZAXPI015254-45__bin.10	VatanenT_2016__G80466__bin.1	FengQ_2015__SID531333__bin.39	YuJ_2015__SZAXPI015257-56__bin.49	WenC_2017__RA134__bin.31	LiJ_2014__V1.FI10__bin.30	VogtmannE_2016__MMRS93621581ST-27-0-0__bin.23	HeQ_2017__SZAXPI029587-106__bin.17	LeChatelierE_2013__MH0127__bin.13
QinJ_2012__CON-023__bin.42	2673716.0	2483149.0	2431219.0	2564451.0	2598508.0	2129588.0	2096585.0	2277675.0	2224157.0	2525385.0	3163697.0	2711295.0	2539717.0	2511854.0	1124567.0	1950515.0	2477225.0	1433299.0	2567722.0	2263585.0	2642087.0	2771173.0	2480552.0	2629230.0	2490038.0	2023319.0	1678045.0	2619942.0	2392678.0	2562873.0	2380948.0	2565743.0	2463923.0	2340120.0	2323788.0	2601046.0	2486559.0	2510461.0	2612181.0	2128245.0	2221684.0	1992833.0	2154905.0	2277572.0
BackhedF_2015__SID130_12M__bin.8	2679327.0	2573838.0	2483512.0	2518333.0	2659822.0	2108154.0	2081921.0	2295827.0	2229362.0	2592839.0	2711295.0	3177774.0	2511991.0	2494767.0	1132893.0	1939648.0	2463979.0	1435733.0	2751982.0	2220097.0	2641387.0	2769122.0	2453908.0	2675580.0	2521915.0	2006779.0	1690209.0	2681594.0	2408286.0	2508236.0	2417673.0	2593036.0	2526591.0	2346696.0	2327940.0	2466805.0	2437308.0	2539075.0	2637819.0	2156566.0	2227870.0	1990618.0	2127835.0	2279647.0
QinN_2014__LD-76__bin.25	2511129.0	2377305.0	2308129.0	2351472.0	2490685.0	2006244.0	1987460.0	2159012.0	2143536.0	2404669.0	2539717.0	2511991.0	2823767.0	2336490.0	1023596.0	1871022.0	2318333.0	1409492.0	2401180.0	2175464.0	2452538.0	2584616.0	2308213.0	2475781.0	2350408.0	1940355.0	1613508.0	2487992.0	2224979.0	2408925.0	2310142.0	2435980.0	2289977.0	2225954.0	2189516.0	2337759.0	2323344.0	2322873.0	2466053.0	2065733.0	2096596.0	1857032.0	2067920.0	2165724.0
LiuW_2016__SRR3992999__bin.11	2475655.0	2322870.0	2448920.0	2303411.0	2489115.0	1997234.0	2004042.0	2206751.0	2105857.0	2412428.0	2511854.0	2494767.0	2336490.0	3074522.0	1089581.0	1839804.0	2310681.0	1395812.0	2395616.0	2163500.0	2419780.0	2530735.0	2359190.0	2493060.0	2353003.0	1901816.0	1566962.0	2525102.0	2304690.0	2375680.0	2276426.0	2456697.0	2266625.0	2236702.0	2541465.0	2288812.0	2284150.0	2474613.0	2439666.0	2036492.0	2152676.0	2018201.0	2000772.0	2167146.0
HeQ_2017__SZAXPI029480-66__bin.2	1175126.0	993959.0	1050402.0	1023759.0	1131056.0	802433.0	828141.0	942181.0	953846.0	1051824.0	1124567.0	1132893.0	1023596.0	1089581.0	1330203.0	737825.0	1086984.0	522861.0	1060966.0	929653.0	1124421.0	1187222.0	1057554.0	1105480.0	1113212.0	764456.0	507384.0	1176154.0	1045174.0	1003790.0	998853.0	1064200.0	1168679.0	959723.0	974700.0	1013729.0	962336.0	1070937.0	1082471.0	867497.0	896161.0	1017383.0	872950.0	909397.0
FengQ_2015__SID31428__bin.43	1915314.0	1858676.0	1884175.0	1792692.0	1947474.0	1674569.0	1659352.0	1757121.0	1758517.0	1902900.0	1950515.0	1939648.0	1871022.0	1839804.0	737825.0	2309969.0	1869374.0	1160293.0	1885743.0	1756557.0	1917600.0	2006004.0	1826070.0	1932604.0	1895063.0	1587316.0	1291256.0	1970874.0	1777910.0	1905518.0	1841798.0	1949227.0	1714189.0	1816877.0	1777194.0	1800676.0	1804159.0	1882823.0	1999470.0	1630784.0	1749103.0	1424516.0	1654666.0	1785298.0
NielsenHB_2014__V1_CD20_4__bin.10	2490762.0	2358973.0	2313255.0	2322826.0	2472824.0	2066184.0	1977925.0	2200818.0	2152728.0	2384362.0	2477225.0	2463979.0	2318333.0	2310681.0	1086984.0	1869374.0	2814214.0	1382587.0	2358283.0	2143598.0	2443288.0	2533402.0	2307841.0	2442393.0	2390607.0	1863726.0	1579796.0	2511848.0	2232007.0	2355211.0	2305937.0	2444777.0	2245103.0	2251201.0	2152045.0	2304329.0	2287180.0	2382507.0	2442776.0	2015882.0	2124185.0	1869285.0	1978564.0	2197008.0
GeversD_2014__SKBSTL059__bin.3	1448945.0	1380443.0	1373337.0	1342178.0	1449200.0	1247050.0	1224153.0	1327631.0	1291579.0	1399999.0	1433299.0	1435733.0	1409492.0	1395812.0	522861.0	1160293.0	1382587.0	1637957.0	1405217.0	1311492.0	1434356.0	1474411.0	1343433.0	1424092.0	1394607.0	1148571.0	1027112.0	1440543.0	1299813.0	1405294.0	1370585.0	1456557.0	1273049.0	1357796.0	1326316.0	1356913.0	1376232.0	1378747.0	1412075.0	1230899.0	1298834.0	1026043.0	1224450.0	1308078.0
BackhedF_2015__SID130_4M__bin.2	2524731.0	2417302.0	2363543.0	2377757.0	2539521.0	2029742.0	2020547.0	2214492.0	2124779.0	2455740.0	2567722.0	2751982.0	2401180.0	2395616.0	1060966.0	1885743.0	2358283.0	1405217.0	2917055.0	2145080.0	2486881.0	2594853.0	2344045.0	2541814.0	2387279.0	1935514.0	1656938.0	2533636.0	2284388.0	2429785.0	2343055.0	2506457.0	2340783.0	2276207.0	2249340.0	2358805.0	2350623.0	2428069.0	2493878.0	2084285.0	2160170.0	1894874.0	2049179.0	2168572.0
HeQ_2017__SZAXPI029598-166__bin.49	2258588.0	2151683.0	2141909.0	2107714.0	2239097.0	1864549.0	1895625.0	1996260.0	2015485.0	2188501.0	2263585.0	2220097.0	2175464.0	2163500.0	929653.0	1756557.0	2143598.0	1311492.0	2145080.0	2654226.0	2200312.0	2358931.0	2101052.0	2231720.0	2190388.0	1816147.0	1476015.0	2260399.0	2028220.0	2195478.0	2073709.0	2232811.0	2063914.0	2080632.0	2032040.0	2094489.0	2082686.0	2118801.0	2262451.0	1887925.0	1989504.0	1680102.0	1915424.0	1976580.0
BackhedF_2015__SID591_12M__bin.5	2649752.0	2484417.0	2490434.0	2452070.0	2628406.0	2197394.0	2043451.0	2256814.0	2174032.0	2547336.0	2642087.0	2641387.0	2452538.0	2419780.0	1124421.0	1917600.0	2443288.0	1434356.0	2486881.0	2200312.0	3356627.0	2712803.0	2349572.0	2632111.0	2430826.0	1967250.0	1636278.0	2691263.0	2289726.0	2497266.0	2398854.0	2630214.0	2411639.0	2305585.0	2245736.0	2381406.0	2393508.0	2413721.0	2539698.0	2085946.0	2229656.0	1950871.0	2114595.0	2354453.0
QinJ_2012__CON-035__bin.6	2796312.0	2561548.0	2543242.0	2519671.0	2721300.0	2162594.0	2149990.0	2336952.0	2325600.0	2582549.0	2771173.0	2769122.0	2584616.0	2530735.0	1187222.0	2006004.0	2533402.0	1474411.0	2594853.0	2358931.0	2712803.0	3263842.0	2522392.0	2680534.0	2574181.0	2071921.0	1685453.0	2765302.0	2452088.0	2623778.0	2479362.0	2667310.0	2547811.0	2380145.0	2322669.0	2489665.0	2482209.0	2531430.0	2680289.0	2248368.0	2273161.0	1993476.0	2200314.0	2324525.0
CosteaPI_2017__SID713A037-11-0-0__bin.30	2463069.0	2278937.0	2375995.0	2317980.0	2467695.0	1956389.0	1958160.0	2167648.0	2071977.0	2370519.0	2480552.0	2453908.0	2308213.0	2359190.0	1057554.0	1826070.0	2307841.0	1343433.0	2344045.0	2101052.0	2349572.0	2522392.0	3106788.0	2452856.0	2361597.0	1909783.0	1520732.0	2499320.0	2769538.0	2361059.0	2245994.0	2396475.0	2268144.0	2159901.0	2221535.0	2247347.0	2235333.0	2420949.0	2478781.0	1992526.0	2069872.0	1921343.0	1974855.0	2119002.0
QinJ_2012__T2D-038__bin.20	2652850.0	2471895.0	2499115.0	2432655.0	2737209.0	2122430.0	2076802.0	2273218.0	2198971.0	2789602.0	2629230.0	2675580.0	2475781.0	2493060.0	1105480.0	1932604.0	2442393.0	1424092.0	2541814.0	2231720.0	2632111.0	2680534.0	2452856.0	3244373.0	2501973.0	1978045.0	1638116.0	2705451.0	2373697.0	2603056.0	2473958.0	2664692.0	2437115.0	2346743.0	2292359.0	2444460.0	2419987.0	2460095.0	2580226.0	2118327.0	2232163.0	1983469.0	2129674.0	2295401.0
QinJ_2012__CON-065__bin.22	2517516.0	2366470.0	2344557.0	2303548.0	2510000.0	2017756.0	2025259.0	2191812.0	2204319.0	2429439.0	2490038.0	2521915.0	2350408.0	2353003.0	1113212.0	1895063.0	2390607.0	1394607.0	2387279.0	2190388.0	2430826.0	2574181.0	2361597.0	2501973.0	2769903.0	1933894.0	1553382.0	2523062.0	2287455.0	2399373.0	2312339.0	2445374.0	2314874.0	2254833.0	2200047.0	2299656.0	2281157.0	2366645.0	2498607.0	2048025.0	2152305.0	1875529.0	2035829.0	2178233.0
QinJ_2012__CON-029__bin.9	1984323.0	1943607.0	1917800.0	1832206.0	2006726.0	1673498.0	1725191.0	1796357.0	1783817.0	1956185.0	2023319.0	2006779.0	1940355.0	1901816.0	764456.0	1587316.0	1863726.0	1148571.0	1935514.0	1816147.0	1967250.0	2071921.0	1909783.0	1978045.0	1933894.0	2324089.0	1325875.0	2069840.0	1844087.0	1968179.0	1872917.0	1989649.0	1845101.0	1829088.0	1837832.0	1912167.0	1809749.0	1956639.0	2013832.0	1710261.0	1769050.0	1485924.0	1710514.0	1784640.0
NielsenHB_2014__V1_UC7_0__bin.5	1675261.0	1605569.0	1536311.0	1616691.0	1669986.0	1404055.0	1435233.0	1481396.0	1455100.0	1624471.0	1678045.0	1690209.0	1613508.0	1566962.0	507384.0	1291256.0	1579796.0	1027112.0	1656938.0	1476015.0	1636278.0	1685453.0	1520732.0	1638116.0	1553382.0	1325875.0	1892470.0	1648553.0	1464127.0	1630349.0	1545610.0	1643187.0	1485990.0	1533163.0	1481744.0	1588505.0	1630238.0	1579266.0	1614339.0	1452181.0	1483737.0	1169518.0	1412907.0	1470714.0
FengQ_2015__SID532826__bin.1	2717590.0	2497463.0	2604056.0	2482393.0	2715150.0	2204238.0	2098746.0	2349180.0	2250201.0	2630040.0	2619942.0	2681594.0	2487992.0	2525102.0	1176154.0	1970874.0	2511848.0	1440543.0	2533636.0	2260399.0	2691263.0	2765302.0	2499320.0	2705451.0	2523062.0	2069840.0	1648553.0	3319962.0	2425016.0	2552256.0	2459245.0	2677833.0	2459296.0	2369851.0	2359828.0	2438323.0	2427407.0	2598698.0	2651689.0	2132979.0	2247194.0	2054398.0	2131485.0	2365077.0
CosteaPI_2017__SID713A037-11-90-0__bin.13	2398724.0	2234513.0	2329930.0	2215911.0	2404906.0	1902360.0	1911775.0	2132972.0	2009506.0	2303951.0	2392678.0	2408286.0	2224979.0	2304690.0	1045174.0	1777910.0	2232007.0	1299813.0	2284388.0	2028220.0	2289726.0	2452088.0	2769538.0	2373697.0	2287455.0	1844087.0	1464127.0	2425016.0	2983728.0	2303998.0	2184720.0	2342026.0	2293349.0	2092052.0	2173646.0	2182435.0	2180036.0	2335196.0	2402787.0	1930094.0	2020902.0	1919486.0	1937303.0	2067812.0
KosticAD_2015__PRJNA231909.3112359__bin.15	2565413.0	2358799.0	2380219.0	2342323.0	2588749.0	2038311.0	2044752.0	2211088.0	2142587.0	2549523.0	2562873.0	2508236.0	2408925.0	2375680.0	1003790.0	1905518.0	2355211.0	1405294.0	2429785.0	2195478.0	2497266.0	2623778.0	2361059.0	2603056.0	2399373.0	1968179.0	1630349.0	2552256.0	2303998.0	3056048.0	2403122.0	2573151.0	2324723.0	2246385.0	2203711.0	2367290.0	2328909.0	2398523.0	2515589.0	2078970.0	2149373.0	1891188.0	2068416.0	2175069.0
LeChatelierE_2013__MH0236__bin.16	2433518.0	2273729.0	2288740.0	2233195.0	2481146.0	2004570.0	1921141.0	2165221.0	2076257.0	2431556.0	2380948.0	2417673.0	2310142.0	2276426.0	998853.0	1841798.0	2305937.0	1370585.0	2343055.0	2073709.0	2398854.0	2479362.0	2245994.0	2473958.0	2312339.0	1872917.0	1545610.0	2459245.0	2184720.0	2403122.0	2700287.0	2449064.0	2198641.0	2184394.0	2159858.0	2233358.0	2255835.0	2298511.0	2363344.0	1995291.0	2058988.0	1824126.0	1929012.0	2147814.0
BackhedF_2015__SID624_12M__bin.9	2606489.0	2446258.0	2478575.0	2402290.0	2680133.0	2117333.0	2069610.0	2285230.0	2201744.0	2614581.0	2565743.0	2593036.0	2435980.0	2456697.0	1064200.0	1949227.0	2444777.0	1456557.0	2506457.0	2232811.0	2630214.0	2667310.0	2396475.0	2664692.0	2445374.0	1989649.0	1643187.0	2677833.0	2342026.0	2573151.0	2449064.0	3110287.0	2368987.0	2338280.0	2281896.0	2359891.0	2385386.0	2445655.0	2541657.0	2143727.0	2205585.0	1936311.0	2080695.0	2287557.0
YuJ_2015__SZAXPI017587-113__bin.24	2478990.0	2276561.0	2299206.0	2306798.0	2458410.0	1888494.0	1903524.0	2076477.0	2022736.0	2321504.0	2463923.0	2526591.0	2289977.0	2266625.0	1168679.0	1714189.0	2245103.0	1273049.0	2340783.0	2063914.0	2411639.0	2547811.0	2268144.0	2437115.0	2314874.0	1845101.0	1485990.0	2459296.0	2293349.0	2324723.0	2198641.0	2368987.0	2925493.0	2122879.0	2060677.0	2257182.0	2236195.0	2297361.0	2456619.0	1929869.0	2006986.0	2012503.0	2010139.0	2048884.0
ZellerG_2014__CCIS16383318ST-4-0__bin.38	2360850.0	2239367.0	2212483.0	2169630.0	2354070.0	1962259.0	1918206.0	2094925.0	2026095.0	2280968.0	2340120.0	2346696.0	2225954.0	2236702.0	959723.0	1816877.0	2251201.0	1357796.0	2276207.0	2080632.0	2305585.0	2380145.0	2159901.0	2346743.0	2254833.0	1829088.0	1533163.0	2369851.0	2092052.0	2246385.0	2184394.0	2338280.0	2122879.0	2703999.0	2103542.0	2181560.0	2195898.0	2212331.0	2325889.0	1923631.0	2043701.0	1757657.0	1942010.0	2106875.0
LiuW_2016__SRR3992985__bin.77	2273313.0	2185613.0	2294855.0	2160495.0	2287772.0	1896412.0	1896771.0	2084331.0	1974763.0	2254580.0	2323788.0	2327940.0	2189516.0	2541465.0	974700.0	1777194.0	2152045.0	1326316.0	2249340.0	2032040.0	2245736.0	2322669.0	2221535.0	2292359.0	2200047.0	1837832.0	1481744.0	2359828.0	2173646.0	2203711.0	2159858.0	2281896.0	2060677.0	2103542.0	2707495.0	2135247.0	2132007.0	2308146.0	2313632.0	1901213.0	2019369.0	1853315.0	1876702.0	2035576.0
YuJ_2015__SZAXPI015254-45__bin.10	2424340.0	2292619.0	2262428.0	2369112.0	2413833.0	1991731.0	1979025.0	2164439.0	2092575.0	2347999.0	2601046.0	2466805.0	2337759.0	2288812.0	1013729.0	1800676.0	2304329.0	1356913.0	2358805.0	2094489.0	2381406.0	2489665.0	2247347.0	2444460.0	2299656.0	1912167.0	1588505.0	2438323.0	2182435.0	2367290.0	2233358.0	2359891.0	2257182.0	2181560.0	2135247.0	2811685.0	2286104.0	2340884.0	2407098.0	2005480.0	2058608.0	1822279.0	1985470.0	2158391.0
VatanenT_2016__G80466__bin.1	2458326.0	2295930.0	2263439.0	2422515.0	2428246.0	1984135.0	1930603.0	2135821.0	2044147.0	2335855.0	2486559.0	2437308.0	2323344.0	2284150.0	962336.0	1804159.0	2287180.0	1376232.0	2350623.0	2082686.0	2393508.0	2482209.0	2235333.0	2419987.0	2281157.0	1809749.0	1630238.0	2427407.0	2180036.0	2328909.0	2255835.0	2385386.0	2236195.0	2195898.0	2132007.0	2286104.0	2786361.0	2291882.0	2378946.0	1985862.0	2063141.0	1837532.0	1973786.0	2113531.0
FengQ_2015__SID531333__bin.39	2457433.0	2320206.0	2528339.0	2347530.0	2520514.0	2022009.0	1973023.0	2235766.0	2121371.0	2392726.0	2510461.0	2539075.0	2322873.0	2474613.0	1070937.0	1882823.0	2382507.0	1378747.0	2428069.0	2118801.0	2413721.0	2531430.0	2420949.0	2460095.0	2366645.0	1956639.0	1579266.0	2598698.0	2335196.0	2398523.0	2298511.0	2445655.0	2297361.0	2212331.0	2308146.0	2340884.0	2291882.0	3031447.0	2524368.0	2032035.0	2095295.0	2033626.0	1968415.0	2186710.0
YuJ_2015__SZAXPI015257-56__bin.49	2609711.0	2470685.0	2512639.0	2474419.0	2581942.0	2095516.0	2192109.0	2278816.0	2232029.0	2482747.0	2612181.0	2637819.0	2466053.0	2439666.0	1082471.0	1999470.0	2442776.0	1412075.0	2493878.0	2262451.0	2539698.0	2680289.0	2478781.0	2580226.0	2498607.0	2013832.0	1614339.0	2651689.0	2402787.0	2515589.0	2363344.0	2541657.0	2456619.0	2325889.0	2313632.0	2407098.0	2378946.0	2524368.0	3170139.0	2119153.0	2202207.0	2010683.0	2133869.0	2265218.0
WenC_2017__RA134__bin.31	2151567.0	2059832.0	2009483.0	2013721.0	2155668.0	1761279.0	1799944.0	1919470.0	1901643.0	2069264.0	2128245.0	2156566.0	2065733.0	2036492.0	867497.0	1630784.0	2015882.0	1230899.0	2084285.0	1887925.0	2085946.0	2248368.0	1992526.0	2118327.0	2048025.0	1710261.0	1452181.0	2132979.0	1930094.0	2078970.0	1995291.0	2143727.0	1929869.0	1923631.0	1901213.0	2005480.0	1985862.0	2032035.0	2119153.0	2448219.0	1856966.0	1569855.0	1779324.0	1876586.0
LiJ_2014__V1.FI10__bin.30	2216541.0	2159827.0	2124629.0	2047232.0	2234859.0	1869567.0	1864824.0	1981259.0	1961855.0	2183267.0	2221684.0	2227870.0	2096596.0	2152676.0	896161.0	1749103.0	2124185.0	1298834.0	2160170.0	1989504.0	2229656.0	2273161.0	2069872.0	2232163.0	2152305.0	1769050.0	1483737.0	2247194.0	2020902.0	2149373.0	2058988.0	2205585.0	2006986.0	2043701.0	2019369.0	2058608.0	2063141.0	2095295.0	2202207.0	1856966.0	2477652.0	1641376.0	1860249.0	1980298.0
VogtmannE_2016__MMRS93621581ST-27-0-0__bin.23	1972290.0	1851107.0	2054555.0	1946171.0	2003638.0	1545060.0	1542319.0	1757116.0	1655873.0	1924525.0	1992833.0	1990618.0	1857032.0	2018201.0	1017383.0	1424516.0	1869285.0	1026043.0	1894874.0	1680102.0	1950871.0	1993476.0	1921343.0	1983469.0	1875529.0	1485924.0	1169518.0	2054398.0	1919486.0	1891188.0	1824126.0	1936311.0	2012503.0	1757657.0	1853315.0	1822279.0	1837532.0	2033626.0	2010683.0	1569855.0	1641376.0	2344229.0	1565386.0	1693199.0
