	BritoIL_2016__W1.22.ST__bin.88	CosteaPI_2017__SID713A053-11-90-0__bin.39	BritoIL_2016__W2.15.ST__bin.13	BritoIL_2016__W2.8.ST__bin.10	BritoIL_2016__W1.2.ST__bin.88	BritoIL_2016__M1.44.ST__bin.98	CosteaPI_2017__SID713A056-11-90-0__bin.20	BritoIL_2016__WL.14.ST__bin.42	LiuW_2016__SRR3993004__bin.64	LiuW_2016__SRR3992955__bin.18	LiuW_2016__SRR3993055__bin.60	LiuW_2016__SRR3993002__bin.65	RaymondF_2016__P14E90__bin.91	LiuW_2016__SRR3992997__bin.34	BritoIL_2016__W2.34.ST__bin.44	LiuW_2016__SRR3992995__bin.49	LiuW_2016__SRR3992991__bin.50	BritoIL_2016__W1.44.ST__bin.43	CosteaPI_2017__SID713A053-11-0-0__bin.71	BritoIL_2016__W3.19.ST__bin.82	BritoIL_2016__M2.31.ST__bin.71	BritoIL_2016__M1.57.ST__bin.67	CosteaPI_2017__SID713A056-11-0-0__bin.68	BritoIL_2016__W2.9.ST__bin.86	BritoIL_2016__W2.36.ST__bin.17	LiuW_2016__SRR3992989__bin.9	LiuW_2016__SRR3992970__bin.1	BritoIL_2016__W3.22.ST__bin.107	BritoIL_2016__WL.1.ST__bin.4	BritoIL_2016__M2.44.ST__bin.15	LiuW_2016__SRR3993030__bin.22	LiJ_2014__MH0402__bin.38	LiuW_2016__SRR3993009__bin.6	CosteaPI_2017__SID713B012-11-0-0__bin.41	LiuW_2016__SRR3992998__bin.70	BritoIL_2016__W1.27.ST__bin.23	BritoIL_2016__W1.4.ST__bin.36	LiuW_2016__SRR3993034__bin.29	CosteaPI_2017__SID713A084-11-0-0__bin.32	BritoIL_2016__M1.27.ST__bin.63
LiuW_2016__SRR3992991__bin.50	57317.0	55243.0	53786.0	65884.0	49411.0	64386.0	23194.0	54354.0	49667.0	37536.0	42254.0	39643.0	44588.0	45052.0	39452.0	28494.0	0.0	66013.0	52360.0	53089.0	62016.0	50418.0	48632.0	46935.0	65536.0	33846.0	48905.0	65966.0	43210.0	35128.0	31226.0	59529.0	27911.0	46935.0	50982.0	69426.0	61756.0	32914.0	38363.0	65650.0
BritoIL_2016__W1.44.ST__bin.43	49936.0	84946.0	48021.0	57926.0	40817.0	57704.0	39179.0	45120.0	72590.0	52160.0	69074.0	66647.0	67590.0	72015.0	34966.0	48759.0	66013.0	0.0	84084.0	47217.0	56232.0	48913.0	78277.0	38499.0	56046.0	67754.0	67691.0	59137.0	32317.0	29925.0	69118.0	65160.0	53865.0	73875.0	76894.0	55621.0	59502.0	47323.0	62727.0	56911.0
CosteaPI_2017__SID713A053-11-0-0__bin.71	73318.0	8736.0	65350.0	83499.0	62901.0	83184.0	23437.0	65887.0	61433.0	40412.0	55537.0	51711.0	50123.0	53604.0	45260.0	37468.0	52360.0	84084.0	0.0	65165.0	75776.0	63970.0	50689.0	56888.0	82067.0	54649.0	53259.0	83970.0	51290.0	41462.0	55101.0	75720.0	44247.0	54214.0	60524.0	85242.0	78615.0	36249.0	23681.0	81875.0
BritoIL_2016__W3.19.ST__bin.82	40232.0	66832.0	37917.0	48322.0	35319.0	48874.0	32606.0	37010.0	59407.0	42843.0	57545.0	54908.0	54194.0	59017.0	28511.0	40220.0	53089.0	47217.0	65165.0	0.0	44666.0	39799.0	61900.0	32798.0	49190.0	55722.0	55088.0	48198.0	27442.0	25821.0	57491.0	49741.0	44649.0	60190.0	62437.0	50807.0	49394.0	38646.0	50178.0	48586.0
BritoIL_2016__M2.31.ST__bin.71	24731.0	76820.0	43489.0	55217.0	28943.0	53449.0	37139.0	44825.0	68787.0	47756.0	64123.0	61204.0	61004.0	67742.0	33077.0	44938.0	62016.0	56232.0	75776.0	44666.0	0.0	45860.0	71353.0	17362.0	51123.0	63991.0	63872.0	20016.0	29988.0	28275.0	65926.0	61835.0	50900.0	68127.0	70788.0	51336.0	59512.0	44554.0	57579.0	51632.0
BritoIL_2016__M1.57.ST__bin.67	42142.0	64916.0	39341.0	49117.0	36277.0	49556.0	30438.0	37486.0	57243.0	39916.0	52964.0	49307.0	50771.0	55825.0	27150.0	36569.0	50418.0	48913.0	63970.0	39799.0	45860.0	0.0	60829.0	34958.0	48418.0	53396.0	52154.0	50228.0	28962.0	22900.0	54642.0	43460.0	41517.0	57441.0	59798.0	55221.0	43748.0	36957.0	49893.0	46183.0
CosteaPI_2017__SID713A056-11-0-0__bin.68	67711.0	53716.0	63876.0	78602.0	58777.0	76360.0	10027.0	62198.0	58574.0	38895.0	50130.0	46788.0	46957.0	51707.0	43350.0	35680.0	48632.0	78277.0	50689.0	61900.0	71353.0	60829.0	0.0	51932.0	77804.0	49378.0	48572.0	77511.0	49168.0	40536.0	50329.0	69724.0	39572.0	32741.0	55646.0	82401.0	72708.0	35562.0	37835.0	78311.0
BritoIL_2016__W2.9.ST__bin.86	19225.0	57339.0	31605.0	40046.0	21358.0	40802.0	27927.0	30896.0	52352.0	37287.0	48717.0	47027.0	47116.0	49348.0	25431.0	33756.0	46935.0	38499.0	56888.0	32798.0	17362.0	34958.0	51932.0	0.0	41171.0	48237.0	48097.0	13472.0	22591.0	21717.0	51292.0	43358.0	37839.0	49784.0	52825.0	41660.0	44463.0	33928.0	42389.0	39958.0
BritoIL_2016__W2.36.ST__bin.17	51630.0	83114.0	46848.0	56607.0	44590.0	56215.0	39268.0	48243.0	73530.0	52032.0	68677.0	67907.0	67010.0	71905.0	35944.0	47954.0	65536.0	56046.0	82067.0	49190.0	51123.0	48418.0	77804.0	41171.0	0.0	68405.0	67129.0	62216.0	31939.0	21541.0	69319.0	64214.0	53791.0	74245.0	76794.0	61549.0	57234.0	47792.0	64513.0	33720.0
LiuW_2016__SRR3992989__bin.9	61389.0	56675.0	56203.0	68343.0	51777.0	67946.0	22531.0	56432.0	50385.0	37948.0	41325.0	42881.0	44659.0	40675.0	40882.0	27718.0	33846.0	67754.0	54649.0	55722.0	63991.0	53396.0	49378.0	48237.0	68405.0	0.0	48398.0	69609.0	44097.0	35215.0	37001.0	61164.0	30262.0	47724.0	51742.0	72445.0	63760.0	34965.0	39813.0	68414.0
LiuW_2016__SRR3992970__bin.1	59382.0	54824.0	57183.0	68739.0	51160.0	66219.0	23857.0	55125.0	52285.0	39958.0	48612.0	45865.0	42553.0	48831.0	39400.0	37618.0	48905.0	67691.0	53259.0	55088.0	63872.0	52154.0	48572.0	48097.0	67129.0	48398.0	0.0	69168.0	43846.0	36040.0	47513.0	59942.0	40869.0	47426.0	30392.0	71723.0	62914.0	35220.0	38813.0	67692.0
BritoIL_2016__W3.22.ST__bin.107	22331.0	84610.0	47536.0	61025.0	28024.0	60128.0	39501.0	47809.0	73669.0	51525.0	69678.0	66044.0	68202.0	73378.0	35784.0	48300.0	65966.0	59137.0	83970.0	48198.0	20016.0	50228.0	77511.0	13472.0	62216.0	69609.0	69168.0	0.0	34349.0	31380.0	71898.0	68056.0	53794.0	73946.0	77942.0	58172.0	64334.0	48186.0	62443.0	60277.0
BritoIL_2016__WL.1.ST__bin.4	29763.0	52306.0	28605.0	33262.0	26070.0	34159.0	26084.0	30797.0	48257.0	34434.0	44771.0	43926.0	40791.0	46829.0	23087.0	30769.0	43210.0	32317.0	51290.0	27442.0	29988.0	28962.0	49168.0	22591.0	31939.0	44097.0	43846.0	34349.0	0.0	17974.0	45841.0	39890.0	34973.0	47445.0	49234.0	32481.0	36298.0	33161.0	38791.0	29103.0
BritoIL_2016__M2.44.ST__bin.15	28997.0	42941.0	26042.0	29494.0	23711.0	30895.0	22041.0	26186.0	38919.0	27361.0	35335.0	35474.0	35997.0	38543.0	18994.0	25739.0	35128.0	29925.0	41462.0	25821.0	28275.0	22900.0	40536.0	21717.0	21541.0	35215.0	36040.0	31380.0	17974.0	0.0	37705.0	29242.0	29799.0	38151.0	39760.0	33294.0	27315.0	26247.0	32551.0	21239.0
LiuW_2016__SRR3993030__bin.22	62738.0	57741.0	56746.0	70704.0	52178.0	72685.0	24174.0	56147.0	51763.0	37132.0	40799.0	38566.0	46405.0	47031.0	41485.0	29642.0	31226.0	69118.0	55101.0	57491.0	65926.0	54642.0	50329.0	51292.0	69319.0	37001.0	47513.0	71898.0	45841.0	37705.0	0.0	62709.0	17048.0	48453.0	51881.0	76291.0	67738.0	32092.0	41916.0	69307.0
LiJ_2014__MH0402__bin.38	57378.0	75608.0	51787.0	65591.0	48385.0	62868.0	34906.0	49326.0	66977.0	46701.0	62180.0	58996.0	55482.0	64632.0	32925.0	42397.0	59529.0	65160.0	75720.0	49741.0	61835.0	43460.0	69724.0	43358.0	64214.0	61164.0	59942.0	68056.0	39890.0	29242.0	62709.0	0.0	47939.0	66688.0	68349.0	73510.0	57469.0	42946.0	57252.0	65034.0
LiuW_2016__SRR3993009__bin.6	49358.0	46174.0	44513.0	53517.0	40479.0	52449.0	18506.0	45163.0	40373.0	33100.0	34348.0	33808.0	37026.0	38401.0	32518.0	26298.0	27911.0	53865.0	44247.0	44649.0	50900.0	41517.0	39572.0	37839.0	53791.0	30262.0	40869.0	53794.0	34973.0	29799.0	17048.0	47939.0	0.0	40037.0	42629.0	57957.0	49413.0	30219.0	32267.0	53097.0
CosteaPI_2017__SID713B012-11-0-0__bin.41	66746.0	54777.0	60361.0	75629.0	55441.0	73697.0	15065.0	62989.0	54356.0	37953.0	47588.0	44965.0	46836.0	50179.0	42039.0	34315.0	46935.0	73875.0	54214.0	60190.0	68127.0	57441.0	32741.0	49784.0	74245.0	47724.0	47426.0	73946.0	47445.0	38151.0	48453.0	66688.0	40037.0	0.0	54117.0	78552.0	68917.0	34946.0	41875.0	74277.0
LiuW_2016__SRR3992998__bin.70	66807.0	61755.0	62991.0	77499.0	58172.0	76433.0	27150.0	62752.0	55567.0	41261.0	53283.0	49154.0	47225.0	53364.0	46002.0	38745.0	50982.0	76894.0	60524.0	62437.0	70788.0	59798.0	55646.0	52825.0	76794.0	51742.0	30392.0	77942.0	49234.0	39760.0	51881.0	68349.0	42629.0	54117.0	0.0	80616.0	70902.0	36105.0	44842.0	77116.0
BritoIL_2016__W1.27.ST__bin.23	48246.0	86330.0	47757.0	62695.0	40445.0	64526.0	42964.0	49886.0	75203.0	55750.0	74648.0	71385.0	71891.0	76992.0	39162.0	52279.0	69426.0	55621.0	85242.0	50807.0	51336.0	55221.0	82401.0	41660.0	61549.0	72445.0	71723.0	58172.0	32481.0	33294.0	76291.0	73510.0	57957.0	78552.0	80616.0	0.0	66381.0	50785.0	65807.0	60717.0
BritoIL_2016__W1.4.ST__bin.36	56138.0	80155.0	48999.0	50249.0	46026.0	63360.0	35514.0	49104.0	68084.0	47930.0	64892.0	61432.0	62852.0	68634.0	33083.0	44831.0	61756.0	59502.0	78615.0	49394.0	59512.0	43748.0	72708.0	44463.0	57234.0	63760.0	62914.0	64334.0	36298.0	27315.0	67738.0	57469.0	49413.0	68917.0	70902.0	66381.0	0.0	44140.0	60476.0	56594.0
LiuW_2016__SRR3993034__bin.29	42456.0	38199.0	41517.0	48424.0	37212.0	46657.0	15913.0	40022.0	37017.0	30831.0	35653.0	34526.0	31547.0	34013.0	28009.0	27802.0	32914.0	47323.0	36249.0	38646.0	44554.0	36957.0	35562.0	33928.0	47792.0	34965.0	35220.0	48186.0	33161.0	26247.0	32092.0	42946.0	30219.0	34946.0	36105.0	50785.0	44140.0	0.0	27819.0	46784.0
CosteaPI_2017__SID713A084-11-0-0__bin.32	55381.0	27321.0	49998.0	62916.0	47629.0	62076.0	19242.0	49395.0	46890.0	30153.0	41808.0	38214.0	39285.0	40883.0	36139.0	28894.0	38363.0	62727.0	23681.0	50178.0	57579.0	49893.0	37835.0	42389.0	64513.0	39813.0	38813.0	62443.0	38791.0	32551.0	41916.0	57252.0	32267.0	41875.0	44842.0	65807.0	60476.0	27819.0	0.0	63456.0
BritoIL_2016__M1.27.ST__bin.63	49787.0	84128.0	46406.0	54160.0	42836.0	60889.0	39411.0	48615.0	73621.0	50743.0	68416.0	66711.0	69014.0	70648.0	35677.0	47284.0	65650.0	56911.0	81875.0	48586.0	51632.0	46183.0	78311.0	39958.0	33720.0	68414.0	67692.0	60277.0	29103.0	21239.0	69307.0	65034.0	53097.0	74277.0	77116.0	60717.0	56594.0	46784.0	63456.0	0.0
