	CosteaPI_2017__bugkiller-11-7-0__bin.17	FengQ_2015__SID31871__bin.33	LiJ_2014__O2.UC4-1__bin.70	BackhedF_2015__SID38_M__bin.48	NielsenHB_2014__O2_UC17_2__bin.12	SchirmerM_2016__G89052__bin.18	NielsenHB_2014__V1_CD17_4__bin.17	KarlssonFH_2013__S434__bin.53	XieH_2016__YSZC12003_36389__bin.26	FengQ_2015__SID31188__bin.62	KarlssonFH_2013__S372__bin.31	NielsenHB_2014__V1_CD15_3__bin.40	LiSS_2016__FAT_024-22-84-0__bin.7	LiuW_2016__SRR3993035__bin.110	CM_madagascar__A15_02_1FE__bin.27	NielsenHB_2014__V1_UC4_5__bin.83	CosteaPI_2017__SID713A010-11-90-0__bin.32	HMP_2012__SRS015133__bin.58	LiJ_2014__O2.UC32-1__bin.39	ZellerG_2014__CCIS76845094ST-20-0__bin.91	ZeeviD_2015__PNP_Main_243__bin.52	ZellerG_2014__CCMD13071240ST-21-0__bin.47	ZellerG_2014__CCIS98512455ST-4-0__bin.37	FengQ_2015__SID31883__bin.1	LiJ_2014__V1.FI36__bin.59	IjazUZ_2017__S4_a_WGS__bin.22	FengQ_2015__SID530154__bin.5	ZellerG_2014__MMPU29365221ST__bin.5	ZeeviD_2015__PNP_Main_144__bin.9	ZellerG_2014__CCIS36699628ST-4-0__bin.17
KarlssonFH_2013__S372__bin.31	24967.0	25089.0	20002.0	21450.0	24865.0	15849.0	19076.0	18673.0	17176.0	25180.0	0.0	17837.0	21972.0	17492.0	45343.0	17440.0	15470.0	23070.0	21218.0	24689.0	15553.0	23209.0	25670.0	18388.0	20885.0	16418.0	11997.0	26475.0	32984.0	25040.0
NielsenHB_2014__V1_CD15_3__bin.40	15869.0	16681.0	11640.0	14139.0	17029.0	10570.0	11105.0	12468.0	17628.0	16216.0	17837.0	0.0	15068.0	12023.0	27014.0	10504.0	8986.0	15435.0	13492.0	16471.0	9441.0	16111.0	15014.0	15318.0	12010.0	11534.0	12501.0	16529.0	21112.0	14920.0
LiSS_2016__FAT_024-22-84-0__bin.7	18968.0	22163.0	18790.0	20123.0	21368.0	13965.0	16650.0	17931.0	14824.0	21696.0	21972.0	15068.0	0.0	15464.0	37152.0	16279.0	14262.0	21503.0	20871.0	21602.0	14125.0	21331.0	23585.0	11516.0	19415.0	17166.0	11547.0	19944.0	27657.0	22860.0
LiuW_2016__SRR3993035__bin.110	18078.0	18031.0	14093.0	16672.0	17742.0	11986.0	12933.0	14603.0	11122.0	17466.0	17492.0	12023.0	15464.0	0.0	27918.0	13268.0	11662.0	16424.0	15283.0	15521.0	12621.0	15947.0	17984.0	9063.0	15242.0	13442.0	8435.0	18158.0	22195.0	18105.0
CM_madagascar__A15_02_1FE__bin.27	39275.0	42807.0	31389.0	37314.0	42807.0	28431.0	30250.0	32330.0	24920.0	43167.0	45343.0	27014.0	37152.0	27918.0	0.0	29540.0	27039.0	38898.0	35740.0	39875.0	27184.0	38676.0	39224.0	21832.0	35625.0	33532.0	18800.0	40883.0	39275.0	41992.0
NielsenHB_2014__V1_UC4_5__bin.83	17680.0	16933.0	15809.0	15402.0	15707.0	10202.0	12547.0	13834.0	9928.0	16236.0	17440.0	10504.0	16279.0	13268.0	29540.0	0.0	10837.0	15548.0	17013.0	17331.0	10772.0	15228.0	18033.0	9355.0	13694.0	14656.0	6319.0	18292.0	21852.0	16701.0
CosteaPI_2017__SID713A010-11-90-0__bin.32	16629.0	15224.0	13901.0	15396.0	15764.0	10427.0	12528.0	13128.0	8619.0	15389.0	15470.0	8986.0	14262.0	11662.0	27039.0	10837.0	0.0	15648.0	15038.0	14282.0	11304.0	14309.0	16340.0	8073.0	13645.0	13682.0	6295.0	17352.0	20288.0	16177.0
HMP_2012__SRS015133__bin.58	22749.0	22894.0	18412.0	20189.0	23786.0	15054.0	17745.0	18462.0	15404.0	22994.0	23070.0	15435.0	21503.0	16424.0	38898.0	15548.0	15648.0	0.0	19200.0	21560.0	16125.0	21272.0	22581.0	13794.0	17497.0	18633.0	12407.0	23350.0	29180.0	23176.0
LiJ_2014__O2.UC32-1__bin.39	21973.0	22234.0	4544.0	21107.0	21412.0	14006.0	15650.0	17224.0	14207.0	21688.0	21218.0	13492.0	20871.0	15283.0	35740.0	17013.0	15038.0	19200.0	0.0	21541.0	15000.0	19798.0	22165.0	11830.0	19402.0	17227.0	9383.0	22777.0	27056.0	20861.0
ZellerG_2014__CCIS76845094ST-20-0__bin.91	22252.0	23360.0	19130.0	20302.0	23249.0	14695.0	16746.0	17793.0	16474.0	23099.0	24689.0	16471.0	21602.0	15521.0	39875.0	17331.0	14282.0	21560.0	21541.0	0.0	14923.0	21639.0	23719.0	14090.0	19094.0	19037.0	12199.0	22910.0	29579.0	22919.0
ZeeviD_2015__PNP_Main_243__bin.52	16156.0	16432.0	13398.0	15105.0	15484.0	9963.0	11769.0	13621.0	10105.0	15103.0	15553.0	9441.0	14125.0	12621.0	27184.0	10772.0	11304.0	16125.0	15000.0	14923.0	0.0	14639.0	16554.0	8417.0	12085.0	12942.0	3924.0	16464.0	19517.0	15608.0
ZellerG_2014__CCMD13071240ST-21-0__bin.47	22220.0	22252.0	17586.0	21066.0	22463.0	13865.0	16816.0	17666.0	16144.0	22217.0	23209.0	16111.0	21331.0	15947.0	38676.0	15228.0	14309.0	21272.0	19798.0	21639.0	14639.0	0.0	23475.0	14830.0	17855.0	17731.0	10905.0	22967.0	31309.0	21839.0
ZellerG_2014__CCIS98512455ST-4-0__bin.37	25020.0	22605.0	19007.0	23196.0	23290.0	15319.0	14861.0	19546.0	15672.0	25059.0	25670.0	15014.0	23585.0	17984.0	39224.0	18033.0	16340.0	22581.0	22165.0	23719.0	16554.0	23475.0	0.0	13693.0	20172.0	19336.0	10662.0	25946.0	27341.0	22164.0
FengQ_2015__SID31883__bin.1	14755.0	14017.0	9793.0	11066.0	15320.0	8788.0	9815.0	9752.0	13812.0	15723.0	18388.0	15318.0	11516.0	9063.0	21832.0	9355.0	8073.0	13794.0	11830.0	14090.0	8417.0	14830.0	13693.0	0.0	10341.0	11379.0	11077.0	15795.0	19608.0	15143.0
LiJ_2014__V1.FI36__bin.59	18876.0	18526.0	16942.0	18791.0	19253.0	13105.0	13972.0	16188.0	13195.0	19036.0	20885.0	12010.0	19415.0	15242.0	35625.0	13694.0	13645.0	17497.0	19402.0	19094.0	12085.0	17855.0	20172.0	10341.0	0.0	16541.0	7919.0	19267.0	26251.0	18651.0
IjazUZ_2017__S4_a_WGS__bin.22	19519.0	19578.0	16159.0	18081.0	19373.0	12819.0	15099.0	15169.0	12218.0	20068.0	16418.0	11534.0	17166.0	13442.0	33532.0	14656.0	13682.0	18633.0	17227.0	19037.0	12942.0	17731.0	19336.0	11379.0	16541.0	0.0	7532.0	20746.0	25359.0	20622.0
FengQ_2015__SID530154__bin.5	11982.0	10787.0	8424.0	10334.0	11622.0	8068.0	7402.0	8462.0	14007.0	11675.0	11997.0	12501.0	11547.0	8435.0	18800.0	6319.0	6295.0	12407.0	9383.0	12199.0	3924.0	10905.0	10662.0	11077.0	7919.0	7532.0	0.0	12020.0	16772.0	11294.0
ZellerG_2014__MMPU29365221ST__bin.5	635.0	24333.0	19679.0	22428.0	23384.0	15071.0	18446.0	19526.0	14939.0	25201.0	26475.0	16529.0	19944.0	18158.0	40883.0	18292.0	17352.0	23350.0	22777.0	22910.0	16464.0	22967.0	25946.0	15795.0	19267.0	20746.0	12020.0	0.0	31490.0	26361.0
ZeeviD_2015__PNP_Main_144__bin.9	30273.0	29956.0	23697.0	28149.0	31749.0	19749.0	20647.0	24644.0	22389.0	30184.0	32984.0	21112.0	27657.0	22195.0	39275.0	21852.0	20288.0	29180.0	27056.0	29579.0	19517.0	31309.0	27341.0	19608.0	26251.0	25359.0	16772.0	31490.0	0.0	29762.0
ZellerG_2014__CCIS36699628ST-4-0__bin.17	24335.0	22607.0	16801.0	22263.0	23570.0	15040.0	11679.0	18748.0	16153.0	24889.0	25040.0	14920.0	22860.0	18105.0	41992.0	16701.0	16177.0	23176.0	20861.0	22919.0	15608.0	21839.0	22164.0	15143.0	18651.0	20622.0	11294.0	26361.0	29762.0	0.0
