	QinJ_2012__T2D-102__bin.52	HeQ_2017__SZAXPI029601-32__bin.23	FengQ_2015__SID532749__bin.65	VatanenT_2016__G69157__bin.5	BackhedF_2015__SID130_4M__bin.7	ZeeviD_2015__PNP_Validation_10__bin.17	FengQ_2015__SID31870__bin.24	BackhedF_2015__SID130_12M__bin.23	LiJ_2014__MH0335__bin.24	Obregon-TitoAJ_2015__NO21__bin.23	FengQ_2015__SID531775__bin.40	LiJ_2014__V1.CD2-0-PN__bin.1	QinN_2014__LV-10__bin.21	YuJ_2015__SZAXPI003434-7__bin.11	LiJ_2014__V1.FI10__bin.38	KosticAD_2015__PRJNA231909.3105829__bin.10	FengQ_2015__SID531403__bin.37	WenC_2017__RA074__bin.11	YuJ_2015__SZAXPI017452-17__bin.41	BackhedF_2015__SID590_12M__bin.1	BackhedF_2015__SID1_12M__bin.3	WenC_2017__RA064__bin.26	BackhedF_2015__SID195_12M__bin.36	VatanenT_2016__G80392__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.23	LiJ_2014__O2.UC19-1__bin.21	VatanenT_2016__G78694__bin.4	BackhedF_2015__SID256_12M__bin.4	FengQ_2015__SID31865__bin.25	WenC_2017__RA107__bin.12	WenC_2017__N290__bin.87	WenC_2017__N310__bin.122
LiJ_2014__V1.FI10__bin.38	1433275.0	2290781.0	1320080.0	1702224.0	2115933.0	2323069.0	1206720.0	1812525.0	2325230.0	2437453.0	2050457.0	2335343.0	1578790.0	2192963.0	2703138.0	1532227.0	1943475.0	1585003.0	2278936.0	2427504.0	2421357.0	2096010.0	2439375.0	2451297.0	2237920.0	1262621.0	2321791.0	2483290.0	1604803.0	1971737.0	2279550.0	1593811.0
KosticAD_2015__PRJNA231909.3105829__bin.10	1520452.0	1524674.0	1340501.0	978457.0	1381577.0	1537207.0	1251961.0	983735.0	1550669.0	1666434.0	1266889.0	1509780.0	1303179.0	1331135.0	1532227.0	1706665.0	1108533.0	931033.0	1459611.0	1634939.0	1669114.0	1330467.0	1652730.0	1677976.0	1471352.0	1279696.0	1616841.0	1592177.0	927953.0	1245413.0	1436230.0	933342.0
FengQ_2015__SID531403__bin.37	1034371.0	2028006.0	856631.0	1510335.0	1855025.0	1998342.0	715674.0	2035503.0	1950619.0	2156463.0	1914149.0	1989396.0	1293416.0	1845283.0	1943475.0	1108533.0	2429503.0	1421078.0	1904712.0	2205181.0	2108213.0	1746715.0	2039015.0	2181166.0	2011247.0	763787.0	2086088.0	2116648.0	1462519.0	1732361.0	1925842.0	1361669.0
WenC_2017__RA074__bin.11	859384.0	1583786.0	741384.0	1201414.0	1502527.0	1564534.0	671931.0	1348120.0	1545128.0	1653952.0	1399213.0	1580095.0	1004894.0	1472923.0	1585003.0	931033.0	1421078.0	1831005.0	1569555.0	1640459.0	1639846.0	1462494.0	1636772.0	1660815.0	1554087.0	692730.0	1601441.0	1605993.0	1114162.0	1413719.0	1569176.0	1154046.0
YuJ_2015__SZAXPI017452-17__bin.41	1347092.0	2259222.0	1213543.0	1659256.0	2091204.0	2268223.0	1119474.0	1781713.0	2301612.0	2375362.0	1980122.0	2243376.0	1466337.0	2077608.0	2278936.0	1459611.0	1904712.0	1569555.0	2752856.0	2350665.0	2372845.0	2045023.0	2395037.0	2379225.0	2202288.0	1142977.0	2261078.0	2341939.0	1584421.0	1967384.0	2246154.0	1566182.0
BackhedF_2015__SID590_12M__bin.1	1555296.0	2475833.0	1352734.0	1767085.0	2287832.0	2450368.0	1259314.0	2071165.0	2433274.0	2756247.0	2142256.0	2445735.0	1628793.0	2215606.0	2427504.0	1634939.0	2205181.0	1640459.0	2350665.0	2847507.0	2632408.0	2132361.0	2592533.0	2717723.0	2421517.0	1314881.0	2580458.0	2600824.0	1668875.0	2091692.0	2352845.0	1614354.0
BackhedF_2015__SID1_12M__bin.3	1549760.0	2466394.0	1357494.0	1754926.0	2250849.0	2455476.0	1254576.0	1995127.0	2444434.0	2648805.0	2123101.0	2430705.0	1633514.0	2206854.0	2421357.0	1669114.0	2108213.0	1639846.0	2372845.0	2632408.0	2788744.0	2143449.0	2560190.0	2667254.0	2398331.0	1295410.0	2534365.0	2524186.0	1668213.0	2082757.0	2332280.0	1618819.0
WenC_2017__RA064__bin.26	1219858.0	2034960.0	1116647.0	1517985.0	1907535.0	2044498.0	1020030.0	1624655.0	2050845.0	2150994.0	1797910.0	2071250.0	1360734.0	1915528.0	2096010.0	1330467.0	1746715.0	1462494.0	2045023.0	2132361.0	2143449.0	2395764.0	2142883.0	2152348.0	1988272.0	1055993.0	2045951.0	2114667.0	1417460.0	1812481.0	2040497.0	1463730.0
BackhedF_2015__SID195_12M__bin.36	1551803.0	2425972.0	1382237.0	1748925.0	2261045.0	2432720.0	1317842.0	1951731.0	2519644.0	2616832.0	2144638.0	2424090.0	1636547.0	2206857.0	2439375.0	1652730.0	2039015.0	1636772.0	2395037.0	2592533.0	2560190.0	2142883.0	2863683.0	2616800.0	2359132.0	1343076.0	2520218.0	2534325.0	1706057.0	2075223.0	2362825.0	1637087.0
VatanenT_2016__G80392__bin.8	1579624.0	2500756.0	1381168.0	1784889.0	2303062.0	2472695.0	1302736.0	2058877.0	2464655.0	2717912.0	2171887.0	2465251.0	1651048.0	2238715.0	2451297.0	1677976.0	2181166.0	1660815.0	2379225.0	2717723.0	2667254.0	2152348.0	2616800.0	2872623.0	2429306.0	1345751.0	2628620.0	2599026.0	1682454.0	2111460.0	2374417.0	1634583.0
VogtmannE_2016__MMRS68910755ST-27-0-0__bin.23	1363457.0	2284152.0	1168369.0	1627673.0	2091679.0	2230459.0	1087582.0	1870612.0	2242658.0	2430275.0	1985717.0	2237124.0	1480873.0	2055057.0	2237920.0	1471352.0	2011247.0	1554087.0	2202288.0	2421517.0	2398331.0	1988272.0	2359132.0	2429306.0	2558790.0	1109067.0	2297674.0	2302117.0	1567460.0	1950685.0	2168339.0	1523274.0
LiJ_2014__O2.UC19-1__bin.21	1233929.0	1171677.0	1306643.0	769186.0	1091512.0	1230416.0	1312155.0	650462.0	1250128.0	1322600.0	970411.0	1222827.0	1093087.0	1029686.0	1262621.0	1279696.0	763787.0	692730.0	1142977.0	1314881.0	1295410.0	1055993.0	1343076.0	1345751.0	1109067.0	1586677.0	1329834.0	1368552.0	674035.0	966299.0	1157839.0	734515.0
VatanenT_2016__G78694__bin.4	1535435.0	2376488.0	1340783.0	1712310.0	2285406.0	2396127.0	1272897.0	1938076.0	2359409.0	2576284.0	2037560.0	2343905.0	1590151.0	2126743.0	2321791.0	1616841.0	2086088.0	1601441.0	2261078.0	2580458.0	2534365.0	2045951.0	2520218.0	2628620.0	2297674.0	1329834.0	3006137.0	2484387.0	1584581.0	2037390.0	2272098.0	1540422.0
BackhedF_2015__SID256_12M__bin.4	1525964.0	2358037.0	1433303.0	1761393.0	2203743.0	2426609.0	1263473.0	1916979.0	2419680.0	2557953.0	2132434.0	2425586.0	1685174.0	2208593.0	2483290.0	1592177.0	2116648.0	1605993.0	2341939.0	2600824.0	2524186.0	2114667.0	2534325.0	2599026.0	2302117.0	1368552.0	2484387.0	2970183.0	1639390.0	2033452.0	2395115.0	1614009.0
FengQ_2015__SID31865__bin.25	859470.0	1605644.0	712763.0	1228152.0	1483298.0	1636898.0	650690.0	1385771.0	1638145.0	1676621.0	1458155.0	1613059.0	996846.0	1496371.0	1604803.0	927953.0	1462519.0	1114162.0	1584421.0	1668875.0	1668213.0	1417460.0	1706057.0	1682454.0	1567460.0	674035.0	1584581.0	1639390.0	2169903.0	1376091.0	1566456.0	1132379.0
WenC_2017__RA107__bin.12	1157521.0	1995311.0	1020983.0	1480369.0	1868419.0	1965770.0	940058.0	1619286.0	1962708.0	2106202.0	1741915.0	1970318.0	1280081.0	1825047.0	1971737.0	1245413.0	1732361.0	1413719.0	1967384.0	2091692.0	2082757.0	1812481.0	2075223.0	2111460.0	1950685.0	966299.0	2037390.0	2033452.0	1376091.0	2374054.0	1939803.0	1401848.0
WenC_2017__N290__bin.87	1351991.0	2246235.0	1252486.0	1645150.0	2076350.0	2230888.0	1107868.0	1800204.0	2258910.0	2366636.0	1978172.0	2246212.0	1521679.0	2076899.0	2279550.0	1436230.0	1925842.0	1569176.0	2246154.0	2352845.0	2332280.0	2040497.0	2362825.0	2374417.0	2168339.0	1157839.0	2272098.0	2395115.0	1566456.0	1939803.0	2646222.0	1586485.0
WenC_2017__N310__bin.122	857986.0	1557124.0	787689.0	1166524.0	1484844.0	1577502.0	703396.0	1270078.0	1564082.0	1625538.0	1400576.0	1558734.0	1009008.0	1463135.0	1593811.0	933342.0	1361669.0	1154046.0	1566182.0	1614354.0	1618819.0	1463730.0	1637087.0	1634583.0	1523274.0	734515.0	1540422.0	1614009.0	1132379.0	1401848.0	1586485.0	1838520.0
