	QinJ_2012__T2D-102__bin.52	HeQ_2017__SZAXPI029601-32__bin.23	FengQ_2015__SID532749__bin.65	VatanenT_2016__G69157__bin.5	BackhedF_2015__SID130_4M__bin.7	ZeeviD_2015__PNP_Validation_10__bin.17	FengQ_2015__SID31870__bin.24	BackhedF_2015__SID130_12M__bin.23	LiJ_2014__MH0335__bin.24	Obregon-TitoAJ_2015__NO21__bin.23	FengQ_2015__SID531775__bin.40	LiJ_2014__V1.CD2-0-PN__bin.1	QinN_2014__LV-10__bin.21	YuJ_2015__SZAXPI003434-7__bin.11	LiJ_2014__V1.FI10__bin.38	KosticAD_2015__PRJNA231909.3105829__bin.10	FengQ_2015__SID531403__bin.37	WenC_2017__RA074__bin.11	YuJ_2015__SZAXPI017452-17__bin.41	BackhedF_2015__SID590_12M__bin.1	BackhedF_2015__SID1_12M__bin.3	WenC_2017__RA064__bin.26	BackhedF_2015__SID195_12M__bin.36	VatanenT_2016__G80392__bin.8	VogtmannE_2016__MMRS68910755ST-27-0-0__bin.23	LiJ_2014__O2.UC19-1__bin.21	VatanenT_2016__G78694__bin.4	BackhedF_2015__SID256_12M__bin.4	FengQ_2015__SID31865__bin.25	WenC_2017__RA107__bin.12	WenC_2017__N290__bin.87	WenC_2017__N310__bin.122
KosticAD_2015__PRJNA231909.3105829__bin.10	737.0	1528.0	3980.0	2097.0	1123.0	4143.0	3236.0	207.0	5597.0	342.0	3106.0	4286.0	3779.0	4907.0	4919.0	0.0	771.0	2475.0	4821.0	677.0	1990.0	4464.0	5437.0	290.0	943.0	3753.0	484.0	4679.0	3496.0	2993.0	4745.0	3009.0
FengQ_2015__SID531403__bin.37	757.0	1688.0	3698.0	5458.0	2210.0	7999.0	2799.0	1165.0	8529.0	1016.0	6424.0	6776.0	4030.0	7663.0	6603.0	771.0	0.0	4205.0	7212.0	1955.0	3873.0	6569.0	7820.0	1782.0	1247.0	4231.0	2784.0	9267.0	6427.0	4018.0	8964.0	5240.0
WenC_2017__RA074__bin.11	2633.0	5393.0	3309.0	5087.0	5911.0	6793.0	3136.0	3857.0	8848.0	4555.0	6138.0	7054.0	4036.0	7131.0	6883.0	2475.0	4205.0	0.0	7641.0	4588.0	5605.0	6175.0	8424.0	4469.0	4607.0	3426.0	5033.0	6865.0	6232.0	6010.0	7005.0	5068.0
YuJ_2015__SZAXPI017452-17__bin.41	4385.0	8826.0	3728.0	5752.0	8725.0	7864.0	3612.0	6681.0	7741.0	8286.0	6715.0	8795.0	4512.0	10155.0	8816.0	4821.0	7212.0	7641.0	0.0	8522.0	8245.0	9392.0	7996.0	8371.0	8393.0	3668.0	8543.0	7696.0	6894.0	10466.0	8351.0	5615.0
BackhedF_2015__SID590_12M__bin.1	1435.0	2572.0	4513.0	5343.0	2825.0	8128.0	3770.0	1430.0	10139.0	1820.0	6717.0	8219.0	4659.0	9691.0	8222.0	677.0	1955.0	4588.0	8522.0	0.0	4689.0	7583.0	9439.0	1739.0	1983.0	4633.0	2182.0	9201.0	7332.0	4858.0	8844.0	5958.0
BackhedF_2015__SID1_12M__bin.3	2097.0	5258.0	4304.0	5356.0	5035.0	8299.0	3548.0	3626.0	9628.0	4473.0	6702.0	8292.0	5161.0	9379.0	8583.0	1990.0	3873.0	5605.0	8245.0	4689.0	0.0	8137.0	9343.0	4267.0	4378.0	4368.0	4644.0	8529.0	7322.0	7427.0	8301.0	5780.0
WenC_2017__RA064__bin.26	3800.0	8111.0	4448.0	5701.0	7687.0	8023.0	4397.0	5717.0	10124.0	7655.0	7373.0	7001.0	4536.0	9741.0	9581.0	4464.0	6569.0	6175.0	9392.0	7583.0	8137.0	0.0	10469.0	7426.0	7532.0	4576.0	7388.0	7917.0	6915.0	9220.0	8024.0	5613.0
BackhedF_2015__SID195_12M__bin.36	4422.0	9943.0	4083.0	6005.0	10915.0	8308.0	3561.0	7244.0	7689.0	9368.0	7516.0	9726.0	4765.0	10214.0	9060.0	5437.0	7820.0	8424.0	7996.0	9439.0	9343.0	10469.0	0.0	9317.0	9707.0	4057.0	10157.0	8376.0	7953.0	11309.0	8666.0	6141.0
VatanenT_2016__G80392__bin.8	767.0	1772.0	4431.0	5415.0	2683.0	8187.0	3626.0	1114.0	10049.0	842.0	6717.0	8195.0	4743.0	9388.0	8017.0	290.0	1782.0	4469.0	8371.0	1739.0	4267.0	7426.0	9317.0	0.0	1303.0	4711.0	414.0	10039.0	7295.0	4534.0	8638.0	5882.0
VogtmannE_2016__MMRS68910755ST-27-0-0__bin.23	1248.0	2378.0	4145.0	5377.0	2525.0	7458.0	3574.0	949.0	10041.0	1554.0	6428.0	7922.0	4855.0	9132.0	8107.0	943.0	1247.0	4607.0	8393.0	1983.0	4378.0	7532.0	9707.0	1303.0	0.0	4355.0	1369.0	8363.0	6909.0	4610.0	7922.0	5985.0
LiJ_2014__O2.UC19-1__bin.21	3825.0	4924.0	3022.0	1995.0	4499.0	3642.0	3998.0	3275.0	4142.0	4161.0	2901.0	4280.0	2312.0	4925.0	3007.0	3753.0	4231.0	3426.0	3668.0	4633.0	4368.0	4576.0	4057.0	4711.0	4355.0	0.0	5641.0	3398.0	3266.0	5876.0	2764.0	1531.0
VatanenT_2016__G78694__bin.4	748.0	2828.0	5245.0	6799.0	6478.0	9972.0	3511.0	2356.0	10424.0	1063.0	6083.0	8377.0	4815.0	9836.0	7641.0	484.0	2784.0	5033.0	8543.0	2182.0	4644.0	7388.0	10157.0	414.0	1369.0	5641.0	0.0	10911.0	7388.0	4812.0	9036.0	5794.0
BackhedF_2015__SID256_12M__bin.4	4439.0	9428.0	349.0	5264.0	9818.0	8211.0	4200.0	7956.0	9164.0	8579.0	6737.0	7595.0	490.0	8108.0	6323.0	4679.0	9267.0	6865.0	7696.0	9201.0	8529.0	7917.0	8376.0	10039.0	8363.0	3398.0	10911.0	0.0	7062.0	10527.0	3227.0	1018.0
FengQ_2015__SID31865__bin.25	3239.0	7822.0	3085.0	4482.0	7364.0	5897.0	3005.0	5874.0	7677.0	7239.0	5661.0	6812.0	4275.0	7663.0	7179.0	3496.0	6427.0	6232.0	6894.0	7332.0	7322.0	6915.0	7953.0	7295.0	6909.0	3266.0	7388.0	7062.0	0.0	7755.0	7637.0	5427.0
WenC_2017__RA107__bin.12	2663.0	5284.0	5555.0	7135.0	5484.0	10188.0	4910.0	3293.0	11032.0	4666.0	8660.0	9512.0	6074.0	11251.0	9619.0	2993.0	4018.0	6010.0	10466.0	4858.0	7427.0	9220.0	11309.0	4534.0	4610.0	5876.0	4812.0	10527.0	7755.0	0.0	9858.0	6948.0
WenC_2017__N290__bin.87	4258.0	9205.0	1231.0	5771.0	8914.0	8609.0	3809.0	8193.0	9269.0	8309.0	6572.0	7691.0	1115.0	8522.0	6342.0	4745.0	8964.0	7005.0	8351.0	8844.0	8301.0	8024.0	8666.0	8638.0	7922.0	2764.0	9036.0	3227.0	7637.0	9858.0	0.0	1604.0
WenC_2017__N310__bin.122	2767.0	6315.0	526.0	3964.0	6139.0	5405.0	2532.0	4990.0	5919.0	5767.0	4870.0	5264.0	552.0	5501.0	4178.0	3009.0	5240.0	5068.0	5615.0	5958.0	5780.0	5613.0	6141.0	5882.0	5985.0	1531.0	5794.0	1018.0	5427.0	6948.0	1604.0	0.0
