	XieH_2016__YSZC12003_36695__bin.8	XieH_2016__YSZC12003_37199__bin.80	LiuW_2016__SRR3992987__bin.97	FengQ_2015__SID31137__bin.52	XieH_2016__YSZC12003_37296R1__bin.49	CosteaPI_2017__SID713A062-11-90-0__bin.58	QinJ_2012__T2D-084__bin.22	LiJ_2014__O2.UC47-1__bin.24	VincentC_2016__MM034.2__bin.23	BackhedF_2015__SID42_4M__bin.11	IjazUZ_2017__S33_a_WGS__bin.8	VincentC_2016__MM058.1__bin.1	YuJ_2015__SZAXPI003424-12__bin.38	XieH_2016__YSZC12003_37652__bin.56	LeChatelierE_2013__MH0101__bin.17	ZellerG_2014__CCIS58234805ST-4-0__bin.18	VatanenT_2016__G69211__bin.2	ZeeviD_2015__PNP_Main_319__bin.19	ZellerG_2014__CCIS44093303ST-4-0__bin.45	QinJ_2012__DLM022__bin.52	HMP_2012__SRS012273__bin.44	NielsenHB_2014__MH0101__bin.36	FengQ_2015__SID31873__bin.55	CosteaPI_2017__SID713B026-11-0-0__bin.28	VatanenT_2016__G78521__bin.10	FengQ_2015__SID530227__bin.21	IjazUZ_2017__S34_a_WGS__bin.12	LiJ_2014__MH0336__bin.3	ZeeviD_2015__PNP_Main_448__bin.40	CosteaPI_2017__SID713A089-11-90-0__bin.48	ZeeviD_2015__PNP_Main_381__bin.25	VogtmannE_2016__MMRS44197125ST-27-0-0__bin.14	XieH_2016__YSZC12003_37880__bin.55	ZellerG_2014__CCMD45988061ST-21-0__bin.51	LiuW_2016__SRR3992973__bin.26	IjazUZ_2017__S32_a_WGS__bin.1	KarlssonFH_2013__S58__bin.29
IjazUZ_2017__S33_a_WGS__bin.8	4720736.0	4596383.0	3021553.0	4780675.0	5410936.0	4871561.0	4624199.0	4504587.0	3327058.0	5442737.0	5738475.0	4707447.0	5346680.0	4690608.0	4349620.0	4651642.0	4639457.0	4630849.0	3989211.0	4847118.0	4615622.0	4129354.0	4655072.0	4713413.0	4516321.0	4754471.0	3534511.0	4501701.0	4710970.0	4130430.0	4631745.0	4667935.0	4638394.0	3081556.0	4290213.0	3643584.0	4438338.0
VincentC_2016__MM058.1__bin.1	6604352.0	6239703.0	3792275.0	6045834.0	5733039.0	6135312.0	5799532.0	5621154.0	4147157.0	5937215.0	4707447.0	6942810.0	5827728.0	5715875.0	6128104.0	5716403.0	5661435.0	5820930.0	5033958.0	6116558.0	5779621.0	5768084.0	5924384.0	5762915.0	5677945.0	6609176.0	3634177.0	5651121.0	5756308.0	5177811.0	5806795.0	6609447.0	5864377.0	3994392.0	5367227.0	3730241.0	5534831.0
YuJ_2015__SZAXPI003424-12__bin.38	5928295.0	5604041.0	3617964.0	5897884.0	6652110.0	6004287.0	5720949.0	5428509.0	4010943.0	6913905.0	5346680.0	5827728.0	7135080.0	5652193.0	5341128.0	5640295.0	5560927.0	5713266.0	4853689.0	5981588.0	5687284.0	5071142.0	5714583.0	5711637.0	5512783.0	5891832.0	4135799.0	5525331.0	5720690.0	5035090.0	5717802.0	5781717.0	5737487.0	3669875.0	5213075.0	4294736.0	5357220.0
XieH_2016__YSZC12003_37652__bin.56	5743601.0	5511200.0	3580013.0	5648448.0	5685404.0	5761338.0	6766811.0	5388091.0	4524133.0	5700380.0	4690608.0	5715875.0	5652193.0	7125428.0	5195732.0	6797044.0	6754664.0	6961026.0	4664288.0	5716504.0	6782237.0	4948352.0	5753583.0	7040542.0	5287132.0	5698643.0	3575567.0	6576387.0	7030952.0	5448754.0	6850145.0	5637264.0	6321107.0	3579281.0	5524410.0	3702865.0	5984288.0
LeChatelierE_2013__MH0101__bin.17	6154386.0	5830040.0	3459115.0	5585128.0	5253855.0	5657146.0	5259665.0	5146668.0	3790560.0	5425005.0	4349620.0	6128104.0	5341128.0	5195732.0	6376542.0	5198095.0	5147418.0	5277699.0	4637334.0	5653643.0	5257036.0	5827889.0	5435310.0	5229205.0	5253498.0	6126021.0	3372658.0	5158073.0	5224222.0	4747407.0	5262600.0	6128515.0	5324278.0	3713260.0	4900607.0	3515562.0	5106137.0
ZellerG_2014__CCIS58234805ST-4-0__bin.18	5726921.0	5496986.0	3558907.0	5617938.0	5646736.0	5743941.0	6757828.0	5373764.0	4561598.0	5697898.0	4651642.0	5716403.0	5640295.0	6797044.0	5198095.0	7028470.0	6627720.0	6838951.0	4663712.0	5699082.0	6729510.0	4938022.0	5651142.0	6881550.0	5276592.0	5690835.0	3575583.0	6447181.0	6863626.0	5410295.0	6769702.0	5632428.0	6340692.0	3577147.0	5539966.0	3690200.0	5961885.0
VatanenT_2016__G69211__bin.2	5623501.0	5440311.0	3561418.0	5589588.0	5684186.0	5704229.0	6623149.0	5359784.0	4511331.0	5690101.0	4639457.0	5661435.0	5560927.0	6754664.0	5147418.0	6627720.0	7094603.0	6708587.0	4631400.0	5656885.0	6601808.0	4872214.0	5650446.0	6809181.0	5240867.0	5645736.0	3551782.0	6386775.0	6790406.0	5398749.0	6643421.0	5544852.0	6234363.0	3557677.0	5493575.0	3694858.0	5960236.0
ZeeviD_2015__PNP_Main_319__bin.19	5805091.0	5587258.0	3568591.0	5766505.0	5656337.0	5900842.0	7114556.0	5505054.0	4626448.0	5824559.0	4630849.0	5820930.0	5713266.0	6961026.0	5277699.0	6838951.0	6708587.0	7295880.0	4743136.0	5843760.0	6952921.0	5009588.0	5804391.0	6944760.0	5381374.0	5798149.0	3563702.0	6744189.0	6999690.0	5529653.0	7115509.0	5718857.0	6467246.0	3625924.0	5675292.0	3666087.0	6067246.0
ZellerG_2014__CCIS44093303ST-4-0__bin.45	5067605.0	4940466.0	3343959.0	5543935.0	4787866.0	5576217.0	4730485.0	4821844.0	3516287.0	4909833.0	3989211.0	5033958.0	4853689.0	4664288.0	4637334.0	4663712.0	4631400.0	4743136.0	5682331.0	5524171.0	4736545.0	4391971.0	5068603.0	4701061.0	5205839.0	5087935.0	3077866.0	4619555.0	4683940.0	4333719.0	4737523.0	4964685.0	4768314.0	3398226.0	4596653.0	3156026.0	4532084.0
QinJ_2012__DLM022__bin.52	6220769.0	5925762.0	3821665.0	7081111.0	5899866.0	7131222.0	5834718.0	5807070.0	4113970.0	6091011.0	4847118.0	6116558.0	5981588.0	5716504.0	5653643.0	5699082.0	5656885.0	5843760.0	5524171.0	7245200.0	5781999.0	5363011.0	6071111.0	5770523.0	6395009.0	6245730.0	3710868.0	5660119.0	5766204.0	5193497.0	5827363.0	6062502.0	5842476.0	3881901.0	5423001.0	3833866.0	5484571.0
HMP_2012__SRS012273__bin.44	5777109.0	5553685.0	3547655.0	5706395.0	5622427.0	5815020.0	6914103.0	5440164.0	4603459.0	5765206.0	4615622.0	5779621.0	5687284.0	6782237.0	5257036.0	6729510.0	6601808.0	6952921.0	4736545.0	5781999.0	7148849.0	5001417.0	5763023.0	6829952.0	5377714.0	5775552.0	3563129.0	6618894.0	6849279.0	5504903.0	6906810.0	5694862.0	6429982.0	3619877.0	5609782.0	3660547.0	6060460.0
NielsenHB_2014__MH0101__bin.36	5800571.0	5514919.0	3226858.0	5289401.0	4976575.0	5356191.0	4998610.0	4881318.0	3580460.0	5134835.0	4129354.0	5768084.0	5071142.0	4948352.0	5827889.0	4938022.0	4872214.0	5009588.0	4391971.0	5363011.0	5001417.0	6069514.0	5152367.0	4963663.0	4993155.0	5760599.0	3216446.0	4869572.0	4957455.0	4497620.0	4998099.0	5784244.0	5052565.0	3543606.0	4620948.0	3349101.0	4858491.0
FengQ_2015__SID31873__bin.55	5997059.0	5771239.0	3711374.0	6031748.0	5644559.0	6119471.0	5751542.0	5628670.0	4126987.0	5789785.0	4655072.0	5924384.0	5714583.0	5753583.0	5435310.0	5651142.0	5650446.0	5804391.0	5068603.0	6071111.0	5763023.0	5152367.0	7033450.0	5742704.0	5694474.0	5983580.0	3576631.0	5614909.0	5767898.0	5081426.0	5770922.0	5840082.0	5719838.0	3775971.0	5363925.0	3684544.0	5415071.0
CosteaPI_2017__SID713B026-11-0-0__bin.28	5784968.0	5536097.0	3592343.0	5664107.0	5736587.0	5795135.0	6834130.0	5419521.0	4563850.0	5770197.0	4713413.0	5762915.0	5711637.0	7040542.0	5229205.0	6881550.0	6809181.0	6944760.0	4701061.0	5770523.0	6829952.0	4963663.0	5742704.0	7203756.0	5314407.0	5748472.0	3611785.0	6643660.0	7113401.0	5458786.0	6844555.0	5678054.0	6390786.0	3596162.0	5551202.0	3739892.0	6066414.0
VatanenT_2016__G78521__bin.10	5746100.0	5541868.0	3622685.0	6318324.0	5429529.0	6391090.0	5380546.0	5417409.0	3881244.0	5588232.0	4516321.0	5677945.0	5512783.0	5287132.0	5253498.0	5276592.0	5240867.0	5381374.0	5205839.0	6395009.0	5377714.0	4993155.0	5694474.0	5314407.0	6627405.0	5751948.0	3457320.0	5230197.0	5317442.0	4881939.0	5372942.0	5623441.0	5390194.0	3691959.0	5111774.0	3579622.0	5088915.0
FengQ_2015__SID530227__bin.21	6746769.0	6410532.0	3806887.0	6149061.0	5825875.0	6240036.0	5790113.0	5671889.0	4098396.0	6001738.0	4754471.0	6609176.0	5891832.0	5698643.0	6126021.0	5690835.0	5645736.0	5798149.0	5087935.0	6245730.0	5775552.0	5760599.0	5983580.0	5748472.0	5751948.0	7085368.0	3674514.0	5615184.0	5748138.0	5135403.0	5801317.0	6554491.0	5812456.0	4053271.0	5371520.0	3781389.0	5510746.0
IjazUZ_2017__S34_a_WGS__bin.12	3648353.0	3568774.0	2354301.0	3677564.0	4173165.0	3728256.0	3562709.0	3432829.0	2559278.0	4205931.0	3534511.0	3634177.0	4135799.0	3575567.0	3372658.0	3575583.0	3551782.0	3563702.0	3077866.0	3710868.0	3563129.0	3216446.0	3576631.0	3611785.0	3457320.0	3674514.0	4565839.0	3469332.0	3617636.0	3175091.0	3553753.0	3595535.0	3567713.0	2362294.0	3287085.0	2858386.0	3391117.0
LiJ_2014__MH0336__bin.3	5635432.0	5422023.0	3455954.0	5603419.0	5457147.0	5698891.0	6721400.0	5330067.0	4442873.0	5604880.0	4501701.0	5651121.0	5525331.0	6576387.0	5158073.0	6447181.0	6386775.0	6744189.0	4619555.0	5660119.0	6618894.0	4869572.0	5614909.0	6643660.0	5230197.0	5615184.0	3469332.0	6819905.0	6603571.0	5373840.0	6754420.0	5575459.0	6251520.0	3553197.0	5462017.0	3560543.0	5886487.0
ZeeviD_2015__PNP_Main_448__bin.40	5774307.0	5533104.0	3595958.0	5670261.0	5745158.0	5798262.0	6851422.0	5408439.0	4566058.0	5771516.0	4710970.0	5756308.0	5720690.0	7030952.0	5224222.0	6863626.0	6790406.0	6999690.0	4683940.0	5766204.0	6849279.0	4957455.0	5767898.0	7113401.0	5317442.0	5748138.0	3617636.0	6603571.0	7259178.0	5474958.0	6894099.0	5667979.0	6357554.0	3587328.0	5552858.0	3741643.0	6047582.0
CosteaPI_2017__SID713A089-11-90-0__bin.48	5132707.0	5002805.0	3255565.0	5160948.0	4958436.0	5220580.0	5510120.0	4820758.0	3914532.0	5099139.0	4130430.0	5177811.0	5035090.0	5448754.0	4747407.0	5410295.0	5398749.0	5529653.0	4333719.0	5193497.0	5504903.0	4497620.0	5081426.0	5458786.0	4881939.0	5135403.0	3175091.0	5373840.0	5474958.0	5977288.0	5517431.0	5102382.0	5569706.0	3340834.0	4874142.0	3260976.0	5218097.0
ZeeviD_2015__PNP_Main_381__bin.25	5799464.0	5585481.0	3559663.0	5768140.0	5611398.0	5867890.0	7045045.0	5493474.0	4603082.0	5801030.0	4631745.0	5806795.0	5717802.0	6850145.0	5262600.0	6769702.0	6643421.0	7115509.0	4737523.0	5827363.0	6906810.0	4998099.0	5770922.0	6844555.0	5372942.0	5801317.0	3553753.0	6754420.0	6894099.0	5517431.0	7242583.0	5707764.0	6475768.0	3619338.0	5653404.0	3655917.0	6040872.0
VogtmannE_2016__MMRS44197125ST-27-0-0__bin.14	6602805.0	6187485.0	3737114.0	5989916.0	5679721.0	6072499.0	5695068.0	5533564.0	4071016.0	5858281.0	4667935.0	6609447.0	5781717.0	5637264.0	6128515.0	5632428.0	5544852.0	5718857.0	4964685.0	6062502.0	5694862.0	5784244.0	5840082.0	5678054.0	5623441.0	6554491.0	3595535.0	5575459.0	5667979.0	5102382.0	5707764.0	6893522.0	5762415.0	3969020.0	5285679.0	3706210.0	5448270.0
XieH_2016__YSZC12003_37880__bin.55	5848255.0	5590565.0	3574074.0	5760471.0	5657656.0	5897748.0	6445801.0	5428833.0	4383034.0	5823255.0	4638394.0	5864377.0	5737487.0	6321107.0	5324278.0	6340692.0	6234363.0	6467246.0	4768314.0	5842476.0	6429982.0	5052565.0	5719838.0	6390786.0	5390194.0	5812456.0	3567713.0	6251520.0	6357554.0	5569706.0	6475768.0	5762415.0	7064788.0	3649817.0	5468319.0	3666637.0	6200659.0
ZellerG_2014__CCMD45988061ST-21-0__bin.51	4012928.0	3963514.0	2665975.0	3839739.0	3616462.0	3887571.0	3629729.0	3639970.0	2804858.0	3709489.0	3081556.0	3994392.0	3669875.0	3579281.0	3713260.0	3577147.0	3557677.0	3625924.0	3398226.0	3881901.0	3619877.0	3543606.0	3775971.0	3596162.0	3691959.0	4053271.0	2362294.0	3553197.0	3587328.0	3340834.0	3619338.0	3969020.0	3649817.0	4369800.0	3596614.0	2419020.0	3514564.0
LiuW_2016__SRR3992973__bin.26	5357266.0	5169428.0	3586605.0	5370043.0	5130531.0	5462057.0	5656234.0	5148518.0	4142871.0	5262592.0	4290213.0	5367227.0	5213075.0	5524410.0	4900607.0	5539966.0	5493575.0	5675292.0	4596653.0	5423001.0	5609782.0	4620948.0	5363925.0	5551202.0	5111774.0	5371520.0	3287085.0	5462017.0	5552858.0	4874142.0	5653404.0	5285679.0	5468319.0	3596614.0	6785956.0	3376999.0	5196011.0
IjazUZ_2017__S32_a_WGS__bin.1	3740975.0	3659429.0	2377052.0	3782366.0	4375957.0	3853449.0	3672320.0	3556070.0	2622499.0	4391721.0	3643584.0	3730241.0	4294736.0	3702865.0	3515562.0	3690200.0	3694858.0	3666087.0	3156026.0	3833866.0	3660547.0	3349101.0	3684544.0	3739892.0	3579622.0	3781389.0	2858386.0	3560543.0	3741643.0	3260976.0	3655917.0	3706210.0	3666637.0	2419020.0	3376999.0	4713154.0	3537659.0
KarlssonFH_2013__S58__bin.29	5495311.0	5329822.0	3351342.0	5424221.0	5336248.0	5521605.0	6067885.0	5100867.0	4189557.0	5468343.0	4438338.0	5534831.0	5357220.0	5984288.0	5106137.0	5961885.0	5960236.0	6067246.0	4532084.0	5484571.0	6060460.0	4858491.0	5415071.0	6066414.0	5088915.0	5510746.0	3391117.0	5886487.0	6047582.0	5218097.0	6040872.0	5448270.0	6200659.0	3514564.0	5196011.0	3537659.0	6963903.0
