	XieH_2016__YSZC12003_35992__bin.76	XieH_2016__YSZC12003_37316__bin.20	VatanenT_2016__G80346__bin.3	LiuW_2016__SRR3992995__bin.98	CosteaPI_2017__SID713A004-11-0-0__bin.5	XieH_2016__YSZC12003_37797__bin.48	LeChatelierE_2013__MH0197__bin.17	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.4	XieH_2016__YSZC12003_37207R1__bin.22	FengQ_2015__SID530185__bin.3	LiJ_2014__V1.UC58-4__bin.63	XieH_2016__YSZC12003_35520__bin.39	XieH_2016__YSZC12003_37133__bin.42	CosteaPI_2017__SID713A051-11-0-0__bin.109	XieH_2016__YSZC12003_36057__bin.67	XieH_2016__YSZC12003_36119__bin.34	XieH_2016__YSZC12003_35515__bin.16	ZeeviD_2015__PNP_DietIntervention_45__bin.3	ZeeviD_2015__PNP_DietIntervention_54__bin.31	FengQ_2015__SID31881__bin.29	XieH_2016__YSZC12003_37293__bin.31	XieH_2016__YSZC12003_35733__bin.125	XieH_2016__YSZC12003_37830__bin.41	XieH_2016__YSZC12003_36699__bin.36	XieH_2016__YSZC12003_37233__bin.41	LiuW_2016__SRR3992973__bin.1	Bengtsson-PalmeJ_2015__TRAVELRES39__bin.13	FengQ_2015__SID31872__bin.14	HeQ_2017__SZAXPI029573-88__bin.60	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.10
LiJ_2014__V1.UC58-4__bin.63	1921248.0	1946238.0	1541338.0	1248271.0	1983824.0	1958715.0	1756230.0	1951071.0	1969083.0	1380541.0	2181940.0	1977139.0	1972274.0	1883818.0	1687604.0	1970636.0	1957771.0	1918361.0	1250550.0	1987026.0	1588252.0	1837080.0	1956535.0	1961473.0	1929276.0	1938270.0	1898933.0	1861786.0	1395962.0	1383476.0
XieH_2016__YSZC12003_35520__bin.39	2636055.0	2739492.0	1980505.0	1599798.0	2658079.0	2626854.0	2260190.0	2669225.0	2716309.0	1742888.0	1977139.0	3062125.0	2688779.0	2546847.0	2265492.0	2633140.0	2671714.0	2513573.0	1606578.0	2789065.0	2237677.0	2403728.0	2632218.0	2691511.0	2554604.0	2605627.0	2539634.0	2451236.0	1790903.0	1800151.0
XieH_2016__YSZC12003_37133__bin.42	2619435.0	2632767.0	2020383.0	1568392.0	2737117.0	2679212.0	2276943.0	2637395.0	2667302.0	1749085.0	1972274.0	2688779.0	3072193.0	2494027.0	2242307.0	2664474.0	2682535.0	2542826.0	1604801.0	2709703.0	2172177.0	2396292.0	2713849.0	2622698.0	2566385.0	2538630.0	2522934.0	2468577.0	1799452.0	1761402.0
CosteaPI_2017__SID713A051-11-0-0__bin.109	2475074.0	2502389.0	1953100.0	1528298.0	2527171.0	2563320.0	2217703.0	2502355.0	2570176.0	1714210.0	1883818.0	2546847.0	2494027.0	2988844.0	2100063.0	2576565.0	2511052.0	2461514.0	1549602.0	2537903.0	2066260.0	2267631.0	2551871.0	2474189.0	2489883.0	2587177.0	2392555.0	2430724.0	1778061.0	1696686.0
XieH_2016__YSZC12003_36057__bin.67	2200959.0	2252542.0	1666756.0	1359041.0	2225376.0	2196494.0	1940003.0	2218427.0	2253157.0	1517809.0	1687604.0	2265492.0	2242307.0	2100063.0	2803829.0	2192584.0	2198978.0	2100631.0	1383399.0	2293994.0	1852605.0	2007244.0	2226513.0	2194677.0	2139313.0	2155506.0	2160879.0	2041145.0	1565589.0	1526231.0
XieH_2016__YSZC12003_36119__bin.34	2596556.0	2614718.0	2042423.0	1587468.0	2650784.0	2833948.0	2331467.0	2651859.0	2691918.0	1855336.0	1970636.0	2633140.0	2664474.0	2576565.0	2192584.0	2992313.0	2688397.0	2600691.0	1636532.0	2654677.0	2198080.0	2394752.0	2663579.0	2596064.0	2681517.0	2620450.0	2508772.0	2531424.0	1829379.0	1732301.0
XieH_2016__YSZC12003_35515__bin.16	2600696.0	2645460.0	2002293.0	1585499.0	2621119.0	2633322.0	2319095.0	2632829.0	2668084.0	1744582.0	1957771.0	2671714.0	2682535.0	2511052.0	2198978.0	2688397.0	3049353.0	2539741.0	1623054.0	2685428.0	2164224.0	2384300.0	2609162.0	2621130.0	2564174.0	2569248.0	2475327.0	2490770.0	1804380.0	1751608.0
ZeeviD_2015__PNP_DietIntervention_45__bin.3	2489810.0	2474882.0	2058076.0	1549456.0	2508394.0	2595470.0	2242175.0	2522254.0	2555958.0	1734938.0	1918361.0	2513573.0	2542826.0	2461514.0	2100631.0	2600691.0	2539741.0	2876160.0	1685012.0	2531432.0	2076406.0	2323712.0	2580713.0	2514233.0	2509567.0	2497685.0	2417700.0	2451847.0	1776286.0	1696437.0
ZeeviD_2015__PNP_DietIntervention_54__bin.31	1566744.0	1575985.0	1303612.0	1022603.0	1581386.0	1638944.0	1436799.0	1567681.0	1607601.0	1127685.0	1250550.0	1606578.0	1604801.0	1549602.0	1383399.0	1636532.0	1623054.0	1685012.0	2026635.0	1608219.0	1336997.0	1500948.0	1646492.0	1597005.0	1602320.0	1587685.0	1547227.0	1545218.0	1178235.0	1094772.0
FengQ_2015__SID31881__bin.29	2680927.0	2716952.0	1995236.0	1582562.0	2710833.0	2662499.0	2307695.0	2723247.0	2705615.0	1745882.0	1987026.0	2789065.0	2709703.0	2537903.0	2293994.0	2654677.0	2685428.0	2531432.0	1608219.0	3015595.0	2263257.0	2389558.0	2672288.0	2661582.0	2553437.0	2586923.0	2534936.0	2471008.0	1792844.0	1801730.0
XieH_2016__YSZC12003_37293__bin.31	2166272.0	2197886.0	1561534.0	1389250.0	2204666.0	2230670.0	1853613.0	2249009.0	2221086.0	1461925.0	1588252.0	2237677.0	2172177.0	2066260.0	1852605.0	2198080.0	2164224.0	2076406.0	1336997.0	2263257.0	2487801.0	1953736.0	2153601.0	2159012.0	2112954.0	2135929.0	2083027.0	2050767.0	1460318.0	1473227.0
XieH_2016__YSZC12003_35733__bin.125	2322685.0	2336301.0	1848593.0	1486562.0	2361950.0	2399464.0	2098556.0	2349936.0	2419002.0	1615734.0	1837080.0	2403728.0	2396292.0	2267631.0	2007244.0	2394752.0	2384300.0	2323712.0	1500948.0	2389558.0	1953736.0	2664384.0	2402538.0	2364738.0	2368029.0	2330582.0	2270574.0	2275254.0	1663108.0	1605381.0
XieH_2016__YSZC12003_37830__bin.41	2562192.0	2563265.0	2054191.0	1582838.0	2664524.0	2660280.0	2300797.0	2570597.0	2629715.0	1782329.0	1956535.0	2632218.0	2713849.0	2551871.0	2226513.0	2663579.0	2609162.0	2580713.0	1646492.0	2672288.0	2153601.0	2402538.0	3148826.0	2576097.0	2596665.0	2601685.0	2520256.0	2508962.0	1840659.0	1737949.0
XieH_2016__YSZC12003_36699__bin.36	2626864.0	2606692.0	1988275.0	1575146.0	2614286.0	2599966.0	2240750.0	2671321.0	2649472.0	1718199.0	1961473.0	2691511.0	2622698.0	2474189.0	2194677.0	2596064.0	2621130.0	2514233.0	1597005.0	2661582.0	2159012.0	2364738.0	2576097.0	2947168.0	2516126.0	2555981.0	2491586.0	2444107.0	1754146.0	1786663.0
XieH_2016__YSZC12003_37233__bin.41	2484573.0	2546368.0	1977423.0	1542903.0	2552035.0	2630344.0	2270559.0	2517014.0	2616602.0	1767429.0	1929276.0	2554604.0	2566385.0	2489883.0	2139313.0	2681517.0	2564174.0	2509567.0	1602320.0	2553437.0	2112954.0	2368029.0	2596665.0	2516126.0	3011315.0	2556218.0	2402683.0	2456202.0	1783974.0	1683213.0
LiuW_2016__SRR3992973__bin.1	2521010.0	2583744.0	1979681.0	1588091.0	2578560.0	2584084.0	2258796.0	2562060.0	2603550.0	1747901.0	1938270.0	2605627.0	2538630.0	2587177.0	2155506.0	2620450.0	2569248.0	2497685.0	1587685.0	2586923.0	2135929.0	2330582.0	2601685.0	2555981.0	2556218.0	2969477.0	2465818.0	2477372.0	1852305.0	1763411.0
Bengtsson-PalmeJ_2015__TRAVELRES39__bin.13	2445501.0	2489029.0	1889549.0	1533030.0	2527024.0	2486236.0	2173862.0	2497471.0	2494874.0	1686810.0	1898933.0	2539634.0	2522934.0	2392555.0	2160879.0	2508772.0	2475327.0	2417700.0	1547227.0	2534936.0	2083027.0	2270574.0	2520256.0	2491586.0	2402683.0	2465818.0	2801325.0	2362771.0	1716566.0	1702695.0
FengQ_2015__SID31872__bin.14	2409454.0	2418321.0	1914825.0	1512227.0	2458873.0	2538576.0	2192945.0	2491309.0	2526770.0	1681895.0	1861786.0	2451236.0	2468577.0	2430724.0	2041145.0	2531424.0	2490770.0	2451847.0	1545218.0	2471008.0	2050767.0	2275254.0	2508962.0	2444107.0	2456202.0	2477372.0	2362771.0	2844697.0	1731534.0	1649865.0
HeQ_2017__SZAXPI029573-88__bin.60	1776161.0	1774923.0	1413364.0	1136216.0	1788246.0	1813309.0	1623612.0	1761723.0	1799451.0	1286082.0	1395962.0	1790903.0	1799452.0	1778061.0	1565589.0	1829379.0	1804380.0	1776286.0	1178235.0	1792844.0	1460318.0	1663108.0	1840659.0	1754146.0	1783974.0	1852305.0	1716566.0	1731534.0	2119139.0	1255627.0
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.10	1753045.0	1777218.0	1344403.0	1119028.0	1763056.0	1740299.0	1544346.0	1805061.0	1760625.0	1248312.0	1383476.0	1800151.0	1761402.0	1696686.0	1526231.0	1732301.0	1751608.0	1696437.0	1094772.0	1801730.0	1473227.0	1605381.0	1737949.0	1786663.0	1683213.0	1763411.0	1702695.0	1649865.0	1255627.0	2092835.0
