	YuJ_2015__SZAXPI017466-84__bin.1	ChengpingW_2017__AS38raw__bin.40	LiuW_2016__SRR3993022__bin.81	HeQ_2017__SZAXPI029467-166__bin.15	HeQ_2017__SZAXPI029567-80__bin.66	XieH_2016__YSZC12003_35506__bin.88	QinJ_2012__CON-108__bin.6	CosteaPI_2017__SID713B026-11-0-0__bin.6	YuJ_2015__SZAXPI017455-21__bin.42	CosteaPI_2017__SID713B058-11-90-0__bin.1	QinJ_2012__T2D-098__bin.29	QinJ_2012__T2D-039__bin.54	QinJ_2012__DLM018__bin.21	XieH_2016__YSZC12003_37254__bin.61	QinJ_2012__T2D-102__bin.23	ZellerG_2014__CCIS90164298ST-4-0__bin.20	HeQ_2017__RSZAXPI003104-142__bin.39	ZeeviD_2015__PNP_Main_110__bin.52	BritoIL_2016__M1.52.ST__bin.92	ZeeviD_2015__PNP_Main_412__bin.35	QinJ_2012__DLF014__bin.16	QinJ_2012__T2D-071__bin.20	QinJ_2012__T2D-103__bin.23	YuJ_2015__SZAXPI015249-37__bin.39	ZeeviD_2015__PNP_Main_667__bin.9	KarlssonFH_2013__S80__bin.16
QinJ_2012__DLM018__bin.21	2080471.0	2045516.0	1983393.0	2094063.0	2024912.0	2054149.0	1186743.0	2061336.0	2064418.0	1735815.0	2012897.0	1627680.0	2175510.0	1092509.0	1959759.0	1988263.0	1977598.0	1963620.0	1761355.0	1824042.0	2059004.0	2072026.0	2066869.0	1955904.0	1858659.0	1059209.0
XieH_2016__YSZC12003_37254__bin.61	1109697.0	1122713.0	1099322.0	1115729.0	1137271.0	1095231.0	702540.0	1102608.0	1120590.0	997477.0	1086807.0	870221.0	1092509.0	1371646.0	1076684.0	1077456.0	1102487.0	1031935.0	1166242.0	1191208.0	1106712.0	1120164.0	1118317.0	1080746.0	1196054.0	612035.0
QinJ_2012__T2D-102__bin.23	2042665.0	1988500.0	1983159.0	2047576.0	2004010.0	1979785.0	1177740.0	1992482.0	2012689.0	1715618.0	1925292.0	1562899.0	1959759.0	1076684.0	2215094.0	1977024.0	1948510.0	1928529.0	1732799.0	1820464.0	2022275.0	2045249.0	2112395.0	1919728.0	1850247.0	1032169.0
ZellerG_2014__CCIS90164298ST-4-0__bin.20	2065471.0	2015709.0	2019469.0	2040531.0	2014813.0	1997183.0	1180439.0	2026741.0	2026006.0	1720660.0	1932544.0	1556361.0	1988263.0	1077456.0	1977024.0	2224018.0	1945762.0	1980744.0	1741125.0	1810413.0	2045218.0	2049344.0	2077095.0	1918497.0	1837654.0	1043956.0
HeQ_2017__RSZAXPI003104-142__bin.39	2064891.0	2061246.0	2002540.0	2055168.0	2065710.0	2030157.0	1189699.0	2032830.0	2040722.0	1744814.0	1990778.0	1576765.0	1977598.0	1102487.0	1948510.0	1945762.0	2227405.0	1929339.0	1774347.0	1846236.0	2015048.0	2056666.0	2043930.0	1937302.0	1890604.0	1045140.0
ZeeviD_2015__PNP_Main_110__bin.52	2027497.0	1967413.0	1985719.0	2018551.0	1960171.0	1948802.0	1148996.0	2025857.0	1978456.0	1703061.0	1908999.0	1539305.0	1963620.0	1031935.0	1928529.0	1980744.0	1929339.0	2172484.0	1716519.0	1789864.0	2043340.0	2019878.0	2039850.0	1890987.0	1815376.0	994857.0
BritoIL_2016__M1.52.ST__bin.92	1817454.0	1819333.0	1782734.0	1833097.0	1826576.0	1770078.0	1042932.0	1787272.0	1820528.0	1595343.0	1747379.0	1379605.0	1761355.0	1166242.0	1732799.0	1741125.0	1774347.0	1716519.0	2113142.0	1893977.0	1804504.0	1822013.0	1829426.0	1728728.0	1899983.0	916627.0
ZeeviD_2015__PNP_Main_412__bin.35	1901577.0	1924498.0	1857766.0	1919371.0	1899740.0	1852950.0	1079549.0	1881830.0	1906220.0	1646805.0	1836692.0	1446216.0	1824042.0	1191208.0	1820464.0	1810413.0	1846236.0	1789864.0	1893977.0	2191910.0	1883377.0	1908800.0	1925520.0	1822197.0	1978874.0	960716.0
QinJ_2012__DLF014__bin.16	2114272.0	2076409.0	2057447.0	2118549.0	2080373.0	2058624.0	1205150.0	2114327.0	2097858.0	1778237.0	2040483.0	1627419.0	2059004.0	1106712.0	2022275.0	2045218.0	2015048.0	2043340.0	1804504.0	1883377.0	2276543.0	2119113.0	2136328.0	2042853.0	1905718.0	1062593.0
QinJ_2012__T2D-071__bin.20	2135584.0	2105619.0	2077080.0	2142161.0	2130890.0	2076451.0	1225454.0	2105734.0	2156685.0	1779644.0	2043763.0	1647603.0	2072026.0	1120164.0	2045249.0	2049344.0	2056666.0	2019878.0	1822013.0	1908800.0	2119113.0	2230654.0	2159652.0	2027034.0	1930451.0	1078191.0
QinJ_2012__T2D-103__bin.23	2150649.0	2111875.0	2084881.0	2158381.0	2108272.0	2074826.0	1218667.0	2118942.0	2124631.0	1782408.0	2037931.0	1634961.0	2066869.0	1118317.0	2112395.0	2077095.0	2043930.0	2039850.0	1829426.0	1925520.0	2136328.0	2159652.0	2291958.0	2013361.0	1939429.0	1076737.0
YuJ_2015__SZAXPI015249-37__bin.39	1995089.0	2010029.0	1963445.0	2018138.0	1994343.0	1965052.0	1181837.0	2002028.0	2030282.0	1709143.0	1972129.0	1568326.0	1955904.0	1080746.0	1919728.0	1918497.0	1937302.0	1890987.0	1728728.0	1822197.0	2042853.0	2027034.0	2013361.0	2183716.0	1826542.0	1039438.0
ZeeviD_2015__PNP_Main_667__bin.9	1930101.0	1925704.0	1887581.0	1941832.0	1921554.0	1855782.0	1096580.0	1900954.0	1941390.0	1651989.0	1844112.0	1452195.0	1858659.0	1196054.0	1850247.0	1837654.0	1890604.0	1815376.0	1899983.0	1978874.0	1905718.0	1930451.0	1939429.0	1826542.0	2268475.0	971373.0
KarlssonFH_2013__S80__bin.16	1075590.0	1067285.0	1046295.0	1069981.0	1070154.0	1046313.0	673770.0	1065372.0	1091535.0	914192.0	1044515.0	945482.0	1059209.0	612035.0	1032169.0	1043956.0	1045140.0	994857.0	916627.0	960716.0	1062593.0	1078191.0	1076737.0	1039438.0	971373.0	1165108.0
