	YuJ_2015__SZAXPI017466-84__bin.1	ChengpingW_2017__AS38raw__bin.40	LiuW_2016__SRR3993022__bin.81	HeQ_2017__SZAXPI029467-166__bin.15	HeQ_2017__SZAXPI029567-80__bin.66	XieH_2016__YSZC12003_35506__bin.88	QinJ_2012__CON-108__bin.6	CosteaPI_2017__SID713B026-11-0-0__bin.6	YuJ_2015__SZAXPI017455-21__bin.42	CosteaPI_2017__SID713B058-11-90-0__bin.1	QinJ_2012__T2D-098__bin.29	QinJ_2012__T2D-039__bin.54	QinJ_2012__DLM018__bin.21	XieH_2016__YSZC12003_37254__bin.61	QinJ_2012__T2D-102__bin.23	ZellerG_2014__CCIS90164298ST-4-0__bin.20	HeQ_2017__RSZAXPI003104-142__bin.39	ZeeviD_2015__PNP_Main_110__bin.52	BritoIL_2016__M1.52.ST__bin.92	ZeeviD_2015__PNP_Main_412__bin.35	QinJ_2012__DLF014__bin.16	QinJ_2012__T2D-071__bin.20	QinJ_2012__T2D-103__bin.23	YuJ_2015__SZAXPI015249-37__bin.39	ZeeviD_2015__PNP_Main_667__bin.9	KarlssonFH_2013__S80__bin.16
QinJ_2012__T2D-098__bin.29	16833.0	20316.0	20071.0	15215.0	17550.0	15325.0	11685.0	18884.0	18193.0	16265.0	0.0	3892.0	13341.0	60954.0	22181.0	21248.0	23518.0	17139.0	111604.0	88773.0	14395.0	17299.0	22812.0	14271.0	85339.0	10087.0
QinJ_2012__T2D-039__bin.54	13880.0	15895.0	16753.0	12010.0	14223.0	12395.0	11201.0	17049.0	15867.0	13637.0	3892.0	0.0	10006.0	46004.0	17162.0	17513.0	18106.0	14870.0	85674.0	65049.0	14165.0	15255.0	16597.0	13864.0	63803.0	9178.0
QinJ_2012__DLM018__bin.21	16762.0	18455.0	23865.0	18307.0	21093.0	16294.0	12500.0	22815.0	19460.0	19541.0	13341.0	10006.0	0.0	61016.0	24887.0	25395.0	25416.0	21880.0	111186.0	84513.0	19876.0	19988.0	25418.0	19453.0	85151.0	10435.0
XieH_2016__YSZC12003_37254__bin.61	64287.0	62750.0	66787.0	62640.0	62135.0	63637.0	42881.0	65389.0	62708.0	60547.0	60954.0	46004.0	61016.0	0.0	63109.0	63602.0	61074.0	60485.0	21021.0	25887.0	63052.0	62224.0	65315.0	59618.0	28362.0	32075.0
QinJ_2012__T2D-102__bin.23	21743.0	27357.0	18175.0	27525.0	24020.0	25674.0	13106.0	19843.0	25724.0	17608.0	22181.0	17162.0	24887.0	63109.0	0.0	20416.0	26544.0	18559.0	112895.0	94805.0	24253.0	24146.0	5855.0	24866.0	87107.0	14653.0
ZellerG_2014__CCIS90164298ST-4-0__bin.20	20322.0	26463.0	16111.0	25346.0	23041.0	25969.0	12382.0	16547.0	23260.0	14715.0	21248.0	17513.0	25395.0	63602.0	20416.0	0.0	26777.0	15895.0	114189.0	93147.0	22738.0	23121.0	22720.0	22390.0	88482.0	13242.0
HeQ_2017__RSZAXPI003104-142__bin.39	22997.0	27806.0	25635.0	25909.0	24439.0	27611.0	18063.0	25373.0	24983.0	22508.0	23518.0	18106.0	25416.0	61074.0	26544.0	26777.0	0.0	23020.0	112351.0	90711.0	24334.0	25442.0	27113.0	26241.0	90498.0	15508.0
ZeeviD_2015__PNP_Main_110__bin.52	17066.0	23822.0	12313.0	22194.0	20619.0	22822.0	10570.0	18579.0	19851.0	12506.0	17139.0	14870.0	21880.0	60485.0	18559.0	15895.0	23020.0	0.0	112862.0	93567.0	18806.0	20280.0	21324.0	19000.0	85742.0	12014.0
BritoIL_2016__M1.52.ST__bin.92	116926.0	113822.0	119869.0	116330.0	115004.0	114663.0	69438.0	117343.0	115512.0	105481.0	111604.0	85674.0	111186.0	21021.0	112895.0	114189.0	112351.0	112862.0	0.0	52485.0	115378.0	114918.0	119539.0	106494.0	53286.0	56457.0
ZeeviD_2015__PNP_Main_412__bin.35	93865.0	91048.0	97465.0	89849.0	91102.0	91401.0	55880.0	97242.0	91668.0	85673.0	88773.0	65049.0	84513.0	25887.0	94805.0	93147.0	90711.0	93567.0	52485.0	0.0	93107.0	93714.0	98346.0	85653.0	50674.0	42239.0
QinJ_2012__DLF014__bin.16	19272.0	23836.0	20193.0	21561.0	19683.0	21874.0	12073.0	22111.0	20121.0	16952.0	14395.0	14165.0	19876.0	63052.0	24253.0	22738.0	24334.0	18806.0	115378.0	93107.0	0.0	20154.0	25981.0	13109.0	92844.0	12466.0
QinJ_2012__T2D-071__bin.20	19244.0	25373.0	22086.0	21758.0	17736.0	25485.0	14337.0	22914.0	22224.0	19643.0	17299.0	15255.0	19988.0	62224.0	24146.0	23121.0	25442.0	20280.0	114918.0	93714.0	20154.0	0.0	25689.0	19921.0	91240.0	12686.0
QinJ_2012__T2D-103__bin.23	22820.0	28950.0	20100.0	26728.0	25812.0	27450.0	14921.0	21703.0	27518.0	19660.0	22812.0	16597.0	25418.0	65315.0	5855.0	22720.0	27113.0	21324.0	119539.0	98346.0	25981.0	25689.0	0.0	26222.0	92447.0	15269.0
YuJ_2015__SZAXPI015249-37__bin.39	19568.0	21255.0	21625.0	18547.0	20222.0	23936.0	13939.0	21216.0	21666.0	18063.0	14271.0	13864.0	19453.0	59618.0	24866.0	22390.0	26241.0	19000.0	106494.0	85653.0	13109.0	19921.0	26222.0	0.0	84343.0	10624.0
ZeeviD_2015__PNP_Main_667__bin.9	91282.0	87801.0	93049.0	86881.0	88780.0	88005.0	52796.0	90819.0	87217.0	81535.0	85339.0	63803.0	85151.0	28362.0	87107.0	88482.0	90498.0	85742.0	53286.0	50674.0	92844.0	91240.0	92447.0	84343.0	0.0	40747.0
KarlssonFH_2013__S80__bin.16	10137.0	10787.0	13152.0	9160.0	12149.0	11964.0	8489.0	13140.0	9159.0	11118.0	10087.0	9178.0	10435.0	32075.0	14653.0	13242.0	15508.0	12014.0	56457.0	42239.0	12466.0	12686.0	15269.0	10624.0	40747.0	0.0
