	BritoIL_2016__W1.9.ST__bin.22	BritoIL_2016__M2.51.ST__bin.46	BritoIL_2016__M2.3.ST__bin.28	BritoIL_2016__W1.2.ST__bin.104	BritoIL_2016__W1.13.ST__bin.14	BritoIL_2016__WL.12.ST__bin.35	BritoIL_2016__M2.39.ST__bin.56	BritoIL_2016__WL.20.ST__bin.58	QinJ_2012__CON-110__bin.49	BritoIL_2016__WL.14.ST__bin.31	BritoIL_2016__W1.11.ST__bin.50	BritoIL_2016__W1.27.ST__bin.36	BritoIL_2016__W1.26.ST__bin.16	BritoIL_2016__M1.61.ST__bin.86	BritoIL_2016__W2.4.ST__bin.57	BritoIL_2016__M1.27.ST__bin.15	BritoIL_2016__W2.15.ST__bin.36	BritoIL_2016__W3.17.ST__bin.58	BritoIL_2016__W2.17.ST__bin.4	BritoIL_2016__W1.40.ST__bin.48	BritoIL_2016__W1.41.ST__bin.53	BritoIL_2016__W2.61.ST__bin.99	BritoIL_2016__W1.37.ST__bin.8	BritoIL_2016__M1.48.ST__bin.84	BritoIL_2016__W1.36.ST__bin.47	BritoIL_2016__M1.26.ST__bin.18	BritoIL_2016__M1.22.ST__bin.77	BritoIL_2016__W1.39.ST__bin.59	BritoIL_2016__W1.33.ST__bin.72	BritoIL_2016__M1.38.ST__bin.20	BritoIL_2016__W1.4.ST__bin.43	BritoIL_2016__W2.65.ST__bin.28	ZeeviD_2015__PNP_Main_706__bin.20
BritoIL_2016__W3.17.ST__bin.58	1369829.0	1106623.0	1334585.0	1323776.0	1269493.0	1357227.0	1202664.0	1346958.0	1028644.0	1347660.0	1354958.0	1369924.0	1123055.0	1197375.0	1366265.0	1308434.0	1351918.0	1393848.0	967288.0	1376636.0	1366446.0	839117.0	1198823.0	1364394.0	790861.0	1093795.0	1335697.0	1355133.0	1211616.0	1076701.0	1361109.0	1365250.0	1325869.0
BritoIL_2016__W2.17.ST__bin.4	1270192.0	1032666.0	1217359.0	1218650.0	1166584.0	1239016.0	1105903.0	1230377.0	949708.0	1234312.0	1255328.0	1254322.0	1044730.0	1106307.0	1253999.0	1197373.0	1234050.0	967288.0	1301546.0	1255435.0	1252683.0	747473.0	1082651.0	1245195.0	716959.0	1012054.0	1229996.0	1241024.0	1113509.0	978271.0	1254747.0	1252768.0	1209103.0
BritoIL_2016__W1.40.ST__bin.48	1865479.0	1504029.0	1837972.0	1794210.0	1691795.0	1822931.0	1586187.0	1853969.0	1338482.0	1847958.0	1836658.0	1911478.0	1475284.0	1589385.0	1852063.0	1772786.0	1870905.0	1376636.0	1255435.0	1954969.0	1832259.0	1245346.0	1579188.0	1859201.0	1010352.0	1438127.0	1814877.0	1820363.0	1609409.0	1418791.0	1865301.0	1848692.0	1771876.0
BritoIL_2016__W1.41.ST__bin.53	1841479.0	1468803.0	1769447.0	1774073.0	1666786.0	1799611.0	1565417.0	1817202.0	1326559.0	1810997.0	1813203.0	1830625.0	1477253.0	1607239.0	1821750.0	1744817.0	1804979.0	1366446.0	1252683.0	1832259.0	1918630.0	1186402.0	1563120.0	1812564.0	1009292.0	1422471.0	1811625.0	1804647.0	1598417.0	1418829.0	1847518.0	1819553.0	1764749.0
BritoIL_2016__W2.61.ST__bin.99	1215107.0	938222.0	1208773.0	1153534.0	1073767.0	1168141.0	982600.0	1212266.0	786893.0	1192463.0	1201998.0	1228047.0	902476.0	978067.0	1191495.0	1152449.0	1226168.0	839117.0	747473.0	1245346.0	1186402.0	1299825.0	981114.0	1185842.0	562046.0	852700.0	1178836.0	1166475.0	1001514.0	898587.0	1202866.0	1185854.0	1147690.0
BritoIL_2016__W1.37.ST__bin.8	1579239.0	1282294.0	1520297.0	1532698.0	1439942.0	1557542.0	1357070.0	1538686.0	1159638.0	1536666.0	1560574.0	1574996.0	1263760.0	1379807.0	1575862.0	1483067.0	1549755.0	1198823.0	1082651.0	1579188.0	1563120.0	981114.0	1618882.0	1566872.0	879718.0	1249974.0	1548824.0	1551746.0	1403235.0	1225691.0	1572614.0	1572064.0	1522790.0
BritoIL_2016__M1.48.ST__bin.84	1831362.0	1462201.0	1763363.0	1769105.0	1675342.0	1805099.0	1561442.0	1800806.0	1329221.0	1797167.0	1817767.0	1824416.0	1469473.0	1583284.0	1833656.0	1728688.0	1802495.0	1364394.0	1245195.0	1859201.0	1812564.0	1185842.0	1566872.0	1877225.0	1000729.0	1429746.0	1792065.0	1799179.0	1608635.0	1396065.0	1827847.0	1830048.0	1759146.0
BritoIL_2016__W1.36.ST__bin.47	1005206.0	845433.0	969051.0	968238.0	919354.0	995966.0	873629.0	985351.0	765182.0	990277.0	988118.0	1001406.0	822571.0	904036.0	1005839.0	967036.0	987966.0	790861.0	716959.0	1010352.0	1009292.0	562046.0	879718.0	1000729.0	1040843.0	809842.0	984803.0	986398.0	897006.0	808496.0	1004836.0	1008252.0	969343.0
BritoIL_2016__M1.26.ST__bin.18	1442755.0	1196644.0	1388354.0	1379647.0	1331056.0	1445859.0	1276821.0	1414729.0	1071903.0	1410159.0	1416229.0	1428474.0	1175088.0	1263074.0	1435377.0	1378442.0	1408619.0	1093795.0	1012054.0	1438127.0	1422471.0	852700.0	1249974.0	1429746.0	809842.0	1492531.0	1410595.0	1427354.0	1284979.0	1127052.0	1428176.0	1434475.0	1384874.0
BritoIL_2016__M1.22.ST__bin.77	1801589.0	1498598.0	1763440.0	1787524.0	1647953.0	1780563.0	1555950.0	1815127.0	1300314.0	1786608.0	1847376.0	1798794.0	1446315.0	1574647.0	1806389.0	1741757.0	1807284.0	1335697.0	1229996.0	1814877.0	1811625.0	1178836.0	1548824.0	1792065.0	984803.0	1410595.0	1935747.0	1781017.0	1569438.0	1420637.0	1823596.0	1803247.0	1759405.0
BritoIL_2016__W1.39.ST__bin.59	1821403.0	1456461.0	1745974.0	1758760.0	1653255.0	1795865.0	1556916.0	1785631.0	1314300.0	1772775.0	1798274.0	1834702.0	1451311.0	1560361.0	1809077.0	1705393.0	1782170.0	1355133.0	1241024.0	1820363.0	1804647.0	1166475.0	1551746.0	1799179.0	986398.0	1427354.0	1781017.0	1884254.0	1578939.0	1386044.0	1804019.0	1809444.0	1739947.0
BritoIL_2016__W1.33.ST__bin.72	1610755.0	1312339.0	1558455.0	1563096.0	1478302.0	1587454.0	1390137.0	1575940.0	1206166.0	1578786.0	1594477.0	1608473.0	1302979.0	1407104.0	1605851.0	1530607.0	1576591.0	1211616.0	1113509.0	1609409.0	1598417.0	1001514.0	1403235.0	1608635.0	897006.0	1284979.0	1569438.0	1578939.0	1657422.0	1237716.0	1606299.0	1603110.0	1549183.0
BritoIL_2016__M1.38.ST__bin.20	1410242.0	1172125.0	1397724.0	1362378.0	1309797.0	1384422.0	1235754.0	1431836.0	1034910.0	1415173.0	1399808.0	1421673.0	1164244.0	1251180.0	1405297.0	1396368.0	1418041.0	1076701.0	978271.0	1418791.0	1418829.0	898587.0	1225691.0	1396065.0	808496.0	1127052.0	1420637.0	1386044.0	1237716.0	1508304.0	1422371.0	1402914.0	1368227.0
BritoIL_2016__W1.4.ST__bin.43	1843332.0	1471627.0	1776451.0	1790146.0	1681098.0	1814757.0	1564491.0	1821549.0	1329336.0	1821940.0	1829691.0	1842902.0	1459793.0	1608388.0	1839794.0	1753535.0	1804893.0	1361109.0	1254747.0	1865301.0	1847518.0	1202866.0	1572614.0	1827847.0	1004836.0	1428176.0	1823596.0	1804019.0	1606299.0	1422371.0	1940151.0	1840160.0	1777915.0
BritoIL_2016__W2.65.ST__bin.28	1838065.0	1477327.0	1774295.0	1768986.0	1676301.0	1810885.0	1567745.0	1800503.0	1327819.0	1799273.0	1819563.0	1834203.0	1464296.0	1581572.0	1899315.0	1730670.0	1809792.0	1365250.0	1252768.0	1848692.0	1819553.0	1185854.0	1572064.0	1830048.0	1008252.0	1434475.0	1803247.0	1809444.0	1603110.0	1402914.0	1840160.0	1909253.0	1773538.0
ZeeviD_2015__PNP_Main_706__bin.20	1775371.0	1430896.0	1730235.0	1729557.0	1619397.0	1743535.0	1512185.0	1750778.0	1287888.0	1728760.0	1774478.0	1774227.0	1426394.0	1533852.0	1780240.0	1685576.0	1768152.0	1325869.0	1209103.0	1771876.0	1764749.0	1147690.0	1522790.0	1759146.0	969343.0	1384874.0	1759405.0	1739947.0	1549183.0	1368227.0	1777915.0	1773538.0	1843699.0
