	BritoIL_2016__W1.9.ST__bin.22	BritoIL_2016__M2.51.ST__bin.46	BritoIL_2016__M2.3.ST__bin.28	BritoIL_2016__W1.2.ST__bin.104	BritoIL_2016__W1.13.ST__bin.14	BritoIL_2016__WL.12.ST__bin.35	BritoIL_2016__M2.39.ST__bin.56	BritoIL_2016__WL.20.ST__bin.58	QinJ_2012__CON-110__bin.49	BritoIL_2016__WL.14.ST__bin.31	BritoIL_2016__W1.11.ST__bin.50	BritoIL_2016__W1.27.ST__bin.36	BritoIL_2016__W1.26.ST__bin.16	BritoIL_2016__M1.61.ST__bin.86	BritoIL_2016__W2.4.ST__bin.57	BritoIL_2016__M1.27.ST__bin.15	BritoIL_2016__W2.15.ST__bin.36	BritoIL_2016__W3.17.ST__bin.58	BritoIL_2016__W2.17.ST__bin.4	BritoIL_2016__W1.40.ST__bin.48	BritoIL_2016__W1.41.ST__bin.53	BritoIL_2016__W2.61.ST__bin.99	BritoIL_2016__W1.37.ST__bin.8	BritoIL_2016__M1.48.ST__bin.84	BritoIL_2016__W1.36.ST__bin.47	BritoIL_2016__M1.26.ST__bin.18	BritoIL_2016__M1.22.ST__bin.77	BritoIL_2016__W1.39.ST__bin.59	BritoIL_2016__W1.33.ST__bin.72	BritoIL_2016__M1.38.ST__bin.20	BritoIL_2016__W1.4.ST__bin.43	BritoIL_2016__W2.65.ST__bin.28	ZeeviD_2015__PNP_Main_706__bin.20
BritoIL_2016__W1.11.ST__bin.50	167.0	6201.0	5336.0	3682.0	5489.0	7578.0	4693.0	6204.0	8322.0	5948.0	0.0	6020.0	5589.0	5863.0	7711.0	5385.0	5377.0	4317.0	571.0	6231.0	6280.0	4563.0	6381.0	7531.0	3836.0	6080.0	8428.0	5217.0	6024.0	4745.0	7682.0	7646.0	8348.0
BritoIL_2016__W1.27.ST__bin.36	6179.0	6204.0	1086.0	6727.0	5105.0	7006.0	4154.0	6760.0	8002.0	6417.0	6020.0	0.0	6138.0	5822.0	6898.0	6149.0	1143.0	1398.0	3688.0	2601.0	6661.0	5015.0	5776.0	6716.0	3573.0	5275.0	7147.0	5112.0	5923.0	4903.0	7181.0	6983.0	7482.0
BritoIL_2016__W1.26.ST__bin.16	5607.0	4888.0	6003.0	5257.0	5921.0	6168.0	4650.0	6093.0	6873.0	5938.0	5589.0	6138.0	0.0	5664.0	6297.0	5937.0	5793.0	4694.0	4209.0	5942.0	4611.0	4357.0	5238.0	5910.0	3215.0	4471.0	6323.0	6027.0	5316.0	4566.0	6018.0	6285.0	6456.0
BritoIL_2016__M1.61.ST__bin.86	5865.0	5002.0	5507.0	6040.0	4431.0	6037.0	4522.0	4936.0	7741.0	4863.0	5863.0	5822.0	5664.0	0.0	5995.0	4782.0	5599.0	4611.0	3866.0	6034.0	6485.0	5030.0	4488.0	4601.0	2857.0	3564.0	6207.0	6202.0	2527.0	4297.0	5783.0	5928.0	6911.0
BritoIL_2016__W2.4.ST__bin.57	7534.0	5899.0	6715.0	7738.0	6648.0	7469.0	5577.0	7001.0	8997.0	6909.0	7711.0	6898.0	6297.0	5995.0	0.0	6812.0	6680.0	5084.0	5129.0	7003.0	7437.0	6139.0	5896.0	6368.0	3512.0	4232.0	6626.0	7794.0	5546.0	4981.0	7001.0	91.0	8836.0
BritoIL_2016__M1.27.ST__bin.15	5500.0	5757.0	5961.0	6764.0	5855.0	6797.0	5144.0	4335.0	7906.0	4176.0	5385.0	6149.0	5937.0	4782.0	6812.0	0.0	6261.0	4623.0	3813.0	6468.0	6551.0	5251.0	5879.0	6032.0	3082.0	5093.0	7359.0	6583.0	4645.0	4622.0	7000.0	6782.0	7213.0
BritoIL_2016__W2.15.ST__bin.36	5320.0	5814.0	832.0	6120.0	4960.0	6530.0	4235.0	6387.0	7481.0	6081.0	5377.0	1143.0	5793.0	5599.0	6680.0	6261.0	0.0	969.0	3446.0	2290.0	6169.0	4364.0	5408.0	6447.0	3591.0	4939.0	6855.0	4773.0	5522.0	4735.0	6775.0	6717.0	7402.0
BritoIL_2016__W3.17.ST__bin.58	4258.0	4222.0	916.0	4791.0	3703.0	5392.0	3518.0	4856.0	6424.0	4838.0	4317.0	1398.0	4694.0	4611.0	5084.0	4623.0	969.0	0.0	3181.0	2164.0	4856.0	3048.0	4365.0	5145.0	3341.0	3905.0	4779.0	3741.0	4588.0	3630.0	5399.0	5059.0	5784.0
BritoIL_2016__W2.17.ST__bin.4	663.0	3989.0	3326.0	2450.0	3593.0	4762.0	3186.0	3995.0	5971.0	3953.0	571.0	3688.0	4209.0	3866.0	5129.0	3813.0	3446.0	3181.0	0.0	3830.0	4557.0	2784.0	4522.0	4891.0	2762.0	4101.0	4929.0	3827.0	4045.0	3329.0	5016.0	5203.0	5187.0
BritoIL_2016__W1.40.ST__bin.48	6337.0	6082.0	2367.0	6891.0	5580.0	7111.0	4462.0	6789.0	7898.0	6668.0	6231.0	2601.0	5942.0	6034.0	7003.0	6468.0	2290.0	2164.0	3830.0	0.0	6658.0	3935.0	5603.0	6767.0	3665.0	5173.0	7356.0	5528.0	5875.0	4831.0	7468.0	6890.0	7569.0
BritoIL_2016__W1.41.ST__bin.53	6231.0	5609.0	6148.0	6452.0	6934.0	7043.0	5102.0	7519.0	7971.0	7333.0	6280.0	6661.0	4611.0	6485.0	7437.0	6551.0	6169.0	4856.0	4557.0	6658.0	0.0	4905.0	5960.0	6999.0	2703.0	5500.0	7970.0	6631.0	6072.0	5194.0	7769.0	7423.0	7602.0
BritoIL_2016__W2.61.ST__bin.99	4623.0	4506.0	4633.0	4870.0	5479.0	6138.0	3841.0	5986.0	6512.0	5807.0	4563.0	5015.0	4357.0	5030.0	6139.0	5251.0	4364.0	3048.0	2784.0	3935.0	4905.0	0.0	5115.0	6113.0	2822.0	4332.0	6360.0	4049.0	5028.0	4418.0	6661.0	6005.0	6364.0
BritoIL_2016__W1.37.ST__bin.8	6407.0	3367.0	5361.0	5833.0	5189.0	5958.0	4490.0	5431.0	6614.0	5625.0	6381.0	5776.0	5238.0	4488.0	5896.0	5879.0	5408.0	4365.0	4522.0	5603.0	5960.0	5115.0	0.0	5028.0	3057.0	3956.0	4580.0	6521.0	5117.0	3234.0	5501.0	5890.0	6520.0
BritoIL_2016__M1.48.ST__bin.84	7327.0	5422.0	6285.0	7386.0	6062.0	6784.0	5131.0	5166.0	8726.0	4942.0	7531.0	6716.0	5910.0	4601.0	6368.0	6032.0	6447.0	5145.0	4891.0	6767.0	6999.0	6113.0	5028.0	0.0	3437.0	1155.0	6601.0	6974.0	4015.0	4846.0	5999.0	6263.0	7753.0
BritoIL_2016__W1.36.ST__bin.47	3814.0	3412.0	3328.0	4046.0	3493.0	3852.0	2821.0	3361.0	4864.0	3328.0	3836.0	3573.0	3215.0	2857.0	3512.0	3082.0	3591.0	3341.0	2762.0	3665.0	2703.0	2822.0	3057.0	3437.0	0.0	2733.0	3614.0	3772.0	2714.0	2979.0	3369.0	3446.0	3758.0
BritoIL_2016__M1.26.ST__bin.18	5981.0	4702.0	4921.0	5783.0	4381.0	6020.0	4151.0	4115.0	6154.0	3851.0	6080.0	5275.0	4471.0	3564.0	4232.0	5093.0	4939.0	3905.0	4101.0	5173.0	5500.0	4332.0	3956.0	1155.0	2733.0	0.0	5188.0	5748.0	3194.0	3775.0	4157.0	4253.0	6013.0
BritoIL_2016__M1.22.ST__bin.77	7353.0	5841.0	6908.0	7329.0	6658.0	7736.0	5663.0	7545.0	8497.0	7071.0	8428.0	7147.0	6323.0	6207.0	6626.0	7359.0	6855.0	4779.0	4929.0	7356.0	7970.0	6360.0	4580.0	6601.0	3614.0	5188.0	0.0	7707.0	6401.0	5346.0	7817.0	6721.0	9147.0
BritoIL_2016__W1.39.ST__bin.59	5390.0	5038.0	4717.0	5997.0	6138.0	7626.0	5231.0	6096.0	8697.0	6008.0	5217.0	5112.0	6027.0	6202.0	7794.0	6583.0	4773.0	3741.0	3827.0	5528.0	6631.0	4049.0	6521.0	6974.0	3772.0	5748.0	7707.0	0.0	6195.0	5332.0	7656.0	7834.0	7857.0
BritoIL_2016__W1.33.ST__bin.72	6040.0	5648.0	5599.0	6302.0	4863.0	5829.0	4400.0	4869.0	7586.0	4912.0	6024.0	5923.0	5316.0	2527.0	5546.0	4645.0	5522.0	4588.0	4045.0	5875.0	6072.0	5028.0	5117.0	4015.0	2714.0	3194.0	6401.0	6195.0	0.0	4283.0	5566.0	5482.0	6609.0
BritoIL_2016__M1.38.ST__bin.20	4679.0	3698.0	4554.0	5206.0	4878.0	4106.0	4295.0	4800.0	6186.0	4640.0	4745.0	4903.0	4566.0	4297.0	4981.0	4622.0	4735.0	3630.0	3329.0	4831.0	5194.0	4418.0	3234.0	4846.0	2979.0	3775.0	5346.0	5332.0	4283.0	0.0	5021.0	4977.0	5898.0
BritoIL_2016__W1.4.ST__bin.43	7438.0	6193.0	6922.0	7024.0	5235.0	7075.0	5111.0	7080.0	8934.0	6983.0	7682.0	7181.0	6018.0	5783.0	7001.0	7000.0	6775.0	5399.0	5016.0	7468.0	7769.0	6661.0	5501.0	5999.0	3369.0	4157.0	7817.0	7656.0	5566.0	5021.0	0.0	7015.0	8291.0
BritoIL_2016__W2.65.ST__bin.28	7673.0	5919.0	6674.0	7797.0	6619.0	7489.0	5611.0	6986.0	9114.0	6815.0	7646.0	6983.0	6285.0	5928.0	91.0	6782.0	6717.0	5059.0	5203.0	6890.0	7423.0	6005.0	5890.0	6263.0	3446.0	4253.0	6721.0	7834.0	5482.0	4977.0	7015.0	0.0	8647.0
ZeeviD_2015__PNP_Main_706__bin.20	8300.0	6531.0	7119.0	8465.0	7267.0	8030.0	5760.0	7897.0	8044.0	7655.0	8348.0	7482.0	6456.0	6911.0	8836.0	7213.0	7402.0	5784.0	5187.0	7569.0	7602.0	6364.0	6520.0	7753.0	3758.0	6013.0	9147.0	7857.0	6609.0	5898.0	8291.0	8647.0	0.0
