	Bengtsson-PalmeJ_2015__TRAVELRES68__bin.21	NielsenHB_2014__O2_UC31_2__bin.25	ZellerG_2014__CCIS51667829ST-4-0__bin.50	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.113	LeChatelierE_2013__MH0140__bin.7	XieH_2016__YSZC12003_35734__bin.94	XieH_2016__YSZC12003_37097__bin.62	ZeeviD_2015__PNP_Main_61__bin.10	BackhedF_2015__SID326_M__bin.29	NielsenHB_2014__O2_UC31_0__bin.33	LiJ_2014__MH0323__bin.34	ZellerG_2014__CCMD86707194ST-21-0__bin.48	QinJ_2012__CON-024__bin.30	XieH_2016__YSZC12003_35992__bin.70	LiJ_2014__O2.UC31-1__bin.14	FengQ_2015__SID531248__bin.18	LiJ_2014__MH0385__bin.12	ZellerG_2014__CCIS51595129ST-4-0__bin.68	ZeeviD_2015__PNP_Main_154__bin.62	SchirmerM_2016__G88820__bin.24	Bengtsson-PalmeJ_2015__TRAVELRES13__bin.33	VatanenT_2016__G80467__bin.9	NielsenHB_2014__MH0140__bin.20	NielsenHB_2014__MH0126__bin.43	LeChatelierE_2013__MH0421__bin.47	ZeeviD_2015__PNP_Main_210__bin.30	LeChatelierE_2013__MH0126__bin.46	ZellerG_2014__CCIS09568613ST-4-0__bin.2	VatanenT_2016__G80479__bin.8	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.93	XieH_2016__YSZC12003_37331__bin.3	ZeeviD_2015__PNP_Main_586__bin.23	SchirmerM_2016__G89108__bin.11	QinJ_2012__CON-100__bin.28	LeChatelierE_2013__MH0430__bin.55	Bengtsson-PalmeJ_2015__TRAVELRES67__bin.40	SchirmerM_2016__G88826__bin.5	QinJ_2012__CON-099__bin.31	ZellerG_2014__CCIS87290971ST-4-0__bin.19	Bengtsson-PalmeJ_2015__TRAVELRES14__bin.49	LeChatelierE_2013__MH0407__bin.66	SchirmerM_2016__G88895__bin.6
LiJ_2014__MH0323__bin.34	23281.0	41890.0	20157.0	18330.0	17810.0	34411.0	23858.0	16387.0	18789.0	41692.0	0.0	49686.0	23625.0	24056.0	64500.0	22146.0	20451.0	15446.0	23423.0	25837.0	22709.0	14730.0	16791.0	63178.0	24028.0	15308.0	64799.0	17251.0	22105.0	16004.0	25829.0	21007.0	25990.0	55939.0	22267.0	24384.0	26441.0	65919.0	18551.0	21369.0	20882.0	25838.0
ZellerG_2014__CCMD86707194ST-21-0__bin.48	71088.0	28977.0	61181.0	75216.0	83883.0	27511.0	85898.0	66807.0	58466.0	29200.0	49686.0	0.0	77884.0	77880.0	35528.0	71674.0	81549.0	54933.0	57141.0	80785.0	82960.0	66380.0	78384.0	38993.0	83414.0	64482.0	39753.0	48438.0	84126.0	57426.0	79535.0	77541.0	79356.0	43554.0	54394.0	74432.0	77860.0	40399.0	81125.0	80523.0	81736.0	82073.0
QinJ_2012__CON-024__bin.30	22761.0	69568.0	25617.0	23201.0	29784.0	53028.0	33309.0	17501.0	23476.0	65978.0	23625.0	77884.0	0.0	30320.0	93771.0	23858.0	24620.0	17706.0	22899.0	26931.0	28483.0	19714.0	28193.0	95490.0	26978.0	16084.0	99166.0	17621.0	28935.0	16446.0	27470.0	22739.0	26088.0	84475.0	23807.0	25298.0	27801.0	99962.0	25223.0	28266.0	22035.0	28229.0
XieH_2016__YSZC12003_35992__bin.70	27200.0	73235.0	21865.0	23311.0	23668.0	56307.0	28990.0	22491.0	23178.0	69628.0	24056.0	77880.0	30320.0	0.0	96290.0	27718.0	25592.0	18257.0	26451.0	34443.0	28885.0	18947.0	22811.0	93626.0	28869.0	21426.0	97386.0	19039.0	26791.0	18458.0	31441.0	28946.0	34261.0	89458.0	21446.0	29525.0	33883.0	97539.0	27116.0	26616.0	29353.0	33126.0
LiJ_2014__O2.UC31-1__bin.14	86088.0	3082.0	76736.0	76273.0	88327.0	28736.0	105504.0	67860.0	71417.0	979.0	64500.0	35528.0	93771.0	96290.0	0.0	86511.0	89542.0	60171.0	76053.0	97064.0	95489.0	69203.0	83975.0	49439.0	94390.0	67635.0	52660.0	60418.0	97399.0	60190.0	95016.0	85502.0	100076.0	50055.0	70211.0	90837.0	94762.0	51179.0	86174.0	90983.0	91547.0	97106.0
FengQ_2015__SID531248__bin.18	22578.0	65145.0	20229.0	19980.0	23935.0	49926.0	27778.0	15809.0	19844.0	62973.0	22146.0	71674.0	23858.0	27718.0	86511.0	0.0	23150.0	15527.0	19948.0	27163.0	23711.0	18042.0	23131.0	87512.0	25935.0	16915.0	91167.0	16375.0	26594.0	15862.0	25153.0	22892.0	25638.0	80127.0	19356.0	24136.0	27552.0	92882.0	23700.0	22640.0	21582.0	24913.0
LiJ_2014__MH0385__bin.12	21598.0	76350.0	20962.0	16258.0	30991.0	58723.0	29619.0	21635.0	14911.0	76579.0	20451.0	81549.0	24620.0	25592.0	89542.0	23150.0	0.0	19763.0	19852.0	24651.0	26781.0	23387.0	29652.0	87005.0	25571.0	20926.0	90173.0	17710.0	29722.0	11825.0	24873.0	26708.0	26385.0	81690.0	17294.0	21531.0	26711.0	91055.0	27446.0	27103.0	24013.0	26535.0
ZellerG_2014__CCIS51595129ST-4-0__bin.68	18451.0	50780.0	14539.0	15900.0	18593.0	46751.0	17380.0	14943.0	12549.0	53695.0	15446.0	54933.0	17706.0	18257.0	60171.0	15527.0	19763.0	0.0	13774.0	18620.0	17920.0	14081.0	17990.0	59042.0	18470.0	15165.0	62206.0	553.0	17273.0	14991.0	19609.0	17472.0	18405.0	53905.0	15877.0	19034.0	18423.0	61493.0	16449.0	18176.0	18001.0	18893.0
ZeeviD_2015__PNP_Main_154__bin.62	19108.0	51585.0	23253.0	17311.0	20870.0	36544.0	26516.0	13556.0	18016.0	47944.0	23423.0	57141.0	22899.0	26451.0	76053.0	19948.0	19852.0	13774.0	0.0	23813.0	27667.0	16399.0	20442.0	72216.0	24095.0	10356.0	76760.0	17539.0	25011.0	12819.0	22956.0	18930.0	21687.0	64568.0	18659.0	21113.0	26170.0	80366.0	21424.0	25319.0	18346.0	21964.0
SchirmerM_2016__G88820__bin.24	24078.0	73076.0	25382.0	22697.0	30953.0	55800.0	34210.0	20312.0	22639.0	70846.0	25837.0	80785.0	26931.0	34443.0	97064.0	27163.0	24651.0	18620.0	23813.0	0.0	31706.0	23674.0	29767.0	95759.0	28093.0	18747.0	99612.0	19208.0	32468.0	17130.0	23838.0	27474.0	25661.0	86694.0	23012.0	27342.0	200.0	101658.0	27182.0	30596.0	26065.0	29143.0
Bengtsson-PalmeJ_2015__TRAVELRES13__bin.33	26778.0	74297.0	21154.0	24842.0	25402.0	54773.0	26596.0	21116.0	23057.0	71082.0	22709.0	82960.0	28483.0	28885.0	95489.0	23711.0	26781.0	17920.0	27667.0	31706.0	0.0	20519.0	24684.0	96776.0	34271.0	23693.0	100970.0	19093.0	27550.0	19449.0	33023.0	28004.0	31670.0	91567.0	19075.0	28354.0	32838.0	100537.0	28387.0	469.0	27323.0	31759.0
VatanenT_2016__G80467__bin.9	22559.0	64345.0	14804.0	17887.0	18216.0	53426.0	14607.0	18694.0	15013.0	67241.0	14730.0	66380.0	19714.0	18947.0	69203.0	18042.0	23387.0	14081.0	16399.0	23674.0	20519.0	0.0	18314.0	70827.0	21484.0	20377.0	72402.0	11768.0	1107.0	17794.0	24579.0	22024.0	23634.0	66062.0	13635.0	22906.0	23287.0	70954.0	21966.0	21265.0	22026.0	25241.0
NielsenHB_2014__MH0140__bin.20	27359.0	70871.0	18043.0	23355.0	134.0	56475.0	23425.0	22077.0	19593.0	71247.0	16791.0	78384.0	28193.0	22811.0	83975.0	23131.0	29652.0	17990.0	20442.0	29767.0	24684.0	18314.0	0.0	84323.0	28170.0	23047.0	87603.0	16312.0	23275.0	18624.0	29960.0	28011.0	31006.0	77707.0	17262.0	28103.0	29324.0	87567.0	27947.0	24428.0	26516.0	31552.0
NielsenHB_2014__MH0126__bin.43	81358.0	36129.0	75572.0	77160.0	89420.0	29336.0	102694.0	69814.0	68935.0	34062.0	63178.0	38993.0	95490.0	93626.0	49439.0	87512.0	87005.0	59042.0	72216.0	95759.0	96776.0	70827.0	84323.0	0.0	96784.0	70183.0	551.0	59991.0	99277.0	60670.0	93918.0	87507.0	97931.0	48303.0	66699.0	86455.0	92962.0	49977.0	86143.0	92326.0	90538.0	95095.0
LeChatelierE_2013__MH0421__bin.47	26313.0	72950.0	24087.0	22749.0	28990.0	58271.0	31365.0	21135.0	20618.0	72117.0	24028.0	83414.0	26978.0	28869.0	94390.0	25935.0	25571.0	18470.0	24095.0	28093.0	34271.0	21484.0	28170.0	96784.0	0.0	18703.0	99648.0	19587.0	31157.0	17440.0	29380.0	26988.0	26739.0	90960.0	20645.0	27659.0	28967.0	103401.0	27395.0	31681.0	26025.0	30823.0
ZeeviD_2015__PNP_Main_210__bin.30	16906.0	61027.0	17245.0	16331.0	23605.0	53761.0	22221.0	16201.0	12696.0	61925.0	15308.0	64482.0	16084.0	21426.0	67635.0	16915.0	20926.0	15165.0	10356.0	18747.0	23693.0	20377.0	23047.0	70183.0	18703.0	0.0	71012.0	11847.0	22395.0	15387.0	18352.0	19080.0	16241.0	65754.0	14210.0	16827.0	19009.0	70842.0	22342.0	24523.0	18270.0	18983.0
LeChatelierE_2013__MH0126__bin.46	83732.0	38263.0	78485.0	80079.0	92433.0	30071.0	107557.0	70562.0	71100.0	34851.0	64799.0	39753.0	99166.0	97386.0	52660.0	91167.0	90173.0	62206.0	76760.0	99612.0	100970.0	72402.0	87603.0	551.0	99648.0	71012.0	0.0	61696.0	102494.0	63298.0	95758.0	90591.0	102592.0	50754.0	68175.0	90397.0	98281.0	52285.0	89392.0	94912.0	93577.0	98921.0
ZellerG_2014__CCIS09568613ST-4-0__bin.2	18043.0	42244.0	15646.0	16062.0	16857.0	34314.0	18228.0	13676.0	15274.0	40503.0	17251.0	48438.0	17621.0	19039.0	60418.0	16375.0	17710.0	553.0	17539.0	19208.0	19093.0	11768.0	16312.0	59991.0	19587.0	11847.0	61696.0	0.0	18093.0	13105.0	20530.0	16266.0	18325.0	55663.0	17310.0	18673.0	19368.0	63533.0	16120.0	17322.0	17362.0	19087.0
VatanenT_2016__G80479__bin.8	28505.0	77527.0	20637.0	23292.0	23178.0	57803.0	21476.0	21901.0	22248.0	77091.0	22105.0	84126.0	28935.0	26791.0	97399.0	26594.0	29722.0	17273.0	25011.0	32468.0	27550.0	1107.0	23275.0	99277.0	31157.0	22395.0	102494.0	18093.0	0.0	20442.0	33962.0	28654.0	31479.0	89899.0	20394.0	29174.0	32607.0	101677.0	27816.0	27239.0	27905.0	32130.0
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.93	17072.0	52396.0	15764.0	31.0	19378.0	46950.0	19995.0	16670.0	2797.0	56299.0	16004.0	57426.0	16446.0	18458.0	60190.0	15862.0	11825.0	14991.0	12819.0	17130.0	19449.0	17794.0	18624.0	60670.0	17440.0	15387.0	63298.0	13105.0	20442.0	0.0	18201.0	18547.0	15907.0	55433.0	13953.0	17047.0	16929.0	62947.0	19016.0	19504.0	18065.0	17900.0
XieH_2016__YSZC12003_37331__bin.3	22733.0	73028.0	25246.0	24372.0	31453.0	53530.0	33403.0	19378.0	24688.0	70997.0	25829.0	79535.0	27470.0	31441.0	95016.0	25153.0	24873.0	19609.0	22956.0	23838.0	33023.0	24579.0	29960.0	93918.0	29380.0	18352.0	95758.0	20530.0	33962.0	18201.0	0.0	26106.0	26863.0	85082.0	22683.0	25876.0	24626.0	99604.0	27369.0	31361.0	25569.0	28442.0
ZeeviD_2015__PNP_Main_586__bin.23	24977.0	70411.0	22662.0	22769.0	29673.0	54950.0	30616.0	11998.0	20301.0	68846.0	21007.0	77541.0	22739.0	28946.0	85502.0	22892.0	26708.0	17472.0	18930.0	27474.0	28004.0	22024.0	28011.0	87507.0	26988.0	19080.0	90591.0	16266.0	28654.0	18547.0	26106.0	0.0	25882.0	80733.0	19530.0	25209.0	27610.0	91103.0	27273.0	28132.0	23992.0	26342.0
SchirmerM_2016__G89108__bin.11	20736.0	75282.0	26132.0	22592.0	31996.0	54270.0	36223.0	20095.0	23012.0	70729.0	25990.0	79356.0	26088.0	34261.0	100076.0	25638.0	26385.0	18405.0	21687.0	25661.0	31670.0	23634.0	31006.0	97931.0	26739.0	16241.0	102592.0	18325.0	31479.0	15907.0	26863.0	25882.0	0.0	87779.0	22751.0	23220.0	27551.0	104157.0	27303.0	30276.0	24504.0	29283.0
QinJ_2012__CON-100__bin.28	79252.0	39492.0	69740.0	73819.0	81617.0	29268.0	93404.0	64797.0	62603.0	38674.0	55939.0	43554.0	84475.0	89458.0	50055.0	80127.0	81690.0	53905.0	64568.0	86694.0	91567.0	66062.0	77707.0	48303.0	90960.0	65754.0	50754.0	55663.0	89899.0	55433.0	85082.0	80733.0	87779.0	0.0	60994.0	81702.0	84843.0	46101.0	82368.0	85573.0	85860.0	89319.0
LeChatelierE_2013__MH0430__bin.55	16661.0	47917.0	17935.0	16889.0	17833.0	40248.0	20831.0	15947.0	18276.0	48082.0	22267.0	54394.0	23807.0	21446.0	70211.0	19356.0	17294.0	15877.0	18659.0	23012.0	19075.0	13635.0	17262.0	66699.0	20645.0	14210.0	68175.0	17310.0	20394.0	13953.0	22683.0	19530.0	22751.0	60994.0	0.0	18933.0	22724.0	71232.0	20376.0	18248.0	18625.0	21562.0
Bengtsson-PalmeJ_2015__TRAVELRES67__bin.40	204.0	68620.0	23816.0	23820.0	28606.0	51427.0	30946.0	19934.0	22507.0	64937.0	24384.0	74432.0	25298.0	29525.0	90837.0	24136.0	21531.0	19034.0	21113.0	27342.0	28354.0	22906.0	28103.0	86455.0	27659.0	16827.0	90397.0	18673.0	29174.0	17047.0	25876.0	25209.0	23220.0	81702.0	18933.0	0.0	28459.0	94483.0	24400.0	27449.0	24682.0	25391.0
SchirmerM_2016__G88826__bin.5	24814.0	69482.0	25030.0	23973.0	30471.0	53299.0	35568.0	19853.0	24447.0	66744.0	26441.0	77860.0	27801.0	33883.0	94762.0	27552.0	26711.0	18423.0	26170.0	200.0	32838.0	23287.0	29324.0	92962.0	28967.0	19009.0	98281.0	19368.0	32607.0	16929.0	24626.0	27610.0	27551.0	84843.0	22724.0	28459.0	0.0	99652.0	28086.0	31286.0	26997.0	29366.0
QinJ_2012__CON-099__bin.31	87767.0	37196.0	77594.0	82048.0	92405.0	24975.0	110521.0	68806.0	72245.0	33368.0	65919.0	40399.0	99962.0	97539.0	51179.0	92882.0	91055.0	61493.0	80366.0	101658.0	100537.0	70954.0	87567.0	49977.0	103401.0	70842.0	52285.0	63533.0	101677.0	62947.0	99604.0	91103.0	104157.0	46101.0	71232.0	94483.0	99652.0	0.0	90665.0	96440.0	95902.0	102617.0
ZellerG_2014__CCIS87290971ST-4-0__bin.19	23693.0	73519.0	19045.0	24487.0	29647.0	56651.0	29880.0	19801.0	22012.0	72718.0	18551.0	81125.0	25223.0	27116.0	86174.0	23700.0	27446.0	16449.0	21424.0	27182.0	28387.0	21966.0	27947.0	86143.0	27395.0	22342.0	89392.0	16120.0	27816.0	19016.0	27369.0	27273.0	27303.0	82368.0	20376.0	24400.0	28086.0	90665.0	0.0	28716.0	25255.0	30904.0
Bengtsson-PalmeJ_2015__TRAVELRES14__bin.49	26548.0	74238.0	20090.0	23971.0	25510.0	56104.0	27111.0	21402.0	21657.0	70959.0	21369.0	80523.0	28266.0	26616.0	90983.0	22640.0	27103.0	18176.0	25319.0	30596.0	469.0	21265.0	24428.0	92326.0	31681.0	24523.0	94912.0	17322.0	27239.0	19504.0	31361.0	28132.0	30276.0	85573.0	18248.0	27449.0	31286.0	96440.0	28716.0	0.0	28593.0	31295.0
LeChatelierE_2013__MH0407__bin.66	24389.0	74573.0	21162.0	23705.0	27862.0	56549.0	30346.0	18349.0	18446.0	73997.0	20882.0	81736.0	22035.0	29353.0	91547.0	21582.0	24013.0	18001.0	18346.0	26065.0	27323.0	22026.0	26516.0	90538.0	26025.0	18270.0	93577.0	17362.0	27905.0	18065.0	25569.0	23992.0	24504.0	85860.0	18625.0	24682.0	26997.0	95902.0	25255.0	28593.0	0.0	25783.0
SchirmerM_2016__G88895__bin.6	23965.0	75588.0	24420.0	22797.0	32749.0	58114.0	34800.0	19257.0	23835.0	74530.0	25838.0	82073.0	28229.0	33126.0	97106.0	24913.0	26535.0	18893.0	21964.0	29143.0	31759.0	25241.0	31552.0	95095.0	30823.0	18983.0	98921.0	19087.0	32130.0	17900.0	28442.0	26342.0	29283.0	89319.0	21562.0	25391.0	29366.0	102617.0	30904.0	31295.0	25783.0	0.0
