	FerrettiP_2018__CA_C10007MS2097SA_t0M15__bin.35	HMP_2012__SRS057205__bin.57	BritoIL_2016__WL.28.SA__bin.2	HMP_2012__SRS017120__bin.71	BritoIL_2016__W3.22.SA__bin.20	HMP_2012__SRS024318__bin.50	CM_cf__CF_TNFC017SA_t1M16__bin.25	BritoIL_2016__W3.19.SA__bin.2	FerrettiP_2018__CA_C10043MS2741SA_t0M16__bin.15	HMP_2012__SRS022719__bin.3	BritoIL_2016__W1.44.SA__bin.1	CM_cf__CF_TNFC039SA_t1M16__bin.3	HMP_2012__SRS064329__bin.23	HMP_2012__SRS015762__bin.29	HMP_2012__SRS017076__bin.31	BritoIL_2016__M1.52.SA__bin.4	BritoIL_2016__WL.10.SA__bin.8	FerrettiP_2018__CA_C10029MS2491SA_t0M15__bin.10	HMP_2012__SRS022721__bin.1	BritoIL_2016__WL.2.SA__bin.2	HMP_2012__SRS024138__bin.20	FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.27	HMP_2012__SRS020220__bin.43	BritoIL_2016__M1.38.SA__bin.2	HMP_2012__SRS023352__bin.53	CM_cf__CF_TNFC039IS_t1M15__bin.16	CM_cf__CF_TNFC039IS_t2M15__bin.3	HMP_2012__SRS020856__bin.51	BritoIL_2016__W2.61.SA__bin.13	BritoIL_2016__W1.9.SA__bin.2	BritoIL_2016__WL.25.SA__bin.7	BackhedF_2015__SID589_12M__bin.44	HMP_2012__SRS016342__bin.54
FerrettiP_2018__CA_C10032MS2543SA_t0M15__bin.27	1507288.0	1900101.0	1394155.0	1157426.0	1884479.0	1879805.0	1869184.0	1242117.0	1920279.0	1930805.0	1569233.0	1933344.0	1934208.0	1030144.0	1858415.0	1305092.0	1708417.0	1448089.0	1646959.0	1399686.0	1955536.0	2134736.0	1909825.0	1816770.0	1880319.0	1935151.0	910703.0	1933470.0	1881189.0	1511875.0	958201.0	1347861.0	1925720.0
HMP_2012__SRS020220__bin.43	1500738.0	1874734.0	1385667.0	1166761.0	1884180.0	1850199.0	1854611.0	1235729.0	1878408.0	1899885.0	1527261.0	1905778.0	1916241.0	1011598.0	1838011.0	1306020.0	1703142.0	1439001.0	1616464.0	1400607.0	1893550.0	1909825.0	2031385.0	1811535.0	1836880.0	1905971.0	912090.0	1880721.0	1876350.0	1505119.0	952728.0	1316353.0	1806363.0
BritoIL_2016__M1.38.SA__bin.2	1428086.0	1782930.0	1322897.0	1109133.0	1835103.0	1784664.0	1767754.0	1176212.0	1803300.0	1811012.0	1480355.0	1813970.0	1832666.0	971091.0	1737931.0	1263056.0	1753014.0	1374950.0	1561577.0	1363322.0	1798948.0	1816770.0	1811535.0	1965450.0	1761262.0	1814694.0	875011.0	1786996.0	1789285.0	1444702.0	910002.0	1290663.0	1723072.0
HMP_2012__SRS023352__bin.53	1492194.0	1819142.0	1339799.0	1103642.0	1813218.0	1820694.0	1804908.0	1194431.0	1819392.0	1842913.0	1493286.0	1839401.0	1857544.0	974106.0	1849018.0	1277427.0	1657625.0	1398184.0	1589357.0	1348651.0	1926994.0	1880319.0	1836880.0	1761262.0	1995100.0	1840790.0	894196.0	1854276.0	1808599.0	1461158.0	914212.0	1308770.0	1784843.0
CM_cf__CF_TNFC039IS_t1M15__bin.16	1510258.0	1904032.0	1394009.0	1192912.0	1875682.0	1851118.0	1854199.0	1238600.0	1916442.0	1937472.0	1534792.0	2200664.0	1965494.0	1032389.0	1877083.0	1308506.0	1715174.0	1496216.0	1639469.0	1404276.0	1915617.0	1935151.0	1905971.0	1814694.0	1840790.0	2209590.0	990628.0	1994175.0	1877633.0	1545727.0	954403.0	1321511.0	1854758.0
CM_cf__CF_TNFC039IS_t2M15__bin.3	749099.0	885138.0	720081.0	629444.0	892320.0	891667.0	889118.0	651270.0	905401.0	905781.0	749169.0	989743.0	911433.0	563483.0	905086.0	656812.0	824204.0	710837.0	791646.0	706812.0	905689.0	910703.0	912090.0	875011.0	894196.0	990628.0	991968.0	919834.0	895805.0	741157.0	470940.0	701349.0	868271.0
HMP_2012__SRS020856__bin.51	1486198.0	1861078.0	1357998.0	1119452.0	1858026.0	1853372.0	1858031.0	1216994.0	1839526.0	1882144.0	1516283.0	1994004.0	1915870.0	991404.0	1859518.0	1285057.0	1681935.0	1454872.0	1611528.0	1362301.0	1927714.0	1933470.0	1880721.0	1786996.0	1854276.0	1994175.0	919834.0	2191895.0	1830929.0	1507731.0	947166.0	1310024.0	1855382.0
BritoIL_2016__W2.61.SA__bin.13	1497475.0	1837242.0	1400973.0	1157102.0	1859415.0	1843403.0	1833905.0	1227350.0	1946756.0	1939719.0	1506928.0	1873489.0	1894960.0	994568.0	1800206.0	1293427.0	1685320.0	1423434.0	1650725.0	1402625.0	1857644.0	1881189.0	1876350.0	1789285.0	1808599.0	1877633.0	895805.0	1830929.0	2108577.0	1492275.0	938069.0	1316794.0	1779256.0
BritoIL_2016__W1.9.SA__bin.2	1212831.0	1479794.0	1129164.0	1003266.0	1498502.0	1475749.0	1502650.0	1027757.0	1528688.0	1536428.0	1245201.0	1542649.0	1583421.0	881736.0	1472280.0	1080507.0	1353802.0	1166155.0	1319126.0	1158341.0	1503929.0	1511875.0	1505119.0	1444702.0	1461158.0	1545727.0	741157.0	1507731.0	1492275.0	1681287.0	821365.0	1100445.0	1432400.0
BritoIL_2016__WL.25.SA__bin.7	788445.0	936924.0	725281.0	645315.0	932633.0	918189.0	912468.0	676210.0	938461.0	970286.0	817183.0	954403.0	954710.0	547539.0	928869.0	736764.0	861494.0	771701.0	849181.0	780710.0	935160.0	958201.0	952728.0	910002.0	914212.0	954403.0	470940.0	947166.0	938069.0	821365.0	1045214.0	715756.0	919146.0
BackhedF_2015__SID589_12M__bin.44	1060372.0	1334891.0	1006225.0	891615.0	1323962.0	1329102.0	1294811.0	911391.0	1329590.0	1354770.0	1092158.0	1321452.0	1343000.0	800897.0	1290168.0	953352.0	1214851.0	1001926.0	1180016.0	1037963.0	1340775.0	1347861.0	1316353.0	1290663.0	1308770.0	1321511.0	701349.0	1310024.0	1316794.0	1100445.0	715756.0	1481172.0	1270545.0
HMP_2012__SRS016342__bin.54	1426935.0	1798481.0	1325483.0	1094483.0	1789374.0	1783942.0	1755298.0	1164706.0	1790955.0	1824052.0	1462701.0	1853007.0	1826716.0	996297.0	1781399.0	1236379.0	1621677.0	1411408.0	1552615.0	1328456.0	1846092.0	1925720.0	1806363.0	1723072.0	1784843.0	1854758.0	868271.0	1855382.0	1779256.0	1432400.0	919146.0	1270545.0	1988161.0
