	LiJ_2017__H1M414905__bin.7	LeChatelierE_2013__MH0006__bin.33	YuJ_2015__SZAXPI015237-23__bin.22	QinN_2014__HD-19__bin.23	LiJ_2017__H2M514818__bin.18	LiJ_2017__nHM511825__bin.51	QinN_2014__LD-36__bin.31	LiJ_2017__H1M512853__bin.15	YuJ_2015__SZAXPI015233-19__bin.50	WenC_2017__RA058__bin.32	WenC_2017__N253__bin.168	ChengpingW_2017__AS45raw__bin.36	LiJ_2017__nHM511738__bin.28	ZellerG_2014__CCIS63448910ST-4-0__bin.32	LiJ_2017__H1M412949__bin.25	QinJ_2012__CON-016__bin.30	YuJ_2015__SZAXPI017582-94__bin.21	LiJ_2017__H3M516804__bin.42	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.28	LiJ_2017__nHF512818__bin.22	HeQ_2017__SZAXPI029491-89__bin.1	YuJ_2015__SZAXPI015273-95__bin.73	QinJ_2012__CON-015__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.55	ZellerG_2014__CCMD26709089ST-21-0__bin.19	NielsenHB_2014__MH0006__bin.62	LeChatelierE_2013__MH0316__bin.8	LiJ_2017__nHF411719__bin.6	HeQ_2017__SZAXPI029561-52__bin.9	ZeeviD_2015__PNP_Validation_2__bin.26
WenC_2017__N253__bin.168	19894.0	32584.0	27381.0	24010.0	16949.0	23626.0	26808.0	18690.0	22288.0	18496.0	0.0	24115.0	18854.0	41618.0	20535.0	24494.0	24711.0	23581.0	41490.0	19618.0	17534.0	17593.0	18061.0	23385.0	25586.0	29488.0	28020.0	19711.0	23577.0	41403.0
ChengpingW_2017__AS45raw__bin.36	31939.0	42483.0	33072.0	28180.0	21671.0	30922.0	33581.0	20516.0	26105.0	22289.0	24115.0	0.0	13516.0	53432.0	24606.0	30769.0	28681.0	31471.0	54318.0	13505.0	23075.0	22688.0	21719.0	28049.0	29326.0	38612.0	37874.0	26228.0	26633.0	55434.0
LiJ_2017__nHM511738__bin.28	25341.0	32419.0	23139.0	19258.0	20960.0	21859.0	22444.0	16842.0	20057.0	17581.0	18854.0	13516.0	0.0	40960.0	20860.0	21573.0	22222.0	21935.0	40236.0	2351.0	18204.0	17543.0	16796.0	21110.0	23459.0	29007.0	29026.0	21831.0	19854.0	40246.0
ZellerG_2014__CCIS63448910ST-4-0__bin.32	44075.0	25481.0	60594.0	53078.0	28055.0	54279.0	61118.0	35292.0	47372.0	37327.0	41618.0	53432.0	40960.0	0.0	43568.0	57875.0	49442.0	57122.0	35931.0	41277.0	39642.0	40448.0	37964.0	45241.0	51136.0	23932.0	24735.0	45719.0	50106.0	33779.0
LiJ_2017__H1M412949__bin.25	27451.0	36427.0	25784.0	25086.0	19639.0	24189.0	26582.0	18204.0	22940.0	18947.0	20535.0	24606.0	20860.0	43568.0	0.0	25106.0	22942.0	24108.0	43596.0	21074.0	12415.0	18685.0	17035.0	23999.0	26763.0	33238.0	31059.0	14511.0	23343.0	45922.0
QinJ_2012__CON-016__bin.30	34738.0	44969.0	31823.0	28946.0	23571.0	31772.0	30936.0	20553.0	24884.0	23364.0	24494.0	30769.0	21573.0	57875.0	25106.0	0.0	28189.0	32869.0	58060.0	23144.0	22264.0	23839.0	21680.0	29096.0	34552.0	40207.0	39162.0	25845.0	26784.0	58871.0
YuJ_2015__SZAXPI017582-94__bin.21	33523.0	37018.0	3011.0	27036.0	23198.0	29231.0	26450.0	19142.0	24299.0	23336.0	24711.0	28681.0	22222.0	49442.0	22942.0	28189.0	0.0	29861.0	50828.0	21996.0	20897.0	22638.0	22211.0	26806.0	32425.0	36352.0	35137.0	23930.0	23937.0	51601.0
LiJ_2017__H3M516804__bin.42	33938.0	43761.0	34638.0	27963.0	22073.0	31295.0	34345.0	22045.0	27436.0	23935.0	23581.0	31471.0	21935.0	57122.0	24108.0	32869.0	29861.0	0.0	56853.0	23233.0	23212.0	17090.0	21762.0	29268.0	34449.0	40146.0	38836.0	27131.0	27322.0	58163.0
Bengtsson-PalmeJ_2015__TRAVELRES54__bin.28	43372.0	21756.0	61277.0	53786.0	26663.0	54536.0	60644.0	36086.0	47742.0	37901.0	41490.0	54318.0	40236.0	35931.0	43596.0	58060.0	50828.0	56853.0	0.0	40190.0	38840.0	40713.0	38320.0	45241.0	49966.0	20437.0	20983.0	46154.0	50899.0	29297.0
LiJ_2017__nHF512818__bin.22	25617.0	32749.0	23942.0	20352.0	21641.0	22547.0	23848.0	17316.0	20723.0	18262.0	19618.0	13505.0	2351.0	41277.0	21074.0	23144.0	21996.0	23233.0	40190.0	0.0	18359.0	18348.0	17235.0	21348.0	23951.0	29772.0	28971.0	22802.0	20715.0	41495.0
HeQ_2017__SZAXPI029491-89__bin.1	24245.0	32525.0	23058.0	22651.0	17980.0	22584.0	23772.0	14597.0	20595.0	17759.0	17534.0	23075.0	18204.0	39642.0	12415.0	22264.0	20897.0	23212.0	38840.0	18359.0	0.0	19215.0	17986.0	21345.0	24315.0	29719.0	28137.0	4313.0	20561.0	39900.0
YuJ_2015__SZAXPI015273-95__bin.73	24286.0	33249.0	25714.0	20951.0	16281.0	20712.0	25602.0	17021.0	21664.0	18009.0	17593.0	22688.0	17543.0	40448.0	18685.0	23839.0	22638.0	17090.0	40713.0	18348.0	19215.0	0.0	17018.0	22491.0	25658.0	29841.0	29567.0	21378.0	22300.0	41394.0
QinJ_2012__CON-015__bin.44	22069.0	30789.0	24165.0	20004.0	17282.0	5006.0	22674.0	16200.0	19744.0	7968.0	18061.0	21719.0	16796.0	37964.0	17035.0	21680.0	22211.0	21762.0	38320.0	17235.0	17986.0	17018.0	0.0	21586.0	22637.0	28274.0	28099.0	19202.0	20388.0	39418.0
Bengtsson-PalmeJ_2015__TRAVELRES8__bin.55	30634.0	35750.0	29612.0	27585.0	19939.0	29108.0	28399.0	19240.0	25987.0	21764.0	23385.0	28049.0	21110.0	45241.0	23999.0	29096.0	26806.0	29268.0	45241.0	21348.0	21345.0	22491.0	21586.0	0.0	30873.0	32768.0	31466.0	24329.0	26039.0	46068.0
ZellerG_2014__CCMD26709089ST-21-0__bin.19	22962.0	37526.0	37070.0	29478.0	18142.0	31774.0	38152.0	21448.0	28810.0	22828.0	25586.0	29326.0	23459.0	51136.0	26763.0	34552.0	32425.0	34449.0	49966.0	23951.0	24315.0	25658.0	22637.0	30873.0	0.0	35458.0	33011.0	27893.0	29962.0	49925.0
NielsenHB_2014__MH0006__bin.62	31542.0	4219.0	41792.0	38295.0	19440.0	37942.0	42567.0	24539.0	35764.0	27183.0	29488.0	38612.0	29007.0	23932.0	33238.0	40207.0	36352.0	40146.0	20437.0	29772.0	29719.0	29841.0	28274.0	32768.0	35458.0	0.0	14142.0	33437.0	36573.0	17962.0
LeChatelierE_2013__MH0316__bin.8	30086.0	14888.0	41549.0	37508.0	18700.0	36144.0	41516.0	25488.0	33931.0	26662.0	28020.0	37874.0	29026.0	24735.0	31059.0	39162.0	35137.0	38836.0	20983.0	28971.0	28137.0	29567.0	28099.0	31466.0	33011.0	14142.0	0.0	30413.0	34259.0	17584.0
LiJ_2017__nHF411719__bin.6	28426.0	36798.0	26992.0	25486.0	21908.0	26788.0	26748.0	18548.0	23524.0	20697.0	19711.0	26228.0	21831.0	45719.0	14511.0	25845.0	23930.0	27131.0	46154.0	22802.0	4313.0	21378.0	19202.0	24329.0	27893.0	33437.0	30413.0	0.0	23384.0	46292.0
HeQ_2017__SZAXPI029561-52__bin.9	30807.0	40105.0	27109.0	25204.0	21551.0	28109.0	25621.0	18009.0	9722.0	21254.0	23577.0	26633.0	19854.0	50106.0	23343.0	26784.0	23937.0	27322.0	50899.0	20715.0	20561.0	22300.0	20388.0	26039.0	29962.0	36573.0	34259.0	23384.0	0.0	50883.0
ZeeviD_2015__PNP_Validation_2__bin.26	44483.0	18794.0	63790.0	55258.0	27499.0	57066.0	61986.0	36726.0	48333.0	38524.0	41403.0	55434.0	40246.0	33779.0	45922.0	58871.0	51601.0	58163.0	29297.0	41495.0	39900.0	41394.0	39418.0	46068.0	49925.0	17962.0	17584.0	46292.0	50883.0	0.0
