	LiJ_2017__H1M414905__bin.7	LeChatelierE_2013__MH0006__bin.33	YuJ_2015__SZAXPI015237-23__bin.22	QinN_2014__HD-19__bin.23	LiJ_2017__H2M514818__bin.18	LiJ_2017__nHM511825__bin.51	QinN_2014__LD-36__bin.31	LiJ_2017__H1M512853__bin.15	YuJ_2015__SZAXPI015233-19__bin.50	WenC_2017__RA058__bin.32	WenC_2017__N253__bin.168	ChengpingW_2017__AS45raw__bin.36	LiJ_2017__nHM511738__bin.28	ZellerG_2014__CCIS63448910ST-4-0__bin.32	LiJ_2017__H1M412949__bin.25	QinJ_2012__CON-016__bin.30	YuJ_2015__SZAXPI017582-94__bin.21	LiJ_2017__H3M516804__bin.42	Bengtsson-PalmeJ_2015__TRAVELRES54__bin.28	LiJ_2017__nHF512818__bin.22	HeQ_2017__SZAXPI029491-89__bin.1	YuJ_2015__SZAXPI015273-95__bin.73	QinJ_2012__CON-015__bin.44	Bengtsson-PalmeJ_2015__TRAVELRES8__bin.55	ZellerG_2014__CCMD26709089ST-21-0__bin.19	NielsenHB_2014__MH0006__bin.62	LeChatelierE_2013__MH0316__bin.8	LiJ_2017__nHF411719__bin.6	HeQ_2017__SZAXPI029561-52__bin.9	ZeeviD_2015__PNP_Validation_2__bin.26
WenC_2017__N253__bin.168	1876000.0	1479910.0	1903241.0	1896548.0	1189712.0	1828016.0	1957434.0	1229618.0	1576837.0	1315346.0	2168948.0	1879301.0	1434559.0	1848449.0	1522703.0	1928222.0	1630771.0	1953738.0	1887954.0	1466396.0	1311999.0	1414050.0	1370391.0	1736305.0	1920454.0	1374601.0	1218945.0	1642166.0	1731649.0	1889162.0
ChengpingW_2017__AS45raw__bin.36	2146377.0	1701898.0	2277114.0	2245523.0	1332160.0	2189895.0	2329593.0	1391169.0	1812054.0	1510882.0	1879301.0	2533716.0	1663776.0	2108318.0	1756818.0	2304538.0	1892363.0	2330640.0	2183403.0	1707667.0	1508709.0	1603275.0	1596089.0	2007929.0	2244839.0	1586077.0	1417441.0	1881489.0	1983108.0	2204476.0
LiJ_2017__nHM511738__bin.28	1621408.0	1287147.0	1667744.0	1657417.0	1269406.0	1607369.0	1683102.0	1239192.0	1360534.0	1171950.0	1434559.0	1663776.0	1911835.0	1581572.0	1403534.0	1662802.0	1444966.0	1721157.0	1609917.0	1557945.0	1177232.0	1196090.0	1218344.0	1487964.0	1659494.0	1201181.0	1058622.0	1585632.0	1492064.0	1631209.0
ZellerG_2014__CCIS63448910ST-4-0__bin.32	2167753.0	1770264.0	2173762.0	2114242.0	1304944.0	2062382.0	2229727.0	1312182.0	1720257.0	1434574.0	1848449.0	2108318.0	1581572.0	2786742.0	1657420.0	2202353.0	1805931.0	2230833.0	2365598.0	1605068.0	1426887.0	1552250.0	1451030.0	1974234.0	2238998.0	1653216.0	1462932.0	1797582.0	1942811.0	2377060.0
LiJ_2017__H1M412949__bin.25	1713634.0	1364831.0	1789039.0	1790448.0	1136054.0	1716516.0	1802406.0	1207160.0	1490809.0	1238341.0	1522703.0	1756818.0	1403534.0	1657420.0	2082679.0	1769879.0	1539462.0	1816146.0	1693968.0	1426916.0	1238809.0	1306270.0	1297706.0	1622175.0	1734351.0	1292236.0	1161092.0	1609730.0	1607117.0	1744265.0
QinJ_2012__CON-016__bin.30	2222271.0	1754628.0	2388936.0	2295614.0	1334372.0	2234961.0	2435739.0	1397290.0	1847577.0	1547406.0	1928222.0	2304538.0	1662802.0	2202353.0	1769879.0	2685626.0	1933834.0	2427732.0	2286269.0	1703686.0	1528556.0	1632365.0	1588664.0	2059837.0	2358541.0	1627432.0	1440119.0	1928055.0	2066477.0	2302788.0
YuJ_2015__SZAXPI017582-94__bin.21	1862423.0	1454041.0	2158731.0	1897958.0	1168551.0	1834559.0	1978474.0	1238297.0	1580814.0	1323901.0	1630771.0	1892363.0	1444966.0	1805931.0	1539462.0	1933834.0	2423116.0	1980731.0	1874122.0	1454582.0	1302397.0	1373437.0	1421486.0	1767216.0	1927912.0	1399699.0	1244616.0	1664362.0	1740774.0	1889790.0
LiJ_2017__H3M516804__bin.42	2273767.0	1745307.0	2439828.0	2377698.0	1375603.0	2321451.0	2522180.0	1446442.0	1866677.0	1563786.0	1953738.0	2330640.0	1721157.0	2230833.0	1816146.0	2427732.0	1980731.0	2904794.0	2292783.0	1746404.0	1531771.0	1674882.0	1622658.0	2094376.0	2370545.0	1645082.0	1458891.0	1944481.0	2080646.0	2328773.0
Bengtsson-PalmeJ_2015__TRAVELRES54__bin.28	2200256.0	1828731.0	2272693.0	2194547.0	1319652.0	2116767.0	2310794.0	1365264.0	1775260.0	1487823.0	1887954.0	2183403.0	1609917.0	2365598.0	1693968.0	2286269.0	1874122.0	2292783.0	2933419.0	1638083.0	1444205.0	1583415.0	1509988.0	2027953.0	2311405.0	1708669.0	1527408.0	1840345.0	1995371.0	2482797.0
LiJ_2017__nHF512818__bin.22	1642162.0	1310256.0	1689828.0	1693092.0	1285336.0	1646123.0	1720274.0	1267673.0	1402159.0	1216043.0	1466396.0	1707667.0	1557945.0	1605068.0	1426916.0	1703686.0	1454582.0	1746404.0	1638083.0	2110866.0	1193916.0	1237717.0	1242877.0	1520188.0	1693719.0	1230862.0	1080950.0	1603740.0	1521586.0	1667672.0
HeQ_2017__SZAXPI029491-89__bin.1	1443341.0	1201039.0	1520033.0	1513718.0	952961.0	1468890.0	1547089.0	1000024.0	1290210.0	1053863.0	1311999.0	1508709.0	1177232.0	1426887.0	1238809.0	1528556.0	1302397.0	1531771.0	1444205.0	1193916.0	1848468.0	1160657.0	1137237.0	1377848.0	1479592.0	1115073.0	1008052.0	1365038.0	1387142.0	1473758.0
YuJ_2015__SZAXPI015273-95__bin.73	1579595.0	1273854.0	1624327.0	1633365.0	939719.0	1588242.0	1647542.0	1031831.0	1366681.0	1118501.0	1414050.0	1603275.0	1196090.0	1552250.0	1306270.0	1632365.0	1373437.0	1674882.0	1583415.0	1237717.0	1160657.0	2130759.0	1229912.0	1508404.0	1621466.0	1185848.0	1115203.0	1376959.0	1480234.0	1611935.0
QinJ_2012__CON-015__bin.44	1497967.0	1207178.0	1604014.0	1615136.0	984489.0	1556325.0	1607509.0	1083478.0	1330425.0	1182028.0	1370391.0	1596089.0	1218344.0	1451030.0	1297706.0	1588664.0	1421486.0	1622658.0	1509988.0	1242877.0	1137237.0	1229912.0	1854893.0	1462106.0	1555074.0	1124632.0	1061371.0	1388978.0	1426895.0	1523620.0
Bengtsson-PalmeJ_2015__TRAVELRES8__bin.55	1970203.0	1590823.0	2078454.0	2028524.0	1194154.0	1938470.0	2102492.0	1278636.0	1680827.0	1366924.0	1736305.0	2007929.0	1487964.0	1974234.0	1622175.0	2059837.0	1767216.0	2094376.0	2027953.0	1520188.0	1377848.0	1508404.0	1462106.0	2524269.0	2049882.0	1480168.0	1346218.0	1735763.0	1851003.0	2037607.0
ZellerG_2014__CCMD26709089ST-21-0__bin.19	2282785.0	1735811.0	2318399.0	2263272.0	1344695.0	2203010.0	2336480.0	1381996.0	1808400.0	1509572.0	1920454.0	2244839.0	1659494.0	2238998.0	1734351.0	2358541.0	1927912.0	2370545.0	2311405.0	1693719.0	1479592.0	1621466.0	1555074.0	2049882.0	2686870.0	1627030.0	1443888.0	1877970.0	2027046.0	2314606.0
NielsenHB_2014__MH0006__bin.62	1597680.0	1653162.0	1616800.0	1587558.0	958401.0	1554454.0	1644174.0	1005375.0	1346627.0	1083927.0	1374601.0	1586077.0	1201181.0	1653216.0	1292236.0	1627432.0	1399699.0	1645082.0	1708669.0	1230862.0	1115073.0	1185848.0	1124632.0	1480168.0	1627030.0	1968736.0	1197065.0	1378907.0	1458232.0	1755582.0
LeChatelierE_2013__MH0316__bin.8	1428989.0	1251544.0	1438114.0	1427197.0	862058.0	1361445.0	1455623.0	929106.0	1176081.0	1030265.0	1218945.0	1417441.0	1058622.0	1462932.0	1161092.0	1440119.0	1244616.0	1458891.0	1527408.0	1080950.0	1008052.0	1115203.0	1061371.0	1346218.0	1443888.0	1197065.0	2053187.0	1193969.0	1274214.0	1585238.0
LiJ_2017__nHF411719__bin.6	1844789.0	1465831.0	1938549.0	1887131.0	1289417.0	1862494.0	1937936.0	1322474.0	1579357.0	1335789.0	1642166.0	1881489.0	1585632.0	1797582.0	1609730.0	1928055.0	1664362.0	1944481.0	1840345.0	1603740.0	1365038.0	1376959.0	1388978.0	1735763.0	1877970.0	1378907.0	1193969.0	2256602.0	1742334.0	1874420.0
HeQ_2017__SZAXPI029561-52__bin.9	1936891.0	1575619.0	2085335.0	1995183.0	1188719.0	1988877.0	2098922.0	1262600.0	1704061.0	1376386.0	1731649.0	1983108.0	1492064.0	1942811.0	1607117.0	2066477.0	1740774.0	2080646.0	1995371.0	1521586.0	1387142.0	1480234.0	1426895.0	1851003.0	2027046.0	1458232.0	1274214.0	1742334.0	2297620.0	1995353.0
ZeeviD_2015__PNP_Validation_2__bin.26	2257350.0	1871006.0	2313047.0	2216224.0	1338071.0	2231650.0	2332056.0	1383122.0	1785604.0	1509755.0	1889162.0	2204476.0	1631209.0	2377060.0	1744265.0	2302788.0	1889790.0	2328773.0	2482797.0	1667672.0	1473758.0	1611935.0	1523620.0	2037607.0	2314606.0	1755582.0	1585238.0	1874420.0	1995353.0	3041517.0
