	ZeeviD_2015__PNP_Main_484__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	ZeeviD_2015__PNP_Validation_26__bin.30	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	XieH_2016__YSZC12003_37265R1__bin.8	NielsenHB_2014__MH0132__bin.1	ZeeviD_2015__PNP_Main_612__bin.5	XieH_2016__YSZC12003_35992__bin.77	LeChatelierE_2013__MH0132__bin.16	CosteaPI_2017__SID713B072-11-0-0__bin.7	ZeeviD_2015__PNP_Main_380__bin.12	ZeeviD_2015__PNP_Validation_67__bin.1	NielsenHB_2014__O2_UC29_2__bin.1	XieH_2016__YSZC12003_37652__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.48	XieH_2016__YSZC12003_36058__bin.26	ZeeviD_2015__PNP_Main_707__bin.38	ZeeviD_2015__PNP_Validation_73__bin.14	NielsenHB_2014__O2_UC29_0__bin.6	LiJ_2014__MH0356__bin.42	LeChatelierE_2013__MH0439__bin.16	ZeeviD_2015__PNP_Validation_38__bin.8	LiJ_2014__O2.UC29-1__bin.19	CosteaPI_2017__SID713B072-11-90-0__bin.68
CosteaPI_2017__SID713B072-11-0-0__bin.7	15027.0	19234.0	31209.0	30923.0	29793.0	13223.0	19538.0	18532.0	20448.0	19611.0	0.0	15147.0	27402.0	23641.0	21531.0	20700.0	29100.0	34666.0	33959.0	35148.0	29235.0	18456.0	20647.0	18274.0	35703.0	1627.0
ZeeviD_2015__PNP_Main_380__bin.12	10810.0	15322.0	20613.0	20501.0	20720.0	11484.0	14562.0	13296.0	14943.0	14518.0	15147.0	0.0	19413.0	16320.0	15931.0	15986.0	20131.0	23513.0	22625.0	23769.0	20105.0	13668.0	15510.0	13267.0	23183.0	9977.0
ZeeviD_2015__PNP_Validation_67__bin.1	20506.0	25660.0	18218.0	14021.0	26995.0	18291.0	27023.0	8522.0	26532.0	27349.0	27402.0	19413.0	0.0	13857.0	28508.0	27762.0	26448.0	19192.0	15694.0	15741.0	16351.0	23990.0	28008.0	8250.0	19650.0	18912.0
NielsenHB_2014__O2_UC29_2__bin.1	17319.0	21745.0	15858.0	14792.0	21438.0	15653.0	22250.0	8969.0	22542.0	22323.0	23641.0	16320.0	13857.0	0.0	23673.0	23194.0	21089.0	15417.0	16057.0	17250.0	2226.0	20485.0	23145.0	9346.0	1633.0	16750.0
XieH_2016__YSZC12003_37652__bin.82	16551.0	20290.0	32035.0	31744.0	31340.0	14360.0	21417.0	19142.0	17437.0	21138.0	21531.0	15931.0	28508.0	23673.0	0.0	21754.0	30651.0	35883.0	35070.0	36804.0	29975.0	19012.0	22483.0	19107.0	36183.0	14855.0
Bengtsson-PalmeJ_2015__TRAVELRES7__bin.101	16339.0	450.0	31241.0	31421.0	31169.0	13559.0	21457.0	18743.0	20744.0	21708.0	20700.0	15986.0	27762.0	23194.0	21754.0	0.0	30586.0	35477.0	34913.0	35686.0	30455.0	19435.0	22604.0	19530.0	36010.0	14028.0
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.48	20504.0	29704.0	28905.0	31872.0	41.0	18961.0	29040.0	17788.0	29121.0	29584.0	29100.0	20131.0	26448.0	21089.0	30651.0	30586.0	0.0	31798.0	33279.0	33918.0	26439.0	25537.0	29853.0	17254.0	32508.0	19783.0
XieH_2016__YSZC12003_36058__bin.26	24772.0	33033.0	22737.0	21558.0	32729.0	22217.0	33932.0	12911.0	33925.0	34009.0	34666.0	23513.0	19192.0	15417.0	35883.0	35477.0	31798.0	0.0	23844.0	24243.0	19099.0	29776.0	34929.0	12896.0	22583.0	23796.0
ZeeviD_2015__PNP_Main_707__bin.38	24229.0	31758.0	22295.0	16907.0	34047.0	21292.0	33645.0	10579.0	33399.0	34224.0	33959.0	22625.0	15694.0	16057.0	35070.0	34913.0	33279.0	23844.0	0.0	20384.0	19802.0	28845.0	34149.0	10046.0	24258.0	22815.0
ZeeviD_2015__PNP_Validation_73__bin.14	24677.0	32917.0	23271.0	18122.0	34942.0	22606.0	34598.0	10672.0	35308.0	35256.0	35148.0	23769.0	15741.0	17250.0	36804.0	35686.0	33918.0	24243.0	20384.0	0.0	21224.0	29395.0	34749.0	10625.0	26554.0	24038.0
NielsenHB_2014__O2_UC29_0__bin.6	20639.0	27473.0	19633.0	18007.0	27186.0	19052.0	27896.0	11386.0	28225.0	28074.0	29235.0	20105.0	16351.0	2226.0	29975.0	30455.0	26439.0	19099.0	19802.0	21224.0	0.0	25939.0	30219.0	11861.0	2011.0	20493.0
LiJ_2014__MH0356__bin.42	13733.0	17399.0	26610.0	25809.0	26013.0	12304.0	16837.0	16346.0	18191.0	16887.0	18456.0	13668.0	23990.0	20485.0	19012.0	19435.0	25537.0	29776.0	28845.0	29395.0	25939.0	0.0	18571.0	15975.0	29929.0	13014.0
LeChatelierE_2013__MH0439__bin.16	16066.0	20759.0	30554.0	30630.0	30659.0	13775.0	19890.0	19125.0	21087.0	20265.0	20647.0	15510.0	28008.0	23145.0	22483.0	22604.0	29853.0	34929.0	34149.0	34749.0	30219.0	18571.0	0.0	18575.0	35381.0	14068.0
ZeeviD_2015__PNP_Validation_38__bin.8	13300.0	17848.0	12658.0	9676.0	17847.0	12691.0	18416.0	6008.0	17874.0	18711.0	18274.0	13267.0	8250.0	9346.0	19107.0	19530.0	17254.0	12896.0	10046.0	10625.0	11861.0	15975.0	18575.0	0.0	13217.0	12389.0
LiJ_2014__O2.UC29-1__bin.19	24559.0	32533.0	24245.0	21882.0	33492.0	22677.0	34422.0	13468.0	35773.0	35241.0	35703.0	23183.0	19650.0	1633.0	36183.0	36010.0	32508.0	22583.0	24258.0	26554.0	2011.0	29929.0	35381.0	13217.0	0.0	24602.0
CosteaPI_2017__SID713B072-11-90-0__bin.68	10798.0	13076.0	22155.0	20060.0	20181.0	9975.0	13882.0	12407.0	14485.0	13591.0	1627.0	9977.0	18912.0	16750.0	14855.0	14028.0	19783.0	23796.0	22815.0	24038.0	20493.0	13014.0	14068.0	12389.0	24602.0	0.0
