	ZeeviD_2015__PNP_Main_484__bin.5	Bengtsson-PalmeJ_2015__TRAVELRES29__bin.5	VogtmannE_2016__MMRS90191266ST-27-0-0__bin.5	ZeeviD_2015__PNP_Validation_26__bin.30	Bengtsson-PalmeJ_2015__TRAVELRES6__bin.59	XieH_2016__YSZC12003_37265R1__bin.8	NielsenHB_2014__MH0132__bin.1	ZeeviD_2015__PNP_Main_612__bin.5	XieH_2016__YSZC12003_35992__bin.77	LeChatelierE_2013__MH0132__bin.16	CosteaPI_2017__SID713B072-11-0-0__bin.7	ZeeviD_2015__PNP_Main_380__bin.12	ZeeviD_2015__PNP_Validation_67__bin.1	NielsenHB_2014__O2_UC29_2__bin.1	XieH_2016__YSZC12003_37652__bin.82	Bengtsson-PalmeJ_2015__TRAVELRES7__bin.101	Bengtsson-PalmeJ_2015__TRAVELRES5__bin.48	XieH_2016__YSZC12003_36058__bin.26	ZeeviD_2015__PNP_Main_707__bin.38	ZeeviD_2015__PNP_Validation_73__bin.14	NielsenHB_2014__O2_UC29_0__bin.6	LiJ_2014__MH0356__bin.42	LeChatelierE_2013__MH0439__bin.16	ZeeviD_2015__PNP_Validation_38__bin.8	LiJ_2014__O2.UC29-1__bin.19	CosteaPI_2017__SID713B072-11-90-0__bin.68
CosteaPI_2017__SID713B072-11-0-0__bin.7	1602624.0	2192649.0	1838315.0	2078523.0	2261508.0	1404021.0	2293254.0	1112620.0	2263091.0	2302010.0	2417132.0	1481037.0	1810163.0	1379860.0	2358126.0	2354975.0	2241503.0	2205937.0	2217079.0	2273315.0	1712150.0	1906289.0	2213351.0	1127700.0	2300798.0	1521144.0
ZeeviD_2015__PNP_Main_380__bin.12	1054778.0	1417824.0	1199649.0	1318973.0	1450006.0	952075.0	1465170.0	747808.0	1435849.0	1469243.0	1481037.0	1549547.0	1192481.0	918358.0	1491189.0	1496791.0	1433114.0	1417274.0	1409974.0	1452690.0	1147197.0	1244616.0	1394415.0	767274.0	1457457.0	966152.0
ZeeviD_2015__PNP_Validation_67__bin.1	1279781.0	1707199.0	1517654.0	1688591.0	1772377.0	1131829.0	1785082.0	946283.0	1761568.0	1805656.0	1810163.0	1192481.0	1963809.0	1139237.0	1827909.0	1832524.0	1754065.0	1821587.0	1832515.0	1867273.0	1423464.0	1482188.0	1723263.0	957662.0	1880082.0	1187605.0
NielsenHB_2014__O2_UC29_2__bin.1	992866.0	1293933.0	1194593.0	1266605.0	1342828.0	883576.0	1348785.0	706203.0	1343738.0	1353607.0	1379860.0	918358.0	1139237.0	1452939.0	1389591.0	1378379.0	1332490.0	1377138.0	1374063.0	1404863.0	1240943.0	1167073.0	1320653.0	711219.0	1447856.0	934580.0
XieH_2016__YSZC12003_37652__bin.82	1611496.0	2236696.0	1873811.0	2109780.0	2313507.0	1427667.0	2344043.0	1129330.0	2342733.0	2355680.0	2358126.0	1491189.0	1827909.0	1389591.0	2505189.0	2398440.0	2291332.0	2229762.0	2251878.0	2321593.0	1743954.0	1929647.0	2222684.0	1150263.0	2341559.0	1513225.0
Bengtsson-PalmeJ_2015__TRAVELRES7__bin.101	1617614.0	2272090.0	1858638.0	2111546.0	2304020.0	1407892.0	2355252.0	1138608.0	2295972.0	2377930.0	2354975.0	1496791.0	1832524.0	1378379.0	2398440.0	2527410.0	2279213.0	2240417.0	2269427.0	2313613.0	1764289.0	1930705.0	2247766.0	1155195.0	2357638.0	1502420.0
Bengtsson-PalmeJ_2015__TRAVELRES5__bin.48	1535302.0	2187383.0	1779764.0	2075829.0	2422580.0	1341477.0	2232837.0	1073040.0	2239205.0	2261157.0	2241503.0	1433114.0	1754065.0	1332490.0	2291332.0	2279213.0	2454454.0	2139235.0	2181508.0	2219774.0	1657923.0	1831632.0	2109103.0	1090348.0	2229965.0	1443945.0
XieH_2016__YSZC12003_36058__bin.26	1533199.0	2088804.0	1839655.0	2046901.0	2164407.0	1353033.0	2182484.0	1111180.0	2144613.0	2200417.0	2205937.0	1417274.0	1821587.0	1377138.0	2229762.0	2240417.0	2139235.0	2357316.0	2208713.0	2249425.0	1729967.0	1805711.0	2097076.0	1133909.0	2290520.0	1429595.0
ZeeviD_2015__PNP_Main_707__bin.38	1539721.0	2110021.0	1858191.0	2110765.0	2209901.0	1317939.0	2196590.0	1123013.0	2164207.0	2216404.0	2217079.0	1409974.0	1832515.0	1374063.0	2251878.0	2269427.0	2181508.0	2208713.0	2422103.0	2348948.0	1736364.0	1803483.0	2098834.0	1134599.0	2333324.0	1425844.0
ZeeviD_2015__PNP_Validation_73__bin.14	1572803.0	2158813.0	1903356.0	2169399.0	2249313.0	1393358.0	2246583.0	1158321.0	2239300.0	2268556.0	2273315.0	1452690.0	1867273.0	1404863.0	2321593.0	2313613.0	2219774.0	2249425.0	2348948.0	2491317.0	1774928.0	1849183.0	2148898.0	1164618.0	2397106.0	1469183.0
NielsenHB_2014__O2_UC29_0__bin.6	1209939.0	1615603.0	1484528.0	1565933.0	1685607.0	1079939.0	1703679.0	913686.0	1691176.0	1722732.0	1712150.0	1147197.0	1423464.0	1240943.0	1743954.0	1764289.0	1657923.0	1729967.0	1736364.0	1774928.0	1943069.0	1442839.0	1680458.0	894407.0	1882711.0	1143756.0
LiJ_2014__MH0356__bin.42	1333796.0	1779090.0	1506815.0	1676346.0	1846857.0	1148748.0	1917599.0	931935.0	1850811.0	1915694.0	1906289.0	1244616.0	1482188.0	1167073.0	1929647.0	1930705.0	1831632.0	1805711.0	1803483.0	1849183.0	1442839.0	2022267.0	1824769.0	914781.0	1873190.0	1248866.0
LeChatelierE_2013__MH0439__bin.16	1526272.0	2071078.0	1756454.0	1960262.0	2132848.0	1342030.0	2185137.0	1068656.0	2132345.0	2200868.0	2213351.0	1394415.0	1723263.0	1320653.0	2222684.0	2247766.0	2109103.0	2097076.0	2098834.0	2148898.0	1680458.0	1824769.0	2383213.0	1080889.0	2194642.0	1446129.0
ZeeviD_2015__PNP_Validation_38__bin.8	813805.0	1095693.0	963587.0	1056425.0	1104706.0	755043.0	1115184.0	638553.0	1113775.0	1131493.0	1127700.0	767274.0	957662.0	711219.0	1150263.0	1155195.0	1090348.0	1133909.0	1134599.0	1164618.0	894407.0	914781.0	1080889.0	1208792.0	1172589.0	749557.0
LiJ_2014__O2.UC29-1__bin.19	1585395.0	2176000.0	1922813.0	2144236.0	2261694.0	1400353.0	2277919.0	1165322.0	2271858.0	2317310.0	2300798.0	1457457.0	1880082.0	1447856.0	2341559.0	2357638.0	2229965.0	2290520.0	2333324.0	2397106.0	1882711.0	1873190.0	2194642.0	1172589.0	2606641.0	1488383.0
CosteaPI_2017__SID713B072-11-90-0__bin.68	1060710.0	1395112.0	1262344.0	1313105.0	1458099.0	983593.0	1477834.0	741855.0	1470078.0	1484401.0	1521144.0	966152.0	1187605.0	934580.0	1513225.0	1502420.0	1443945.0	1429595.0	1425844.0	1469183.0	1143756.0	1248866.0	1446129.0	749557.0	1488383.0	1564532.0
