	VincentC_2016__MM081__bin.1	LiJ_2014__O2.UC36-0__bin.56	XieH_2016__YSZC12003_37127__bin.43	BackhedF_2015__SID521_12M__bin.15	LiJ_2014__MH0301__bin.14	BackhedF_2015__SID521_4M__bin.14	XieH_2016__YSZC12003_37176__bin.70	XieH_2016__YSZC12003_36389__bin.16	LiJ_2014__V1.FI04__bin.68	VogtmannE_2016__MMRS14379078ST-27-0-0__bin.24	CosteaPI_2017__SID713B041-11-0-0__bin.68	LiuW_2016__SRR3993027__bin.4	LeChatelierE_2013__MH0199__bin.45	NielsenHB_2014__V1_CD41_0__bin.62	LeChatelierE_2013__MH0251__bin.15	XieH_2016__YSZC12003_36212__bin.11	LiJ_2014__O2.UC36-1__bin.41	KarlssonFH_2013__S356__bin.18	VogtmannE_2016__MMRS48639115ST-27-0-0__bin.33	LiJ_2014__V1.FI21__bin.37	CosteaPI_2017__SID713B003-11-90-0__bin.6	XieH_2016__YSZC12003_35506__bin.40	LeChatelierE_2013__MH0191__bin.37	RaymondF_2016__P12E90__bin.8	VatanenT_2016__G80376__bin.4	RaymondF_2016__P12E0__bin.13	NielsenHB_2014__O2_UC51_2__bin.35	QinN_2014__LD-62__bin.3	ZeeviD_2015__PNP_Main_240__bin.26	VatanenT_2016__G80540__bin.10	BackhedF_2015__SID507_M__bin.62
LeChatelierE_2013__MH0251__bin.15	2303.0	2802.0	2142.0	3239.0	3984.0	3801.0	3730.0	2087.0	2694.0	5031.0	1678.0	2087.0	2759.0	1257.0	0.0	2350.0	3132.0	2144.0	4033.0	3398.0	2196.0	2584.0	3814.0	1723.0	968.0	2287.0	4680.0	2104.0	2159.0	2479.0	3963.0
XieH_2016__YSZC12003_36212__bin.11	1447.0	1742.0	795.0	2840.0	3717.0	3479.0	3020.0	1926.0	2289.0	3982.0	609.0	923.0	2233.0	804.0	2350.0	0.0	2154.0	1598.0	3225.0	1175.0	620.0	1393.0	3755.0	836.0	687.0	1144.0	3824.0	637.0	1212.0	879.0	3167.0
LiJ_2014__O2.UC36-1__bin.41	2100.0	2350.0	2016.0	2932.0	4020.0	3338.0	3412.0	2098.0	2754.0	4051.0	1517.0	2107.0	2205.0	1206.0	3132.0	2154.0	0.0	2171.0	4028.0	2473.0	1965.0	2629.0	3979.0	1785.0	1281.0	2199.0	3904.0	2013.0	2078.0	2084.0	4055.0
KarlssonFH_2013__S356__bin.18	1546.0	1866.0	1561.0	1954.0	2748.0	2437.0	2172.0	1401.0	1657.0	2366.0	1371.0	1633.0	1683.0	534.0	2144.0	1598.0	2171.0	0.0	2259.0	1793.0	1439.0	1772.0	2161.0	1589.0	725.0	1687.0	2459.0	1532.0	2043.0	1607.0	2025.0
VogtmannE_2016__MMRS48639115ST-27-0-0__bin.33	3323.0	3423.0	3159.0	3562.0	4767.0	4124.0	4068.0	2627.0	3280.0	1364.0	2314.0	3368.0	3740.0	1645.0	4033.0	3225.0	4028.0	2259.0	0.0	3715.0	2931.0	3608.0	3705.0	3043.0	937.0	3542.0	4253.0	3126.0	2910.0	3161.0	3866.0
LiJ_2014__V1.FI21__bin.37	521.0	2147.0	1380.0	2960.0	3900.0	3538.0	3286.0	2189.0	2453.0	4498.0	933.0	1810.0	856.0	1384.0	3398.0	1175.0	2473.0	1793.0	3715.0	0.0	969.0	1156.0	3501.0	1107.0	850.0	1216.0	4372.0	1091.0	868.0	815.0	3555.0
CosteaPI_2017__SID713B003-11-90-0__bin.6	734.0	1695.0	663.0	2707.0	3348.0	3304.0	2808.0	1850.0	2211.0	3644.0	462.0	714.0	967.0	674.0	2196.0	620.0	1965.0	1439.0	2931.0	969.0	0.0	1234.0	3016.0	489.0	618.0	828.0	3757.0	452.0	994.0	732.0	2974.0
XieH_2016__YSZC12003_35506__bin.40	1091.0	2111.0	1327.0	2943.0	3932.0	3433.0	3210.0	2152.0	2474.0	4121.0	1037.0	1314.0	1120.0	766.0	2584.0	1393.0	2629.0	1772.0	3608.0	1156.0	1234.0	0.0	3694.0	1179.0	918.0	1276.0	4227.0	1243.0	1199.0	1103.0	3731.0
LeChatelierE_2013__MH0191__bin.37	3178.0	3212.0	3131.0	3661.0	4316.0	4176.0	4235.0	2291.0	3101.0	3768.0	2370.0	3029.0	4002.0	1419.0	3814.0	3755.0	3979.0	2161.0	3705.0	3501.0	3016.0	3694.0	0.0	2716.0	512.0	3395.0	2168.0	3001.0	3007.0	3132.0	1664.0
RaymondF_2016__P12E90__bin.8	835.0	1441.0	1123.0	2724.0	3168.0	3323.0	2542.0	1467.0	1844.0	3474.0	442.0	944.0	1040.0	950.0	1723.0	836.0	1785.0	1589.0	3043.0	1107.0	489.0	1179.0	2716.0	0.0	607.0	116.0	3573.0	656.0	891.0	900.0	2748.0
VatanenT_2016__G80376__bin.4	818.0	948.0	615.0	1440.0	1549.0	1718.0	1526.0	930.0	1148.0	1043.0	347.0	744.0	1023.0	608.0	968.0	687.0	1281.0	725.0	937.0	850.0	618.0	918.0	512.0	607.0	0.0	776.0	947.0	626.0	874.0	757.0	364.0
RaymondF_2016__P12E0__bin.13	876.0	1990.0	1397.0	3126.0	3749.0	3838.0	2963.0	2072.0	2298.0	4071.0	727.0	1143.0	1068.0	1077.0	2287.0	1144.0	2199.0	1687.0	3542.0	1216.0	828.0	1276.0	3395.0	116.0	776.0	0.0	4239.0	775.0	1006.0	1005.0	3368.0
NielsenHB_2014__O2_UC51_2__bin.35	3911.0	2935.0	3839.0	3341.0	4011.0	4231.0	4071.0	1980.0	3296.0	4663.0	2626.0	3661.0	4084.0	1811.0	4680.0	3824.0	3904.0	2459.0	4253.0	4372.0	3757.0	4227.0	2168.0	3573.0	947.0	4239.0	0.0	3760.0	3279.0	4038.0	2549.0
QinN_2014__LD-62__bin.3	781.0	1685.0	648.0	2808.0	3436.0	3350.0	2891.0	1858.0	2253.0	3668.0	477.0	694.0	1460.0	677.0	2104.0	637.0	2013.0	1532.0	3126.0	1091.0	452.0	1243.0	3001.0	656.0	626.0	775.0	3760.0	0.0	1053.0	702.0	3075.0
ZeeviD_2015__PNP_Main_240__bin.26	1050.0	1864.0	1043.0	2595.0	2987.0	2713.0	2550.0	1821.0	2184.0	3191.0	884.0	1275.0	927.0	535.0	2159.0	1212.0	2078.0	2043.0	2910.0	868.0	994.0	1199.0	3007.0	891.0	874.0	1006.0	3279.0	1053.0	0.0	880.0	2942.0
VatanenT_2016__G80540__bin.10	310.0	1768.0	928.0	2818.0	3583.0	3438.0	2929.0	1887.0	2257.0	3508.0	566.0	965.0	741.0	666.0	2479.0	879.0	2084.0	1607.0	3161.0	815.0	732.0	1103.0	3132.0	900.0	757.0	1005.0	4038.0	702.0	880.0	0.0	3087.0
BackhedF_2015__SID507_M__bin.62	3314.0	3188.0	3122.0	3596.0	4491.0	4312.0	4413.0	2361.0	3287.0	4246.0	2293.0	3011.0	3518.0	1411.0	3963.0	3167.0	4055.0	2025.0	3866.0	3555.0	2974.0	3731.0	1664.0	2748.0	364.0	3368.0	2549.0	3075.0	2942.0	3087.0	0.0
