	LiJ_2014__V1.FI09__bin.34	HMP_2012__SRS011134__bin.88	RampelliS_2015__H10__bin.7	LiJ_2014__MH0303__bin.72	QinN_2014__HD-40__bin.75	CosteaPI_2017__SID713A005-11-0-0__bin.72	ZeeviD_2015__PNP_Main_25__bin.24	ZeeviD_2015__PNP_Main_531__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.84	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.51	CosteaPI_2017__SID713B014-11-0-0__bin.12	LiuW_2016__SRR3993055__bin.4	ZellerG_2014__CCIS74726977ST-3-0__bin.72	LiuW_2016__SRR3993034__bin.118	BritoIL_2016__M1.16.ST__bin.117	NielsenHB_2014__MH0126__bin.28	BritoIL_2016__M1.20.ST__bin.55	LiJ_2014__V1.FI14__bin.47	LeChatelierE_2013__MH0126__bin.27	CosteaPI_2017__SID713B066-11-0-0__bin.77	BritoIL_2016__WL.37.ST__bin.22	CosteaPI_2017__SID713A051-11-90-0__bin.31	CosteaPI_2017__SID713B066-11-90-0__bin.4	ZeeviD_2015__PNP_Main_683__bin.4	XieH_2016__YSZC12003_35980__bin.54	LiuW_2016__SRR3993041__bin.58	CosteaPI_2017__SID713B072-11-0-0__bin.26	CosteaPI_2017__SID713A051-11-0-0__bin.2	NielsenHB_2014__MH0117__bin.3	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.63	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.8	BackhedF_2015__SID566_M__bin.39	CosteaPI_2017__SID713B063-11-0-0__bin.36	LeChatelierE_2013__MH0437__bin.18	LeChatelierE_2013__MH0117__bin.21	LeChatelierE_2013__MH0409__bin.6	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.35
CosteaPI_2017__SID713B014-11-0-0__bin.12	30490.0	32946.0	30042.0	33201.0	26778.0	35576.0	34415.0	35252.0	34467.0	29979.0	0.0	32974.0	31282.0	31211.0	37817.0	27761.0	23382.0	33851.0	29683.0	32067.0	22515.0	25223.0	32346.0	34327.0	20840.0	29377.0	31897.0	12587.0	24536.0	37184.0	23046.0	34696.0	25182.0	33500.0	27587.0	29475.0	36125.0
LiuW_2016__SRR3993055__bin.4	33965.0	37068.0	32151.0	36612.0	28263.0	38755.0	39622.0	39958.0	38645.0	32776.0	32974.0	0.0	33912.0	33904.0	41799.0	29196.0	25831.0	40396.0	31249.0	40415.0	22589.0	29108.0	41350.0	38247.0	23027.0	28365.0	35765.0	14954.0	25659.0	40768.0	26795.0	39501.0	29011.0	34807.0	29825.0	32718.0	39449.0
ZellerG_2014__CCIS74726977ST-3-0__bin.72	27492.0	30502.0	28588.0	31660.0	27501.0	35092.0	34460.0	33402.0	31984.0	29165.0	31282.0	33912.0	0.0	31492.0	36939.0	27861.0	24849.0	34925.0	30035.0	35619.0	22741.0	24606.0	36898.0	31648.0	20301.0	29320.0	30371.0	12892.0	20410.0	34998.0	22041.0	34918.0	24863.0	34821.0	22578.0	29624.0	33736.0
LiuW_2016__SRR3993034__bin.118	31719.0	33365.0	31442.0	33862.0	25550.0	35109.0	35562.0	35260.0	33573.0	30188.0	31211.0	33904.0	31492.0	0.0	37078.0	26448.0	22374.0	35326.0	28124.0	36103.0	22689.0	25925.0	36089.0	34406.0	21316.0	29621.0	33019.0	13387.0	24244.0	37972.0	23135.0	34834.0	27689.0	32252.0	28038.0	29816.0	36111.0
BritoIL_2016__M1.16.ST__bin.117	34581.0	37882.0	32481.0	40091.0	31952.0	41371.0	40557.0	39672.0	38474.0	32844.0	37817.0	41799.0	36939.0	37078.0	0.0	31092.0	1376.0	41241.0	33343.0	42347.0	24901.0	30278.0	43541.0	38797.0	23030.0	33631.0	35860.0	15101.0	27187.0	44128.0	26333.0	39795.0	27966.0	40029.0	30183.0	33109.0	42498.0
NielsenHB_2014__MH0126__bin.28	26854.0	28637.0	25451.0	29443.0	24218.0	30467.0	30338.0	30447.0	28828.0	27278.0	27761.0	29196.0	27861.0	26448.0	31092.0	0.0	20168.0	29364.0	961.0	28934.0	20097.0	21229.0	29143.0	29764.0	18402.0	24972.0	28556.0	10568.0	22500.0	32648.0	19580.0	31307.0	23075.0	28954.0	26401.0	26537.0	31405.0
BritoIL_2016__M1.20.ST__bin.55	20234.0	23091.0	20145.0	25908.0	20290.0	26465.0	25055.0	25142.0	24943.0	20072.0	23382.0	25831.0	24849.0	22374.0	1376.0	20168.0	0.0	25251.0	21637.0	26295.0	14642.0	25072.0	26739.0	25283.0	15248.0	20420.0	24392.0	15079.0	17179.0	27485.0	21844.0	25575.0	18038.0	25727.0	19014.0	21629.0	25560.0
LiJ_2014__V1.FI14__bin.47	29494.0	34966.0	30758.0	36872.0	30851.0	38442.0	38078.0	35215.0	35759.0	30969.0	33851.0	40396.0	34925.0	35326.0	41241.0	29364.0	25251.0	0.0	31663.0	40350.0	25040.0	28187.0	41571.0	36640.0	21820.0	32199.0	33546.0	13964.0	25478.0	41589.0	24303.0	36749.0	26496.0	37418.0	29283.0	30287.0	39238.0
LeChatelierE_2013__MH0126__bin.27	28728.0	30207.0	27616.0	30952.0	25554.0	33349.0	33339.0	32840.0	30995.0	28787.0	29683.0	31249.0	30035.0	28124.0	33343.0	961.0	21637.0	31663.0	0.0	31105.0	21193.0	22906.0	31201.0	31908.0	19797.0	26468.0	30185.0	11743.0	23189.0	35026.0	21140.0	33911.0	23942.0	31339.0	28030.0	28212.0	33580.0
CosteaPI_2017__SID713B066-11-0-0__bin.77	33496.0	37853.0	32312.0	37186.0	29693.0	39746.0	40212.0	39960.0	38068.0	32346.0	32067.0	40415.0	35619.0	36103.0	42347.0	28934.0	26295.0	40350.0	31105.0	0.0	25832.0	29378.0	223.0	38620.0	22332.0	32381.0	34404.0	14505.0	26354.0	42789.0	26153.0	39170.0	27623.0	37211.0	30756.0	31543.0	40666.0
BritoIL_2016__WL.37.ST__bin.22	24351.0	25039.0	22965.0	24605.0	18817.0	26536.0	25475.0	26142.0	25002.0	22552.0	22515.0	22589.0	22741.0	22689.0	24901.0	20097.0	14642.0	25040.0	21193.0	25832.0	0.0	19435.0	26174.0	25749.0	16937.0	21170.0	23752.0	8564.0	19372.0	26880.0	17085.0	26566.0	20424.0	23414.0	21925.0	22233.0	26328.0
CosteaPI_2017__SID713A051-11-90-0__bin.31	23482.0	26401.0	24361.0	25558.0	21886.0	28029.0	28445.0	27230.0	26665.0	22370.0	25223.0	29108.0	24606.0	25925.0	30278.0	21229.0	25072.0	28187.0	22906.0	29378.0	19435.0	0.0	29855.0	26787.0	16204.0	22646.0	25115.0	169.0	18300.0	31233.0	23043.0	27862.0	20237.0	26838.0	21253.0	23595.0	28972.0
CosteaPI_2017__SID713B066-11-90-0__bin.4	33415.0	38235.0	32241.0	38001.0	31032.0	41147.0	41109.0	40723.0	38387.0	32552.0	32346.0	41350.0	36898.0	36089.0	43541.0	29143.0	26739.0	41571.0	31201.0	223.0	26174.0	29855.0	0.0	38932.0	22506.0	32206.0	34562.0	14451.0	27066.0	44010.0	26341.0	39643.0	27609.0	38370.0	30802.0	31888.0	41302.0
ZeeviD_2015__PNP_Main_683__bin.4	30291.0	34588.0	31261.0	35955.0	28908.0	38017.0	37298.0	36389.0	35411.0	31721.0	34327.0	38247.0	31648.0	34406.0	38797.0	29764.0	25283.0	36640.0	31908.0	38620.0	25749.0	26787.0	38932.0	0.0	22210.0	30496.0	32016.0	13526.0	22381.0	40198.0	23041.0	37311.0	26268.0	36475.0	24973.0	30122.0	37216.0
XieH_2016__YSZC12003_35980__bin.54	19284.0	20895.0	20791.0	21667.0	18507.0	22570.0	22339.0	22040.0	21971.0	18185.0	20840.0	23027.0	20301.0	21316.0	23030.0	18402.0	15248.0	21820.0	19797.0	22332.0	16937.0	16204.0	22506.0	22210.0	0.0	20029.0	20605.0	8811.0	16752.0	24523.0	14460.0	22715.0	17556.0	22683.0	18824.0	19078.0	22938.0
LiuW_2016__SRR3993041__bin.58	28655.0	30148.0	28895.0	30656.0	24007.0	32229.0	33286.0	32300.0	30865.0	27557.0	29377.0	28365.0	29320.0	29621.0	33631.0	24972.0	20420.0	32199.0	26468.0	32381.0	21170.0	22646.0	32206.0	30496.0	20029.0	0.0	29828.0	10563.0	22290.0	33884.0	20860.0	32162.0	25429.0	30339.0	25528.0	27325.0	33253.0
CosteaPI_2017__SID713B072-11-0-0__bin.26	29333.0	32076.0	29700.0	32512.0	28541.0	34119.0	34038.0	33128.0	32157.0	29148.0	31897.0	35765.0	30371.0	33019.0	35860.0	28556.0	24392.0	33546.0	30185.0	34404.0	23752.0	25115.0	34562.0	32016.0	20605.0	29828.0	0.0	13670.0	22555.0	36209.0	21549.0	35040.0	25848.0	33812.0	25364.0	30492.0	34599.0
CosteaPI_2017__SID713A051-11-0-0__bin.2	10679.0	13454.0	10864.0	13795.0	9966.0	14638.0	14989.0	14440.0	14224.0	10484.0	12587.0	14954.0	12892.0	13387.0	15101.0	10568.0	15079.0	13964.0	11743.0	14505.0	8564.0	169.0	14451.0	13526.0	8811.0	10563.0	13670.0	0.0	9610.0	17430.0	10683.0	14316.0	10280.0	13793.0	10747.0	11874.0	14880.0
NielsenHB_2014__MH0117__bin.3	20014.0	24022.0	21710.0	26768.0	23007.0	26869.0	25781.0	25615.0	24435.0	22860.0	24536.0	25659.0	20410.0	24244.0	27187.0	22500.0	17179.0	25478.0	23189.0	26354.0	19372.0	18300.0	27066.0	22381.0	16752.0	22290.0	22555.0	9610.0	0.0	27876.0	15995.0	26373.0	19108.0	26710.0	991.0	22745.0	25142.0
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.63	34508.0	37920.0	30007.0	37728.0	33139.0	43415.0	42638.0	41695.0	38166.0	32842.0	37184.0	40768.0	34998.0	37972.0	44128.0	32648.0	27485.0	41589.0	35026.0	42789.0	26880.0	31233.0	44010.0	40198.0	24523.0	33884.0	36209.0	17430.0	27876.0	0.0	25372.0	41971.0	29350.0	39417.0	31499.0	33442.0	41752.0
Bengtsson-PalmeJ_2015__TRAVELRES49__bin.8	20747.0	22952.0	22190.0	23786.0	19401.0	24793.0	24908.0	23384.0	450.0	19933.0	23046.0	26795.0	22041.0	23135.0	26333.0	19580.0	21844.0	24303.0	21140.0	26153.0	17085.0	23043.0	26341.0	23041.0	14460.0	20860.0	21549.0	10683.0	15995.0	25372.0	0.0	24803.0	17335.0	24180.0	18808.0	20621.0	25494.0
BackhedF_2015__SID566_M__bin.39	33228.0	35073.0	31883.0	37572.0	30186.0	39770.0	40054.0	39271.0	36307.0	32265.0	34696.0	39501.0	34918.0	34834.0	39795.0	31307.0	25575.0	36749.0	33911.0	39170.0	26566.0	27862.0	39643.0	37311.0	22715.0	32162.0	35040.0	14316.0	26373.0	41971.0	24803.0	0.0	27886.0	37862.0	29278.0	31522.0	38067.0
CosteaPI_2017__SID713B063-11-0-0__bin.36	25130.0	26129.0	27183.0	25959.0	22909.0	26643.0	27189.0	27280.0	26114.0	24488.0	25182.0	29011.0	24863.0	27689.0	27966.0	23075.0	18038.0	26496.0	23942.0	27623.0	20424.0	20237.0	27609.0	26268.0	17556.0	25429.0	25848.0	10280.0	19108.0	29350.0	17335.0	27886.0	0.0	27236.0	21805.0	24605.0	29542.0
LeChatelierE_2013__MH0437__bin.18	31088.0	34940.0	29249.0	35506.0	27988.0	39075.0	38777.0	37190.0	35904.0	33295.0	33500.0	34807.0	34821.0	32252.0	40029.0	28954.0	25727.0	37418.0	31339.0	37211.0	23414.0	26838.0	38370.0	36475.0	22683.0	30339.0	33812.0	13793.0	26710.0	39417.0	24180.0	37862.0	27236.0	0.0	30171.0	31868.0	38479.0
LeChatelierE_2013__MH0117__bin.21	23258.0	27955.0	25560.0	29375.0	25077.0	29526.0	29244.0	29310.0	28497.0	25720.0	27587.0	29825.0	22578.0	28038.0	30183.0	26401.0	19014.0	29283.0	28030.0	30756.0	21925.0	21253.0	30802.0	24973.0	18824.0	25528.0	25364.0	10747.0	991.0	31499.0	18808.0	29278.0	21805.0	30171.0	0.0	25390.0	29013.0
LeChatelierE_2013__MH0409__bin.6	27400.0	29781.0	28586.0	29880.0	27066.0	31154.0	31633.0	30295.0	29618.0	28459.0	29475.0	32718.0	29624.0	29816.0	33109.0	26537.0	21629.0	30287.0	28212.0	31543.0	22233.0	23595.0	31888.0	30122.0	19078.0	27325.0	30492.0	11874.0	22745.0	33442.0	20621.0	31522.0	24605.0	31868.0	25390.0	0.0	32762.0
FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.35	33004.0	36963.0	33130.0	36569.0	30467.0	39473.0	38935.0	37399.0	37362.0	33288.0	36125.0	39449.0	33736.0	36111.0	42498.0	31405.0	25560.0	39238.0	33580.0	40666.0	26328.0	28972.0	41302.0	37216.0	22938.0	33253.0	34599.0	14880.0	25142.0	41752.0	25494.0	38067.0	29542.0	38479.0	29013.0	32762.0	0.0
