	LiJ_2014__V1.FI09__bin.34	HMP_2012__SRS011134__bin.88	RampelliS_2015__H10__bin.7	LiJ_2014__MH0303__bin.72	QinN_2014__HD-40__bin.75	CosteaPI_2017__SID713A005-11-0-0__bin.72	ZeeviD_2015__PNP_Main_25__bin.24	ZeeviD_2015__PNP_Main_531__bin.11	Bengtsson-PalmeJ_2015__TRAVELRES50__bin.84	VogtmannE_2016__MMRS34569532ST-27-0-0__bin.51	CosteaPI_2017__SID713B014-11-0-0__bin.12	LiuW_2016__SRR3993055__bin.4	ZellerG_2014__CCIS74726977ST-3-0__bin.72	LiuW_2016__SRR3993034__bin.118	BritoIL_2016__M1.16.ST__bin.117	NielsenHB_2014__MH0126__bin.28	BritoIL_2016__M1.20.ST__bin.55	LiJ_2014__V1.FI14__bin.47	LeChatelierE_2013__MH0126__bin.27	CosteaPI_2017__SID713B066-11-0-0__bin.77	BritoIL_2016__WL.37.ST__bin.22	CosteaPI_2017__SID713A051-11-90-0__bin.31	CosteaPI_2017__SID713B066-11-90-0__bin.4	ZeeviD_2015__PNP_Main_683__bin.4	XieH_2016__YSZC12003_35980__bin.54	LiuW_2016__SRR3993041__bin.58	CosteaPI_2017__SID713B072-11-0-0__bin.26	CosteaPI_2017__SID713A051-11-0-0__bin.2	NielsenHB_2014__MH0117__bin.3	Bengtsson-PalmeJ_2015__TRAVELRES2__bin.63	Bengtsson-PalmeJ_2015__TRAVELRES49__bin.8	BackhedF_2015__SID566_M__bin.39	CosteaPI_2017__SID713B063-11-0-0__bin.36	LeChatelierE_2013__MH0437__bin.18	LeChatelierE_2013__MH0117__bin.21	LeChatelierE_2013__MH0409__bin.6	FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.35
CosteaPI_2017__SID713B014-11-0-0__bin.12	1431406.0	1569900.0	1295329.0	1583107.0	1386370.0	1704169.0	1682003.0	1650171.0	1646704.0	1340415.0	1908890.0	1663304.0	1495910.0	1600498.0	1735512.0	1390704.0	1095374.0	1543012.0	1486532.0	1735165.0	1190601.0	1175041.0	1761977.0	1621406.0	940279.0	1513497.0	1518619.0	579248.0	1151406.0	1595687.0	1131478.0	1634874.0	1320284.0	1639882.0	1298609.0	1365310.0	1671559.0
LiuW_2016__SRR3993055__bin.4	1549346.0	1724697.0	1391680.0	1707189.0	1434834.0	1823728.0	1825336.0	1802790.0	1729093.0	1434156.0	1663304.0	2094631.0	1600840.0	1755504.0	1860815.0	1461617.0	1177946.0	1752848.0	1571039.0	1911739.0	1255934.0	1364037.0	1926775.0	1757778.0	996291.0	1556927.0	1665059.0	691971.0	1164485.0	1729666.0	1197085.0	1772085.0	1438578.0	1715317.0	1377682.0	1478233.0	1803051.0
ZellerG_2014__CCIS74726977ST-3-0__bin.72	1413937.0	1509912.0	1265095.0	1576590.0	1294254.0	1667773.0	1620507.0	1598670.0	1515366.0	1353215.0	1495910.0	1600840.0	1878775.0	1498473.0	1684962.0	1334085.0	1133977.0	1591111.0	1440704.0	1670535.0	1105384.0	1195213.0	1706077.0	1619755.0	925705.0	1414465.0	1546482.0	619106.0	1209862.0	1539550.0	1028150.0	1593734.0	1297918.0	1646709.0	1357896.0	1380963.0	1588699.0
LiuW_2016__SRR3993034__bin.118	1476688.0	1628342.0	1374545.0	1631110.0	1350016.0	1700471.0	1708799.0	1678782.0	1641795.0	1360548.0	1600498.0	1755504.0	1498473.0	1884360.0	1771818.0	1383014.0	1118292.0	1621453.0	1483044.0	1773970.0	1228226.0	1267076.0	1773543.0	1668640.0	966258.0	1542297.0	1605337.0	635550.0	1132298.0	1639396.0	1129787.0	1663797.0	1407228.0	1633487.0	1329193.0	1410336.0	1709544.0
BritoIL_2016__M1.16.ST__bin.117	1612103.0	1775420.0	1439355.0	1834660.0	1485369.0	1894895.0	1868486.0	1827485.0	1767973.0	1453523.0	1735512.0	1860815.0	1684962.0	1771818.0	2200952.0	1478868.0	1324471.0	1788036.0	1592901.0	1934413.0	1308845.0	1379693.0	1967670.0	1805750.0	1023462.0	1604971.0	1664909.0	691021.0	1258382.0	1863964.0	1212170.0	1812182.0	1435342.0	1804424.0	1432051.0	1512636.0	1872333.0
NielsenHB_2014__MH0126__bin.28	1283313.0	1363197.0	1126576.0	1403617.0	1188117.0	1480776.0	1458572.0	1468472.0	1399292.0	1207328.0	1390704.0	1461617.0	1334085.0	1383014.0	1478868.0	1612764.0	959647.0	1361066.0	1578881.0	1532907.0	1031026.0	1040179.0	1538484.0	1418234.0	827927.0	1301014.0	1398328.0	513459.0	1030207.0	1380233.0	947609.0	1452305.0	1176322.0	1417135.0	1200639.0	1272592.0	1420060.0
BritoIL_2016__M1.20.ST__bin.55	947980.0	1114249.0	886471.0	1200375.0	960906.0	1223038.0	1191100.0	1180111.0	1177703.0	930056.0	1095374.0	1177946.0	1133977.0	1118292.0	1324471.0	959647.0	1333237.0	1114198.0	1034911.0	1214634.0	782670.0	1174488.0	1242295.0	1174037.0	676097.0	988363.0	1111071.0	692586.0	796109.0	1168274.0	1013623.0	1162668.0	944791.0	1169927.0	898545.0	1005067.0	1188369.0
LiJ_2014__V1.FI14__bin.47	1479580.0	1687622.0	1333796.0	1639899.0	1328651.0	1746637.0	1747072.0	1709246.0	1624227.0	1407004.0	1543012.0	1752848.0	1591111.0	1621453.0	1788036.0	1361066.0	1114198.0	2027989.0	1467137.0	1816127.0	1172314.0	1324365.0	1831205.0	1689718.0	987220.0	1502071.0	1576413.0	638441.0	1155790.0	1662100.0	1103827.0	1690400.0	1375071.0	1678562.0	1352226.0	1421189.0	1795753.0
LeChatelierE_2013__MH0126__bin.27	1372897.0	1465165.0	1214255.0	1505368.0	1265119.0	1600416.0	1576806.0	1579437.0	1514113.0	1278440.0	1486532.0	1571039.0	1440704.0	1483044.0	1592901.0	1578881.0	1034911.0	1467137.0	1732404.0	1649335.0	1096344.0	1122235.0	1651670.0	1521943.0	891064.0	1385625.0	1502119.0	570582.0	1087236.0	1484747.0	1021608.0	1552336.0	1247415.0	1531010.0	1280421.0	1354765.0	1531203.0
CosteaPI_2017__SID713B066-11-0-0__bin.77	1618468.0	1792527.0	1431098.0	1780392.0	1476224.0	1901389.0	1887314.0	1870719.0	1805391.0	1488811.0	1735165.0	1911739.0	1670535.0	1773970.0	1934413.0	1532907.0	1214634.0	1816127.0	1649335.0	2162175.0	1290979.0	1394783.0	2158100.0	1819824.0	1032860.0	1620890.0	1702543.0	699249.0	1243048.0	1812182.0	1249178.0	1840478.0	1450808.0	1767729.0	1461638.0	1508619.0	1879954.0
BritoIL_2016__WL.37.ST__bin.22	1109281.0	1171666.0	1005406.0	1199557.0	1032746.0	1270417.0	1241724.0	1236914.0	1184688.0	974637.0	1190601.0	1255934.0	1105384.0	1228226.0	1308845.0	1031026.0	782670.0	1172314.0	1096344.0	1290979.0	1367058.0	900798.0	1312086.0	1221068.0	727872.0	1112569.0	1133041.0	400250.0	894363.0	1200038.0	796261.0	1214169.0	1006701.0	1205290.0	1016319.0	1028697.0	1238091.0
CosteaPI_2017__SID713A051-11-90-0__bin.31	1117787.0	1284643.0	1034905.0	1251596.0	1046125.0	1339654.0	1349519.0	1329438.0	1276671.0	1058932.0	1175041.0	1364037.0	1195213.0	1267076.0	1379693.0	1040179.0	1174488.0	1324365.0	1122235.0	1394783.0	900798.0	1524752.0	1396668.0	1304468.0	736598.0	1100705.0	1218126.0	754710.0	834467.0	1256083.0	1097728.0	1309283.0	1076738.0	1235420.0	988987.0	1117206.0	1362225.0
CosteaPI_2017__SID713B066-11-90-0__bin.4	1616018.0	1794882.0	1428990.0	1810809.0	1518240.0	1937592.0	1902615.0	1877692.0	1805006.0	1489429.0	1761977.0	1926775.0	1706077.0	1773543.0	1967670.0	1538484.0	1242295.0	1831205.0	1651670.0	2158100.0	1312086.0	1396668.0	2297180.0	1824643.0	1031949.0	1617276.0	1699841.0	698220.0	1272791.0	1850048.0	1249962.0	1845248.0	1450990.0	1803169.0	1459208.0	1509725.0	1881695.0
ZeeviD_2015__PNP_Main_683__bin.4	1530684.0	1645502.0	1364336.0	1680742.0	1371922.0	1794720.0	1799359.0	1775609.0	1667029.0	1424435.0	1621406.0	1757778.0	1619755.0	1668640.0	1805750.0	1418234.0	1174037.0	1689718.0	1521943.0	1819824.0	1221068.0	1304468.0	1824643.0	2004032.0	1003587.0	1525345.0	1625243.0	668466.0	1210883.0	1674577.0	1110658.0	1752032.0	1410503.0	1675754.0	1404471.0	1459374.0	1745848.0
XieH_2016__YSZC12003_35980__bin.54	881736.0	959986.0	793321.0	977992.0	817192.0	1027328.0	1030948.0	1021927.0	1017986.0	836484.0	940279.0	996291.0	925705.0	966258.0	1023462.0	827927.0	676097.0	987220.0	891064.0	1032860.0	727872.0	736598.0	1031949.0	1003587.0	1123428.0	902313.0	956925.0	373836.0	709505.0	958078.0	685994.0	1009003.0	836375.0	984009.0	833656.0	884507.0	1008260.0
LiuW_2016__SRR3993041__bin.58	1361785.0	1457095.0	1256357.0	1486210.0	1252902.0	1577215.0	1578356.0	1552461.0	1511908.0	1255249.0	1513497.0	1556927.0	1414465.0	1542297.0	1604971.0	1301014.0	988363.0	1502071.0	1385625.0	1620890.0	1112569.0	1100705.0	1617276.0	1525345.0	902313.0	1711422.0	1452863.0	523014.0	1059629.0	1478983.0	1005189.0	1541149.0	1317990.0	1554187.0	1239771.0	1291782.0	1550236.0
CosteaPI_2017__SID713B072-11-0-0__bin.26	1435182.0	1556365.0	1299922.0	1579349.0	1286853.0	1695196.0	1660176.0	1652035.0	1572982.0	1371954.0	1518619.0	1665059.0	1546482.0	1605337.0	1664909.0	1398328.0	1111071.0	1576413.0	1502119.0	1702543.0	1133041.0	1218126.0	1699841.0	1625243.0	956925.0	1452863.0	1806097.0	658570.0	1159516.0	1546686.0	1054194.0	1632932.0	1375084.0	1592304.0	1338980.0	1435270.0	1647527.0
CosteaPI_2017__SID713A051-11-0-0__bin.2	512582.0	636159.0	459014.0	674073.0	496007.0	701651.0	696402.0	688432.0	658063.0	499459.0	579248.0	691971.0	619106.0	635550.0	691021.0	513459.0	692586.0	638441.0	570582.0	699249.0	400250.0	754710.0	698220.0	668466.0	373836.0	523014.0	658570.0	734909.0	429023.0	690153.0	489163.0	676861.0	546244.0	633053.0	493955.0	556240.0	687939.0
NielsenHB_2014__MH0117__bin.3	1066547.0	1136197.0	924994.0	1230752.0	1026306.0	1240472.0	1201924.0	1199943.0	1119695.0	997618.0	1151406.0	1164485.0	1209862.0	1132298.0	1258382.0	1030207.0	796109.0	1155790.0	1087236.0	1243048.0	894363.0	834467.0	1272791.0	1210883.0	709505.0	1059629.0	1159516.0	429023.0	1361697.0	1162021.0	723914.0	1196468.0	964285.0	1230716.0	1270484.0	1020462.0	1173946.0
Bengtsson-PalmeJ_2015__TRAVELRES2__bin.63	1478551.0	1628173.0	1325545.0	1703864.0	1370690.0	1764260.0	1741323.0	1713460.0	1602029.0	1326912.0	1595687.0	1729666.0	1539550.0	1639396.0	1863964.0	1380233.0	1168274.0	1662100.0	1484747.0	1812182.0	1200038.0	1256083.0	1850048.0	1674577.0	958078.0	1478983.0	1546686.0	690153.0	1162021.0	2028926.0	1059843.0	1692919.0	1341852.0	1672809.0	1342655.0	1391088.0	1710845.0
Bengtsson-PalmeJ_2015__TRAVELRES49__bin.8	998313.0	1138109.0	909948.0	1128495.0	939882.0	1164879.0	1167983.0	1154766.0	1351901.0	930391.0	1131478.0	1197085.0	1028150.0	1129787.0	1212170.0	947609.0	1013623.0	1103827.0	1021608.0	1249178.0	796261.0	1097728.0	1249962.0	1110658.0	685994.0	1005189.0	1054194.0	489163.0	723914.0	1059843.0	1408185.0	1146525.0	922762.0	1078113.0	879215.0	984573.0	1214376.0
BackhedF_2015__SID566_M__bin.39	1544613.0	1657581.0	1350302.0	1668405.0	1395914.0	1858506.0	1875676.0	1829463.0	1700443.0	1440084.0	1634874.0	1772085.0	1593734.0	1663797.0	1812182.0	1452305.0	1162668.0	1690400.0	1552336.0	1840478.0	1214169.0	1309283.0	1845248.0	1752032.0	1009003.0	1541149.0	1632932.0	676861.0	1196468.0	1692919.0	1146525.0	1992744.0	1413707.0	1693280.0	1374953.0	1473677.0	1753052.0
CosteaPI_2017__SID713B063-11-0-0__bin.36	1279607.0	1385814.0	1214793.0	1350164.0	1122055.0	1446386.0	1433968.0	1424946.0	1341976.0	1216102.0	1320284.0	1438578.0	1297918.0	1407228.0	1435342.0	1176322.0	944791.0	1375071.0	1247415.0	1450808.0	1006701.0	1076738.0	1450990.0	1410503.0	836375.0	1317990.0	1375084.0	546244.0	964285.0	1341852.0	922762.0	1413707.0	1549337.0	1356875.0	1124782.0	1256145.0	1452265.0
LeChatelierE_2013__MH0437__bin.18	1453519.0	1603081.0	1290353.0	1686054.0	1422658.0	1767245.0	1742770.0	1701949.0	1628423.0	1410287.0	1639882.0	1715317.0	1646709.0	1633487.0	1804424.0	1417135.0	1169927.0	1678562.0	1531010.0	1767729.0	1205290.0	1235420.0	1803169.0	1675754.0	984009.0	1554187.0	1592304.0	633053.0	1230716.0	1672809.0	1078113.0	1693280.0	1356875.0	2003514.0	1387114.0	1435166.0	1710812.0
LeChatelierE_2013__MH0117__bin.21	1260240.0	1345111.0	1096395.0	1396144.0	1141362.0	1417074.0	1394725.0	1391522.0	1325931.0	1163506.0	1298609.0	1377682.0	1357896.0	1329193.0	1432051.0	1200639.0	898545.0	1352226.0	1280421.0	1461638.0	1016319.0	988987.0	1459208.0	1404471.0	833656.0	1239771.0	1338980.0	493955.0	1270484.0	1342655.0	879215.0	1374953.0	1124782.0	1387114.0	1579991.0	1175881.0	1390527.0
LeChatelierE_2013__MH0409__bin.6	1296747.0	1412379.0	1218835.0	1414436.0	1171399.0	1506320.0	1499915.0	1489543.0	1419455.0	1297532.0	1365310.0	1478233.0	1380963.0	1410336.0	1512636.0	1272592.0	1005067.0	1421189.0	1354765.0	1508619.0	1028697.0	1117206.0	1509725.0	1459374.0	884507.0	1291782.0	1435270.0	556240.0	1020462.0	1391088.0	984573.0	1473677.0	1256145.0	1435166.0	1175881.0	1698500.0	1491254.0
FerrettiP_2018__CA_C10002MS2016FE_t0M15__bin.35	1546595.0	1776653.0	1405274.0	1698304.0	1387840.0	1833633.0	1805782.0	1780710.0	1742596.0	1470209.0	1671559.0	1803051.0	1588699.0	1709544.0	1872333.0	1420060.0	1188369.0	1795753.0	1531203.0	1879954.0	1238091.0	1362225.0	1881695.0	1745848.0	1008260.0	1550236.0	1647527.0	687939.0	1173946.0	1710845.0	1214376.0	1753052.0	1452265.0	1710812.0	1390527.0	1491254.0	2093310.0
