	ZeeviD_2015__PNP_Main_25__bin.48	BritoIL_2016__W1.31.ST__bin.11	BritoIL_2016__W2.4.ST__bin.23	BritoIL_2016__W1.15.ST__bin.6	BritoIL_2016__M1.63.ST__bin.48	BritoIL_2016__W1.2.ST__bin.4	LiSS_2016__FAT_DON_19-22-0-0__bin.12	Obregon-TitoAJ_2015__SM40__bin.4	Obregon-TitoAJ_2015__SM24__bin.27	BritoIL_2016__M1.15.ST__bin.93	BritoIL_2016__M2.3.ST__bin.58	BritoIL_2016__W2.65.ST__bin.32	BritoIL_2016__W2.46.ST__bin.68	SchirmerM_2016__G89062__bin.1	BritoIL_2016__W2.40.ST__bin.21	ZeeviD_2015__PNP_Main_37__bin.8	CosteaPI_2017__SID713A049-11-0-0__bin.49	BritoIL_2016__W3.19.ST__bin.44	BritoIL_2016__M1.20.ST__bin.14	Bengtsson-PalmeJ_2015__TRAVELRES20__bin.89	Obregon-TitoAJ_2015__SM29__bin.35	BritoIL_2016__W1.1.ST__bin.12	CM_madagascar__A56_01_1FE__bin.9	ZeeviD_2015__PNP_Main_455__bin.55	CM_madagascar__A32_01_1FE__bin.54	SmitsSA_2017__TZ_12739__bin.2	Obregon-TitoAJ_2015__SM42__bin.6	Obregon-TitoAJ_2015__HCO64__bin.33	BritoIL_2016__M1.59.ST__bin.3	ZeeviD_2015__PNP_Validation_30__bin.18	BritoIL_2016__M1.52.ST__bin.60	BritoIL_2016__W1.26.ST__bin.71	RampelliS_2015__H10__bin.28	Obregon-TitoAJ_2015__SM01__bin.19
BritoIL_2016__W2.40.ST__bin.21	33846.0	18512.0	30551.0	21403.0	24932.0	28220.0	29814.0	67340.0	23883.0	35067.0	2156.0	36234.0	36343.0	23453.0	0.0	35844.0	31222.0	25996.0	17001.0	20511.0	36463.0	25563.0	38165.0	36014.0	25598.0	30676.0	58702.0	36779.0	18622.0	33285.0	30312.0	36554.0	19385.0	37316.0
ZeeviD_2015__PNP_Main_37__bin.8	34321.0	22912.0	29592.0	22151.0	25879.0	36650.0	29692.0	65931.0	25492.0	36010.0	37142.0	37300.0	37544.0	24099.0	35844.0	0.0	31694.0	31494.0	20700.0	19715.0	37691.0	33240.0	41750.0	37794.0	27281.0	33274.0	63982.0	36532.0	19024.0	35514.0	31317.0	37943.0	20281.0	37383.0
CosteaPI_2017__SID713A049-11-0-0__bin.49	31056.0	21418.0	27697.0	20599.0	23662.0	32232.0	26920.0	56310.0	21981.0	31650.0	32450.0	33554.0	33637.0	22007.0	31222.0	31694.0	0.0	28708.0	19185.0	18133.0	33970.0	29527.0	36818.0	32995.0	25315.0	30218.0	53337.0	33100.0	17873.0	24798.0	28228.0	33892.0	19489.0	33206.0
BritoIL_2016__W3.19.ST__bin.44	30414.0	2163.0	30847.0	19268.0	22108.0	7739.0	26041.0	57969.0	18871.0	30309.0	25951.0	31217.0	31208.0	21145.0	25996.0	31494.0	28708.0	0.0	2107.0	20845.0	32448.0	7788.0	32773.0	31328.0	20827.0	25773.0	52014.0	31560.0	18088.0	29588.0	26263.0	32049.0	17375.0	32548.0
BritoIL_2016__M1.20.ST__bin.14	19972.0	284.0	17282.0	13505.0	15122.0	5557.0	17269.0	37810.0	13581.0	20551.0	17709.0	20660.0	20891.0	14195.0	17001.0	20700.0	19185.0	2107.0	0.0	11367.0	21886.0	5119.0	21430.0	21958.0	14067.0	16896.0	35923.0	20545.0	11423.0	19541.0	17660.0	21000.0	11218.0	21721.0
Bengtsson-PalmeJ_2015__TRAVELRES20__bin.89	19061.0	14102.0	20207.0	13498.0	15211.0	19373.0	16974.0	38747.0	10044.0	20486.0	20039.0	20510.0	20752.0	14329.0	20511.0	19715.0	18133.0	20845.0	11367.0	0.0	19670.0	18231.0	22425.0	20657.0	15509.0	17154.0	33712.0	20089.0	12696.0	19679.0	18277.0	20756.0	13468.0	20218.0
Obregon-TitoAJ_2015__SM29__bin.35	35752.0	23629.0	32103.0	23660.0	27275.0	38187.0	30792.0	55062.0	5068.0	37530.0	39418.0	40325.0	40345.0	24828.0	36463.0	37691.0	33970.0	32448.0	21886.0	19670.0	0.0	34525.0	42251.0	40357.0	27457.0	35141.0	53106.0	38950.0	19475.0	37952.0	32339.0	41802.0	20350.0	36831.0
BritoIL_2016__W1.1.ST__bin.12	31205.0	5485.0	27334.0	19668.0	23412.0	1114.0	26798.0	58349.0	22537.0	32082.0	26792.0	32843.0	32884.0	21889.0	25563.0	33240.0	29527.0	7788.0	5119.0	18231.0	34525.0	0.0	34060.0	34152.0	21924.0	26097.0	55797.0	33367.0	17896.0	31554.0	27794.0	33129.0	16859.0	33742.0
CM_madagascar__A56_01_1FE__bin.9	39297.0	23424.0	33067.0	23856.0	28255.0	37421.0	33099.0	68007.0	29641.0	38910.0	38956.0	40557.0	40754.0	26524.0	38165.0	41750.0	36818.0	32773.0	21430.0	22425.0	42251.0	34060.0	0.0	41414.0	25633.0	32769.0	64820.0	41385.0	21119.0	39444.0	33989.0	41288.0	19837.0	42721.0
ZeeviD_2015__PNP_Main_455__bin.55	35505.0	23470.0	30068.0	22390.0	26245.0	37553.0	21067.0	64082.0	26731.0	25551.0	37846.0	37519.0	37942.0	16440.0	36014.0	37794.0	32995.0	31328.0	21958.0	20657.0	40357.0	34152.0	41414.0	0.0	28253.0	32370.0	62405.0	37962.0	19331.0	37028.0	24778.0	38040.0	21144.0	38213.0
CM_madagascar__A32_01_1FE__bin.54	25542.0	16923.0	22658.0	16675.0	19779.0	24341.0	21844.0	47700.0	17906.0	26470.0	25936.0	26818.0	26967.0	18575.0	25598.0	27281.0	25315.0	20827.0	14067.0	15509.0	27457.0	21924.0	25633.0	28253.0	0.0	21150.0	44296.0	27067.0	15295.0	25968.0	23746.0	27000.0	15201.0	27772.0
SmitsSA_2017__TZ_12739__bin.2	32243.0	18543.0	26269.0	19885.0	23126.0	29014.0	26507.0	55369.0	23698.0	32743.0	32384.0	33275.0	33447.0	21165.0	30676.0	33274.0	30218.0	25773.0	16896.0	17154.0	35141.0	26097.0	32769.0	32370.0	21150.0	0.0	54246.0	32910.0	16907.0	31854.0	27249.0	34021.0	15252.0	34825.0
Obregon-TitoAJ_2015__SM42__bin.6	58620.0	37170.0	51174.0	36616.0	44438.0	61636.0	49245.0	1174.0	41733.0	60307.0	62436.0	63598.0	63946.0	40377.0	58702.0	63982.0	53337.0	52014.0	35923.0	33712.0	53106.0	55797.0	64820.0	62405.0	44296.0	54246.0	0.0	62806.0	33003.0	62943.0	53174.0	64426.0	30112.0	64411.0
Obregon-TitoAJ_2015__HCO64__bin.33	34517.0	22951.0	30749.0	22418.0	26531.0	36512.0	29340.0	64252.0	24955.0	35564.0	38011.0	38420.0	38465.0	24436.0	36779.0	36532.0	33100.0	31560.0	20545.0	20089.0	38950.0	33367.0	41385.0	37962.0	27067.0	32910.0	62806.0	0.0	19450.0	36489.0	30836.0	38814.0	20072.0	37142.0
BritoIL_2016__M1.59.ST__bin.3	18625.0	13698.0	102.0	154.0	169.0	19040.0	16081.0	34062.0	11142.0	18355.0	18748.0	110.0	135.0	13194.0	18622.0	19024.0	17873.0	18088.0	11423.0	12696.0	19475.0	17896.0	21119.0	19331.0	15295.0	16907.0	33003.0	19450.0	0.0	18624.0	17068.0	114.0	12824.0	19713.0
ZeeviD_2015__PNP_Validation_30__bin.18	33745.0	21900.0	29232.0	21941.0	25359.0	35431.0	28065.0	64452.0	25569.0	34765.0	35120.0	37031.0	37216.0	23016.0	33285.0	35514.0	24798.0	29588.0	19541.0	19679.0	37952.0	31554.0	39444.0	37028.0	25968.0	31854.0	62943.0	36489.0	18624.0	0.0	30185.0	37910.0	19073.0	36755.0
BritoIL_2016__M1.52.ST__bin.60	29659.0	20482.0	26307.0	18953.0	22080.0	30060.0	19793.0	57456.0	21531.0	24556.0	30827.0	31166.0	31068.0	17064.0	30312.0	31317.0	28228.0	26263.0	17660.0	18277.0	32339.0	27794.0	33989.0	24778.0	23746.0	27249.0	53174.0	30836.0	17068.0	30185.0	0.0	31537.0	17830.0	32393.0
BritoIL_2016__W1.26.ST__bin.71	36627.0	22940.0	200.0	291.0	280.0	36134.0	30148.0	66486.0	26854.0	35012.0	37746.0	233.0	298.0	24378.0	36554.0	37943.0	33892.0	32049.0	21000.0	20756.0	41802.0	33129.0	41288.0	38040.0	27000.0	34021.0	64426.0	38814.0	114.0	37910.0	31537.0	0.0	20123.0	39077.0
RampelliS_2015__H10__bin.28	19509.0	13599.0	18634.0	12920.0	15256.0	17850.0	17579.0	31190.0	10534.0	19739.0	19314.0	19930.0	20059.0	14383.0	19385.0	20281.0	19489.0	17375.0	11218.0	13468.0	20350.0	16859.0	19837.0	21144.0	15201.0	15252.0	30112.0	20072.0	12824.0	19073.0	17830.0	20123.0	0.0	20524.0
Obregon-TitoAJ_2015__SM01__bin.19	32369.0	23607.0	30739.0	23032.0	26693.0	37440.0	30992.0	67040.0	24550.0	36939.0	38665.0	38582.0	38665.0	24150.0	37316.0	37383.0	33206.0	32548.0	21721.0	20218.0	36831.0	33742.0	42721.0	38213.0	27772.0	34825.0	64411.0	37142.0	19713.0	36755.0	32393.0	39077.0	20524.0	0.0
