	VatanenT_2016__G78518__bin.7	XieH_2016__YSZC12003_37222__bin.70	XieH_2016__YSZC12003_37198R1__bin.35	FengQ_2015__SID31875__bin.81	BackhedF_2015__SID244_12M__bin.30	ZeeviD_2015__PNP_Main_120__bin.33	KarlssonFH_2013__S195__bin.50	KarlssonFH_2013__S347__bin.23	NielsenHB_2014__V1_UC12_0__bin.18	LiSS_2016__FAT_024-22-42-0__bin.42	XieH_2016__YSZC12003_35551__bin.38	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.32	KarlssonFH_2013__S131__bin.18	HMP_2012__SRS062427__bin.9	CosteaPI_2017__daisy-11-7-0__bin.15	BackhedF_2015__SID637_12M__bin.11	LeChatelierE_2013__MH0067__bin.22	XieH_2016__YSZC12003_36697__bin.29	NielsenHB_2014__O2_UC56_2__bin.28	CosteaPI_2017__daisy-11-60-0__bin.48	CosteaPI_2017__daisy-11-2-0__bin.19	ZeeviD_2015__PNP_Main_318__bin.41	HMP_2012__SRS019397__bin.17	HMP_2012__SRS015960__bin.17	HMP_2012__SRS056259__bin.14	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.21	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.35	CosteaPI_2017__daisy-11-0-0__bin.59	HMP_2012__SRS043001__bin.11	Obregon-TitoAJ_2015__NO16__bin.20	NielsenHB_2014__MH0067__bin.16	LoombaR_2017__SID1015_aao__bin.28	NielsenHB_2014__O2_UC59_2__bin.8	HMP_2012__SRS053335__bin.28
XieH_2016__YSZC12003_35551__bin.38	1033199.0	1382676.0	1274273.0	1443489.0	1365935.0	1383099.0	1348230.0	1437988.0	1357335.0	1307427.0	1609219.0	1413033.0	1422759.0	1404097.0	1164986.0	1390963.0	1429007.0	1485385.0	1432081.0	1424416.0	1420977.0	991647.0	1397557.0	1381937.0	1382333.0	936735.0	1400565.0	1051261.0	1277305.0	1043897.0	1304230.0	1167730.0	1403241.0	1407952.0
VogtmannE_2016__MMRS61683006ST-27-0-0__bin.32	1039756.0	1325820.0	1220153.0	1433292.0	1308751.0	1353612.0	1273188.0	1428831.0	1300929.0	1261829.0	1413033.0	1589662.0	1393782.0	1341297.0	1173196.0	1355391.0	1423001.0	1434992.0	1442762.0	1421990.0	1419218.0	968744.0	1334166.0	1340401.0	1340997.0	912208.0	1336973.0	1059143.0	1230786.0	996968.0	1302676.0	1140825.0	1422612.0	1371051.0
KarlssonFH_2013__S131__bin.18	1032803.0	1367327.0	1243860.0	1409186.0	1347470.0	1362566.0	1275106.0	1423894.0	1339516.0	1291716.0	1422759.0	1393782.0	1571577.0	1373913.0	1162868.0	1366593.0	1412022.0	1425468.0	1441950.0	1431327.0	1428804.0	973683.0	1377635.0	1373358.0	1374982.0	908800.0	1379338.0	1052707.0	1258903.0	1027060.0	1286452.0	1150013.0	1392075.0	1376676.0
HMP_2012__SRS062427__bin.9	1001122.0	1474191.0	1368170.0	1372478.0	1397432.0	1317081.0	1258219.0	1401379.0	1402693.0	1365230.0	1404097.0	1341297.0	1373913.0	1650632.0	1161199.0	1455080.0	1372696.0	1402309.0	1382774.0	1398324.0	1397383.0	1022485.0	1442376.0	1476291.0	1477635.0	1062629.0	1460763.0	1031787.0	1317411.0	1130787.0	1250263.0	1216982.0	1356391.0	1435740.0
CosteaPI_2017__daisy-11-7-0__bin.15	899316.0	1121685.0	1035633.0	1175412.0	1116232.0	1125287.0	1068673.0	1183408.0	1104866.0	1076528.0	1164986.0	1173196.0	1162868.0	1161199.0	1317553.0	1155016.0	1179978.0	1196683.0	1191304.0	1253168.0	1251800.0	814831.0	1137971.0	1136086.0	1136789.0	848055.0	1132255.0	997520.0	1038038.0	860304.0	1088441.0	978052.0	1191343.0	1135467.0
BackhedF_2015__SID637_12M__bin.11	992467.0	1446847.0	1281667.0	1355519.0	1428602.0	1303839.0	1228122.0	1411067.0	1421405.0	1368068.0	1390963.0	1355391.0	1366593.0	1455080.0	1155016.0	1732567.0	1366921.0	1402082.0	1385803.0	1393316.0	1392588.0	1049569.0	1440210.0	1412625.0	1411439.0	980844.0	1452053.0	1031850.0	1350906.0	1096367.0	1240691.0	1200105.0	1344095.0	1537762.0
LeChatelierE_2013__MH0067__bin.22	1040297.0	1364357.0	1241242.0	1445976.0	1340420.0	1376639.0	1275524.0	1438363.0	1337407.0	1292748.0	1429007.0	1423001.0	1412022.0	1372696.0	1179978.0	1366921.0	1548610.0	1434313.0	1450875.0	1448042.0	1447384.0	992749.0	1367763.0	1366942.0	1367883.0	915485.0	1372509.0	1062108.0	1264227.0	1026392.0	1394604.0	1156712.0	1411621.0	1391809.0
XieH_2016__YSZC12003_36697__bin.29	1036308.0	1376890.0	1269384.0	1445630.0	1349650.0	1380666.0	1307864.0	1464908.0	1342954.0	1300999.0	1485385.0	1434992.0	1425468.0	1402309.0	1196683.0	1402082.0	1434313.0	1626607.0	1442211.0	1474116.0	1469231.0	989399.0	1385806.0	1376998.0	1381844.0	943311.0	1381872.0	1083678.0	1282954.0	1052573.0	1301202.0	1166944.0	1434626.0	1394569.0
NielsenHB_2014__O2_UC56_2__bin.28	1065746.0	1370592.0	1255466.0	1450919.0	1351608.0	1377379.0	1279128.0	1443738.0	1362131.0	1295701.0	1432081.0	1442762.0	1441950.0	1382774.0	1191304.0	1385803.0	1450875.0	1442211.0	1659413.0	1458406.0	1457025.0	984983.0	1373080.0	1377543.0	1378623.0	920758.0	1372156.0	1063808.0	1269658.0	1026931.0	1323909.0	1156088.0	1425702.0	1402985.0
CosteaPI_2017__daisy-11-60-0__bin.48	1039501.0	1368654.0	1249190.0	1436324.0	1347096.0	1378699.0	1282132.0	1456359.0	1336495.0	1296589.0	1424416.0	1421990.0	1431327.0	1398324.0	1253168.0	1393316.0	1448042.0	1474116.0	1458406.0	1559672.0	1567899.0	979294.0	1374170.0	1377162.0	1377278.0	933543.0	1371575.0	1126904.0	1264902.0	1045288.0	1317962.0	1157893.0	1444457.0	1379322.0
CosteaPI_2017__daisy-11-2-0__bin.19	1037643.0	1363243.0	1249526.0	1433550.0	1347139.0	1377416.0	1280652.0	1455755.0	1333846.0	1294042.0	1420977.0	1419218.0	1428804.0	1397383.0	1251800.0	1392588.0	1447384.0	1469231.0	1457025.0	1567899.0	1553282.0	978665.0	1370007.0	1374656.0	1378605.0	934052.0	1368612.0	1128307.0	1263395.0	1042537.0	1317656.0	1156629.0	1444247.0	1375114.0
ZeeviD_2015__PNP_Main_318__bin.41	719422.0	1030371.0	927735.0	965874.0	1006091.0	928693.0	890838.0	994178.0	1030906.0	995049.0	991647.0	968744.0	973683.0	1022485.0	814831.0	1049569.0	992749.0	989399.0	984983.0	979294.0	978665.0	1095204.0	1025114.0	1003650.0	1004792.0	706980.0	1024310.0	732822.0	1006148.0	793753.0	913804.0	858454.0	953233.0	1062830.0
HMP_2012__SRS019397__bin.17	1002560.0	1457548.0	1295632.0	1398488.0	1393546.0	1320164.0	1230680.0	1367280.0	1409947.0	1341565.0	1397557.0	1334166.0	1377635.0	1442376.0	1137971.0	1440210.0	1367763.0	1385806.0	1373080.0	1374170.0	1370007.0	1025114.0	1568156.0	1422092.0	1422826.0	956420.0	1453306.0	1009914.0	1339968.0	1078156.0	1246892.0	1218150.0	1353106.0	1450058.0
HMP_2012__SRS015960__bin.17	996099.0	1455178.0	1396872.0	1375239.0	1382768.0	1319343.0	1230383.0	1379791.0	1376616.0	1328426.0	1381937.0	1340401.0	1373358.0	1476291.0	1136086.0	1412625.0	1366942.0	1376998.0	1377543.0	1377162.0	1374656.0	1003650.0	1422092.0	1634704.0	1600841.0	968199.0	1439996.0	1009382.0	1296055.0	1079764.0	1246051.0	1210111.0	1327104.0	1412728.0
HMP_2012__SRS056259__bin.14	997617.0	1457173.0	1415366.0	1376116.0	1391310.0	1321466.0	1229509.0	1382548.0	1377585.0	1330334.0	1382333.0	1340997.0	1374982.0	1477635.0	1136789.0	1411439.0	1367883.0	1381844.0	1378623.0	1377278.0	1378605.0	1004792.0	1422826.0	1600841.0	1574367.0	973173.0	1438506.0	1008834.0	1296155.0	1078810.0	1246758.0	1212866.0	1328607.0	1408667.0
VogtmannE_2016__MMRS91297590ST-27-0-0__bin.21	800810.0	966568.0	905255.0	915355.0	937648.0	873338.0	898640.0	939935.0	936276.0	934135.0	936735.0	912208.0	908800.0	1062629.0	848055.0	980844.0	915485.0	943311.0	920758.0	933543.0	934052.0	706980.0	956420.0	968199.0	973173.0	1114567.0	968806.0	848438.0	861366.0	724164.0	850093.0	881749.0	920370.0	955596.0
VogtmannE_2016__MMRS64281211ST-27-0-0__bin.35	999817.0	1451838.0	1313219.0	1379913.0	1428924.0	1321167.0	1230391.0	1372459.0	1425041.0	1371393.0	1400565.0	1336973.0	1379338.0	1460763.0	1132255.0	1452053.0	1372509.0	1381872.0	1372156.0	1371575.0	1368612.0	1024310.0	1453306.0	1439996.0	1438506.0	968806.0	1535245.0	1006698.0	1333056.0	1092716.0	1247942.0	1217144.0	1330873.0	1449700.0
CosteaPI_2017__daisy-11-0-0__bin.59	869526.0	999314.0	918678.0	1056522.0	991776.0	1010903.0	998190.0	1069404.0	982330.0	963458.0	1051261.0	1059143.0	1052707.0	1031787.0	997520.0	1031850.0	1062108.0	1083678.0	1063808.0	1126904.0	1128307.0	732822.0	1009914.0	1009382.0	1008834.0	848438.0	1006698.0	1153346.0	916912.0	753825.0	993108.0	915093.0	1082138.0	1007514.0
HMP_2012__SRS043001__bin.11	897434.0	1336976.0	1188078.0	1247075.0	1302443.0	1201975.0	1126231.0	1277638.0	1321442.0	1264271.0	1277305.0	1230786.0	1258903.0	1317411.0	1038038.0	1350906.0	1264227.0	1282954.0	1269658.0	1264902.0	1263395.0	1006148.0	1339968.0	1296055.0	1296155.0	861366.0	1333056.0	916912.0	1404563.0	1072089.0	1151676.0	1103287.0	1217266.0	1367262.0
Obregon-TitoAJ_2015__NO16__bin.20	731707.0	1090861.0	982347.0	1016623.0	1043215.0	1008589.0	920864.0	1050741.0	1043948.0	985493.0	1043897.0	996968.0	1027060.0	1130787.0	860304.0	1096367.0	1026392.0	1052573.0	1026931.0	1045288.0	1042537.0	793753.0	1078156.0	1079764.0	1078810.0	724164.0	1092716.0	753825.0	1072089.0	1180848.0	928174.0	894890.0	1012473.0	1079370.0
NielsenHB_2014__MH0067__bin.16	967383.0	1243169.0	1137467.0	1322949.0	1217478.0	1254438.0	1175691.0	1304116.0	1218836.0	1184491.0	1304230.0	1302676.0	1286452.0	1250263.0	1088441.0	1240691.0	1394604.0	1301202.0	1323909.0	1317962.0	1317656.0	913804.0	1246892.0	1246051.0	1246758.0	850093.0	1247942.0	993108.0	1151676.0	928174.0	1429014.0	1061904.0	1296081.0	1265588.0
LoombaR_2017__SID1015_aao__bin.28	888762.0	1240532.0	1110295.0	1157504.0	1169884.0	1109776.0	1059053.0	1151432.0	1178950.0	1145208.0	1167730.0	1140825.0	1150013.0	1216982.0	978052.0	1200105.0	1156712.0	1166944.0	1156088.0	1157893.0	1156629.0	858454.0	1218150.0	1210111.0	1212866.0	881749.0	1217144.0	915093.0	1103287.0	894890.0	1061904.0	1386835.0	1131939.0	1201755.0
NielsenHB_2014__O2_UC59_2__bin.8	1033855.0	1314045.0	1219139.0	1447948.0	1299979.0	1363667.0	1266565.0	1412036.0	1291945.0	1257089.0	1403241.0	1422612.0	1392075.0	1356391.0	1191343.0	1344095.0	1411621.0	1434626.0	1425702.0	1444457.0	1444247.0	953233.0	1353106.0	1327104.0	1328607.0	920370.0	1330873.0	1082138.0	1217266.0	1012473.0	1296081.0	1131939.0	1621573.0	1341636.0
HMP_2012__SRS053335__bin.28	1002327.0	1446684.0	1288711.0	1376000.0	1439661.0	1314772.0	1234933.0	1399460.0	1447034.0	1382780.0	1407952.0	1371051.0	1376676.0	1435740.0	1135467.0	1537762.0	1391809.0	1394569.0	1402985.0	1379322.0	1375114.0	1062830.0	1450058.0	1412728.0	1408667.0	955596.0	1449700.0	1007514.0	1367262.0	1079370.0	1265588.0	1201755.0	1341636.0	1607825.0
