	VatanenT_2016__G78518__bin.7	XieH_2016__YSZC12003_37222__bin.70	XieH_2016__YSZC12003_37198R1__bin.35	FengQ_2015__SID31875__bin.81	BackhedF_2015__SID244_12M__bin.30	ZeeviD_2015__PNP_Main_120__bin.33	KarlssonFH_2013__S195__bin.50	KarlssonFH_2013__S347__bin.23	NielsenHB_2014__V1_UC12_0__bin.18	LiSS_2016__FAT_024-22-42-0__bin.42	XieH_2016__YSZC12003_35551__bin.38	VogtmannE_2016__MMRS61683006ST-27-0-0__bin.32	KarlssonFH_2013__S131__bin.18	HMP_2012__SRS062427__bin.9	CosteaPI_2017__daisy-11-7-0__bin.15	BackhedF_2015__SID637_12M__bin.11	LeChatelierE_2013__MH0067__bin.22	XieH_2016__YSZC12003_36697__bin.29	NielsenHB_2014__O2_UC56_2__bin.28	CosteaPI_2017__daisy-11-60-0__bin.48	CosteaPI_2017__daisy-11-2-0__bin.19	ZeeviD_2015__PNP_Main_318__bin.41	HMP_2012__SRS019397__bin.17	HMP_2012__SRS015960__bin.17	HMP_2012__SRS056259__bin.14	VogtmannE_2016__MMRS91297590ST-27-0-0__bin.21	VogtmannE_2016__MMRS64281211ST-27-0-0__bin.35	CosteaPI_2017__daisy-11-0-0__bin.59	HMP_2012__SRS043001__bin.11	Obregon-TitoAJ_2015__NO16__bin.20	NielsenHB_2014__MH0067__bin.16	LoombaR_2017__SID1015_aao__bin.28	NielsenHB_2014__O2_UC59_2__bin.8	HMP_2012__SRS053335__bin.28
XieH_2016__YSZC12003_35551__bin.38	6042.0	27149.0	26428.0	10309.0	22705.0	9203.0	5964.0	7866.0	26214.0	24722.0	0.0	9463.0	10487.0	31244.0	8455.0	28145.0	10013.0	9893.0	9090.0	10176.0	10083.0	17415.0	24985.0	32419.0	32426.0	20508.0	30780.0	7638.0	21852.0	19047.0	9217.0	25137.0	9944.0	27854.0
VogtmannE_2016__MMRS61683006ST-27-0-0__bin.32	6260.0	26163.0	26218.0	10363.0	21522.0	9057.0	7924.0	7440.0	23906.0	23080.0	9463.0	0.0	7988.0	30119.0	7615.0	26327.0	10874.0	10010.0	10612.0	8882.0	8975.0	17188.0	23251.0	32888.0	32895.0	19913.0	28235.0	6416.0	21146.0	18376.0	9854.0	23767.0	8650.0	26999.0
KarlssonFH_2013__S131__bin.18	5601.0	27960.0	26700.0	8981.0	23312.0	9990.0	8106.0	9289.0	25259.0	25631.0	10487.0	7988.0	0.0	31528.0	6712.0	27366.0	9546.0	10159.0	9083.0	8038.0	8009.0	17170.0	25884.0	33696.0	33881.0	20279.0	29509.0	5610.0	21996.0	19099.0	8929.0	23839.0	8148.0	26544.0
HMP_2012__SRS062427__bin.9	22034.0	14042.0	12553.0	31592.0	23827.0	30697.0	27529.0	32130.0	23959.0	22759.0	31244.0	30119.0	31528.0	0.0	25841.0	20024.0	31404.0	33049.0	30159.0	32439.0	32467.0	12419.0	23788.0	18119.0	17827.0	694.0	21595.0	23404.0	18772.0	11163.0	27032.0	14565.0	32067.0	20457.0
CosteaPI_2017__daisy-11-7-0__bin.15	5595.0	21695.0	22062.0	8972.0	19145.0	7267.0	6579.0	8749.0	21172.0	20512.0	8455.0	7615.0	6712.0	25841.0	0.0	22432.0	8138.0	8465.0	8463.0	651.0	527.0	14434.0	21488.0	27439.0	27393.0	18393.0	23566.0	716.0	17158.0	15682.0	7482.0	20452.0	8572.0	21598.0
BackhedF_2015__SID637_12M__bin.11	19021.0	19724.0	16392.0	27110.0	15450.0	28549.0	23929.0	28026.0	14142.0	14063.0	28145.0	26327.0	27366.0	20024.0	22432.0	0.0	27433.0	28451.0	26515.0	27190.0	27395.0	4788.0	19022.0	23053.0	23132.0	14073.0	14795.0	19553.0	11728.0	9615.0	23458.0	18055.0	26963.0	5626.0
LeChatelierE_2013__MH0067__bin.22	5600.0	27934.0	26167.0	11201.0	23442.0	9796.0	8184.0	9208.0	26276.0	24659.0	10013.0	10874.0	9546.0	31404.0	8138.0	27433.0	0.0	10696.0	9425.0	9173.0	9264.0	18962.0	24486.0	31575.0	31526.0	21282.0	29926.0	7094.0	22541.0	18956.0	604.0	25151.0	11619.0	27579.0
XieH_2016__YSZC12003_36697__bin.29	6008.0	28671.0	28665.0	9720.0	23453.0	10600.0	7800.0	10528.0	25038.0	24912.0	9893.0	10010.0	10159.0	33049.0	8465.0	28451.0	10696.0	0.0	10598.0	10630.0	10635.0	18554.0	26593.0	34482.0	34773.0	22554.0	31051.0	7739.0	22248.0	20487.0	9532.0	25939.0	11416.0	28003.0
NielsenHB_2014__O2_UC56_2__bin.28	5536.0	26660.0	25675.0	10867.0	22226.0	9401.0	8442.0	8894.0	25190.0	23600.0	9090.0	10612.0	9083.0	30159.0	8463.0	26515.0	9425.0	10598.0	0.0	9938.0	9758.0	16691.0	24647.0	32041.0	32120.0	20687.0	28536.0	7298.0	21185.0	19084.0	8707.0	23803.0	10626.0	26766.0
CosteaPI_2017__daisy-11-60-0__bin.48	6072.0	27597.0	26960.0	10344.0	23361.0	8159.0	7291.0	10333.0	26158.0	25202.0	10176.0	8882.0	8038.0	32439.0	651.0	27190.0	9173.0	10630.0	9938.0	0.0	187.0	17530.0	25801.0	33712.0	33617.0	21106.0	30011.0	410.0	22181.0	19545.0	8241.0	24751.0	9365.0	26774.0
CosteaPI_2017__daisy-11-2-0__bin.19	5728.0	27128.0	27263.0	10205.0	23583.0	8243.0	7352.0	10614.0	25840.0	25063.0	10083.0	8975.0	8009.0	32467.0	527.0	27395.0	9264.0	10635.0	9758.0	187.0	0.0	17606.0	25482.0	33630.0	34136.0	21391.0	30067.0	570.0	22099.0	19420.0	8299.0	24582.0	9435.0	26459.0
ZeeviD_2015__PNP_Main_318__bin.41	11828.0	12257.0	11346.0	16841.0	8533.0	17743.0	15046.0	17679.0	10569.0	8545.0	17415.0	17188.0	17170.0	12419.0	14434.0	4788.0	18962.0	18554.0	16691.0	17530.0	17606.0	0.0	11798.0	14698.0	14542.0	8300.0	10274.0	12622.0	9150.0	8308.0	16368.0	11293.0	18460.0	4601.0
HMP_2012__SRS019397__bin.17	17328.0	20470.0	21217.0	24543.0	17040.0	25121.0	21629.0	23630.0	14545.0	15523.0	24985.0	23251.0	25884.0	23788.0	21488.0	19022.0	24486.0	26593.0	24647.0	25801.0	25482.0	11798.0	0.0	26101.0	26088.0	17041.0	20443.0	18212.0	13448.0	11874.0	21411.0	20465.0	26173.0	19317.0
HMP_2012__SRS015960__bin.17	23293.0	17785.0	8574.0	34338.0	26210.0	32608.0	29075.0	33328.0	25859.0	23628.0	32419.0	32888.0	33696.0	18119.0	27439.0	23053.0	31575.0	34482.0	32041.0	33712.0	33630.0	14698.0	26101.0	0.0	498.0	12331.0	25926.0	24750.0	20274.0	13967.0	27284.0	16100.0	32811.0	23006.0
HMP_2012__SRS056259__bin.14	23366.0	17819.0	8615.0	34464.0	27346.0	32919.0	28950.0	33660.0	25911.0	23772.0	32426.0	32895.0	33881.0	17827.0	27393.0	23132.0	31526.0	34773.0	32120.0	33617.0	34136.0	14542.0	26088.0	498.0	0.0	12298.0	25824.0	24543.0	20113.0	14071.0	27275.0	16251.0	32794.0	23038.0
VogtmannE_2016__MMRS91297590ST-27-0-0__bin.21	17335.0	9801.0	8352.0	21274.0	17056.0	19840.0	18902.0	21377.0	16778.0	16116.0	20508.0	19913.0	20279.0	694.0	18393.0	14073.0	21282.0	22554.0	20687.0	21106.0	21391.0	8300.0	17041.0	12331.0	12298.0	0.0	14606.0	18082.0	11840.0	6783.0	18868.0	10998.0	20886.0	14312.0
VogtmannE_2016__MMRS64281211ST-27-0-0__bin.35	20917.0	21608.0	19515.0	30671.0	19219.0	30647.0	25797.0	29071.0	14014.0	15350.0	30780.0	28235.0	29509.0	21595.0	23566.0	14795.0	29926.0	31051.0	28536.0	30011.0	30067.0	10274.0	20443.0	25926.0	25824.0	14606.0	0.0	21433.0	14932.0	12339.0	25956.0	19325.0	29078.0	16738.0
CosteaPI_2017__daisy-11-0-0__bin.59	4882.0	20076.0	19824.0	7796.0	16777.0	6094.0	6282.0	7857.0	18418.0	17392.0	7638.0	6416.0	5610.0	23404.0	716.0	19553.0	7094.0	7739.0	7298.0	410.0	570.0	12622.0	18212.0	24750.0	24543.0	18082.0	21433.0	0.0	14925.0	13501.0	7141.0	19484.0	7144.0	19092.0
HMP_2012__SRS043001__bin.11	14628.0	17066.0	16612.0	20791.0	10609.0	21255.0	19140.0	21646.0	10570.0	8909.0	21852.0	21146.0	21996.0	18772.0	17158.0	11728.0	22541.0	22248.0	21185.0	22181.0	22099.0	9150.0	13448.0	20274.0	20113.0	11840.0	14932.0	14925.0	0.0	13275.0	19159.0	15486.0	21136.0	12385.0
Obregon-TitoAJ_2015__NO16__bin.20	12910.0	12972.0	10911.0	18693.0	13052.0	19756.0	16370.0	19540.0	12443.0	12149.0	19047.0	18376.0	19099.0	11163.0	15682.0	9615.0	18956.0	20487.0	19084.0	19545.0	19420.0	8308.0	11874.0	13967.0	14071.0	6783.0	12339.0	13501.0	13275.0	0.0	15417.0	12609.0	20324.0	11241.0
NielsenHB_2014__MH0067__bin.16	5254.0	24215.0	22213.0	10042.0	20450.0	8407.0	7432.0	8580.0	23117.0	21832.0	9217.0	9854.0	8929.0	27032.0	7482.0	23458.0	604.0	9532.0	8707.0	8241.0	8299.0	16368.0	21411.0	27284.0	27275.0	18868.0	25956.0	7141.0	19159.0	15417.0	0.0	22046.0	10837.0	23994.0
LoombaR_2017__SID1015_aao__bin.28	17990.0	11150.0	11809.0	25782.0	19616.0	24080.0	22542.0	24256.0	19546.0	18743.0	25137.0	23767.0	23839.0	14565.0	20452.0	18055.0	25151.0	25939.0	23803.0	24751.0	24582.0	11293.0	20465.0	16100.0	16251.0	10998.0	19325.0	19484.0	15486.0	12609.0	22046.0	0.0	25139.0	17359.0
NielsenHB_2014__O2_UC59_2__bin.8	6985.0	26963.0	26098.0	11542.0	22429.0	9325.0	9545.0	9205.0	24675.0	24205.0	9944.0	8650.0	8148.0	32067.0	8572.0	26963.0	11619.0	11416.0	10626.0	9365.0	9435.0	18460.0	26173.0	32811.0	32794.0	20886.0	29078.0	7144.0	21136.0	20324.0	10837.0	25139.0	0.0	26892.0
HMP_2012__SRS053335__bin.28	18636.0	20219.0	17423.0	27504.0	15633.0	28561.0	23827.0	26810.0	15279.0	13957.0	27854.0	26999.0	26544.0	20457.0	21598.0	5626.0	27579.0	28003.0	26766.0	26774.0	26459.0	4601.0	19317.0	23006.0	23038.0	14312.0	16738.0	19092.0	12385.0	11241.0	23994.0	17359.0	26892.0	0.0
