	NielsenHB_2014__O2_UC40_2__bin.23	XieH_2016__YSZC12003_36525__bin.8	HMP_2012__SRS011134__bin.15	BritoIL_2016__W1.27.ST__bin.1	ZeeviD_2015__PNP_Main_396__bin.77	LiJ_2014__MH0378__bin.31	ZeeviD_2015__PNP_Main_100__bin.9	ZellerG_2014__CCIS25399172ST-4-0__bin.32	LiJ_2014__O2.UC40-1__bin.93	ZellerG_2014__CCIS38765456ST-20-0__bin.8	NielsenHB_2014__V1_UC37_0__bin.17	ZeeviD_2015__PNP_Validation_3__bin.20	NielsenHB_2014__O2_UC40_0__bin.26	XieH_2016__YSZC12003_35391__bin.11	HMP_2012__SRS022609__bin.67	ZeeviD_2015__PNP_Main_473__bin.12	NielsenHB_2014__V1_CD29_0__bin.45	ZeeviD_2015__PNP_Validation_29__bin.13	XieH_2016__YSZC12003_35740__bin.120	ZeeviD_2015__PNP_Main_619__bin.16	HMP_2012__SRS011061__bin.29	XieH_2016__YSZC12003_35520__bin.90	LeChatelierE_2013__MH0198__bin.6	QinJ_2012__T2D-033__bin.32	XieH_2016__YSZC12003_37331__bin.7	ZellerG_2014__CCIS09568613ST-4-0__bin.28	ZeeviD_2015__PNP_Main_575__bin.29	ZellerG_2014__CCIS90443472ST-4-0__bin.80	ZeeviD_2015__PNP_Main_215__bin.8
NielsenHB_2014__V1_UC37_0__bin.17	2171558.0	1814443.0	2107836.0	1880166.0	2122120.0	2067559.0	1359133.0	2145355.0	1884353.0	2154354.0	2386239.0	2096767.0	2096661.0	2092007.0	2079841.0	2115296.0	1963439.0	2142334.0	1994171.0	1819269.0	2068378.0	1920411.0	2103231.0	2035001.0	2074813.0	2184545.0	1945339.0	2152156.0	1963213.0
ZeeviD_2015__PNP_Validation_3__bin.20	2216156.0	1810226.0	2111592.0	1868930.0	2116752.0	2030204.0	1338090.0	2195744.0	1940409.0	2189133.0	2096767.0	2474507.0	2118617.0	2093689.0	2081912.0	2248059.0	1881981.0	2109270.0	1950189.0	1774528.0	2033317.0	1928322.0	2124411.0	1998201.0	2075632.0	2165129.0	1975025.0	2149931.0	1985467.0
NielsenHB_2014__O2_UC40_0__bin.26	2356846.0	1761727.0	2078565.0	1875581.0	2063738.0	2051507.0	1336526.0	2159731.0	2110036.0	2136975.0	2096661.0	2118617.0	2315416.0	2050335.0	2039417.0	2110632.0	1886313.0	2099378.0	1928055.0	1763970.0	2042844.0	1888275.0	2084340.0	1968457.0	2065804.0	2147349.0	1907028.0	2120065.0	1942663.0
XieH_2016__YSZC12003_35391__bin.11	2155277.0	1832090.0	2083697.0	1846045.0	2079767.0	2019573.0	1360961.0	2117927.0	1898333.0	2117739.0	2092007.0	2093689.0	2050335.0	2453332.0	2074798.0	2105059.0	1894539.0	2124674.0	1966830.0	1801143.0	2068609.0	1910213.0	2145818.0	2035610.0	2131411.0	2135399.0	1935681.0	2136887.0	1942184.0
HMP_2012__SRS022609__bin.67	2122023.0	1824999.0	2330002.0	1882336.0	2071584.0	1988596.0	1339158.0	2114498.0	1899871.0	2111065.0	2079841.0	2081912.0	2039417.0	2074798.0	2353289.0	2103042.0	1894745.0	2067679.0	1932582.0	1767940.0	2027487.0	1945384.0	2079795.0	1990470.0	2094546.0	2114665.0	1945862.0	2110265.0	1919443.0
ZeeviD_2015__PNP_Main_473__bin.12	2207710.0	1826667.0	2140686.0	1894187.0	2141922.0	2032757.0	1346515.0	2174255.0	1936173.0	2197543.0	2115296.0	2248059.0	2110632.0	2105059.0	2103042.0	2394645.0	1904596.0	2132528.0	1971660.0	1794705.0	2058637.0	1960747.0	2153715.0	2017132.0	2099074.0	2184455.0	1954960.0	2162722.0	1985526.0
NielsenHB_2014__V1_CD29_0__bin.45	1954924.0	1767145.0	1914035.0	1785378.0	1934269.0	1814803.0	1233517.0	1926953.0	1883424.0	1912440.0	1963439.0	1881981.0	1886313.0	1894539.0	1894745.0	1904596.0	2139159.0	1945205.0	1765419.0	1623065.0	1846464.0	1870540.0	1914426.0	1826087.0	1881288.0	1975333.0	1929326.0	1924316.0	1722697.0
ZeeviD_2015__PNP_Validation_29__bin.13	2192524.0	1800510.0	2099410.0	1886807.0	2153271.0	2025945.0	1349707.0	2140305.0	1910395.0	2135576.0	2142334.0	2109270.0	2099378.0	2124674.0	2067679.0	2132528.0	1945205.0	2415953.0	2010181.0	1847770.0	2070794.0	1925292.0	2114498.0	2016985.0	2074437.0	2231653.0	1956660.0	2145115.0	1974881.0
XieH_2016__YSZC12003_35740__bin.120	2048012.0	1649337.0	1960570.0	1717138.0	1962746.0	1900454.0	1237868.0	2000613.0	1762271.0	1955988.0	1994171.0	1950189.0	1928055.0	1966830.0	1932582.0	1971660.0	1765419.0	2010181.0	2285619.0	1680625.0	1885575.0	1766532.0	1984630.0	1859399.0	1913223.0	2024564.0	1794959.0	1994441.0	1893015.0
ZeeviD_2015__PNP_Main_619__bin.16	1838746.0	1553176.0	1797706.0	1591161.0	1808952.0	1743216.0	1183232.0	1817398.0	1590872.0	1807957.0	1819269.0	1774528.0	1763970.0	1801143.0	1767940.0	1794705.0	1623065.0	1847770.0	1680625.0	2011831.0	1783967.0	1642485.0	1781945.0	1734499.0	1783642.0	1834927.0	1621952.0	1815897.0	1646064.0
HMP_2012__SRS011061__bin.29	2092715.0	1773524.0	2063291.0	1861707.0	2056108.0	1976139.0	1346868.0	2083520.0	1841024.0	2076386.0	2068378.0	2033317.0	2042844.0	2068609.0	2027487.0	2058637.0	1846464.0	2070794.0	1885575.0	1783967.0	2222805.0	1863558.0	2053349.0	1970355.0	2030322.0	2111115.0	1868956.0	2088746.0	1892552.0
XieH_2016__YSZC12003_35520__bin.90	1974150.0	1768629.0	1963012.0	1805645.0	1928140.0	1823158.0	1223398.0	1948449.0	1905063.0	1945219.0	1920411.0	1928322.0	1888275.0	1910213.0	1945384.0	1960747.0	1870540.0	1925292.0	1766532.0	1642485.0	1863558.0	2098707.0	1945381.0	1842862.0	1916250.0	1985221.0	1893478.0	1963779.0	1752854.0
LeChatelierE_2013__MH0198__bin.6	2186875.0	1825126.0	2109666.0	1892740.0	2142628.0	2027817.0	1355645.0	2156055.0	1922215.0	2133116.0	2103231.0	2124411.0	2084340.0	2145818.0	2079795.0	2153715.0	1914426.0	2114498.0	1984630.0	1781945.0	2053349.0	1945381.0	2624650.0	2042675.0	2121040.0	2168442.0	1970251.0	2149875.0	1966689.0
QinJ_2012__T2D-033__bin.32	2049478.0	1758868.0	2012845.0	1814214.0	2023676.0	1968657.0	1322423.0	2042464.0	1806122.0	2036858.0	2035001.0	1998201.0	1968457.0	2035610.0	1990470.0	2017132.0	1826087.0	2016985.0	1859399.0	1734499.0	1970355.0	1842862.0	2042675.0	2232681.0	2020565.0	2050800.0	1881105.0	2039264.0	1873454.0
XieH_2016__YSZC12003_37331__bin.7	2137558.0	1813090.0	2108462.0	1847130.0	2083768.0	2022383.0	1351947.0	2108814.0	1879705.0	2129593.0	2074813.0	2075632.0	2065804.0	2131411.0	2094546.0	2099074.0	1881288.0	2074437.0	1913223.0	1783642.0	2030322.0	1916250.0	2121040.0	2020565.0	2373773.0	2119878.0	1923848.0	2118780.0	1908817.0
ZellerG_2014__CCIS09568613ST-4-0__bin.28	2238102.0	1853061.0	2150109.0	1928396.0	2212991.0	2069109.0	1383505.0	2198621.0	1956433.0	2183581.0	2184545.0	2165129.0	2147349.0	2135399.0	2114665.0	2184455.0	1975333.0	2231653.0	2024564.0	1834927.0	2111115.0	1985221.0	2168442.0	2050800.0	2119878.0	2445469.0	2011228.0	2229932.0	2039233.0
ZeeviD_2015__PNP_Main_575__bin.29	1998316.0	1795762.0	1957258.0	1833558.0	1946997.0	1854015.0	1254484.0	1971405.0	1910895.0	1959744.0	1945339.0	1975025.0	1907028.0	1935681.0	1945862.0	1954960.0	1929326.0	1956660.0	1794959.0	1621952.0	1868956.0	1893478.0	1970251.0	1881105.0	1923848.0	2011228.0	2257664.0	1995000.0	1769913.0
ZellerG_2014__CCIS90443472ST-4-0__bin.80	2222467.0	1844537.0	2146923.0	1919614.0	2137852.0	2081272.0	1370709.0	2176929.0	1938964.0	2175830.0	2152156.0	2149931.0	2120065.0	2136887.0	2110265.0	2162722.0	1924316.0	2145115.0	1994441.0	1815897.0	2088746.0	1963779.0	2149875.0	2039264.0	2118780.0	2229932.0	1995000.0	2463770.0	2035268.0
ZeeviD_2015__PNP_Main_215__bin.8	2058072.0	1650881.0	1952979.0	1726864.0	2005516.0	1893594.0	1251054.0	2020302.0	1767894.0	1971657.0	1963213.0	1985467.0	1942663.0	1942184.0	1919443.0	1985526.0	1722697.0	1974881.0	1893015.0	1646064.0	1892552.0	1752854.0	1966689.0	1873454.0	1908817.0	2039233.0	1769913.0	2035268.0	2354332.0
