	NielsenHB_2014__O2_UC40_2__bin.23	XieH_2016__YSZC12003_36525__bin.8	HMP_2012__SRS011134__bin.15	BritoIL_2016__W1.27.ST__bin.1	ZeeviD_2015__PNP_Main_396__bin.77	LiJ_2014__MH0378__bin.31	ZeeviD_2015__PNP_Main_100__bin.9	ZellerG_2014__CCIS25399172ST-4-0__bin.32	LiJ_2014__O2.UC40-1__bin.93	ZellerG_2014__CCIS38765456ST-20-0__bin.8	NielsenHB_2014__V1_UC37_0__bin.17	ZeeviD_2015__PNP_Validation_3__bin.20	NielsenHB_2014__O2_UC40_0__bin.26	XieH_2016__YSZC12003_35391__bin.11	HMP_2012__SRS022609__bin.67	ZeeviD_2015__PNP_Main_473__bin.12	NielsenHB_2014__V1_CD29_0__bin.45	ZeeviD_2015__PNP_Validation_29__bin.13	XieH_2016__YSZC12003_35740__bin.120	ZeeviD_2015__PNP_Main_619__bin.16	HMP_2012__SRS011061__bin.29	XieH_2016__YSZC12003_35520__bin.90	LeChatelierE_2013__MH0198__bin.6	QinJ_2012__T2D-033__bin.32	XieH_2016__YSZC12003_37331__bin.7	ZellerG_2014__CCIS09568613ST-4-0__bin.28	ZeeviD_2015__PNP_Main_575__bin.29	ZellerG_2014__CCIS90443472ST-4-0__bin.80	ZeeviD_2015__PNP_Main_215__bin.8
NielsenHB_2014__V1_UC37_0__bin.17	18052.0	16033.0	15715.0	15128.0	15663.0	22001.0	9809.0	17685.0	16133.0	17521.0	0.0	17237.0	17490.0	15836.0	15971.0	16845.0	11224.0	14728.0	16527.0	10502.0	11417.0	11925.0	16897.0	18204.0	18408.0	14369.0	14977.0	12656.0	16646.0
ZeeviD_2015__PNP_Validation_3__bin.20	20925.0	18042.0	18549.0	17430.0	17989.0	21961.0	12092.0	21440.0	18692.0	11022.0	17237.0	0.0	17474.0	20909.0	18997.0	1027.0	15770.0	18782.0	20510.0	14012.0	15059.0	14988.0	21259.0	21198.0	21014.0	19359.0	20318.0	16895.0	21322.0
NielsenHB_2014__O2_UC40_0__bin.26	308.0	17128.0	18033.0	16684.0	16661.0	23147.0	12434.0	11937.0	278.0	18128.0	17490.0	17474.0	0.0	18072.0	17901.0	17825.0	16200.0	17648.0	18325.0	13739.0	15548.0	14999.0	18768.0	19952.0	20683.0	17563.0	17841.0	17366.0	16673.0
XieH_2016__YSZC12003_35391__bin.11	21462.0	12253.0	16182.0	14573.0	17318.0	25233.0	11386.0	19129.0	20241.0	21236.0	15836.0	20909.0	18072.0	0.0	16785.0	19688.0	15843.0	18696.0	20335.0	12590.0	14708.0	14654.0	15861.0	15488.0	16108.0	18867.0	19555.0	18478.0	20262.0
HMP_2012__SRS022609__bin.67	18466.0	16858.0	322.0	15682.0	16839.0	20824.0	9867.0	18746.0	17431.0	17968.0	15971.0	18997.0	17901.0	16785.0	0.0	17517.0	14750.0	16321.0	17199.0	11765.0	12892.0	14634.0	19301.0	19622.0	21013.0	16635.0	18435.0	16151.0	18496.0
ZeeviD_2015__PNP_Main_473__bin.12	18113.0	18136.0	18098.0	17335.0	17584.0	21941.0	11400.0	18458.0	16223.0	10730.0	16845.0	1027.0	17825.0	19688.0	17517.0	0.0	15039.0	17030.0	17812.0	13378.0	15201.0	15190.0	21191.0	20509.0	21003.0	17508.0	17078.0	16741.0	17563.0
NielsenHB_2014__V1_CD29_0__bin.45	16741.0	15252.0	15014.0	13842.0	13461.0	19781.0	8841.0	16412.0	16572.0	17248.0	11224.0	15770.0	16200.0	15843.0	14750.0	15039.0	0.0	14194.0	14777.0	9189.0	9903.0	10920.0	16824.0	17305.0	17234.0	14575.0	14616.0	11269.0	15170.0
ZeeviD_2015__PNP_Validation_29__bin.13	19541.0	15363.0	15931.0	14642.0	15046.0	22548.0	7252.0	20174.0	18363.0	19152.0	14728.0	18782.0	17648.0	18696.0	16321.0	17030.0	14194.0	0.0	17727.0	9090.0	11344.0	12461.0	16767.0	18121.0	18199.0	17238.0	15400.0	15378.0	18847.0
XieH_2016__YSZC12003_35740__bin.120	22945.0	15194.0	16405.0	14716.0	17761.0	18583.0	10416.0	22315.0	20865.0	18205.0	16527.0	20510.0	18325.0	20335.0	17199.0	17812.0	14777.0	17727.0	0.0	13499.0	13634.0	14298.0	21274.0	19302.0	18931.0	17293.0	17960.0	18737.0	18315.0
ZeeviD_2015__PNP_Main_619__bin.16	15282.0	13262.0	11778.0	11234.0	11480.0	19684.0	6643.0	14502.0	14003.0	15340.0	10502.0	14012.0	13739.0	12590.0	11765.0	13378.0	9189.0	9090.0	13499.0	0.0	7306.0	8663.0	13217.0	14215.0	15146.0	9958.0	10479.0	11613.0	14050.0
HMP_2012__SRS011061__bin.29	16216.0	15156.0	13098.0	13334.0	11954.0	21437.0	8071.0	15757.0	15053.0	16707.0	11417.0	15059.0	15548.0	14708.0	12892.0	15201.0	9903.0	11344.0	13634.0	7306.0	0.0	10415.0	15688.0	17039.0	16605.0	11343.0	13356.0	12448.0	14706.0
XieH_2016__YSZC12003_35520__bin.90	15720.0	15232.0	14792.0	13815.0	11793.0	19509.0	7415.0	14721.0	15576.0	15940.0	11925.0	14988.0	14999.0	14654.0	14634.0	15190.0	10920.0	12461.0	14298.0	8663.0	10415.0	0.0	16417.0	16821.0	16889.0	12611.0	11925.0	12607.0	14733.0
LeChatelierE_2013__MH0198__bin.6	21906.0	12673.0	18568.0	15519.0	18483.0	25984.0	10976.0	21879.0	19996.0	21127.0	16897.0	21259.0	18768.0	15861.0	19301.0	21191.0	16824.0	16767.0	21274.0	13217.0	15688.0	16417.0	0.0	16014.0	15854.0	19131.0	19693.0	19687.0	23263.0
QinJ_2012__T2D-033__bin.32	20698.0	13446.0	19641.0	14514.0	19744.0	26337.0	10743.0	20672.0	18884.0	22121.0	18204.0	21198.0	19952.0	15488.0	19622.0	20509.0	17305.0	18121.0	19302.0	14215.0	17039.0	16821.0	16014.0	0.0	17471.0	20109.0	19679.0	17900.0	21007.0
XieH_2016__YSZC12003_37331__bin.7	20956.0	14049.0	21029.0	14970.0	19004.0	26399.0	11126.0	19955.0	19246.0	22323.0	18408.0	21014.0	20683.0	16108.0	21013.0	21003.0	17234.0	18199.0	18931.0	15146.0	16605.0	16889.0	15854.0	17471.0	0.0	19116.0	18009.0	18938.0	19949.0
ZellerG_2014__CCIS09568613ST-4-0__bin.28	19580.0	17340.0	15880.0	14778.0	15025.0	22957.0	10948.0	19118.0	18276.0	18972.0	14369.0	19359.0	17563.0	18867.0	16635.0	17508.0	14575.0	17238.0	17293.0	9958.0	11343.0	12611.0	19131.0	20109.0	19116.0	0.0	19410.0	16573.0	18778.0
ZeeviD_2015__PNP_Main_575__bin.29	21306.0	15679.0	17271.0	15456.0	13888.0	18480.0	6650.0	19434.0	20597.0	19661.0	14977.0	20318.0	17841.0	19555.0	18435.0	17078.0	14616.0	15400.0	17960.0	10479.0	13356.0	11925.0	19693.0	19679.0	18009.0	19410.0	0.0	17940.0	18318.0
ZellerG_2014__CCIS90443472ST-4-0__bin.80	20639.0	16233.0	16342.0	13944.0	14695.0	22332.0	9181.0	17668.0	19282.0	17293.0	12656.0	16895.0	17366.0	18478.0	16151.0	16741.0	11269.0	15378.0	18737.0	11613.0	12448.0	12607.0	19687.0	17900.0	18938.0	16573.0	17940.0	0.0	21170.0
ZeeviD_2015__PNP_Main_215__bin.8	20286.0	15994.0	17859.0	15635.0	18180.0	16530.0	11156.0	21034.0	18775.0	17686.0	16646.0	21322.0	16673.0	20262.0	18496.0	17563.0	15170.0	18847.0	18315.0	14050.0	14706.0	14733.0	23263.0	21007.0	19949.0	18778.0	18318.0	21170.0	0.0
