	HMP_2012__SRS024561__bin.10	HMP_2012__SRS055450__bin.3	HMP_2012__SRS022725__bin.69	HMP_2012__SRS011126__bin.17	HMP_2012__SRS018665__bin.22	HMP_2012__SRS013170__bin.26	HMP_2012__SRS015989__bin.4	HMP_2012__SRS065310__bin.4	HMP_2012__SRS013949__bin.36	HMP_2012__SRS015574__bin.2	HMP_2012__SRS017227__bin.77	HMP_2012__SRS017511__bin.29	HMP_2012__SRS011343__bin.4	HMP_2012__SRS014690__bin.45	HMP_2012__SRS047113__bin.20	HMP_2012__SRS063603__bin.83	HMP_2012__SRS018975__bin.44	HMP_2012__SRS015803__bin.9	HMP_2012__SRS014691__bin.4	HMP_2012__SRS019129__bin.15	HMP_2012__SRS054430__bin.1	HMP_2012__SRS014578__bin.23	HMP_2012__SRS016746__bin.27	HMP_2012__SRS055378__bin.12	HMP_2012__SRS015044__bin.36	HMP_2012__SRS064449__bin.5	HMP_2012__SRS049318__bin.21	HMP_2012__SRS063999__bin.42	HMP_2012__SRS021477__bin.5	HMP_2012__SRS018573__bin.17	HMP_2012__SRS015899__bin.12	HMP_2012__SRS022602__bin.26	HMP_2012__SRS023964__bin.27	HMP_2012__SRS024649__bin.51	HMP_2012__SRS016043__bin.36	HMP_2012__SRS047634__bin.69	HMP_2012__SRS017445__bin.35	HMP_2012__SRS020226__bin.29	HMP_2012__SRS045197__bin.68	HMP_2012__SRS024289__bin.20	HMP_2012__SRS018157__bin.38	HMP_2012__SRS011255__bin.52	HMP_2012__SRS024381__bin.23	HMP_2012__SRS075410__bin.10	HMP_2012__SRS012285__bin.18
HMP_2012__SRS017511__bin.29	1119018.0	1491523.0	1454013.0	1462074.0	1502375.0	1509434.0	1487015.0	1359586.0	1361647.0	1516359.0	1386238.0	1795091.0	1545029.0	1488541.0	1458822.0	1321719.0	1477319.0	1339560.0	927672.0	1502484.0	1425431.0	1141656.0	1160934.0	1429736.0	1446093.0	1517656.0	1439686.0	1299331.0	1530165.0	1229927.0	1498069.0	1446663.0	1253390.0	1458374.0	1503023.0	1486432.0	932489.0	1501421.0	1303311.0	1519125.0	1502464.0	1533817.0	1532119.0	1468381.0	1509859.0
HMP_2012__SRS011343__bin.4	1189241.0	1647459.0	1597137.0	1601304.0	1664533.0	1666310.0	1649861.0	1516601.0	1557594.0	1719860.0	1477152.0	1545029.0	1900351.0	1613738.0	1538932.0	1434090.0	1619403.0	1438443.0	1018053.0	1700740.0	1584524.0	1221717.0	1249196.0	1530445.0	1584578.0	1649308.0	1563158.0	1395102.0	1678871.0	1357374.0	1647837.0	1581519.0	1365149.0	1613877.0	1671432.0	1612407.0	994819.0	1651367.0	1403674.0	1809769.0	1637742.0	1681226.0	1674603.0	1621968.0	1687855.0
HMP_2012__SRS014690__bin.45	1171383.0	1672857.0	1642084.0	1596623.0	1736477.0	1629762.0	1692933.0	1535626.0	1518643.0	1707885.0	1436336.0	1488541.0	1613738.0	1814341.0	1519615.0	1376361.0	1671740.0	1497459.0	1069195.0	1691240.0	1545708.0	1199636.0	1299929.0	1529393.0	1581082.0	1669810.0	1567811.0	1380337.0	1702406.0	1397636.0	1691234.0	1507536.0	1362838.0	1519742.0	1679627.0	1580938.0	991803.0	1702997.0	1375492.0	1686002.0	1600990.0	1710751.0	1739061.0	1667114.0	1687614.0
HMP_2012__SRS047113__bin.20	1158756.0	1534891.0	1488923.0	1494616.0	1544253.0	1531952.0	1539554.0	1400384.0	1419596.0	1554180.0	1430264.0	1458822.0	1538932.0	1519615.0	1661092.0	1313751.0	1515649.0	1372391.0	959083.0	1543446.0	1447436.0	1162110.0	1180748.0	1452850.0	1481161.0	1548887.0	1472674.0	1330998.0	1567055.0	1260320.0	1538513.0	1442873.0	1291712.0	1462828.0	1581875.0	1498659.0	921002.0	1539334.0	1285626.0	1554647.0	1509661.0	1589398.0	1568509.0	1510535.0	1557411.0
HMP_2012__SRS063603__bin.83	1071244.0	1385879.0	1362195.0	1368968.0	1391281.0	1412481.0	1391996.0	1281962.0	1272569.0	1417008.0	1298713.0	1321719.0	1434090.0	1376361.0	1313751.0	1570333.0	1376557.0	1244993.0	937380.0	1398887.0	1333045.0	1076313.0	1062504.0	1318675.0	1378323.0	1395450.0	1343878.0	1210471.0	1403300.0	1152863.0	1387061.0	1330646.0	1197843.0	1358349.0	1379821.0	1401936.0	866581.0	1398374.0	1230221.0	1413796.0	1406185.0	1394433.0	1413271.0	1355770.0	1403541.0
HMP_2012__SRS018975__bin.44	1160071.0	1738928.0	1704572.0	1612407.0	1713333.0	1655759.0	1743579.0	1581707.0	1536629.0	1752777.0	1426518.0	1477319.0	1619403.0	1671740.0	1515649.0	1376557.0	1831979.0	1521016.0	1017339.0	1738054.0	1581703.0	1199136.0	1282027.0	1509108.0	1588726.0	1721717.0	1563796.0	1365001.0	1769257.0	1417037.0	1791142.0	1497635.0	1340425.0	1526654.0	1727733.0	1577672.0	981497.0	1756227.0	1376046.0	1732069.0	1603372.0	1739071.0	1774972.0	1711692.0	1734086.0
HMP_2012__SRS015803__bin.9	1075596.0	1538453.0	1497397.0	1437884.0	1512384.0	1466129.0	1522790.0	1379044.0	1365070.0	1534191.0	1307633.0	1339560.0	1438443.0	1497459.0	1372391.0	1244993.0	1521016.0	1644519.0	944917.0	1510187.0	1401603.0	1090034.0	1162304.0	1370788.0	1407191.0	1516169.0	1409386.0	1231982.0	1558965.0	1236894.0	1544192.0	1343628.0	1210920.0	1371899.0	1519590.0	1419436.0	907445.0	1546044.0	1225891.0	1513448.0	1431256.0	1535951.0	1569143.0	1490699.0	1515159.0
HMP_2012__SRS014691__bin.4	807957.0	1011761.0	992956.0	980928.0	1046463.0	1015090.0	1023257.0	936996.0	933789.0	1031048.0	948200.0	927672.0	1018053.0	1069195.0	959083.0	937380.0	1017339.0	944917.0	1084414.0	1019260.0	966009.0	825541.0	833259.0	970507.0	997327.0	1028381.0	980003.0	892687.0	1022384.0	878648.0	1026431.0	967347.0	878565.0	969942.0	1014002.0	995569.0	664481.0	1026767.0	916253.0	1014365.0	1002677.0	1028768.0	1041280.0	996886.0	1011764.0
HMP_2012__SRS019129__bin.15	1172606.0	1752117.0	1705882.0	1653018.0	1738362.0	1693130.0	1771451.0	1634732.0	1595423.0	1830080.0	1451838.0	1502484.0	1700740.0	1691240.0	1543446.0	1398887.0	1738054.0	1510187.0	1019260.0	1884091.0	1660779.0	1205771.0	1288523.0	1539276.0	1617889.0	1727721.0	1578563.0	1389247.0	1796138.0	1433532.0	1758972.0	1555012.0	1357798.0	1593962.0	1763997.0	1601091.0	1002108.0	1765170.0	1385320.0	1816618.0	1635140.0	1770708.0	1782397.0	1724506.0	1785426.0
HMP_2012__SRS054430__bin.1	1124431.0	1598865.0	1555185.0	1524861.0	1576564.0	1561587.0	1606676.0	1494519.0	1475852.0	1664180.0	1384270.0	1425431.0	1584524.0	1545708.0	1447436.0	1333045.0	1581703.0	1401603.0	966009.0	1660779.0	1803561.0	1158041.0	1206937.0	1447365.0	1502477.0	1593747.0	1479842.0	1306128.0	1631246.0	1307662.0	1599993.0	1459704.0	1268343.0	1502155.0	1608950.0	1507533.0	946566.0	1602571.0	1315404.0	1664555.0	1537965.0	1616512.0	1618201.0	1568174.0	1627514.0
HMP_2012__SRS014578__bin.23	961624.0	1206419.0	1162032.0	1173411.0	1217719.0	1207324.0	1208629.0	1100792.0	1125386.0	1214892.0	1150586.0	1141656.0	1221717.0	1199636.0	1162110.0	1076313.0	1199136.0	1090034.0	825541.0	1205771.0	1158041.0	1303934.0	968345.0	1156062.0	1192525.0	1216037.0	1173748.0	1111140.0	1220123.0	1009006.0	1207572.0	1171704.0	1054424.0	1187806.0	1204141.0	1187115.0	754296.0	1204129.0	1062850.0	1214212.0	1191122.0	1212053.0	1221596.0	1177619.0	1210631.0
HMP_2012__SRS016746__bin.27	932950.0	1291436.0	1256877.0	1230155.0	1298517.0	1253415.0	1294620.0	1197143.0	1181165.0	1307208.0	1127493.0	1160934.0	1249196.0	1299929.0	1180748.0	1062504.0	1282027.0	1162304.0	833259.0	1288523.0	1206937.0	968345.0	1410945.0	1184333.0	1206000.0	1285131.0	1214963.0	1083300.0	1303399.0	1053677.0	1296338.0	1174300.0	1043185.0	1189940.0	1291348.0	1224684.0	795627.0	1286928.0	1076772.0	1294408.0	1235749.0	1315533.0	1318531.0	1274842.0	1293387.0
HMP_2012__SRS055378__bin.12	1135844.0	1525723.0	1485234.0	1491994.0	1544900.0	1543403.0	1541598.0	1384927.0	1399332.0	1561457.0	1400134.0	1429736.0	1530445.0	1529393.0	1452850.0	1318675.0	1509108.0	1370788.0	970507.0	1539276.0	1447365.0	1156062.0	1184333.0	1609596.0	1488583.0	1562714.0	1499372.0	1320727.0	1557982.0	1274288.0	1527648.0	1453325.0	1293054.0	1469822.0	1522049.0	1515387.0	936334.0	1548512.0	1307967.0	1543549.0	1511191.0	1556597.0	1569831.0	1506190.0	1556515.0
HMP_2012__SRS015044__bin.36	1151793.0	1612923.0	1558327.0	1556284.0	1606653.0	1665406.0	1620886.0	1464753.0	1447421.0	1643206.0	1411524.0	1446093.0	1584578.0	1581082.0	1481161.0	1378323.0	1588726.0	1407191.0	997327.0	1617889.0	1502477.0	1192525.0	1206000.0	1488583.0	1749840.0	1622598.0	1521217.0	1346655.0	1650560.0	1331064.0	1611343.0	1480429.0	1323934.0	1511254.0	1619557.0	1536970.0	933711.0	1624191.0	1333689.0	1607251.0	1555881.0	1619702.0	1637279.0	1581486.0	1631110.0
HMP_2012__SRS064449__bin.5	1188438.0	1731570.0	1717033.0	1636943.0	1720294.0	1690367.0	1751100.0	1565066.0	1530962.0	1743415.0	1463858.0	1517656.0	1649308.0	1669810.0	1548887.0	1395450.0	1721717.0	1516169.0	1028381.0	1727721.0	1593747.0	1216037.0	1285131.0	1562714.0	1622598.0	1840041.0	1593616.0	1407340.0	1770983.0	1412544.0	1757014.0	1542971.0	1375790.0	1551167.0	1734165.0	1605610.0	989981.0	1788498.0	1389348.0	1722719.0	1628497.0	1733216.0	1813335.0	1704808.0	1720256.0
HMP_2012__SRS049318__bin.21	1151563.0	1605755.0	1535950.0	1541875.0	1582959.0	1576473.0	1582002.0	1430244.0	1433158.0	1597462.0	1418764.0	1439686.0	1563158.0	1567811.0	1472674.0	1343878.0	1563796.0	1409386.0	980003.0	1578563.0	1479842.0	1173748.0	1214963.0	1499372.0	1521217.0	1593616.0	1692864.0	1348588.0	1607899.0	1289837.0	1579987.0	1472696.0	1313946.0	1494971.0	1588061.0	1529388.0	935515.0	1594971.0	1327273.0	1588878.0	1536463.0	1598220.0	1620381.0	1559643.0	1588854.0
HMP_2012__SRS063999__bin.42	1039906.0	1395644.0	1349257.0	1345553.0	1415625.0	1391841.0	1394711.0	1259728.0	1268534.0	1403807.0	1281311.0	1299331.0	1395102.0	1380337.0	1330998.0	1210471.0	1365001.0	1231982.0	892687.0	1389247.0	1306128.0	1111140.0	1083300.0	1320727.0	1346655.0	1407340.0	1348588.0	1492813.0	1404050.0	1137452.0	1386021.0	1345080.0	1207469.0	1334409.0	1392118.0	1367809.0	848421.0	1391038.0	1183687.0	1398573.0	1368993.0	1407675.0	1418173.0	1358712.0	1390737.0
HMP_2012__SRS021477__bin.5	1178826.0	1812218.0	1752501.0	1729445.0	1749151.0	1737581.0	1796986.0	1617016.0	1567222.0	1814980.0	1467563.0	1530165.0	1678871.0	1702406.0	1567055.0	1403300.0	1769257.0	1558965.0	1022384.0	1796138.0	1631246.0	1220123.0	1303399.0	1557982.0	1650560.0	1770983.0	1607899.0	1404050.0	1922707.0	1449383.0	1802122.0	1562107.0	1373141.0	1574021.0	1787780.0	1616466.0	1013216.0	1807216.0	1407618.0	1788176.0	1657350.0	1792888.0	1826949.0	1758290.0	1790047.0
HMP_2012__SRS018573__bin.17	986534.0	1420026.0	1380231.0	1331451.0	1413818.0	1366416.0	1430626.0	1305747.0	1279176.0	1451968.0	1196651.0	1229927.0	1357374.0	1397636.0	1260320.0	1152863.0	1417037.0	1236894.0	878648.0	1433532.0	1307662.0	1009006.0	1053677.0	1274288.0	1331064.0	1412544.0	1289837.0	1137452.0	1449383.0	1508060.0	1440158.0	1254201.0	1121880.0	1272621.0	1422063.0	1313050.0	837619.0	1426138.0	1182500.0	1425143.0	1328787.0	1428308.0	1446383.0	1390974.0	1432440.0
HMP_2012__SRS015899__bin.12	1179978.0	1777483.0	1737140.0	1634127.0	1733470.0	1686619.0	1769590.0	1612438.0	1552668.0	1781050.0	1445256.0	1498069.0	1647837.0	1691234.0	1538513.0	1387061.0	1791142.0	1544192.0	1026431.0	1758972.0	1599993.0	1207572.0	1296338.0	1527648.0	1611343.0	1757014.0	1579987.0	1386021.0	1802122.0	1440158.0	1864597.0	1523625.0	1352809.0	1543602.0	1765107.0	1590522.0	996705.0	1783008.0	1387592.0	1755205.0	1625656.0	1766524.0	1810525.0	1746334.0	1757941.0
HMP_2012__SRS022602__bin.26	1163420.0	1566063.0	1489427.0	1498099.0	1533937.0	1535608.0	1559930.0	1395552.0	1385476.0	1571365.0	1417159.0	1446663.0	1581519.0	1507536.0	1442873.0	1330646.0	1497635.0	1343628.0	967347.0	1555012.0	1459704.0	1171704.0	1174300.0	1453325.0	1480429.0	1542971.0	1472696.0	1345080.0	1562107.0	1254201.0	1523625.0	1768618.0	1306734.0	1510882.0	1532759.0	1513641.0	924302.0	1570105.0	1304302.0	1580121.0	1527802.0	1560041.0	1564671.0	1515250.0	1543393.0
HMP_2012__SRS023964__bin.27	1034836.0	1354006.0	1313768.0	1316111.0	1372945.0	1359450.0	1356912.0	1229701.0	1233528.0	1377357.0	1244169.0	1253390.0	1365149.0	1362838.0	1291712.0	1197843.0	1340425.0	1210920.0	878565.0	1357798.0	1268343.0	1054424.0	1043185.0	1293054.0	1323934.0	1375790.0	1313946.0	1207469.0	1373141.0	1121880.0	1352809.0	1306734.0	1447833.0	1312887.0	1344112.0	1338212.0	835837.0	1361946.0	1163022.0	1368602.0	1340972.0	1363373.0	1380826.0	1332920.0	1360652.0
HMP_2012__SRS024649__bin.51	1154680.0	1539580.0	1496290.0	1509388.0	1542761.0	1553008.0	1551253.0	1432727.0	1422757.0	1626843.0	1424130.0	1458374.0	1613877.0	1519742.0	1462828.0	1358349.0	1526654.0	1371899.0	969942.0	1593962.0	1502155.0	1187806.0	1189940.0	1469822.0	1511254.0	1551167.0	1494971.0	1334409.0	1574021.0	1272621.0	1543602.0	1510882.0	1312887.0	1678949.0	1542159.0	1540971.0	940658.0	1549312.0	1336604.0	1605890.0	1560538.0	1566759.0	1570433.0	1526585.0	1601782.0
HMP_2012__SRS016043__bin.36	1202264.0	1746945.0	1741454.0	1638723.0	1736275.0	1671230.0	1789214.0	1605508.0	1549414.0	1772077.0	1473477.0	1503023.0	1671432.0	1679627.0	1581875.0	1379821.0	1727733.0	1519590.0	1014002.0	1763997.0	1608950.0	1204141.0	1291348.0	1522049.0	1619557.0	1734165.0	1588061.0	1392118.0	1787780.0	1422063.0	1765107.0	1532759.0	1344112.0	1542159.0	1915991.0	1594607.0	984279.0	1758813.0	1383486.0	1772136.0	1626601.0	1822957.0	1801854.0	1727892.0	1755897.0
HMP_2012__SRS047634__bin.69	1174372.0	1591858.0	1550814.0	1538559.0	1593267.0	1596355.0	1600789.0	1455386.0	1460380.0	1634405.0	1449220.0	1486432.0	1612407.0	1580938.0	1498659.0	1401936.0	1577672.0	1419436.0	995569.0	1601091.0	1507533.0	1187115.0	1224684.0	1515387.0	1536970.0	1605610.0	1529388.0	1367809.0	1616466.0	1313050.0	1590522.0	1513641.0	1338212.0	1540971.0	1594607.0	1738047.0	972305.0	1597383.0	1362368.0	1632030.0	1654888.0	1617311.0	1618793.0	1569112.0	1625068.0
HMP_2012__SRS017445__bin.35	744643.0	989865.0	969928.0	961651.0	990595.0	978074.0	987191.0	916032.0	932732.0	1015246.0	897492.0	932489.0	994819.0	991803.0	921002.0	866581.0	981497.0	907445.0	664481.0	1002108.0	946566.0	754296.0	795627.0	936334.0	933711.0	989981.0	935515.0	848421.0	1013216.0	837619.0	996705.0	924302.0	835837.0	940658.0	984279.0	972305.0	1153168.0	988582.0	862602.0	1009599.0	978201.0	1007440.0	1018123.0	967085.0	1001864.0
HMP_2012__SRS020226__bin.29	1173661.0	1766821.0	1734476.0	1650650.0	1741731.0	1688885.0	1808381.0	1592241.0	1548791.0	1779500.0	1449246.0	1501421.0	1651367.0	1702997.0	1539334.0	1398374.0	1756227.0	1546044.0	1026767.0	1765170.0	1602571.0	1204129.0	1286928.0	1548512.0	1624191.0	1788498.0	1594971.0	1391038.0	1807216.0	1426138.0	1783008.0	1570105.0	1361946.0	1549312.0	1758813.0	1597383.0	988582.0	1904107.0	1384637.0	1759922.0	1625143.0	1767375.0	1830748.0	1734147.0	1758603.0
HMP_2012__SRS045197__bin.68	1045411.0	1383513.0	1339954.0	1330631.0	1376508.0	1371624.0	1373521.0	1268509.0	1280363.0	1410122.0	1266487.0	1303311.0	1403674.0	1375492.0	1285626.0	1230221.0	1376046.0	1225891.0	916253.0	1385320.0	1315404.0	1062850.0	1076772.0	1307967.0	1333689.0	1389348.0	1327273.0	1183687.0	1407618.0	1182500.0	1387592.0	1304302.0	1163022.0	1336604.0	1383486.0	1362368.0	862602.0	1384637.0	1638335.0	1397383.0	1366812.0	1384590.0	1417232.0	1355676.0	1395580.0
HMP_2012__SRS024289__bin.20	1187959.0	1757222.0	1708904.0	1664089.0	1738509.0	1687383.0	1762052.0	1628907.0	1633006.0	1825020.0	1472112.0	1519125.0	1809769.0	1686002.0	1554647.0	1413796.0	1732069.0	1513448.0	1014365.0	1816618.0	1664555.0	1214212.0	1294408.0	1543549.0	1607251.0	1722719.0	1588878.0	1398573.0	1788176.0	1425143.0	1755205.0	1580121.0	1368602.0	1605890.0	1772136.0	1632030.0	1009599.0	1759922.0	1397383.0	1930083.0	1659749.0	1784143.0	1774322.0	1734742.0	1783391.0
HMP_2012__SRS018157__bin.38	1179936.0	1620875.0	1588664.0	1565196.0	1619490.0	1606603.0	1634681.0	1486250.0	1484891.0	1667622.0	1449230.0	1502464.0	1637742.0	1600990.0	1509661.0	1406185.0	1603372.0	1431256.0	1002677.0	1635140.0	1537965.0	1191122.0	1235749.0	1511191.0	1555881.0	1628497.0	1536463.0	1368993.0	1657350.0	1328787.0	1625656.0	1527802.0	1340972.0	1560538.0	1626601.0	1654888.0	978201.0	1625143.0	1366812.0	1659749.0	1752574.0	1651497.0	1652338.0	1592319.0	1642533.0
HMP_2012__SRS011255__bin.52	1211949.0	1753058.0	1732292.0	1661788.0	1754384.0	1682547.0	1787869.0	1603865.0	1571673.0	1791092.0	1495378.0	1533817.0	1681226.0	1710751.0	1589398.0	1394433.0	1739071.0	1535951.0	1028768.0	1770708.0	1616512.0	1212053.0	1315533.0	1556597.0	1619702.0	1733216.0	1598220.0	1407675.0	1792888.0	1428308.0	1766524.0	1560041.0	1363373.0	1566759.0	1822957.0	1617311.0	1007440.0	1767375.0	1384590.0	1784143.0	1651497.0	1888458.0	1819820.0	1734141.0	1773797.0
HMP_2012__SRS024381__bin.23	1200132.0	1787468.0	1781021.0	1676762.0	1777880.0	1713681.0	1816593.0	1615378.0	1574868.0	1799199.0	1469610.0	1532119.0	1674603.0	1739061.0	1568509.0	1413271.0	1774972.0	1569143.0	1041280.0	1782397.0	1618201.0	1221596.0	1318531.0	1569831.0	1637279.0	1813335.0	1620381.0	1418173.0	1826949.0	1446383.0	1810525.0	1564671.0	1380826.0	1570433.0	1801854.0	1618793.0	1018123.0	1830748.0	1417232.0	1774322.0	1652338.0	1819820.0	1985116.0	1747137.0	1777899.0
