	HMP_2012__SRS012279__bin.39	HMP_2012__SRS019071__bin.34	HMP_2012__SRS023958__bin.21	Castro-NallarE_2015__ES_104__bin.5	HMP_2012__SRS011115__bin.80	HMP_2012__SRS044662__bin.37	HMP_2012__SRS016037__bin.33	HMP_2012__SRS015644__bin.37	HMP_2012__SRS019126__bin.9	HMP_2012__SRS018145__bin.56	HMP_2012__SRS016225__bin.34	HMP_2012__SRS023617__bin.29	HMP_2012__SRS013164__bin.11	HMP_2012__SRS015434__bin.74	HMP_2012__SRS014888__bin.46	HMP_2012__SRS022077__bin.60	HMP_2012__SRS015797__bin.22	HMP_2012__SRS064329__bin.49	HMP_2012__SRS042131__bin.18	HMP_2012__SRS024441__bin.39	HMP_2012__SRS024081__bin.14	HMP_2012__SRS050669__bin.28	HMP_2012__SRS019122__bin.55	HMP_2012__SRS018739__bin.39	HMP_2012__SRS014573__bin.16	HMP_2012__SRS016002__bin.5
HMP_2012__SRS016225__bin.34	680078.0	888916.0	712879.0	450996.0	745222.0	888882.0	490116.0	884876.0	544676.0	635395.0	971792.0	869182.0	536216.0	878524.0	572672.0	729547.0	824964.0	870743.0	758839.0	804913.0	898212.0	634121.0	900338.0	876054.0	884618.0	554490.0
HMP_2012__SRS023617__bin.29	701207.0	1275447.0	1060463.0	725969.0	707420.0	1272084.0	472254.0	1297477.0	952154.0	970475.0	869182.0	1496657.0	745659.0	1248068.0	963439.0	751830.0	1173196.0	1275268.0	778327.0	1192148.0	1300970.0	975627.0	1289177.0	1251817.0	1240645.0	563485.0
HMP_2012__SRS013164__bin.11	406642.0	752907.0	750293.0	475742.0	424573.0	763341.0	260240.0	780145.0	602609.0	629212.0	536216.0	745659.0	1125511.0	748421.0	585284.0	439533.0	712258.0	777692.0	448885.0	772467.0	780971.0	655330.0	786560.0	764263.0	753008.0	362527.0
HMP_2012__SRS015434__bin.74	716531.0	1342438.0	1051418.0	719955.0	728657.0	1271494.0	481812.0	1291643.0	944606.0	962831.0	878524.0	1248068.0	748421.0	1545999.0	954468.0	762679.0	1193091.0	1264152.0	797018.0	1214956.0	1289921.0	1004844.0	1293485.0	1241300.0	1257105.0	563997.0
HMP_2012__SRS014888__bin.46	389288.0	969626.0	823451.0	615662.0	448681.0	971114.0	164844.0	989692.0	944313.0	780874.0	572672.0	963439.0	585284.0	954468.0	1165585.0	447147.0	915444.0	974480.0	467462.0	945115.0	1002690.0	818057.0	991979.0	956781.0	991266.0	488199.0
HMP_2012__SRS022077__bin.60	734447.0	771475.0	595950.0	353476.0	703743.0	757616.0	478574.0	761921.0	427092.0	529042.0	729547.0	751830.0	439533.0	762679.0	447147.0	845264.0	717901.0	749805.0	760922.0	700613.0	776101.0	537576.0	772906.0	773570.0	724497.0	548913.0
HMP_2012__SRS015797__bin.22	662628.0	1203745.0	1004929.0	691520.0	680292.0	1195697.0	445001.0	1219057.0	885891.0	927022.0	824964.0	1173196.0	712258.0	1193091.0	915444.0	717901.0	1387897.0	1193591.0	748969.0	1150507.0	1225892.0	941515.0	1215898.0	1188630.0	1173905.0	529380.0
HMP_2012__SRS064329__bin.49	726745.0	1299584.0	1087877.0	747982.0	746052.0	1300793.0	483640.0	1355702.0	980491.0	974339.0	870743.0	1275268.0	777692.0	1264152.0	974480.0	749805.0	1193591.0	1472708.0	779396.0	1201115.0	1421178.0	1002434.0	1330425.0	1282891.0	1296986.0	560778.0
HMP_2012__SRS042131__bin.18	711387.0	800943.0	624613.0	375126.0	727456.0	787791.0	488670.0	835686.0	452719.0	549715.0	758839.0	778327.0	448885.0	797018.0	467462.0	760922.0	748969.0	779396.0	835807.0	736712.0	805465.0	560765.0	802349.0	788206.0	749134.0	567249.0
HMP_2012__SRS024441__bin.39	646649.0	1222081.0	1121435.0	742620.0	659699.0	1209360.0	416009.0	1237744.0	954690.0	1040312.0	804913.0	1192148.0	772467.0	1214956.0	945115.0	700613.0	1150507.0	1201115.0	736712.0	2954812.0	1251225.0	1034223.0	1269138.0	1340776.0	1203212.0	531956.0
HMP_2012__SRS024081__bin.14	727362.0	1326190.0	1111405.0	762073.0	747881.0	1327542.0	483663.0	1380865.0	1008728.0	1013386.0	898212.0	1300970.0	780971.0	1289921.0	1002690.0	776101.0	1225892.0	1421178.0	805465.0	1251225.0	1583701.0	1035366.0	1358147.0	1311905.0	1321846.0	595602.0
HMP_2012__SRS050669__bin.28	492949.0	998046.0	951779.0	647000.0	539337.0	984972.0	320012.0	1029639.0	791117.0	903067.0	634121.0	975627.0	655330.0	1004844.0	818057.0	537576.0	941515.0	1002434.0	560765.0	1034223.0	1035366.0	1562840.0	1014989.0	1000889.0	1037126.0	450425.0
HMP_2012__SRS019122__bin.55	720357.0	1322508.0	1097518.0	747350.0	735491.0	1318623.0	484647.0	1346518.0	1125361.0	996511.0	900338.0	1289177.0	786560.0	1293485.0	991979.0	772906.0	1215898.0	1330425.0	802349.0	1269138.0	1358147.0	1014989.0	1539240.0	1294760.0	1292908.0	577944.0
HMP_2012__SRS018739__bin.39	718348.0	1267547.0	1095972.0	727223.0	742173.0	1256571.0	478925.0	1309370.0	943829.0	999007.0	876054.0	1251817.0	764263.0	1241300.0	956781.0	773570.0	1188630.0	1282891.0	788206.0	1340776.0	1311905.0	1000889.0	1294760.0	2225528.0	1261703.0	567157.0
HMP_2012__SRS014573__bin.16	675367.0	1268942.0	1078365.0	738822.0	793733.0	1278511.0	483546.0	1317926.0	940185.0	958465.0	884618.0	1240645.0	753008.0	1257105.0	991266.0	724497.0	1173905.0	1296986.0	749134.0	1203212.0	1321846.0	1037126.0	1292908.0	1261703.0	1544119.0	567130.0
HMP_2012__SRS016002__bin.5	486184.0	571518.0	468779.0	292332.0	533807.0	573418.0	257928.0	582731.0	453005.0	418618.0	554490.0	563485.0	362527.0	563997.0	488199.0	548913.0	529380.0	560778.0	567249.0	531956.0	595602.0	450425.0	577944.0	567157.0	567130.0	655259.0
