	HMP_2012__SRS012279__bin.39	HMP_2012__SRS019071__bin.34	HMP_2012__SRS023958__bin.21	Castro-NallarE_2015__ES_104__bin.5	HMP_2012__SRS011115__bin.80	HMP_2012__SRS044662__bin.37	HMP_2012__SRS016037__bin.33	HMP_2012__SRS015644__bin.37	HMP_2012__SRS019126__bin.9	HMP_2012__SRS018145__bin.56	HMP_2012__SRS016225__bin.34	HMP_2012__SRS023617__bin.29	HMP_2012__SRS013164__bin.11	HMP_2012__SRS015434__bin.74	HMP_2012__SRS014888__bin.46	HMP_2012__SRS022077__bin.60	HMP_2012__SRS015797__bin.22	HMP_2012__SRS064329__bin.49	HMP_2012__SRS042131__bin.18	HMP_2012__SRS024441__bin.39	HMP_2012__SRS024081__bin.14	HMP_2012__SRS050669__bin.28	HMP_2012__SRS019122__bin.55	HMP_2012__SRS018739__bin.39	HMP_2012__SRS014573__bin.16	HMP_2012__SRS016002__bin.5
HMP_2012__SRS016225__bin.34	5868.0	10203.0	12160.0	5983.0	7804.0	12926.0	3993.0	9971.0	7384.0	5324.0	0.0	8984.0	8839.0	10243.0	7260.0	6302.0	7900.0	8206.0	7738.0	9694.0	8474.0	7480.0	10922.0	8077.0	10915.0	3483.0
HMP_2012__SRS023617__bin.29	5457.0	16445.0	20846.0	10454.0	8759.0	23503.0	3296.0	16214.0	16645.0	10268.0	8984.0	0.0	11784.0	16010.0	9506.0	6151.0	12280.0	15323.0	7997.0	17761.0	15392.0	13405.0	20129.0	13674.0	18465.0	6775.0
HMP_2012__SRS013164__bin.11	5213.0	11779.0	7074.0	8262.0	5757.0	14532.0	3063.0	13165.0	12156.0	9819.0	8839.0	11784.0	0.0	11566.0	10685.0	5793.0	10712.0	12473.0	5847.0	14673.0	12525.0	12410.0	14456.0	12930.0	12441.0	6618.0
HMP_2012__SRS015434__bin.74	7949.0	1424.0	19127.0	9513.0	8605.0	22387.0	4882.0	15454.0	15210.0	11691.0	10243.0	16010.0	11566.0	0.0	12371.0	8471.0	14175.0	16014.0	8228.0	15955.0	16196.0	12412.0	18496.0	14675.0	16326.0	6902.0
HMP_2012__SRS014888__bin.46	4846.0	13683.0	15884.0	8364.0	6242.0	20120.0	2138.0	15203.0	14915.0	10288.0	7260.0	9506.0	10685.0	12371.0	0.0	5383.0	11969.0	15056.0	5922.0	13307.0	15472.0	9879.0	15834.0	13225.0	14698.0	6780.0
HMP_2012__SRS022077__bin.60	11.0	8535.0	9741.0	4734.0	9197.0	10794.0	3570.0	7877.0	6768.0	2531.0	6302.0	6151.0	5793.0	8471.0	5383.0	0.0	5773.0	6115.0	7692.0	8697.0	6413.0	6779.0	10354.0	3408.0	9148.0	5808.0
HMP_2012__SRS015797__bin.22	4769.0	14195.0	17173.0	8888.0	6930.0	19412.0	3198.0	13306.0	12989.0	9043.0	7900.0	12280.0	10712.0	14175.0	11969.0	5773.0	0.0	13316.0	6557.0	14353.0	13524.0	10885.0	15873.0	12309.0	14773.0	5154.0
HMP_2012__SRS064329__bin.49	5685.0	17347.0	20723.0	10838.0	8856.0	25144.0	3627.0	17770.0	16428.0	10648.0	8206.0	15323.0	12473.0	16014.0	15056.0	6115.0	13316.0	0.0	7477.0	17185.0	134.0	15218.0	19662.0	14033.0	18567.0	6884.0
HMP_2012__SRS042131__bin.18	7156.0	8350.0	10484.0	4720.0	8520.0	11135.0	4305.0	191.0	6846.0	4965.0	7738.0	7997.0	5847.0	8228.0	5922.0	7692.0	6557.0	7477.0	0.0	9000.0	7654.0	6339.0	10151.0	8056.0	8595.0	6341.0
HMP_2012__SRS024441__bin.39	8030.0	17174.0	21258.0	10138.0	6276.0	21288.0	5122.0	18783.0	14782.0	17375.0	9694.0	17761.0	14673.0	15955.0	13307.0	8697.0	14353.0	17185.0	9000.0	0.0	18337.0	12953.0	17928.0	24280.0	16380.0	7739.0
HMP_2012__SRS024081__bin.14	5757.0	17510.0	21079.0	11003.0	9057.0	25399.0	3626.0	17910.0	16836.0	11455.0	8474.0	15392.0	12525.0	16196.0	15472.0	6413.0	13524.0	134.0	7654.0	18337.0	0.0	15634.0	20094.0	14684.0	18662.0	7619.0
HMP_2012__SRS050669__bin.28	6256.0	12801.0	18208.0	8795.0	6203.0	17398.0	4307.0	15779.0	11969.0	13374.0	7480.0	13405.0	12410.0	12412.0	9879.0	6779.0	10885.0	15218.0	6339.0	12953.0	15634.0	0.0	14594.0	14048.0	13343.0	7540.0
HMP_2012__SRS019122__bin.55	9620.0	19479.0	19838.0	10284.0	7691.0	24328.0	6174.0	21502.0	143.0	14499.0	10922.0	20129.0	14456.0	18496.0	15834.0	10354.0	15873.0	19662.0	10151.0	17928.0	20094.0	14594.0	0.0	19629.0	18815.0	8455.0
HMP_2012__SRS018739__bin.39	2531.0	15622.0	21497.0	10975.0	8773.0	22105.0	3152.0	16455.0	16086.0	9696.0	8077.0	13674.0	12930.0	14675.0	13225.0	3408.0	12309.0	14033.0	8056.0	24280.0	14684.0	14048.0	19629.0	0.0	18293.0	7119.0
HMP_2012__SRS014573__bin.16	8581.0	17345.0	20111.0	8903.0	8425.0	22788.0	6454.0	19308.0	15199.0	12698.0	10915.0	18465.0	12441.0	16326.0	14698.0	9148.0	14773.0	18567.0	8595.0	16380.0	18662.0	13343.0	18815.0	18293.0	0.0	10008.0
HMP_2012__SRS016002__bin.5	5168.0	7231.0	9999.0	5092.0	7316.0	9315.0	2956.0	8154.0	6659.0	3426.0	3483.0	6775.0	6618.0	6902.0	6780.0	5808.0	5154.0	6884.0	6341.0	7739.0	7619.0	7540.0	8455.0	7119.0	10008.0	0.0
