	XieH_2016__YSZC12003_37171__bin.41	XieH_2016__YSZC12003_37101__bin.13	XieH_2016__YSZC12003_35999__bin.100	ZeeviD_2015__PNP_Main_393__bin.2	XieH_2016__YSZC12003_37232__bin.77	XieH_2016__YSZC12003_36694__bin.107	XieH_2016__YSZC12003_36699__bin.8	FengQ_2015__SID31276__bin.38	XieH_2016__YSZC12003_35697__bin.38	ZellerG_2014__CCIS74726977ST-3-0__bin.97	ZeeviD_2015__PNP_Main_127__bin.16	XieH_2016__YSZC12003_37393__bin.13	XieH_2016__YSZC12003_35550__bin.7	ZellerG_2014__CCIS11362406ST-4-0__bin.32	CosteaPI_2017__SID713B072-11-90-0__bin.89	BritoIL_2016__W3.22.ST__bin.92	XieH_2016__YSZC12003_35992__bin.87	CosteaPI_2017__SID713A004-11-0-0__bin.11	FengQ_2015__SID530041__bin.48	FengQ_2015__SID31223__bin.13	XieH_2016__YSZC12003_37182R1__bin.100	CM_madagascar__A28_02_1FE__bin.95	BritoIL_2016__M1.16.ST__bin.54	XieH_2016__YSZC12003_37405__bin.101	LiJ_2014__V1.FI14__bin.82	XieH_2016__YSZC12003_37349__bin.112
ZeeviD_2015__PNP_Main_127__bin.16	916297.0	1470958.0	1640786.0	1544965.0	1666075.0	1249166.0	1464823.0	1401673.0	1059308.0	1598745.0	2004310.0	1099833.0	991238.0	1251856.0	1280053.0	866936.0	1407702.0	1498467.0	1363024.0	1640027.0	1666099.0	1054524.0	1360501.0	1672966.0	1651330.0	1643761.0
XieH_2016__YSZC12003_37393__bin.13	815328.0	1266405.0	1381106.0	1296919.0	1410426.0	1070406.0	1287193.0	1237215.0	900678.0	1323450.0	1099833.0	1482011.0	869720.0	1084938.0	1108142.0	741282.0	1196774.0	1243811.0	1200666.0	1382710.0	1345920.0	905622.0	1176453.0	1392729.0	1387376.0	1373943.0
XieH_2016__YSZC12003_35550__bin.7	757472.0	1141827.0	1244949.0	1165966.0	1253713.0	956667.0	1141985.0	1109417.0	820648.0	1174750.0	991238.0	869720.0	1336506.0	973528.0	995530.0	662823.0	1102716.0	1150517.0	1090643.0	1236314.0	1233900.0	826724.0	1045328.0	1238398.0	1245148.0	1226244.0
ZellerG_2014__CCIS11362406ST-4-0__bin.32	893524.0	1416854.0	1571315.0	1436847.0	1583118.0	1217395.0	1397629.0	1367627.0	1014602.0	1468347.0	1251856.0	1084938.0	973528.0	1760667.0	1203874.0	816012.0	1335541.0	1397734.0	1315772.0	1557787.0	1531070.0	1010106.0	1286470.0	1551991.0	1572106.0	1534699.0
CosteaPI_2017__SID713B072-11-90-0__bin.89	941969.0	1454269.0	1584160.0	1496924.0	1585899.0	1223895.0	1459801.0	1401621.0	1024912.0	1505120.0	1280053.0	1108142.0	995530.0	1203874.0	1732751.0	834607.0	1373477.0	1426806.0	1387448.0	1582355.0	1529446.0	1066569.0	1317871.0	1584474.0	1585227.0	1576070.0
BritoIL_2016__W3.22.ST__bin.92	615385.0	971502.0	1069503.0	980725.0	1072143.0	798346.0	951380.0	919209.0	683197.0	1014113.0	866936.0	741282.0	662823.0	816012.0	834607.0	1172815.0	921388.0	968245.0	914843.0	1053177.0	1054312.0	759115.0	911154.0	1043027.0	1059670.0	1061003.0
XieH_2016__YSZC12003_35992__bin.87	1013878.0	1593451.0	1755738.0	1647088.0	1771356.0	1340218.0	1582581.0	1517356.0	1137723.0	1658894.0	1407702.0	1196774.0	1102716.0	1335541.0	1373477.0	921388.0	1971961.0	1603353.0	1487132.0	1766210.0	1731044.0	1138710.0	1442538.0	1767616.0	1847923.0	1743044.0
CosteaPI_2017__SID713A004-11-0-0__bin.11	1059090.0	1667394.0	1827320.0	1720679.0	1846515.0	1417780.0	1667029.0	1587085.0	1153613.0	1722358.0	1498467.0	1243811.0	1150517.0	1397734.0	1426806.0	968245.0	1603353.0	2060293.0	1557272.0	1860479.0	1807193.0	1189247.0	1496821.0	1849443.0	1842186.0	1852493.0
FengQ_2015__SID530041__bin.48	995924.0	1592100.0	1736319.0	1625008.0	1741145.0	1326919.0	1590457.0	1518117.0	1093405.0	1655012.0	1363024.0	1200666.0	1090643.0	1315772.0	1387448.0	914843.0	1487132.0	1557272.0	1852001.0	1714465.0	1666946.0	1157627.0	1456666.0	1713811.0	1725517.0	1705449.0
FengQ_2015__SID31223__bin.13	1155948.0	1899230.0	2089964.0	1908713.0	2077286.0	1578774.0	1842906.0	1765375.0	1273978.0	1928200.0	1640027.0	1382710.0	1236314.0	1557787.0	1582355.0	1053177.0	1766210.0	1860479.0	1714465.0	2407292.0	1995514.0	1310116.0	1688102.0	2071087.0	2049987.0	2044578.0
XieH_2016__YSZC12003_37182R1__bin.100	1142095.0	1840676.0	2014876.0	1881177.0	2094024.0	1524309.0	1794589.0	1745150.0	1258639.0	1884991.0	1666099.0	1345920.0	1233900.0	1531070.0	1529446.0	1054312.0	1731044.0	1807193.0	1666946.0	1995514.0	2390537.0	1278828.0	1628847.0	2031701.0	2026769.0	2055799.0
CM_madagascar__A28_02_1FE__bin.95	755205.0	1283240.0	1315677.0	1217135.0	1312293.0	1000439.0	1205066.0	1158803.0	855541.0	1245154.0	1054524.0	905622.0	826724.0	1010106.0	1066569.0	759115.0	1138710.0	1189247.0	1157627.0	1310116.0	1278828.0	1478465.0	1131843.0	1288643.0	1311721.0	1297158.0
BritoIL_2016__M1.16.ST__bin.54	978144.0	1544761.0	1713763.0	1591792.0	1731523.0	1272956.0	1534958.0	1480157.0	1067857.0	1616028.0	1360501.0	1176453.0	1045328.0	1286470.0	1317871.0	911154.0	1442538.0	1496821.0	1456666.0	1688102.0	1628847.0	1131843.0	1891094.0	1687449.0	1680749.0	1661337.0
XieH_2016__YSZC12003_37405__bin.101	1164690.0	1912854.0	2088629.0	1924812.0	2170122.0	1543844.0	1883734.0	1753215.0	1281012.0	1953202.0	1672966.0	1392729.0	1238398.0	1551991.0	1584474.0	1043027.0	1767616.0	1849443.0	1713811.0	2071087.0	2031701.0	1288643.0	1687449.0	2411170.0	2083495.0	2059708.0
LiJ_2014__V1.FI14__bin.82	1159936.0	1897278.0	2087161.0	1920895.0	2098763.0	1543611.0	1842357.0	1753674.0	1307748.0	1949135.0	1651330.0	1387376.0	1245148.0	1572106.0	1585227.0	1059670.0	1847923.0	1842186.0	1725517.0	2049987.0	2026769.0	1311721.0	1680749.0	2083495.0	2374673.0	2048195.0
XieH_2016__YSZC12003_37349__bin.112	1160644.0	1868908.0	2049832.0	1897134.0	2062448.0	1546419.0	1831554.0	1747125.0	1285294.0	1916865.0	1643761.0	1373943.0	1226244.0	1534699.0	1576070.0	1061003.0	1743044.0	1852493.0	1705449.0	2044578.0	2055799.0	1297158.0	1661337.0	2059708.0	2048195.0	2379071.0
