	XieH_2016__YSZC12003_37171__bin.41	XieH_2016__YSZC12003_37101__bin.13	XieH_2016__YSZC12003_35999__bin.100	ZeeviD_2015__PNP_Main_393__bin.2	XieH_2016__YSZC12003_37232__bin.77	XieH_2016__YSZC12003_36694__bin.107	XieH_2016__YSZC12003_36699__bin.8	FengQ_2015__SID31276__bin.38	XieH_2016__YSZC12003_35697__bin.38	ZellerG_2014__CCIS74726977ST-3-0__bin.97	ZeeviD_2015__PNP_Main_127__bin.16	XieH_2016__YSZC12003_37393__bin.13	XieH_2016__YSZC12003_35550__bin.7	ZellerG_2014__CCIS11362406ST-4-0__bin.32	CosteaPI_2017__SID713B072-11-90-0__bin.89	BritoIL_2016__W3.22.ST__bin.92	XieH_2016__YSZC12003_35992__bin.87	CosteaPI_2017__SID713A004-11-0-0__bin.11	FengQ_2015__SID530041__bin.48	FengQ_2015__SID31223__bin.13	XieH_2016__YSZC12003_37182R1__bin.100	CM_madagascar__A28_02_1FE__bin.95	BritoIL_2016__M1.16.ST__bin.54	XieH_2016__YSZC12003_37405__bin.101	LiJ_2014__V1.FI14__bin.82	XieH_2016__YSZC12003_37349__bin.112
ZeeviD_2015__PNP_Main_127__bin.16	14403.0	63774.0	25136.0	23826.0	25591.0	18603.0	20371.0	20929.0	16090.0	24531.0	0.0	14851.0	16262.0	19345.0	19903.0	12741.0	20849.0	20695.0	19474.0	23922.0	23966.0	30934.0	20870.0	24020.0	23816.0	22789.0
XieH_2016__YSZC12003_37393__bin.13	10685.0	55781.0	18321.0	17384.0	16730.0	14718.0	11267.0	16408.0	12539.0	18418.0	14851.0	0.0	12427.0	16341.0	15107.0	10747.0	16031.0	15953.0	15003.0	19826.0	17521.0	27075.0	15251.0	8394.0	18060.0	16019.0
XieH_2016__YSZC12003_35550__bin.7	10407.0	50961.0	18508.0	18325.0	17855.0	14756.0	15544.0	17123.0	12319.0	19246.0	16262.0	12427.0	0.0	16778.0	15178.0	11745.0	15670.0	18415.0	16271.0	20351.0	18169.0	25991.0	17168.0	17722.0	17606.0	19086.0
ZellerG_2014__CCIS11362406ST-4-0__bin.32	14905.0	63607.0	23744.0	22400.0	23817.0	18409.0	20698.0	18646.0	15421.0	24007.0	19345.0	16341.0	16778.0	0.0	17669.0	15343.0	19064.0	21867.0	19155.0	25259.0	23843.0	32802.0	20710.0	23009.0	22130.0	24319.0
CosteaPI_2017__SID713B072-11-90-0__bin.89	14419.0	61943.0	22380.0	20824.0	21544.0	17321.0	19596.0	19856.0	15480.0	22119.0	19903.0	15107.0	15178.0	17669.0	0.0	12891.0	19318.0	20504.0	19031.0	23070.0	22001.0	32219.0	19110.0	22532.0	22480.0	23137.0
BritoIL_2016__W3.22.ST__bin.92	10617.0	39532.0	16974.0	15932.0	18063.0	13519.0	14104.0	15638.0	11800.0	16384.0	12741.0	10747.0	11745.0	15343.0	12891.0	0.0	14626.0	15169.0	14170.0	15926.0	16757.0	20187.0	12756.0	16463.0	16929.0	15752.0
XieH_2016__YSZC12003_35992__bin.87	15466.0	68650.0	25043.0	22450.0	25605.0	18630.0	20491.0	22007.0	15959.0	24307.0	20849.0	16031.0	15670.0	19064.0	19318.0	14626.0	0.0	22284.0	19536.0	25956.0	24965.0	34499.0	21340.0	24114.0	8592.0	25601.0
CosteaPI_2017__SID713A004-11-0-0__bin.11	16252.0	72819.0	26097.0	23696.0	27286.0	21457.0	21904.0	22851.0	16748.0	25604.0	20695.0	15953.0	18415.0	21867.0	20504.0	15169.0	22284.0	0.0	20943.0	26997.0	25649.0	35631.0	22030.0	24962.0	24861.0	25789.0
FengQ_2015__SID530041__bin.48	12872.0	68261.0	22062.0	19429.0	21611.0	18159.0	19514.0	20228.0	15308.0	21819.0	19474.0	15003.0	16271.0	19155.0	19031.0	14170.0	19536.0	20943.0	0.0	23633.0	22874.0	34746.0	19598.0	22353.0	21831.0	22746.0
FengQ_2015__SID31223__bin.13	17957.0	82029.0	32027.0	28717.0	31145.0	24237.0	25659.0	27371.0	19710.0	29412.0	23922.0	19826.0	20351.0	25259.0	23070.0	15926.0	25956.0	26997.0	23633.0	0.0	29149.0	39682.0	26103.0	30541.0	29286.0	29837.0
XieH_2016__YSZC12003_37182R1__bin.100	17042.0	78740.0	28078.0	27622.0	30754.0	22659.0	22554.0	24683.0	18871.0	29055.0	23966.0	17521.0	18169.0	23843.0	22001.0	16757.0	24965.0	25649.0	22874.0	29149.0	0.0	38576.0	22788.0	28444.0	28002.0	28392.0
CM_madagascar__A28_02_1FE__bin.95	22584.0	39235.0	40462.0	37230.0	40443.0	30768.0	36262.0	36594.0	26595.0	38066.0	30934.0	27075.0	25991.0	32802.0	32219.0	20187.0	34499.0	35631.0	34746.0	39682.0	38576.0	0.0	33643.0	38471.0	39742.0	38010.0
BritoIL_2016__M1.16.ST__bin.54	14132.0	69631.0	24573.0	22785.0	27646.0	18873.0	20038.0	21441.0	15910.0	24843.0	20870.0	15251.0	17168.0	20710.0	19110.0	12756.0	21340.0	22030.0	19598.0	26103.0	22788.0	33643.0	0.0	24324.0	24700.0	24027.0
XieH_2016__YSZC12003_37405__bin.101	16742.0	81561.0	27779.0	27548.0	29759.0	23178.0	11959.0	24569.0	17566.0	28071.0	24020.0	8394.0	17722.0	23009.0	22532.0	16463.0	24114.0	24962.0	22353.0	30541.0	28444.0	38471.0	24324.0	0.0	27690.0	28167.0
LiJ_2014__V1.FI14__bin.82	17614.0	81668.0	27794.0	26315.0	29822.0	22144.0	23674.0	25462.0	17389.0	28605.0	23816.0	18060.0	17606.0	22130.0	22480.0	16929.0	8592.0	24861.0	21831.0	29286.0	28002.0	39742.0	24700.0	27690.0	0.0	28034.0
XieH_2016__YSZC12003_37349__bin.112	18441.0	80133.0	29562.0	26885.0	29977.0	22845.0	24292.0	25182.0	18756.0	29034.0	22789.0	16019.0	19086.0	24319.0	23137.0	15752.0	25601.0	25789.0	22746.0	29837.0	28392.0	38010.0	24027.0	28167.0	28034.0	0.0
